participant_id,T1_Intention,SRB1,SRB2,SRB3,SRB4,SRB5,SRB_Mean,S1_Response,S1_Score,S2_Response,S2_Score,S3_Response,S3_Score,S4_Response,S4_Score,S5_Response,S5_Score,Objective_Score_Total,Objective_Score,Intention_Behavior_Gap
P00024,4,5,5,6,5,6,5.4,c,1,b,2,b,2,c,1,b,2,8,8,0.8099645144599812
P00025,6,3,4,4,4,4,3.8,c,1,b,2,a,0,a,0,a,0,3,3,-1.3123644589614392
P00026,4,5,4,6,5,4,4.8,a,0,b,2,c,1,c,1,c,1,5,5,0.20996451445998066
P00027,5,6,6,6,6,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,1.148800027749271
P00028,4,4,4,4,4,5,4.2,a,0,b,2,c,1,b,2,b,2,7,7,-0.390035485540019
P00029,5,5,6,5,7,4,5.4,b,2,b,2,b,2,c,1,b,2,9,9,0.5488000277492713
P00030,4,4,4,5,5,4,4.4,b,2,b,2,b,2,b,2,b,2,10,10,-0.1900354855400188
P00031,4,4,5,5,4,5,4.6,b,2,b,2,b,2,b,2,c,1,9,9,0.009964514459980478
P00032,5,5,5,5,6,5,5.2,b,2,b,2,c,1,b,2,b,2,9,9,0.3488000277492711
P00033,3,5,4,6,5,4,4.8,b,2,b,2,b,2,b,2,b,2,10,10,0.47112900117069145
P00034,5,5,4,5,6,6,5.2,b,2,b,2,b,2,b,2,b,2,10,10,0.3488000277492711
P00035,4,4,4,4,3,4,3.8,c,1,c,1,b,2,c,1,b,2,7,7,-0.7900354855400193
P00036,4,4,5,6,6,6,5.4,b,2,b,2,b,2,a,0,b,2,8,8,0.8099645144599812
P00037,4,5,5,6,4,5,5.0,b,2,b,2,b,2,c,1,b,2,9,9,0.40996451445998083
P00038,6,7,7,7,7,7,7.0,b,2,b,2,b,2,b,2,b,2,10,10,1.887635541038561
P00039,4,5,4,4,5,6,4.8,b,2,b,2,c,1,c,1,a,0,6,6,0.20996451445998066
P00040,6,3,4,3,4,4,3.6,b,2,c,1,c,1,a,0,b,2,6,6,-1.512364458961439
P00041,4,5,5,4,6,5,5.0,b,2,c,1,b,2,b,2,b,2,9,9,0.40996451445998083
P00042,3,3,4,3,2,3,3.0,a,0,b,2,a,0,a,0,c,1,3,3,-1.3288709988293084
P00043,4,5,4,6,5,5,5.0,b,2,b,2,b,2,b,2,b,2,10,10,0.40996451445998083
P00044,3,4,4,5,5,4,4.4,c,1,b,2,a,0,a,0,a,0,3,3,0.07112900117069199
P00045,5,4,5,5,7,6,5.4,b,2,b,2,b,2,c,1,b,2,9,9,0.5488000277492713
P00046,4,5,4,5,6,4,4.8,c,1,b,2,b,2,a,0,c,1,6,6,0.20996451445998066
P00047,5,6,4,6,6,5,5.4,b,2,a,0,b,2,b,2,b,2,8,8,0.5488000277492713
P00048,6,5,3,4,3,5,4.0,b,2,c,1,b,2,b,2,b,2,9,9,-1.112364458961439
P00049,5,5,4,4,5,4,4.4,b,2,b,2,b,2,a,0,b,2,8,8,-0.4511999722507287
P00050,5,4,5,7,5,6,5.4,a,0,c,1,a,0,c,1,a,0,2,2,0.5488000277492713
P00051,6,5,6,6,4,5,5.2,c,1,b,2,b,2,a,0,b,2,7,7,0.0876355410385612
P00052,6,5,6,5,4,4,4.8,b,2,b,2,b,2,b,2,a,0,8,8,-0.31236445896143916
P00053,4,5,5,6,5,5,5.2,c,1,b,2,b,2,b,2,b,2,9,9,0.609964514459981
P00054,3,3,3,3,3,3,3.0,c,1,a,0,a,0,b,2,b,2,5,5,-1.3288709988293084
P00055,4,5,4,4,4,4,4.2,b,2,b,2,b,2,b,2,b,2,10,10,-0.390035485540019
P00056,6,6,6,7,6,6,6.2,b,2,b,2,b,2,b,2,b,2,10,10,1.0876355410385612
P00057,3,5,7,6,6,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,1.6711290011706916
P00058,3,5,5,4,4,4,4.4,c,1,b,2,b,2,b,2,c,1,8,8,0.07112900117069199
P00059,7,5,4,5,4,4,4.4,c,1,b,2,b,2,a,0,b,2,7,7,-0.9735289456721485
P00060,2,3,4,4,4,4,3.8,b,2,b,2,a,0,b,2,a,0,6,6,-0.26770651211859864
P00061,5,4,4,4,4,4,4.0,b,2,a,0,a,0,c,1,a,0,3,3,-0.8511999722507291
P00062,4,3,4,5,2,3,3.4,a,0,a,0,a,0,a,0,a,0,0,0,-1.1900354855400193
P00063,3,4,6,5,5,5,5.0,c,1,b,2,c,1,b,2,b,2,8,8,0.6711290011706916
P00064,6,5,6,5,5,4,5.0,c,1,b,2,b,2,c,1,b,2,8,8,-0.11236445896143898
P00065,5,3,4,4,4,4,3.8,b,2,b,2,c,1,b,2,c,1,8,8,-1.0511999722507293
P00066,6,5,6,5,6,4,5.2,c,1,b,2,b,2,b,2,b,2,9,9,0.0876355410385612
P00067,6,7,6,7,7,5,6.4,c,1,b,2,c,1,b,2,b,2,8,8,1.2876355410385614
P00068,5,6,6,6,7,6,6.2,b,2,b,2,b,2,b,2,c,1,9,9,1.348800027749271
P00069,5,5,7,5,5,5,5.4,b,2,b,2,b,2,b,2,b,2,10,10,0.5488000277492713
P00070,4,4,4,5,4,5,4.4,c,1,c,1,a,0,a,0,b,2,4,4,-0.1900354855400188
P00071,3,6,5,5,6,5,5.4,c,1,b,2,b,2,b,2,b,2,9,9,1.071129001170692
P00072,6,6,7,6,6,6,6.2,b,2,b,2,b,2,b,2,b,2,10,10,1.0876355410385612
P00073,5,5,3,5,5,5,4.6,b,2,b,2,b,2,b,2,c,1,9,9,-0.25119997225072943
P00074,7,5,5,5,5,4,4.8,b,2,b,2,b,2,b,2,b,2,10,10,-0.5735289456721491
P00075,4,4,5,4,4,5,4.4,b,2,b,2,b,2,b,2,b,2,10,10,-0.1900354855400188
P00076,4,5,4,4,3,4,4.0,c,1,b,2,c,1,b,2,b,2,8,8,-0.5900354855400192
P00077,4,5,4,6,5,6,5.2,b,2,c,1,b,2,b,2,b,2,9,9,0.609964514459981
P00078,5,4,3,6,5,4,4.4,c,1,c,1,b,2,a,0,b,2,6,6,-0.4511999722507287
P00079,1,4,3,4,4,4,3.8,a,0,a,0,c,1,b,2,b,2,5,5,-0.00654202540788873
P00080,5,6,6,7,6,5,6.0,b,2,b,2,b,2,c,1,b,2,9,9,1.148800027749271
P00081,5,6,6,6,7,5,6.0,b,2,b,2,c,1,b,2,b,2,9,9,1.148800027749271
P00082,4,3,3,4,4,3,3.4,a,0,a,0,b,2,a,0,a,0,2,2,-1.1900354855400193
P00083,3,3,4,6,5,3,4.2,c,1,c,1,a,0,b,2,c,1,5,5,-0.1288709988293082
P00084,3,6,6,7,6,4,5.8,b,2,b,2,b,2,c,1,b,2,9,9,1.4711290011706915
P00085,4,5,4,5,5,5,4.8,b,2,c,1,b,2,a,0,b,2,7,7,0.20996451445998066
P00086,6,5,5,5,6,6,5.4,b,2,b,2,b,2,b,2,a,0,8,8,0.28763554103856137
P00087,3,4,5,4,5,4,4.4,b,2,b,2,b,2,a,0,b,2,8,8,0.07112900117069199
P00088,4,6,5,5,4,6,5.2,b,2,b,2,b,2,b,2,c,1,9,9,0.609964514459981
P00089,3,5,6,6,7,4,5.6,b,2,b,2,b,2,c,1,c,1,8,8,1.2711290011706913
P00090,2,7,5,6,7,5,6.0,b,2,b,2,b,2,b,2,b,2,10,10,1.9322934878814015
P00091,4,3,3,5,4,3,3.6,b,2,c,1,c,1,a,0,a,0,4,4,-0.9900354855400191
P00092,5,6,6,5,6,6,5.8,b,2,b,2,b,2,b,2,b,2,10,10,0.9488000277492707
P00093,5,5,4,5,5,4,4.6,b,2,b,2,b,2,b,2,b,2,10,10,-0.25119997225072943
P00094,4,4,5,5,4,4,4.4,b,2,c,1,b,2,b,2,b,2,9,9,-0.1900354855400188
P00095,6,4,5,4,5,5,4.6,b,2,c,1,b,2,b,2,c,1,8,8,-0.5123644589614393
P00096,5,6,6,6,6,6,6.0,b,2,b,2,c,1,b,2,b,2,9,9,1.148800027749271
P00097,5,4,3,5,3,4,3.8,b,2,b,2,b,2,a,0,b,2,8,8,-1.0511999722507293
P00098,5,6,5,4,4,5,4.8,b,2,c,1,b,2,b,2,b,2,9,9,-0.05119997225072925
P00099,6,4,5,6,5,6,5.2,b,2,b,2,c,1,b,2,c,1,8,8,0.0876355410385612
P00100,4,4,4,4,5,3,4.0,b,2,b,2,b,2,c,1,a,0,7,7,-0.5900354855400192
P00101,5,4,5,4,5,6,4.8,b,2,b,2,b,2,b,2,b,2,10,10,-0.05119997225072925
P00102,2,4,4,5,4,6,4.6,b,2,c,1,b,2,a,0,b,2,7,7,0.5322934878814012
P00103,7,5,5,7,6,5,5.6,b,2,b,2,b,2,b,2,c,1,9,9,0.22647105432785075
P00104,3,5,4,5,4,4,4.4,b,2,a,0,b,2,b,2,b,2,8,8,0.07112900117069199
P00105,2,4,6,6,7,5,5.6,b,2,c,1,b,2,b,2,b,2,9,9,1.5322934878814012
P00106,5,4,6,5,4,4,4.6,b,2,b,2,b,2,c,1,b,2,9,9,-0.25119997225072943
P00107,3,3,4,4,4,5,4.0,b,2,a,0,c,1,a,0,b,2,5,5,-0.32887099882930837
P00108,4,5,5,5,5,4,4.8,b,2,b,2,b,2,c,1,b,2,9,9,0.20996451445998066
P00109,6,7,5,7,6,4,5.8,c,1,c,1,b,2,b,2,b,2,8,8,0.6876355410385608
P00110,5,5,4,5,5,5,4.8,b,2,b,2,c,1,b,2,b,2,9,9,-0.05119997225072925
P00111,5,2,2,3,3,2,2.4,a,0,a,0,a,0,a,0,a,0,0,0,-2.451199972250729
P00112,5,3,4,4,4,3,3.6,a,0,a,0,a,0,b,2,a,0,2,2,-1.251199972250729
P00113,4,6,6,7,7,5,6.2,c,1,b,2,b,2,b,2,b,2,9,9,1.609964514459981
P00114,5,3,5,4,5,4,4.2,c,1,b,2,b,2,c,1,c,1,7,7,-0.6511999722507289
P00115,4,6,6,6,5,5,5.6,b,2,b,2,b,2,b,2,b,2,10,10,1.0099645144599805
P00116,5,5,5,7,6,5,5.6,b,2,b,2,c,1,b,2,c,1,8,8,0.7488000277492706
P00117,5,4,5,5,6,5,5.0,b,2,b,2,b,2,b,2,c,1,9,9,0.14880002774927092
P00118,2,3,3,3,4,3,3.2,a,0,b,2,c,1,b,2,a,0,5,5,-0.8677065121185983
P00119,6,7,5,5,7,6,6.0,b,2,c,1,b,2,b,2,b,2,9,9,0.887635541038561
P00120,6,5,5,6,6,5,5.4,c,1,c,1,c,1,b,2,b,2,7,7,0.28763554103856137
P00121,5,4,4,6,4,6,4.8,b,2,b,2,b,2,b,2,b,2,10,10,-0.05119997225072925
P00122,4,5,4,5,5,5,4.8,b,2,b,2,a,0,b,2,b,2,8,8,0.20996451445998066
P00123,6,6,5,5,5,5,5.2,b,2,b,2,b,2,b,2,b,2,10,10,0.0876355410385612
P00124,6,4,4,5,5,4,4.4,c,1,c,1,c,1,a,0,b,2,5,5,-0.7123644589614386
P00125,3,5,3,4,3,3,3.6,a,0,a,0,a,0,b,2,a,0,2,2,-0.7288709988293083
P00126,5,6,7,7,6,6,6.4,b,2,b,2,b,2,b,2,b,2,10,10,1.5488000277492713
P00127,2,4,4,4,5,4,4.2,a,0,b,2,c,1,a,0,a,0,3,3,0.13229348788140172
P00128,6,6,5,7,4,5,5.4,b,2,c,1,b,2,b,2,b,2,9,9,0.28763554103856137
P00129,4,3,4,3,3,4,3.4,b,2,a,0,a,0,a,0,a,0,2,2,-1.1900354855400193
P00130,3,5,5,6,6,4,5.2,b,2,a,0,c,1,b,2,a,0,5,5,0.8711290011706918
P00131,5,7,6,5,5,5,5.6,b,2,c,1,b,2,c,1,b,2,8,8,0.7488000277492706
P00132,7,7,7,7,7,7,7.0,b,2,b,2,b,2,b,2,b,2,10,10,1.626471054327851
P00133,5,4,5,4,4,4,4.2,b,2,b,2,b,2,b,2,a,0,8,8,-0.6511999722507289
P00134,4,2,4,3,3,3,3.0,a,0,a,0,a,0,a,0,a,0,0,0,-1.5900354855400192
P00135,5,6,4,5,4,5,4.8,b,2,b,2,b,2,b,2,b,2,10,10,-0.05119997225072925
P00136,5,4,3,2,2,3,2.8,c,1,a,0,a,0,a,0,c,1,2,2,-2.0511999722507293
P00137,3,5,3,5,4,4,4.2,a,0,c,1,c,1,b,2,b,2,6,6,-0.1288709988293082
P00138,6,6,7,6,5,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,0.887635541038561
P00139,5,5,4,4,4,5,4.4,b,2,b,2,b,2,c,1,b,2,9,9,-0.4511999722507287
P00140,6,4,4,5,4,4,4.2,b,2,c,1,c,1,c,1,b,2,7,7,-0.9123644589614388
P00141,5,4,6,4,5,5,4.8,b,2,a,0,b,2,c,1,b,2,7,7,-0.05119997225072925
P00142,3,4,3,3,4,3,3.4,a,0,a,0,a,0,a,0,a,0,0,0,-0.9288709988293085
P00143,2,3,4,4,3,3,3.4,a,0,a,0,a,0,a,0,a,0,0,0,-0.6677065121185985
P00144,5,4,4,5,5,4,4.4,c,1,b,2,b,2,c,1,b,2,8,8,-0.4511999722507287
P00145,4,4,4,4,4,3,3.8,b,2,a,0,b,2,c,1,a,0,5,5,-0.7900354855400193
P00146,4,5,5,4,5,5,4.8,c,1,b,2,b,2,b,2,c,1,8,8,0.20996451445998066
P00147,4,6,5,6,4,5,5.2,b,2,b,2,c,1,b,2,b,2,9,9,0.609964514459981
P00148,5,3,5,4,4,3,3.8,b,2,b,2,c,1,a,0,b,2,7,7,-1.0511999722507293
P00149,5,4,3,4,5,4,4.0,b,2,a,0,a,0,c,1,a,0,3,3,-0.8511999722507291
P00150,3,3,5,5,5,4,4.4,c,1,c,1,a,0,a,0,b,2,4,4,0.07112900117069199
P00151,6,5,4,6,5,4,4.8,b,2,b,2,b,2,b,2,b,2,10,10,-0.31236445896143916
P00152,3,3,5,4,4,4,4.0,b,2,b,2,c,1,b,2,c,1,8,8,-0.32887099882930837
P00153,4,5,4,4,5,5,4.6,b,2,b,2,b,2,b,2,c,1,9,9,0.009964514459980478
P00154,4,3,5,3,4,4,3.8,a,0,c,1,c,1,a,0,a,0,2,2,-0.7900354855400193
P00155,3,4,4,3,4,5,4.0,c,1,c,1,c,1,b,2,a,0,5,5,-0.32887099882930837
P00156,4,6,5,6,6,5,5.6,b,2,b,2,c,1,b,2,b,2,9,9,1.0099645144599805
P00157,3,3,5,4,6,3,4.2,c,1,b,2,a,0,b,2,a,0,5,5,-0.1288709988293082
P00158,4,3,4,5,4,4,4.0,c,1,a,0,c,1,a,0,a,0,2,2,-0.5900354855400192
P00159,3,4,4,3,4,4,3.8,b,2,a,0,b,2,b,2,c,1,7,7,-0.5288709988293085
P00160,5,3,4,5,5,4,4.2,b,2,a,0,b,2,b,2,b,2,8,8,-0.6511999722507289
P00161,4,3,4,5,3,4,3.8,b,2,b,2,b,2,a,0,c,1,7,7,-0.7900354855400193
P00162,4,5,6,7,6,7,6.2,b,2,b,2,b,2,b,2,b,2,10,10,1.609964514459981
P00163,4,6,4,4,5,5,4.8,b,2,b,2,b,2,b,2,b,2,10,10,0.20996451445998066
P00164,5,4,5,5,5,4,4.6,a,0,b,2,b,2,c,1,b,2,7,7,-0.25119997225072943
P00165,4,4,5,4,4,5,4.4,b,2,b,2,b,2,c,1,b,2,9,9,-0.1900354855400188
P00166,5,5,4,4,5,4,4.4,b,2,c,1,b,2,b,2,b,2,9,9,-0.4511999722507287
P00167,4,4,5,4,5,5,4.6,c,1,b,2,a,0,b,2,a,0,5,5,0.009964514459980478
P00168,3,4,3,5,5,4,4.2,a,0,b,2,a,0,c,1,a,0,3,3,-0.1288709988293082
P00169,6,5,5,6,5,6,5.4,b,2,b,2,b,2,b,2,b,2,10,10,0.28763554103856137
P00170,3,4,4,5,5,5,4.6,b,2,a,0,c,1,b,2,b,2,7,7,0.2711290011706913
P00171,5,6,6,6,6,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,1.148800027749271
P00172,6,5,4,4,4,5,4.4,b,2,b,2,c,1,c,1,b,2,8,8,-0.7123644589614386
P00173,4,5,4,6,5,5,5.0,b,2,b,2,b,2,b,2,b,2,10,10,0.40996451445998083
P00174,7,5,5,6,6,7,5.8,b,2,b,2,b,2,b,2,b,2,10,10,0.42647105432785093
P00175,7,5,5,5,5,4,4.8,c,1,b,2,b,2,b,2,b,2,9,9,-0.5735289456721491
P00176,4,4,4,6,5,5,4.8,b,2,b,2,b,2,b,2,b,2,10,10,0.20996451445998066
P00177,4,4,5,4,4,4,4.2,c,1,b,2,b,2,a,0,b,2,7,7,-0.390035485540019
P00178,6,3,4,4,5,4,4.0,b,2,b,2,b,2,a,0,b,2,8,8,-1.112364458961439
P00179,4,5,5,5,5,4,4.8,b,2,b,2,b,2,b,2,c,1,9,9,0.20996451445998066
P00180,6,4,4,4,3,4,3.8,a,0,a,0,a,0,a,0,a,0,0,0,-1.3123644589614392
P00181,3,5,6,6,4,4,5.0,c,1,b,2,b,2,b,2,b,2,9,9,0.6711290011706916
P00182,3,6,5,5,4,4,4.8,b,2,b,2,b,2,b,2,b,2,10,10,0.47112900117069145
P00183,4,4,4,4,5,5,4.4,b,2,a,0,b,2,c,1,b,2,7,7,-0.1900354855400188
P00184,4,5,5,5,5,5,5.0,c,1,b,2,b,2,b,2,c,1,8,8,0.40996451445998083
P00185,5,4,4,4,4,6,4.4,b,2,b,2,b,2,c,1,b,2,9,9,-0.4511999722507287
P00186,4,5,6,6,5,5,5.4,b,2,a,0,c,1,b,2,b,2,7,7,0.8099645144599812
P00187,4,4,4,5,4,4,4.2,b,2,a,0,c,1,c,1,b,2,6,6,-0.390035485540019
P00188,3,3,2,3,3,3,2.8,a,0,a,0,a,0,a,0,a,0,0,0,-1.5288709988293085
P00189,4,4,4,5,5,4,4.4,b,2,b,2,c,1,b,2,b,2,9,9,-0.1900354855400188
P00190,3,3,2,4,2,2,2.6,a,0,a,0,a,0,a,0,a,0,0,0,-1.7288709988293083
P00191,5,4,5,5,6,4,4.8,b,2,b,2,b,2,c,1,c,1,8,8,-0.05119997225072925
P00192,5,6,6,7,5,6,6.0,b,2,b,2,b,2,c,1,b,2,9,9,1.148800027749271
P00193,5,5,4,5,6,5,5.0,b,2,b,2,b,2,b,2,b,2,10,10,0.14880002774927092
P00194,4,5,6,6,5,6,5.6,b,2,b,2,c,1,b,2,b,2,9,9,1.0099645144599805
P00195,4,3,4,3,5,3,3.6,b,2,a,0,a,0,a,0,c,1,3,3,-0.9900354855400191
P00196,5,5,4,6,4,5,4.8,b,2,b,2,b,2,b,2,b,2,10,10,-0.05119997225072925
P00197,5,6,5,6,7,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,1.148800027749271
P00198,4,4,5,5,4,4,4.4,b,2,a,0,c,1,a,0,a,0,3,3,-0.1900354855400188
P00199,7,5,7,6,7,6,6.2,b,2,b,2,b,2,b,2,b,2,10,10,0.8264710543278513
P00200,5,5,6,6,6,6,5.8,b,2,b,2,b,2,b,2,b,2,10,10,0.9488000277492707
P00201,7,5,4,6,6,5,5.2,b,2,b,2,b,2,b,2,b,2,10,10,-0.17352894567214872
P00202,5,4,6,4,4,5,4.6,b,2,b,2,a,0,c,1,b,2,7,7,-0.25119997225072943
P00203,4,5,5,5,5,6,5.2,b,2,b,2,b,2,b,2,b,2,10,10,0.609964514459981
P00204,6,5,5,6,6,5,5.4,b,2,b,2,b,2,b,2,b,2,10,10,0.28763554103856137
P00205,4,5,5,5,5,5,5.0,b,2,b,2,b,2,b,2,b,2,10,10,0.40996451445998083
P00206,5,3,5,5,3,3,3.8,b,2,c,1,a,0,a,0,a,0,3,3,-1.0511999722507293
P00207,6,7,7,7,7,7,7.0,b,2,b,2,b,2,b,2,b,2,10,10,1.887635541038561
P00208,5,3,5,4,5,4,4.2,b,2,b,2,c,1,b,2,a,0,7,7,-0.6511999722507289
P00209,5,3,3,3,4,3,3.2,a,0,a,0,c,1,c,1,a,0,2,2,-1.651199972250729
P00210,3,4,3,4,4,3,3.6,b,2,c,1,a,0,a,0,b,2,5,5,-0.7288709988293083
P00211,2,4,3,5,5,4,4.2,c,1,c,1,a,0,a,0,b,2,4,4,0.13229348788140172
P00212,4,5,5,5,6,5,5.2,b,2,b,2,b,2,c,1,b,2,9,9,0.609964514459981
P00213,4,5,4,4,5,4,4.4,c,1,b,2,b,2,b,2,b,2,9,9,-0.1900354855400188
P00214,6,5,6,6,7,5,5.8,c,1,b,2,b,2,b,2,b,2,9,9,0.6876355410385608
P00215,5,4,4,4,4,3,3.8,a,0,a,0,a,0,a,0,a,0,0,0,-1.0511999722507293
P00216,7,5,5,4,5,5,4.8,b,2,b,2,b,2,b,2,b,2,10,10,-0.5735289456721491
P00217,4,6,5,6,7,5,5.8,c,1,b,2,b,2,b,2,b,2,9,9,1.2099645144599807
P00218,3,2,5,3,3,3,3.2,c,1,b,2,a,0,a,0,a,0,3,3,-1.1288709988293082
P00219,4,2,3,3,2,2,2.4,a,0,a,0,a,0,a,0,a,0,0,0,-2.1900354855400193
P00220,7,6,6,6,5,7,6.0,c,1,b,2,b,2,b,2,b,2,9,9,0.6264710543278511
P00221,4,4,6,5,4,3,4.4,b,2,b,2,b,2,b,2,a,0,8,8,-0.1900354855400188
P00222,7,7,6,6,7,7,6.6,b,2,b,2,b,2,b,2,b,2,10,10,1.2264710543278508
P00223,5,7,5,6,6,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,1.148800027749271
P00224,4,5,3,4,4,4,4.0,b,2,a,0,a,0,b,2,c,1,5,5,-0.5900354855400192
P00225,6,4,3,5,5,4,4.2,c,1,b,2,b,2,c,1,b,2,8,8,-0.9123644589614388
P00226,4,5,6,5,6,5,5.4,b,2,c,1,b,2,b,2,b,2,9,9,0.8099645144599812
P00227,6,6,6,6,6,5,5.8,b,2,b,2,b,2,b,2,b,2,10,10,0.6876355410385608
P00228,6,4,6,6,5,5,5.2,c,1,b,2,b,2,c,1,b,2,8,8,0.0876355410385612
P00229,5,4,5,4,4,3,4.0,b,2,c,1,c,1,b,2,a,0,6,6,-0.8511999722507291
P00230,6,4,6,5,5,4,4.8,b,2,b,2,c,1,a,0,b,2,7,7,-0.31236445896143916
P00231,3,4,3,3,3,4,3.4,a,0,a,0,a,0,a,0,a,0,0,0,-0.9288709988293085
P00232,5,5,5,5,6,5,5.2,b,2,b,2,b,2,b,2,b,2,10,10,0.3488000277492711
P00233,5,4,4,5,6,3,4.4,b,2,b,2,b,2,c,1,a,0,7,7,-0.4511999722507287
P00234,3,4,4,6,5,5,4.8,b,2,b,2,c,1,b,2,c,1,8,8,0.47112900117069145
P00235,6,5,5,4,5,4,4.6,b,2,a,0,b,2,b,2,b,2,8,8,-0.5123644589614393
P00236,6,4,2,4,4,4,3.6,b,2,c,1,b,2,a,0,b,2,7,7,-1.512364458961439
P00237,7,6,6,6,6,6,6.0,b,2,b,2,b,2,b,2,b,2,10,10,0.6264710543278511
P00238,3,5,3,4,3,2,3.4,c,1,a,0,b,2,a,0,a,0,3,3,-0.9288709988293085
P00239,3,4,4,4,5,3,4.0,b,2,b,2,b,2,b,2,a,0,8,8,-0.32887099882930837
P00240,3,4,3,3,4,2,3.2,b,2,a,0,a,0,a,0,a,0,2,2,-1.1288709988293082
P00241,6,4,5,4,4,5,4.4,b,2,a,0,c,1,b,2,b,2,7,7,-0.7123644589614386
P00242,7,6,6,7,7,6,6.4,b,2,c,1,b,2,b,2,b,2,9,9,1.0264710543278515
P00243,7,4,4,4,5,5,4.4,b,2,b,2,b,2,b,2,b,2,10,10,-0.9735289456721485
P00244,6,5,6,4,6,4,5.0,b,2,c,1,b,2,b,2,b,2,9,9,-0.11236445896143898
P00245,3,4,5,4,4,5,4.4,c,1,c,1,b,2,a,0,a,0,4,4,0.07112900117069199
P00246,3,4,5,5,6,5,5.0,b,2,b,2,b,2,b,2,b,2,10,10,0.6711290011706916
P00247,5,3,4,4,5,4,4.0,a,0,c,1,b,2,b,2,c,1,6,6,-0.8511999722507291
P00248,2,4,5,4,3,3,3.8,c,1,a,0,a,0,b,2,a,0,3,3,-0.26770651211859864
P00249,6,5,5,5,5,5,5.0,b,2,c,1,b,2,b,2,b,2,9,9,-0.11236445896143898
P00250,6,5,5,4,6,5,5.0,b,2,b,2,c,1,b,2,b,2,9,9,-0.11236445896143898
P00251,3,5,5,5,5,4,4.8,b,2,b,2,b,2,a,0,b,2,8,8,0.47112900117069145
P00252,6,7,6,6,5,5,5.8,b,2,b,2,b,2,b,2,b,2,10,10,0.6876355410385608
P00253,6,5,5,4,4,5,4.6,b,2,b,2,b,2,b,2,b,2,10,10,-0.5123644589614393
P00254,6,6,5,4,4,5,4.8,b,2,b,2,b,2,a,0,a,0,6,6,-0.31236445896143916
P00255,5,4,4,5,4,4,4.2,c,1,a,0,a,0,b,2,a,0,3,3,-0.6511999722507289
P00256,4,5,4,5,5,5,4.8,b,2,c,1,b,2,b,2,c,1,8,8,0.20996451445998066
P00257,6,3,4,4,4,4,3.8,b,2,b,2,b,2,c,1,c,1,8,8,-1.3123644589614392
