period,disco,band,customer_class,energy_rate_ngn_per_kwh,fixed_charge_ngn_per_month,energy_rate_usd_per_kwh,provenance,sources
2023-01-01,AEDC,A,residential,130.5,818.05,0.1004,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,E,commercial,57.71,383.62,0.0444,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,E,industrial,60.33,341.63,0.0464,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,Premium,residential,209.85,1154.6,0.1614,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,Premium,commercial,230.83,1453.38,0.1776,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,Premium,industrial,241.32,1600.93,0.1856,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,A,residential,115.36,882.32,0.0887,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,A,commercial,126.89,771.19,0.0976,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,A,industrial,132.66,886.96,0.102,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,B,residential,92.29,646.27,0.071,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,B,commercial,101.52,639.2,0.0781,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,B,industrial,106.13,794.8,0.0816,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,C,residential,73.83,426.99,0.0568,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,C,commercial,81.21,490.82,0.0625,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,C,industrial,84.9,635.07,0.0653,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,D,residential,59.99,445.52,0.0461,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,D,commercial,65.99,507.48,0.0508,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,D,industrial,68.98,533.4,0.0531,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,E,residential,46.14,257.04,0.0355,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,E,commercial,50.76,286.65,0.039,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,E,industrial,53.07,297.51,0.0408,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,Premium,residential,184.57,1399.84,0.142,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,Premium,commercial,203.03,1559.87,0.1562,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IBEDC,Premium,industrial,212.26,1483.77,0.1633,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,A,residential,136.35,752.63,0.1049,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,A,commercial,149.99,729.54,0.1154,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,A,industrial,156.8,796.71,0.1206,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,B,residential,109.08,711.14,0.0839,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,B,commercial,119.99,597.86,0.0923,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,B,industrial,125.44,562.36,0.0965,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,C,residential,87.26,474.02,0.0671,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,C,commercial,95.99,560.1,0.0738,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,C,industrial,100.35,521.51,0.0772,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,D,residential,70.9,425.41,0.0545,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,D,commercial,77.99,505.51,0.06,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,D,industrial,81.54,372.01,0.0627,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,E,residential,54.54,260.67,0.042,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,E,commercial,59.99,326.9,0.0461,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,E,industrial,62.72,284.56,0.0482,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,Premium,residential,218.16,1205.49,0.1678,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,Premium,commercial,239.98,1498.74,0.1846,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,IKEDC,Premium,industrial,250.89,1281.88,0.193,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,A,residential,135.83,681.02,0.1045,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,A,commercial,149.42,666.61,0.1149,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,A,industrial,156.21,701.9,0.1202,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,B,residential,108.67,530.56,0.0836,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,B,commercial,119.53,751.4,0.0919,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,B,industrial,124.97,738.62,0.0961,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,C,residential,86.93,531.86,0.0669,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,C,commercial,95.63,517.95,0.0736,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,C,industrial,99.97,462.16,0.0769,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,D,residential,70.63,349.17,0.0543,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,D,commercial,77.7,455.56,0.0598,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,D,industrial,81.23,477.9,0.0625,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,E,residential,54.33,346.6,0.0418,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,E,commercial,59.77,295.96,0.046,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,E,industrial,62.48,363.46,0.0481,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,Premium,residential,217.33,1020.22,0.1672,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,Premium,commercial,239.06,1363.65,0.1839,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,JED,Premium,industrial,249.93,1609.88,0.1923,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,A,residential,127.32,618.29,0.0979,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,A,commercial,140.05,665.49,0.1077,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,A,industrial,146.42,978.46,0.1126,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,B,residential,101.85,706.51,0.0783,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,B,commercial,112.04,742.02,0.0862,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,B,industrial,117.13,585.7,0.0901,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,C,residential,81.48,546.2,0.0627,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,C,commercial,89.63,600.06,0.0689,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,C,industrial,93.71,552.59,0.0721,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,D,residential,66.21,454.04,0.0509,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,D,commercial,72.83,377.64,0.056,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,D,industrial,76.14,508.5,0.0586,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,E,residential,50.93,251.77,0.0392,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,E,commercial,56.02,352.47,0.0431,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,E,industrial,58.57,402.23,0.0451,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,Premium,residential,203.71,1039.73,0.1567,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,Premium,commercial,224.08,1225.06,0.1724,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KAEDCO,Premium,industrial,234.26,1519.02,0.1802,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,A,residential,123.71,763.36,0.0952,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,A,commercial,136.08,832.04,0.1047,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,A,industrial,142.27,760.93,0.1094,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,B,residential,98.97,530.67,0.0761,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,B,commercial,108.86,639.88,0.0837,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,B,industrial,113.81,816.58,0.0875,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,C,residential,79.17,479.21,0.0609,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,C,commercial,87.09,433.77,0.067,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,C,industrial,91.05,566.12,0.07,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,D,residential,64.33,461.38,0.0495,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,D,commercial,70.76,451.88,0.0544,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,D,industrial,73.98,529.73,0.0569,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,E,residential,49.48,285.24,0.0381,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,E,commercial,54.43,334.08,0.0419,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,E,industrial,56.91,287.3,0.0438,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,Premium,residential,197.93,1174.31,0.1523,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,Premium,commercial,217.73,1246.57,0.1675,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,KEDCO,Premium,industrial,227.62,1505.31,0.1751,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,A,residential,136.83,638.07,0.1053,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,A,commercial,150.51,923.89,0.1158,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,A,industrial,157.35,782.9,0.121,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,B,residential,109.46,690.68,0.0842,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,B,commercial,120.41,584.04,0.0926,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,B,industrial,125.88,724.58,0.0968,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,C,residential,87.57,492.91,0.0674,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,C,commercial,96.33,423.84,0.0741,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,C,industrial,100.71,560.27,0.0775,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,D,residential,71.15,427.59,0.0547,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,D,commercial,78.27,509.67,0.0602,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,D,industrial,81.82,358.85,0.0629,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,E,residential,54.73,306.17,0.0421,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,E,commercial,60.21,333.51,0.0463,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,E,industrial,62.94,378.87,0.0484,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,Premium,residential,218.93,1349.37,0.1684,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,Premium,commercial,240.82,1101.17,0.1852,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,PHED,Premium,industrial,251.77,1225.02,0.1937,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,A,residential,111.19,725.64,0.0855,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,A,commercial,122.31,813.0,0.0941,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,A,industrial,127.87,933.58,0.0984,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,B,residential,88.95,523.2,0.0684,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,B,commercial,97.85,707.72,0.0753,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,B,industrial,102.3,650.96,0.0787,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,C,residential,71.16,398.82,0.0547,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,C,commercial,78.28,430.33,0.0602,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,C,industrial,81.84,611.14,0.063,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,D,residential,57.82,422.11,0.0445,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,D,commercial,63.6,496.42,0.0489,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,D,industrial,66.49,375.44,0.0511,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,E,residential,44.48,335.55,0.0342,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,E,commercial,48.92,390.06,0.0376,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,E,industrial,51.15,336.89,0.0393,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,Premium,residential,177.91,1338.72,0.1369,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,Premium,commercial,195.7,1537.48,0.1505,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,YEDC,Premium,industrial,204.59,1258.94,0.1574,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,A,residential,134.51,669.12,0.1035,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,A,commercial,147.96,734.18,0.1138,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,A,industrial,154.69,692.53,0.119,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,B,residential,107.61,500.49,0.0828,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,B,commercial,118.37,666.54,0.0911,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,B,industrial,123.75,600.37,0.0952,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,C,residential,86.09,444.11,0.0662,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,C,commercial,94.7,451.16,0.0728,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,C,industrial,99.0,519.12,0.0762,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,D,residential,69.95,341.36,0.0538,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,D,commercial,76.94,365.59,0.0592,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,D,industrial,80.44,403.19,0.0619,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,E,residential,53.8,290.8,0.0414,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,E,commercial,59.18,389.08,0.0455,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,E,industrial,61.87,335.8,0.0476,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,Premium,residential,215.22,1125.26,0.1656,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,Premium,commercial,236.74,1227.3,0.1821,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,AEDC,Premium,industrial,247.5,1466.94,0.1904,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,A,residential,140.27,797.06,0.1079,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,A,commercial,154.3,731.53,0.1187,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,A,industrial,161.31,811.76,0.1241,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,B,residential,112.21,540.26,0.0863,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,B,commercial,123.44,610.96,0.095,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,B,industrial,129.05,737.22,0.0993,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,C,residential,89.77,502.28,0.0691,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,C,commercial,98.75,453.7,0.076,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,C,industrial,103.24,473.87,0.0794,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,D,residential,72.94,432.65,0.0561,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,D,commercial,80.23,472.07,0.0617,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,D,industrial,83.88,451.74,0.0645,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,E,residential,56.11,328.93,0.0432,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,E,commercial,61.72,389.4,0.0475,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,E,industrial,64.52,313.75,0.0496,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,Premium,residential,224.43,1096.98,0.1726,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,Premium,commercial,246.87,1463.32,0.1899,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,BEDC,Premium,industrial,258.09,1353.67,0.1985,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,EEDC,A,residential,138.24,731.17,0.1063,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,EEDC,A,commercial,152.06,797.0,0.117,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-02-01,EEDC,A,industrial,158.98,722.03,0.1223,synthetic_fabricated_from_policy_context,NERC publications; media reports
