# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Time_hours,TC_1_Inlet_C,TC_2_Middle_C,TC_3_Outlet_C,TC_4_Top_C,TC_5_Bottom_C
557.79,582.21,728.96,794.34,807.50,764.42
562.81,560.94,720.39,777.86,797.30,753.87
567.84,548.65,711.67,777.43,798.99,752.46
572.86,542.03,707.13,768.47,791.52,737.94
577.89,548.32,711.66,772.94,787.81,746.80
582.91,553.51,711.07,773.24,796.01,747.02
587.94,568.34,718.38,780.16,801.17,760.57
592.96,568.34,738.35,794.22,807.48,764.38
597.99,586.77,745.52,798.46,820.97,772.38
603.02,608.69,756.86,805.35,819.44,781.42
608.04,625.19,771.11,825.64,840.37,796.56
613.07,641.34,777.30,822.82,840.92,805.28
618.09,650.45,786.23,830.20,844.58,810.05
623.12,648.92,790.87,839.11,838.35,804.38
628.14,650.76,788.04,825.80,839.47,809.54
633.17,642.42,792.53,824.68,843.17,813.13
638.19,632.83,787.02,824.03,828.78,798.91
643.22,625.30,770.91,817.18,826.74,796.43
648.24,598.75,741.25,800.27,823.07,789.35
653.27,597.63,738.08,790.72,809.27,767.95
658.29,572.86,730.74,783.05,797.12,759.42
663.32,564.36,725.66,778.45,800.51,757.10
668.34,555.13,714.84,760.82,791.77,751.14
673.37,551.15,713.59,763.65,800.47,740.76
678.39,552.79,706.09,777.14,793.25,749.40
683.42,566.37,717.31,771.94,796.27,755.92
688.44,569.68,725.10,782.51,803.62,751.36
693.47,589.71,721.95,783.84,808.92,771.79
698.49,591.37,747.87,788.86,814.14,777.60
703.52,598.54,752.72,810.73,824.90,785.97
708.54,631.85,773.55,815.04,833.59,796.84
713.57,637.81,784.85,818.19,832.65,804.56
718.59,647.27,776.67,827.74,841.79,803.06
723.62,645.92,788.66,830.10,840.24,821.57
728.64,647.25,796.00,843.96,843.80,817.56
733.67,638.82,777.66,821.21,839.54,818.84
738.69,632.19,780.22,815.79,837.68,799.61
743.72,623.29,762.77,809.20,828.05,797.14
748.74,605.97,748.85,798.38,826.65,782.55
753.77,591.76,741.26,794.76,810.08,774.32
758.79,569.93,727.17,796.09,809.44,759.66
763.82,559.14,723.37,775.01,805.45,744.99
768.84,558.20,707.80,762.31,802.91,755.96
773.87,542.63,717.74,763.32,790.02,740.89
778.89,553.38,720.17,763.70,787.47,748.60
783.92,549.25,721.49,773.37,803.81,761.29
788.94,571.11,727.47,772.65,813.31,754.85
793.97,571.96,737.03,784.92,803.76,759.90
798.99,593.98,749.40,792.63,810.49,772.14
804.02,613.25,758.16,810.63,827.69,786.44
809.05,623.92,777.41,818.79,836.45,809.98
814.07,644.42,773.82,833.35,844.25,813.34
819.10,640.45,794.07,839.72,840.04,821.23
824.12,655.30,796.79,829.88,846.13,822.68
829.15,652.10,786.20,821.47,843.55,814.34
834.17,642.20,787.17,827.12,840.60,809.95
839.20,630.42,772.53,822.66,849.51,797.40
844.22,615.78,772.89,809.96,831.14,796.69
849.25,595.59,755.46,794.56,823.68,785.13
854.27,585.09,743.23,792.45,812.25,764.99
859.30,572.65,728.60,781.92,801.97,762.56
864.32,570.02,722.99,771.50,799.24,755.85
869.35,550.20,704.13,768.67,806.17,744.48
874.37,549.68,709.92,768.62,797.90,744.63
879.40,551.86,710.82,766.70,796.35,752.21
884.42,555.05,716.98,781.05,801.98,754.64
889.45,574.78,729.98,767.97,806.05,750.66
894.47,575.44,741.92,801.76,816.76,771.67
899.50,595.00,742.39,802.95,813.91,776.45
904.52,613.21,765.60,812.49,823.95,791.14
909.55,629.31,770.05,814.82,841.41,794.18
914.57,635.27,786.90,823.03,842.00,808.88
919.60,637.03,794.42,829.00,835.26,802.14
924.62,648.41,791.92,827.56,843.14,823.82
929.65,650.20,787.01,827.58,848.09,812.97
934.67,645.87,776.62,826.41,841.70,800.86
939.70,632.27,784.33,816.56,839.67,791.68
944.72,614.98,766.64,802.74,828.44,785.49
949.75,602.84,748.03,797.94,823.04,776.24
954.77,590.83,738.54,788.06,812.68,766.94
959.80,577.55,727.75,787.66,810.21,767.56
964.82,557.57,719.79,778.56,803.48,741.60
969.85,558.54,714.02,766.39,803.07,752.76
974.87,552.85,709.32,762.69,794.95,750.12
979.90,553.04,717.24,767.31,786.78,753.49
984.92,563.01,725.87,774.70,794.81,749.14
989.95,564.27,725.10,777.05,808.31,760.24
994.97,592.72,730.95,790.91,809.27,769.58
1000.00,594.66,748.33,796.91,814.80,780.03
