# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Time_hours,Cell_1_Voltage_V,Cell_2_Voltage_V,Cell_3_Voltage_V,Cell_4_Voltage_V,Cell_5_Voltage_V,Stack_Voltage_V,Temperature_C
552.76,0.6254,0.6445,0.6495,0.6638,0.6443,3.2275,796.79
557.79,0.6457,0.6723,0.6364,0.6545,0.6229,3.2318,789.90
562.81,0.6420,0.6436,0.6388,0.6512,0.6450,3.2206,781.13
567.84,0.6222,0.6367,0.6300,0.6382,0.6324,3.1595,777.67
572.86,0.6301,0.6303,0.6370,0.6476,0.6553,3.2003,782.23
577.89,0.6558,0.6416,0.6348,0.6440,0.6416,3.2178,777.77
582.91,0.6465,0.6390,0.6434,0.6416,0.6223,3.1928,780.69
587.94,0.6528,0.6379,0.6422,0.6362,0.6508,3.2199,780.35
592.96,0.6314,0.6503,0.6400,0.6439,0.6476,3.2132,795.19
597.99,0.6210,0.6636,0.6600,0.6608,0.6227,3.2281,797.13
603.02,0.6327,0.6439,0.6318,0.6459,0.6404,3.1947,810.76
608.04,0.6265,0.6539,0.6434,0.6206,0.6278,3.1722,810.05
613.07,0.6340,0.6350,0.6306,0.6502,0.6331,3.1829,810.75
618.09,0.6382,0.6315,0.6391,0.6396,0.6459,3.1943,820.89
623.12,0.6303,0.6376,0.6225,0.6385,0.6344,3.1633,822.27
628.14,0.6298,0.6412,0.6261,0.6379,0.6263,3.1613,815.55
633.17,0.6478,0.6410,0.6449,0.6323,0.6355,3.2015,813.15
638.19,0.6293,0.6362,0.6402,0.6317,0.6202,3.1576,806.64
643.22,0.6385,0.6456,0.6107,0.6546,0.6258,3.1752,816.06
648.24,0.6319,0.6362,0.6325,0.6460,0.6098,3.1564,803.61
653.27,0.6353,0.6356,0.6352,0.6444,0.6460,3.1965,795.98
658.29,0.6339,0.6241,0.6274,0.6430,0.6141,3.1425,791.47
663.32,0.6563,0.6372,0.6394,0.6335,0.6187,3.1851,780.26
668.34,0.6344,0.6288,0.6311,0.6293,0.6172,3.1408,782.79
673.37,0.6264,0.6336,0.6326,0.6424,0.6165,3.1515,782.65
678.39,0.6428,0.6440,0.6132,0.6212,0.6317,3.1529,777.22
683.42,0.6242,0.6197,0.6224,0.6190,0.6172,3.1025,782.16
688.44,0.6409,0.6416,0.6301,0.6145,0.6350,3.1621,795.40
693.47,0.6160,0.6188,0.6390,0.6360,0.6359,3.1457,798.80
698.49,0.6261,0.6334,0.6316,0.6395,0.6358,3.1664,793.41
703.52,0.6248,0.6390,0.6408,0.6161,0.6252,3.1459,803.30
708.54,0.6284,0.6348,0.6270,0.6135,0.6245,3.1282,811.23
713.57,0.6220,0.6149,0.6253,0.6142,0.6131,3.0895,818.49
718.59,0.6246,0.6180,0.6232,0.6177,0.6204,3.1039,816.06
723.62,0.6303,0.6316,0.6313,0.6368,0.6403,3.1703,818.09
728.64,0.6237,0.6306,0.6383,0.6416,0.6246,3.1588,815.70
733.67,0.6436,0.6067,0.5997,0.6069,0.6215,3.0784,813.27
738.69,0.6238,0.6271,0.6053,0.6283,0.6230,3.1075,815.76
743.72,0.6195,0.6370,0.6283,0.6190,0.6110,3.1148,793.99
748.74,0.6115,0.6371,0.6328,0.6339,0.6063,3.1216,805.03
753.77,0.6101,0.6341,0.6180,0.6364,0.6069,3.1055,792.23
758.79,0.6166,0.6071,0.6301,0.6205,0.6189,3.0932,790.95
763.82,0.6075,0.6205,0.6146,0.6192,0.6180,3.0798,791.76
768.84,0.5997,0.6223,0.6445,0.6322,0.6084,3.1071,783.53
773.87,0.6099,0.6292,0.6166,0.6347,0.6209,3.1113,778.44
778.89,0.6065,0.6178,0.6315,0.6049,0.6253,3.0860,780.58
783.92,0.5977,0.6196,0.6212,0.6312,0.6333,3.1030,779.71
788.94,0.6007,0.6345,0.6369,0.5972,0.6089,3.0782,785.23
793.97,0.6173,0.6127,0.6128,0.6275,0.6226,3.0929,795.01
798.99,0.6204,0.6139,0.6166,0.6237,0.6151,3.0897,801.34
804.02,0.6207,0.6062,0.6275,0.6064,0.6350,3.0958,803.30
809.05,0.6305,0.6357,0.6247,0.6015,0.6150,3.1074,814.45
814.07,0.6096,0.6201,0.6141,0.6109,0.6188,3.0735,809.58
819.10,0.5980,0.6233,0.6120,0.6192,0.6155,3.0680,823.02
824.12,0.5960,0.6094,0.6243,0.6317,0.6173,3.0787,815.68
829.15,0.6202,0.6286,0.6129,0.6160,0.6137,3.0914,818.80
834.17,0.6198,0.6383,0.6224,0.6017,0.6282,3.1104,816.80
839.20,0.6136,0.6162,0.6183,0.6288,0.6166,3.0935,816.50
844.22,0.6038,0.6162,0.6083,0.6123,0.6183,3.0589,804.60
849.25,0.6056,0.6191,0.6178,0.6198,0.6045,3.0668,802.15
854.27,0.6142,0.6227,0.6049,0.6147,0.6138,3.0703,790.97
859.30,0.6031,0.6028,0.6261,0.6051,0.6087,3.0458,786.53
864.32,0.6077,0.6080,0.6250,0.6176,0.6056,3.0639,793.51
869.35,0.6109,0.6197,0.6120,0.6220,0.5956,3.0602,767.97
874.37,0.6149,0.6052,0.5992,0.6064,0.6039,3.0296,783.45
879.40,0.6159,0.6044,0.5979,0.6146,0.6194,3.0522,783.03
884.42,0.6191,0.6173,0.6024,0.6133,0.6101,3.0622,781.57
889.45,0.6278,0.6265,0.6116,0.6148,0.5863,3.0670,788.42
894.47,0.5850,0.5970,0.6089,0.5891,0.6042,2.9842,789.14
899.50,0.5875,0.6135,0.5910,0.6261,0.6171,3.0352,795.07
904.52,0.6015,0.6085,0.6050,0.6004,0.6254,3.0408,806.23
909.55,0.6041,0.6010,0.6022,0.6042,0.6094,3.0209,811.89
914.57,0.6066,0.6026,0.5961,0.5953,0.6066,3.0072,815.95
919.60,0.6064,0.6076,0.6339,0.6066,0.6039,3.0584,821.45
924.62,0.5876,0.6188,0.6105,0.5912,0.5983,3.0064,825.72
929.65,0.6071,0.5953,0.6018,0.5872,0.6150,3.0064,829.80
934.67,0.5919,0.5998,0.5928,0.5986,0.5942,2.9773,821.07
939.70,0.5913,0.5930,0.6042,0.5990,0.6047,2.9922,807.77
944.72,0.6075,0.6080,0.5978,0.6232,0.5945,3.0310,813.60
949.75,0.5858,0.5975,0.6101,0.6106,0.5940,2.9980,803.30
954.77,0.5959,0.6070,0.6058,0.6041,0.5938,3.0066,799.15
959.80,0.6059,0.5954,0.6020,0.6028,0.5905,2.9966,789.06
964.82,0.5899,0.6005,0.5855,0.6028,0.6048,2.9835,783.55
969.85,0.5921,0.6137,0.5962,0.6166,0.6063,3.0249,774.45
974.87,0.6000,0.5969,0.5958,0.6020,0.5936,2.9883,778.21
979.90,0.6010,0.6093,0.6033,0.6082,0.6069,3.0287,781.56
984.92,0.5924,0.5979,0.6258,0.5992,0.5990,3.0143,771.81
989.95,0.5919,0.6232,0.6110,0.6039,0.6167,3.0467,794.82
994.97,0.5936,0.5934,0.5920,0.6053,0.6174,3.0017,794.31
1000.00,0.6009,0.6054,0.6035,0.5926,0.5838,2.9862,794.80
