period,site_id,flared_volume,unit,provenance,sources
2023-01,ESCRAVOS,45753.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-10,BONGA,38389.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-11,BONGA,21443.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-12,BONGA,39210.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-01,AGBAMI,23229.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-02,AGBAMI,17978.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-03,AGBAMI,48180.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-04,AGBAMI,29841.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-05,AGBAMI,39215.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-06,AGBAMI,35773.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-07,AGBAMI,19897.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-08,AGBAMI,32143.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-09,AGBAMI,30167.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-10,AGBAMI,36670.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-11,AGBAMI,20162.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-12,AGBAMI,40732.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-01,AGBAMI,28800.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-02,AGBAMI,26369.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-03,AGBAMI,21297.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-04,AGBAMI,24980.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-05,AGBAMI,44640.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-06,AGBAMI,48502.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-07,AGBAMI,20961.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-08,AGBAMI,40959.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-09,AGBAMI,41047.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-10,AGBAMI,36034.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-11,AGBAMI,16389.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-12,AGBAMI,45081.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
