size_mw,fuel,gas_price_usd_per_mmbtu,capacity_factor,net_elec_efficiency,capex_usd_per_kw,lcoe_usd_per_kwh,fuel_cost_usd_per_mwh,emissions_gco2_per_kwh,competitive_vs_premium,provenance
1,captured_flare_gas,5.0,0.75,0.55,3825.0,131.3989,30.99,325.4,False,synthetic_model
1,captured_flare_gas,5.0,0.9,0.55,3825.0,115.4974,30.99,325.4,False,synthetic_model
1,captured_flare_gas,8.0,0.6,0.55,3825.0,173.8451,49.58,325.4,False,synthetic_model
1,captured_flare_gas,8.0,0.75,0.55,3825.0,149.9929,49.58,325.4,False,synthetic_model
1,captured_flare_gas,8.0,0.9,0.55,3825.0,134.0914,49.58,325.4,False,synthetic_model
1,lng_or_lpg,2.0,0.6,0.55,3825.0,136.6571,12.4,334.7,False,synthetic_model
1,lng_or_lpg,2.0,0.75,0.55,3825.0,112.8049,12.4,334.7,False,synthetic_model
1,lng_or_lpg,2.0,0.9,0.55,3825.0,96.9034,12.4,334.7,False,synthetic_model
1,lng_or_lpg,3.0,0.6,0.55,3825.0,142.8551,18.59,334.7,False,synthetic_model
1,lng_or_lpg,3.0,0.75,0.55,3825.0,119.0029,18.59,334.7,False,synthetic_model
1,lng_or_lpg,3.0,0.9,0.55,3825.0,103.1014,18.59,334.7,False,synthetic_model
1,lng_or_lpg,5.0,0.6,0.55,3825.0,155.2511,30.99,334.7,False,synthetic_model
1,lng_or_lpg,5.0,0.75,0.55,3825.0,131.3989,30.99,334.7,False,synthetic_model
1,lng_or_lpg,5.0,0.9,0.55,3825.0,115.4974,30.99,334.7,False,synthetic_model
1,lng_or_lpg,8.0,0.6,0.55,3825.0,173.8451,49.58,334.7,False,synthetic_model
1,lng_or_lpg,8.0,0.75,0.55,3825.0,149.9929,49.58,334.7,False,synthetic_model
1,lng_or_lpg,8.0,0.9,0.55,3825.0,134.0914,49.58,334.7,False,synthetic_model
5,pipeline_natural_gas,2.0,0.6,0.552,2956.0,109.5298,12.35,327.9,False,synthetic_model
5,pipeline_natural_gas,2.0,0.75,0.552,2956.0,91.0941,12.35,327.9,False,synthetic_model
5,pipeline_natural_gas,2.0,0.9,0.552,2956.0,78.8036,12.35,327.9,False,synthetic_model
5,pipeline_natural_gas,3.0,0.6,0.552,2956.0,115.7054,18.53,327.9,False,synthetic_model
5,pipeline_natural_gas,3.0,0.75,0.552,2956.0,97.2696,18.53,327.9,False,synthetic_model
5,pipeline_natural_gas,3.0,0.9,0.552,2956.0,84.9791,18.53,327.9,False,synthetic_model
5,pipeline_natural_gas,5.0,0.6,0.552,2956.0,128.0565,30.88,327.9,False,synthetic_model
5,pipeline_natural_gas,5.0,0.75,0.552,2956.0,109.6208,30.88,327.9,False,synthetic_model
5,pipeline_natural_gas,5.0,0.9,0.552,2956.0,97.3303,30.88,327.9,False,synthetic_model
5,pipeline_natural_gas,8.0,0.6,0.552,2956.0,146.5832,49.4,327.9,False,synthetic_model
5,pipeline_natural_gas,8.0,0.75,0.552,2956.0,128.1475,49.4,327.9,False,synthetic_model
5,pipeline_natural_gas,8.0,0.9,0.552,2956.0,115.857,49.4,327.9,False,synthetic_model
5,captured_flare_gas,2.0,0.6,0.552,2956.0,109.5298,12.35,324.2,False,synthetic_model
5,captured_flare_gas,2.0,0.75,0.552,2956.0,91.0941,12.35,324.2,False,synthetic_model
5,captured_flare_gas,2.0,0.9,0.552,2956.0,78.8036,12.35,324.2,False,synthetic_model
5,captured_flare_gas,3.0,0.6,0.552,2956.0,115.7054,18.53,324.2,False,synthetic_model
5,captured_flare_gas,3.0,0.75,0.552,2956.0,97.2696,18.53,324.2,False,synthetic_model
5,captured_flare_gas,3.0,0.9,0.552,2956.0,84.9791,18.53,324.2,False,synthetic_model
5,captured_flare_gas,5.0,0.6,0.552,2956.0,128.0565,30.88,324.2,False,synthetic_model
5,captured_flare_gas,5.0,0.75,0.552,2956.0,109.6208,30.88,324.2,False,synthetic_model
5,captured_flare_gas,5.0,0.9,0.552,2956.0,97.3303,30.88,324.2,False,synthetic_model
5,captured_flare_gas,8.0,0.6,0.552,2956.0,146.5832,49.4,324.2,False,synthetic_model
5,captured_flare_gas,8.0,0.75,0.552,2956.0,128.1475,49.4,324.2,False,synthetic_model
5,captured_flare_gas,8.0,0.9,0.552,2956.0,115.857,49.4,324.2,False,synthetic_model
5,lng_or_lpg,2.0,0.6,0.552,2956.0,109.5298,12.35,333.5,False,synthetic_model
5,lng_or_lpg,2.0,0.75,0.552,2956.0,91.0941,12.35,333.5,False,synthetic_model
5,lng_or_lpg,2.0,0.9,0.552,2956.0,78.8036,12.35,333.5,False,synthetic_model
5,lng_or_lpg,3.0,0.6,0.552,2956.0,115.7054,18.53,333.5,False,synthetic_model
5,lng_or_lpg,3.0,0.75,0.552,2956.0,97.2696,18.53,333.5,False,synthetic_model
5,lng_or_lpg,3.0,0.9,0.552,2956.0,84.9791,18.53,333.5,False,synthetic_model
5,lng_or_lpg,5.0,0.6,0.552,2956.0,128.0565,30.88,333.5,False,synthetic_model
5,lng_or_lpg,5.0,0.75,0.552,2956.0,109.6208,30.88,333.5,False,synthetic_model
5,lng_or_lpg,5.0,0.9,0.552,2956.0,97.3303,30.88,333.5,False,synthetic_model
5,lng_or_lpg,8.0,0.6,0.552,2956.0,146.5832,49.4,333.5,False,synthetic_model
5,lng_or_lpg,8.0,0.75,0.552,2956.0,128.1475,49.4,333.5,False,synthetic_model
5,lng_or_lpg,8.0,0.9,0.552,2956.0,115.857,49.4,333.5,False,synthetic_model
20,pipeline_natural_gas,2.0,0.6,0.56,2204.0,85.9029,12.19,323.5,False,synthetic_model
20,pipeline_natural_gas,2.0,0.75,0.56,2204.0,72.1595,12.19,323.5,False,synthetic_model
20,pipeline_natural_gas,2.0,0.9,0.56,2204.0,62.9972,12.19,323.5,False,synthetic_model
20,pipeline_natural_gas,3.0,0.6,0.56,2204.0,91.9958,18.28,323.5,False,synthetic_model
20,pipeline_natural_gas,3.0,0.75,0.56,2204.0,78.2523,18.28,323.5,False,synthetic_model
20,pipeline_natural_gas,3.0,0.9,0.56,2204.0,69.09,18.28,323.5,False,synthetic_model
20,pipeline_natural_gas,5.0,0.6,0.56,2204.0,104.1815,30.46,323.5,False,synthetic_model
20,pipeline_natural_gas,5.0,0.75,0.56,2204.0,90.438,30.46,323.5,False,synthetic_model
20,pipeline_natural_gas,5.0,0.9,0.56,2204.0,81.2757,30.46,323.5,False,synthetic_model
20,pipeline_natural_gas,8.0,0.6,0.56,2204.0,122.46,48.74,323.5,False,synthetic_model
20,pipeline_natural_gas,8.0,0.75,0.56,2204.0,108.7166,48.74,323.5,False,synthetic_model
20,pipeline_natural_gas,8.0,0.9,0.56,2204.0,99.5543,48.74,323.5,False,synthetic_model
20,captured_flare_gas,2.0,0.6,0.56,2204.0,85.9029,12.19,319.9,False,synthetic_model
20,captured_flare_gas,2.0,0.75,0.56,2204.0,72.1595,12.19,319.9,False,synthetic_model
20,captured_flare_gas,2.0,0.9,0.56,2204.0,62.9972,12.19,319.9,False,synthetic_model
20,captured_flare_gas,3.0,0.6,0.56,2204.0,91.9958,18.28,319.9,False,synthetic_model
20,captured_flare_gas,3.0,0.75,0.56,2204.0,78.2523,18.28,319.9,False,synthetic_model
20,captured_flare_gas,3.0,0.9,0.56,2204.0,69.09,18.28,319.9,False,synthetic_model
20,captured_flare_gas,5.0,0.6,0.56,2204.0,104.1815,30.46,319.9,False,synthetic_model
20,captured_flare_gas,5.0,0.75,0.56,2204.0,90.438,30.46,319.9,False,synthetic_model
20,captured_flare_gas,5.0,0.9,0.56,2204.0,81.2757,30.46,319.9,False,synthetic_model
20,captured_flare_gas,8.0,0.6,0.56,2204.0,122.46,48.74,319.9,False,synthetic_model
20,captured_flare_gas,8.0,0.75,0.56,2204.0,108.7166,48.74,319.9,False,synthetic_model
20,captured_flare_gas,8.0,0.9,0.56,2204.0,99.5543,48.74,319.9,False,synthetic_model
20,lng_or_lpg,2.0,0.6,0.56,2204.0,85.9029,12.19,329.0,False,synthetic_model
20,lng_or_lpg,2.0,0.75,0.56,2204.0,72.1595,12.19,329.0,False,synthetic_model
20,lng_or_lpg,2.0,0.9,0.56,2204.0,62.9972,12.19,329.0,False,synthetic_model
20,lng_or_lpg,3.0,0.6,0.56,2204.0,91.9958,18.28,329.0,False,synthetic_model
20,lng_or_lpg,3.0,0.75,0.56,2204.0,78.2523,18.28,329.0,False,synthetic_model
20,lng_or_lpg,3.0,0.9,0.56,2204.0,69.09,18.28,329.0,False,synthetic_model
20,lng_or_lpg,5.0,0.6,0.56,2204.0,104.1815,30.46,329.0,False,synthetic_model
20,lng_or_lpg,5.0,0.75,0.56,2204.0,90.438,30.46,329.0,False,synthetic_model
20,lng_or_lpg,5.0,0.9,0.56,2204.0,81.2757,30.46,329.0,False,synthetic_model
20,lng_or_lpg,8.0,0.6,0.56,2204.0,122.46,48.74,329.0,False,synthetic_model
20,lng_or_lpg,8.0,0.75,0.56,2204.0,108.7166,48.74,329.0,False,synthetic_model
20,lng_or_lpg,8.0,0.9,0.56,2204.0,99.5543,48.74,329.0,False,synthetic_model
