date,disco,allocated_mw,transmitted_mw,load_shedding_mw
2024-10-24,Port Harcourt DISCO,408.1,385.3,22.8
2024-10-24,Yola DISCO,185.1,156.8,28.3
2024-10-25,Abuja DISCO,331.1,311.1,20.0
2024-10-25,Benin DISCO,274.0,263.5,10.5
2024-10-25,Eko DISCO,349.0,316.2,32.7
2024-10-25,Enugu DISCO,324.9,299.1,25.8
2024-10-25,Ibadan DISCO,393.9,353.0,41.0
2024-10-25,Ikeja DISCO,404.8,378.9,25.9
2024-10-25,Jos DISCO,232.1,210.4,21.6
2024-10-25,Kaduna DISCO,283.0,252.5,30.5
2024-10-25,Kano DISCO,324.3,305.7,18.7
2024-10-25,Port Harcourt DISCO,261.5,244.4,17.1
2024-10-25,Yola DISCO,142.8,131.6,11.1
2024-10-26,Abuja DISCO,464.8,409.7,55.2
2024-10-26,Benin DISCO,347.4,336.9,10.6
2024-10-26,Eko DISCO,451.5,408.1,43.4
2024-10-26,Enugu DISCO,382.4,332.1,50.4
2024-10-26,Ibadan DISCO,431.7,391.8,39.9
2024-10-26,Ikeja DISCO,494.6,462.7,31.9
2024-10-26,Jos DISCO,280.8,268.9,11.9
2024-10-26,Kaduna DISCO,316.3,268.6,47.7
2024-10-26,Kano DISCO,354.3,344.2,10.2
2024-10-26,Port Harcourt DISCO,343.4,308.6,34.8
2024-10-26,Yola DISCO,159.7,148.9,10.9
2024-10-27,Abuja DISCO,530.1,459.3,70.8
2024-10-27,Benin DISCO,422.9,379.8,43.1
2024-10-27,Eko DISCO,497.3,470.4,26.9
2024-10-27,Enugu DISCO,444.1,425.8,18.3
2024-10-27,Ibadan DISCO,524.9,489.3,35.6
2024-10-27,Ikeja DISCO,578.1,572.3,5.8
2024-10-27,Jos DISCO,355.9,324.3,31.6
2024-10-27,Kaduna DISCO,431.2,382.3,48.9
2024-10-27,Kano DISCO,482.9,448.4,34.4
2024-10-27,Port Harcourt DISCO,431.6,404.4,27.2
2024-10-27,Yola DISCO,201.2,182.9,18.3
2024-10-28,Abuja DISCO,548.7,522.8,25.9
2024-10-28,Benin DISCO,444.2,411.7,32.5
2024-10-28,Eko DISCO,493.2,461.4,31.8
2024-10-28,Enugu DISCO,452.5,407.7,44.8
2024-10-28,Ibadan DISCO,540.3,523.4,16.9
2024-10-28,Ikeja DISCO,578.4,493.7,84.7
2024-10-28,Jos DISCO,389.6,354.4,35.2
2024-10-28,Kaduna DISCO,395.4,360.8,34.7
2024-10-28,Kano DISCO,471.5,423.7,47.8
2024-10-28,Port Harcourt DISCO,466.5,435.6,30.9
2024-10-28,Yola DISCO,192.4,189.7,2.7
2024-10-29,Abuja DISCO,525.6,499.6,26.1
2024-10-29,Benin DISCO,374.1,325.1,49.0
2024-10-29,Eko DISCO,468.9,464.3,4.7
2024-10-29,Enugu DISCO,404.7,348.9,55.8
2024-10-29,Ibadan DISCO,485.3,449.1,36.2
2024-10-29,Ikeja DISCO,633.3,587.0,46.3
2024-10-29,Jos DISCO,349.2,307.7,41.5
2024-10-29,Kaduna DISCO,347.9,314.6,33.3
2024-10-29,Kano DISCO,493.7,467.0,26.7
2024-10-29,Port Harcourt DISCO,411.3,368.3,42.9
2024-10-29,Yola DISCO,171.4,162.9,8.5
2024-10-30,Abuja DISCO,517.5,463.0,54.5
2024-10-30,Benin DISCO,424.5,385.2,39.3
2024-10-30,Eko DISCO,427.9,383.3,44.6
2024-10-30,Enugu DISCO,381.0,339.3,41.8
2024-10-30,Ibadan DISCO,522.6,475.6,47.0
2024-10-30,Ikeja DISCO,521.5,490.8,30.7
2024-10-30,Jos DISCO,311.5,295.0,16.5
2024-10-30,Kaduna DISCO,355.0,320.2,34.8
2024-10-30,Kano DISCO,432.8,392.4,40.4
2024-10-30,Port Harcourt DISCO,387.0,365.8,21.2
2024-10-30,Yola DISCO,171.0,158.7,12.3
2024-10-31,Abuja DISCO,439.6,426.8,12.8
2024-10-31,Benin DISCO,362.9,334.4,28.5
2024-10-31,Eko DISCO,433.9,418.8,15.1
2024-10-31,Enugu DISCO,393.4,361.6,31.8
2024-10-31,Ibadan DISCO,446.0,394.9,51.1
2024-10-31,Ikeja DISCO,475.1,447.1,27.9
2024-10-31,Jos DISCO,315.3,295.5,19.8
2024-10-31,Kaduna DISCO,319.9,287.2,32.7
2024-10-31,Kano DISCO,437.8,399.1,38.7
2024-10-31,Port Harcourt DISCO,343.7,326.2,17.4
2024-10-31,Yola DISCO,172.5,152.7,19.8
2024-11-01,Abuja DISCO,453.2,436.5,16.8
2024-11-01,Benin DISCO,425.2,385.6,39.5
2024-11-01,Eko DISCO,406.6,394.3,12.3
2024-11-01,Enugu DISCO,407.5,375.6,31.9
2024-11-01,Ibadan DISCO,515.3,493.0,22.3
2024-11-01,Ikeja DISCO,523.5,474.2,49.2
2024-11-01,Jos DISCO,316.2,300.3,16.0
2024-11-01,Kaduna DISCO,322.6,311.9,10.6
2024-11-01,Kano DISCO,429.5,400.5,28.9
2024-11-01,Port Harcourt DISCO,375.7,341.6,34.1
2024-11-01,Yola DISCO,175.8,160.8,15.0
2024-11-02,Abuja DISCO,370.3,335.2,35.1
2024-11-02,Benin DISCO,285.7,257.2,28.5
2024-11-02,Eko DISCO,332.1,318.6,13.5
2024-11-02,Enugu DISCO,302.8,247.2,55.6
2024-11-02,Ibadan DISCO,330.6,294.9,35.7
2024-11-02,Ikeja DISCO,381.4,357.7,23.7
2024-11-02,Jos DISCO,225.9,205.7,20.2
2024-11-02,Kaduna DISCO,268.1,236.1,32.0
2024-11-02,Kano DISCO,279.7,254.1,25.6
2024-11-02,Port Harcourt DISCO,295.7,278.3,17.4
2024-11-02,Yola DISCO,119.6,108.3,11.2
2024-11-03,Abuja DISCO,603.9,563.4,40.5
2024-11-03,Benin DISCO,510.9,462.6,48.2
2024-11-03,Eko DISCO,537.5,532.1,5.4
2024-11-03,Enugu DISCO,451.5,414.9,36.6
2024-11-03,Ibadan DISCO,555.1,549.1,6.0
2024-11-03,Ikeja DISCO,671.1,627.5,43.6
2024-11-03,Jos DISCO,333.1,301.9,31.2
2024-11-03,Kaduna DISCO,437.7,370.9,66.8
2024-11-03,Kano DISCO,471.0,463.8,7.2
2024-11-03,Port Harcourt DISCO,444.7,391.6,53.1
2024-11-03,Yola DISCO,218.0,196.6,21.4
2024-11-04,Abuja DISCO,386.0,370.8,15.2
2024-11-04,Benin DISCO,293.4,258.5,34.9
2024-11-04,Eko DISCO,360.9,346.5,14.4
2024-11-04,Enugu DISCO,302.3,270.9,31.5
2024-11-04,Ibadan DISCO,373.1,323.1,49.9
2024-11-04,Ikeja DISCO,391.7,360.8,30.9
2024-11-04,Jos DISCO,237.5,217.9,19.6
2024-11-04,Kaduna DISCO,291.6,263.6,28.0
2024-11-04,Kano DISCO,337.1,325.2,11.9
2024-11-04,Port Harcourt DISCO,299.5,281.2,18.3
2024-11-04,Yola DISCO,134.5,130.3,4.2
2024-11-05,Abuja DISCO,508.8,452.3,56.5
2024-11-05,Benin DISCO,495.1,457.4,37.8
2024-11-05,Eko DISCO,526.4,469.6,56.8
2024-11-05,Enugu DISCO,473.7,416.9,56.8
2024-11-05,Ibadan DISCO,625.4,601.4,24.0
2024-11-05,Ikeja DISCO,606.0,600.0,6.1
2024-11-05,Jos DISCO,357.6,313.9,43.7
2024-11-05,Kaduna DISCO,386.2,364.1,22.1
2024-11-05,Kano DISCO,524.2,462.2,62.0
2024-11-05,Port Harcourt DISCO,426.2,382.7,43.4
2024-11-05,Yola DISCO,191.8,170.0,21.8
2024-11-06,Abuja DISCO,430.7,410.5,20.2
2024-11-06,Benin DISCO,361.1,343.8,17.3
2024-11-06,Eko DISCO,363.6,326.1,37.6
2024-11-06,Enugu DISCO,341.9,310.1,31.9
2024-11-06,Ibadan DISCO,489.0,482.9,6.1
2024-11-06,Ikeja DISCO,489.7,452.9,36.8
2024-11-06,Jos DISCO,273.6,242.4,31.2
2024-11-06,Kaduna DISCO,294.5,262.9,31.6
2024-11-06,Kano DISCO,356.8,329.2,27.6
2024-11-06,Port Harcourt DISCO,324.5,289.4,35.1
2024-11-06,Yola DISCO,146.0,135.0,11.0
2024-11-07,Abuja DISCO,326.5,305.6,20.9
2024-11-07,Benin DISCO,305.7,283.6,22.2
2024-11-07,Eko DISCO,348.6,345.1,3.5
2024-11-07,Enugu DISCO,314.2,268.1,46.1
2024-11-07,Ibadan DISCO,368.1,330.5,37.7
2024-11-07,Ikeja DISCO,450.9,428.1,22.8
2024-11-07,Jos DISCO,260.6,236.0,24.6
2024-11-07,Kaduna DISCO,272.1,257.1,15.0
2024-11-07,Kano DISCO,347.0,311.7,35.3
2024-11-07,Port Harcourt DISCO,339.3,316.9,22.3
2024-11-07,Yola DISCO,137.3,122.3,15.1
2024-11-08,Abuja DISCO,549.9,503.6,46.4
2024-11-08,Benin DISCO,445.2,414.2,30.9
2024-11-08,Eko DISCO,489.7,463.7,26.0
2024-11-08,Enugu DISCO,466.1,400.7,65.4
2024-11-08,Ibadan DISCO,548.5,473.6,74.9
2024-11-08,Ikeja DISCO,600.2,594.2,6.0
2024-11-08,Jos DISCO,330.1,312.9,17.3
2024-11-08,Kaduna DISCO,361.1,310.9,50.1
2024-11-08,Kano DISCO,492.2,472.2,20.0
2024-11-08,Port Harcourt DISCO,448.7,444.2,4.5
2024-11-08,Yola DISCO,185.3,172.0,13.3
2024-11-09,Abuja DISCO,317.6,285.4,32.2
2024-11-09,Benin DISCO,281.3,258.3,23.0
2024-11-09,Eko DISCO,306.2,280.4,25.8
2024-11-09,Enugu DISCO,307.3,300.1,7.2
2024-11-09,Ibadan DISCO,368.9,310.4,58.5
2024-11-09,Ikeja DISCO,381.3,367.3,14.0
2024-11-09,Jos DISCO,223.4,213.3,10.1
2024-11-09,Kaduna DISCO,245.5,232.3,13.2
2024-11-09,Kano DISCO,311.4,286.0,25.4
2024-11-09,Port Harcourt DISCO,320.8,267.6,53.2
2024-11-09,Yola DISCO,143.3,141.3,2.0
2024-11-10,Abuja DISCO,493.9,429.7,64.2
2024-11-10,Benin DISCO,423.0,418.8,4.2
2024-11-10,Eko DISCO,427.1,372.4,54.6
2024-11-10,Enugu DISCO,382.5,355.4,27.1
2024-11-10,Ibadan DISCO,444.5,424.4,20.1
2024-11-10,Ikeja DISCO,542.4,492.4,50.0
2024-11-10,Jos DISCO,341.4,327.2,14.2
2024-11-10,Kaduna DISCO,383.8,353.3,30.5
2024-11-10,Kano DISCO,434.3,360.0,74.3
2024-11-10,Port Harcourt DISCO,397.2,333.6,63.6
2024-11-10,Yola DISCO,183.0,177.7,5.3
2024-11-11,Abuja DISCO,437.7,401.6,36.1
2024-11-11,Benin DISCO,398.9,377.3,21.6
2024-11-11,Eko DISCO,444.5,389.5,55.0
2024-11-11,Enugu DISCO,397.9,327.3,70.6
2024-11-11,Ibadan DISCO,495.2,460.7,34.5
2024-11-11,Ikeja DISCO,534.7,529.3,5.3
2024-11-11,Jos DISCO,316.4,310.0,6.4
2024-11-11,Kaduna DISCO,391.8,375.8,16.0
2024-11-11,Kano DISCO,477.8,436.3,41.4
2024-11-11,Port Harcourt DISCO,404.0,367.8,36.3
2024-11-11,Yola DISCO,166.8,150.1,16.7
2024-11-12,Abuja DISCO,306.1,281.2,24.8
2024-11-12,Benin DISCO,227.9,204.1,23.8
2024-11-12,Eko DISCO,286.0,257.5,28.5
2024-11-12,Enugu DISCO,281.4,251.1,30.3
2024-11-12,Ibadan DISCO,314.7,303.4,11.3
2024-11-12,Ikeja DISCO,348.5,341.3,7.2
2024-11-12,Jos DISCO,191.8,189.9,1.9
2024-11-12,Kaduna DISCO,231.8,217.1,14.7
2024-11-12,Kano DISCO,260.8,233.8,27.0
2024-11-12,Port Harcourt DISCO,284.5,262.0,22.5
2024-11-12,Yola DISCO,116.0,112.6,3.4
2024-11-13,Abuja DISCO,413.3,380.1,33.2
2024-11-13,Benin DISCO,328.8,304.9,23.9
2024-11-13,Eko DISCO,389.3,353.7,35.6
2024-11-13,Enugu DISCO,370.4,335.0,35.4
2024-11-13,Ibadan DISCO,417.4,371.5,45.9
2024-11-13,Ikeja DISCO,513.1,469.9,43.2
2024-11-13,Jos DISCO,264.3,228.9,35.4
2024-11-13,Kaduna DISCO,289.8,259.5,30.3
2024-11-13,Kano DISCO,428.2,390.9,37.3
2024-11-13,Port Harcourt DISCO,374.7,352.9,21.7
2024-11-13,Yola DISCO,170.8,159.1,11.7
2024-11-14,Abuja DISCO,520.8,501.6,19.2
2024-11-14,Benin DISCO,366.2,342.7,23.5
2024-11-14,Eko DISCO,498.8,465.3,33.6
2024-11-14,Enugu DISCO,441.5,388.3,53.2
2024-11-14,Ibadan DISCO,527.3,473.9,53.4
2024-11-14,Ikeja DISCO,586.7,517.1,69.5
2024-11-14,Jos DISCO,341.7,321.1,20.6
2024-11-14,Kaduna DISCO,368.5,356.4,12.1
2024-11-14,Kano DISCO,505.6,441.5,64.1
2024-11-14,Port Harcourt DISCO,431.3,410.2,21.2
2024-11-14,Yola DISCO,182.3,166.2,16.1
2024-11-15,Abuja DISCO,416.1,359.5,56.6
2024-11-15,Benin DISCO,346.2,331.2,15.0
2024-11-15,Eko DISCO,384.7,358.8,25.9
2024-11-15,Enugu DISCO,340.3,303.0,37.3
2024-11-15,Ibadan DISCO,402.0,358.8,43.3
2024-11-15,Ikeja DISCO,443.6,393.5,50.1
2024-11-15,Jos DISCO,252.5,242.8,9.7
2024-11-15,Kaduna DISCO,267.5,252.1,15.4
2024-11-15,Kano DISCO,346.8,317.5,29.3
2024-11-15,Port Harcourt DISCO,351.5,329.0,22.5
2024-11-15,Yola DISCO,145.6,134.3,11.4
2024-11-16,Abuja DISCO,491.7,433.7,58.0
2024-11-16,Benin DISCO,369.7,348.5,21.2
2024-11-16,Eko DISCO,404.6,367.1,37.5
2024-11-16,Enugu DISCO,310.8,271.8,39.0
2024-11-16,Ibadan DISCO,439.0,418.8,20.3
2024-11-16,Ikeja DISCO,498.8,463.0,35.8
2024-11-16,Jos DISCO,289.8,278.7,11.1
2024-11-16,Kaduna DISCO,331.7,305.2,26.6
2024-11-16,Kano DISCO,430.5,396.3,34.3
2024-11-16,Port Harcourt DISCO,358.1,312.5,45.7
2024-11-16,Yola DISCO,161.5,151.2,10.2
2024-11-17,Abuja DISCO,562.0,539.5,22.4
2024-11-17,Benin DISCO,424.0,407.0,17.1
2024-11-17,Eko DISCO,516.7,474.9,41.8
2024-11-17,Enugu DISCO,419.1,397.7,21.4
2024-11-17,Ibadan DISCO,530.2,518.7,11.5
2024-11-17,Ikeja DISCO,623.2,589.9,33.3
2024-11-17,Jos DISCO,360.9,324.3,36.6
2024-11-17,Kaduna DISCO,417.9,392.4,25.5
2024-11-17,Kano DISCO,471.1,433.4,37.7
2024-11-17,Port Harcourt DISCO,442.9,376.3,66.7
2024-11-17,Yola DISCO,201.1,184.2,16.9
2024-11-18,Abuja DISCO,557.9,474.7,83.2
2024-11-18,Benin DISCO,429.8,388.3,41.5
2024-11-18,Eko DISCO,421.7,381.5,40.2
2024-11-18,Enugu DISCO,382.8,377.7,5.0
2024-11-18,Ibadan DISCO,552.7,539.5,13.2
2024-11-18,Ikeja DISCO,528.2,475.5,52.7
2024-11-18,Jos DISCO,330.1,314.6,15.4
2024-11-18,Kaduna DISCO,372.7,344.6,28.2
2024-11-18,Kano DISCO,433.9,416.5,17.4
2024-11-18,Port Harcourt DISCO,409.5,375.0,34.5
2024-11-18,Yola DISCO,184.7,178.3,6.4
2024-11-19,Abuja DISCO,384.7,356.5,28.2
2024-11-19,Benin DISCO,356.1,312.0,44.2
2024-11-19,Eko DISCO,423.3,403.0,20.3
2024-11-19,Enugu DISCO,350.6,338.0,12.7
2024-11-19,Ibadan DISCO,414.7,383.5,31.3
2024-11-19,Ikeja DISCO,456.9,451.8,5.2
2024-11-19,Jos DISCO,289.0,275.1,13.9
2024-11-19,Kaduna DISCO,330.6,316.4,14.2
2024-11-19,Kano DISCO,446.3,381.5,64.8
2024-11-19,Port Harcourt DISCO,370.4,366.3,4.1
2024-11-19,Yola DISCO,148.5,145.3,3.2
2024-11-20,Abuja DISCO,455.6,414.6,41.0
2024-11-20,Benin DISCO,351.4,330.3,21.2
2024-11-20,Eko DISCO,443.6,421.2,22.4
2024-11-20,Enugu DISCO,364.9,323.6,41.3
2024-11-20,Ibadan DISCO,460.6,407.9,52.8
2024-11-20,Ikeja DISCO,479.2,437.9,41.3
2024-11-20,Jos DISCO,290.0,267.4,22.7
2024-11-20,Kaduna DISCO,304.4,272.6,31.9
2024-11-20,Kano DISCO,412.6,374.4,38.2
2024-11-20,Port Harcourt DISCO,404.1,383.2,21.0
2024-11-20,Yola DISCO,161.1,137.7,23.4
2024-11-21,Abuja DISCO,471.9,438.7,33.2
2024-11-21,Benin DISCO,359.0,325.8,33.2
2024-11-21,Eko DISCO,401.5,385.2,16.3
2024-11-21,Enugu DISCO,387.5,347.2,40.3
2024-11-21,Ibadan DISCO,471.0,411.5,59.5
2024-11-21,Ikeja DISCO,544.0,463.6,80.4
2024-11-21,Jos DISCO,298.8,258.6,40.2
2024-11-21,Kaduna DISCO,279.8,272.9,6.9
2024-11-21,Kano DISCO,426.1,379.4,46.7
2024-11-21,Port Harcourt DISCO,377.8,353.7,24.1
2024-11-21,Yola DISCO,173.7,163.6,10.2
2024-11-22,Abuja DISCO,417.5,371.8,45.7
2024-11-22,Benin DISCO,336.2,302.9,33.3
2024-11-22,Eko DISCO,380.2,327.3,52.9
2024-11-22,Enugu DISCO,322.4,295.4,27.0
2024-11-22,Ibadan DISCO,433.1,390.2,43.0
2024-11-22,Ikeja DISCO,450.2,420.0,30.2
2024-11-22,Jos DISCO,275.5,241.5,34.0
2024-11-22,Kaduna DISCO,309.6,288.8,20.8
2024-11-22,Kano DISCO,363.3,351.6,11.8
2024-11-22,Port Harcourt DISCO,327.4,305.8,21.7
2024-11-22,Yola DISCO,139.0,125.7,13.4
2024-11-23,Abuja DISCO,447.8,406.1,41.7
2024-11-23,Benin DISCO,376.6,323.7,52.9
2024-11-23,Eko DISCO,415.8,349.0,66.8
2024-11-23,Enugu DISCO,362.1,358.5,3.6
2024-11-23,Ibadan DISCO,432.9,424.8,8.1
2024-11-23,Ikeja DISCO,459.2,416.7,42.5
2024-11-23,Jos DISCO,277.8,264.1,13.7
2024-11-23,Kaduna DISCO,306.2,270.0,36.2
2024-11-23,Kano DISCO,418.9,393.6,25.3
2024-11-23,Port Harcourt DISCO,360.1,325.8,34.4
2024-11-23,Yola DISCO,149.7,148.2,1.5
2024-11-24,Abuja DISCO,382.2,342.0,40.2
2024-11-24,Benin DISCO,256.9,225.6,31.4
2024-11-24,Eko DISCO,340.4,314.6,25.8
2024-11-24,Enugu DISCO,322.7,295.5,27.2
2024-11-24,Ibadan DISCO,326.3,267.2,59.1
2024-11-24,Ikeja DISCO,381.4,340.3,41.1
2024-11-24,Jos DISCO,267.2,234.9,32.3
2024-11-24,Kaduna DISCO,280.4,270.8,9.6
2024-11-24,Kano DISCO,352.1,335.5,16.5
2024-11-24,Port Harcourt DISCO,335.6,314.7,20.9
2024-11-24,Yola DISCO,136.4,123.3,13.1
2024-11-25,Abuja DISCO,488.5,438.8,49.7
2024-11-25,Benin DISCO,520.8,467.6,53.2
2024-11-25,Eko DISCO,584.1,561.6,22.5
2024-11-25,Enugu DISCO,484.5,439.5,45.0
2024-11-25,Ibadan DISCO,625.1,566.9,58.2
2024-11-25,Ikeja DISCO,717.4,655.0,62.4
2024-11-25,Jos DISCO,364.4,344.7,19.7
2024-11-25,Kaduna DISCO,447.2,408.1,39.1
2024-11-25,Kano DISCO,494.2,435.9,58.4
2024-11-25,Port Harcourt DISCO,508.2,484.8,23.4
2024-11-25,Yola DISCO,208.2,188.2,20.0
2024-11-26,Abuja DISCO,558.1,514.1,44.0
2024-11-26,Benin DISCO,396.3,365.6,30.7
2024-11-26,Eko DISCO,434.3,398.4,36.0
2024-11-26,Enugu DISCO,393.4,362.0,31.4
2024-11-26,Ibadan DISCO,518.2,511.4,6.8
2024-11-26,Ikeja DISCO,473.8,412.1,61.8
2024-11-26,Jos DISCO,281.0,243.2,37.8
2024-11-26,Kaduna DISCO,331.1,282.1,49.1
2024-11-26,Kano DISCO,499.0,474.0,25.0
2024-11-26,Port Harcourt DISCO,384.3,344.9,39.4
2024-11-26,Yola DISCO,178.0,157.9,20.1
2024-11-27,Abuja DISCO,530.3,521.7,8.6
2024-11-27,Benin DISCO,414.1,376.9,37.2
2024-11-27,Eko DISCO,473.9,450.0,23.9
2024-11-27,Enugu DISCO,418.0,396.1,21.9
2024-11-27,Ibadan DISCO,545.9,524.1,21.7
2024-11-27,Ikeja DISCO,625.7,609.9,15.8
2024-11-27,Jos DISCO,392.7,352.9,39.8
2024-11-27,Kaduna DISCO,374.4,345.1,29.3
2024-11-27,Kano DISCO,498.6,465.1,33.5
2024-11-27,Port Harcourt DISCO,423.9,366.8,57.1
2024-11-27,Yola DISCO,184.4,165.3,19.1
2024-11-28,Abuja DISCO,496.1,450.5,45.6
2024-11-28,Benin DISCO,423.0,379.0,44.0
2024-11-28,Eko DISCO,510.0,442.8,67.2
2024-11-28,Enugu DISCO,424.5,395.5,29.1
2024-11-28,Ibadan DISCO,475.6,433.9,41.7
2024-11-28,Ikeja DISCO,572.8,521.4,51.4
2024-11-28,Jos DISCO,314.5,300.9,13.6
2024-11-28,Kaduna DISCO,366.3,331.6,34.7
2024-11-28,Kano DISCO,427.3,389.9,37.4
2024-11-28,Port Harcourt DISCO,389.6,370.4,19.2
2024-11-28,Yola DISCO,188.2,160.6,27.6
2024-11-29,Abuja DISCO,449.3,384.9,64.4
2024-11-29,Benin DISCO,376.0,328.1,47.9
2024-11-29,Eko DISCO,384.6,361.0,23.6
2024-11-29,Enugu DISCO,330.9,296.1,34.8
2024-11-29,Ibadan DISCO,440.6,392.5,48.1
2024-11-29,Ikeja DISCO,523.7,492.6,31.2
2024-11-29,Jos DISCO,229.6,211.2,18.4
2024-11-29,Kaduna DISCO,306.4,298.2,8.2
2024-11-29,Kano DISCO,428.3,342.8,85.6
2024-11-29,Port Harcourt DISCO,367.8,357.9,9.9
2024-11-29,Yola DISCO,159.0,153.8,5.2
2024-11-30,Abuja DISCO,542.9,507.9,34.9
2024-11-30,Benin DISCO,510.1,462.3,47.8
2024-11-30,Eko DISCO,509.7,416.5,93.1
2024-11-30,Enugu DISCO,453.0,420.2,32.9
2024-11-30,Ibadan DISCO,569.0,538.5,30.5
2024-11-30,Ikeja DISCO,566.8,532.5,34.2
2024-11-30,Jos DISCO,361.6,340.3,21.3
2024-11-30,Kaduna DISCO,415.3,384.7,30.6
2024-11-30,Kano DISCO,466.0,439.7,26.4
2024-11-30,Port Harcourt DISCO,462.6,424.7,38.0
2024-11-30,Yola DISCO,182.9,161.6,21.3
2024-12-01,Abuja DISCO,562.6,524.4,38.2
2024-12-01,Benin DISCO,431.9,388.5,43.4
2024-12-01,Eko DISCO,421.3,416.4,4.8
2024-12-01,Enugu DISCO,413.3,393.9,19.3
2024-12-01,Ibadan DISCO,494.8,431.6,63.1
2024-12-01,Ikeja DISCO,493.5,484.1,9.4
2024-12-01,Jos DISCO,311.1,288.2,22.9
2024-12-01,Kaduna DISCO,360.6,336.8,23.8
2024-12-01,Kano DISCO,421.9,385.3,36.6
2024-12-01,Port Harcourt DISCO,387.8,363.2,24.6
2024-12-01,Yola DISCO,178.5,160.3,18.2
2024-12-02,Abuja DISCO,446.5,442.0,4.5
2024-12-02,Benin DISCO,369.1,350.6,18.5
2024-12-02,Eko DISCO,472.4,433.9,38.5
2024-12-02,Enugu DISCO,396.0,356.4,39.6
2024-12-02,Ibadan DISCO,512.2,484.6,27.6
2024-12-02,Ikeja DISCO,507.8,476.8,31.0
2024-12-02,Jos DISCO,324.9,286.1,38.9
2024-12-02,Kaduna DISCO,356.0,336.2,19.7
2024-12-02,Kano DISCO,396.6,392.7,4.0
2024-12-02,Port Harcourt DISCO,364.3,326.1,38.2
2024-12-02,Yola DISCO,188.6,163.9,24.6
2024-12-03,Abuja DISCO,438.7,390.2,48.4
2024-12-03,Benin DISCO,357.6,354.1,3.6
2024-12-03,Eko DISCO,393.3,372.3,21.0
2024-12-03,Enugu DISCO,332.7,307.6,25.1
2024-12-03,Ibadan DISCO,440.3,435.8,4.5
2024-12-03,Ikeja DISCO,474.0,429.1,44.9
2024-12-03,Jos DISCO,293.0,277.9,15.1
2024-12-03,Kaduna DISCO,302.8,259.5,43.3
2024-12-03,Kano DISCO,360.1,323.6,36.4
2024-12-03,Port Harcourt DISCO,361.3,314.6,46.7
2024-12-03,Yola DISCO,146.0,139.3,6.7
2024-12-04,Abuja DISCO,401.7,397.7,4.0
2024-12-04,Benin DISCO,366.2,325.0,41.2
2024-12-04,Eko DISCO,388.8,333.8,54.9
2024-12-04,Enugu DISCO,356.9,296.5,60.5
2024-12-04,Ibadan DISCO,404.2,372.1,32.2
2024-12-04,Ikeja DISCO,413.4,363.4,50.0
2024-12-04,Jos DISCO,258.3,232.4,25.9
2024-12-04,Kaduna DISCO,277.3,260.5,16.8
2024-12-04,Kano DISCO,398.2,356.6,41.6
2024-12-04,Port Harcourt DISCO,311.8,283.0,28.8
2024-12-04,Yola DISCO,162.2,159.4,2.8
2024-12-05,Abuja DISCO,525.4,520.1,5.3
