# SYNTHETIC/ILLUSTRATIVE DATA - Based on published literature ranges
# Topic: Thermo-mechanical behavior of SOFC at high temperatures
# DO NOT use as ground truth without independent verification
Current_Density_A_per_cm2,Voltage_750C_V,Power_750C_W_per_cm2,Voltage_800C_V,Power_800C_W_per_cm2,Voltage_850C_V,Power_850C_W_per_cm2,Fuel_Composition
0.58,0.7586,0.44,0.8369,0.4854,0.8722,0.5059,H2 97% + H2O 3%
0.6,0.7481,0.4488,0.8305,0.4983,0.8676,0.5206,H2 97% + H2O 3%
0.62,0.7373,0.4571,0.824,0.5109,0.863,0.5351,H2 97% + H2O 3%
0.64,0.7264,0.4649,0.8174,0.5232,0.8584,0.5494,H2 97% + H2O 3%
0.66,0.7152,0.4721,0.8108,0.5352,0.8538,0.5635,H2 97% + H2O 3%
0.68,0.7039,0.4786,0.8042,0.5468,0.8491,0.5774,H2 97% + H2O 3%
0.7,0.6923,0.4846,0.7974,0.5582,0.8445,0.5911,H2 97% + H2O 3%
0.72,0.6804,0.4899,0.7906,0.5692,0.8398,0.6046,H2 97% + H2O 3%
0.74,0.6682,0.4945,0.7837,0.58,0.835,0.6179,H2 97% + H2O 3%
0.76,0.6558,0.4984,0.7767,0.5903,0.8303,0.631,H2 97% + H2O 3%
0.78,0.643,0.5016,0.7697,0.6003,0.8255,0.6439,H2 97% + H2O 3%
0.8,0.6299,0.5039,0.7625,0.61,0.8206,0.6565,H2 97% + H2O 3%
0.82,0.6165,0.5055,0.7552,0.6193,0.8157,0.6689,H2 97% + H2O 3%
0.84,0.6027,0.5063,0.7478,0.6282,0.8108,0.6811,H2 97% + H2O 3%
0.86,0.5885,0.5061,0.7403,0.6367,0.8058,0.693,H2 97% + H2O 3%
0.88,0.5739,0.505,0.7327,0.6448,0.8008,0.7047,H2 97% + H2O 3%
0.9,0.5589,0.503,0.725,0.6525,0.7957,0.7162,H2 97% + H2O 3%
0.92,0.5434,0.4999,0.7171,0.6597,0.7906,0.7274,H2 97% + H2O 3%
0.94,0.5274,0.4958,0.7091,0.6665,0.7854,0.7383,H2 97% + H2O 3%
0.96,0.5109,0.4905,0.7009,0.6729,0.7802,0.749,H2 97% + H2O 3%
0.98,0.4939,0.484,0.6926,0.6788,0.7749,0.7594,H2 97% + H2O 3%
1.0,0.4763,0.4763,0.6841,0.6841,0.7695,0.7695,H2 97% + H2O 3%
1.02,0.4581,0.4673,0.6755,0.689,0.764,0.7793,H2 97% + H2O 3%
1.04,0.4393,0.4569,0.6667,0.6934,0.7585,0.7889,H2 97% + H2O 3%
1.06,0.4199,0.4451,0.6577,0.6972,0.7529,0.7981,H2 97% + H2O 3%
1.08,0.3997,0.4317,0.6485,0.7004,0.7472,0.807,H2 97% + H2O 3%
1.1,0.3788,0.4167,0.6391,0.703,0.7415,0.8156,H2 97% + H2O 3%
1.12,0.3571,0.4,0.6295,0.7051,0.7356,0.8239,H2 97% + H2O 3%
1.14,0.3347,0.3815,0.6197,0.7065,0.7297,0.8319,H2 97% + H2O 3%
1.16,0.3113,0.3611,0.6097,0.7072,0.7237,0.8395,H2 97% + H2O 3%
1.18,0.2871,0.3388,0.5994,0.7073,0.7175,0.8467,H2 97% + H2O 3%
1.2,0.2619,0.3143,0.5889,0.7067,0.7113,0.8536,H2 97% + H2O 3%
