# SYNTHETIC/ILLUSTRATIVE DATA - Based on published literature ranges
# Topic: Thermo-mechanical behavior of SOFC at high temperatures
# DO NOT use as ground truth without independent verification
Position_x_mm,Position_y_mm,T_SteadyState_K,T_Startup_K,T_LoadStep_K,dTdx_K_per_mm
15,60,1102.7,1110.7,1073.4,0.953
15,65,1101.1,1119.8,1073.2,0.861
15,70,1099.1,1128.8,1073.1,0.755
15,75,1096.8,1137.6,1073.1,0.647
15,80,1094.5,1146.4,1073.0,0.544
15,85,1092.2,1155.2,1073.0,0.453
15,90,1090.0,1164.0,1073.0,0.373
15,95,1088.0,1172.8,1073.0,0.306
15,100,1086.1,1181.7,1073.0,0.25
20,0,1087.3,982.5,1073.0,0.246
20,5,1089.5,993.7,1073.0,0.305
20,10,1091.9,1005.0,1073.0,0.378
20,15,1094.5,1016.4,1073.0,0.467
20,20,1097.3,1027.9,1073.1,0.573
20,25,1100.2,1039.4,1073.2,0.697
20,30,1103.1,1050.8,1073.4,0.834
20,35,1105.7,1062.2,1073.7,0.975
20,40,1107.9,1073.3,1074.0,1.102
20,45,1109.3,1084.0,1074.3,1.193
20,50,1109.8,1094.2,1074.5,1.226
20,55,1109.3,1104.0,1074.3,1.193
20,60,1107.9,1113.3,1074.0,1.102
20,65,1105.7,1122.2,1073.7,0.975
20,70,1103.1,1130.8,1073.4,0.834
20,75,1100.2,1139.4,1073.2,0.697
20,80,1097.3,1147.9,1073.1,0.573
20,85,1094.5,1156.4,1073.0,0.467
20,90,1091.9,1165.0,1073.0,0.378
20,95,1089.5,1173.7,1073.0,0.305
20,100,1087.3,1182.5,1073.0,0.246
25,0,1088.5,983.1,1073.0,0.231
25,5,1091.0,994.5,1073.0,0.291
25,10,1093.8,1006.0,1073.0,0.367
25,15,1096.8,1017.6,1073.1,0.462
25,20,1100.2,1029.4,1073.2,0.581
25,25,1103.8,1041.2,1073.5,0.725
25,30,1107.4,1053.0,1074.0,0.895
25,35,1110.8,1064.7,1074.8,1.082
25,40,1113.8,1076.2,1075.7,1.261
25,45,1115.7,1087.1,1076.4,1.397
25,50,1116.5,1097.5,1076.7,1.449
25,55,1115.7,1107.1,1076.4,1.397
25,60,1113.8,1116.2,1075.7,1.261
25,65,1110.8,1124.7,1074.8,1.082
25,70,1107.4,1133.0,1074.0,0.895
25,75,1103.8,1141.2,1073.5,0.725
25,80,1100.2,1149.4,1073.2,0.581
25,85,1096.8,1157.6,1073.1,0.462
25,90,1093.8,1166.0,1073.0,0.367
25,95,1091.0,1174.5,1073.0,0.291
25,100,1088.5,1183.1,1073.0,0.231
30,0,1089.6,983.7,1073.0,0.206
30,5,1092.4,995.2,1073.0,0.262
30,10,1095.5,1006.9,1073.0,0.336
30,15,1099.1,1018.8,1073.1,0.431
30,20,1103.1,1030.8,1073.4,0.556
30,25,1107.4,1043.0,1074.0,0.716
30,30,1112.0,1055.3,1075.2,0.918
30,35,1116.5,1067.5,1077.0,1.159
30,40,1120.5,1079.4,1079.0,1.415
30,45,1123.3,1090.7,1080.8,1.627
30,50,1124.3,1101.2,1081.4,1.711
30,55,1123.3,1110.7,1080.8,1.627
30,60,1120.5,1119.4,1079.0,1.415
30,65,1116.5,1127.5,1077.0,1.159
30,70,1112.0,1135.3,1075.2,0.918
30,75,1107.4,1143.0,1074.0,0.716
30,80,1103.1,1150.8,1073.4,0.556
30,85,1099.1,1158.8,1073.1,0.431
30,90,1095.5,1166.9,1073.0,0.336
30,95,1092.4,1175.2,1073.0,0.262
30,100,1089.6,1183.7,1073.0,0.206
35,0,1090.6,984.3,1073.0,0.168
35,5,1093.6,995.9,1073.0,0.217
35,10,1097.1,1007.8,1073.1,0.282
35,15,1101.1,1019.8,1073.3,0.369
35,20,1105.7,1032.2,1073.8,0.487
35,25,1110.8,1044.7,1075.1,0.649
35,30,1116.5,1057.5,1077.4,0.869
35,35,1122.3,1070.3,1080.9,1.162
35,40,1127.8,1082.9,1085.0,1.521
35,45,1132.0,1094.8,1088.4,1.867
35,50,1133.7,1105.6,1089.8,2.022
35,55,1132.0,1114.8,1088.4,1.867
35,60,1127.8,1122.9,1085.0,1.521
35,65,1122.3,1130.3,1080.9,1.162
35,70,1116.5,1137.5,1077.4,0.869
35,75,1110.8,1144.7,1075.1,0.649
35,80,1105.7,1152.2,1073.8,0.487
35,85,1101.1,1159.8,1073.3,0.369
35,90,1097.1,1167.8,1073.1,0.282
35,95,1093.6,1175.9,1073.0,0.217
35,100,1090.6,1184.3,1073.0,0.168
40,0,1091.3,984.6,1073.0,0.119
40,5,1094.5,996.4,1073.0,0.156
40,10,1098.3,1008.4,1073.1,0.205
40,15,1102.7,1020.7,1073.5,0.272
40,20,1107.9,1033.3,1074.5,0.367
40,25,1113.8,1046.2,1076.7,0.505
40,30,1120.5,1059.4,1080.8,0.707
40,35,1127.8,1072.9,1086.9,1.014
40,40,1135.4,1086.4,1094.1,1.471
40,45,1141.9,1099.3,1100.1,2.054
40,50,1144.7,1110.6,1102.4,2.388
40,55,1141.9,1119.3,1100.1,2.054
40,60,1135.4,1126.4,1094.1,1.471
40,65,1127.8,1132.9,1086.9,1.014
40,70,1120.5,1139.4,1080.8,0.707
40,75,1113.8,1146.2,1076.7,0.505
40,80,1107.9,1153.3,1074.5,0.367
40,85,1102.7,1160.7,1073.5,0.272
40,90,1098.3,1168.4,1073.1,0.205
40,95,1094.5,1176.4,1073.0,0.156
40,100,1091.3,1184.6,1073.0,0.119
45,0,1091.7,984.9,1073.0,0.062
45,5,1095.1,996.7,1073.1,0.081
45,10,1099.1,1008.8,1073.2,0.108
45,15,1103.8,1021.2,1073.8,0.145
45,20,1109.3,1034.0,1075.3,0.199
45,25,1115.7,1047.1,1078.7,0.279
45,30,1123.3,1060.7,1085.0,0.407
45,35,1132.0,1074.8,1094.5,0.622
45,40,1141.9,1089.3,1105.7,1.027
45,45,1152.0,1103.9,1114.9,1.862
45,50,1157.6,1116.3,1118.6,2.822
45,55,1152.0,1123.9,1114.9,1.862
45,60,1141.9,1129.3,1105.7,1.027
45,65,1132.0,1134.8,1094.5,0.622
45,70,1123.3,1140.7,1085.0,0.407
45,75,1115.7,1147.1,1078.7,0.279
45,80,1109.3,1154.0,1075.3,0.199
45,85,1103.8,1161.2,1073.8,0.145
45,90,1099.1,1168.8,1073.2,0.108
45,95,1095.1,1176.7,1073.1,0.081
45,100,1091.7,1184.9,1073.0,0.062
50,0,1091.9,985.0,1073.0,-0.0
50,5,1095.3,996.8,1073.1,-0.0
50,10,1099.4,1008.9,1073.3,-0.0
50,15,1104.1,1021.4,1074.0,-0.0
50,20,1109.8,1034.2,1076.1,-0.0
50,25,1116.5,1047.5,1080.8,-0.0
50,30,1124.3,1061.2,1089.4,-0.0
50,35,1133.7,1075.6,1102.4,-0.0
50,40,1144.7,1090.6,1117.6,-0.0
50,45,1157.6,1106.3,1130.3,-0.0
50,50,1173.0,1123.0,1135.3,0
50,55,1157.6,1126.3,1130.3,-0.0
50,60,1144.7,1130.6,1117.6,-0.0
50,65,1133.7,1135.6,1102.4,-0.0
50,70,1124.3,1141.2,1089.4,-0.0
50,75,1116.5,1147.5,1080.8,-0.0
50,80,1109.8,1154.2,1076.1,-0.0
50,85,1104.1,1161.4,1074.0,-0.0
50,90,1099.4,1168.9,1073.3,-0.0
50,95,1095.3,1176.8,1073.1,-0.0
50,100,1091.9,1185.0,1073.0,-0.0
55,0,1091.7,984.9,1073.0,-0.062
55,5,1095.1,996.7,1073.1,-0.081
55,10,1099.1,1008.8,1073.4,-0.108
55,15,1103.8,1021.2,1074.3,-0.145
55,20,1109.3,1034.0,1076.7,-0.199
55,25,1115.7,1047.1,1082.4,-0.279
55,30,1123.3,1060.7,1092.8,-0.407
55,35,1132.0,1074.8,1108.5,-0.622
55,40,1141.9,1089.3,1126.8,-1.027
55,45,1152.0,1103.9,1142.1,-1.862
55,50,1157.6,1116.3,1148.2,-2.822
55,55,1152.0,1123.9,1142.1,-1.862
55,60,1141.9,1129.3,1126.8,-1.027
55,65,1132.0,1134.8,1108.5,-0.622
55,70,1123.3,1140.7,1092.8,-0.407
55,75,1115.7,1147.1,1082.4,-0.279
55,80,1109.3,1154.0,1076.7,-0.199
55,85,1103.8,1161.2,1074.3,-0.145
55,90,1099.1,1168.8,1073.4,-0.108
55,95,1095.1,1176.7,1073.1,-0.081
55,100,1091.7,1184.9,1073.0,-0.062
60,0,1091.3,984.6,1073.0,-0.119
60,5,1094.5,996.4,1073.1,-0.156
60,10,1098.3,1008.4,1073.4,-0.205
60,15,1102.7,1020.7,1074.3,-0.272
60,20,1107.9,1033.3,1077.0,-0.367
60,25,1113.8,1046.2,1083.0,-0.505
60,30,1120.5,1059.4,1094.1,-0.707
60,35,1127.8,1072.9,1110.8,-1.014
60,40,1135.4,1086.4,1130.3,-1.471
60,45,1141.9,1099.3,1146.6,-2.054
60,50,1144.7,1110.6,1153.0,-2.388
60,55,1141.9,1119.3,1146.6,-2.054
60,60,1135.4,1126.4,1130.3,-1.471
60,65,1127.8,1132.9,1110.8,-1.014
60,70,1120.5,1139.4,1094.1,-0.707
60,75,1113.8,1146.2,1083.0,-0.505
60,80,1107.9,1153.3,1077.0,-0.367
60,85,1102.7,1160.7,1074.3,-0.272
60,90,1098.3,1168.4,1073.4,-0.205
60,95,1094.5,1176.4,1073.1,-0.156
60,100,1091.3,1184.6,1073.0,-0.119
65,0,1090.6,984.3,1073.0,-0.168
65,5,1093.6,995.9,1073.1,-0.217
65,10,1097.1,1007.8,1073.4,-0.282
65,15,1101.1,1019.8,1074.3,-0.369
65,20,1105.7,1032.2,1076.7,-0.487
65,25,1110.8,1044.7,1082.4,-0.649
65,30,1116.5,1057.5,1092.8,-0.869
65,35,1122.3,1070.3,1108.5,-1.162
65,40,1127.8,1082.9,1126.8,-1.521
65,45,1132.0,1094.8,1142.1,-1.867
65,50,1133.7,1105.6,1148.2,-2.022
65,55,1132.0,1114.8,1142.1,-1.867
65,60,1127.8,1122.9,1126.8,-1.521
65,65,1122.3,1130.3,1108.5,-1.162
65,70,1116.5,1137.5,1092.8,-0.869
65,75,1110.8,1144.7,1082.4,-0.649
65,80,1105.7,1152.2,1076.7,-0.487
65,85,1101.1,1159.8,1074.3,-0.369
65,90,1097.1,1167.8,1073.4,-0.282
65,95,1093.6,1175.9,1073.1,-0.217
65,100,1090.6,1184.3,1073.0,-0.168
70,0,1089.6,983.7,1073.0,-0.206
70,5,1092.4,995.2,1073.1,-0.262
70,10,1095.5,1006.9,1073.3,-0.336
70,15,1099.1,1018.8,1074.0,-0.431
70,20,1103.1,1030.8,1076.1,-0.556
70,25,1107.4,1043.0,1080.8,-0.716
70,30,1112.0,1055.3,1089.4,-0.918
70,35,1116.5,1067.5,1102.4,-1.159
70,40,1120.5,1079.4,1117.6,-1.415
70,45,1123.3,1090.7,1130.3,-1.627
70,50,1124.3,1101.2,1135.3,-1.711
70,55,1123.3,1110.7,1130.3,-1.627
70,60,1120.5,1119.4,1117.6,-1.415
70,65,1116.5,1127.5,1102.4,-1.159
70,70,1112.0,1135.3,1089.4,-0.918
70,75,1107.4,1143.0,1080.8,-0.716
70,80,1103.1,1150.8,1076.1,-0.556
70,85,1099.1,1158.8,1074.0,-0.431
70,90,1095.5,1166.9,1073.3,-0.336
70,95,1092.4,1175.2,1073.1,-0.262
70,100,1089.6,1183.7,1073.0,-0.206
75,0,1088.5,983.1,1073.0,-0.231
75,5,1091.0,994.5,1073.1,-0.291
75,10,1093.8,1006.0,1073.2,-0.367
75,15,1096.8,1017.6,1073.8,-0.462
75,20,1100.2,1029.4,1075.3,-0.581
75,25,1103.8,1041.2,1078.7,-0.725
75,30,1107.4,1053.0,1085.0,-0.895
75,35,1110.8,1064.7,1094.5,-1.082
75,40,1113.8,1076.2,1105.7,-1.261
75,45,1115.7,1087.1,1114.9,-1.397
75,50,1116.5,1097.5,1118.6,-1.449
75,55,1115.7,1107.1,1114.9,-1.397
75,60,1113.8,1116.2,1105.7,-1.261
75,65,1110.8,1124.7,1094.5,-1.082
75,70,1107.4,1133.0,1085.0,-0.895
75,75,1103.8,1141.2,1078.7,-0.725
75,80,1100.2,1149.4,1075.3,-0.581
75,85,1096.8,1157.6,1073.8,-0.462
75,90,1093.8,1166.0,1073.2,-0.367
75,95,1091.0,1174.5,1073.1,-0.291
75,100,1088.5,1183.1,1073.0,-0.231
80,0,1087.3,982.5,1073.0,-0.246
80,5,1089.5,993.7,1073.0,-0.305
80,10,1091.9,1005.0,1073.1,-0.378
80,15,1094.5,1016.4,1073.5,-0.467
80,20,1097.3,1027.9,1074.5,-0.573
80,25,1100.2,1039.4,1076.7,-0.697
80,30,1103.1,1050.8,1080.8,-0.834
80,35,1105.7,1062.2,1086.9,-0.975
80,40,1107.9,1073.3,1094.1,-1.102
80,45,1109.3,1084.0,1100.1,-1.193
80,50,1109.8,1094.2,1102.4,-1.226
80,55,1109.3,1104.0,1100.1,-1.193
80,60,1107.9,1113.3,1094.1,-1.102
80,65,1105.7,1122.2,1086.9,-0.975
80,70,1103.1,1130.8,1080.8,-0.834
80,75,1100.2,1139.4,1076.7,-0.697
80,80,1097.3,1147.9,1074.5,-0.573
80,85,1094.5,1156.4,1073.5,-0.467
80,90,1091.9,1165.0,1073.1,-0.378
80,95,1089.5,1173.7,1073.0,-0.305
80,100,1087.3,1182.5,1073.0,-0.246
85,0,1086.1,981.7,1073.0,-0.25
85,5,1088.0,992.8,1073.0,-0.306
85,10,1090.0,1004.0,1073.1,-0.373
85,15,1092.2,1015.2,1073.3,-0.453
85,20,1094.5,1026.4,1073.8,-0.544
85,25,1096.8,1037.6,1075.1,-0.647
85,30,1099.1,1048.8,1077.4,-0.755
85,35,1101.1,1059.8,1080.9,-0.861
85,40,1102.7,1070.7,1085.0,-0.953
85,45,1103.8,1081.2,1088.4,-1.015
85,50,1104.1,1091.4,1089.8,-1.038
85,55,1103.8,1101.2,1088.4,-1.015
85,60,1102.7,1110.7,1085.0,-0.953
85,65,1101.1,1119.8,1080.9,-0.861
85,70,1099.1,1128.8,1077.4,-0.755
85,75,1096.8,1137.6,1075.1,-0.647
85,80,1094.5,1146.4,1073.8,-0.544
85,85,1092.2,1155.2,1073.3,-0.453
85,90,1090.0,1164.0,1073.1,-0.373
85,95,1088.0,1172.8,1073.0,-0.306
85,100,1086.1,1181.7,1073.0,-0.25
90,0,1084.8,981.0,1073.0,-0.246
90,5,1086.4,992.0,1073.0,-0.298
90,10,1088.2,1002.9,1073.0,-0.358
90,15,1090.0,1014.0,1073.1,-0.427
90,20,1091.9,1025.0,1073.4,-0.504
90,25,1093.8,1036.0,1074.0,-0.587
90,30,1095.5,1046.9,1075.2,-0.671
90,35,1097.1,1057.8,1077.0,-0.751
90,40,1098.3,1068.4,1079.0,-0.818
90,45,1099.1,1078.8,1080.8,-0.863
90,50,1099.4,1088.9,1081.4,-0.879
90,55,1099.1,1098.8,1080.8,-0.863
90,60,1098.3,1108.4,1079.0,-0.818
90,65,1097.1,1117.8,1077.0,-0.751
90,70,1095.5,1126.9,1075.2,-0.671
90,75,1093.8,1136.0,1074.0,-0.587
90,80,1091.9,1145.0,1073.4,-0.504
90,85,1090.0,1154.0,1073.1,-0.427
90,90,1088.2,1162.9,1073.0,-0.358
90,95,1086.4,1172.0,1073.0,-0.298
90,100,1084.8,1181.0,1073.0,-0.246
95,0,1083.6,980.3,1073.0,-0.237
95,5,1085.0,991.1,1073.0,-0.283
95,10,1086.4,1002.0,1073.0,-0.335
95,15,1088.0,1012.8,1073.1,-0.393
95,20,1089.5,1023.7,1073.2,-0.457
95,25,1091.0,1034.5,1073.5,-0.524
95,30,1092.4,1045.2,1074.0,-0.59
95,35,1093.6,1055.9,1074.8,-0.651
95,40,1094.5,1066.4,1075.7,-0.7
95,45,1095.1,1076.7,1076.4,-0.732
95,50,1095.3,1086.8,1076.7,-0.744
95,55,1095.1,1096.7,1076.4,-0.732
95,60,1094.5,1106.4,1075.7,-0.7
95,65,1093.6,1115.9,1074.8,-0.651
95,70,1092.4,1125.2,1074.0,-0.59
95,75,1091.0,1134.5,1073.5,-0.524
95,80,1089.5,1143.7,1073.2,-0.457
95,85,1088.0,1152.8,1073.1,-0.393
95,90,1086.4,1162.0,1073.0,-0.335
95,95,1085.0,1171.1,1073.0,-0.283
95,100,1083.6,1180.3,1073.0,-0.237
100,0,1082.5,979.6,1073.0,-0.223
100,5,1083.6,990.3,1073.0,-0.263
100,10,1084.8,1001.0,1073.0,-0.308
100,15,1086.1,1011.7,1073.0,-0.357
100,20,1087.3,1022.5,1073.1,-0.409
100,25,1088.5,1033.1,1073.2,-0.463
100,30,1089.6,1043.7,1073.4,-0.514
100,35,1090.6,1054.3,1073.7,-0.56
100,40,1091.3,1064.6,1074.0,-0.597
100,45,1091.7,1074.9,1074.3,-0.621
100,50,1091.9,1085.0,1074.5,-0.63
100,55,1091.7,1094.9,1074.3,-0.621
100,60,1091.3,1104.6,1074.0,-0.597
100,65,1090.6,1114.3,1073.7,-0.56
100,70,1089.6,1123.7,1073.4,-0.514
100,75,1088.5,1133.1,1073.2,-0.463
100,80,1087.3,1142.5,1073.1,-0.409
100,85,1086.1,1151.7,1073.0,-0.357
100,90,1084.8,1161.0,1073.0,-0.308
100,95,1083.6,1170.3,1073.0,-0.263
100,100,1082.5,1179.6,1073.0,-0.223
