# SYNTHETIC/ILLUSTRATIVE DATA - Based on published literature ranges
# Topic: Thermo-mechanical behavior of SOFC at high temperatures
# DO NOT use as ground truth without independent verification
Time_hours,Strain_pct_5MPa_750C,Strain_pct_10MPa_800C,Strain_pct_15MPa_800C,Strain_pct_20MPa_850C,Strain_pct_10MPa_900C
330,0.1413,0.3848,0.7783,1.4914,1.3132
335,0.1418,0.3865,0.7822,1.5002,1.322
340,0.1423,0.3882,0.7862,1.5088,1.3308
345,0.1428,0.3899,0.7901,1.5175,1.3394
350,0.1432,0.3916,0.794,1.526,1.348
355,0.1437,0.3933,0.7978,1.5345,1.3565
360,0.1442,0.3949,0.8016,1.5429,1.365
365,0.1446,0.3965,0.8054,1.5513,1.3734
370,0.1451,0.3982,0.8092,1.5596,1.3817
375,0.1455,0.3998,0.8129,1.5678,1.39
380,0.146,0.4014,0.8166,1.576,1.3982
385,0.1464,0.4029,0.8203,1.5841,1.4064
390,0.1468,0.4045,0.8239,1.5922,1.4145
395,0.1473,0.4061,0.8275,1.6002,1.4226
400,0.1477,0.4076,0.8311,1.6082,1.4306
405,0.1481,0.4091,0.8347,1.616,1.4386
410,0.1485,0.4107,0.8382,1.6239,1.4465
415,0.149,0.4122,0.8417,1.6317,1.4543
420,0.1494,0.4137,0.8452,1.6394,1.4621
425,0.1498,0.4151,0.8487,1.6471,1.4699
430,0.1502,0.4166,0.8521,1.6547,1.4776
435,0.1506,0.4181,0.8556,1.6623,1.4853
440,0.151,0.4196,0.8589,1.6699,1.4929
445,0.1514,0.421,0.8623,1.6774,1.5005
450,0.1518,0.4224,0.8657,1.6848,1.508
455,0.1522,0.4239,0.869,1.6922,1.5155
460,0.1526,0.4253,0.8723,1.6996,1.5229
465,0.153,0.4267,0.8756,1.7069,1.5303
470,0.1534,0.4281,0.8789,1.7141,1.5377
475,0.1538,0.4295,0.8821,1.7214,1.545
480,0.1541,0.4309,0.8853,1.7286,1.5523
485,0.1545,0.4322,0.8885,1.7357,1.5595
490,0.1549,0.4336,0.8917,1.7428,1.5667
495,0.1553,0.435,0.8949,1.7499,1.5739
500,0.1556,0.4363,0.898,1.7569,1.581
