state,sector,registered_smes_estimate,micro_enterprises_estimate,small_enterprises_estimate,medium_enterprises_estimate,year,source,is_fabricated
Anambra,Manufacturing,21517,18504,2582,431,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Anambra,Trade,28117,24180,3374,563,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Anambra,Services,35229,30296,4227,706,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Anambra,Agriculture,11918,10249,1430,239,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Anambra,ICT,8456,7272,1014,170,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Anambra,Energy,3640,3130,436,74,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bauchi,Manufacturing,16129,13870,1935,324,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bauchi,Trade,23777,20448,2853,476,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bauchi,Services,21981,18903,2637,441,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bauchi,Agriculture,26454,22750,3174,530,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bauchi,ICT,5408,4650,648,110,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bauchi,Energy,1980,1702,237,41,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bayelsa,Manufacturing,5249,4514,629,106,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bayelsa,Trade,7293,6271,875,147,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bayelsa,Services,8156,7014,978,164,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bayelsa,Agriculture,8922,7672,1070,180,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bayelsa,ICT,1715,1474,205,36,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Bayelsa,Energy,563,484,67,12,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Benue,Manufacturing,13841,11903,1660,278,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Benue,Trade,24870,21388,2984,498,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Benue,Services,23748,20423,2849,476,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Benue,Agriculture,28105,24170,3372,563,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Benue,ICT,4441,3819,532,90,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Benue,Energy,1864,1603,223,38,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Borno,Manufacturing,16632,14303,1995,334,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Borno,Trade,22540,19384,2704,452,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Borno,Services,23802,20469,2856,477,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Borno,Agriculture,27365,23533,3283,549,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Borno,ICT,4611,3965,553,93,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Borno,Energy,1597,1373,191,33,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Cross River,Manufacturing,7869,6767,944,158,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Cross River,Trade,12542,10786,1505,251,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Cross River,Services,13420,11541,1610,269,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Cross River,Agriculture,14188,12201,1702,285,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Cross River,ICT,2501,2150,300,51,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Cross River,Energy,890,765,106,19,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Delta,Manufacturing,25747,22142,3089,516,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Delta,Trade,26037,22391,3124,522,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Delta,Services,29733,25570,3567,596,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Delta,Agriculture,11875,10212,1425,238,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Delta,ICT,10694,9196,1283,215,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Delta,Energy,3395,2919,407,69,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ebonyi,Manufacturing,7554,6496,906,152,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ebonyi,Trade,12111,10415,1453,243,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ebonyi,Services,9936,8544,1192,200,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ebonyi,Agriculture,13255,11399,1590,266,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ebonyi,ICT,2249,1934,269,46,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ebonyi,Energy,943,810,113,20,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Edo,Manufacturing,15128,13010,1815,303,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Edo,Trade,17045,14658,2045,342,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Edo,Services,17210,14800,2065,345,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Edo,Agriculture,7080,6088,849,143,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Edo,ICT,6500,5590,780,130,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Edo,Energy,1998,1718,239,41,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ekiti,Manufacturing,0,0,0,0,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ekiti,Trade,0,0,0,0,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ekiti,Services,0,0,0,0,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ekiti,Agriculture,0,0,0,0,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ekiti,ICT,0,0,0,0,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ekiti,Energy,0,0,0,0,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Enugu,Manufacturing,8634,7425,1036,173,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Enugu,Trade,13092,11259,1571,262,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Enugu,Services,14414,12396,1729,289,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Enugu,Agriculture,16064,13815,1927,322,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Enugu,ICT,2972,2555,356,61,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Enugu,Energy,1223,1051,146,26,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Gombe,Manufacturing,5701,4902,684,115,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Gombe,Trade,10291,8850,1234,207,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Gombe,Services,9447,8124,1133,190,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Gombe,Agriculture,12146,10445,1457,244,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Gombe,ICT,2267,1949,272,46,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Gombe,Energy,819,704,98,17,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Imo,Manufacturing,14151,12169,1698,284,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Imo,Trade,19968,17172,2396,400,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Imo,Services,21043,18096,2525,422,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Imo,Agriculture,23087,19854,2770,463,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Imo,ICT,4160,3577,499,84,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Imo,Energy,1818,1563,218,37,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Jigawa,Manufacturing,9421,8102,1130,189,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Jigawa,Trade,19187,16500,2302,385,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Jigawa,Services,16686,14349,2002,335,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Jigawa,Agriculture,17845,15346,2141,358,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Jigawa,ICT,3777,3248,453,76,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Jigawa,Energy,1293,1111,155,27,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kaduna,Manufacturing,33445,28762,4013,670,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kaduna,Trade,43646,37535,5237,874,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kaduna,Services,46610,40084,5593,933,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kaduna,Agriculture,17158,14755,2058,345,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kaduna,ICT,12997,11177,1559,261,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kaduna,Energy,4679,4023,561,95,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kano,Manufacturing,63283,54423,7593,1267,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kano,Trade,97776,84087,11733,1956,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kano,Services,102809,88415,12337,2057,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kano,Agriculture,31925,27455,3831,639,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kano,ICT,29816,25641,3577,598,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kano,Energy,8283,7123,993,167,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Katsina,Manufacturing,17295,14873,2075,347,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Katsina,Trade,26148,22487,3137,524,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Katsina,Services,29270,25172,3512,586,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Katsina,Agriculture,32582,28020,3909,653,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Katsina,ICT,6044,5197,725,122,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Katsina,Energy,2569,2209,308,52,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kebbi,Manufacturing,9007,7746,1080,181,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kebbi,Trade,14793,12721,1775,297,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kebbi,Services,11844,10185,1421,238,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kebbi,Agriculture,14112,12136,1693,283,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kebbi,ICT,2815,2420,337,58,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kebbi,Energy,1174,1009,140,25,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kogi,Manufacturing,10388,8933,1246,209,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kogi,Trade,14169,12185,1700,284,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kogi,Services,14690,12633,1762,295,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kogi,Agriculture,19059,16390,2287,382,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kogi,ICT,2800,2408,336,56,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kogi,Energy,1277,1098,153,26,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kwara,Manufacturing,6962,5987,835,140,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kwara,Trade,12986,11167,1558,261,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kwara,Services,11347,9758,1361,228,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kwara,Agriculture,11999,10319,1439,241,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kwara,ICT,2343,2014,281,48,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Kwara,Energy,933,802,111,20,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Lagos,Manufacturing,108103,92968,12972,2163,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Lagos,Trade,153229,131776,18387,3066,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Lagos,Services,139364,119853,16723,2788,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Lagos,Agriculture,51195,44027,6143,1025,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Lagos,ICT,44009,37847,5281,881,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Lagos,Energy,17686,15209,2122,355,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Nasarawa,Manufacturing,7381,6347,885,149,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Nasarawa,Trade,12090,10397,1450,243,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Nasarawa,Services,12358,10627,1482,249,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Nasarawa,Agriculture,14790,12719,1774,297,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Nasarawa,ICT,2436,2094,292,50,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Nasarawa,Energy,989,850,118,21,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Niger,Manufacturing,12684,10908,1522,254,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Niger,Trade,18228,15676,2187,365,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Niger,Services,18784,16154,2254,376,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Niger,Agriculture,20663,17770,2479,414,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Niger,ICT,3364,2893,403,68,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Niger,Energy,1240,1066,148,26,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ogun,Manufacturing,19731,16968,2367,396,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ogun,Trade,24954,21460,2994,500,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ogun,Services,24751,21285,2970,496,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ogun,Agriculture,10210,8780,1225,205,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ogun,ICT,8089,6956,970,163,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ogun,Energy,2709,2329,325,55,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ondo,Manufacturing,10786,9275,1294,217,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ondo,Trade,15712,13512,1885,315,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ondo,Services,13144,11303,1577,264,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ondo,Agriculture,16000,13760,1920,320,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ondo,ICT,3241,2787,388,66,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Ondo,Energy,1435,1234,172,29,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Osun,Manufacturing,9106,7831,1092,183,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Osun,Trade,17763,15276,2131,356,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Osun,Services,13620,11713,1634,273,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Osun,Agriculture,17289,14868,2074,347,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Osun,ICT,3010,2588,361,61,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Osun,Energy,1294,1112,155,27,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Oyo,Manufacturing,31925,27455,3831,639,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Oyo,Trade,43209,37159,5185,865,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Oyo,Services,44167,37983,5300,884,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Oyo,Agriculture,15378,13225,1845,308,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Oyo,ICT,12663,10890,1519,254,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Oyo,Energy,4390,3775,526,89,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Plateau,Manufacturing,9186,7899,1102,185,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Plateau,Trade,12917,11108,1550,259,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Plateau,Services,14363,12352,1723,288,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Plateau,Agriculture,13949,11996,1673,280,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Plateau,ICT,2473,2126,296,51,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Plateau,Energy,957,823,114,20,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Rivers,Manufacturing,36881,31717,4425,739,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Rivers,Trade,37250,32035,4470,745,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Rivers,Services,44416,38197,5329,890,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Rivers,Agriculture,13610,11704,1633,273,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Rivers,ICT,12153,10451,1458,244,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Rivers,Energy,4665,4011,559,95,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Sokoto,Manufacturing,9589,8246,1150,193,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Sokoto,Trade,15662,13469,1879,314,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Sokoto,Services,14512,12480,1741,291,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Sokoto,Agriculture,17141,14741,2056,344,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Sokoto,ICT,3496,3006,419,71,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Sokoto,Energy,1398,1202,167,29,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Taraba,Manufacturing,6736,5792,808,136,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Taraba,Trade,10546,9069,1265,212,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Taraba,Services,11820,10165,1418,237,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Taraba,Agriculture,14288,12287,1714,287,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Taraba,ICT,2484,2136,298,50,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Taraba,Energy,846,727,101,18,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Yobe,Manufacturing,8669,7455,1040,174,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Yobe,Trade,11117,9560,1334,223,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Yobe,Services,12627,10859,1515,253,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Yobe,Agriculture,14727,12665,1767,295,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Yobe,ICT,2450,2107,294,49,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Yobe,Energy,1136,976,136,24,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Zamfara,Manufacturing,6980,6002,837,141,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Zamfara,Trade,9899,8513,1187,199,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Zamfara,Services,11564,9945,1387,232,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Zamfara,Agriculture,12616,10849,1513,254,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Zamfara,ICT,2139,1839,256,44,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Zamfara,Energy,803,690,96,17,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
FCT,Manufacturing,20257,17421,2430,406,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
FCT,Trade,24572,21131,2948,493,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
FCT,Services,29776,25607,3573,596,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
FCT,Agriculture,11068,9518,1328,222,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
FCT,ICT,8683,7467,1041,175,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
FCT,Energy,3204,2755,384,65,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
