year,state,crop,residue_type,crop_production_tonnes,residue_production_tonnes,residue_ratio,energy_content_mj_per_kg,total_energy_potential_gj,current_utilization_rate,available_for_energy_tonnes,available_energy_potential_gj,biogas_potential_m3,sofc_feedstock_potential_tonnes,collection_cost_naira_per_tonne,transportation_cost_naira_per_tonne_km,storage_requirements,seasonal_availability,moisture_content_percent,ash_content_percent,carbon_content_percent,nitrogen_content_percent
2020,Bayelsa,Rice,Rice Husk,7339.92,1467.98,0.2,16.5,24221.73,0.15,1247.79,20588.47,187167.9,811.06,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Bayelsa,Rice,Rice Straw,7339.92,5871.93,0.8,14.2,83381.47,0.05,5578.34,79212.39,1115667.51,3347.0,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Benue,Rice,Rice Husk,288131.71,57626.34,0.2,16.5,950834.63,0.15,48982.39,808209.43,7347358.5,31838.55,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Benue,Rice,Rice Straw,288131.71,230505.36,0.8,14.2,3273176.18,0.05,218980.1,3109517.37,43796019.27,131388.06,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Borno,Rice,Rice Husk,17992.64,3598.53,0.2,16.5,59375.72,0.15,3058.75,50469.36,458812.38,1988.19,3500.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Borno,Rice,Rice Straw,17992.64,14394.11,0.8,14.2,204396.42,0.05,13674.41,194176.59,2734881.61,8204.64,5600.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Cross River,Rice,Rice Husk,312133.8,62426.76,0.2,16.5,1030041.54,0.15,53062.75,875535.31,7959411.94,34490.79,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Cross River,Rice,Rice Straw,312133.8,249707.04,0.8,14.2,3545839.98,0.05,237221.69,3368547.98,47444337.81,142333.01,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Delta,Rice,Rice Husk,15621.09,3124.22,0.2,16.5,51549.59,0.15,2655.59,43817.15,398337.76,1726.13,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Delta,Rice,Rice Straw,15621.09,12496.87,0.8,14.2,177455.57,0.05,11872.03,168582.79,2374405.48,7123.22,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Ebonyi,Rice,Rice Husk,5308.77,1061.75,0.2,16.5,17518.93,0.15,902.49,14891.09,135373.57,586.62,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Ebonyi,Rice,Rice Straw,5308.77,4247.01,0.8,14.2,60307.6,0.05,4034.66,57292.22,806932.65,2420.8,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Edo,Rice,Rice Husk,19548.65,3909.73,0.2,16.5,64510.54,0.15,3323.27,54833.96,498490.52,2160.13,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Edo,Rice,Rice Straw,19548.65,15638.92,0.8,14.2,222072.64,0.05,14856.97,210969.01,2971394.46,8914.18,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Ekiti,Rice,Rice Husk,17486.64,3497.33,0.2,16.5,57705.91,0.15,2972.73,49050.02,445909.31,1932.27,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Ekiti,Rice,Rice Straw,17486.64,13989.31,0.8,14.2,198648.23,0.05,13289.85,188715.81,2657969.22,7973.91,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Enugu,Rice,Rice Husk,8185.09,1637.02,0.2,16.5,27010.79,0.15,1391.46,22959.17,208719.71,904.45,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Enugu,Rice,Rice Straw,8185.09,6548.07,0.8,14.2,92982.58,0.05,6220.67,88333.46,1244133.17,3732.4,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,FCT,Rice,Rice Husk,7727.37,1545.47,0.2,16.5,25500.34,0.195,1244.11,20527.77,186616.09,808.67,6500.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,FCT,Rice,Rice Straw,7727.37,6181.9,0.8,14.2,87782.97,0.065,5780.08,82077.08,1156015.23,3468.05,10400.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Gombe,Rice,Rice Husk,7751.07,1550.21,0.2,16.5,25578.52,0.15,1317.68,21741.74,197652.23,856.49,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Gombe,Rice,Rice Straw,7751.07,6200.85,0.8,14.2,88052.13,0.05,5890.81,83649.52,1178162.28,3534.49,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Imo,Rice,Rice Husk,9563.63,1912.73,0.2,16.5,31559.99,0.15,1625.82,26825.99,243872.66,1056.78,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Imo,Rice,Rice Straw,9563.63,7650.91,0.8,14.2,108642.88,0.05,7268.36,103210.73,1453672.31,4361.02,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Jigawa,Rice,Rice Husk,12871.35,2574.27,0.2,16.5,42475.44,0.15,2188.13,36104.13,328219.34,1422.28,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Jigawa,Rice,Rice Straw,12871.35,10297.08,0.8,14.2,146218.5,0.05,9782.22,138907.57,1956444.66,5869.33,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Kaduna,Rice,Rice Husk,486389.0,97277.8,0.2,16.5,1605083.71,0.15,82686.13,1364321.16,12402919.6,53745.98,5500.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Kaduna,Rice,Rice Straw,486389.0,389111.2,0.8,14.2,5525379.08,0.05,369655.64,5249110.13,73931128.57,221793.39,8800.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Kano,Rice,Rice Husk,9368.44,1873.69,0.2,16.5,30915.84,0.195,1508.32,24887.25,226247.76,980.41,5500.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Kano,Rice,Rice Straw,9368.44,7494.75,0.8,14.2,106425.45,0.065,7007.59,99507.79,1401518.19,4204.55,8800.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Katsina,Rice,Rice Husk,14177.79,2835.56,0.2,16.5,46786.72,0.15,2410.22,39768.71,361533.73,1566.65,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Katsina,Rice,Rice Straw,14177.79,11342.23,0.8,14.2,161059.73,0.05,10775.12,153006.75,2155024.6,6465.07,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Kebbi,Rice,Rice Husk,684638.04,136927.61,0.2,16.5,2259305.52,0.15,116388.47,1920409.69,17458269.9,75652.5,4500.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Kebbi,Rice,Rice Straw,684638.04,547710.43,0.8,14.2,7777488.08,0.05,520324.91,7388613.68,104064981.38,312194.94,7200.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Kogi,Rice,Rice Husk,9382.17,1876.43,0.2,16.5,30961.16,0.15,1594.97,26316.99,239245.33,1036.73,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Kogi,Rice,Rice Straw,9382.17,7505.74,0.8,14.2,106581.45,0.05,7130.45,101252.38,1426089.8,4278.27,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Kwara,Rice,Rice Husk,10495.43,2099.09,0.2,16.5,34634.91,0.15,1784.22,29439.67,267633.41,1159.74,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Kwara,Rice,Rice Straw,10495.43,8396.34,0.8,14.2,119228.06,0.05,7976.53,113266.66,1595305.0,4785.92,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Lagos,Rice,Rice Husk,11841.05,2368.21,0.2,16.5,39075.46,0.195,1906.41,31455.75,285961.35,1239.17,7000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Lagos,Rice,Rice Straw,11841.05,9472.84,0.8,14.2,134514.33,0.065,8857.11,125770.89,1771421.04,5314.26,11200.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Nasarawa,Rice,Rice Husk,16777.64,3355.53,0.2,16.5,55366.21,0.15,2852.2,47061.28,427829.81,1853.93,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Nasarawa,Rice,Rice Straw,16777.64,13422.11,0.8,14.2,190593.98,0.05,12751.01,181064.28,2550201.19,7650.6,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Niger,Rice,Rice Husk,527921.71,105584.34,0.2,16.5,1742141.64,0.15,89746.69,1480820.39,13462003.55,58335.35,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Niger,Rice,Rice Straw,527921.71,422337.37,0.8,14.2,5997190.6,0.05,401220.5,5697331.07,80244099.57,240732.3,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Ogun,Rice,Rice Husk,12713.52,2542.7,0.2,16.5,41954.6,0.195,2046.88,33773.46,307031.43,1330.47,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Ogun,Rice,Rice Straw,12713.52,10170.81,0.8,14.2,144425.55,0.065,9509.71,135037.89,1901942.08,5705.83,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Ondo,Rice,Rice Husk,13886.22,2777.24,0.2,16.5,45824.52,0.15,2360.66,38950.84,354098.57,1534.43,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Ondo,Rice,Rice Straw,13886.22,11108.97,0.8,14.2,157747.44,0.05,10553.53,149860.07,2110705.22,6332.12,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Osun,Rice,Rice Husk,5696.76,1139.35,0.2,16.5,18799.3,0.15,968.45,15979.4,145267.28,629.49,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Osun,Rice,Rice Straw,5696.76,4557.4,0.8,14.2,64715.15,0.05,4329.53,61479.39,865906.94,2597.72,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Oyo,Rice,Rice Husk,14113.17,2822.63,0.2,16.5,46573.47,0.15,2399.24,39587.45,359885.91,1559.51,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Oyo,Rice,Rice Straw,14113.17,11290.54,0.8,14.2,160325.64,0.05,10726.01,152309.36,2145202.26,6435.61,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Plateau,Rice,Rice Husk,7557.86,1511.57,0.2,16.5,24940.94,0.15,1284.84,21199.8,192725.48,835.14,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Plateau,Rice,Rice Straw,7557.86,6046.29,0.8,14.2,85857.31,0.05,5743.98,81564.45,1148795.0,3446.39,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Rivers,Rice,Rice Husk,5975.77,1195.15,0.2,16.5,19720.05,0.195,962.1,15874.64,144314.94,625.36,6000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Rivers,Rice,Rice Straw,5975.77,4780.62,0.8,14.2,67884.79,0.065,4469.88,63472.28,893975.77,2681.93,9600.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Sokoto,Rice,Rice Husk,19233.28,3846.66,0.2,16.5,63469.83,0.15,3269.66,53949.36,490448.72,2125.28,4500.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Sokoto,Rice,Rice Straw,19233.28,15386.63,0.8,14.2,218490.1,0.05,14617.3,207565.59,2923459.02,8770.38,7200.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Taraba,Rice,Rice Husk,474501.13,94900.23,0.2,16.5,1565853.71,0.15,80665.19,1330975.66,12099778.69,52432.37,5000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Taraba,Rice,Rice Straw,474501.13,379600.9,0.8,14.2,5390332.78,0.05,360620.86,5120816.14,72124171.04,216372.51,8000.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Yobe,Rice,Rice Husk,17125.96,3425.19,0.2,16.5,56515.67,0.15,2911.41,48038.32,436711.99,1892.42,4000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Yobe,Rice,Rice Straw,17125.96,13700.77,0.8,14.2,194550.91,0.05,13015.73,184823.36,2603145.95,7809.44,6400.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Zamfara,Rice,Rice Husk,9569.21,1913.84,0.2,16.5,31578.38,0.15,1626.77,26841.62,244014.77,1057.4,4000.0,25,"Covered shed, dry storage","Peak: May-October, Limited: November-April",12,18,38,0.5
2020,Zamfara,Rice,Rice Straw,9569.21,7655.37,0.8,14.2,108706.19,0.05,7272.6,103270.88,1454519.39,4363.56,6400.0,30,"Covered storage, baling required","Peak: May-October, Limited: November-April",15,12,42,0.8
2020,Abia,Maize,Maize Cob,6465.08,969.76,0.15,17.8,17261.77,0.2,775.81,13809.41,139645.76,543.07,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Abia,Maize,Maize Stalk,6465.08,4525.56,0.7,15.2,68788.47,0.1,4073.0,61909.62,896060.33,2525.26,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Abia,Maize,Maize Husk,6465.08,969.76,0.15,16.1,15613.17,0.05,921.27,14832.51,147403.86,626.47,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Adamawa,Maize,Maize Cob,483161.94,72474.29,0.15,17.8,1290042.39,0.2,57979.43,1032033.91,10436298.01,40585.6,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Adamawa,Maize,Maize Stalk,483161.94,338213.36,0.7,15.2,5140843.09,0.1,304392.03,4626758.78,66966245.55,188723.06,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Adamawa,Maize,Maize Husk,483161.94,72474.29,0.15,16.1,1166836.1,0.05,68850.58,1108494.29,11016092.34,46818.39,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Akwa Ibom,Maize,Maize Cob,11602.29,1740.34,0.15,17.8,30978.11,0.2,1392.27,24782.49,250609.41,974.59,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Akwa Ibom,Maize,Maize Stalk,11602.29,8121.6,0.7,15.2,123448.34,0.1,7309.44,111103.5,1608077.03,4531.85,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Akwa Ibom,Maize,Maize Husk,11602.29,1740.34,0.15,16.1,28019.52,0.05,1653.33,26618.55,264532.15,1124.26,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Anambra,Maize,Maize Cob,6830.57,1024.59,0.15,17.8,18237.63,0.2,819.67,14590.11,147540.39,573.77,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Anambra,Maize,Maize Stalk,6830.57,4781.4,0.7,15.2,72677.3,0.1,4303.26,65409.57,946717.49,2668.02,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Anambra,Maize,Maize Husk,6830.57,1024.59,0.15,16.1,16495.84,0.05,973.36,15671.04,155737.08,661.88,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Bauchi,Maize,Maize Cob,12427.65,1864.15,0.15,17.8,33181.84,0.2,1491.32,26545.47,268437.32,1043.92,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Bauchi,Maize,Maize Stalk,12427.65,8699.36,0.7,15.2,132230.23,0.1,7829.42,119007.21,1722472.8,4854.24,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Bauchi,Maize,Maize Husk,12427.65,1864.15,0.15,16.1,30012.78,0.05,1770.94,28512.14,283350.5,1204.24,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Bayelsa,Maize,Maize Cob,5515.83,827.37,0.15,17.8,14727.26,0.2,661.9,11781.81,119141.88,463.33,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Bayelsa,Maize,Maize Stalk,5515.83,3861.08,0.7,15.2,58688.41,0.1,3474.97,52819.57,764493.74,2154.48,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Bayelsa,Maize,Maize Husk,5515.83,827.37,0.15,16.1,13320.72,0.05,786.01,12654.69,125760.87,534.48,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Benue,Maize,Maize Cob,18639.81,2795.97,0.15,17.8,49768.28,0.2,2236.78,39814.63,402619.81,1565.74,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Benue,Maize,Maize Stalk,18639.81,13047.86,0.7,15.2,198327.54,0.1,11743.08,178494.78,2583477.12,7280.71,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Benue,Maize,Maize Husk,18639.81,2795.97,0.15,16.1,45015.13,0.05,2656.17,42764.37,424987.58,1806.2,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Borno,Maize,Maize Cob,8881.7,1332.25,0.15,17.8,23714.14,0.2,1065.8,18971.31,191844.71,746.06,4200.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Borno,Maize,Maize Stalk,8881.7,6217.19,0.7,15.2,94501.29,0.1,5595.47,85051.16,1231003.58,3469.19,7000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Borno,Maize,Maize Husk,8881.7,1332.25,0.15,16.1,21449.3,0.05,1265.64,20376.84,202502.75,860.64,4900.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Cross River,Maize,Maize Cob,14937.83,2240.68,0.15,17.8,39884.02,0.2,1792.54,31907.21,322657.22,1254.78,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Cross River,Maize,Maize Stalk,14937.83,10456.48,0.7,15.2,158938.56,0.1,9410.84,143044.7,2070383.83,5834.72,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Cross River,Maize,Maize Husk,14937.83,2240.68,0.15,16.1,36074.87,0.05,2128.64,34271.13,340582.62,1447.48,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Delta,Maize,Maize Cob,9675.67,1451.35,0.15,17.8,25834.03,0.2,1161.08,20667.22,208994.39,812.76,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Delta,Maize,Maize Stalk,9675.67,6772.97,0.7,15.2,102949.09,0.1,6095.67,92654.18,1341047.33,3779.32,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Delta,Maize,Maize Husk,9675.67,1451.35,0.15,16.1,23366.73,0.05,1378.78,22198.4,220605.19,937.57,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Ebonyi,Maize,Maize Cob,12801.02,1920.15,0.15,17.8,34178.72,0.2,1536.12,27342.98,276502.04,1075.29,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Ebonyi,Maize,Maize Stalk,12801.02,8960.71,0.7,15.2,136202.86,0.1,8064.64,122582.57,1774221.42,5000.08,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Ebonyi,Maize,Maize Husk,12801.02,1920.15,0.15,16.1,30914.46,0.05,1824.15,29368.74,291863.26,1240.42,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Edo,Maize,Maize Cob,13200.65,1980.1,0.15,17.8,35245.75,0.2,1584.08,28196.6,285134.13,1108.85,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Edo,Maize,Maize Stalk,13200.65,9240.46,0.7,15.2,140454.96,0.1,8316.41,126409.46,1829610.67,5156.18,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Edo,Maize,Maize Husk,13200.65,1980.1,0.15,16.1,31879.58,0.05,1881.09,30285.6,300974.92,1279.14,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Ekiti,Maize,Maize Cob,7772.82,1165.92,0.15,17.8,20753.42,0.2,932.74,16602.74,167892.84,652.92,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Ekiti,Maize,Maize Stalk,7772.82,5440.97,0.7,15.2,82702.77,0.1,4896.87,74432.49,1077312.41,3036.06,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Ekiti,Maize,Maize Husk,7772.82,1165.92,0.15,16.1,18771.35,0.05,1107.63,17832.79,177220.22,753.19,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Enugu,Maize,Maize Cob,19543.77,2931.57,0.15,17.8,52181.86,0.2,2345.25,41745.49,422145.42,1641.68,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Enugu,Maize,Maize Stalk,19543.77,13680.64,0.7,15.2,207945.71,0.1,12312.57,187151.14,2708766.44,7633.8,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Enugu,Maize,Maize Husk,19543.77,2931.57,0.15,16.1,47198.2,0.05,2784.99,44838.29,445597.94,1893.79,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,FCT,Maize,Maize Cob,16626.99,2494.05,0.15,17.8,44394.07,0.26,1845.6,32851.61,332207.31,1291.92,7800.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,FCT,Maize,Maize Stalk,16626.99,11638.89,0.7,15.2,176911.2,0.13,10125.84,153912.74,2227684.44,6278.02,13000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,FCT,Maize,Maize Husk,16626.99,2494.05,0.15,16.1,40154.19,0.065,2331.94,37544.16,373109.71,1585.72,9100.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Gombe,Maize,Maize Cob,19092.48,2863.87,0.15,17.8,50976.93,0.2,2291.1,40781.55,412397.66,1603.77,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
2020,Gombe,Maize,Maize Stalk,19092.48,13364.74,0.7,15.2,203144.03,0.1,12028.26,182829.63,2646218.3,7457.52,10000.0,28,"Open storage acceptable, chopping required",Year-round availability with two peaks,25,8,44,1.2
2020,Gombe,Maize,Maize Husk,19092.48,2863.87,0.15,16.1,46108.35,0.05,2720.68,43802.93,435308.64,1850.06,7000.0,22,"Covered storage, moisture control",Year-round availability with two peaks,14,4,45,0.6
2020,Imo,Maize,Maize Cob,18422.41,2763.36,0.15,17.8,49187.84,0.2,2210.69,39350.27,397924.06,1547.48,6000.0,20,"Ventilated storage, pest control",Year-round availability with two peaks,18,2,46,0.4
