year,state,livestock_type,population,daily_manure_per_animal_kg,total_daily_manure_tonnes,annual_manure_tonnes,collection_efficiency_percent,collectible_manure_tonnes,biogas_yield_m3_per_kg,annual_biogas_potential_m3,methane_content_percent,annual_methane_potential_m3,sofc_potential_mwh_per_year,manure_collection_cost_naira_per_tonne,biogas_plant_investment_naira_per_m3,land_requirement_hectares,water_requirement_liters_per_day,feed_requirement_tonnes_per_year
2020,Kano,Cattle,1254350,20.0,25087.02,9156760.92,39.0,3571136.76,0.04,142845470.43,60,85707282.26,511795.89,11200.0,119672.39805397454,627175.4058135607,62717540.58135607,3135877.0290678036
2020,Katsina,Cattle,1839671,20.0,36793.42,13429600.05,30.0,4028880.02,0.04,161155200.61,60,96693120.37,577397.17,8000.0,96059.77263445152,919835.6199174433,91983561.99174432,4599178.099587216
2020,Kebbi,Cattle,2332031,20.0,46640.62,17023827.95,30.0,5107148.39,0.04,204285935.42,60,122571561.25,731928.72,8000.0,88161.42538515595,1166015.6131138152,116601561.31138152,5830078.065569076
2020,Kogi,Cattle,353855,20.0,7077.12,2583148.41,30.0,774944.52,0.04,30997780.91,60,18598668.55,111060.83,8000.0,109322.85184118699,176927.97322558003,17692797.322558004,884639.8661279002
2020,Kwara,Cattle,409278,20.0,8185.58,2987735.5,30.0,896320.65,0.04,35852826.04,60,21511695.62,128455.8,8000.0,87520.98938461664,204639.4180104072,20463941.80104072,1023197.0900520359
2020,Lagos,Cattle,48553,20.0,971.08,354443.07,39.0,138232.8,0.04,5529311.95,60,3317587.17,19810.77,11200.0,111351.67137941589,24276.922843428696,2427692.2843428697,121384.61421714348
2020,Nasarawa,Cattle,606507,20.0,12130.14,4427502.43,30.0,1328250.73,0.04,53130029.12,60,31878017.47,190357.67,8000.0,80209.1845417165,303253.590847921,30325359.084792096,1516267.954239605
2020,Niger,Cattle,1157417,20.0,23148.36,8449151.16,30.0,2534745.35,0.04,101389813.93,60,60833888.36,363265.91,8000.0,81412.45419760956,578708.9836030904,57870898.36030904,2893544.918015452
2020,Ogun,Cattle,262286,20.0,5245.73,1914692.83,39.0,746730.2,0.04,29869208.16,60,17921524.9,107017.31,8000.0,88099.2224066095,131143.3445682808,13114334.45682808,655716.7228414039
2020,Ondo,Cattle,218322,20.0,4366.46,1593757.46,30.0,478127.24,0.04,19125089.47,60,11475053.68,68522.59,8000.0,94717.63005208338,109161.46960238762,10916146.960238762,545807.348011938
2020,Osun,Cattle,144807,20.0,2896.16,1057098.02,30.0,317129.41,0.04,12685176.29,60,7611105.77,45449.26,8000.0,85955.52201329778,72403.9742450712,7240397.42450712,362019.87122535595
2020,Oyo,Cattle,288336,20.0,5766.73,2104854.65,30.0,631456.39,0.04,25258255.76,60,15154953.45,90496.9,8000.0,115066.03047312802,144168.12646470647,14416812.646470647,720840.6323235324
2020,Plateau,Cattle,769486,20.0,15389.74,5617253.69,30.0,1685176.11,0.04,67407044.32,60,40444226.59,241510.27,8000.0,94732.38122027394,384743.4036339073,38474340.36339073,1923717.0181695367
2020,Rivers,Cattle,98972,20.0,1979.44,722497.15,39.0,281773.89,0.04,11270955.57,60,6762573.34,40382.3,11200.0,108882.83752810948,49486.10630954543,4948610.630954543,247430.53154772715
2020,Sokoto,Cattle,2693097,20.0,53861.96,19659614.6,30.0,5897884.38,0.04,235915375.18,60,141549225.11,845252.7,8000.0,103721.77336747137,1346548.9451162687,134654894.51162687,6732744.725581343
2020,Taraba,Cattle,880474,20.0,17609.49,6427464.77,30.0,1928239.43,0.04,77129577.21,60,46277746.33,276344.79,8000.0,96504.87363394495,440237.31283600465,44023731.283600464,2201186.564180023
2020,Yobe,Cattle,831298,20.0,16625.98,6068482.0,30.0,1820544.6,0.04,72821783.94,60,43693070.36,260910.55,8000.0,80128.73054417115,415649.4517197446,41564945.17197446,2078247.258598723
2020,Zamfara,Cattle,1843052,20.0,36861.04,13454280.78,30.0,4036284.23,0.04,161451369.35,60,96870821.61,578458.3,8000.0,94219.7204176543,921526.0807427714,92152608.07427713,4607630.403713857
2020,Abia,Goats,127060,1.5,190.59,69565.75,20.0,13913.15,0.035,486960.27,58,282436.96,1686.56,12000.0,83719.62559292528,12706.073595065003,635303.6797532501,50824.29438026001
2020,Adamawa,Goats,1628224,1.5,2442.34,891453.04,20.0,178290.61,0.035,6240171.26,58,3619299.33,21612.43,12000.0,99238.91559544495,162822.47254234852,8141123.627117425,651289.8901693941
2020,Akwa Ibom,Goats,154269,1.5,231.4,84462.7,20.0,16892.54,0.035,591238.88,58,342918.55,2047.72,12000.0,82594.14377931874,15426.976577715684,771348.8288857841,61707.90631086274
2020,Anambra,Goats,101599,1.5,152.4,55625.82,20.0,11125.16,0.035,389380.76,58,225840.84,1348.6,12000.0,102459.38351838096,10159.967574856264,507998.37874281313,40639.870299425056
2020,Bauchi,Goats,2024264,1.5,3036.4,1108284.56,20.0,221656.91,0.035,7757991.92,58,4499635.32,26869.3,12000.0,104139.50666385819,202426.40377664688,10121320.188832343,809705.6151065875
2020,Bayelsa,Goats,103529,1.5,155.29,56682.32,20.0,11336.46,0.035,396776.27,58,230130.24,1374.21,12000.0,112199.5599872308,10352.935874452725,517646.7937226362,41411.7434978109
2020,Benue,Goats,572378,1.5,858.57,313377.22,20.0,62675.44,0.035,2193640.55,58,1272311.52,7597.53,12000.0,113001.97640720248,57237.84864153858,2861892.4320769287,228951.3945661543
2020,Borno,Goats,2299197,1.5,3448.8,1258810.69,20.0,251762.14,0.035,8811674.86,58,5110771.42,30518.66,12000.0,83082.33116537325,229919.76138411887,11495988.069205943,919679.0455364755
2020,Cross River,Goats,164107,1.5,246.16,89849.04,20.0,17969.81,0.035,628943.27,58,364787.1,2178.3,12000.0,93369.53274784243,16410.783345278323,820539.1672639162,65643.1333811133
2020,Delta,Goats,211395,1.5,317.09,115739.24,20.0,23147.85,0.035,810174.71,58,469901.33,2805.99,12000.0,108307.23738963663,21139.587908445876,1056979.3954222938,84558.3516337835
2020,Ebonyi,Goats,148081,1.5,222.12,81074.47,20.0,16214.89,0.035,567521.27,58,329162.34,1965.57,12000.0,100690.76225766438,14808.12190108274,740406.0950541369,59232.48760433096
2020,Edo,Goats,247009,1.5,370.51,135237.95,20.0,27047.59,0.035,946665.63,58,549066.07,3278.72,12000.0,85898.10106825136,24700.994989777453,1235049.7494888727,98803.97995910981
2020,Ekiti,Goats,144845,1.5,217.27,79303.07,20.0,15860.61,0.035,555121.46,58,321970.45,1922.63,12000.0,97360.77464695502,14484.578260827935,724228.9130413968,57938.31304331174
2020,Enugu,Goats,119303,1.5,178.96,65318.73,20.0,13063.75,0.035,457231.09,58,265194.03,1583.59,12000.0,88824.47810844846,11930.361117167005,596518.0558583502,47721.44446866802
2020,FCT,Goats,305893,1.5,458.84,167476.7,26.0,43543.94,0.035,1524037.98,58,883942.03,5278.41,16800.0,109426.5245695676,30589.35176438244,1529467.588219122,122357.40705752977
2020,Gombe,Goats,1539537,1.5,2309.31,842896.67,20.0,168579.33,0.035,5900276.71,58,3422160.49,20435.23,12000.0,117324.53325374231,153953.7303190026,7697686.515950131,615814.9212760105
2020,Imo,Goats,113136,1.5,169.7,61942.2,20.0,12388.44,0.035,433595.38,58,251485.32,1501.73,12000.0,96849.92213176288,11313.643438977422,565682.1719488711,45254.57375590969
2020,Jigawa,Goats,2259918,1.5,3389.88,1237305.13,20.0,247461.03,0.035,8661135.89,58,5023458.82,29997.28,12000.0,111426.06472320927,225991.8040471623,11299590.202358114,903967.2161886492
2020,Kaduna,Goats,1570234,1.5,2355.35,859703.28,26.0,223522.85,0.035,7823299.87,58,4537513.92,27095.49,12000.0,96396.19558785153,157023.43049139515,7851171.524569757,628093.7219655806
2020,Kano,Goats,2669901,1.5,4004.85,1461770.88,26.0,380060.43,0.035,13302114.97,58,7715226.68,46071.01,16800.0,95353.31807732176,266990.1142817809,13349505.714089043,1067960.4571271236
2020,Katsina,Goats,2840248,1.5,4260.37,1555036.04,20.0,311007.21,0.035,10885252.27,58,6313446.32,37700.37,12000.0,103510.77443448793,284024.8471887225,14201242.359436125,1136099.38875489
2020,Kebbi,Goats,1780100,1.5,2670.15,974605.28,20.0,194921.06,0.035,6822236.99,58,3956897.45,23628.38,12000.0,94489.41766609154,178010.0976190783,8900504.880953914,712040.3904763132
2020,Kogi,Goats,435106,1.5,652.66,238220.54,20.0,47644.11,0.035,1667543.81,58,967175.41,5775.43,12000.0,81047.86834128259,43510.60159867739,2175530.0799338697,174042.40639470957
2020,Kwara,Goats,452419,1.5,678.63,247699.5,20.0,49539.9,0.035,1733896.49,58,1005659.97,6005.24,12000.0,113267.88174703094,45241.917638913554,2262095.8819456776,180967.67055565421
2020,Lagos,Goats,76369,1.5,114.55,41812.1,26.0,10871.15,0.035,380490.11,58,220684.27,1317.8,16800.0,100723.15064955261,7636.9132959565,381845.66479782504,30547.653183826
2020,Nasarawa,Goats,671821,1.5,1007.73,367822.32,20.0,73564.46,0.035,2574756.21,58,1493358.6,8917.5,12000.0,117627.16980461363,67182.15803024283,3359107.901512142,268728.63212097134
2020,Niger,Goats,1427789,1.5,2141.68,781714.49,20.0,156342.9,0.035,5472001.45,58,3173760.84,18951.92,12000.0,97186.2725095574,142778.9027659732,7138945.1382986605,571115.6110638928
2020,Ogun,Goats,322363,1.5,483.55,176494.19,26.0,45888.49,0.035,1606097.12,58,931536.33,5562.61,12000.0,113677.34267167235,32236.381502907614,1611819.0751453806,128945.52601163046
2020,Ondo,Goats,234305,1.5,351.46,128282.03,20.0,25656.41,0.035,897974.18,58,520825.03,3110.08,12000.0,112105.73239182841,23430.50708923139,1171525.3544615693,93722.02835692556
2020,Osun,Goats,198327,1.5,297.49,108584.29,20.0,21716.86,0.035,760090.05,58,440852.23,2632.52,12000.0,99318.7548834142,19832.747546951574,991637.3773475785,79330.9901878063
2020,Oyo,Goats,370678,1.5,556.02,202946.42,20.0,40589.28,0.035,1420624.96,58,823962.48,4920.24,12000.0,83224.06055028498,37067.83977932755,1853391.9889663775,148271.3591173102
2020,Plateau,Goats,836470,1.5,1254.71,457967.48,20.0,91593.5,0.035,3205772.38,58,1859347.98,11102.98,12000.0,99858.44609421199,83647.02891158026,4182351.4455790124,334588.11564632104
2020,Rivers,Goats,118484,1.5,177.73,64870.22,26.0,16866.26,0.035,590318.99,58,342385.01,2044.53,16800.0,109180.32914609587,11848.441686276432,592422.0843138215,47393.76674510573
2020,Sokoto,Goats,3159307,1.5,4738.96,1729720.99,20.0,345944.2,0.035,12108046.91,58,7022667.21,41935.44,12000.0,86356.32670677414,315930.7739394666,15796538.696973331,1263723.0957578665
2020,Taraba,Goats,1226454,1.5,1839.68,671483.58,20.0,134296.72,0.035,4700385.09,58,2726223.35,16279.48,12000.0,85414.16329110743,122645.40358746341,6132270.17937317,490581.61434985365
2020,Yobe,Goats,1890495,1.5,2835.74,1035046.03,20.0,207009.21,0.035,7245322.21,58,4202286.88,25093.7,12000.0,106278.20625068559,189049.5030970457,9452475.154852284,756198.0123881828
2020,Zamfara,Goats,2291778,1.5,3437.67,1254748.53,20.0,250949.71,0.035,8783239.72,58,5094279.04,30420.18,12000.0,82758.32065425685,229177.81408550526,11458890.704275262,916711.256342021
2020,Abia,Sheep,45570,2.0,91.14,33266.5,25.0,8316.62,0.038,316031.74,59,186458.73,1113.43,10000.0,91287.482987728,6835.582081726881,364564.37769210036,27342.328326907525
2020,Adamawa,Sheep,857107,2.0,1714.21,625688.13,25.0,156422.03,0.038,5944037.21,59,3506981.95,20941.73,10000.0,89879.15196287999,128566.05346086946,6856856.184579705,514264.21384347783
2020,Akwa Ibom,Sheep,64875,2.0,129.75,47358.79,25.0,11839.7,0.038,449908.51,59,265446.02,1585.09,10000.0,89981.84799398025,9731.258244937866,519000.43973001954,38925.032979751464
2020,Anambra,Sheep,38175,2.0,76.35,27868.19,25.0,6967.05,0.038,264747.77,59,156201.18,932.75,10000.0,110375.93049671855,5726.339671354358,305404.7824722324,22905.358685417432
2020,Bauchi,Sheep,1187937,2.0,2375.88,867194.42,25.0,216798.61,0.038,8238346.99,59,4860624.73,29024.93,10000.0,111068.42227820725,178190.63432821943,9503500.497505037,712762.5373128777
2020,Bayelsa,Sheep,36522,2.0,73.05,26661.74,25.0,6665.43,0.038,253286.51,59,149439.04,892.37,10000.0,99502.84774693537,5478.439389077263,292183.4340841207,21913.75755630905
2020,Benue,Sheep,272016,2.0,544.03,198572.28,25.0,49643.07,0.038,1886436.62,59,1112997.61,6646.2,10000.0,82506.12813821418,40802.52240164955,2176134.528087976,163210.0896065982
2020,Borno,Sheep,1405673,2.0,2811.35,1026141.83,25.0,256535.46,0.038,9748347.37,59,5751524.95,34344.89,10000.0,85569.81484470381,210851.06068043204,11245389.902956376,843404.2427217282
2020,Cross River,Sheep,70453,2.0,140.91,51431.34,25.0,12857.83,0.038,488597.72,59,288272.66,1721.4,10000.0,96443.82410402826,10568.083432777954,563631.1164148243,42272.333731111816
2020,Delta,Sheep,77557,2.0,155.11,56616.97,25.0,14154.24,0.038,537861.22,59,317338.12,1894.97,10000.0,115993.33382749089,11633.623983021222,620459.9457611318,46534.49593208489
2020,Ebonyi,Sheep,54261,2.0,108.52,39611.17,25.0,9902.79,0.038,376306.14,59,222020.62,1325.78,10000.0,106551.58744702357,8139.282114195881,434095.046090447,32557.128456783525
2020,Edo,Sheep,109267,2.0,218.54,79765.56,25.0,19941.39,0.038,757772.81,59,447085.96,2669.75,10000.0,102406.72733847368,16390.183302640653,874143.1094741682,65560.73321056261
2020,Ekiti,Sheep,86989,2.0,173.98,63502.09,25.0,15875.52,0.038,603269.82,59,355929.19,2125.41,10000.0,82090.31517144095,13048.373908879421,695913.2751402358,52193.495635517684
2020,Enugu,Sheep,54106,2.0,108.21,39497.91,25.0,9874.48,0.038,375230.15,59,221385.79,1321.99,10000.0,90406.31163848205,8116.008976472367,432853.81207852624,32464.03590588947
2020,FCT,Sheep,156924,2.0,313.85,114554.98,32.5,37230.37,0.038,1414753.99,59,834704.86,4984.39,14000.0,119251.88361988986,23538.694342413284,1255397.0315953752,94154.77736965314
2020,Gombe,Sheep,761044,2.0,1522.09,555562.71,25.0,138890.68,0.038,5277845.76,59,3113929.0,18594.64,10000.0,106166.98405896297,114156.72149866195,6088358.479928638,456626.8859946478
2020,Imo,Sheep,42282,2.0,84.57,30866.5,25.0,7716.63,0.038,293231.76,59,173006.74,1033.1,10000.0,102613.2101828644,6342.431804225648,338263.02955870127,25369.727216902593
2020,Jigawa,Sheep,1389901,2.0,2779.8,1014627.8,25.0,253656.95,0.038,9638964.1,59,5686988.82,33959.51,10000.0,118880.21318526148,208485.16444091013,11119208.770181874,833940.6577636405
2020,Kaduna,Sheep,1021705,2.0,2043.41,745844.98,32.5,242399.62,0.038,9211185.53,59,5434599.46,32452.38,10000.0,93980.25488347275,153255.818180894,8173643.636314347,613023.272723576
2020,Kano,Sheep,1384228,2.0,2768.46,1010486.98,32.5,328408.27,0.038,12479514.16,59,7362913.36,43967.2,14000.0,86049.87314939738,207634.31031995697,11073829.88373104,830537.2412798279
2020,Katsina,Sheep,1701114,2.0,3402.23,1241813.29,25.0,310453.32,0.038,11797226.25,59,6960363.49,41563.39,10000.0,90038.66645361192,255167.11421736667,13608912.758259557,1020668.4568694667
2020,Kebbi,Sheep,2140246,2.0,4280.49,1562379.89,25.0,390594.97,0.038,14842608.94,59,8757139.28,52292.73,10000.0,102448.911531301,321036.96347046824,17121971.38509164,1284147.853881873
2020,Kogi,Sheep,200935,2.0,401.87,146683.01,25.0,36670.75,0.038,1393488.64,59,822158.3,4909.47,10000.0,84590.7548747687,30140.3454682462,1607485.0916397974,120561.3818729848
2020,Kwara,Sheep,268006,2.0,536.01,195645.1,25.0,48911.27,0.038,1858628.44,59,1096590.78,6548.23,10000.0,108912.57212833935,40201.047700120755,2144055.877339774,160804.19080048302
2020,Lagos,Sheep,27406,2.0,54.81,20006.39,32.5,6502.08,0.038,247078.88,59,145776.54,870.5,14000.0,108313.40388919075,4110.901525710002,219248.0813712001,16443.606102840007
2020,Nasarawa,Sheep,353047,2.0,706.1,257724.8,25.0,64431.2,0.038,2448385.63,59,1444547.52,8626.03,10000.0,83269.01382987112,52957.15128209779,2824381.401711882,211828.60512839115
2020,Niger,Sheep,892494,2.0,1784.99,651520.7,25.0,162880.18,0.038,6189446.69,59,3651773.55,21806.35,10000.0,99387.85148520189,133874.11732127372,7139952.923801266,535496.4692850949
2020,Ogun,Sheep,139973,2.0,279.95,102180.46,32.5,33208.65,0.038,1261928.71,59,744537.94,4445.96,10000.0,117827.92588001129,20995.98543073474,1119785.8896391862,83983.94172293897
2020,Ondo,Sheep,128399,2.0,256.8,93731.57,25.0,23432.89,0.038,890449.9,59,525365.44,3137.19,10000.0,106760.89349316433,19259.91133733038,1027195.271324287,77039.64534932152
2020,Osun,Sheep,99245,2.0,198.49,72449.52,25.0,18112.38,0.038,688270.39,59,406079.53,2424.88,10000.0,96470.62166338034,14886.886683001821,793967.2897600972,59547.546732007286
2020,Oyo,Sheep,185435,2.0,370.87,135367.58,25.0,33841.9,0.038,1285992.04,59,758735.3,4530.74,10000.0,101817.27477627622,27815.256722615155,1483480.358539475,111261.02689046062
2020,Plateau,Sheep,364981,2.0,729.96,266436.75,25.0,66609.19,0.038,2531149.12,59,1493377.98,8917.62,10000.0,100500.10595081327,54747.27727058263,2919854.7877644068,218989.1090823305
2020,Rivers,Sheep,53064,2.0,106.13,38736.75,32.5,12589.44,0.038,478398.82,59,282255.3,1685.47,14000.0,98369.59510387832,7959.6054258492595,424512.2893786272,31838.421703397038
2020,Sokoto,Sheep,2002860,2.0,4005.72,1462088.45,25.0,365522.11,0.038,13889840.3,59,8195005.78,48935.99,10000.0,111451.12797536132,300429.1341185817,16022887.152991025,1201716.5364743269
2020,Taraba,Sheep,658190,2.0,1316.38,480479.38,25.0,120119.84,0.038,4564554.1,59,2693086.92,16081.61,10000.0,90344.83339552155,98728.63942485546,5265527.435992291,394914.5576994218
2020,Yobe,Sheep,1026235,2.0,2052.47,749151.84,25.0,187287.96,0.038,7116942.48,59,4198996.07,25074.05,10000.0,93208.6025948599,153935.30966326577,8209883.182040841,615741.2386530631
2020,Zamfara,Sheep,1682160,2.0,3364.32,1227977.15,25.0,306994.29,0.038,11665782.94,59,6882811.94,41100.3,10000.0,100775.4343801575,252324.07227305445,13457283.854562905,1009296.2890922178
2020,Abia,Poultry,3575709,0.15,536.36,195770.11,80.0,156616.09,0.08,12529287.03,65,8144036.57,48631.63,3000.0,115113.20312608164,3575.7097683545417,1072712.9305063623,143028.39073418168
2020,Adamawa,Poultry,591754,0.15,88.76,32398.53,80.0,25918.83,0.08,2073506.03,65,1347778.92,8048.18,3000.0,114823.13700184028,591.7540040446682,177526.2012134005,23670.16016178673
2020,Akwa Ibom,Poultry,2843277,0.15,426.49,155669.46,80.0,124535.56,0.08,9962845.15,65,6475849.35,38670.15,3000.0,98049.57376723952,2843.277726828924,852983.3180486772,113731.10907315696
2020,Anambra,Poultry,4936490,0.15,740.47,270272.87,80.0,216218.29,0.08,17297463.38,65,11243351.2,67139.0,3000.0,110880.49905239961,4936.490690526787,1480947.207158036,197459.6276210715
2020,Bauchi,Poultry,724346,0.15,108.65,39657.99,80.0,31726.39,0.08,2538111.14,65,1649772.24,9851.52,3000.0,82608.18365041968,724.3467873960896,217304.03621882686,28973.87149584358
2020,Bayelsa,Poultry,297835,0.15,44.68,16306.51,80.0,13045.21,0.08,1043616.93,65,678351.01,4050.73,3000.0,116368.8082344624,297.83588260873995,89350.76478262198,11913.435304349598
2020,Benue,Poultry,1612384,0.15,241.86,88278.06,80.0,70622.44,0.08,5649795.55,65,3672367.11,21929.32,3000.0,99912.50032137161,1612.3845753448688,483715.37260346056,64495.38301379475
2020,Borno,Poultry,460547,0.15,69.08,25214.97,80.0,20171.97,0.08,1613757.98,65,1048942.69,6263.7,3000.0,106271.20418897177,460.54736999566313,138164.21099869892,18421.894799826525
2020,Cross River,Poultry,3406146,0.15,510.92,186486.49,80.0,149189.2,0.08,11935135.66,65,7757838.18,46325.47,3000.0,95216.8003003025,3406.1460227841444,1021843.8068352432,136245.84091136575
2020,Delta,Poultry,5803173,0.15,870.48,317723.72,80.0,254178.98,0.08,20334318.32,65,13217306.91,78926.36,3000.0,118579.06615603247,5803.173036017862,1740951.9108053583,232126.92144071445
2020,Ebonyi,Poultry,1411129,0.15,211.67,77259.36,80.0,61807.49,0.08,4944599.3,65,3213989.55,19192.15,3000.0,100933.18524778966,1411.1299377383068,423338.98132149206,56445.19750953227
2020,Edo,Poultry,4787137,0.15,718.07,262095.8,80.0,209676.64,0.08,16774131.41,65,10903185.41,65107.72,3000.0,111714.17676135358,4787.137958084576,1436141.3874253726,191485.51832338303
2020,Ekiti,Poultry,2234141,0.15,335.12,122319.22,80.0,97855.38,0.08,7828430.35,65,5088479.73,30385.55,3000.0,105383.29670201216,2234.1410809877098,670242.3242963129,89365.64323950838
2020,Enugu,Poultry,3708539,0.15,556.28,203042.56,80.0,162434.05,0.08,12994723.85,65,8446570.5,50438.19,3000.0,95838.8189064982,3708.539911731126,1112561.9735193376,148341.59646924504
2020,FCT,Poultry,2166036,0.15,324.91,118590.47,90.0,106731.43,0.08,8538514.02,65,5550034.11,33141.7,4200.0,101321.1546898456,2166.0360273628175,649810.8082088452,86641.4410945127
2020,Gombe,Poultry,652113,0.15,97.82,35703.22,80.0,28562.58,0.08,2285006.32,65,1485254.11,8869.11,3000.0,107835.9647267521,652.1136751969489,195634.10255908463,26084.547007877954
2020,Imo,Poultry,4234609,0.15,635.19,231844.85,80.0,185475.88,0.08,14838070.22,65,9644745.64,57593.02,3000.0,92670.46708270107,4234.609080350603,1270382.724105181,169384.3632140241
2020,Jigawa,Poultry,482146,0.15,72.32,26397.5,80.0,21118.0,0.08,1689440.05,65,1098136.03,6557.45,3000.0,116245.73019063065,482.14613312988774,144643.83993896632,19285.84532519551
2020,Kaduna,Poultry,7643047,0.15,1146.46,418456.83,90.0,376611.15,0.08,30128891.98,65,19583779.79,116943.37,3000.0,119340.85890860888,7643.047179804495,2292914.153941348,305721.8871921798
2020,Kano,Poultry,556885,0.15,83.53,30489.47,90.0,27440.53,0.08,2195242.18,65,1426907.42,8520.69,4200.0,88080.6267360996,556.885383365851,167065.6150097553,22275.415334634043
2020,Katsina,Poultry,468422,0.15,70.26,25646.13,80.0,20516.9,0.08,1641352.38,65,1066879.05,6370.8,3000.0,115759.58840031482,468.42248392380264,140526.74517714078,18736.899356952104
2020,Kebbi,Poultry,391726,0.15,58.76,21447.01,80.0,17157.61,0.08,1372608.72,65,892195.67,5327.69,3000.0,86084.17132889091,391.7262339766971,117517.87019300912,15669.049359067883
2020,Kogi,Poultry,988064,0.15,148.21,54096.54,80.0,43277.23,0.08,3462178.65,65,2250416.12,13438.22,3000.0,104611.92100279208,988.0646836736698,296419.4051021009,39522.58734694679
2020,Kwara,Poultry,1100031,0.15,165.0,60226.72,80.0,48181.37,0.08,3854509.96,65,2505431.47,14961.03,3000.0,115296.65473629355,1100.031380397452,330009.4141192356,44001.25521589808
2020,Lagos,Poultry,10607207,0.15,1591.08,580744.59,90.0,522670.13,0.08,41813610.27,65,27178846.68,162296.85,4200.0,100208.27094306552,10607.20707088307,3182162.121264921,424288.28283532284
2020,Nasarawa,Poultry,1530795,0.15,229.62,83811.05,80.0,67048.84,0.08,5363907.26,65,3486539.72,20819.66,3000.0,96710.43917100399,1530.795452272568,459238.63568177033,61231.818090902714
