year,state,residue_type,residue_quantity_tons
2024,Taraba,sugarcane_bagasse,227763
2024,Taraba,cassava_peels,377394
2024,Taraba,palm_kernel_shells,331122
2024,Taraba,groundnut_shells,209495
2024,Yobe,rice_husk,276437
2024,Yobe,maize_cobs,361186
2024,Yobe,sugarcane_bagasse,329398
2024,Yobe,cassava_peels,537131
2024,Yobe,palm_kernel_shells,300606
2024,Yobe,groundnut_shells,170996
2024,Zamfara,rice_husk,187199
2024,Zamfara,maize_cobs,295640
2024,Zamfara,sugarcane_bagasse,238297
2024,Zamfara,cassava_peels,405570
2024,Zamfara,palm_kernel_shells,321455
2024,Zamfara,groundnut_shells,184922
