year,state,species,population_headcount
2024,Anambra,sheep,734575
2020,Anambra,poultry,3553395
2021,Anambra,poultry,3599219
2022,Anambra,poultry,3517096
2023,Anambra,poultry,3615788
2024,Anambra,poultry,3664623
2020,Anambra,pigs,98056
2021,Anambra,pigs,96706
2022,Anambra,pigs,100359
2023,Anambra,pigs,106859
2024,Anambra,pigs,109020
2020,Bauchi,cattle,395143
2021,Bauchi,cattle,384457
2022,Bauchi,cattle,388055
2023,Bauchi,cattle,389266
2024,Bauchi,cattle,408621
2020,Bauchi,goats,2068010
2021,Bauchi,goats,2114025
2022,Bauchi,goats,2078865
2023,Bauchi,goats,2028902
2024,Bauchi,goats,2037441
2020,Bauchi,sheep,1322621
2021,Bauchi,sheep,1335805
2022,Bauchi,sheep,1351210
2023,Bauchi,sheep,1439341
2024,Bauchi,sheep,1422444
2020,Bauchi,poultry,5984918
2021,Bauchi,poultry,6092235
2022,Bauchi,poultry,6234281
2023,Bauchi,poultry,6279520
2024,Bauchi,poultry,6415309
2020,Bauchi,pigs,172407
2021,Bauchi,pigs,181977
2022,Bauchi,pigs,182305
2023,Bauchi,pigs,177344
2024,Bauchi,pigs,176388
2020,Bayelsa,cattle,252076
2021,Bayelsa,cattle,261198
2022,Bayelsa,cattle,262441
2023,Bayelsa,cattle,262457
2024,Bayelsa,cattle,268823
2020,Bayelsa,goats,1340235
2021,Bayelsa,goats,1348848
2022,Bayelsa,goats,1424232
2023,Bayelsa,goats,1425968
2024,Bayelsa,goats,1422488
2020,Bayelsa,sheep,882444
2021,Bayelsa,sheep,901377
2022,Bayelsa,sheep,919835
2023,Bayelsa,sheep,942238
2024,Bayelsa,sheep,969677
2020,Bayelsa,poultry,4162687
2021,Bayelsa,poultry,4056572
2022,Bayelsa,poultry,4042428
2023,Bayelsa,poultry,3988908
2024,Bayelsa,poultry,3954821
2020,Bayelsa,pigs,104816
2021,Bayelsa,pigs,101777
2022,Bayelsa,pigs,100130
2023,Bayelsa,pigs,106924
2024,Bayelsa,pigs,113742
2020,Benue,cattle,438834
2021,Benue,cattle,463211
2022,Benue,cattle,475095
2023,Benue,cattle,498016
2024,Benue,cattle,486436
2020,Benue,goats,2109926
2021,Benue,goats,2072259
2022,Benue,goats,2029536
2023,Benue,goats,2031468
2024,Benue,goats,2165566
2020,Benue,sheep,1543128
2021,Benue,sheep,1588261
2022,Benue,sheep,1671455
2023,Benue,sheep,1739350
2024,Benue,sheep,1763590
2020,Benue,poultry,6835972
2021,Benue,poultry,6894424
2022,Benue,poultry,6919907
2023,Benue,poultry,6821985
2024,Benue,poultry,6896772
2020,Benue,pigs,189823
2021,Benue,pigs,185070
2022,Benue,pigs,186827
2023,Benue,pigs,183130
2024,Benue,pigs,184171
2020,Borno,cattle,359126
2021,Borno,cattle,379894
2022,Borno,cattle,394466
2023,Borno,cattle,415130
2024,Borno,cattle,405838
2020,Borno,goats,1813306
2021,Borno,goats,1782756
2022,Borno,goats,1902605
2023,Borno,goats,1969227
2024,Borno,goats,1958709
2020,Borno,sheep,1203394
2021,Borno,sheep,1190485
2022,Borno,sheep,1255915
2023,Borno,sheep,1233090
2024,Borno,sheep,1315998
2020,Borno,poultry,5952234
2021,Borno,poultry,6333703
2022,Borno,poultry,6464946
2023,Borno,poultry,6511108
2024,Borno,poultry,6412076
2020,Borno,pigs,152475
2021,Borno,pigs,161077
2022,Borno,pigs,165780
2023,Borno,pigs,162854
2024,Borno,pigs,159855
2020,Cross River,cattle,445856
2021,Cross River,cattle,439755
2022,Cross River,cattle,444733
2023,Cross River,cattle,447558
2024,Cross River,cattle,455575
2020,Cross River,goats,2406547
2021,Cross River,goats,2453536
2022,Cross River,goats,2566250
2023,Cross River,goats,2545055
2024,Cross River,goats,2622647
2020,Cross River,sheep,1529429
2021,Cross River,sheep,1510941
2022,Cross River,sheep,1543771
2023,Cross River,sheep,1543387
2024,Cross River,sheep,1603285
2020,Cross River,poultry,6936327
2021,Cross River,poultry,7283530
2022,Cross River,poultry,7559827
2023,Cross River,poultry,8026407
2024,Cross River,poultry,8487310
2020,Cross River,pigs,185033
2021,Cross River,pigs,185680
2022,Cross River,pigs,185608
2023,Cross River,pigs,187405
2024,Cross River,pigs,192444
2020,Delta,cattle,268060
2021,Delta,cattle,265418
2022,Delta,cattle,268892
2023,Delta,cattle,270003
2024,Delta,cattle,274953
2020,Delta,goats,1312009
2021,Delta,goats,1397127
2022,Delta,goats,1484088
2023,Delta,goats,1511322
2024,Delta,goats,1557713
2020,Delta,sheep,864234
2021,Delta,sheep,880808
2022,Delta,sheep,934588
2023,Delta,sheep,938987
2024,Delta,sheep,946722
2020,Delta,poultry,4025348
2021,Delta,poultry,4289455
2022,Delta,poultry,4294813
2023,Delta,poultry,4395435
2024,Delta,poultry,4591561
2020,Delta,pigs,114764
2021,Delta,pigs,112514
2022,Delta,pigs,110361
2023,Delta,pigs,112294
2024,Delta,pigs,114203
2020,Ebonyi,cattle,349758
2021,Ebonyi,cattle,343154
2022,Ebonyi,cattle,359678
2023,Ebonyi,cattle,356417
2024,Ebonyi,cattle,358504
2020,Ebonyi,goats,1882648
2021,Ebonyi,goats,1853985
2022,Ebonyi,goats,1829845
2023,Ebonyi,goats,1806562
2024,Ebonyi,goats,1844795
2020,Ebonyi,sheep,1291113
2021,Ebonyi,sheep,1283530
2022,Ebonyi,sheep,1320712
2023,Ebonyi,sheep,1353558
2024,Ebonyi,sheep,1331273
2020,Ebonyi,poultry,5528613
2021,Ebonyi,poultry,5824807
2022,Ebonyi,poultry,5818978
2023,Ebonyi,poultry,6117451
2024,Ebonyi,poultry,6462012
2020,Ebonyi,pigs,155836
2021,Ebonyi,pigs,160316
2022,Ebonyi,pigs,165760
2023,Ebonyi,pigs,175038
2024,Ebonyi,pigs,173700
2020,Edo,cattle,394775
2021,Edo,cattle,417150
2022,Edo,cattle,437278
2023,Edo,cattle,440163
2024,Edo,cattle,429909
2020,Edo,goats,1880150
2021,Edo,goats,1989031
2022,Edo,goats,2114920
2023,Edo,goats,2151852
2024,Edo,goats,2256194
2020,Edo,sheep,1295743
2021,Edo,sheep,1257377
2022,Edo,sheep,1319273
2023,Edo,sheep,1379881
2024,Edo,sheep,1394774
2020,Edo,poultry,5984311
2021,Edo,poultry,6103365
2022,Edo,poultry,6240137
2023,Edo,poultry,6437158
2024,Edo,poultry,6762582
2020,Edo,pigs,166576
2021,Edo,pigs,177766
2022,Edo,pigs,188278
2023,Edo,pigs,184518
2024,Edo,pigs,193133
2020,Ekiti,cattle,415309
2021,Ekiti,cattle,410793
2022,Ekiti,cattle,400994
2023,Ekiti,cattle,402820
2024,Ekiti,cattle,417904
2020,Ekiti,goats,2115008
2021,Ekiti,goats,2249798
2022,Ekiti,goats,2360121
2023,Ekiti,goats,2300738
2024,Ekiti,goats,2335632
2020,Ekiti,sheep,1444787
2021,Ekiti,sheep,1422121
2022,Ekiti,sheep,1454459
2023,Ekiti,sheep,1438387
2024,Ekiti,sheep,1449183
2020,Ekiti,poultry,6382828
2021,Ekiti,poultry,6770493
2022,Ekiti,poultry,7147952
2023,Ekiti,poultry,7383428
2024,Ekiti,poultry,7589464
2020,Ekiti,pigs,182939
2021,Ekiti,pigs,187523
2022,Ekiti,pigs,184902
2023,Ekiti,pigs,185086
2024,Ekiti,pigs,188910
2020,Enugu,cattle,470472
2021,Enugu,cattle,469778
2022,Enugu,cattle,483078
2023,Enugu,cattle,511017
2024,Enugu,cattle,527563
2020,Enugu,goats,2340220
2021,Enugu,goats,2349074
2022,Enugu,goats,2445748
2023,Enugu,goats,2494504
2024,Enugu,goats,2579839
2020,Enugu,sheep,1520427
2021,Enugu,sheep,1597537
2022,Enugu,sheep,1696845
2023,Enugu,sheep,1729002
2024,Enugu,sheep,1718515
2020,Enugu,poultry,7161123
2021,Enugu,poultry,7045445
2022,Enugu,poultry,7215927
2023,Enugu,poultry,7480423
2024,Enugu,poultry,7305155
2020,Enugu,pigs,208654
2021,Enugu,pigs,219383
2022,Enugu,pigs,233519
2023,Enugu,pigs,234465
2024,Enugu,pigs,238962
2020,FCT Abuja,cattle,340673
2021,FCT Abuja,cattle,334888
2022,FCT Abuja,cattle,340799
2023,FCT Abuja,cattle,347994
2024,FCT Abuja,cattle,340828
2020,FCT Abuja,goats,1657757
2021,FCT Abuja,goats,1765455
2022,FCT Abuja,goats,1761664
2023,FCT Abuja,goats,1750983
2024,FCT Abuja,goats,1780326
2020,FCT Abuja,sheep,1187811
2021,FCT Abuja,sheep,1266318
2022,FCT Abuja,sheep,1248029
2023,FCT Abuja,sheep,1311314
2024,FCT Abuja,sheep,1330086
2020,FCT Abuja,poultry,4983314
2021,FCT Abuja,poultry,4925988
2022,FCT Abuja,poultry,4897540
2023,FCT Abuja,poultry,4897114
2024,FCT Abuja,poultry,4778887
2020,FCT Abuja,pigs,137191
2021,FCT Abuja,pigs,141758
2022,FCT Abuja,pigs,140309
2023,FCT Abuja,pigs,144311
2024,FCT Abuja,pigs,140767
2020,Gombe,cattle,397057
2021,Gombe,cattle,394605
2022,Gombe,cattle,393254
2023,Gombe,cattle,398351
2024,Gombe,cattle,417959
2020,Gombe,goats,2143241
2021,Gombe,goats,2240200
2022,Gombe,goats,2313760
2023,Gombe,goats,2465084
2024,Gombe,goats,2449393
2020,Gombe,sheep,1321297
2021,Gombe,sheep,1347623
2022,Gombe,sheep,1323702
2023,Gombe,sheep,1389940
2024,Gombe,sheep,1438204
2020,Gombe,poultry,6389379
2021,Gombe,poultry,6432876
2022,Gombe,poultry,6443395
2023,Gombe,poultry,6360826
2024,Gombe,poultry,6312766
2020,Gombe,pigs,175820
2021,Gombe,pigs,183831
2022,Gombe,pigs,193871
2023,Gombe,pigs,195489
2024,Gombe,pigs,200984
2020,Imo,cattle,519885
2021,Imo,cattle,518013
2022,Imo,cattle,549689
2023,Imo,cattle,543292
2024,Imo,cattle,548600
2020,Imo,goats,2883781
2021,Imo,goats,3014542
2022,Imo,goats,3107173
2023,Imo,goats,3177323
2024,Imo,goats,3101609
2020,Imo,sheep,1879983
2021,Imo,sheep,1957022
2022,Imo,sheep,2034301
2023,Imo,sheep,2168808
2024,Imo,sheep,2213379
2020,Imo,poultry,8747208
2021,Imo,poultry,9354373
2022,Imo,poultry,9645301
2023,Imo,poultry,9659554
2024,Imo,poultry,9750126
2020,Imo,pigs,232191
2021,Imo,pigs,241767
2022,Imo,pigs,244009
2023,Imo,pigs,247221
2024,Imo,pigs,254332
2020,Jigawa,cattle,292084
2021,Jigawa,cattle,285946
2022,Jigawa,cattle,279167
2023,Jigawa,cattle,290251
2024,Jigawa,cattle,291781
2020,Jigawa,goats,1447122
2021,Jigawa,goats,1473053
2022,Jigawa,goats,1528401
2023,Jigawa,goats,1596752
2024,Jigawa,goats,1659377
2020,Jigawa,sheep,981069
2021,Jigawa,sheep,972867
2022,Jigawa,sheep,956343
2023,Jigawa,sheep,949924
2024,Jigawa,sheep,939824
2020,Jigawa,poultry,4283084
2021,Jigawa,poultry,4224686
2022,Jigawa,poultry,4462199
2023,Jigawa,poultry,4332682
2024,Jigawa,poultry,4564687
2020,Jigawa,pigs,124328
2021,Jigawa,pigs,132867
2022,Jigawa,pigs,134349
2023,Jigawa,pigs,143361
2024,Jigawa,pigs,139166
2020,Kaduna,cattle,271765
2021,Kaduna,cattle,263760
2022,Kaduna,cattle,259699
2023,Kaduna,cattle,260943
2024,Kaduna,cattle,267827
2020,Kaduna,goats,1367263
2021,Kaduna,goats,1443911
2022,Kaduna,goats,1427088
2023,Kaduna,goats,1489569
2024,Kaduna,goats,1482078
2020,Kaduna,sheep,950208
2021,Kaduna,sheep,1010725
2022,Kaduna,sheep,1079456
2023,Kaduna,sheep,1057804
2024,Kaduna,sheep,1052316
2020,Kaduna,poultry,4257047
2021,Kaduna,poultry,4289417
2022,Kaduna,poultry,4451333
2023,Kaduna,poultry,4605751
2024,Kaduna,poultry,4468896
2020,Kaduna,pigs,122649
2021,Kaduna,pigs,124010
2022,Kaduna,pigs,126520
2023,Kaduna,pigs,134527
2024,Kaduna,pigs,135330
2020,Kano,cattle,366825
2021,Kano,cattle,369753
2022,Kano,cattle,382918
2023,Kano,cattle,377026
2024,Kano,cattle,368751
2020,Kano,goats,1881198
2021,Kano,goats,1861325
2022,Kano,goats,1833298
2023,Kano,goats,1929368
2024,Kano,goats,2034108
2020,Kano,sheep,1283681
2021,Kano,sheep,1283650
2022,Kano,sheep,1249630
2023,Kano,sheep,1297604
2024,Kano,sheep,1266070
2020,Kano,poultry,5911428
2021,Kano,poultry,6014755
2022,Kano,poultry,6349845
2023,Kano,poultry,6746281
2024,Kano,poultry,6991047
2020,Kano,pigs,161710
2021,Kano,pigs,168723
2022,Kano,pigs,172601
2023,Kano,pigs,176189
2024,Kano,pigs,183641
2020,Katsina,cattle,526911
2021,Katsina,cattle,563643
2022,Katsina,cattle,568747
2023,Katsina,cattle,559284
2024,Katsina,cattle,582353
2020,Katsina,goats,2742278
2021,Katsina,goats,2837389
2022,Katsina,goats,3016627
2023,Katsina,goats,3197118
2024,Katsina,goats,3400078
2020,Katsina,sheep,1842991
2021,Katsina,sheep,1824291
2022,Katsina,sheep,1904513
2023,Katsina,sheep,1951123
2024,Katsina,sheep,1988274
2020,Katsina,poultry,8078618
2021,Katsina,poultry,7907812
2022,Katsina,poultry,8205595
2023,Katsina,poultry,8288491
2024,Katsina,poultry,8115104
2020,Katsina,pigs,236932
2021,Katsina,pigs,238186
2022,Katsina,pigs,240723
2023,Katsina,pigs,235817
2024,Katsina,pigs,233780
2020,Kebbi,cattle,288537
2021,Kebbi,cattle,279962
2022,Kebbi,cattle,294226
2023,Kebbi,cattle,303793
2024,Kebbi,cattle,298335
2020,Kebbi,goats,1568323
2021,Kebbi,goats,1573887
2022,Kebbi,goats,1607429
2023,Kebbi,goats,1629268
2024,Kebbi,goats,1645139
2020,Kebbi,sheep,1008116
2021,Kebbi,sheep,1018028
2022,Kebbi,sheep,1014586
2023,Kebbi,sheep,1064329
2024,Kebbi,sheep,1043592
2020,Kebbi,poultry,4475239
2021,Kebbi,poultry,4547909
2022,Kebbi,poultry,4483928
2023,Kebbi,poultry,4515021
2024,Kebbi,poultry,4475258
2020,Kebbi,pigs,130544
2021,Kebbi,pigs,136669
2022,Kebbi,pigs,132804
2023,Kebbi,pigs,130467
2024,Kebbi,pigs,126904
2020,Kogi,cattle,563442
2021,Kogi,cattle,583654
2022,Kogi,cattle,612366
2023,Kogi,cattle,638298
2024,Kogi,cattle,632298
2020,Kogi,goats,2750759
2021,Kogi,goats,2894834
2022,Kogi,goats,2839719
2023,Kogi,goats,3008589
2024,Kogi,goats,2970322
2020,Kogi,sheep,1955404
2021,Kogi,sheep,2090279
2022,Kogi,sheep,2030315
2023,Kogi,sheep,2145578
2024,Kogi,sheep,2081264
2020,Kogi,poultry,8933918
2021,Kogi,poultry,9147181
2022,Kogi,poultry,8959777
2023,Kogi,poultry,9266668
2024,Kogi,poultry,9030549
2020,Kogi,pigs,228755
2021,Kogi,pigs,225577
2022,Kogi,pigs,240148
2023,Kogi,pigs,251386
2024,Kogi,pigs,248124
2020,Kwara,cattle,326015
2021,Kwara,cattle,344972
2022,Kwara,cattle,368680
2023,Kwara,cattle,390339
2024,Kwara,cattle,389813
2020,Kwara,goats,1679140
2021,Kwara,goats,1743346
2022,Kwara,goats,1719141
2023,Kwara,goats,1674927
2024,Kwara,goats,1663130
2020,Kwara,sheep,1093749
2021,Kwara,sheep,1125216
2022,Kwara,sheep,1176360
2023,Kwara,sheep,1192288
2024,Kwara,sheep,1245832
2020,Kwara,poultry,5026255
2021,Kwara,poultry,5341304
2022,Kwara,poultry,5687378
2023,Kwara,poultry,6011092
2024,Kwara,poultry,6004895
2020,Kwara,pigs,134800
2021,Kwara,pigs,143548
2022,Kwara,pigs,141228
2023,Kwara,pigs,142880
2024,Kwara,pigs,142725
2020,Lagos,cattle,536041
2021,Lagos,cattle,542236
2022,Lagos,cattle,579893
2023,Lagos,cattle,597920
2024,Lagos,cattle,599927
2020,Lagos,goats,2864651
2021,Lagos,goats,2964025
2022,Lagos,goats,3006142
2023,Lagos,goats,3206461
2024,Lagos,goats,3155348
2020,Lagos,sheep,1984370
2021,Lagos,sheep,2000776
2022,Lagos,sheep,2028202
2023,Lagos,sheep,2012045
2024,Lagos,sheep,2116357
2020,Lagos,poultry,8640245
2021,Lagos,poultry,9016259
2022,Lagos,poultry,9242784
2023,Lagos,poultry,9364678
2024,Lagos,poultry,9094205
2020,Lagos,pigs,236389
2021,Lagos,pigs,243685
2022,Lagos,pigs,252404
2023,Lagos,pigs,250682
2024,Lagos,pigs,264806
2020,Nasarawa,cattle,308152
2021,Nasarawa,cattle,325861
2022,Nasarawa,cattle,346636
2023,Nasarawa,cattle,360955
2024,Nasarawa,cattle,381570
2020,Nasarawa,goats,1657292
2021,Nasarawa,goats,1678717
2022,Nasarawa,goats,1643555
2023,Nasarawa,goats,1632658
2024,Nasarawa,goats,1624403
2020,Nasarawa,sheep,1054438
2021,Nasarawa,sheep,1059863
2022,Nasarawa,sheep,1073664
2023,Nasarawa,sheep,1074690
2024,Nasarawa,sheep,1047273
2020,Nasarawa,poultry,5141782
2021,Nasarawa,poultry,5146789
2022,Nasarawa,poultry,5255317
2023,Nasarawa,poultry,5469248
2024,Nasarawa,poultry,5329750
2020,Nasarawa,pigs,135903
2021,Nasarawa,pigs,143589
2022,Nasarawa,pigs,148674
2023,Nasarawa,pigs,148484
2024,Nasarawa,pigs,154735
2020,Niger,cattle,438362
2021,Niger,cattle,444597
2022,Niger,cattle,473951
2023,Niger,cattle,467404
2024,Niger,cattle,464551
2020,Niger,goats,2204855
2021,Niger,goats,2167280
2022,Niger,goats,2311171
2023,Niger,goats,2314116
2024,Niger,goats,2438416
2020,Niger,sheep,1505597
2021,Niger,sheep,1581549
2022,Niger,sheep,1558785
2023,Niger,sheep,1634671
2024,Niger,sheep,1683890
2020,Niger,poultry,6612365
2021,Niger,poultry,6921989
2022,Niger,poultry,7316768
2023,Niger,poultry,7115057
2024,Niger,poultry,7503246
2020,Niger,pigs,187969
2021,Niger,pigs,192613
2022,Niger,pigs,188706
2023,Niger,pigs,201572
2024,Niger,pigs,208263
2020,Ogun,cattle,472020
2021,Ogun,cattle,459279
2022,Ogun,cattle,481020
2023,Ogun,cattle,481185
2024,Ogun,cattle,489489
2020,Ogun,goats,2375137
2021,Ogun,goats,2334550
2022,Ogun,goats,2317137
2023,Ogun,goats,2394905
2024,Ogun,goats,2385142
2020,Ogun,sheep,1591726
2021,Ogun,sheep,1628170
2022,Ogun,sheep,1636076
2023,Ogun,sheep,1617121
2024,Ogun,sheep,1645643
2020,Ogun,poultry,7838622
2021,Ogun,poultry,7707821
2022,Ogun,poultry,8082440
2023,Ogun,poultry,8195595
2024,Ogun,poultry,8504140
2020,Ogun,pigs,213890
2021,Ogun,pigs,207957
2022,Ogun,pigs,208446
2023,Ogun,pigs,213841
2024,Ogun,pigs,209193
2020,Ondo,cattle,425509
2021,Ondo,cattle,440262
2022,Ondo,cattle,435379
2023,Ondo,cattle,455523
2024,Ondo,cattle,444825
2020,Ondo,goats,2116893
2021,Ondo,goats,2255976
2022,Ondo,goats,2348297
2023,Ondo,goats,2422564
2024,Ondo,goats,2434553
2020,Ondo,sheep,1483396
2021,Ondo,sheep,1448766
2022,Ondo,sheep,1415917
2023,Ondo,sheep,1406115
2024,Ondo,sheep,1414325
2020,Ondo,poultry,6225090
2021,Ondo,poultry,6562711
2022,Ondo,poultry,6564457
2023,Ondo,poultry,6372323
2024,Ondo,poultry,6664577
2020,Ondo,pigs,179450
2021,Ondo,pigs,191037
2022,Ondo,pigs,203784
2023,Ondo,pigs,206428
2024,Ondo,pigs,218809
2020,Osun,cattle,276133
2021,Osun,cattle,280708
2022,Osun,cattle,291009
2023,Osun,cattle,287254
2024,Osun,cattle,305581
2020,Osun,goats,1314674
2021,Osun,goats,1366483
2022,Osun,goats,1355665
2023,Osun,goats,1387055
2024,Osun,goats,1466903
2020,Osun,sheep,885794
2021,Osun,sheep,931991
2022,Osun,sheep,907040
2023,Osun,sheep,904077
2024,Osun,sheep,945407
2020,Osun,poultry,4034441
2021,Osun,poultry,4203762
2022,Osun,poultry,4249863
2023,Osun,poultry,4398808
2024,Osun,poultry,4360819
2020,Osun,pigs,115007
2021,Osun,pigs,112806
2022,Osun,pigs,114788
2023,Osun,pigs,112038
2024,Osun,pigs,117933
2020,Oyo,cattle,228670
2021,Oyo,cattle,242641
2022,Oyo,cattle,245435
2023,Oyo,cattle,252949
2024,Oyo,cattle,248315
2020,Oyo,goats,1195085
2021,Oyo,goats,1182492
2022,Oyo,goats,1252155
2023,Oyo,goats,1251888
2024,Oyo,goats,1336753
2020,Oyo,sheep,758581
2021,Oyo,sheep,792068
2022,Oyo,sheep,831160
2023,Oyo,sheep,870224
2024,Oyo,sheep,922196
2020,Oyo,poultry,3471171
2021,Oyo,poultry,3605526
2022,Oyo,poultry,3768807
2023,Oyo,poultry,3690201
2024,Oyo,poultry,3709424
2020,Oyo,pigs,95952
2021,Oyo,pigs,102502
2022,Oyo,pigs,107836
2023,Oyo,pigs,115154
2024,Oyo,pigs,115682
2020,Plateau,cattle,280059
2021,Plateau,cattle,297161
2022,Plateau,cattle,288454
2023,Plateau,cattle,288864
2024,Plateau,cattle,302428
2020,Plateau,goats,1449437
2021,Plateau,goats,1484083
2022,Plateau,goats,1549120
2023,Plateau,goats,1532066
2024,Plateau,goats,1524224
2020,Plateau,sheep,956375
2021,Plateau,sheep,1000426
2022,Plateau,sheep,1056704
2023,Plateau,sheep,1127307
2024,Plateau,sheep,1194214
2020,Plateau,poultry,4456449
2021,Plateau,poultry,4428109
2022,Plateau,poultry,4546120
2023,Plateau,poultry,4655829
2024,Plateau,poultry,4773029
2020,Plateau,pigs,126027
2021,Plateau,pigs,132646
2022,Plateau,pigs,138378
2023,Plateau,pigs,141511
2024,Plateau,pigs,147799
2020,Rivers,cattle,283135
2021,Rivers,cattle,299855
2022,Rivers,cattle,313220
2023,Rivers,cattle,305632
2024,Rivers,cattle,322499
2020,Rivers,goats,1384245
2021,Rivers,goats,1480168
2022,Rivers,goats,1442266
2023,Rivers,goats,1442689
2024,Rivers,goats,1532024
2020,Rivers,sheep,899368
2021,Rivers,sheep,944341
2022,Rivers,sheep,1010137
2023,Rivers,sheep,1029183
2024,Rivers,sheep,1087637
2020,Rivers,poultry,4134253
2021,Rivers,poultry,4015820
2022,Rivers,poultry,4293336
2023,Rivers,poultry,4219757
2024,Rivers,poultry,4177928
2020,Rivers,pigs,116499
2021,Rivers,pigs,122143
2022,Rivers,pigs,125489
2023,Rivers,pigs,124930
2024,Rivers,pigs,132520
2020,Sokoto,cattle,228319
2021,Sokoto,cattle,237819
2022,Sokoto,cattle,252128
2023,Sokoto,cattle,256569
2024,Sokoto,cattle,253619
2020,Sokoto,goats,1165938
2021,Sokoto,goats,1211347
2022,Sokoto,goats,1233532
2023,Sokoto,goats,1199350
2024,Sokoto,goats,1249689
2020,Sokoto,sheep,779832
2021,Sokoto,sheep,805215
2022,Sokoto,sheep,823322
2023,Sokoto,sheep,821942
2024,Sokoto,sheep,877344
2020,Sokoto,poultry,3568487
2021,Sokoto,poultry,3597408
2022,Sokoto,poultry,3825886
2023,Sokoto,poultry,4064325
2024,Sokoto,poultry,4024266
2020,Sokoto,pigs,95091
2021,Sokoto,pigs,98040
2022,Sokoto,pigs,96533
2023,Sokoto,pigs,102890
2024,Sokoto,pigs,100592
2020,Taraba,cattle,228614
2021,Taraba,cattle,223832
2022,Taraba,cattle,237876
2023,Taraba,cattle,243154
2024,Taraba,cattle,242227
2020,Taraba,goats,1256533
2021,Taraba,goats,1233345
2022,Taraba,goats,1304159
2023,Taraba,goats,1322463
2024,Taraba,goats,1366172
2020,Taraba,sheep,772037
2021,Taraba,sheep,790827
2022,Taraba,sheep,770555
2023,Taraba,sheep,775501
2024,Taraba,sheep,796757
2020,Taraba,poultry,3765607
2021,Taraba,poultry,4021530
2022,Taraba,poultry,4240000
2023,Taraba,poultry,4335266
2024,Taraba,poultry,4633067
2020,Taraba,pigs,103794
2021,Taraba,pigs,102443
2022,Taraba,pigs,101712
2023,Taraba,pigs,104931
2024,Taraba,pigs,104577
2020,Yobe,cattle,332333
2021,Yobe,cattle,346123
2022,Yobe,cattle,338839
2023,Yobe,cattle,336445
2024,Yobe,cattle,357513
2020,Yobe,goats,1810428
2021,Yobe,goats,1874153
2022,Yobe,goats,1900972
2023,Yobe,goats,1866416
2024,Yobe,goats,1899787
2020,Yobe,sheep,1167301
2021,Yobe,sheep,1239968
2022,Yobe,sheep,1324089
2023,Yobe,sheep,1407681
2024,Yobe,sheep,1410297
2020,Yobe,poultry,5411107
2021,Yobe,poultry,5297754
