material,heating_rate_C_per_min,T_peak_C,hold_time_h,T_C,rho,sigma_s_MPa,mu_bulk_Pa_s,mu_shear_Pa_s
NiO-YSZ,10.0,1400.0,0.5,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,10.0,1400.0,1.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,10.0,1400.0,2.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,10.0,1400.0,3.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,10.0,1400.0,4.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,20.0,1100.0,0.0,1100.0,0.591091,0.000797,2e-06,1e-06
NiO-YSZ,20.0,1100.0,0.5,1100.0,0.591091,0.000797,2e-06,1e-06
NiO-YSZ,20.0,1100.0,1.0,1100.0,0.591091,0.000797,2e-06,1e-06
NiO-YSZ,20.0,1100.0,2.0,1100.0,0.591091,0.000797,2e-06,1e-06
NiO-YSZ,20.0,1100.0,3.0,1100.0,0.591091,0.000797,2e-06,1e-06
NiO-YSZ,20.0,1100.0,4.0,1100.0,0.591091,0.000797,2e-06,1e-06
NiO-YSZ,20.0,1200.0,0.0,1200.0,0.641667,0.001502,2e-05,7e-06
NiO-YSZ,20.0,1200.0,0.5,1200.0,0.641667,0.001502,2e-05,7e-06
NiO-YSZ,20.0,1200.0,1.0,1200.0,0.641667,0.001502,2e-05,7e-06
NiO-YSZ,20.0,1200.0,2.0,1200.0,0.641667,0.001502,2e-05,7e-06
NiO-YSZ,20.0,1200.0,3.0,1200.0,0.641667,0.001502,2e-05,7e-06
NiO-YSZ,20.0,1200.0,4.0,1200.0,0.641667,0.001502,2e-05,7e-06
NiO-YSZ,20.0,1300.0,0.0,1300.0,0.702308,0.002505,0.000203,6.8e-05
NiO-YSZ,20.0,1300.0,0.5,1300.0,0.702308,0.002505,0.000203,6.8e-05
NiO-YSZ,20.0,1300.0,1.0,1300.0,0.702308,0.002505,0.000203,6.8e-05
NiO-YSZ,20.0,1300.0,2.0,1300.0,0.702308,0.002505,0.000203,6.8e-05
NiO-YSZ,20.0,1300.0,3.0,1300.0,0.702308,0.002505,0.000203,6.8e-05
NiO-YSZ,20.0,1300.0,4.0,1300.0,0.702308,0.002505,0.000203,6.8e-05
NiO-YSZ,20.0,1400.0,0.0,1400.0,0.773,0.003684,0.001789,0.000596
NiO-YSZ,20.0,1400.0,0.5,1400.0,0.773,0.003684,0.001789,0.000596
NiO-YSZ,20.0,1400.0,1.0,1400.0,0.773,0.003684,0.001789,0.000596
NiO-YSZ,20.0,1400.0,2.0,1400.0,0.773,0.003684,0.001789,0.000596
NiO-YSZ,20.0,1400.0,3.0,1400.0,0.773,0.003684,0.001789,0.000596
NiO-YSZ,20.0,1400.0,4.0,1400.0,0.773,0.003684,0.001789,0.000596
YSZ,2.0,1100.0,0.0,1100.0,0.95,0.000488,0.000104,3.5e-05
YSZ,2.0,1100.0,0.5,1100.0,0.95,0.000488,0.000104,3.5e-05
YSZ,2.0,1100.0,1.0,1100.0,0.95,0.000488,0.000104,3.5e-05
YSZ,2.0,1100.0,2.0,1100.0,0.95,0.000488,0.000104,3.5e-05
YSZ,2.0,1100.0,3.0,1100.0,0.95,0.000488,0.000104,3.5e-05
YSZ,2.0,1100.0,4.0,1100.0,0.95,0.000488,0.000104,3.5e-05
YSZ,2.0,1200.0,0.0,1200.0,0.95,0.000938,0.000883,0.000294
YSZ,2.0,1200.0,0.5,1200.0,0.95,0.000938,0.000883,0.000294
YSZ,2.0,1200.0,1.0,1200.0,0.95,0.000938,0.000883,0.000294
YSZ,2.0,1200.0,2.0,1200.0,0.95,0.000938,0.000883,0.000294
YSZ,2.0,1200.0,3.0,1200.0,0.95,0.000938,0.000883,0.000294
YSZ,2.0,1200.0,4.0,1200.0,0.95,0.000938,0.000883,0.000294
YSZ,2.0,1300.0,0.0,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,2.0,1300.0,0.5,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,2.0,1300.0,1.0,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,2.0,1300.0,2.0,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,2.0,1300.0,3.0,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,2.0,1300.0,4.0,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,2.0,1400.0,0.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,2.0,1400.0,0.5,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,2.0,1400.0,1.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,2.0,1400.0,2.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,2.0,1400.0,3.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,2.0,1400.0,4.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,5.0,1100.0,0.0,1100.0,0.728545,0.001346,1e-05,3e-06
YSZ,5.0,1100.0,0.5,1100.0,0.728545,0.001346,1e-05,3e-06
YSZ,5.0,1100.0,1.0,1100.0,0.728545,0.001346,1e-05,3e-06
YSZ,5.0,1100.0,2.0,1100.0,0.728545,0.001346,1e-05,3e-06
YSZ,5.0,1100.0,3.0,1100.0,0.728545,0.001346,1e-05,3e-06
YSZ,5.0,1100.0,4.0,1100.0,0.728545,0.001346,1e-05,3e-06
YSZ,5.0,1200.0,0.0,1200.0,0.885667,0.001541,0.000301,0.0001
YSZ,5.0,1200.0,0.5,1200.0,0.885667,0.001541,0.000301,0.0001
YSZ,5.0,1200.0,1.0,1200.0,0.885667,0.001541,0.000301,0.0001
YSZ,5.0,1200.0,2.0,1200.0,0.885667,0.001541,0.000301,0.0001
YSZ,5.0,1200.0,3.0,1200.0,0.885667,0.001541,0.000301,0.0001
YSZ,5.0,1200.0,4.0,1200.0,0.885667,0.001541,0.000301,0.0001
YSZ,5.0,1300.0,0.0,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,5.0,1300.0,0.5,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,5.0,1300.0,1.0,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,5.0,1300.0,2.0,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,5.0,1300.0,3.0,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,5.0,1300.0,4.0,1300.0,0.95,0.001661,0.005721,0.001907
YSZ,5.0,1400.0,0.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,5.0,1400.0,0.5,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,5.0,1400.0,1.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,5.0,1400.0,2.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,5.0,1400.0,3.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,5.0,1400.0,4.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,10.0,1100.0,0.0,1100.0,0.636909,0.001603,6e-06,2e-06
YSZ,10.0,1100.0,0.5,1100.0,0.636909,0.001603,6e-06,2e-06
YSZ,10.0,1100.0,1.0,1100.0,0.636909,0.001603,6e-06,2e-06
YSZ,10.0,1100.0,2.0,1100.0,0.636909,0.001603,6e-06,2e-06
YSZ,10.0,1100.0,3.0,1100.0,0.636909,0.001603,6e-06,2e-06
YSZ,10.0,1100.0,4.0,1100.0,0.636909,0.001603,6e-06,2e-06
YSZ,10.0,1200.0,0.0,1200.0,0.723,0.002621,8.2e-05,2.7e-05
YSZ,10.0,1200.0,0.5,1200.0,0.723,0.002621,8.2e-05,2.7e-05
YSZ,10.0,1200.0,1.0,1200.0,0.723,0.002621,8.2e-05,2.7e-05
YSZ,10.0,1200.0,2.0,1200.0,0.723,0.002621,8.2e-05,2.7e-05
YSZ,10.0,1200.0,3.0,1200.0,0.723,0.002621,8.2e-05,2.7e-05
YSZ,10.0,1200.0,4.0,1200.0,0.723,0.002621,8.2e-05,2.7e-05
YSZ,10.0,1300.0,0.0,1300.0,0.829231,0.00347,0.001113,0.000371
YSZ,10.0,1300.0,0.5,1300.0,0.829231,0.00347,0.001113,0.000371
YSZ,10.0,1300.0,1.0,1300.0,0.829231,0.00347,0.001113,0.000371
YSZ,10.0,1300.0,2.0,1300.0,0.829231,0.00347,0.001113,0.000371
YSZ,10.0,1300.0,3.0,1300.0,0.829231,0.00347,0.001113,0.000371
YSZ,10.0,1300.0,4.0,1300.0,0.829231,0.00347,0.001113,0.000371
YSZ,10.0,1400.0,0.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,10.0,1400.0,0.5,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,10.0,1400.0,1.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,10.0,1400.0,2.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,10.0,1400.0,3.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,10.0,1400.0,4.0,1400.0,0.95,0.002745,0.029638,0.009879
YSZ,20.0,1100.0,0.0,1100.0,0.591091,0.001721,5e-06,2e-06
YSZ,20.0,1100.0,0.5,1100.0,0.591091,0.001721,5e-06,2e-06
YSZ,20.0,1100.0,1.0,1100.0,0.591091,0.001721,5e-06,2e-06
YSZ,20.0,1100.0,2.0,1100.0,0.591091,0.001721,5e-06,2e-06
YSZ,20.0,1100.0,3.0,1100.0,0.591091,0.001721,5e-06,2e-06
YSZ,20.0,1100.0,4.0,1100.0,0.591091,0.001721,5e-06,2e-06
YSZ,20.0,1200.0,0.0,1200.0,0.641667,0.003058,5.2e-05,1.7e-05
YSZ,20.0,1200.0,0.5,1200.0,0.641667,0.003058,5.2e-05,1.7e-05
YSZ,20.0,1200.0,1.0,1200.0,0.641667,0.003058,5.2e-05,1.7e-05
YSZ,20.0,1200.0,2.0,1200.0,0.641667,0.003058,5.2e-05,1.7e-05
YSZ,20.0,1200.0,3.0,1200.0,0.641667,0.003058,5.2e-05,1.7e-05
YSZ,20.0,1200.0,4.0,1200.0,0.641667,0.003058,5.2e-05,1.7e-05
YSZ,20.0,1300.0,0.0,1300.0,0.702308,0.004843,0.000468,0.000156
YSZ,20.0,1300.0,0.5,1300.0,0.702308,0.004843,0.000468,0.000156
YSZ,20.0,1300.0,1.0,1300.0,0.702308,0.004843,0.000468,0.000156
YSZ,20.0,1300.0,2.0,1300.0,0.702308,0.004843,0.000468,0.000156
YSZ,20.0,1300.0,3.0,1300.0,0.702308,0.004843,0.000468,0.000156
YSZ,20.0,1300.0,4.0,1300.0,0.702308,0.004843,0.000468,0.000156
YSZ,20.0,1400.0,0.0,1400.0,0.773,0.006804,0.003766,0.001255
YSZ,20.0,1400.0,0.5,1400.0,0.773,0.006804,0.003766,0.001255
YSZ,20.0,1400.0,1.0,1400.0,0.773,0.006804,0.003766,0.001255
YSZ,20.0,1400.0,2.0,1400.0,0.773,0.006804,0.003766,0.001255
YSZ,20.0,1400.0,3.0,1400.0,0.773,0.006804,0.003766,0.001255
YSZ,20.0,1400.0,4.0,1400.0,0.773,0.006804,0.003766,0.001255
Functional-Layer,2.0,1100.0,0.0,1100.0,0.95,0.000103,1.3e-05,4e-06
Functional-Layer,2.0,1100.0,0.5,1100.0,0.95,0.000103,1.3e-05,4e-06
Functional-Layer,2.0,1100.0,1.0,1100.0,0.95,0.000103,1.3e-05,4e-06
Functional-Layer,2.0,1100.0,2.0,1100.0,0.95,0.000103,1.3e-05,4e-06
Functional-Layer,2.0,1100.0,3.0,1100.0,0.95,0.000103,1.3e-05,4e-06
Functional-Layer,2.0,1100.0,4.0,1100.0,0.95,0.000103,1.3e-05,4e-06
Functional-Layer,2.0,1200.0,0.0,1200.0,0.95,0.000224,0.000135,4.5e-05
Functional-Layer,2.0,1200.0,0.5,1200.0,0.95,0.000224,0.000135,4.5e-05
Functional-Layer,2.0,1200.0,1.0,1200.0,0.95,0.000224,0.000135,4.5e-05
Functional-Layer,2.0,1200.0,2.0,1200.0,0.95,0.000224,0.000135,4.5e-05
Functional-Layer,2.0,1200.0,3.0,1200.0,0.95,0.000224,0.000135,4.5e-05
Functional-Layer,2.0,1200.0,4.0,1200.0,0.95,0.000224,0.000135,4.5e-05
Functional-Layer,2.0,1300.0,0.0,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,2.0,1300.0,0.5,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,2.0,1300.0,1.0,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,2.0,1300.0,2.0,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,2.0,1300.0,3.0,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,2.0,1300.0,4.0,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,2.0,1400.0,0.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,2.0,1400.0,0.5,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,2.0,1400.0,1.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,2.0,1400.0,2.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,2.0,1400.0,3.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,2.0,1400.0,4.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,5.0,1100.0,0.0,1100.0,0.728545,0.000285,1e-06,0.0
Functional-Layer,5.0,1100.0,0.5,1100.0,0.728545,0.000285,1e-06,0.0
Functional-Layer,5.0,1100.0,1.0,1100.0,0.728545,0.000285,1e-06,0.0
Functional-Layer,5.0,1100.0,2.0,1100.0,0.728545,0.000285,1e-06,0.0
Functional-Layer,5.0,1100.0,3.0,1100.0,0.728545,0.000285,1e-06,0.0
Functional-Layer,5.0,1100.0,4.0,1100.0,0.728545,0.000285,1e-06,0.0
Functional-Layer,5.0,1200.0,0.0,1200.0,0.885667,0.000368,4.6e-05,1.5e-05
Functional-Layer,5.0,1200.0,0.5,1200.0,0.885667,0.000368,4.6e-05,1.5e-05
Functional-Layer,5.0,1200.0,1.0,1200.0,0.885667,0.000368,4.6e-05,1.5e-05
Functional-Layer,5.0,1200.0,2.0,1200.0,0.885667,0.000368,4.6e-05,1.5e-05
Functional-Layer,5.0,1200.0,3.0,1200.0,0.885667,0.000368,4.6e-05,1.5e-05
Functional-Layer,5.0,1200.0,4.0,1200.0,0.885667,0.000368,4.6e-05,1.5e-05
Functional-Layer,5.0,1300.0,0.0,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,5.0,1300.0,0.5,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,5.0,1300.0,1.0,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,5.0,1300.0,2.0,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,5.0,1300.0,3.0,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,5.0,1300.0,4.0,1300.0,0.95,0.00044,0.001075,0.000358
Functional-Layer,5.0,1400.0,0.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,5.0,1400.0,0.5,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,5.0,1400.0,1.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,5.0,1400.0,2.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,5.0,1400.0,3.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,5.0,1400.0,4.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,10.0,1100.0,0.0,1100.0,0.636909,0.00034,1e-06,0.0
Functional-Layer,10.0,1100.0,0.5,1100.0,0.636909,0.00034,1e-06,0.0
Functional-Layer,10.0,1100.0,1.0,1100.0,0.636909,0.00034,1e-06,0.0
Functional-Layer,10.0,1100.0,2.0,1100.0,0.636909,0.00034,1e-06,0.0
Functional-Layer,10.0,1100.0,3.0,1100.0,0.636909,0.00034,1e-06,0.0
Functional-Layer,10.0,1100.0,4.0,1100.0,0.636909,0.00034,1e-06,0.0
Functional-Layer,10.0,1200.0,0.0,1200.0,0.723,0.000626,1.2e-05,4e-06
Functional-Layer,10.0,1200.0,0.5,1200.0,0.723,0.000626,1.2e-05,4e-06
Functional-Layer,10.0,1200.0,1.0,1200.0,0.723,0.000626,1.2e-05,4e-06
Functional-Layer,10.0,1200.0,2.0,1200.0,0.723,0.000626,1.2e-05,4e-06
Functional-Layer,10.0,1200.0,3.0,1200.0,0.723,0.000626,1.2e-05,4e-06
Functional-Layer,10.0,1200.0,4.0,1200.0,0.723,0.000626,1.2e-05,4e-06
Functional-Layer,10.0,1300.0,0.0,1300.0,0.829231,0.000919,0.000209,7e-05
Functional-Layer,10.0,1300.0,0.5,1300.0,0.829231,0.000919,0.000209,7e-05
Functional-Layer,10.0,1300.0,1.0,1300.0,0.829231,0.000919,0.000209,7e-05
Functional-Layer,10.0,1300.0,2.0,1300.0,0.829231,0.000919,0.000209,7e-05
Functional-Layer,10.0,1300.0,3.0,1300.0,0.829231,0.000919,0.000209,7e-05
Functional-Layer,10.0,1300.0,4.0,1300.0,0.829231,0.000919,0.000209,7e-05
Functional-Layer,10.0,1400.0,0.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,10.0,1400.0,0.5,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,10.0,1400.0,1.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,10.0,1400.0,2.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,10.0,1400.0,3.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,10.0,1400.0,4.0,1400.0,0.95,0.000797,0.006686,0.002229
Functional-Layer,20.0,1100.0,0.0,1100.0,0.591091,0.000365,1e-06,0.0
Functional-Layer,20.0,1100.0,0.5,1100.0,0.591091,0.000365,1e-06,0.0
Functional-Layer,20.0,1100.0,1.0,1100.0,0.591091,0.000365,1e-06,0.0
Functional-Layer,20.0,1100.0,2.0,1100.0,0.591091,0.000365,1e-06,0.0
Functional-Layer,20.0,1100.0,3.0,1100.0,0.591091,0.000365,1e-06,0.0
Functional-Layer,20.0,1100.0,4.0,1100.0,0.591091,0.000365,1e-06,0.0
Functional-Layer,20.0,1200.0,0.0,1200.0,0.641667,0.00073,8e-06,3e-06
Functional-Layer,20.0,1200.0,0.5,1200.0,0.641667,0.00073,8e-06,3e-06
Functional-Layer,20.0,1200.0,1.0,1200.0,0.641667,0.00073,8e-06,3e-06
Functional-Layer,20.0,1200.0,2.0,1200.0,0.641667,0.00073,8e-06,3e-06
Functional-Layer,20.0,1200.0,3.0,1200.0,0.641667,0.00073,8e-06,3e-06
Functional-Layer,20.0,1200.0,4.0,1200.0,0.641667,0.00073,8e-06,3e-06
Functional-Layer,20.0,1300.0,0.0,1300.0,0.702308,0.001283,8.8e-05,2.9e-05
Functional-Layer,20.0,1300.0,0.5,1300.0,0.702308,0.001283,8.8e-05,2.9e-05
Functional-Layer,20.0,1300.0,1.0,1300.0,0.702308,0.001283,8.8e-05,2.9e-05
Functional-Layer,20.0,1300.0,2.0,1300.0,0.702308,0.001283,8.8e-05,2.9e-05
Functional-Layer,20.0,1300.0,3.0,1300.0,0.702308,0.001283,8.8e-05,2.9e-05
Functional-Layer,20.0,1300.0,4.0,1300.0,0.702308,0.001283,8.8e-05,2.9e-05
Functional-Layer,20.0,1400.0,0.0,1400.0,0.773,0.001975,0.00085,0.000283
Functional-Layer,20.0,1400.0,0.5,1400.0,0.773,0.001975,0.00085,0.000283
Functional-Layer,20.0,1400.0,1.0,1400.0,0.773,0.001975,0.00085,0.000283
Functional-Layer,20.0,1400.0,2.0,1400.0,0.773,0.001975,0.00085,0.000283
Functional-Layer,20.0,1400.0,3.0,1400.0,0.773,0.001975,0.00085,0.000283
Functional-Layer,20.0,1400.0,4.0,1400.0,0.773,0.001975,0.00085,0.000283
