Manufacturer,Operating_Hours,Operating_Years,Cell_Voltage_Retention_pct,Power_Output_Retention_pct,Efficiency_Retention_pct,Degradation_Rate_Current_pct_per_1000h,Estimated_Remaining_Life_hours,Recommended_Maintenance_Action,End_of_Life_Criteria_Met
Convion,70000,7.99,90.46,90.54,94.56,0.13,10000,Consider stack replacement,No
Convion,80000,9.13,89.38,90.72,94.41,0.13,0,Consider stack replacement,No
SOLIDpower,0,0.0,99.67,100.5,99.66,0.2,80000,None,No
SOLIDpower,1000,0.11,99.12,100.17,99.9,0.2,79000,None,No
SOLIDpower,5000,0.57,99.53,98.03,99.08,0.2,75000,None,No
SOLIDpower,10000,1.14,98.22,98.6,99.36,0.13,70000,Inspection,No
SOLIDpower,20000,2.28,97.0,97.3,98.34,0.13,60000,Inspection,No
SOLIDpower,30000,3.42,96.41,95.5,97.91,0.13,50000,Inspection,No
SOLIDpower,40000,4.57,93.82,95.15,96.84,0.13,40000,Performance monitoring,No
SOLIDpower,50000,5.71,93.38,93.77,97.03,0.13,30000,Performance monitoring,No
SOLIDpower,60000,6.85,91.57,92.75,95.62,0.13,20000,Consider stack replacement,No
SOLIDpower,70000,7.99,90.27,91.42,94.75,0.13,10000,Consider stack replacement,No
SOLIDpower,80000,9.13,88.4,90.5,94.51,0.13,0,Consider stack replacement,No
