Manufacturer,System_Size_kW,Load_Percentage,Actual_Power_Output_kW,Electrical_Efficiency_LHV,Thermal_Efficiency,CHP_Total_Efficiency,Operating_Temperature_C,Cell_Voltage_V,Power_Density_Volumetric_kW_per_m3,Power_Density_Area_kW_per_m2,Stack_Degradation_pct_per_1000h,Expected_Stack_Lifetime_hours,System_Lifetime_years,Fuel_Utilization_Factor,Air_Utilization_Factor
Bloom Energy,500,25,125.0,0.5534,0.2125,0.7659,777.8,0.72,400,0.8,0.142,78871,24.6,0.775,0.25
Bloom Energy,500,50,250.0,0.589,0.225,0.814,745.1,0.678,400,0.8,0.122,64382,20.0,0.755,0.228
Bloom Energy,500,75,375.0,0.5906,0.2375,0.8281,721.7,0.699,400,0.8,0.179,49682,21.7,0.826,0.224
Bloom Energy,500,100,500.0,0.603,0.25,0.853,809.2,0.687,400,0.8,0.158,65341,20.4,0.759,0.284
Bloom Energy,1000,25,250.0,0.5451,0.2125,0.7576,706.1,0.709,400,0.8,0.161,40663,20.1,0.773,0.265
Bloom Energy,1000,50,500.0,0.5793,0.225,0.8043,726.2,0.719,400,0.8,0.143,77469,16.4,0.784,0.211
Bloom Energy,1000,75,750.0,0.6006,0.2375,0.8381,822.6,0.706,400,0.8,0.152,49674,15.9,0.84,0.29
Bloom Energy,1000,100,1000.0,0.5877,0.25,0.8377,795.0,0.684,400,0.8,0.141,69038,24.0,0.839,0.278
Bloom Energy,1500,25,375.0,0.5482,0.2125,0.7607,724.2,0.74,400,0.8,0.156,40367,16.0,0.816,0.201
Bloom Energy,1500,50,750.0,0.5873,0.225,0.8123,724.1,0.705,400,0.8,0.162,66078,17.2,0.821,0.224
Bloom Energy,1500,75,1125.0,0.6041,0.2375,0.8416,797.4,0.735,400,0.8,0.159,62732,15.9,0.787,0.227
Bloom Energy,1500,100,1500.0,0.5918,0.25,0.8418,736.6,0.747,400,0.8,0.144,75681,21.3,0.829,0.25
Bloom Energy,2000,25,500.0,0.5524,0.2125,0.7649,729.3,0.722,400,0.8,0.137,40972,21.5,0.768,0.294
Bloom Energy,2000,50,1000.0,0.6122,0.225,0.8372,843.1,0.741,400,0.8,0.142,40618,24.3,0.793,0.297
Bloom Energy,2000,75,1500.0,0.584,0.2375,0.8215,827.7,0.682,400,0.8,0.13,62272,24.4,0.82,0.257
Bloom Energy,2000,100,2000.0,0.5849,0.25,0.8349,714.6,0.712,400,0.8,0.179,45603,20.2,0.838,0.274
Siemens Energy,100,25,25.0,0.5473,0.238,0.7853,753.9,0.679,380,0.75,0.199,72404,23.7,0.841,0.251
Siemens Energy,100,50,50.0,0.576,0.252,0.828,775.2,0.73,380,0.75,0.189,68078,23.0,0.839,0.234
Siemens Energy,100,75,75.0,0.565,0.266,0.831,786.7,0.654,380,0.75,0.178,61705,17.9,0.809,0.203
Siemens Energy,100,100,100.0,0.5776,0.28,0.8576,705.6,0.732,380,0.75,0.172,45082,20.2,0.827,0.222
Siemens Energy,200,25,50.0,0.5292,0.238,0.7672,707.8,0.703,380,0.75,0.182,65497,22.3,0.848,0.252
Siemens Energy,200,50,100.0,0.5677,0.252,0.8197,748.4,0.73,380,0.75,0.166,57558,15.8,0.753,0.296
Siemens Energy,200,75,150.0,0.5778,0.266,0.8438,761.3,0.667,380,0.75,0.159,50009,20.5,0.821,0.266
Siemens Energy,200,100,200.0,0.5887,0.28,0.8687,742.0,0.745,380,0.75,0.194,62174,21.1,0.792,0.225
Siemens Energy,250,25,62.5,0.5492,0.238,0.7872,702.2,0.662,380,0.75,0.153,41629,23.6,0.82,0.247
Siemens Energy,250,50,125.0,0.5584,0.252,0.8104,714.7,0.699,380,0.75,0.178,46928,19.3,0.79,0.262
Siemens Energy,250,75,187.5,0.5683,0.266,0.8343,756.2,0.713,380,0.75,0.18,74259,21.6,0.766,0.207
Siemens Energy,250,100,250.0,0.5813,0.28,0.8613,796.4,0.653,380,0.75,0.185,77609,20.8,0.789,0.264
Siemens Energy,300,25,75.0,0.5578,0.238,0.7958,841.2,0.689,380,0.75,0.208,76214,17.0,0.757,0.21
Siemens Energy,300,50,150.0,0.546,0.252,0.798,702.7,0.659,380,0.75,0.191,42847,18.2,0.834,0.202
Siemens Energy,300,75,225.0,0.5669,0.266,0.8329,717.7,0.72,380,0.75,0.188,75098,22.4,0.83,0.228
Siemens Energy,300,100,300.0,0.5885,0.28,0.8685,726.6,0.725,380,0.75,0.198,79620,19.1,0.787,0.278
Siemens Energy,500,25,125.0,0.542,0.238,0.78,828.8,0.693,380,0.75,0.195,70181,16.0,0.84,0.251
Siemens Energy,500,50,250.0,0.5635,0.252,0.8155,824.0,0.682,380,0.75,0.204,55568,15.1,0.841,0.209
Siemens Energy,500,75,375.0,0.576,0.266,0.842,842.6,0.707,380,0.75,0.188,57937,17.9,0.783,0.267
Siemens Energy,500,100,500.0,0.5787,0.28,0.8587,812.9,0.729,380,0.75,0.197,43648,19.9,0.756,0.255
Siemens Energy,1000,25,250.0,0.5463,0.238,0.7843,752.6,0.662,380,0.75,0.159,70460,21.2,0.76,0.208
Siemens Energy,1000,50,500.0,0.564,0.252,0.816,805.1,0.657,380,0.75,0.199,68249,15.8,0.758,0.299
Siemens Energy,1000,75,750.0,0.5583,0.266,0.8243,821.9,0.745,380,0.75,0.209,70135,18.8,0.758,0.278
Siemens Energy,1000,100,1000.0,0.5659,0.28,0.8459,783.8,0.692,380,0.75,0.204,44447,19.9,0.751,0.247
Siemens Energy,1500,25,375.0,0.5397,0.238,0.7777,811.9,0.708,380,0.75,0.208,54994,17.9,0.837,0.222
Siemens Energy,1500,50,750.0,0.5572,0.252,0.8092,844.5,0.651,380,0.75,0.208,41726,23.9,0.803,0.299
Siemens Energy,1500,75,1125.0,0.5737,0.266,0.8397,845.4,0.702,380,0.75,0.188,67829,19.5,0.813,0.258
Siemens Energy,1500,100,1500.0,0.5723,0.28,0.8523,835.2,0.655,380,0.75,0.167,78016,23.9,0.796,0.262
Siemens Energy,2000,25,500.0,0.5281,0.238,0.7661,769.6,0.685,380,0.75,0.185,43109,24.7,0.849,0.27
Siemens Energy,2000,50,1000.0,0.5595,0.252,0.8115,780.4,0.681,380,0.75,0.199,67389,16.6,0.841,0.282
Siemens Energy,2000,75,1500.0,0.5595,0.266,0.8255,839.9,0.737,380,0.75,0.153,41054,18.8,0.831,0.299
Siemens Energy,2000,100,2000.0,0.5983,0.28,0.8783,722.6,0.709,380,0.75,0.173,78796,23.4,0.834,0.247
FuelCell Energy,100,25,25.0,0.5113,0.255,0.7663,608.5,0.736,350,0.7,0.219,79988,25.0,0.806,0.277
FuelCell Energy,100,50,50.0,0.5498,0.27,0.8198,741.7,0.735,350,0.7,0.185,58021,16.3,0.845,0.261
FuelCell Energy,100,75,75.0,0.57,0.285,0.855,692.7,0.686,350,0.7,0.177,66862,20.2,0.827,0.252
FuelCell Energy,100,100,100.0,0.5588,0.3,0.8588,727.8,0.705,350,0.7,0.204,75066,19.0,0.763,0.203
FuelCell Energy,200,25,50.0,0.5337,0.255,0.7887,705.6,0.671,350,0.7,0.178,40581,18.5,0.809,0.239
FuelCell Energy,200,50,100.0,0.5694,0.27,0.8394,665.6,0.74,350,0.7,0.191,60559,22.8,0.79,0.262
FuelCell Energy,200,75,150.0,0.5458,0.285,0.8308,668.9,0.748,350,0.7,0.2,53150,21.3,0.774,0.208
FuelCell Energy,200,100,200.0,0.5694,0.3,0.8694,619.3,0.663,350,0.7,0.179,45553,21.4,0.768,0.235
FuelCell Energy,250,25,62.5,0.5266,0.255,0.7816,700.1,0.667,350,0.7,0.182,41634,16.7,0.778,0.218
FuelCell Energy,250,50,125.0,0.5653,0.27,0.8353,613.3,0.662,350,0.7,0.198,48253,18.6,0.8,0.269
FuelCell Energy,250,75,187.5,0.5559,0.285,0.8409,731.0,0.742,350,0.7,0.174,51075,23.1,0.825,0.218
FuelCell Energy,250,100,250.0,0.5721,0.3,0.8721,631.4,0.687,350,0.7,0.199,64730,18.7,0.796,0.275
FuelCell Energy,300,25,75.0,0.533,0.255,0.788,676.8,0.703,350,0.7,0.176,57896,20.3,0.774,0.227
FuelCell Energy,300,50,150.0,0.5589,0.27,0.8289,656.6,0.652,350,0.7,0.189,48457,18.3,0.762,0.289
FuelCell Energy,300,75,225.0,0.5797,0.285,0.8647,718.4,0.7,350,0.7,0.175,61484,20.9,0.825,0.243
FuelCell Energy,300,100,300.0,0.5788,0.3,0.8788,619.1,0.678,350,0.7,0.192,65836,20.7,0.786,0.299
FuelCell Energy,500,25,125.0,0.5133,0.255,0.7683,615.3,0.665,350,0.7,0.185,46427,16.9,0.779,0.217
FuelCell Energy,500,50,250.0,0.5614,0.27,0.8314,734.5,0.658,350,0.7,0.201,56415,24.8,0.761,0.24
FuelCell Energy,500,75,375.0,0.5571,0.285,0.8421,625.6,0.717,350,0.7,0.226,62270,20.7,0.778,0.277
FuelCell Energy,500,100,500.0,0.5776,0.3,0.8776,628.1,0.682,350,0.7,0.196,60304,17.4,0.761,0.261
FuelCell Energy,1000,25,250.0,0.5336,0.255,0.7886,623.2,0.698,350,0.7,0.202,42072,18.4,0.763,0.206
FuelCell Energy,1000,50,500.0,0.5391,0.27,0.8091,748.5,0.682,350,0.7,0.219,50185,21.8,0.826,0.26
FuelCell Energy,1000,75,750.0,0.5382,0.285,0.8232,652.3,0.743,350,0.7,0.22,78601,16.2,0.823,0.294
FuelCell Energy,1000,100,1000.0,0.562,0.3,0.862,627.2,0.657,350,0.7,0.214,62978,23.4,0.764,0.28
FuelCell Energy,1500,25,375.0,0.5224,0.255,0.7774,624.6,0.731,350,0.7,0.21,60922,18.6,0.838,0.239
FuelCell Energy,1500,50,750.0,0.5514,0.27,0.8214,722.5,0.694,350,0.7,0.193,58507,18.0,0.825,0.25
FuelCell Energy,1500,75,1125.0,0.5661,0.285,0.8511,657.6,0.704,350,0.7,0.224,64969,16.2,0.844,0.263
FuelCell Energy,1500,100,1500.0,0.5678,0.3,0.8678,650.2,0.664,350,0.7,0.218,64802,20.3,0.839,0.279
FuelCell Energy,2000,25,500.0,0.5227,0.255,0.7777,637.3,0.724,350,0.7,0.172,62795,22.6,0.838,0.234
FuelCell Energy,2000,50,1000.0,0.5473,0.27,0.8173,723.2,0.661,350,0.7,0.221,45099,19.0,0.83,0.215
FuelCell Energy,2000,75,1500.0,0.5704,0.285,0.8554,708.0,0.714,350,0.7,0.212,61708,17.5,0.785,0.218
FuelCell Energy,2000,100,2000.0,0.5608,0.3,0.8608,736.3,0.708,350,0.7,0.194,58480,24.5,0.765,0.259
Ceres Power,100,25,25.0,0.5332,0.272,0.8052,602.7,0.737,450,0.85,0.246,62605,22.0,0.842,0.271
Ceres Power,100,50,50.0,0.5375,0.288,0.8255,622.9,0.708,450,0.85,0.226,56965,22.4,0.843,0.293
Ceres Power,100,75,75.0,0.5332,0.304,0.8372,747.7,0.734,450,0.85,0.197,76833,23.7,0.802,0.259
Ceres Power,100,100,100.0,0.5487,0.32,0.8687,659.9,0.655,450,0.85,0.21,72114,15.0,0.783,0.24
Ceres Power,200,25,50.0,0.517,0.272,0.789,652.0,0.685,450,0.85,0.234,58088,17.2,0.795,0.214
Ceres Power,200,50,100.0,0.537,0.288,0.825,626.5,0.7,450,0.85,0.215,76593,18.6,0.808,0.263
Ceres Power,200,75,150.0,0.5404,0.304,0.8444,612.8,0.75,450,0.85,0.22,63815,15.7,0.825,0.221
Ceres Power,200,100,200.0,0.5389,0.32,0.8589,734.7,0.671,450,0.85,0.201,41461,19.7,0.806,0.207
Ceres Power,250,25,62.5,0.5062,0.272,0.7782,678.7,0.694,450,0.85,0.214,62385,16.6,0.768,0.286
Ceres Power,250,50,125.0,0.5513,0.288,0.8393,741.9,0.687,450,0.85,0.206,65759,19.1,0.753,0.216
Ceres Power,250,75,187.5,0.5525,0.304,0.8565,604.1,0.672,450,0.85,0.204,66875,15.2,0.76,0.28
Ceres Power,250,100,250.0,0.5627,0.32,0.8827,626.8,0.715,450,0.85,0.204,43977,17.4,0.822,0.286
Ceres Power,300,25,75.0,0.5051,0.272,0.7771,700.2,0.67,450,0.85,0.208,75853,15.1,0.759,0.221
Ceres Power,300,50,150.0,0.5478,0.288,0.8358,604.0,0.668,450,0.85,0.225,56856,23.9,0.832,0.234
Ceres Power,300,75,225.0,0.5361,0.304,0.8401,688.5,0.677,450,0.85,0.227,56376,20.5,0.794,0.229
Ceres Power,300,100,300.0,0.5359,0.32,0.8559,742.3,0.726,450,0.85,0.198,74738,19.9,0.839,0.28
Ceres Power,500,25,125.0,0.5051,0.272,0.7771,640.3,0.704,450,0.85,0.228,50315,16.4,0.833,0.298
Ceres Power,500,50,250.0,0.5357,0.288,0.8237,678.9,0.667,450,0.85,0.206,40735,24.1,0.762,0.258
Ceres Power,500,75,375.0,0.5472,0.304,0.8512,697.7,0.733,450,0.85,0.202,40439,16.4,0.84,0.287
Ceres Power,500,100,500.0,0.533,0.32,0.853,689.6,0.71,450,0.85,0.23,47014,24.1,0.792,0.238
Ceres Power,1000,25,250.0,0.5025,0.272,0.7745,624.9,0.724,450,0.85,0.195,64126,17.5,0.789,0.229
Ceres Power,1000,50,500.0,0.5365,0.288,0.8245,653.4,0.722,450,0.85,0.208,62656,19.8,0.816,0.294
Ceres Power,1000,75,750.0,0.5345,0.304,0.8385,604.7,0.676,450,0.85,0.226,42057,20.0,0.81,0.233
Ceres Power,1000,100,1000.0,0.557,0.32,0.877,715.6,0.661,450,0.85,0.195,69127,20.0,0.819,0.243
Ceres Power,1500,25,375.0,0.5158,0.272,0.7878,719.9,0.719,450,0.85,0.206,63609,18.6,0.759,0.292
Ceres Power,1500,50,750.0,0.5306,0.288,0.8186,620.5,0.745,450,0.85,0.217,47405,20.4,0.837,0.273
Ceres Power,1500,75,1125.0,0.5487,0.304,0.8527,703.8,0.735,450,0.85,0.205,59576,17.2,0.849,0.294
Ceres Power,1500,100,1500.0,0.5608,0.32,0.8808,605.9,0.721,450,0.85,0.246,47223,20.7,0.842,0.203
Ceres Power,2000,25,500.0,0.4979,0.272,0.7699,738.7,0.747,450,0.85,0.247,58968,23.6,0.834,0.232
Ceres Power,2000,50,1000.0,0.5468,0.288,0.8348,724.3,0.654,450,0.85,0.226,49200,16.2,0.758,0.27
Ceres Power,2000,75,1500.0,0.5557,0.304,0.8597,609.8,0.682,450,0.85,0.222,71628,18.2,0.813,0.289
Ceres Power,2000,100,2000.0,0.5411,0.32,0.8611,692.4,0.673,450,0.85,0.191,74803,15.2,0.837,0.253
Mitsubishi Power,100,25,25.0,0.5406,0.2295,0.7701,672.0,0.713,420,0.82,0.182,79363,22.7,0.792,0.242
Mitsubishi Power,100,50,50.0,0.5893,0.243,0.8323,710.6,0.674,420,0.82,0.137,54184,17.9,0.78,0.223
Mitsubishi Power,100,75,75.0,0.5823,0.2565,0.8388,657.6,0.718,420,0.82,0.143,77998,22.9,0.759,0.242
Mitsubishi Power,100,100,100.0,0.5923,0.27,0.8623,731.9,0.744,420,0.82,0.158,64536,16.7,0.849,0.223
Mitsubishi Power,200,25,50.0,0.5474,0.2295,0.7769,691.2,0.701,420,0.82,0.144,47061,17.2,0.769,0.278
Mitsubishi Power,200,50,100.0,0.5802,0.243,0.8232,652.5,0.656,420,0.82,0.188,75351,24.3,0.849,0.217
Mitsubishi Power,200,75,150.0,0.5968,0.2565,0.8533,704.4,0.665,420,0.82,0.179,48977,17.2,0.804,0.259
Mitsubishi Power,200,100,200.0,0.5843,0.27,0.8543,687.0,0.659,420,0.82,0.183,50624,16.3,0.839,0.296
Mitsubishi Power,250,25,62.5,0.5486,0.2295,0.7781,698.3,0.705,420,0.82,0.135,56338,18.7,0.776,0.272
Mitsubishi Power,250,50,125.0,0.5786,0.243,0.8216,674.4,0.658,420,0.82,0.143,67330,15.8,0.835,0.25
Mitsubishi Power,250,75,187.5,0.6079,0.2565,0.8644,723.7,0.685,420,0.82,0.171,62629,17.7,0.838,0.28
Mitsubishi Power,250,100,250.0,0.5847,0.27,0.8547,698.8,0.735,420,0.82,0.182,68334,23.4,0.82,0.268
Mitsubishi Power,300,25,75.0,0.5596,0.2295,0.7891,623.8,0.738,420,0.82,0.182,41169,23.3,0.763,0.234
Mitsubishi Power,300,50,150.0,0.5817,0.243,0.8247,711.5,0.666,420,0.82,0.179,73285,20.1,0.751,0.229
Mitsubishi Power,300,75,225.0,0.5845,0.2565,0.841,694.8,0.676,420,0.82,0.168,61599,22.8,0.761,0.276
Mitsubishi Power,300,100,300.0,0.5905,0.27,0.8605,681.2,0.746,420,0.82,0.151,65304,24.3,0.76,0.294
Mitsubishi Power,500,25,125.0,0.5413,0.2295,0.7708,645.1,0.721,420,0.82,0.134,63286,18.5,0.812,0.205
Mitsubishi Power,500,50,250.0,0.5772,0.243,0.8202,730.7,0.747,420,0.82,0.188,69986,16.3,0.826,0.202
Mitsubishi Power,500,75,375.0,0.5983,0.2565,0.8548,702.5,0.695,420,0.82,0.146,79884,19.3,0.795,0.216
Mitsubishi Power,500,100,500.0,0.5893,0.27,0.8593,719.2,0.719,420,0.82,0.143,43295,21.8,0.815,0.227
Mitsubishi Power,1000,25,250.0,0.5523,0.2295,0.7818,663.0,0.714,420,0.82,0.154,50968,24.8,0.791,0.289
Mitsubishi Power,1000,50,500.0,0.5743,0.243,0.8173,634.5,0.671,420,0.82,0.132,66066,18.7,0.836,0.247
Mitsubishi Power,1000,75,750.0,0.5861,0.2565,0.8426,715.6,0.734,420,0.82,0.176,65048,16.3,0.753,0.292
Mitsubishi Power,1000,100,1000.0,0.5946,0.27,0.8646,692.5,0.73,420,0.82,0.159,44692,16.3,0.819,0.243
Mitsubishi Power,1500,25,375.0,0.5453,0.2295,0.7748,609.6,0.708,420,0.82,0.146,71902,18.1,0.796,0.201
Mitsubishi Power,1500,50,750.0,0.5609,0.243,0.8039,610.9,0.689,420,0.82,0.159,64000,17.9,0.819,0.286
Mitsubishi Power,1500,75,1125.0,0.573,0.2565,0.8295,636.3,0.749,420,0.82,0.139,59955,21.2,0.82,0.256
Mitsubishi Power,1500,100,1500.0,0.5895,0.27,0.8595,601.5,0.683,420,0.82,0.161,43514,18.5,0.753,0.208
Mitsubishi Power,2000,25,500.0,0.5357,0.2295,0.7652,685.1,0.719,420,0.82,0.178,48006,16.7,0.76,0.264
Mitsubishi Power,2000,50,1000.0,0.5724,0.243,0.8154,706.0,0.653,420,0.82,0.186,42078,20.4,0.821,0.287
Mitsubishi Power,2000,75,1500.0,0.5916,0.2565,0.8481,650.9,0.731,420,0.82,0.135,75792,20.5,0.832,0.245
Mitsubishi Power,2000,100,2000.0,0.5964,0.27,0.8664,696.5,0.703,420,0.82,0.174,43265,15.6,0.775,0.216
Convion,100,25,25.0,0.5148,0.2465,0.7613,746.4,0.684,360,0.72,0.171,71587,21.6,0.8,0.256
Convion,100,50,50.0,0.5502,0.261,0.8112,707.9,0.673,360,0.72,0.22,78991,21.5,0.77,0.268
Convion,100,75,75.0,0.5504,0.2755,0.8259,730.2,0.723,360,0.72,0.205,57019,18.5,0.787,0.299
Convion,100,100,100.0,0.5433,0.29,0.8333,606.0,0.737,360,0.72,0.195,57544,22.3,0.799,0.287
Convion,200,25,50.0,0.5163,0.2465,0.7628,641.5,0.709,360,0.72,0.215,48426,21.2,0.813,0.273
Convion,200,50,100.0,0.5548,0.261,0.8158,619.7,0.722,360,0.72,0.215,47187,17.4,0.847,0.218
Convion,200,75,150.0,0.5527,0.2755,0.8282,637.1,0.737,360,0.72,0.187,60592,18.6,0.809,0.216
Convion,200,100,200.0,0.5717,0.29,0.8617,658.7,0.747,360,0.72,0.175,66269,18.3,0.827,0.213
Convion,250,25,62.5,0.5175,0.2465,0.764,635.4,0.657,360,0.72,0.17,60790,18.4,0.833,0.243
Convion,250,50,125.0,0.5508,0.261,0.8118,637.3,0.712,360,0.72,0.202,46681,16.7,0.754,0.274
Convion,250,75,187.5,0.5498,0.2755,0.8253,726.6,0.731,360,0.72,0.195,74730,17.1,0.761,0.227
Convion,250,100,250.0,0.5808,0.29,0.8708,608.6,0.703,360,0.72,0.216,41573,16.2,0.795,0.293
Convion,300,25,75.0,0.5188,0.2465,0.7653,606.2,0.665,360,0.72,0.219,78604,15.0,0.845,0.264
Convion,300,50,150.0,0.526,0.261,0.787,730.2,0.695,360,0.72,0.191,59553,21.7,0.764,0.203
Convion,300,75,225.0,0.5641,0.2755,0.8396,630.3,0.717,360,0.72,0.218,43756,21.7,0.794,0.287
Convion,300,100,300.0,0.5496,0.29,0.8396,626.6,0.719,360,0.72,0.21,77784,21.8,0.8,0.262
Convion,500,25,125.0,0.52,0.2465,0.7665,604.6,0.743,360,0.72,0.201,67060,17.2,0.816,0.239
Convion,500,50,250.0,0.5565,0.261,0.8175,697.7,0.661,360,0.72,0.199,79976,15.5,0.848,0.241
Convion,500,75,375.0,0.5562,0.2755,0.8317,685.1,0.724,360,0.72,0.213,56165,18.3,0.817,0.281
Convion,500,100,500.0,0.5642,0.29,0.8542,714.3,0.73,360,0.72,0.186,72713,16.2,0.804,0.201
Convion,1000,25,250.0,0.507,0.2465,0.7535,659.4,0.72,360,0.72,0.183,57947,17.4,0.787,0.223
Convion,1000,50,500.0,0.5316,0.261,0.7926,611.0,0.71,360,0.72,0.2,64779,19.6,0.788,0.286
Convion,1000,75,750.0,0.528,0.2755,0.8035,603.8,0.684,360,0.72,0.183,55952,20.8,0.803,0.261
Convion,1000,100,1000.0,0.5829,0.29,0.8729,714.7,0.731,360,0.72,0.203,78220,15.2,0.77,0.201
Convion,1500,25,375.0,0.5256,0.2465,0.7721,636.5,0.743,360,0.72,0.164,77377,18.5,0.76,0.249
Convion,1500,50,750.0,0.5488,0.261,0.8098,638.5,0.678,360,0.72,0.178,72121,20.4,0.781,0.261
Convion,1500,75,1125.0,0.5431,0.2755,0.8186,662.0,0.662,360,0.72,0.171,67244,16.8,0.803,0.271
Convion,1500,100,1500.0,0.5694,0.29,0.8594,616.0,0.707,360,0.72,0.175,78517,19.8,0.831,0.255
Convion,2000,25,500.0,0.5193,0.2465,0.7658,742.7,0.71,360,0.72,0.209,75368,17.3,0.771,0.261
Convion,2000,50,1000.0,0.5417,0.261,0.8027,661.7,0.734,360,0.72,0.214,54136,17.4,0.828,0.227
Convion,2000,75,1500.0,0.5501,0.2755,0.8256,700.1,0.66,360,0.72,0.197,58070,20.9,0.767,0.274
Convion,2000,100,2000.0,0.5725,0.29,0.8625,729.4,0.672,360,0.72,0.166,40945,21.4,0.811,0.255
SOLIDpower,100,25,25.0,0.4939,0.2635,0.7574,689.2,0.7,340,0.68,0.239,45457,22.0,0.79,0.243
SOLIDpower,100,50,50.0,0.5128,0.279,0.7918,707.6,0.719,340,0.68,0.239,45135,16.0,0.822,0.258
SOLIDpower,100,75,75.0,0.5295,0.2945,0.824,612.8,0.739,340,0.68,0.192,52934,17.3,0.785,0.207
SOLIDpower,100,100,100.0,0.538,0.31,0.848,677.9,0.657,340,0.68,0.228,49348,20.4,0.838,0.265
SOLIDpower,200,25,50.0,0.4796,0.2635,0.7431,650.0,0.717,340,0.68,0.24,66473,20.6,0.823,0.247
SOLIDpower,200,50,100.0,0.5302,0.279,0.8092,609.0,0.706,340,0.68,0.237,47012,21.9,0.77,0.254
SOLIDpower,200,75,150.0,0.5321,0.2945,0.8266,713.4,0.685,340,0.68,0.22,71817,24.3,0.773,0.24
SOLIDpower,200,100,200.0,0.531,0.31,0.841,622.9,0.749,340,0.68,0.236,61598,23.4,0.802,0.262
SOLIDpower,250,25,62.5,0.5014,0.2635,0.7649,619.2,0.733,340,0.68,0.227,68349,15.4,0.78,0.226
SOLIDpower,250,50,125.0,0.5234,0.279,0.8024,654.0,0.659,340,0.68,0.236,62152,18.1,0.79,0.245
SOLIDpower,250,75,187.5,0.5371,0.2945,0.8316,737.9,0.7,340,0.68,0.24,74056,17.1,0.843,0.212
SOLIDpower,250,100,250.0,0.5649,0.31,0.8749,722.6,0.688,340,0.68,0.233,74722,23.1,0.829,0.23
SOLIDpower,300,25,75.0,0.4978,0.2635,0.7613,626.0,0.719,340,0.68,0.201,79024,21.4,0.832,0.213
SOLIDpower,300,50,150.0,0.5189,0.279,0.7979,729.3,0.742,340,0.68,0.209,64250,22.6,0.767,0.25
SOLIDpower,300,75,225.0,0.5226,0.2945,0.8171,655.1,0.657,340,0.68,0.182,45406,24.6,0.805,0.297
SOLIDpower,300,100,300.0,0.5369,0.31,0.8469,664.9,0.681,340,0.68,0.21,57580,16.1,0.814,0.222
SOLIDpower,500,25,125.0,0.5148,0.2635,0.7783,622.8,0.656,340,0.68,0.227,58392,15.6,0.849,0.206
SOLIDpower,500,50,250.0,0.5387,0.279,0.8177,704.3,0.748,340,0.68,0.194,45689,16.2,0.78,0.21
SOLIDpower,500,75,375.0,0.5294,0.2945,0.8239,676.4,0.75,340,0.68,0.229,64608,18.1,0.812,0.253
SOLIDpower,500,100,500.0,0.5417,0.31,0.8517,663.9,0.663,340,0.68,0.233,57991,16.9,0.787,0.241
SOLIDpower,1000,25,250.0,0.5049,0.2635,0.7684,715.4,0.651,340,0.68,0.205,59253,15.2,0.776,0.276
SOLIDpower,1000,50,500.0,0.5341,0.279,0.8131,620.6,0.704,340,0.68,0.193,40484,17.4,0.848,0.28
