material,T_C,CTE_1e6_perK,E_GPa,nu,mu_sinter_Pa_s,density_kg_m3
NiO-YSZ,1100.0,16.32,167.6,0.3216,3e-06,6078.584
NiO-YSZ,1120.0,16.4,167.0,0.322,6e-06,6071.415
NiO-YSZ,1140.0,16.48,166.4,0.3224,1e-05,6064.208
NiO-YSZ,1160.0,16.56,165.8,0.3228,1.6e-05,6056.963
NiO-YSZ,1180.0,16.64,165.2,0.3232,2.8e-05,6049.68
NiO-YSZ,1200.0,16.72,164.6,0.3236,4.6e-05,6042.36
NiO-YSZ,1220.0,16.8,164.0,0.324,7.7e-05,6035.003
NiO-YSZ,1240.0,16.88,163.4,0.3244,0.000127,6027.609
NiO-YSZ,1260.0,16.96,162.8,0.3248,0.000208,6020.18
NiO-YSZ,1280.0,17.04,162.2,0.3252,0.000343,6012.714
NiO-YSZ,1300.0,17.12,161.6,0.3256,0.000563,6005.213
NiO-YSZ,1320.0,17.2,161.0,0.326,0.000928,5997.676
NiO-YSZ,1340.0,17.28,160.4,0.3264,0.001539,5990.104
NiO-YSZ,1360.0,17.36,159.8,0.3268,0.002578,5982.498
NiO-YSZ,1380.0,17.44,159.2,0.3272,0.004389,5974.858
NiO-YSZ,1400.0,17.52,158.6,0.3276,0.007665,5967.183
NiO-YSZ,1420.0,17.6,158.0,0.328,0.01395,5959.476
NiO-YSZ,1440.0,17.68,157.4,0.3284,0.027225,5951.734
NiO-YSZ,1460.0,17.76,156.8,0.3288,0.060752,5943.96
NiO-YSZ,1480.0,17.84,156.2,0.3292,0.190109,5936.154
NiO-YSZ,1500.0,17.92,155.6,0.3296,10137.34251,5928.315
YSZ,20.0,10.5,210.0,0.31,0.0,6000.0
YSZ,40.0,10.56,209.44,0.3103,0.0,5996.201
YSZ,60.0,10.62,208.88,0.3106,0.0,5992.363
YSZ,80.0,10.68,208.32,0.3109,0.0,5988.488
YSZ,100.0,10.74,207.76,0.3112,0.0,5984.574
YSZ,120.0,10.8,207.2,0.3115,0.0,5980.623
YSZ,140.0,10.86,206.64,0.3118,0.0,5976.634
YSZ,160.0,10.92,206.08,0.3121,0.0,5972.607
YSZ,180.0,10.98,205.52,0.3124,0.0,5968.543
YSZ,200.0,11.04,204.96,0.3127,0.0,5964.442
YSZ,220.0,11.1,204.4,0.313,0.0,5960.304
YSZ,240.0,11.16,203.84,0.3133,0.0,5956.13
YSZ,260.0,11.22,203.28,0.3136,0.0,5951.918
YSZ,280.0,11.28,202.72,0.3139,0.0,5947.67
YSZ,300.0,11.34,202.16,0.3142,0.0,5943.386
YSZ,320.0,11.4,201.6,0.3145,0.0,5939.065
YSZ,340.0,11.46,201.04,0.3148,0.0,5934.709
YSZ,360.0,11.52,200.48,0.3151,0.0,5930.316
YSZ,380.0,11.58,199.92,0.3154,0.0,5925.888
YSZ,400.0,11.64,199.36,0.3157,0.0,5921.425
YSZ,420.0,11.7,198.8,0.316,0.0,5916.926
YSZ,440.0,11.76,198.24,0.3163,0.0,5912.393
YSZ,460.0,11.82,197.68,0.3166,0.0,5907.824
YSZ,480.0,11.88,197.12,0.3169,0.0,5903.22
YSZ,500.0,11.94,196.56,0.3172,0.0,5898.582
YSZ,520.0,12.0,196.0,0.3175,0.0,5893.91
YSZ,540.0,12.06,195.44,0.3178,0.0,5889.203
YSZ,560.0,12.12,194.88,0.3181,0.0,5884.462
YSZ,580.0,12.18,194.32,0.3184,0.0,5879.687
YSZ,600.0,12.24,193.76,0.3187,0.0,5874.879
YSZ,620.0,12.3,193.2,0.319,0.0,5870.037
YSZ,640.0,12.36,192.64,0.3193,0.0,5865.162
YSZ,660.0,12.42,192.08,0.3196,0.0,5860.254
YSZ,680.0,12.48,191.52,0.3199,0.0,5855.313
YSZ,700.0,12.54,190.96,0.3202,0.0,5850.339
YSZ,720.0,12.6,190.4,0.3205,0.0,5845.333
YSZ,740.0,12.66,189.84,0.3208,0.0,5840.294
YSZ,760.0,12.72,189.28,0.3211,0.0,5835.223
YSZ,780.0,12.78,188.72,0.3214,0.0,5830.12
YSZ,800.0,12.84,188.16,0.3217,0.0,5824.985
YSZ,820.0,12.9,187.6,0.322,0.0,5819.818
YSZ,840.0,12.96,187.04,0.3223,0.0,5814.621
YSZ,860.0,13.02,186.48,0.3226,0.0,5809.392
YSZ,880.0,13.08,185.92,0.3229,0.0,5804.131
YSZ,900.0,13.14,185.36,0.3232,0.0,5798.841
YSZ,920.0,13.2,184.8,0.3235,0.0,5793.519
YSZ,940.0,13.26,184.24,0.3238,0.0,5788.167
YSZ,960.0,13.32,183.68,0.3241,0.0,5782.785
YSZ,980.0,13.38,183.12,0.3244,0.0,5777.372
YSZ,1000.0,13.44,182.56,0.3247,1e-06,5771.93
YSZ,1020.0,13.5,182.0,0.325,1e-06,5766.458
YSZ,1040.0,13.56,181.44,0.3253,2e-06,5760.957
YSZ,1060.0,13.62,180.88,0.3256,3e-06,5755.427
YSZ,1080.0,13.68,180.32,0.3259,5e-06,5749.867
YSZ,1100.0,13.74,179.76,0.3262,9e-06,5744.279
YSZ,1120.0,13.8,179.2,0.3265,1.6e-05,5738.661
YSZ,1140.0,13.86,178.64,0.3268,2.6e-05,5733.016
YSZ,1160.0,13.92,178.08,0.3271,4.4e-05,5727.342
YSZ,1180.0,13.98,177.52,0.3274,7.2e-05,5721.64
YSZ,1200.0,14.04,176.96,0.3277,0.000118,5715.91
YSZ,1220.0,14.1,176.4,0.328,0.000192,5710.153
YSZ,1240.0,14.16,175.84,0.3283,0.00031,5704.368
YSZ,1260.0,14.22,175.28,0.3286,0.0005,5698.556
YSZ,1280.0,14.28,174.72,0.3289,0.000806,5692.716
YSZ,1300.0,14.34,174.16,0.3292,0.001299,5686.85
YSZ,1320.0,14.4,173.6,0.3295,0.002101,5680.957
YSZ,1340.0,14.46,173.04,0.3298,0.003419,5675.038
YSZ,1360.0,14.52,172.48,0.3301,0.005622,5669.093
YSZ,1380.0,14.58,171.92,0.3304,0.009402,5663.121
YSZ,1400.0,14.64,171.36,0.3307,0.016139,5657.124
YSZ,1420.0,14.7,170.8,0.331,0.028877,5651.101
YSZ,1440.0,14.76,170.24,0.3313,0.055429,5645.053
YSZ,1460.0,14.82,169.68,0.3316,0.121699,5638.979
YSZ,1480.0,14.88,169.12,0.3319,0.374848,5632.88
YSZ,1500.0,14.94,168.56,0.3322,19681.401136,5626.757
Functional-Layer,20.0,11.5,150.0,0.28,0.0,5500.0
Functional-Layer,40.0,11.57,149.5,0.28044,0.0,5496.185
Functional-Layer,60.0,11.64,149.0,0.28088,0.0,5492.328
Functional-Layer,80.0,11.71,148.5,0.28132,0.0,5488.431
Functional-Layer,100.0,11.78,148.0,0.28176,0.0,5484.494
Functional-Layer,120.0,11.85,147.5,0.2822,0.0,5480.517
Functional-Layer,140.0,11.92,147.0,0.28264,0.0,5476.499
Functional-Layer,160.0,11.99,146.5,0.28308,0.0,5472.442
Functional-Layer,180.0,12.06,146.0,0.28352,0.0,5468.345
Functional-Layer,200.0,12.13,145.5,0.28396,0.0,5464.208
Functional-Layer,220.0,12.2,145.0,0.2844,0.0,5460.033
Functional-Layer,240.0,12.27,144.5,0.28484,0.0,5455.818
Functional-Layer,260.0,12.34,144.0,0.28528,0.0,5451.564
Functional-Layer,280.0,12.41,143.5,0.28572,0.0,5447.272
Functional-Layer,300.0,12.48,143.0,0.28616,0.0,5442.941
Functional-Layer,320.0,12.55,142.5,0.2866,0.0,5438.571
Functional-Layer,340.0,12.62,142.0,0.28704,0.0,5434.164
Functional-Layer,360.0,12.69,141.5,0.28748,0.0,5429.719
Functional-Layer,380.0,12.76,141.0,0.28792,0.0,5425.236
Functional-Layer,400.0,12.83,140.5,0.28836,0.0,5420.716
Functional-Layer,420.0,12.9,140.0,0.2888,0.0,5416.158
Functional-Layer,440.0,12.97,139.5,0.28924,0.0,5411.563
Functional-Layer,460.0,13.04,139.0,0.28968,0.0,5406.932
Functional-Layer,480.0,13.11,138.5,0.29012,0.0,5402.263
Functional-Layer,500.0,13.18,138.0,0.29056,0.0,5397.559
Functional-Layer,520.0,13.25,137.5,0.291,0.0,5392.818
Functional-Layer,540.0,13.32,137.0,0.29144,0.0,5388.041
Functional-Layer,560.0,13.39,136.5,0.29188,0.0,5383.228
Functional-Layer,580.0,13.46,136.0,0.29232,0.0,5378.38
Functional-Layer,600.0,13.53,135.5,0.29276,0.0,5373.496
Functional-Layer,620.0,13.6,135.0,0.2932,0.0,5368.577
Functional-Layer,640.0,13.67,134.5,0.29364,0.0,5363.623
Functional-Layer,660.0,13.74,134.0,0.29408,0.0,5358.635
Functional-Layer,680.0,13.81,133.5,0.29452,0.0,5353.612
Functional-Layer,700.0,13.88,133.0,0.29496,0.0,5348.555
Functional-Layer,720.0,13.95,132.5,0.2954,0.0,5343.463
Functional-Layer,740.0,14.02,132.0,0.29584,0.0,5338.338
Functional-Layer,760.0,14.09,131.5,0.29628,0.0,5333.179
Functional-Layer,780.0,14.16,131.0,0.29672,0.0,5327.987
Functional-Layer,800.0,14.23,130.5,0.29716,0.0,5322.762
Functional-Layer,820.0,14.3,130.0,0.2976,0.0,5317.503
Functional-Layer,840.0,14.37,129.5,0.29804,0.0,5312.212
Functional-Layer,860.0,14.44,129.0,0.29848,0.0,5306.889
Functional-Layer,880.0,14.51,128.5,0.29892,0.0,5301.533
Functional-Layer,900.0,14.58,128.0,0.29936,0.0,5296.145
Functional-Layer,920.0,14.65,127.5,0.2998,0.0,5290.725
Functional-Layer,940.0,14.72,127.0,0.30024,0.0,5285.274
Functional-Layer,960.0,14.79,126.5,0.30068,0.0,5279.792
Functional-Layer,980.0,14.86,126.0,0.30112,0.0,5274.278
Functional-Layer,1000.0,14.93,125.5,0.30156,0.0,5268.733
Functional-Layer,1020.0,15.0,125.0,0.302,0.0,5263.158
Functional-Layer,1040.0,15.07,124.5,0.30244,0.0,5257.552
Functional-Layer,1060.0,15.14,124.0,0.30288,0.0,5251.916
Functional-Layer,1080.0,15.21,123.5,0.30332,1e-06,5246.25
Functional-Layer,1100.0,15.28,123.0,0.30376,1e-06,5240.555
Functional-Layer,1120.0,15.35,122.5,0.3042,2e-06,5234.83
Functional-Layer,1140.0,15.42,122.0,0.30464,4e-06,5229.075
Functional-Layer,1160.0,15.49,121.5,0.30508,6e-06,5223.292
Functional-Layer,1180.0,15.56,121.0,0.30552,1.1e-05,5217.48
Functional-Layer,1200.0,15.63,120.5,0.30596,1.8e-05,5211.639
Functional-Layer,1220.0,15.7,120.0,0.3064,3.1e-05,5205.77
Functional-Layer,1240.0,15.77,119.5,0.30684,5.2e-05,5199.873
Functional-Layer,1260.0,15.84,119.0,0.30728,8.7e-05,5193.948
Functional-Layer,1280.0,15.91,118.5,0.30772,0.000146,5187.995
Functional-Layer,1300.0,15.98,118.0,0.30816,0.000244,5182.015
Functional-Layer,1320.0,16.05,117.5,0.3086,0.00041,5176.008
Functional-Layer,1340.0,16.12,117.0,0.30904,0.000693,5169.974
Functional-Layer,1360.0,16.19,116.5,0.30948,0.001182,5163.913
Functional-Layer,1380.0,16.26,116.0,0.30992,0.002048,5157.826
Functional-Layer,1400.0,16.33,115.5,0.31036,0.003641,5151.712
Functional-Layer,1420.0,16.4,115.0,0.3108,0.006739,5145.573
Functional-Layer,1440.0,16.47,114.5,0.31124,0.013372,5139.408
Functional-Layer,1460.0,16.54,114.0,0.31168,0.030327,5133.217
Functional-Layer,1480.0,16.61,113.5,0.31212,0.096416,5127.001
Functional-Layer,1500.0,16.68,113.0,0.31256,5221.463272,5120.761
