year,state,broadband_penetration_rate
2022,Katsina,9.41
2022,Kebbi,24.1
2022,Kogi,10.28
2022,Kwara,31.63
2022,Lagos,68.68
2022,Nasarawa,24.46
2022,Niger,13.15
2022,Ogun,34.74
2022,Ondo,22.66
2022,Osun,22.19
2022,Oyo,34.13
2022,Plateau,26.78
2022,Rivers,44.58
2022,Sokoto,18.76
2022,Taraba,10.03
2022,Yobe,27.94
2022,Zamfara,19.38
2023,Abia,15.81
2023,Adamawa,20.13
2023,Akwa Ibom,22.62
2023,Anambra,25.15
2023,Bauchi,33.61
2023,Bayelsa,31.87
2023,Benue,30.99
2023,Borno,31.42
2023,Cross River,24.98
2023,Delta,38.52
2023,Ebonyi,11.05
2023,Edo,27.85
2023,Ekiti,9.61
2023,Enugu,13.88
2023,FCT,47.45
2023,Gombe,16.37
2023,Imo,32.94
2023,Jigawa,19.85
2023,Kaduna,35.67
2023,Kano,47.6
2023,Katsina,14.28
2023,Kebbi,28.48
2023,Kogi,16.6
2023,Kwara,30.05
2023,Lagos,71.28
2023,Nasarawa,25.4
2023,Niger,6.72
2023,Ogun,39.51
2023,Ondo,25.98
2023,Osun,26.04
2023,Oyo,37.58
2023,Plateau,32.8
2023,Rivers,45.07
2023,Sokoto,15.29
2023,Taraba,8.36
2023,Yobe,30.91
2023,Zamfara,19.57
