Experiment_ID,Material,Heating_Rate_C_min,Peak_Temperature_C,Hold_Time_min,Cooling_Rate_C_min,Atmosphere,Initial_Thickness_mm,Green_Density_percent,Final_Density_percent,Final_Warpage_mm,Cracking,Max_Warpage_Location,Comments
PWD018,NiO-YSZ,10,1300,240,5,Air,1.2,55,88.8,0.318,Yes,Corner,Fast_high_extended
PWD019,NiO-YSZ,3,1350,120,5,Air,1.2,55,83.5,0.205,No,Edge,Very_high_temp
PWD020,NiO-YSZ,3,1350,240,5,Air,1.2,55,89.2,0.295,Yes,Edge,Very_high_extended
PWD021,NiO-YSZ,5,1350,120,5,Air,1.2,55,84.8,0.225,No,Edge,Standard_very_high
PWD022,NiO-YSZ,5,1350,240,5,Air,1.2,55,90.5,0.328,Yes,Edge,Standard_very_high_extended
PWD023,NiO-YSZ,10,1350,120,5,Air,1.2,55,87.2,0.312,Yes,Corner,Fast_very_high
PWD024,NiO-YSZ,10,1350,240,5,Air,1.2,55,92.8,0.425,Yes,Corner,Fast_very_high_extended
PWD025,NiO-YSZ,3,1400,120,5,Air,1.2,55,87.5,0.285,Yes,Edge,Extreme_temp
PWD026,NiO-YSZ,3,1400,240,5,Air,1.2,55,92.5,0.395,Yes,Edge,Extreme_temp_extended
PWD027,NiO-YSZ,5,1400,120,5,Air,1.2,55,88.8,0.312,Yes,Edge,Standard_extreme
PWD028,NiO-YSZ,5,1400,240,5,Air,1.2,55,93.8,0.438,Yes,Edge,Standard_extreme_extended
PWD029,NiO-YSZ,10,1400,120,5,Air,1.2,55,90.5,0.425,Yes,Corner,Fast_extreme
PWD030,NiO-YSZ,10,1400,240,5,Air,1.2,55,95.2,0.565,Yes,Corner,Fast_extreme_extended
PWD031,NiO-YSZ,2,1300,180,3,Air,1.2,55,82.8,0.135,No,Edge,Slow_heating_cooling
PWD032,NiO-YSZ,2,1350,180,3,Air,1.2,55,87.5,0.215,No,Edge,Slow_very_high
PWD033,NiO-YSZ,1,1300,240,2,Air,1.2,55,84.5,0.118,No,Edge,Very_slow_profile
PWD034,NiO-YSZ,1,1350,240,2,Air,1.2,55,89.8,0.185,No,Edge,Very_slow_very_high
PWD035,NiO-YSZ,5,1300,60,5,Air,1.2,55,76.5,0.125,No,Edge,Short_hold
PWD036,NiO-YSZ,5,1350,60,5,Air,1.2,55,81.2,0.175,No,Edge,Short_hold_very_high
PWD037,YSZ,3,1300,120,5,Air,0.8,50,68.2,0.048,No,Edge,YSZ_baseline
PWD038,YSZ,3,1300,240,5,Air,0.8,50,74.5,0.085,No,Edge,YSZ_extended
PWD039,YSZ,5,1300,120,5,Air,0.8,50,68.8,0.052,No,Edge,YSZ_standard
PWD040,YSZ,5,1300,240,5,Air,0.8,50,75.2,0.092,No,Edge,YSZ_standard_extended
PWD041,YSZ,3,1350,120,5,Air,0.8,50,73.5,0.068,No,Edge,YSZ_moderate
PWD042,YSZ,3,1350,240,5,Air,0.8,50,79.8,0.118,No,Edge,YSZ_moderate_extended
PWD043,YSZ,5,1350,120,5,Air,0.8,50,74.2,0.072,No,Edge,YSZ_standard_moderate
PWD044,YSZ,5,1350,240,5,Air,0.8,50,80.5,0.125,No,Edge,YSZ_standard_moderate_ext
PWD045,YSZ,3,1400,120,5,Air,0.8,50,77.8,0.095,No,Edge,YSZ_high
PWD046,YSZ,3,1400,240,5,Air,0.8,50,84.2,0.155,No,Edge,YSZ_high_extended
PWD047,YSZ,5,1400,120,5,Air,0.8,50,78.5,0.105,No,Edge,YSZ_standard_high
PWD048,YSZ,5,1400,240,5,Air,0.8,50,85.2,0.165,No,Edge,YSZ_standard_high_extended
PWD049,YSZ,3,1450,120,5,Air,0.8,50,81.5,0.132,No,Edge,YSZ_very_high
PWD050,YSZ,3,1450,240,5,Air,0.8,50,88.5,0.218,No,Edge,YSZ_very_high_extended
PWD051,YSZ,5,1450,120,5,Air,0.8,50,82.8,0.145,No,Edge,YSZ_standard_very_high
PWD052,YSZ,5,1450,240,5,Air,0.8,50,89.8,0.238,Yes,Edge,YSZ_standard_very_high_ext
PWD053,YSZ,3,1500,120,5,Air,0.8,50,85.2,0.185,Yes,Edge,YSZ_extreme
PWD054,YSZ,3,1500,240,5,Air,0.8,50,92.5,0.305,Yes,Edge,YSZ_extreme_extended
PWD055,YSZ,5,1500,120,5,Air,0.8,50,86.8,0.205,Yes,Edge,YSZ_standard_extreme
PWD056,YSZ,5,1500,240,5,Air,0.8,50,93.8,0.335,Yes,Edge,YSZ_standard_extreme_ext
PWD057,NiO-YSZ,5,1300,120,10,Air,1.2,55,79.2,0.138,No,Edge,Fast_cooling
PWD058,NiO-YSZ,5,1300,120,2,Air,1.2,55,81.8,0.172,No,Edge,Slow_cooling
PWD059,NiO-YSZ,5,1350,120,10,Air,1.2,55,83.5,0.195,No,Edge,Fast_cooling_high
PWD060,NiO-YSZ,5,1350,120,2,Air,1.2,55,86.2,0.258,Yes,Edge,Slow_cooling_high
