anode_material,cathode_material,tab_thickness_um,surface_finish,welding_technique,power_w,amplitude_um,force_n,time_ms,speed_mm_s,pulse_frequency_hz,preheat_temp_c,material_compatibility,weld_strength_mpa,contact_resistance_ohm,weld_width_mm,penetration_depth_mm,porosity_percent,thermal_cycles_to_failure,resistance_degradation_rate,strength_retention_percent,primary_failure_mode
Ni,Ni,176.69076804810246,Rough,Friction_Stir,4585.077606714904,52.51672128909888,2952.5297757741787,215.06373994614458,15.05400469830754,683.9082663199572,272.6502557697555,1.0,303.89205157435384,0.0002732851344097835,2.2635528606244018,0.23777015591443312,0.025286333949841033,3382.7617128144775,0.0,1.0484563254531485,Delamination
Steel,Al,74.01897237976738,Coated,Electron_Beam,1571.7140334099474,24.91033187418247,1117.3142613946006,750.3560268105565,5.291750367715209,280.2963510594157,31.250025520159653,0.393,104.82945043842543,0.0006534538739433507,1.0364427893680839,0.14217495613153028,0.024898782441318056,548.6044583762198,6.282837385535416e-05,0.40646741656492075,Mechanical_Fatigue
Al,Steel,359.8304847843034,Polished,Electron_Beam,645.7778357551296,43.58771638362194,536.6097861089089,278.0209810167078,12.31878780367292,823.7884559458748,191.00984365894465,0.393,40.352228160776384,0.00044430287506657453,0.39847912429844,0.14644629816741106,0.024834016963409606,156.2046003018044,4.846591550550025e-05,0.4098063480905024,Mechanical_Fatigue
Ti,Ni,83.29499789085729,Coated,USW,3439.4336839684884,98.95486241888939,565.5683889465427,397.1090097645069,25.756121197367616,656.2563103894134,87.5706409283501,0.8245,324.43584664832434,0.0009334135676631229,1.7182691489885655,0.0976502362786528,0.05311776714296257,2055.373208577913,1.709440708362776e-05,0.7213909982732042,Delamination
Al,Ni,141.48029994618028,Rough,Friction_Stir,1161.7380210789772,99.97832678421186,4756.2229115545715,804.9962108106577,4.849607864787594,736.3943064760795,171.3365781981092,0.4565,275.5710529271761,0.00017843540499495097,2.328513596829081,0.16724065315696812,0.03407806873740157,1441.0752684352233,6.955970975606946e-05,0.4816820702265114,Thermal_Fatigue
Ti,Steel,91.80487152235372,Anodized,Electron_Beam,2430.5907022568867,73.97514910429683,4129.821129026615,346.40461399956814,44.594993488988806,882.5811884355157,168.7113568144086,0.888,1161.508524711021,0.00035307302812654057,0.8195549324058206,0.05711834864193506,0.02039910753062988,12870.217462956267,1.03757504476085e-05,0.9255019796026835,Delamination
Steel,Ni,78.42547890636398,Anodized,Friction_Stir,346.9871667565619,89.919307841901,3852.6879816153914,298.5853060760853,38.99474603755123,426.27512500068906,203.75244062279424,0.9365,418.0387822379269,0.00041475502473365235,0.7929511055455575,0.02229045110834339,0.023664892867446444,4990.431455482376,5.812285137551212e-06,1.0976540858042683,Delamination
Cu,Ni,170.48824949279373,Polished,Laser,4965.621349649714,13.978605534812264,2532.1864379332283,654.6696187121405,19.687689573155215,189.42271725822494,68.09076660038426,0.505,167.5266997296597,0.00019775217123639425,2.3249994989938094,0.19769651204507327,0.04404600508941138,991.5360487575977,4.11668590396601e-05,0.5371107111790805,Thermal_Fatigue
Ti,Al,307.3545354471665,Rough,Laser,2293.3435211999126,34.83744174842421,3395.444124660178,975.6198499197818,7.3811521026495255,935.5769260077769,199.4249416121831,0.281,507.73474778332036,0.00024077758329444978,1.8636007731662638,0.30119836575885417,0.05946602447769075,1175.0296776093753,9.624285088639229e-05,0.29139032830957423,Thermal_Fatigue
Al,Ni,484.1085004010788,Polished,Friction_Stir,4995.638908416719,43.20635944364489,723.9184922581225,71.99772942378263,49.70467740192218,995.8318832748164,238.8605472316987,0.4565,19.263008534651924,0.0003941127832922179,1.6541378988285063,0.1536382138038633,0.03837472231861903,101.06352241766326,4.822388641484798e-05,0.5143367263011748,Mechanical_Fatigue
Steel,Steel,444.0004944573228,Polished,Resistance_Spot,1989.806896976925,11.07978827213637,3142.389006831738,836.4405205346267,28.60202707167055,218.74942033860628,69.20300415642924,1.0,859.8620318783516,0.00019254058409320593,2.378863310425073,0.15036724621753386,0.055489781201721614,5734.9805593411,0.0,0.8050156106438097,Delamination
Ti,Cu,444.1702664503961,Polished,Electron_Beam,1804.4775241168752,43.92654000372538,4072.82558963602,130.38878591729187,21.725788027373724,741.2497997273491,241.04042756201292,0.3295,206.46648129146948,0.00012995149184371127,0.457402144741371,0.16192193027190752,0.03032537425717516,675.2454783746522,5.793994043720167e-05,0.35438488571830906,Thermal_Fatigue
Cu,Cu,129.23016621694592,Coated,Electron_Beam,4581.40440850866,18.37284265534602,404.4798271576337,351.44913608566634,10.733321634483328,73.1994549361034,54.09622165571839,1.0,36.88522139210508,0.0007886955800087925,1.2979448808278908,0.23057238247656733,0.015009043400276343,430.50186864605837,0.0,1.0601301971095367,Mechanical_Fatigue
Cu,Cu,169.20823707401905,Plated,Laser,1714.3826838379919,56.566837181404615,1551.1370693154586,422.55075330659577,10.957613048551087,28.442849688792208,93.57780047045982,1.0,108.2628937136119,0.0002549173838863018,1.119468977212611,0.16292195931119502,0.034197922216195054,1101.3207390874027,0.0,0.9903771983454275,Mechanical_Fatigue
Ni,Steel,84.37699255788756,Rough,USW,2216.8271818497265,10.397737800903705,640.3654994783486,721.5519665049269,40.01424876185289,675.4536743051046,121.30831236662797,0.9365,198.10307007612928,0.0006889629604180633,1.9099420101940296,0.05766163675500275,0.04623937339572209,1838.3589270986793,7.916759244309203e-06,0.8150788857424793,Delamination
Ni,Cu,400.31075296183326,Coated,Electron_Beam,482.74113989937183,34.34048997104364,1375.112476733481,927.3002715419194,26.474177501334346,255.9041568668624,107.17224145312653,0.505,132.84808214475171,0.0004903579884452956,0.6470018764394773,0.07421140097295953,0.024122066635871055,802.4560763275539,5.338495082536895e-05,0.5120294213051069,Thermal_Fatigue
Al,Al,81.41733566850287,Plated,Laser,4781.765701373831,87.96550623707903,3885.366972312965,110.99085067953784,49.216096082046974,867.9826141402834,225.46439222761884,1.0,115.21418015758339,0.00014438613251214753,0.9678055302717519,0.06748073178893182,0.03783809745642959,935.1242084114039,0.0,1.0124031383161192,Mechanical_Fatigue
Ti,Steel,300.51305186938396,Polished,Laser,517.2410801694208,29.17522485282381,1727.0409148110687,747.3603675970651,47.70178868766193,513.5566395155095,95.29447169506314,0.888,1073.065465884388,0.00029804306595077913,0.6826927596524662,0.04568084248132401,0.03696991577773134,9148.92429372805,9.898503991105083e-06,0.8610238361201747,Delamination
Ti,Steel,161.54400754577784,Anodized,Friction_Stir,3878.8061743230883,15.835908668405336,3479.4508546509637,329.0694714868211,11.134562326470451,782.2634005060205,230.20534745774026,0.888,1071.745142050835,0.0004621397001195209,2.62674315643396,0.22339905493479825,0.02785694209542,11754.838937680428,9.54177777083441e-06,0.9432983061087126,Delamination
Ni,Steel,159.55053531293515,Coated,Friction_Stir,2739.215429674767,32.47577060045094,3889.182352630083,902.89188573499,49.96939238645375,104.36434673851191,35.991393854551106,0.9365,764.4600688518503,0.00028890003392752494,4.069936560479605,0.07169350401402587,0.022667333361004762,10469.521850400539,7.094656152810987e-06,0.9932910734178823,Delamination
Ti,Ni,495.8262748614223,Rough,Friction_Stir,400.8852058329201,84.4802835403138,4101.529584294598,285.43465209127936,49.343147142592656,874.5874664186542,109.20179929138905,0.8245,986.2429524012298,0.00023683067202016,0.7748183710830893,0.043574040767755985,0.024220631121754984,10392.039181179316,2.0721302758718127e-05,0.8854074388485504,Delamination
Ti,Ni,390.55091314034183,Rough,USW,108.34875740117526,62.846862714507814,4379.539672700927,696.9233301494543,40.16469785762724,190.7475668302603,275.57449508354006,0.8245,1343.3090652438655,0.0002029296267185384,0.4667346380733088,0.024697532607894517,0.059800434567013526,9603.438806389971,2.202161590236215e-05,0.7386453403112259,Delamination
Cu,Ni,426.6227112309726,Plated,Electron_Beam,4684.212828782934,62.74669324037867,3028.415478894586,173.10824235863234,20.154582822352992,568.6553998222859,127.95052121919962,0.505,92.77654576728077,0.00018409144034347685,0.8220781730505594,0.28373076828658206,0.023856563435230054,534.288491714246,3.3249437788484534e-05,0.5607159842696645,Mechanical_Fatigue
Ni,Ti,307.3922084048057,Coated,USW,3736.6496807541653,10.051661050075193,1475.13517679816,958.3676078799174,11.983095143292333,610.0807202502115,151.68153075681087,0.8245,913.4999721869856,0.0005663059868916053,3.0245237020144033,0.2976826042910361,0.05123941992207868,6499.0780434690605,1.750658748003966e-05,0.7872292142538055,Delamination
Steel,Al,441.95642932718715,Polished,USW,3463.537593343133,52.493609248805,837.7368065823583,14.281095208436833,6.0547766576170705,66.88262824426603,230.79850143952785,0.393,5.697583330939045,0.00038113825331106315,0.3530884293509232,0.46992450879691566,0.08150067463186328,105.35419611476588,5.487957289685923e-05,0.373916665193221,Mechanical_Fatigue
Ni,Steel,340.4707426248588,Plated,Friction_Stir,2248.9269999361877,33.90562357311124,2568.1724056450325,240.52345753945485,3.546737271406629,977.5852964097569,35.06596849119127,0.9365,340.87560420003285,0.00023278897219576266,1.680744789834996,0.4154596577738306,0.022783097122240765,4661.610192506795,4.524063707896453e-06,0.9101904627228259,Delamination
Steel,Steel,475.7781671583554,Rough,Laser,1269.2075548837895,40.25881109947555,607.4304342923941,679.1846748714861,41.21931678300018,302.938777440267,216.1662127173646,1.0,245.68512225168064,0.0007033562987696932,1.0714519635911866,0.09495363315949867,0.04027371495143132,2349.9714530205774,0.0,1.0920707670022485,Delamination
Cu,Ni,176.60236372053654,Coated,Resistance_Spot,3431.3290661798123,63.88179739013092,4562.547497010337,854.9889875902802,47.33251934793638,714.4001593001518,38.03841888845177,0.505,265.49238563660185,0.0001881301743550825,3.3842224140130566,0.08143098446293466,0.07643046767475738,953.2019364377738,5.346602146652351e-05,0.3909578640581975,Thermal_Fatigue
Al,Steel,317.89379560230276,Anodized,Laser,3080.675236223786,88.69057976128192,2268.153165920572,993.6217362009933,38.85530865157741,632.0157128190144,174.7169919085213,0.393,172.7187277213593,0.0005006783412779375,2.1478069100151487,0.11837283187485323,0.05196076945450947,663.1433210315175,5.892339019305931e-05,0.3971863132306878,Thermal_Fatigue
Ti,Steel,360.55910657160143,Polished,Laser,3659.0767547568485,26.349121525408986,4377.622313981886,181.5280305701472,38.192903216115134,34.05038315170197,191.22183746533756,0.888,833.9156994140008,0.00013094676394771935,1.1356463908372043,0.15585286665623527,0.040698923234569875,7515.293222063498,9.341044767913434e-06,0.9952048624883351,Delamination
Cu,Cu,226.821787262513,Rough,Laser,1892.383340651284,79.13998213016924,3575.4248798309213,314.0724012929532,21.34378537315598,862.4972303626527,60.49950318089905,1.0,148.5773228295061,0.000182702957115364,0.9609421149559836,0.1385274106043746,0.03002063709084588,1733.3803573614175,0.0,1.007312666860882,Mechanical_Fatigue
Ti,Steel,445.868592081824,Coated,Laser,4935.926426514632,14.401195969459366,4300.366057876087,892.9335008309846,32.41786735106125,305.12791498966243,258.262658870671,0.888,1910.2721011242772,0.0002586430373679659,2.6371490945950145,0.22108351067046364,0.040304468557628745,13734.299357006836,1.1339289822567486e-05,0.8220040129400001,Delamination
Al,Ti,490.91142339686945,Anodized,USW,428.34241159981093,39.405624932134856,4431.39463734737,42.17491668855535,33.889564126786034,249.80719886842667,179.30116158103976,0.281,81.55013149488026,0.00029772476872987915,0.2175292674531658,0.05683406736722954,0.08339781325703047,173.58148228328346,6.726474223601524e-05,0.22411394064121917,Mechanical_Fatigue
Al,Ni,272.19627111769773,Rough,Friction_Stir,490.53792347744877,29.70214207118663,361.1381422206841,735.988604082607,13.606671794883358,59.4923998245061,63.334978275805206,0.4565,39.78929294818121,0.000718649767310944,1.3710991449458756,0.0954037120116098,0.03201180317446234,279.14309484618366,5.6217841415138364e-05,0.5036358442138694,Mechanical_Fatigue
Cu,Al,225.7882946619526,Anodized,Friction_Stir,4592.691653145013,92.40255853056597,3653.763454387402,428.82140379180856,37.19529558212601,251.08114453251028,261.04557555193117,0.6234999999999999,138.15586717882778,0.00032230239946972553,3.3231783200400464,0.1318223670118702,0.03503977188630243,910.3603092450392,3.874196914712899e-05,0.646915289235594,Mechanical_Fatigue
Al,Al,262.37206785040644,Rough,Laser,3273.7615311033132,26.01981157292645,1210.0837124446357,691.9298396797233,8.159731354777989,620.4394345537744,250.9401427589138,1.0,147.92014782806208,0.0005042495186010723,1.7473104399111719,0.3144109120975323,0.03715103587784892,1363.1614433170494,0.0,0.9868517281927673,Mechanical_Fatigue
Steel,Cu,433.7315355793692,Plated,Resistance_Spot,1699.0369340923116,62.07687263179104,4947.554837498261,529.6511206215823,15.379353139373992,201.6677768732467,207.79864540279723,0.4415,205.47955349869167,0.00012257248891576008,1.8800641858182112,0.22798089479310354,0.09594566039938432,550.4340542240402,4.1765044700783545e-05,0.3447061545871989,Thermal_Fatigue
Al,Al,340.46079148317546,Plated,Electron_Beam,3833.5685127330685,24.83048491797159,3914.174573217233,630.8407679720086,29.89571046136987,467.03475031516365,133.53502653281288,1.0,312.6290912089596,0.00014527788637335001,1.3607805397506223,0.1871866737484627,0.016496164433346144,3245.544444502975,0.0,1.0229925898313343,Delamination
Ti,Al,70.14756763314278,Plated,Laser,2318.5896004798956,52.6135343749012,118.44851373579708,669.9970731371009,27.439138580804382,799.9015807917044,158.37185547750605,0.281,29.873425506350113,0.0006627165011095246,1.645284861552734,0.0708283968514545,0.055226795640575525,105.33992202796918,5.236355550879965e-05,0.27371026930226167,Mechanical_Fatigue
Ti,Ni,293.9764597005717,Coated,Laser,203.49539315788735,47.20599112285728,4644.339976830796,634.9334853488352,35.52449193662753,955.2317954108993,216.96152733570824,0.8245,1590.1125883167044,0.0002377946531605615,0.4472183296519651,0.03578171726518401,0.04454544755452781,11113.563104197532,1.7494211689393668e-05,0.8847115991812682,Delamination
Ti,Ni,57.78505523343642,Plated,Resistance_Spot,3290.407980157791,13.722147301046304,1532.298920785768,667.9173481676071,29.562773893173485,700.7914629703256,104.10331927361618,0.8245,769.7618367369041,0.0003509903136047522,2.719499942891835,0.06832761541123902,0.061805238624888126,4639.766936571363,1.2902113291150288e-05,0.6580325753684303,Delamination
Ti,Ti,400.34091695153245,Coated,USW,1291.2484917484621,84.32808343305436,2141.6026382186033,572.6644533092908,3.4276292728914144,196.53738772260695,186.71720051932078,1.0,1881.2257935210312,0.0005004022020609134,1.328995210122255,0.33294217718743324,0.047806569404024765,13713.042179886144,0.0,0.910630031208821,Delamination
Steel,Cu,197.74052309410868,Polished,Laser,665.1420713893322,80.21014436049794,3100.1993367465498,716.756404777757,48.907446859100745,383.75651759190794,194.1717126587044,0.4415,199.2461099764136,0.0001518453455512363,0.8932616136599598,0.039099829596031775,0.05607936097892274,898.7984031138392,4.51685151051493e-05,0.43124249424361444,Thermal_Fatigue
Ni,Al,262.4033669527982,Plated,Resistance_Spot,1203.8385942470807,35.007253486102464,4589.917990816671,778.2632384840645,38.41095892320447,554.4958173045477,82.18728595068715,0.4565,256.72455758271036,0.00013944791358435442,1.8752642689978098,0.0713354987647478,0.08163820093764063,787.1770003505353,4.001577814153651e-05,0.3618414815100517,Thermal_Fatigue
Cu,Ti,409.4051476584344,Coated,USW,2433.1736175333176,65.25956232063578,4643.900453944897,790.0560646065593,44.1411286733844,871.5364570988958,56.020436991250534,0.3295,565.7614658741118,0.00024741263556630425,2.145932373667499,0.1131547223047085,0.06964798483369858,1659.7018286093328,7.503695330728842e-05,0.2971879749258688,Thermal_Fatigue
Ti,Cu,70.9019677785927,Rough,USW,344.2965132878772,42.640262279270054,2861.011637380622,854.9779678049675,40.392479794550354,548.1755413231056,66.14276061037035,0.3295,486.48900948631206,0.0002807957888894725,0.8222452659404278,0.02043424122038759,0.0701327617182615,1373.86301653723,9.472064488729652e-05,0.29589533708972604,Thermal_Fatigue
Al,Al,121.3436910162247,Coated,Laser,4427.446695219784,79.23044289519594,1651.9500294760974,323.23839629774625,11.407291011387715,491.8032597748923,25.923162257103165,1.0,130.8472473448874,0.0004628960001924183,1.4227264525495045,0.22284610327629378,0.026627067131873856,1707.1845020037601,0.0,0.975452834547763,Mechanical_Fatigue
Ti,Al,229.08216940030167,Coated,USW,2843.5982811898734,72.32360106545718,1468.0307143574757,748.315696535909,46.70272900250483,260.4491224976572,230.30937204971207,0.281,255.903533805453,0.0005123599435762704,2.0362135702215376,0.08065911351186758,0.0837991358423413,545.8220374010486,7.554440125903351e-05,0.2563529920731102,Thermal_Fatigue
Al,Ni,153.46632359550227,Rough,Laser,1535.681282565537,18.142028300796568,1885.5457840145468,947.1946783576261,49.220101184184344,500.102436077641,246.6480799880868,0.4565,175.1261295123628,0.0003392646400703755,1.6201531197140346,0.05135528217972981,0.05783894607242681,727.4129539526001,7.206258440189878e-05,0.3993220917982675,Thermal_Fatigue
Al,Steel,202.0556415987784,Coated,Laser,3466.3237556345466,85.97693488328768,984.5170493411533,373.7933981457977,4.854938314359028,319.39695523542105,243.88990190161536,0.393,79.33864493786778,0.0005902655635571158,1.461586465874938,0.3772641244584314,0.06222704795907313,231.9481064391142,6.301570069405213e-05,0.37656455302048325,Mechanical_Fatigue
Ti,Cu,499.17863205160927,Rough,Friction_Stir,4040.7588352017124,26.148349458553778,3382.18178976847,779.8647045743116,8.763325248617624,564.8959746638419,280.39584082319897,0.3295,493.7097453220264,0.00022581303524836155,4.4736036130985655,0.49746134311738227,0.03920493891821962,1747.4159335045385,8.630031210509937e-05,0.3837542920096102,Thermal_Fatigue
Steel,Al,421.43649690821485,Anodized,Electron_Beam,3108.2306771190533,25.66987322188543,2686.2300509108077,298.5481501131673,49.52440007570047,808.9056363760749,43.73583227771553,0.393,117.55591945005608,0.000516018833563735,0.959425064982475,0.12227095062132048,0.02530412931388295,561.4523285786131,5.469099017417248e-05,0.42422396438694965,Thermal_Fatigue
Al,Cu,447.75581673204886,Plated,Electron_Beam,1092.2239413615653,76.03721873375964,3889.9770313220197,183.8135727869034,15.379766289272311,945.7781509462485,280.5918813701544,0.6234999999999999,84.57469715914138,0.0001346675506989383,0.4469213816077615,0.18760055052096897,0.024422161978790494,489.0824404810098,2.737387224151762e-05,0.6312468381181745,Mechanical_Fatigue
Al,Ti,471.6745851045989,Polished,Friction_Stir,640.4132587175741,26.49259552516858,561.1454527582199,451.9626232132119,41.17033093195583,809.7881427689265,160.5191605001739,0.281,104.79746130567452,0.00044725004116103156,1.245414559940792,0.0665474315363279,0.04185407610980952,357.86368815700035,6.03348075247508e-05,0.291644332308433,Thermal_Fatigue
Ti,Ti,203.42114614138805,Coated,Laser,4313.508515463594,21.01572581872857,2059.538539266822,808.466837522134,4.633010427627319,828.4717431645034,130.1434110398435,1.0,1976.6578869869381,0.00047788410070284323,2.380344686429511,0.4000457840171088,0.032528467131347286,23753.582334057304,0.0,0.966718788854885,Delamination
Al,Steel,183.6846310084127,Rough,Resistance_Spot,1249.9683264035284,40.20245445056329,1275.3280541843674,314.0512944593922,36.88960539379706,358.6342521090685,59.72036461559084,0.393,75.17185702711188,0.000461507958330773,1.1300681765245504,0.05796805119337837,0.08657898886672383,228.45059473777843,7.370356933651334e-05,0.299347442898983,Mechanical_Fatigue
Al,Al,155.3281216574337,Plated,USW,198.40391031973877,85.4841232722859,2722.4124106710847,301.9899745353553,35.36835494237733,695.8077355257539,155.31028666886513,1.0,160.63769028738298,0.00018658177966394165,0.3980666806019394,0.02445762406068109,0.04866933795857806,1468.2285185028861,0.0,0.8549485342872649,Delamination
Ti,Ni,423.5526100886552,Coated,Friction_Stir,3250.220329955835,25.912788240926915,2394.395520025204,284.89828482126086,46.94458393795383,388.7035831344086,210.87704628410467,0.8245,691.1283335860933,0.00041506302179993455,2.3018633988099357,0.14249953994348571,0.02782970773554988,6569.518916083986,1.7971302283042992e-05,0.9468779370669169,Delamination
Ti,Al,355.7983380283332,Plated,Friction_Stir,849.1381163351333,40.51656938060381,2302.870710826242,225.9397748752467,36.70712010055522,25.20758112408945,44.89897850342051,0.281,207.42741469146662,0.0002450012611403316,1.0642352015372327,0.0743803339882651,0.03409912292203698,779.9432421912076,5.32076225559327e-05,0.3089055417296967,Thermal_Fatigue
Cu,Cu,156.27739211729477,Anodized,Friction_Stir,4955.752116846418,35.76285555195308,1646.702796525318,614.9998828923449,3.028581401631282,884.6585449862174,293.7834951038949,1.0,118.69997891403744,0.0005519352381037497,4.118911903457481,0.43169884877693354,0.025163333107984485,1301.1585759057214,0.0,1.0738602495882537,Mechanical_Fatigue
Steel,Ti,219.6472231447047,Coated,Friction_Stir,4361.681075523118,42.045477824789735,3661.5433149232217,250.90351635207287,23.0721862899267,53.23888294163926,276.6963564153693,0.888,987.5873095326037,0.00031590135681948097,2.623120014187374,0.18548977659804597,0.029675743428602193,9576.950449187236,1.2212286716782138e-05,0.9189332312875782,Delamination
Steel,Cu,278.0202937697592,Rough,Electron_Beam,3081.384057405967,74.28446149219262,2459.681750882609,935.5537938486905,18.0466401050251,116.41119181365747,268.42802743656205,0.4415,201.15135467022583,0.0002717101813485056,1.569625532296156,0.21345535714343222,0.0304136322526887,875.2795225941463,6.669053779309349e-05,0.42561634062075254,Thermal_Fatigue
Al,Steel,287.66302577318913,Anodized,Laser,4185.9416487818635,46.49190228859494,1090.994521084645,352.4717362701727,28.965589751023572,19.372470063185244,134.6783077761445,0.393,76.4064046130608,0.0008337860101298886,1.463502350347385,0.17222044082657745,0.05584306777911236,304.78410085274754,5.933784632302501e-05,0.40280201411656036,Mechanical_Fatigue
Steel,Ti,449.9274778482716,Coated,Friction_Stir,2405.6249337666113,78.36190132067586,2782.492617208987,546.9747694055917,21.987804999708587,68.18974930485521,259.67330264915074,0.888,1173.4623673656415,0.0003887682950199773,2.9265243681286237,0.22401232940346108,0.02988655547873382,12584.290169826298,1.1542221787881682e-05,1.076445825078452,Delamination
Al,Ni,221.25475982624735,Plated,Friction_Stir,3963.5825978659327,67.63628244235306,3023.6935645930303,415.07875751944374,14.761314380364022,59.95458852211566,55.12220507038924,0.4565,150.12181637594375,0.00020218467391585053,3.1252609985027835,0.2522003559732008,0.031839710636628084,1065.789855866174,3.822128662783601e-05,0.4743094968278521,Thermal_Fatigue
Cu,Ti,458.83581372523054,Anodized,Friction_Stir,3268.0144067460405,42.49892638980256,204.7604186001288,963.0885767499602,33.391198761593955,677.6294148021695,275.011732489932,0.3295,73.13285722777565,0.001406279807662878,4.135440216583464,0.1847986566582735,0.04214841919556407,247.10909560287158,6.498696488873e-05,0.3620732876425598,Mechanical_Fatigue
Ti,Al,248.61540214390533,Rough,Resistance_Spot,240.35877505131407,48.90167034465075,1098.515438157716,429.77138837702114,16.245660992487583,853.6452562954383,259.30700296356196,0.281,165.44762707886943,0.000479716216964034,0.5602019422686085,0.06235958124931598,0.109562368986653,260.79356993460823,9.331459832526636e-05,0.20677395352455766,Thermal_Fatigue
Ti,Al,385.86770365655923,Coated,Resistance_Spot,4748.912571008927,73.32604408526528,1287.7791596236834,568.0575037457568,42.682209036961524,796.8914316360151,184.40622135439213,0.281,230.48793210463157,0.000582455054750389,3.0497754683127027,0.16227032671910258,0.09316284181748304,367.1406999437632,7.695859412314203e-05,0.199342863177165,Thermal_Fatigue
Ti,Ti,468.6144439932752,Plated,USW,4318.505933163767,58.12798718604071,1315.568294599344,765.7890273891475,16.82669559055683,626.6588852034749,205.4558592957526,1.0,1377.569502760429,0.00038799626398513707,2.5616658294238133,0.3242467641799624,0.05008850478587668,11751.850342289665,0.0,0.8698899517970424,Delamination
Steel,Steel,458.4090667834699,Plated,Laser,4771.696213906787,88.15061452846481,1270.344764764151,179.58357184537593,26.251378954174488,786.2096719573659,118.20073288975388,1.0,216.43007686047173,0.00038659920850636663,1.1163913264241772,0.26280677992732615,0.031784536819030144,2271.872884328861,0.0,0.9724261227071616,Delamination
