Participant_ID,Country,Age,Gender,Education,Income_Level,Bank_Type,Years_with_Account,Frequency_of_Use,Past_Victim,Fraud_Incidents,Fraud_Types,Fraud_Amount,Fraud_Resolution,Tech_Adoption,Risk_Tolerance,Financial_Literacy,Trust_Banking,Mobile_Usage,Internet_Quality,Employment_Status,Marital_Status,Urban_Rural,Data_Collection_Date
33,Nigeria,39,2,4,2,1,12,2,1,4,Phishing; Online Banking Fraud; Social Engineering,10000.0,1,3.4,3.5,4.8,3.8,4.0,2.1,1,2,1,2025-10-26
34,Ghana,37,1,6,2,1,2,3,0,0,,0.0,0,3.9,2.7,4.3,2.9,3.7,2.2,1,2,1,2025-10-26
35,Ghana,41,1,2,4,3,4,2,0,0,,0.0,0,4.0,2.6,2.6,4.1,4.1,2.9,3,2,1,2025-10-26
36,Ghana,52,2,4,3,3,1,3,0,0,,0.0,0,4.4,3.3,5.0,4.2,4.2,3.4,1,3,1,2025-10-26
37,Nigeria,41,2,3,1,1,1,2,0,0,,0.0,0,3.0,2.2,2.6,1.5,3.4,3.8,4,2,1,2025-10-26
38,Nigeria,22,2,5,5,1,16,3,1,1,Social Engineering,10000.0,2,3.4,2.6,3.3,2.9,4.2,2.9,1,2,1,2025-10-26
39,Ghana,51,2,3,3,3,5,3,0,0,,0.0,0,3.4,2.9,3.4,5.0,5.0,3.3,4,2,2,2025-10-26
40,Nigeria,54,1,3,3,2,7,1,0,0,,0.0,0,3.5,3.5,4.7,3.3,4.5,3.5,2,2,1,2025-10-26
41,Nigeria,65,2,5,3,1,9,5,0,0,,0.0,0,5.0,2.7,4.2,3.4,4.3,3.1,2,1,1,2025-10-26
42,Nigeria,21,1,3,2,3,8,2,0,0,,0.0,0,4.2,3.4,2.1,2.7,4.2,1.8,1,1,1,2025-10-26
43,Nigeria,37,1,1,3,1,23,3,0,0,,0.0,0,3.2,3.8,2.0,2.7,3.5,2.7,1,1,2,2025-10-26
44,Ghana,18,2,3,3,1,21,1,0,0,,0.0,0,3.9,2.6,1.5,4.0,3.5,3.1,1,2,1,2025-10-26
45,Nigeria,41,1,4,3,2,2,1,0,0,,0.0,0,4.6,5.0,4.0,3.2,4.1,2.9,2,1,1,2025-10-26
46,Ghana,28,3,3,4,1,1,3,1,1,Card Fraud,292.89,1,3.2,4.0,3.3,3.0,3.8,3.2,5,2,1,2025-10-26
47,Nigeria,58,1,3,4,2,1,5,0,0,,0.0,0,4.4,3.2,2.1,4.3,3.3,2.4,2,2,1,2025-10-26
48,Nigeria,25,2,2,2,1,2,2,0,0,,0.0,0,3.3,2.9,2.6,3.1,3.8,4.2,4,2,2,2025-10-26
49,Nigeria,18,2,4,3,1,30,2,1,1,Social Engineering,10000.0,2,5.0,2.6,2.7,2.7,4.2,3.0,5,3,1,2025-10-26
50,Nigeria,29,1,5,4,1,16,3,1,1,Social Engineering,38070.05,1,3.4,4.2,3.4,3.5,4.3,3.4,1,2,1,2025-10-26
51,Ghana,18,2,3,1,1,18,4,1,1,ATM Skimming,522.35,3,3.9,3.1,2.9,3.2,3.6,3.4,3,1,1,2025-10-26
52,Ghana,44,1,3,1,1,8,5,0,0,,0.0,0,2.4,2.0,2.6,3.2,4.0,4.1,1,3,2,2025-10-26
53,Ghana,18,2,2,3,1,10,5,0,0,,0.0,0,2.9,1.8,3.3,3.7,4.2,3.4,1,4,1,2025-10-26
54,Ghana,35,1,3,4,2,1,1,0,0,,0.0,0,2.6,3.1,2.6,3.3,3.4,4.2,1,1,1,2025-10-26
55,Nigeria,18,2,2,2,2,1,5,0,0,,0.0,0,4.8,3.1,3.2,2.5,3.6,1.0,1,2,1,2025-10-26
56,Ghana,31,1,4,4,1,4,4,0,0,,0.0,0,3.1,2.4,5.0,4.0,4.0,3.6,3,1,1,2025-10-26
57,Nigeria,54,1,4,4,2,1,1,0,0,,0.0,0,5.0,1.9,3.6,4.0,3.5,3.2,1,1,1,2025-10-26
58,Nigeria,39,1,5,5,2,6,3,0,0,,0.0,0,4.8,1.6,5.0,3.3,3.8,3.2,1,2,2,2025-10-26
59,Nigeria,24,1,2,2,1,1,4,0,0,,0.0,0,3.6,2.5,2.5,3.9,5.0,2.1,4,1,1,2025-10-26
60,Nigeria,34,2,4,4,3,3,4,0,0,,0.0,0,2.4,2.7,3.6,3.8,3.2,2.4,1,3,1,2025-10-26
61,Nigeria,35,2,4,1,1,5,4,1,1,Card Fraud,10000.0,1,4.0,3.5,3.8,2.4,4.7,2.2,3,2,1,2025-10-26
62,Nigeria,40,2,4,3,1,6,2,0,0,,0.0,0,3.0,2.9,3.8,4.0,4.2,3.4,5,2,2,2025-10-26
63,Ghana,18,1,5,3,1,8,1,0,0,,0.0,0,2.9,3.7,4.3,3.6,3.4,4.1,3,1,1,2025-10-26
64,Nigeria,42,1,3,3,2,1,3,1,1,ATM Skimming,10000.0,1,4.3,3.4,3.8,3.6,4.3,1.7,2,3,1,2025-10-26
65,Nigeria,18,1,1,4,1,10,3,0,0,,0.0,0,2.5,3.4,3.3,3.4,4.0,3.2,1,1,2,2025-10-26
66,Nigeria,27,2,4,1,3,19,2,0,0,,0.0,0,2.3,3.7,3.2,3.9,4.6,2.3,2,2,1,2025-10-26
67,Nigeria,29,3,3,3,1,8,3,1,4,Mobile Banking Fraud; Card Fraud; Social Engineering,10000.0,3,4.5,2.0,3.1,3.6,4.3,4.4,1,2,2,2025-10-26
68,Ghana,42,1,1,2,1,1,3,0,0,,0.0,0,2.6,2.6,2.1,3.8,4.1,3.9,3,1,1,2025-10-26
69,Nigeria,35,1,3,4,3,18,2,0,0,,0.0,0,1.6,4.7,3.6,4.8,3.8,2.7,4,4,1,2025-10-26
70,Ghana,18,1,3,1,1,1,3,0,0,,0.0,0,2.7,1.7,2.2,4.0,4.6,3.4,1,1,1,2025-10-26
71,Ghana,23,2,4,4,2,4,2,0,0,,0.0,0,4.4,2.8,3.8,4.4,3.8,4.4,2,2,1,2025-10-26
72,Nigeria,37,2,2,4,1,3,5,0,0,,0.0,0,3.9,3.3,2.7,4.4,3.3,3.0,4,2,1,2025-10-26
73,Nigeria,34,2,3,4,1,3,4,0,0,,0.0,0,1.7,1.7,1.9,2.5,3.1,1.6,3,1,1,2025-10-26
74,Ghana,28,1,4,2,2,7,2,0,0,,0.0,0,3.9,2.5,4.5,4.5,3.4,4.6,2,3,1,2025-10-26
75,Ghana,29,2,4,4,2,1,4,1,2,Card Fraud; Phishing,126.03,1,5.0,4.4,4.6,4.1,4.4,4.1,4,1,1,2025-10-26
76,Ghana,43,2,6,1,2,5,1,0,0,,0.0,0,4.1,3.1,4.1,4.0,3.8,3.1,5,1,1,2025-10-26
77,Ghana,28,1,1,4,2,1,1,1,1,Phishing,121.25,1,4.7,2.6,1.7,4.3,3.6,3.9,1,1,1,2025-10-26
78,Nigeria,33,2,6,4,1,9,2,0,0,,0.0,0,3.1,3.1,4.5,3.3,3.8,2.5,1,1,1,2025-10-26
79,Nigeria,61,1,4,3,3,10,1,0,0,,0.0,0,5.0,2.6,3.6,4.4,4.4,2.5,4,2,2,2025-10-26
80,Nigeria,18,1,5,4,2,1,2,0,0,,0.0,0,4.0,4.2,3.8,2.9,4.3,2.9,1,1,1,2025-10-26
81,Ghana,18,2,3,1,2,6,2,0,0,,0.0,0,4.7,2.3,2.2,2.9,4.1,3.9,4,2,1,2025-10-26
82,Ghana,44,1,4,3,3,12,3,0,0,,0.0,0,4.7,2.6,3.8,4.5,3.7,3.8,1,2,1,2025-10-26
83,Nigeria,26,2,5,2,2,3,1,0,0,,0.0,0,4.7,2.0,4.3,3.5,3.8,3.8,1,4,1,2025-10-26
84,Nigeria,31,2,5,6,3,11,2,0,0,,0.0,0,2.9,2.8,3.5,4.0,3.9,3.4,1,2,1,2025-10-26
85,Nigeria,25,1,3,5,3,1,5,0,0,,0.0,0,4.1,2.9,2.4,3.5,3.6,4.2,1,1,1,2025-10-26
86,Nigeria,31,2,2,4,1,11,3,0,0,,0.0,0,3.8,3.8,3.3,3.7,3.9,4.4,1,2,1,2025-10-26
87,Ghana,54,1,4,5,2,1,2,0,0,,0.0,0,3.9,2.3,5.0,3.4,3.5,3.7,2,2,1,2025-10-26
88,Ghana,44,1,5,3,1,16,2,0,0,,0.0,0,4.7,3.3,4.0,3.7,4.2,3.3,1,3,1,2025-10-26
89,Ghana,45,1,3,5,2,5,4,0,0,,0.0,0,4.0,3.1,3.5,3.4,4.2,3.4,1,2,1,2025-10-26
90,Nigeria,18,1,4,3,1,17,2,0,0,,0.0,0,4.4,1.7,2.8,3.0,4.6,1.5,1,2,2,2025-10-26
91,Nigeria,21,1,4,4,2,3,1,0,0,,0.0,0,5.0,2.5,4.5,3.4,4.1,3.0,2,1,1,2025-10-26
92,Ghana,18,1,5,4,1,5,3,0,0,,0.0,0,4.6,2.5,3.0,4.4,4.1,3.1,5,2,1,2025-10-26
93,Ghana,25,1,4,1,3,3,5,0,0,,0.0,0,4.0,4.2,3.4,3.9,3.6,3.0,1,1,1,2025-10-26
94,Nigeria,46,1,3,3,2,10,3,0,0,,0.0,0,3.5,3.4,3.3,3.4,4.0,3.0,3,2,1,2025-10-26
95,Ghana,41,2,6,1,3,1,3,0,0,,0.0,0,5.0,3.1,3.5,4.0,3.5,2.0,2,2,1,2025-10-26
96,Nigeria,32,1,4,6,1,2,3,0,0,,0.0,0,2.9,1.0,4.6,3.1,3.1,2.9,1,3,1,2025-10-26
97,Nigeria,34,2,4,2,2,1,2,0,0,,0.0,0,4.8,1.7,3.6,4.2,3.9,3.2,1,2,1,2025-10-26
98,Nigeria,26,2,3,3,2,1,2,0,0,,0.0,0,4.9,3.5,3.5,2.7,3.7,1.8,1,2,1,2025-10-26
99,Nigeria,37,2,4,4,2,1,3,0,0,,0.0,0,4.9,3.5,4.6,3.4,4.3,4.1,3,2,2,2025-10-26
100,Nigeria,44,1,3,2,2,5,1,0,0,,0.0,0,5.0,2.5,3.3,3.0,3.5,3.4,5,2,1,2025-10-26
101,Nigeria,18,2,3,3,3,1,3,0,0,,0.0,0,3.5,3.0,2.9,4.3,5.0,4.0,2,2,1,2025-10-26
102,Ghana,38,2,4,4,1,16,4,0,0,,0.0,0,3.4,3.0,5.0,3.8,3.8,3.8,1,1,1,2025-10-26
103,Nigeria,46,2,4,2,1,1,2,1,1,ATM Skimming,10000.0,1,4.7,3.1,4.2,4.2,4.0,3.3,1,3,1,2025-10-26
104,Nigeria,30,1,4,4,1,7,3,0,0,,0.0,0,3.4,2.7,4.1,3.9,3.7,4.2,5,1,1,2025-10-26
105,Ghana,43,1,3,2,3,24,3,0,0,,0.0,0,3.7,3.6,3.2,4.2,4.4,4.4,1,1,1,2025-10-26
106,Nigeria,65,2,4,2,1,3,3,0,0,,0.0,0,3.7,3.8,4.8,3.9,3.9,4.6,3,1,1,2025-10-26
107,Nigeria,33,1,3,3,2,2,5,0,0,,0.0,0,4.7,2.3,4.4,4.0,3.5,2.9,1,1,1,2025-10-26
108,Ghana,39,1,4,3,3,1,2,0,0,,0.0,0,4.1,2.2,3.9,3.7,3.1,2.9,1,1,1,2025-10-26
109,Nigeria,26,1,3,5,3,13,2,0,0,,0.0,0,3.2,2.4,2.5,4.5,4.3,2.1,1,2,1,2025-10-26
110,Nigeria,37,2,4,5,2,3,2,1,1,ATM Skimming,10000.0,1,3.0,3.0,4.7,3.7,4.3,2.2,5,3,1,2025-10-26
111,Nigeria,40,3,5,3,1,17,3,1,1,Card Fraud,12126.36,1,2.2,3.2,3.2,3.8,4.2,3.5,3,2,1,2025-10-26
112,Nigeria,37,1,3,3,1,9,4,0,0,,0.0,0,1.5,3.6,3.2,3.3,3.9,5.0,1,2,1,2025-10-26
113,Ghana,22,2,3,3,3,2,5,0,0,,0.0,0,3.4,3.7,2.7,3.7,3.8,4.6,1,2,1,2025-10-26
114,Ghana,37,1,4,2,1,7,3,0,0,,0.0,0,1.6,3.3,3.9,3.1,4.4,3.4,2,2,1,2025-10-26
115,Ghana,52,1,4,3,1,5,4,0,0,,0.0,0,3.4,3.2,4.0,1.7,3.9,4.0,1,3,2,2025-10-26
116,Ghana,40,2,4,4,2,2,1,0,0,,0.0,0,4.6,4.2,3.0,3.3,4.6,3.1,1,2,1,2025-10-26
117,Ghana,46,2,4,3,1,1,5,0,0,,0.0,0,4.2,3.0,3.5,5.0,4.0,3.2,4,1,1,2025-10-26
118,Nigeria,32,2,3,2,2,10,1,0,0,,0.0,0,4.4,3.4,3.6,4.0,3.9,2.2,2,2,1,2025-10-26
119,Ghana,43,1,3,3,2,1,3,0,0,,0.0,0,4.7,3.2,1.8,3.9,4.2,2.8,4,2,1,2025-10-26
120,Nigeria,38,2,3,1,1,1,3,1,2,ATM Skimming; Phishing,10000.0,1,3.3,2.9,2.9,4.1,4.7,3.4,3,1,2,2025-10-26
121,Ghana,23,1,2,4,1,8,3,0,0,,0.0,0,3.2,2.9,2.3,3.5,4.6,4.5,2,1,1,2025-10-26
122,Ghana,38,1,4,3,2,14,2,0,0,,0.0,0,4.4,3.9,2.8,3.5,4.0,4.2,3,2,2,2025-10-26
123,Nigeria,23,1,2,3,2,4,3,0,0,,0.0,0,3.8,2.9,3.5,3.3,3.8,4.2,1,2,1,2025-10-26
124,Nigeria,27,2,5,3,1,14,1,0,0,,0.0,0,4.2,2.8,3.4,3.1,3.4,3.6,1,3,1,2025-10-26
125,Nigeria,37,2,5,5,1,1,1,0,0,,0.0,0,2.2,2.5,4.3,3.1,4.3,3.0,3,2,2,2025-10-26
126,Nigeria,38,1,5,1,1,1,3,1,2,Social Engineering; Online Banking Fraud,91294.16,2,4.4,3.3,3.7,3.5,3.1,2.6,1,2,1,2025-10-26
127,Ghana,20,1,5,5,1,1,3,1,2,Social Engineering; ATM Skimming,100.0,1,3.2,2.6,3.0,3.7,4.9,3.9,1,1,2,2025-10-26
128,Ghana,47,2,3,3,1,1,3,0,0,,0.0,0,3.1,3.2,2.9,4.5,4.4,2.3,1,3,1,2025-10-26
129,Nigeria,41,1,5,5,1,3,3,0,0,,0.0,0,3.8,3.1,3.8,4.1,3.6,2.5,4,2,1,2025-10-26
130,Nigeria,26,2,2,4,2,2,4,0,0,,0.0,0,5.0,2.7,2.9,2.6,4.6,2.4,5,2,1,2025-10-26
131,Nigeria,18,1,1,2,2,1,1,0,0,,0.0,0,3.2,2.0,2.0,3.3,4.3,4.0,3,2,1,2025-10-26
132,Nigeria,33,1,5,4,2,1,2,1,3,Mobile Banking Fraud; Phishing; Online Banking Fraud,10000.0,2,4.2,2.3,3.4,2.8,4.2,1.9,5,1,1,2025-10-26
133,Nigeria,29,3,2,4,1,8,5,0,0,,0.0,0,3.9,2.4,3.6,1.9,3.9,3.7,4,1,1,2025-10-26
134,Nigeria,36,1,6,1,3,1,2,1,2,ATM Skimming; Account Takeover,10000.0,2,4.9,2.3,4.0,4.1,4.3,3.3,1,2,1,2025-10-26
135,Ghana,30,1,4,2,3,5,3,0,0,,0.0,0,3.5,3.3,4.0,4.5,3.3,3.8,1,1,1,2025-10-26
136,Nigeria,18,1,5,4,2,2,5,0,0,,0.0,0,4.5,4.5,3.0,3.5,4.0,2.6,3,1,2,2025-10-26
137,Nigeria,30,2,3,4,2,1,2,0,0,,0.0,0,5.0,2.6,3.9,3.8,3.7,1.8,1,2,1,2025-10-26
138,Ghana,31,2,4,4,3,7,3,0,0,,0.0,0,4.1,2.7,3.9,4.0,3.9,3.9,1,1,1,2025-10-26
139,Nigeria,42,1,1,4,3,7,2,0,0,,0.0,0,4.1,2.6,1.9,3.4,3.7,3.7,3,2,1,2025-10-26
140,Ghana,26,1,5,4,2,3,1,0,0,,0.0,0,4.0,3.6,4.2,3.5,3.7,3.8,1,2,2,2025-10-26
141,Ghana,55,2,2,4,1,10,3,0,0,,0.0,0,3.4,3.3,2.5,4.5,4.6,3.4,5,2,1,2025-10-26
142,Nigeria,18,1,4,3,2,1,5,0,0,,0.0,0,4.1,3.0,4.0,3.7,3.3,2.1,1,1,1,2025-10-26
143,Nigeria,50,2,3,2,1,1,3,1,2,Online Banking Fraud; Card Fraud,10000.0,2,2.0,2.2,3.6,2.6,4.2,2.5,1,2,2,2025-10-26
144,Nigeria,32,1,2,5,2,1,1,0,0,,0.0,0,4.5,2.3,3.6,3.6,3.4,3.4,1,2,1,2025-10-26
145,Nigeria,45,1,4,1,2,1,3,0,0,,0.0,0,5.0,3.1,3.7,4.3,4.7,2.4,3,3,1,2025-10-26
146,Nigeria,35,2,2,3,2,4,2,0,0,,0.0,0,3.6,3.2,2.9,4.0,4.2,2.2,1,2,2,2025-10-26
147,Ghana,48,1,4,4,2,1,4,0,0,,0.0,0,5.0,3.0,4.1,4.5,3.3,2.5,1,1,2,2025-10-26
148,Nigeria,30,2,3,3,3,3,1,1,3,Online Banking Fraud; Phishing; Mobile Banking Fraud,10000.0,2,2.7,3.5,3.5,3.1,4.2,3.4,3,1,1,2025-10-26
149,Nigeria,21,1,3,1,1,3,3,0,0,,0.0,0,3.3,2.1,1.9,3.6,3.7,3.4,1,1,1,2025-10-26
150,Nigeria,52,1,4,1,2,1,3,0,0,,0.0,0,4.5,3.2,4.1,3.3,4.1,3.9,4,2,1,2025-10-26
151,Ghana,33,3,3,4,3,8,2,0,0,,0.0,0,2.8,3.2,4.1,4.6,3.3,2.0,2,2,1,2025-10-26
152,Nigeria,37,1,3,6,2,2,4,0,0,,0.0,0,5.0,2.3,2.7,3.0,4.6,3.9,5,1,1,2025-10-26
153,Nigeria,49,2,5,3,1,4,3,0,0,,0.0,0,2.7,2.6,4.0,3.0,3.0,3.9,1,1,1,2025-10-26
154,Nigeria,22,1,2,3,2,3,1,0,0,,0.0,0,3.9,3.5,4.1,3.5,3.6,4.0,1,4,1,2025-10-26
155,Ghana,42,2,2,3,2,1,2,0,0,,0.0,0,3.0,2.2,2.9,3.1,3.5,3.6,3,3,2,2025-10-26
156,Nigeria,27,2,3,2,2,1,2,0,0,,0.0,0,5.0,4.7,2.1,3.7,4.2,3.2,3,1,1,2025-10-26
157,Ghana,33,1,3,1,2,3,1,1,3,Account Takeover; Online Banking Fraud; Phishing,100.0,1,3.7,3.4,3.0,2.5,3.8,3.7,1,2,1,2025-10-26
158,Ghana,35,2,4,2,2,1,2,0,0,,0.0,0,3.9,3.0,5.0,4.4,3.9,2.9,3,2,1,2025-10-26
159,Nigeria,18,2,3,3,2,1,5,0,0,,0.0,0,4.3,2.8,3.1,1.8,3.7,2.3,1,2,1,2025-10-26
160,Ghana,25,1,5,2,1,12,4,0,0,,0.0,0,4.7,3.6,2.9,4.2,3.3,3.7,5,1,1,2025-10-26
161,Nigeria,51,2,1,1,3,4,4,0,0,,0.0,0,3.5,2.7,3.2,3.7,3.9,2.8,2,2,1,2025-10-26
162,Ghana,45,2,3,4,3,1,3,0,0,,0.0,0,2.5,2.7,2.9,3.3,3.3,4.0,1,1,1,2025-10-26
163,Ghana,34,1,3,5,1,7,3,0,0,,0.0,0,2.7,4.0,3.5,3.8,3.1,3.3,1,1,1,2025-10-26
164,Nigeria,37,1,4,5,1,12,1,0,0,,0.0,0,2.3,2.7,3.6,4.0,4.3,1.8,4,1,1,2025-10-26
165,Nigeria,31,1,6,4,3,1,3,0,0,,0.0,0,3.6,3.1,4.3,4.7,3.4,1.9,4,1,1,2025-10-26
166,Ghana,51,1,4,1,1,2,4,0,0,,0.0,0,4.5,2.5,5.0,4.4,4.7,3.0,1,2,1,2025-10-26
167,Nigeria,32,2,6,4,1,5,5,1,1,Phishing,10000.0,2,3.0,3.2,2.4,3.0,4.7,3.6,1,2,2,2025-10-26
168,Nigeria,37,1,3,2,1,13,1,1,1,Online Banking Fraud,10000.0,1,3.5,3.4,3.4,3.6,4.4,2.6,1,1,1,2025-10-26
169,Nigeria,48,2,1,4,1,1,5,0,0,,0.0,0,2.5,4.2,3.8,2.4,3.4,3.2,3,2,1,2025-10-26
170,Nigeria,25,1,2,4,1,18,5,0,0,,0.0,0,2.6,2.3,1.6,3.5,5.0,1.7,3,1,1,2025-10-26
171,Ghana,53,1,3,4,1,7,4,0,0,,0.0,0,3.5,2.0,2.6,3.9,2.8,3.6,4,1,1,2025-10-26
172,Nigeria,18,2,3,6,1,1,3,0,0,,0.0,0,5.0,2.8,2.3,3.3,3.6,3.0,3,1,2,2025-10-26
173,Nigeria,54,2,2,4,2,4,1,0,0,,0.0,0,4.4,2.6,2.6,2.4,4.4,4.0,1,2,1,2025-10-26
174,Nigeria,30,2,3,4,1,20,1,1,2,Account Takeover; Card Fraud,10000.0,1,2.7,3.0,2.5,3.1,4.4,3.1,1,1,2,2025-10-26
175,Ghana,32,1,3,2,2,1,4,1,1,Card Fraud,9886.92,1,3.7,3.4,2.8,4.8,3.6,4.0,3,2,2,2025-10-26
176,Nigeria,18,1,2,5,3,2,1,0,0,,0.0,0,5.0,4.6,3.0,4.2,3.6,4.6,1,1,2,2025-10-26
177,Ghana,29,1,3,2,1,2,3,0,0,,0.0,0,3.7,2.7,3.9,3.4,3.9,3.5,4,3,1,2025-10-26
178,Nigeria,22,3,5,5,2,1,2,0,0,,0.0,0,4.4,1.5,4.3,3.4,4.0,4.2,1,1,1,2025-10-26
179,Ghana,27,1,3,3,2,3,2,0,0,,0.0,0,4.5,2.8,3.6,3.9,3.8,3.6,2,2,2,2025-10-26
180,Nigeria,33,2,4,2,2,4,3,0,0,,0.0,0,4.7,3.2,5.0,2.6,4.8,2.6,1,2,2,2025-10-26
181,Nigeria,46,2,4,4,1,1,4,0,0,,0.0,0,3.9,2.3,5.0,2.6,3.7,2.9,1,2,2,2025-10-26
182,Nigeria,37,1,3,1,3,9,1,0,0,,0.0,0,4.2,3.2,3.1,3.6,4.7,2.6,1,1,1,2025-10-26
183,Ghana,38,2,3,4,2,5,2,0,0,,0.0,0,5.0,3.1,3.9,3.4,4.2,3.2,1,1,2,2025-10-26
184,Ghana,21,2,3,2,1,7,4,0,0,,0.0,0,3.7,3.2,2.8,4.8,4.5,3.1,1,2,1,2025-10-26
185,Nigeria,24,2,4,5,1,7,3,1,5,Mobile Banking Fraud; Card Fraud; Account Takeover,28060.5,2,4.0,3.6,3.4,3.5,3.3,2.8,2,2,2,2025-10-26
186,Ghana,56,1,3,4,2,3,3,0,0,,0.0,0,4.3,2.9,3.0,3.4,4.5,4.0,1,2,1,2025-10-26
187,Ghana,26,1,3,4,1,2,3,0,0,,0.0,0,3.0,3.4,3.6,3.7,4.5,2.3,1,2,1,2025-10-26
188,Nigeria,54,1,2,3,1,8,3,0,0,,0.0,0,3.8,1.7,3.9,2.3,3.7,3.2,1,2,1,2025-10-26
189,Nigeria,32,1,5,1,1,7,3,0,0,,0.0,0,3.3,2.3,4.3,3.0,4.4,3.1,4,2,2,2025-10-26
190,Nigeria,35,2,3,4,1,4,5,1,2,Online Banking Fraud; Account Takeover,10000.0,1,3.4,2.8,2.8,3.1,3.3,4.1,3,2,1,2025-10-26
