Year,Region,High_Cost_Barrier_Percent,Lack_Technical_Skills_Percent,Poor_Infrastructure_Percent,Limited_Awareness_Percent,Regulatory_Constraints_Percent,Cultural_Resistance_Percent,Lack_Finance_Access_Percent,Cybersecurity_Concerns_Percent,Unreliable_Power_Supply_Percent,Poor_Internet_Connectivity_Percent,Lack_Government_Support_Percent,High_Tax_Burden_Percent,Limited_Market_Access_Percent,Competition_MNCs_Percent,Corruption_Bureaucracy_Percent
2022,North Central,61.2,64.9,51.5,57.6,46.5,43.9,70.0,29.8,60.6,56.4,54.8,61.9,50.0,54.9,64.0
2022,North West,66.2,69.5,57.2,63.4,52.9,50.3,74.6,35.4,66.5,61.9,60.2,66.9,55.5,59.7,68.7
2022,North East,69.5,72.9,60.7,66.5,57.3,55.7,77.7,39.9,70.2,66.5,64.9,70.6,60.5,63.3,72.2
2023,South West,53.5,57.8,40.7,47.0,36.5,33.9,63.7,21.0,50.3,45.2,44.8,53.4,40.2,46.9,56.7
2023,South East,57.4,61.2,44.3,52.0,40.9,37.3,66.0,24.8,54.0,50.0,48.4,57.2,44.6,49.7,59.6
2023,South South,54.9,59.0,42.3,49.1,38.7,35.2,64.5,22.6,52.0,47.4,45.9,55.5,42.0,48.4,58.2
2023,North Central,59.3,62.9,49.2,55.6,44.5,42.0,68.0,27.9,58.6,54.4,52.9,60.0,48.0,53.0,62.1
2023,North West,64.3,67.5,55.0,61.4,50.9,48.4,72.7,33.5,64.5,59.9,58.3,65.0,53.5,57.8,66.8
2023,North East,67.6,70.9,58.4,64.5,55.3,53.8,75.8,38.0,68.2,64.5,63.0,68.7,58.5,61.4,70.3
2024,South West,51.5,55.8,38.3,44.9,34.5,32.0,61.7,19.1,48.3,43.2,42.9,51.5,38.2,44.9,54.8
2024,South East,55.4,59.2,41.9,49.9,38.9,35.4,64.0,22.9,52.0,48.0,46.5,55.3,42.6,47.8,57.7
2024,South South,52.9,57.0,39.9,47.0,36.7,33.3,62.5,20.7,50.0,45.4,43.9,53.6,40.0,46.5,56.3
2024,North Central,57.3,60.9,46.9,53.6,42.5,40.1,66.0,26.0,56.6,52.4,51.0,58.1,46.0,51.1,60.2
2024,North West,62.3,65.5,52.7,59.4,48.9,46.5,70.7,31.6,62.5,57.9,56.4,63.1,51.5,55.9,64.9
2024,North East,65.6,68.9,56.1,62.5,53.3,51.9,73.9,36.1,66.2,62.5,61.1,66.8,56.5,59.5,68.4
