Participant_ID,Country,Age,Gender,Education,Income_Level,Bank_Type,Years_with_Account,Frequency_of_Use,Past_Victim
P0062,1,34,2,3,2,2,0.5,3,0
P0063,1,37,2,3,2,1,2.9,1,0
P0064,1,45,1,6,4,1,3.5,4,0
P0065,1,42,1,5,5,2,1.6,3,0
P0066,1,38,1,6,6,2,4.6,1,0
P0067,1,22,1,4,4,3,4.0,4,1
P0068,1,38,1,5,5,1,10.3,2,0
P0069,1,40,1,5,5,2,0.5,1,0
P0070,1,75,2,5,5,1,8.8,3,0
P0071,1,36,1,5,5,3,2.2,5,1
P0072,1,43,1,5,5,1,1.7,1,0
P0073,1,58,1,2,1,3,0.7,3,1
P0074,1,50,2,3,4,1,4.8,2,0
P0075,1,63,2,5,5,1,1.0,2,1
P0076,1,25,2,4,3,2,1.4,1,1
P0077,1,28,1,4,4,1,4.3,1,1
P0078,1,32,2,4,3,2,1.5,2,0
P0079,1,24,1,3,1,2,1.8,2,0
P0080,1,40,2,3,3,2,0.5,1,0
P0081,1,29,2,5,5,2,2.9,3,0
P0082,1,66,2,6,5,1,1.8,4,1
P0083,1,30,2,5,3,1,3.3,2,0
P0084,1,35,2,3,2,1,4.4,2,0
P0085,1,51,1,1,1,2,0.5,2,0
P0086,1,26,2,5,4,1,2.1,1,0
P0087,1,24,1,3,2,1,3.1,2,0
P0088,1,41,2,5,3,1,12.4,3,1
P0089,1,42,1,5,4,1,2.0,1,0
P0090,1,51,1,5,5,1,13.8,1,0
P0091,1,46,1,4,4,1,1.0,1,0
P0092,1,43,1,5,4,1,7.0,1,0
P0093,1,31,1,4,4,3,1.6,1,0
P0094,1,42,2,6,4,2,1.7,5,0
P0095,1,43,1,5,5,2,4.3,1,0
P0096,1,31,1,4,2,1,5.9,1,1
P0097,1,74,2,3,1,3,4.7,2,1
P0098,1,46,1,3,3,2,0.5,4,0
P0099,1,28,2,5,4,2,2.2,2,1
P0100,1,51,2,2,2,1,2.5,2,1
P0101,1,54,2,4,5,1,1.0,4,1
P0102,1,45,2,3,1,3,5.5,3,0
P0103,1,36,1,5,3,2,1.2,1,1
P0104,1,30,2,5,3,2,0.7,1,1
P0105,1,38,1,5,4,1,10.1,2,1
P0106,1,44,1,5,5,2,0.6,1,0
P0107,1,39,2,3,3,1,3.8,3,0
P0108,1,64,1,2,1,3,1.0,2,1
P0109,1,48,2,5,6,1,5.6,3,0
P0110,1,29,2,4,4,2,1.8,1,0
P0111,1,28,2,5,3,1,8.6,1,1
P0112,1,46,2,2,1,2,3.3,1,0
P0113,1,36,1,3,1,1,2.0,4,0
P0114,1,50,1,1,1,3,2.7,3,0
P0115,1,46,2,6,5,2,5.5,2,1
P0116,1,38,1,3,2,1,5.2,2,0
P0117,1,30,2,5,4,1,6.5,1,0
P0118,1,25,2,3,4,1,7.0,1,1
P0119,1,42,2,5,6,2,0.5,1,1
P0120,1,26,1,4,2,2,2.6,1,0
P0121,1,29,1,6,5,2,0.5,1,1
P0122,1,41,1,6,4,1,5.1,3,1
P0123,1,40,1,4,2,2,0.5,1,0
P0124,1,27,2,6,6,2,1.0,2,0
P0125,1,56,1,6,5,2,1.3,1,0
P0126,1,56,1,5,5,1,1.0,2,0
P0127,1,46,1,5,4,1,3.5,3,0
P0128,1,46,2,3,1,1,6.8,2,1
P0129,1,46,2,5,3,1,15.8,2,1
P0130,1,54,1,1,3,1,7.2,3,0
P0131,1,49,1,3,3,1,6.3,4,0
P0132,1,30,1,6,6,1,12.0,1,1
P0133,1,36,1,4,3,1,5.7,1,0
P0134,1,75,2,5,4,3,2.1,4,0
P0135,1,23,2,5,4,2,2.8,1,1
P0136,1,33,1,6,5,2,3.2,2,1
P0137,1,56,1,6,6,2,1.4,1,0
P0138,1,31,3,4,4,1,9.0,1,1
P0139,1,49,1,2,1,3,1.1,4,0
P0140,1,39,2,4,5,1,9.2,2,1
P0141,1,31,1,3,1,2,2.3,1,0
P0142,1,22,1,2,1,1,4.0,2,0
P0143,1,41,1,4,3,3,0.5,4,1
P0144,1,30,1,5,5,1,3.6,3,0
P0145,1,37,2,5,6,1,8.9,1,1
P0146,1,46,1,4,3,3,1.9,3,0
P0147,1,52,1,4,5,1,2.5,3,0
P0148,1,33,1,4,4,2,0.7,3,0
P0149,1,31,1,2,1,3,3.0,4,0
P0150,1,26,1,5,4,2,1.2,1,0
P0151,1,53,1,4,5,3,1.5,4,0
P0152,1,75,2,5,4,3,4.8,4,0
P0153,1,55,1,1,2,1,1.8,1,1
P0154,1,60,1,5,4,2,2.8,1,0
P0155,1,31,2,5,5,2,0.8,1,0
P0156,1,45,1,5,5,1,2.9,3,1
P0157,1,51,2,4,4,1,7.0,1,0
P0158,1,18,1,5,4,2,0.0,2,0
P0159,1,28,2,5,6,3,1.0,5,0
P0160,1,68,2,4,4,3,0.5,4,0
P0161,1,25,2,6,4,2,0.5,4,0
P0162,1,64,3,5,5,1,6.5,5,0
P0163,1,25,1,5,4,1,7.0,1,0
P0164,1,28,2,5,4,2,1.5,2,0
P0165,1,45,1,4,3,2,2.1,1,1
P0166,1,40,1,3,1,1,7.3,4,0
P0167,1,34,1,5,4,1,3.7,1,0
P0168,1,67,2,6,5,1,7.8,5,0
P0169,1,26,1,6,5,2,3.1,2,1
P0170,1,37,2,4,3,3,0.9,4,0
P0171,1,47,2,5,4,1,1.0,1,0
P0172,1,43,2,3,3,1,6.2,1,0
P0173,1,32,2,6,5,2,2.2,2,0
P0174,1,32,1,6,5,1,12.3,1,1
P0175,1,52,1,4,3,3,5.8,4,1
P0176,1,53,1,5,5,1,7.7,1,0
P0177,1,43,1,5,5,1,1.0,3,0
P0178,1,30,1,5,4,1,3.7,2,0
P0179,1,32,1,3,2,2,5.3,2,0
P0180,1,39,1,4,4,2,1.6,2,0
P0181,1,40,2,5,5,2,2.2,1,0
P0182,1,47,2,5,4,1,4.2,1,0
P0183,1,36,1,4,4,1,3.9,1,0
P0184,1,52,2,6,4,1,4.1,3,0
P0185,1,51,1,2,1,3,2.0,3,0
P0186,1,61,1,4,4,1,10.5,3,0
P0187,1,39,2,5,5,2,0.7,1,0
P0188,1,43,1,5,4,2,3.0,1,0
P0189,1,37,1,5,5,2,0.5,1,0
P0190,1,30,3,4,4,2,3.5,1,0
P0191,1,75,2,2,2,2,1.1,1,0
P0192,1,58,2,4,4,1,2.5,5,1
P0193,1,51,2,4,4,1,5.8,4,0
P0194,1,39,2,3,2,2,6.5,1,0
P0195,1,29,1,5,4,1,4.3,3,1
P0196,1,54,1,3,2,2,5.4,3,0
P0197,1,37,1,5,5,2,0.8,1,0
P0198,1,45,1,5,5,2,0.5,1,1
P0199,1,32,2,3,2,1,12.4,1,0
P0200,1,42,1,1,1,2,5.8,2,0
P0201,1,33,2,5,5,1,5.7,5,0
P0202,1,33,2,5,4,1,2.1,3,0
P0203,1,42,2,5,5,3,18.3,1,0
P0204,1,25,2,5,3,2,2.3,1,0
P0205,1,25,2,5,4,2,0.5,2,1
P0206,1,31,1,6,5,1,7.1,4,1
P0207,1,36,2,5,5,2,0.5,2,1
P0208,1,52,1,4,2,2,0.5,2,1
P0209,1,37,2,4,4,1,1.0,1,1
P0210,1,39,1,3,3,2,3.6,3,0
P0211,1,35,2,5,5,1,2.0,3,0
P0212,1,43,2,4,4,2,0.5,1,0
P0213,1,30,1,6,6,2,0.7,2,1
P0214,1,37,1,5,4,1,2.1,1,0
P0215,1,45,3,5,3,1,6.9,1,1
P0216,1,42,1,4,5,1,3.9,1,0
P0217,1,39,2,2,2,1,6.4,1,0
P0218,1,39,2,2,3,3,2.0,2,1
P0219,1,46,1,4,4,2,0.7,1,0
P0220,1,75,1,2,2,1,9.4,2,0
P0221,1,30,1,5,5,1,6.1,2,0
P0222,1,75,2,5,4,1,4.9,2,0
P0223,1,30,1,6,5,2,1.3,1,0
P0224,1,21,1,4,3,1,1.0,3,0
P0225,1,33,1,4,3,1,5.1,2,0
P0226,1,44,2,5,4,2,5.6,1,0
P0227,1,74,2,5,4,1,6.8,4,1
P0228,1,29,3,4,3,1,6.5,3,0
P0229,1,46,1,5,5,2,0.7,3,0
P0230,1,26,2,4,4,2,1.0,1,1
P0231,1,73,2,5,5,1,3.8,1,0
P0232,1,58,2,6,4,2,6.5,2,1
P0233,1,33,2,3,1,2,0.8,1,0
P0234,1,62,1,5,5,1,1.0,2,0
P0235,1,37,1,5,4,1,2.8,1,0
P0236,1,59,2,6,4,1,5.2,4,1
P0237,1,39,1,4,2,1,1.5,1,1
P0238,1,39,2,5,5,2,1.1,3,0
P0239,1,33,2,3,3,2,0.8,3,0
P0240,1,48,1,4,4,3,1.3,3,1
P0241,1,40,2,2,3,3,5.2,4,0
P0242,1,46,1,6,4,1,4.6,3,0
P0243,1,24,1,5,3,1,6.0,4,0
P0244,1,60,2,5,5,2,5.4,1,1
P0245,1,66,2,6,6,1,6.9,3,0
P0246,1,40,1,3,4,2,1.5,1,0
P0247,1,75,1,3,4,2,7.4,4,0
P0248,1,71,2,1,2,3,11.8,3,1
P0249,1,48,2,3,2,3,0.8,3,0
P0250,1,62,2,2,3,1,8.4,3,0
P0251,1,56,1,3,1,3,0.8,4,0
P0252,1,23,1,3,2,2,0.5,2,0
P0253,1,36,1,3,4,1,2.2,1,1
P0254,1,50,2,2,1,3,0.5,3,1
P0255,1,68,1,2,1,1,14.8,5,0
P0256,1,25,1,6,3,3,7.0,4,1
P0257,1,23,2,4,4,1,5.0,3,0
P0258,1,38,1,6,5,2,6.9,1,1
P0259,1,22,3,4,3,1,1.1,2,0
P0260,1,38,2,4,3,2,0.5,2,1
P0261,1,44,2,5,5,1,1.4,4,0
P0262,1,29,1,4,3,1,1.0,1,0
P0263,1,38,1,4,5,1,5.4,4,1
P0264,1,54,2,3,3,3,1.4,3,0
P0265,1,33,2,3,4,1,5.6,1,0
P0266,1,30,2,4,3,1,7.0,2,1
P0267,1,37,1,4,4,2,0.5,1,1
P0268,1,28,2,5,5,2,4.8,2,0
P0269,1,75,2,1,3,3,11.1,1,1
P0270,1,39,2,3,2,1,4.1,1,1
P0271,1,31,2,5,4,2,1.5,3,0
P0272,1,42,2,3,3,1,2.4,1,1
P0273,1,37,2,4,4,1,1.0,1,0
P0274,1,36,1,5,5,2,6.3,1,0
P0275,1,33,1,3,2,2,1.4,2,0
P0276,1,32,1,3,2,2,0.5,3,0
P0277,1,25,1,5,4,1,1.1,2,0
P0278,1,62,1,3,3,1,10.9,3,1
P0279,1,47,1,5,5,1,3.2,3,1
P0280,1,43,1,5,4,3,1.1,1,0
P0281,1,37,1,3,2,1,3.2,1,1
P0282,1,29,2,5,4,1,2.9,2,0
P0283,1,30,2,5,5,1,1.9,2,0
P0284,1,25,1,3,4,2,5.4,2,1
P0285,1,31,2,5,5,1,3.1,2,0
P0286,1,28,2,4,4,3,2.5,3,0
P0287,1,69,1,4,3,1,1.7,1,1
P0288,1,53,1,2,3,3,8.1,2,0
P0289,1,40,1,4,3,1,4.3,3,1
P0290,1,29,2,4,3,2,4.5,1,0
P0291,1,28,2,5,3,2,3.3,2,0
P0292,1,36,1,2,1,1,8.0,1,0
P0293,1,53,1,3,1,3,1.4,4,0
P0294,1,25,1,5,4,2,1.1,3,0
P0295,1,47,1,5,5,3,0.9,2,0
P0296,1,31,1,5,6,2,0.5,1,1
P0297,1,33,1,5,4,1,5.4,5,1
P0298,1,39,2,5,6,1,3.8,2,0
P0299,1,30,2,6,6,1,8.2,3,0
P0300,1,36,1,4,4,1,3.0,1,0
P0301,1,29,2,5,4,1,6.4,3,1
P0302,1,32,1,5,6,1,4.8,1,1
P0303,1,50,1,6,6,1,2.4,5,0
P0304,1,40,1,6,5,2,4.8,2,0
P0305,1,50,2,3,2,1,3.2,4,0
P0306,1,31,2,4,4,1,8.1,3,0
P0307,1,47,2,4,4,1,4.5,3,0
P0308,1,24,1,4,2,1,6.0,2,0
P0309,1,39,2,4,3,1,10.8,4,0
P0310,1,48,1,4,4,1,12.2,5,0
P0311,1,24,2,5,6,3,1.4,3,0
P0312,1,31,1,4,5,2,0.5,4,0
P0313,1,39,1,5,4,1,10.0,3,0
P0314,1,55,2,3,3,1,1.0,2,0
P0315,1,32,2,4,4,2,1.4,1,0
P0316,1,47,1,4,4,2,0.7,1,0
P0317,1,64,2,5,6,2,3.3,1,0
P0318,1,47,1,3,4,1,4.0,1,0
P0319,1,36,2,3,1,1,3.8,2,0
P0320,1,44,2,6,6,1,5.5,2,0
P0321,1,32,2,3,3,1,3.7,2,0
P0322,1,40,2,5,5,2,0.5,4,0
P0323,1,37,2,5,4,2,2.8,1,1
P0324,1,44,1,4,5,2,1.3,1,0
P0325,1,34,2,5,4,3,2.1,1,0
P0326,1,44,1,3,1,1,3.3,1,0
P0327,1,34,1,5,5,2,3.4,2,0
P0328,1,52,1,3,2,3,1.6,4,0
P0329,1,35,1,5,5,3,2.7,4,0
P0330,1,22,2,3,2,3,4.0,2,0
P0331,1,28,1,5,3,2,2.4,2,1
P0332,1,39,2,3,2,1,5.2,2,0
P0333,1,69,1,3,1,3,10.8,2,1
P0334,1,52,1,2,2,1,7.7,1,0
P0335,1,21,1,3,2,2,0.7,1,1
P0336,1,25,1,5,5,3,0.5,2,1
P0337,1,58,1,3,3,1,3.6,1,0
P0338,1,48,2,6,6,1,10.1,5,1
P0339,1,75,1,6,6,1,6.9,2,0
P0340,1,33,2,5,5,2,1.1,1,1
P0341,1,30,1,3,3,1,1.5,1,1
P0342,1,40,1,4,4,2,1.1,2,0
P0343,1,33,2,5,4,3,4.8,1,1
P0344,1,55,1,3,4,3,6.2,4,0
P0345,1,33,1,3,3,1,5.7,5,0
P0346,1,35,1,5,4,2,3.6,1,0
P0347,1,28,1,5,4,2,3.7,1,1
P0348,1,50,2,5,3,1,1.3,1,0
P0349,1,29,1,3,4,1,1.9,3,0
P0350,1,45,2,5,5,1,1.0,2,1
P0351,1,74,2,2,1,3,10.3,2,0
P0352,1,23,1,3,2,2,0.6,1,0
P0353,1,65,2,5,6,2,0.5,2,0
P0354,1,43,1,3,3,1,15.7,2,0
P0355,1,27,2,4,3,2,0.8,1,0
P0356,1,40,1,1,1,1,9.1,3,0
P0357,1,50,2,5,3,1,7.2,3,1
P0358,1,30,1,5,5,2,0.9,3,0
P0359,1,46,1,5,6,1,7.8,1,0
P0360,1,67,2,5,4,2,0.5,3,0
P0361,1,33,2,3,2,1,2.6,3,0
P0362,1,28,1,5,4,2,3.3,1,0
P0363,1,37,1,4,3,1,2.9,3,0
P0364,1,40,2,3,4,2,0.5,1,0
P0365,1,57,2,4,4,1,10.7,4,1
P0366,1,37,2,6,5,1,5.1,1,0
P0367,1,34,2,3,1,3,1.5,4,0
P0368,1,28,2,4,5,1,6.4,2,1
P0369,1,24,2,3,1,2,6.0,4,0
P0370,1,26,1,4,4,3,5.5,2,0
P0371,1,26,1,6,5,1,8.0,5,0
P0372,1,36,2,4,4,1,3.1,4,0
P0373,1,25,2,5,3,2,1.0,1,1
P0374,1,38,1,5,5,3,0.6,4,0
P0375,1,73,1,2,1,3,3.8,5,0
P0376,1,57,2,4,4,1,5.0,2,1
P0377,1,36,1,4,3,2,1.8,1,1
P0378,1,75,1,4,4,1,1.4,2,1
P0379,1,40,1,6,5,3,1.1,2,0
P0380,1,42,1,5,4,3,2.1,1,0
P0381,1,37,1,4,4,1,18.7,1,0
P0382,1,38,1,5,6,1,10.8,1,1
P0383,1,32,1,3,2,1,8.0,2,1
P0384,1,36,2,2,3,1,13.0,1,0
P0385,1,65,1,2,1,3,0.8,4,1
P0386,1,60,2,3,1,1,2.6,3,1
P0387,1,22,2,4,3,1,4.0,1,1
P0388,1,25,1,5,5,1,7.0,3,1
P0389,1,30,2,6,4,3,2.4,4,0
P0390,1,54,1,4,5,1,5.9,5,0
P0391,1,60,2,4,4,1,4.0,1,0
P0392,1,50,1,1,2,1,17.6,2,0
P0393,1,27,2,3,1,3,0.5,5,0
P0394,1,33,2,5,4,2,1.8,4,0
P0395,1,46,1,4,2,1,5.9,3,1
P0396,1,36,1,5,5,1,1.6,3,0
P0397,1,34,2,3,4,1,5.0,1,0
P0398,1,34,2,2,1,1,16.0,3,0
P0399,1,58,1,3,1,3,2.5,2,0
P0400,1,48,2,3,2,3,0.7,2,0
P0401,1,35,1,2,1,2,1.7,3,0
P0402,1,43,2,5,4,2,2.0,1,0
P0403,1,26,1,3,3,1,1.9,2,0
P0404,1,33,2,5,5,2,2.7,4,0
P0405,1,56,1,3,1,3,1.4,2,0
P0406,1,24,1,3,1,1,3.7,5,0
P0407,1,48,1,4,5,1,13.4,5,0
P0408,1,22,1,5,4,2,0.5,2,0
P0409,1,70,1,3,1,1,11.1,1,1
P0410,1,32,1,5,3,1,13.7,2,0
P0411,1,44,2,3,2,2,0.5,1,0
P0412,1,40,1,5,5,3,9.0,2,1
P0413,1,41,1,3,2,1,2.6,2,0
P0414,1,43,1,5,5,2,1.8,4,1
P0415,1,23,1,4,4,2,3.6,1,0
P0416,1,41,1,6,6,2,0.5,2,0
P0417,1,37,1,4,5,2,0.5,1,0
P0418,1,33,1,3,1,2,4.4,2,0
P0419,1,30,1,2,2,2,0.5,4,0
P0420,1,41,2,5,5,2,0.5,1,0
P0421,1,28,2,5,6,2,6.4,1,0
P0422,1,55,1,5,6,1,6.6,3,0
P0423,1,46,1,3,3,1,4.3,3,0
P0424,1,42,2,4,3,1,4.6,3,0
P0425,1,54,1,1,2,1,4.2,2,0
P0426,1,23,2,5,5,2,5.0,1,0
P0427,1,26,1,5,3,1,8.0,5,0
P0428,1,46,2,6,6,1,5.3,4,0
P0429,1,31,2,4,3,2,3.3,2,0
P0430,1,32,2,5,3,1,1.3,4,0
P0431,1,25,2,5,5,2,2.4,1,0
P0432,1,28,1,4,4,1,9.1,2,0
P0433,1,56,1,5,5,3,2.7,2,1
P0434,1,46,2,6,5,2,4.2,1,0
P0435,1,41,2,6,5,2,1.1,2,0
P0436,1,32,1,5,4,2,1.3,1,0
P0437,1,40,1,4,2,2,0.5,2,1
P0438,1,58,1,3,1,1,5.6,4,0
P0439,1,31,1,6,5,1,6.7,3,1
P0440,1,38,2,1,1,1,4.4,3,1
P0441,1,71,1,5,5,1,2.2,4,0
P0442,1,49,1,5,6,1,7.1,1,1
P0443,1,32,1,5,6,2,4.0,2,0
P0444,1,48,1,6,5,1,13.3,3,1
P0445,1,24,1,3,2,1,6.0,3,0
P0446,1,38,2,4,2,2,0.5,1,0
P0447,1,48,2,3,4,1,2.6,1,0
P0448,1,44,2,4,2,2,2.5,4,0
P0449,1,48,1,3,2,1,9.2,2,0
P0450,1,52,2,3,2,3,0.9,4,0
P0451,1,45,2,5,4,1,18.2,3,0
P0452,1,45,2,6,5,1,2.0,3,0
P0453,1,42,1,3,3,1,8.7,4,0
P0454,1,28,1,4,2,2,1.2,2,0
P0455,1,56,1,6,5,2,0.8,1,0
P0456,1,38,1,2,1,2,1.7,2,0
P0457,1,49,1,3,4,1,3.1,4,0
P0458,1,54,1,2,1,3,1.9,3,0
P0459,1,33,1,5,5,2,2.0,1,0
P0460,1,34,2,3,2,1,10.4,1,1
P0461,1,35,1,6,4,1,10.0,4,0
P0462,1,60,1,3,4,1,1.0,1,1
P0463,1,29,2,5,3,2,1.3,2,0
P0464,1,64,2,3,1,1,3.9,2,0
P0465,1,42,2,4,5,3,1.7,3,0
P0466,1,43,3,5,3,1,3.6,3,1
P0467,1,53,2,5,5,1,6.0,1,0
P0468,1,40,2,5,5,2,2.9,2,0
P0469,1,56,1,4,4,3,0.8,4,0
P0470,1,33,1,6,6,2,1.4,3,0
P0471,1,63,1,5,6,1,3.3,1,1
P0472,1,34,1,5,4,2,3.0,3,0
P0473,1,64,1,1,1,3,0.9,4,0
P0474,1,34,2,2,1,2,5.1,4,0
P0475,1,35,2,3,2,1,1.2,2,0
P0476,1,28,2,5,5,2,1.0,2,0
P0477,1,30,1,5,5,1,12.0,4,0
P0478,1,38,2,4,3,3,2.3,4,1
P0479,1,42,2,6,5,1,5.2,2,0
P0480,1,54,1,5,5,3,0.7,2,1
P0481,1,36,2,6,6,2,3.4,1,0
P0482,1,27,1,4,4,2,1.6,1,0
P0483,1,44,1,5,4,2,0.5,1,0
P0484,1,41,2,4,4,1,4.4,1,0
P0485,1,46,1,3,1,1,7.2,4,0
P0486,1,32,1,4,3,1,3.1,1,0
P0487,1,33,2,4,3,2,1.0,2,0
P0488,1,32,2,5,3,2,3.2,1,1
P0489,1,58,1,5,4,2,1.2,1,0
P0490,1,63,1,2,3,1,2.7,1,0
P0491,1,32,1,5,6,1,5.3,1,0
P0492,1,32,2,5,4,2,1.9,2,0
P0493,1,48,1,4,2,3,2.9,4,0
P0494,1,66,1,4,3,2,2.5,1,0
P0495,1,72,2,3,2,2,5.6,2,1
P0496,1,32,2,5,6,2,4.9,1,1
P0497,1,34,1,5,4,1,3.2,4,0
P0498,1,43,1,3,3,3,7.9,4,0
P0499,1,44,2,3,1,2,7.2,2,0
P0500,1,37,1,5,6,1,3.7,3,1
P0501,2,30,1,6,5,2,0.5,3,0
P0502,2,38,2,4,4,1,4.6,1,0
P0503,2,72,1,5,4,3,2.0,3,0
P0504,2,33,2,5,5,1,7.8,4,0
P0505,2,42,1,6,5,2,1.6,2,0
P0506,2,75,1,5,4,1,3.8,2,0
P0507,2,33,1,5,6,2,4.1,2,0
P0508,2,49,1,5,6,2,2.2,1,0
P0509,2,73,1,5,6,1,1.0,2,0
P0510,2,48,1,4,4,1,5.3,3,0
P0511,2,57,2,3,1,3,0.5,3,0
P0512,2,51,3,1,1,1,2.0,3,0
P0513,2,46,2,5,4,1,4.5,4,0
P0514,2,62,2,5,5,1,5.6,1,0
P0515,2,48,1,3,1,3,8.6,3,0
P0516,2,37,2,5,5,1,7.0,2,1
P0517,2,41,1,4,4,2,1.6,2,1
P0518,2,44,2,3,2,2,0.5,1,0
P0519,2,34,3,6,4,1,4.1,3,0
P0520,2,41,2,3,1,1,3.5,4,0
P0521,2,39,3,2,1,1,15.1,2,1
P0522,2,48,2,5,4,1,3.5,4,0
P0523,2,75,1,5,5,1,1.6,5,1
P0524,2,42,1,2,2,1,5.5,1,0
P0525,2,67,2,4,3,2,0.5,1,1
P0526,2,48,1,5,5,3,2.0,5,1
P0527,2,41,2,3,2,1,4.8,5,0
P0528,2,34,3,3,2,1,3.1,1,1
P0529,2,41,1,5,5,1,4.0,1,1
P0530,2,41,2,4,3,2,1.7,1,0
P0531,2,31,2,6,4,2,0.5,5,0
P0532,2,32,2,5,6,1,6.4,1,0
P0533,2,44,2,6,5,1,2.1,2,0
P0534,2,67,2,3,3,2,1.6,3,0
P0535,2,38,2,6,4,2,0.7,1,0
P0536,2,25,2,5,5,1,3.7,3,0
P0537,2,21,1,3,1,2,1.4,1,0
P0538,2,28,1,3,3,1,5.8,4,1
P0539,2,49,2,2,1,1,1.0,2,0
P0540,2,26,1,5,4,2,0.5,2,0
P0541,2,52,2,3,1,3,2.0,4,0
P0542,2,49,2,3,2,2,0.6,1,0
P0543,2,38,1,5,3,3,7.7,1,0
P0544,2,31,2,4,5,2,0.5,1,0
P0545,2,36,2,5,3,2,4.9,1,0
P0546,2,44,1,4,4,1,4.2,3,0
P0547,2,26,1,5,4,2,0.7,3,1
P0548,2,64,1,5,6,3,5.5,3,0
P0549,2,44,1,4,5,1,1.0,3,0
P0550,2,45,2,4,3,3,0.5,4,0
P0551,2,48,1,4,4,2,8.0,3,0
P0552,2,61,2,5,4,2,0.5,1,0
P0553,2,42,1,4,4,1,6.1,1,0
P0554,2,50,1,2,2,3,2.0,2,0
P0555,2,31,2,3,1,2,5.9,2,0
P0556,2,72,2,3,1,1,5.8,2,1
P0557,2,41,1,4,5,3,4.2,3,1
P0558,2,31,1,5,4,1,1.0,1,0
P0559,2,34,1,4,3,1,3.1,3,0
P0560,2,22,1,3,3,1,3.0,1,0
P0561,2,33,2,5,4,2,1.7,1,0
P0562,2,20,1,5,5,2,0.5,1,0
P0563,2,51,1,3,3,1,1.0,1,0
P0564,2,45,1,4,5,3,0.5,3,0
P0565,2,29,2,4,2,1,6.1,2,0
P0566,2,38,3,6,5,1,7.0,2,0
P0567,2,39,1,3,2,1,18.3,3,1
P0568,2,27,2,6,4,2,2.4,1,0
P0569,2,36,1,5,6,3,2.4,1,0
P0570,2,39,1,5,5,2,1.4,3,0
P0571,2,36,2,2,1,3,1.1,3,0
P0572,2,31,2,5,6,1,1.0,2,0
P0573,2,28,2,5,5,2,5.6,1,0
P0574,2,35,2,3,2,1,1.0,2,0
P0575,2,32,1,5,6,2,0.5,2,0
P0576,2,47,2,6,5,1,29.0,3,1
P0577,2,63,1,4,4,1,4.1,3,0
P0578,2,53,2,5,5,1,6.2,1,0
