participant_id,age,gender,education,income,tech_savviness,banking_frequency,previous_incidents,t1_attitudes_1,t1_attitudes_2,t1_attitudes_3,t1_attitudes_mean,t1_subjective_norms_1,t1_subjective_norms_2,t1_subjective_norms_3,t1_subjective_norms_mean,t1_pbc_1,t1_pbc_2,t1_pbc_3,t1_pbc_mean,t1_intentions_1,t1_intentions_2,t1_intentions_3,t1_intentions_mean,srb_1_check_statements,srb_2_strong_passwords,srb_3_two_factor_auth,srb_4_logout_properly,srb_5_verify_alerts,srb_total_mean,obj_scenario_1_phishing_sms,obj_score_1_phishing_sms,obj_scenario_2_fake_email,obj_score_2_fake_email,obj_scenario_3_public_wifi,obj_score_3_public_wifi,obj_scenario_4_password_sharing,obj_score_4_password_sharing,obj_scenario_5_suspicious_charge,obj_score_5_suspicious_charge,objective_total_score,predicted_behavior,intention_behavior_gap,gap_category,risk_perception,bank_trust,security_self_efficacy,months_since_training,primary_device,t1_date,t2_date,t1_response_time_minutes,t2_response_time_minutes
P0011,48,Female,4,5,6,3,1,4,4,4,4.0,2,2,2,2.0,4,4,4,4.0,5,5,5,5.0,5,5,5,5,4,4.8,call_bank_official,2.0,report_phishing,2.0,wait_until_home,2.0,refuse_completely,2.0,ask_family_members,1.0,4,4.8632043258257545,-0.06320432582575464,As expected,4,7,5,13,Mobile,2024-09-21,2024-10-21,14,5
P0012,42,Male,2,6,3,6,1,4,4,4,4.0,2,2,2,2.0,3,3,3,3.0,4,4,4,4.0,5,3,4,5,4,4.2,report_as_spam,2.0,verify_with_bank,2.0,wait_until_home,2.0,log_in_for_them,1.0,contact_bank_immediately,2.0,6,3.8138187780531707,0.38618122194682947,As expected,4,4,4,1,Mobile,2024-10-05,2024-11-09,38,2
P0013,29,Female,5,6,6,4,0,4,3,3,3.3333333333333335,4,4,4,4.0,7,6,7,6.666666666666667,5,5,5,5.0,6,6,5,6,6,5.8,report_as_spam,2.0,report_phishing,2.0,use_mobile_data,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,10,4.8632043258257545,0.9367956741742454,Over-performer,4,6,7,6,Mobile,2024-09-04,2024-10-15,18,3
P0014,18,Male,6,3,3,4,0,4,4,4,4.0,4,4,4,4.0,5,6,6,5.666666666666667,4,4,4,4.0,4,4,4,5,4,4.2,report_as_spam,2.0,report_phishing,2.0,wait_until_home,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,8,3.8138187780531707,0.38618122194682947,As expected,4,5,4,7,Mobile,2024-10-06,2024-11-12,17,2
P0015,24,Male,4,5,2,5,Missing,5,6,4,5.0,4,3,4,3.6666666666666665,4,4,4,4.0,6,6,6,6.0,5,5,5,6,6,5.4,click_immediately,0.0,report_phishing,2.0,use_mobile_data,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,6,5.912589873598337,-0.512589873598337,Under-performer,4,5,3,0,Desktop,2024-09-14,2024-10-24,17,5
P0016,20,Male,6,3,5,4,0,6,6,7,6.333333333333333,7,7,7,7.0,4,4,4,4.0,6,6,6,6.0,7,6,5,5,5,5.6,report_as_spam,2.0,verify_with_bank,2.0,use_mobile_data,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,10,5.912589873598337,-0.3125898735983377,As expected,5,3,5,10,Tablet,2024-10-14,2024-11-18,5,2
P0017,36,Female,2,1,6,5,0,4,4,4,4.0,1,1,1,1.0,3,3,3,3.0,3,3,3,3.0,4,3,2,3,5,3.4,call_bank_official,2.0,click_and_update,0.0,wait_until_home,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,9,2.7644332302805874,0.6355667697194125,Over-performer,5,6,5,3,Tablet,2024-09-03,2024-10-06,7,4
P0018,39,Female,4,5,7,4,0,4,4,4,4.0,6,6,6,6.0,5,5,5,5.0,5,6,6,5.666666666666667,6,5,5,7,7,6.0,report_as_spam,2.0,verify_with_bank,2.0,ask_for_password,1.0,create_joint_account,2.0,contact_bank_immediately,2.0,8,5.562794691007476,0.43720530899252363,As expected,7,5,6,1,Mobile,2024-10-27,2024-12-02,8,2
P0019,39,Male,4,1,3,5,0,6,6,6,6.0,5,4,5,4.666666666666667,3,3,3,3.0,4,4,4,4.0,5,3,4,3,4,3.8,ignore_message,1.0,verify_with_bank,2.0,use_mobile_data,2.0,log_in_for_them,1.0,ignore_small_amount,0.0,10,3.8138187780531707,-0.013818778053170888,As expected,4,3,4,3,Mobile,2024-09-20,2024-10-19,4,11
P0020,18,Male,4,3,5,2,1,5,5,5,5.0,6,6,6,6.0,4,4,4,4.0,5,5,4,4.666666666666667,6,4,3,5,5,4.6,ignore_message,1.0,report_phishing,2.0,use_mobile_data,2.0,refuse_completely,2.0,ignore_small_amount,0.0,8,4.5134091432348935,0.08659085676510614,As expected,5,6,5,0,Mobile,2024-09-08,2024-10-11,12,17
P0021,18,Male,3,3,4,3,0,4,5,6,5.0,5,5,5,5.0,4,4,4,4.0,6,6,6,6.0,6,6,7,5,5,5.8,call_bank_official,2.0,forward_to_friend,0.0,use_public_wifi,0.0,create_joint_account,2.0,contact_bank_immediately,2.0,8,5.912589873598337,-0.1125898735983375,As expected,6,5,3,17,Tablet,2024-10-27,2024-12-04,9,29
P0022,34,Female,3,5,5,6,0,5,5,5,5.0,7,7,7,7.0,7,7,7,7.0,5,5,5,5.0,5,5,7,5,5,5.4,report_as_spam,2.0,verify_with_bank,2.0,wait_until_home,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,9,4.8632043258257545,0.5367956741742459,Over-performer,4,5,6,4,Desktop,2024-10-25,2024-11-25,16,8
P0023,46,Female,2,5,2,6,0,4,4,4,4.0,5,5,5,5.0,3,4,4,3.6666666666666665,3,3,3,3.0,4,2,2,4,3,3.0,report_as_spam,2.0,delete_email,1.0,use_mobile_data,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,6,2.7644332302805874,0.2355667697194126,As expected,2,5,5,1,Mobile,2024-10-21,2024-11-24,5,3
P0024,20,Male,3,3,3,4,0,4,4,4,4.0,3,3,3,3.0,2,3,2,2.3333333333333335,4,4,4,4.0,3,2,3,4,3,3.0,report_as_spam,2.0,report_phishing,2.0,use_mobile_data,2.0,share_password,0.0,wait_and_see,0.0,7,3.8138187780531707,-0.8138187780531707,Under-performer,3,7,4,2,Mobile,2024-09-14,2024-10-22,3,8
P0025,36,Male,2,5,3,5,0,5,6,5,5.333333333333333,4,4,4,4.0,4,4,4,4.0,3,4,4,3.6666666666666665,Missing,Missing,Missing,Missing,Missing,,Missing,,Missing,,Missing,,Missing,,Missing,,8,,,Missing,2,4,4,10,Tablet,2024-09-01,Missing,3,Missing
P0026,37,Male,4,2,4,5,0,2,3,2,2.3333333333333335,1,1,1,1.0,4,3,2,3.0,4,4,4,4.0,5,3,4,4,2,3.6,call_bank_official,2.0,click_and_update,0.0,use_public_wifi,0.0,create_joint_account,2.0,contact_bank_immediately,2.0,10,3.8138187780531707,-0.21381877805317062,As expected,7,6,4,12,Mobile,2024-10-27,2024-11-27,3,6
P0027,27,Female,3,3,3,6,0,3,3,3,3.0,4,4,4,4.0,4,4,4,4.0,3,4,3,3.3333333333333335,3,1,2,3,3,2.4,call_bank_official,2.0,forward_to_friend,0.0,wait_until_home,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,9,3.114228412871449,-0.7142284128714489,Under-performer,6,7,6,0,Mobile,2024-09-20,2024-10-30,7,13
P0028,34,Male,2,5,5,2,1,4,4,4,4.0,4,4,4,4.0,2,2,2,2.0,4,4,4,4.0,4,2,1,4,3,2.8,call_bank_official,2.0,click_and_update,0.0,use_public_wifi,0.0,refuse_completely,2.0,ask_family_members,1.0,8,3.8138187780531707,-1.0138187780531709,Under-performer,6,7,3,0,Mobile,2024-09-14,2024-10-24,14,2
P0029,23,Male,4,5,6,4,1,4,3,5,4.0,3,3,3,3.0,4,4,4,4.0,4,3,4,3.6666666666666665,3,3,1,3,4,2.8,report_as_spam,2.0,verify_with_bank,2.0,use_mobile_data,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,7,3.4640235954623093,-0.6640235954623095,Under-performer,6,6,5,19,Mobile,2024-10-21,2024-11-28,16,9
P0030,18,Male,4,8,5,4,0,7,7,7,7.0,5,5,5,5.0,6,6,6,6.0,6,6,6,6.0,Missing,Missing,Missing,Missing,Missing,,Missing,,Missing,,Missing,,Missing,,Missing,,9,,,Missing,4,6,2,3,Mobile,2024-09-28,Missing,3,Missing
P0031,39,Female,5,2,6,6,1,5,5,5,5.0,4,4,4,4.0,2,3,3,2.6666666666666665,5,5,5,5.0,6,4,4,4,5,4.6,report_as_spam,2.0,report_phishing,2.0,use_public_wifi,0.0,refuse_completely,2.0,contact_bank_immediately,2.0,7,4.8632043258257545,-0.2632043258257548,As expected,7,6,2,1,Mobile,2024-10-09,2024-11-09,30,19
P0032,18,Female,4,4,5,7,1,6,6,6,6.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,7,5,6,6,7,6.2,report_as_spam,2.0,verify_with_bank,2.0,ask_for_password,1.0,create_joint_account,2.0,ignore_small_amount,0.0,8,4.8632043258257545,1.3367956741742457,Over-performer,5,7,6,1,Multiple,2024-10-15,2024-11-17,3,12
P0033,40,Male,3,4,3,5,0,7,7,7,7.0,3,3,2,2.6666666666666665,4,4,4,4.0,6,6,7,6.333333333333333,Missing,Missing,Missing,Missing,Missing,,Missing,,Missing,,Missing,,Missing,,Missing,,9,,,Missing,5,5,3,5,Mobile,2024-10-28,Missing,3,Missing
P0034,18,Female,5,6,6,3,2,4,4,4,4.0,4,4,3,3.6666666666666665,5,5,5,5.0,5,5,5,5.0,6,4,6,7,4,5.4,report_as_spam,2.0,delete_email,1.0,wait_until_home,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,10,4.8632043258257545,0.5367956741742459,Over-performer,6,6,5,11,Mobile,2024-10-27,2024-12-04,10,2
P0035,22,Female,4,2,3,5,1,4,4,4,4.0,3,3,4,3.3333333333333335,6,7,7,6.666666666666667,5,5,5,5.0,6,6,5,5,6,5.6,call_bank_official,2.0,report_phishing,2.0,use_public_wifi,0.0,create_joint_account,2.0,contact_bank_immediately,2.0,8,4.8632043258257545,0.7367956741742452,Over-performer,6,7,4,5,Mobile,2024-10-25,2024-11-27,5,6
P0036,18,Male,2,5,5,6,0,5,5,5,5.0,4,4,4,4.0,4,4,4,4.0,7,7,7,7.0,6,7,6,7,7,6.6,call_bank_official,2.0,delete_email,1.0,wait_until_home,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,9,6.96197542137092,-0.36197542137092054,As expected,6,5,5,0,Mobile,2024-10-29,2024-12-01,3,2
P0037,55,Female,4,4,6,5,0,6,6,6,6.0,7,7,7,7.0,4,4,4,4.0,5,5,5,5.0,5,5,5,6,4,5.0,report_as_spam,2.0,verify_with_bank,2.0,use_public_wifi,0.0,create_joint_account,2.0,ask_family_members,1.0,6,4.8632043258257545,0.13679567417424554,As expected,6,3,5,5,Mobile,2024-09-09,2024-10-10,3,10
P0038,25,Male,6,2,5,4,0,3,3,3,3.0,2,2,2,2.0,3,3,3,3.0,4,4,4,4.0,6,4,1,4,2,3.4,report_as_spam,2.0,verify_with_bank,2.0,use_mobile_data,2.0,refuse_completely,2.0,ignore_small_amount,0.0,7,3.8138187780531707,-0.4138187780531708,As expected,4,4,6,2,Mobile,2024-09-23,2024-10-25,3,4
P0039,19,Female,3,3,2,6,0,7,7,7,7.0,6,6,6,6.0,7,7,7,7.0,7,7,7,7.0,7,7,7,7,7,7.0,call_bank_official,2.0,report_phishing,2.0,wait_until_home,2.0,refuse_completely,2.0,ignore_small_amount,0.0,9,6.96197542137092,0.03802457862907982,As expected,5,6,3,9,Mobile,2024-09-16,2024-10-26,3,8
P0040,55,Male,3,3,3,6,1,5,5,5,5.0,4,5,4,4.333333333333333,5,5,6,5.333333333333333,4,4,4,4.0,6,3,4,3,5,4.2,call_bank_official,2.0,click_and_update,0.0,wait_until_home,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,7,3.8138187780531707,0.38618122194682947,As expected,4,4,5,5,Tablet,2024-10-18,2024-11-25,9,8
P0041,28,Non-binary/Other,2,4,6,4,0,5,6,6,5.666666666666667,6,6,7,6.333333333333333,5,5,5,5.0,5,5,5,5.0,5,5,6,6,4,5.2,call_bank_official,2.0,verify_with_bank,2.0,wait_until_home,2.0,refuse_completely,2.0,ignore_small_amount,0.0,7,4.8632043258257545,0.3367956741742457,As expected,3,5,4,26,Desktop,2024-09-27,2024-11-05,13,10
P0042,36,Female,2,6,4,5,1,4,4,5,4.333333333333333,3,4,3,3.3333333333333335,6,5,5,5.333333333333333,4,4,4,4.0,2,3,3,5,5,3.6,report_as_spam,2.0,verify_with_bank,2.0,wait_until_home,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,5,3.8138187780531707,-0.21381877805317062,As expected,6,5,3,7,Tablet,2024-10-10,2024-11-14,3,6
P0043,44,Female,3,4,4,6,1,6,6,6,6.0,4,4,4,4.0,5,5,5,5.0,5,5,6,5.333333333333333,6,4,5,4,6,5.0,ignore_message,1.0,report_phishing,2.0,wait_until_home,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,10,5.2129995084166145,-0.21299950841661452,As expected,6,6,4,8,Mobile,2024-09-08,2024-10-19,6,9
P0044,47,Female,4,4,5,6,0,5,5,5,5.0,6,6,6,6.0,4,4,4,4.0,5,4,4,4.333333333333333,6,4,4,4,5,4.6,report_as_spam,2.0,verify_with_bank,2.0,wait_until_home,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,6,4.163613960644032,0.436386039355968,As expected,2,4,2,5,Mobile,2024-09-28,2024-10-28,7,6
P0045,31,Female,2,4,5,5,0,6,7,6,6.333333333333333,5,5,6,5.333333333333333,4,4,4,4.0,7,7,7,7.0,7,7,5,7,7,6.6,report_as_spam,2.0,report_phishing,2.0,use_mobile_data,2.0,create_joint_account,2.0,ignore_small_amount,0.0,9,6.96197542137092,-0.36197542137092054,As expected,4,5,2,2,Mobile,2024-10-26,2024-12-05,8,2
P0046,45,Male,6,1,5,4,0,6,6,6,6.0,6,6,6,6.0,4,3,4,3.6666666666666665,6,6,6,6.0,Missing,Missing,Missing,Missing,Missing,,Missing,,Missing,,Missing,,Missing,,Missing,,10,,,Missing,5,7,4,7,Tablet,2024-09-18,Missing,5,Missing
P0047,34,Male,5,2,4,6,Missing,6,5,6,5.666666666666667,6,6,6,6.0,4,4,4,4.0,7,7,7,7.0,6,7,6,7,7,6.6,click_immediately,0.0,verify_with_bank,2.0,use_mobile_data,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,8,6.96197542137092,-0.36197542137092054,As expected,5,5,6,3,Mobile,2024-10-04,2024-11-14,9,9
P0048,20,Female,4,3,4,3,0,6,6,7,6.333333333333333,6,6,6,6.0,5,5,5,5.0,7,7,7,7.0,6,7,7,7,6,6.6,call_bank_official,2.0,report_phishing,2.0,use_mobile_data,2.0,share_password,0.0,contact_bank_immediately,2.0,10,6.96197542137092,-0.36197542137092054,As expected,7,6,5,10,Mobile,2024-09-02,2024-09-30,4,2
P0049,38,Female,5,3,5,5,0,4,3,3,3.3333333333333335,4,4,4,4.0,5,5,5,5.0,4,4,4,4.0,4,3,4,4,6,4.2,report_as_spam,2.0,verify_with_bank,2.0,use_mobile_data,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,5,3.8138187780531707,0.38618122194682947,As expected,4,5,6,2,Mobile,2024-10-25,2024-12-01,19,2
P0050,37,Female,2,2,5,3,0,4,5,4,4.333333333333333,5,5,5,5.0,5,5,5,5.0,6,6,6,6.0,7,5,6,5,5,5.6,report_as_spam,2.0,forward_to_friend,0.0,use_mobile_data,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,9,5.912589873598337,-0.3125898735983377,As expected,5,5,5,3,Mobile,2024-09-24,2024-11-01,4,3
P0051,40,Male,4,4,4,6,1,7,7,7,7.0,6,6,6,6.0,4,4,4,4.0,5,5,5,5.0,6,6,3,5,5,5.0,click_immediately,0.0,report_phishing,2.0,use_public_wifi,0.0,share_password,0.0,wait_and_see,0.0,9,4.8632043258257545,0.13679567417424554,As expected,6,6,7,7,Tablet,2024-09-10,2024-10-13,7,5
P0052,27,Female,4,Missing,6,4,0,6,6,6,6.0,4,4,4,4.0,6,6,6,6.0,6,7,6,6.333333333333333,7,7,7,6,6,6.6,call_bank_official,2.0,verify_with_bank,2.0,ask_for_password,1.0,refuse_completely,2.0,contact_bank_immediately,2.0,10,6.262385056189198,0.33761494381080137,As expected,4,3,6,7,Multiple,2024-10-19,2024-11-24,6,3
P0053,53,Male,5,2,4,6,0,4,5,4,4.333333333333333,3,3,3,3.0,6,6,6,6.0,5,5,5,5.0,4,6,5,6,5,5.2,call_bank_official,2.0,verify_with_bank,2.0,use_mobile_data,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,10,4.8632043258257545,0.3367956741742457,As expected,4,6,3,8,Mobile,2024-10-10,2024-11-19,8,6
P0054,37,Male,5,3,3,5,0,5,5,6,5.333333333333333,5,5,5,5.0,3,3,3,3.0,5,5,5,5.0,5,2,2,5,7,4.2,click_immediately,0.0,verify_with_bank,2.0,use_mobile_data,2.0,create_joint_account,2.0,contact_bank_immediately,2.0,5,4.8632043258257545,-0.6632043258257543,Under-performer,4,6,5,9,Mobile,2024-10-29,2024-12-06,14,4
P0055,42,Male,3,2,3,3,1,5,5,6,5.333333333333333,5,5,5,5.0,4,4,4,4.0,5,5,5,5.0,6,5,3,5,4,4.6,report_as_spam,2.0,report_phishing,2.0,use_mobile_data,2.0,log_in_for_them,1.0,ask_family_members,1.0,6,4.8632043258257545,-0.2632043258257548,As expected,5,6,4,3,Mobile,2024-09-08,2024-10-13,38,19
P0056,18,Female,6,6,3,7,0,6,6,6,6.0,5,5,5,5.0,5,5,5,5.0,6,6,6,6.0,5,6,6,6,7,6.0,click_immediately,0.0,verify_with_bank,2.0,use_mobile_data,2.0,refuse_completely,2.0,ask_family_members,1.0,8,5.912589873598337,0.08741012640166268,As expected,5,5,4,17,Mobile,2024-09-05,2024-10-07,4,9
P0057,18,Male,2,6,4,7,0,5,4,5,4.666666666666667,7,6,6,6.333333333333333,3,3,3,3.0,6,6,6,6.0,6,4,4,6,5,5.0,call_bank_official,2.0,verify_with_bank,2.0,use_mobile_data,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,6,5.912589873598337,-0.9125898735983373,Under-performer,6,5,7,0,Mobile,2024-09-03,2024-10-07,5,12
P0058,32,Female,5,5,6,6,1,4,4,4,4.0,3,3,3,3.0,5,5,5,5.0,4,4,4,4.0,4,4,5,4,5,4.4,call_bank_official,2.0,report_phishing,2.0,use_mobile_data,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,10,3.8138187780531707,0.5861812219468296,Over-performer,5,3,4,1,Multiple,2024-10-03,2024-11-04,3,2
P0059,29,Female,6,1,3,4,0,4,3,4,3.6666666666666665,3,3,3,3.0,5,5,5,5.0,5,5,5,5.0,5,6,4,5,5,5.0,call_bank_official,2.0,delete_email,1.0,wait_until_home,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,6,4.8632043258257545,0.13679567417424554,As expected,1,4,3,0,Tablet,2024-09-30,2024-10-30,10,6
P0060,29,Male,2,5,4,4,0,6,7,6,6.333333333333333,7,7,6,6.666666666666667,4,4,4,4.0,6,6,5,5.666666666666667,6,7,5,7,6,6.2,report_as_spam,2.0,report_phishing,2.0,use_mobile_data,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,10,5.562794691007476,0.6372053089925238,Over-performer,3,5,3,8,Mobile,2024-10-22,2024-11-27,3,5
P0061,28,Male,4,5,3,5,0,7,7,7,7.0,4,4,4,4.0,6,6,6,6.0,6,6,6,6.0,5,6,6,6,7,6.0,call_bank_official,2.0,click_and_update,0.0,use_mobile_data,2.0,create_joint_account,2.0,ignore_small_amount,0.0,8,5.912589873598337,0.08741012640166268,As expected,4,7,4,2,Mobile,2024-10-09,2024-11-16,18,3
P0062,37,Female,1,5,4,4,1,6,6,7,6.333333333333333,6,6,6,6.0,5,6,5,5.333333333333333,7,6,6,6.333333333333333,Missing,Missing,Missing,Missing,Missing,,Missing,,Missing,,Missing,,Missing,,Missing,,6,,,Missing,6,7,7,1,Multiple,2024-09-07,Missing,26,Missing
P0063,22,Female,3,1,2,7,0,5,5,6,5.333333333333333,4,4,4,4.0,5,5,5,5.0,5,5,5,5.0,6,4,3,6,7,5.2,report_as_spam,2.0,verify_with_bank,2.0,wait_until_home,2.0,refuse_completely,2.0,ignore_small_amount,0.0,8,4.8632043258257545,0.3367956741742457,As expected,4,5,6,5,Mobile,2024-10-15,2024-11-19,12,11
P0064,37,Female,4,4,4,5,0,6,6,6,6.0,5,5,5,5.0,5,4,4,4.333333333333333,7,7,7,7.0,7,7,7,7,7,7.0,call_bank_official,2.0,verify_with_bank,2.0,use_mobile_data,2.0,refuse_completely,2.0,ignore_small_amount,0.0,10,6.96197542137092,0.03802457862907982,As expected,5,6,1,7,Tablet,2024-09-21,2024-10-25,9,3
P0065,33,Female,4,6,4,2,Missing,6,6,7,6.333333333333333,4,4,4,4.0,7,7,7,7.0,7,7,7,7.0,7,7,7,7,7,7.0,report_as_spam,2.0,verify_with_bank,2.0,wait_until_home,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,10,6.96197542137092,0.03802457862907982,As expected,6,5,4,7,Mobile,2024-10-08,2024-11-11,3,11
P0066,18,Female,6,4,5,5,2,3,3,3,3.0,5,5,5,5.0,5,5,5,5.0,6,6,6,6.0,5,6,6,7,6,6.0,report_as_spam,2.0,delete_email,1.0,use_mobile_data,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,10,5.912589873598337,0.08741012640166268,As expected,5,3,4,6,Desktop,2024-09-13,2024-10-18,18,3
P0067,40,Female,4,4,4,4,0,4,4,4,4.0,5,6,5,5.333333333333333,4,4,3,3.6666666666666665,6,6,6,6.0,6,6,5,6,6,5.8,call_bank_official,2.0,report_phishing,2.0,wait_until_home,2.0,refuse_completely,2.0,wait_and_see,0.0,6,5.912589873598337,-0.1125898735983375,As expected,4,6,6,38,Mobile,2024-09-25,2024-10-30,3,20
P0068,19,Female,4,3,3,5,Missing,5,5,4,4.666666666666667,5,5,5,5.0,3,3,3,3.0,6,7,6,6.333333333333333,6,6,5,7,5,5.8,call_bank_official,2.0,report_phishing,2.0,ask_for_password,1.0,create_joint_account,2.0,ignore_small_amount,0.0,6,6.262385056189198,-0.46238505618919845,As expected,3,7,3,15,Tablet,2024-10-25,2024-11-27,12,9
P0069,28,Male,5,4,6,4,1,6,6,6,6.0,3,3,3,3.0,5,5,5,5.0,6,6,6,6.0,7,5,7,7,7,6.6,report_as_spam,2.0,verify_with_bank,2.0,use_mobile_data,2.0,refuse_completely,2.0,ask_family_members,1.0,10,5.912589873598337,0.6874101264016623,Over-performer,3,5,3,2,Desktop,2024-09-02,2024-10-12,4,14
