State,Region,Year,Broadband_Penetration_Percent,Mobile_Penetration_Percent,Internet_Users_Percent,Population_Million,Urban_Rural_Ratio,Electricity_Access_Percent
Abuja,North Central,2017,62.1,94.9,68.9,4.14,0.94,83.9
Abuja,North Central,2018,67.2,96.3,74.3,4.46,0.95,85.2
Abuja,North Central,2019,72.1,97.5,79.4,4.81,0.96,86.4
Abuja,North Central,2020,75.8,98.3,83.2,5.19,0.97,87.5
Abuja,North Central,2021,79.4,98.9,86.8,5.59,0.98,88.6
Abuja,North Central,2022,82.6,99.3,89.7,6.02,0.99,89.6
Abuja,North Central,2023,85.3,99.5,91.9,6.49,1.00,90.5
Abuja,North Central,2024,87.6,99.7,93.7,6.99,1.01,91.4
Enugu,South East,2015,29.8,75.4,37.2,4.41,0.58,51.3
Enugu,South East,2016,33.4,78.6,41.8,4.56,0.59,53.1
Enugu,South East,2017,37.3,81.6,46.7,4.72,0.60,54.8
Enugu,South East,2018,41.6,84.4,51.9,4.89,0.61,56.5
Enugu,South East,2019,46.2,87.1,57.4,5.06,0.62,58.1
Enugu,South East,2020,50.1,89.4,62.1,5.24,0.63,59.7
Enugu,South East,2021,54.3,91.5,66.9,5.43,0.64,61.2
Enugu,South East,2022,58.3,93.3,71.3,5.62,0.65,62.7
Enugu,South East,2023,62.0,94.9,75.3,5.82,0.66,64.1
Enugu,South East,2024,65.4,96.2,78.8,6.03,0.67,65.5
Borno,North East,2015,14.7,58.3,21.3,5.86,0.35,32.8
Borno,North East,2016,17.2,62.1,25.1,6.07,0.36,34.5
Borno,North East,2017,20.1,65.7,29.3,6.29,0.37,36.1
Borno,North East,2018,23.4,69.2,33.9,6.52,0.38,37.7
Borno,North East,2019,27.1,72.6,38.8,6.75,0.39,39.2
Borno,North East,2020,30.2,75.7,43.2,6.99,0.40,40.7
Borno,North East,2021,33.7,78.6,47.9,7.24,0.41,42.2
Borno,North East,2022,37.3,81.3,52.6,7.50,0.42,43.6
Borno,North East,2023,40.8,83.8,56.9,7.77,0.43,45.0
Borno,North East,2024,44.1,86.1,60.8,8.05,0.44,46.3
Anambra,South East,2015,32.6,77.8,40.1,5.53,0.61,54.7
Anambra,South East,2016,36.3,80.9,44.9,5.72,0.62,56.5
Anambra,South East,2017,40.4,83.8,50.1,5.92,0.63,58.2
Anambra,South East,2018,44.8,86.5,55.6,6.13,0.64,59.9
Anambra,South East,2019,49.6,89.0,61.3,6.35,0.65,61.5
Anambra,South East,2020,53.6,91.1,66.1,6.58,0.66,63.0
Anambra,South East,2021,57.8,93.0,71.1,6.81,0.67,64.5
Anambra,South East,2022,61.7,94.6,75.6,7.05,0.68,65.9
Anambra,South East,2023,65.3,95.9,79.5,7.30,0.69,67.3
Anambra,South East,2024,68.6,97.0,82.9,7.56,0.70,68.6
Bauchi,North East,2015,17.9,62.7,24.8,6.23,0.39,36.4
Bauchi,North East,2016,20.7,66.4,28.9,6.47,0.40,38.1
Bauchi,North East,2017,23.9,69.9,33.4,6.71,0.41,39.7
Bauchi,North East,2018,27.5,73.3,38.3,6.97,0.42,41.3
Bauchi,North East,2019,31.4,76.6,43.6,7.23,0.43,42.8
Bauchi,North East,2020,34.8,79.5,48.3,7.50,0.44,44.3
Bauchi,North East,2021,38.6,82.3,53.2,7.78,0.45,45.8
Bauchi,North East,2022,42.4,84.9,57.9,8.07,0.46,47.2
Bauchi,North East,2023,46.1,87.2,62.3,8.37,0.47,48.6
Bauchi,North East,2024,49.6,89.3,66.3,8.68,0.48,49.9
