anode_material,cathode_material,surface_finish,welding_technique,power_W,amplitude_um,force_N,time_ms,frequency_Hz,speed_mm_s,tab_thickness_um,preheat_temp_C,energy_density_J_mm2,contact_resistance_uOhm,peak_temperature_C,weld_nugget_area_mm2,IMC_thickness_um,tensile_shear_strength_N,penetration_depth_pct,surface_indentation_um,hardness_HV,porosity_pct,microstructure_uniformity_score,thermal_cycles_to_failure,resistance_increase_after_cycling_pct,strength_retention_pct,crack_initiation_cycle,max_operating_temp_C,bond_separation_force_N,electrochemical_stability_score,energy_efficiency_score,process_stability_index,overall_quality_score,weld_quality_class
Cu-Alloy,Al-Alloy-1050,Ni-Plated,Resistance-Spot,1632.0283903808581,0.0,2588.256238973095,194.35102923728113,0.0,0.0,300,100,35.20963398976562,42.475864786942395,275.1957260772808,3.3291451701769317,3.0686903763369453,563.5845963576428,52.66368924640063,55.22382382664339,105.23511679025995,5.179812391371801,48.080174630999956,1772,54.92432749664435,97.95454971904141,541,75.99432801538,545.5717874250563,66.58637694612537,55.407387909034284,9.604779550560188,55.070115881440444,Poor
Ni-plated-Cu,Al-Alloy-6061,Ni-Plated,Laser,3316.511820646045,0.0,22.649577519793795,32.61346673006304,25.69297861044923,141.27817023946852,500,40,41.692934204559066,57.02635986538509,188.27614461353775,3.9478641933319216,0.26966065917446225,719.0654118518747,42.376292771498335,0.0,82.45998929224329,4.174323918324495,53.65842212619169,1250,38.454915637557505,89.61637824663238,324,84.00953201593208,623.5022390580096,64.4369702723734,53.449849951948835,0.0,48.39974861189166,Poor
Ni-plated-Cu,Al-Alloy-6061,As-Received,Ultrasonic,1127.214862213141,31.657918953102634,1452.411918821148,419.97003051621954,20000.0,0.0,500,25,94.67929201639781,83.6512675762176,170.6457169323982,2.5063625996114416,0.1,373.41974110954385,51.000260486212944,19.042229423908488,84.38662862359664,5.3407042491133545,56.22930173631676,1155,53.34882756608103,87.97995999280096,362,75.21265526449037,332.5738736248935,49.2681134945116,35.886672654828516,9.612820805309076,36.92402456463888,Poor
Cu,Al-Alloy-1050,As-Received,Laser,5434.686668743298,0.0,90.04180571633304,32.02197140639013,40.51268119438306,76.34981917640557,500,60,65.8999825895405,95.16044726888317,245.16749207749433,1.9810990021047972,1.599078508688475,352.84553083424294,47.06222618264212,12.601297052017028,105.20343633912084,6.930993318169533,65.52965702048704,2465,72.63138936758928,93.0889106107031,773,66.96055138283401,358.4323930298331,69.40099158010352,59.68298340299541,9.7224220226417,54.133446100990014,Poor
Cu-Alloy,Al-Alloy-6061,As-Received,Resistance-Spot,7549.444959546633,0.0,2463.351627784859,351.0447146214029,0.0,0.0,300,60,472.7439361406468,75.31703386874557,216.35033551245184,2.8533732873605095,0.8255032197667365,460.50386519292675,47.97062643269879,42.99135830436975,85.7856765104002,4.9017913082590505,55.419464333084925,1833,51.52731355341784,94.68576549891121,567,81.01704585484303,384.9383358682213,57.91963374283124,43.201657895099515,16.888763683091298,52.02158338638762,Poor
Cu,Al-Alloy-3003,As-Received,Ultrasonic,1351.7629242123971,22.214554413775737,1074.1047564552077,727.7938001807463,20000.0,0.0,200,25,491.9023377779893,83.0283137617968,198.317241512488,3.7796638566582628,0.8993380891471939,607.2215984706206,45.626056393421166,21.110855602683756,86.98907971125823,6.662358351675304,60.90637286799353,1761,67.02873745141876,96.21320236750195,557,77.06457542604666,594.3562912280786,52.47908015367641,37.62179227842522,5.719833090668844,57.14786992788369,Poor
Cu,Al-Alloy-1050,Oxide-Removed,Resistance-Spot,6046.579469764905,0.0,1270.151979630973,294.14310374970466,0.0,0.0,150,60,238.59421992347293,59.89914050126916,262.50588455697647,3.298095329738232,2.115574227033325,629.1142840197775,53.95953562720911,28.83517620603688,111.03586877316583,8.122904840345043,68.88781237560815,2337,73.13183607216965,95.64238802367814,675,83.20540963079199,621.9370385113726,67.49948473036373,41.11206441399527,15.970106744036837,69.13425295870951,Poor
Cu-Alloy,Al-Alloy-1050,Oxide-Removed,Resistance-Spot,7244.325886239793,0.0,2077.8465649931572,407.66508659374176,0.0,0.0,300,25,419.5966824223039,52.971196360424656,224.57780556603979,4.560158122668659,0.8580623347390954,788.8371755932307,37.93031298198548,36.871823996688214,85.46511585226419,4.4650805898180055,67.08524340640734,1948,45.78041047270784,95.18809289865337,514,85.25183613250232,741.2313440418307,66.68246938143507,44.75502515477885,6.520063213146176,65.42369255840488,Poor
Cu,Al,Zn-Coated,Ultrasonic,1997.580139654257,32.880167968367324,1583.3972257513562,161.04528045620725,20000.0,0.0,300,100,107.2336179414565,57.60893405169125,280.48248328651204,4.0023875969559946,3.0633730066009437,592.9833618043716,39.37101247018168,32.48731388988231,103.17765551353986,5.246294765131609,71.10000667964694,1790,49.120449447273295,100.0,578,81.71764475555412,565.4174604042804,63.935056625048404,56.61290394886626,13.019745319409258,63.035392168597795,Poor
Cu-Alloy,Al,Ni-Plated,Ultrasonic,3359.2155410718597,23.23001218682055,1194.9769403038817,901.2094568391736,20000.0,0.0,200,100,1513.6784065875406,49.896721076462974,300.23503651711053,4.5392108758525875,3.836275146580444,783.2453049209315,53.46100873336705,20.854999842090486,120.313033265617,7.328634312940967,73.6387284273342,896,97.05516488197173,100.0,350,92.54426969429578,764.170087521327,68.47210649996441,48.63535185532629,21.471098214031514,56.497790494534485,Poor
Cu,Al-Alloy-6061,As-Received,Resistance-Spot,2186.4492268026474,0.0,1892.0031561458754,471.2696483723514,0.0,0.0,100,60,147.4025811009833,63.523704522155654,238.85948919037546,5.3101801738507035,1.5335456805447703,857.0808396998069,41.99374230895626,27.037627059352438,89.05369612459,5.411412248694878,63.58701922222659,2664,45.01552478286891,100.0,725,75.64413091267463,830.7956967777245,48.670102786814695,46.26995830842005,21.911090247227875,72.61143062948464,Poor
Cu-Alloy,Al-Alloy-6061,Cleaned,Resistance-Spot,4628.3075665461565,0.0,2693.4326798198886,383.345877989392,0.0,0.0,50,25,224.09442305407833,37.87000796968701,234.28095764226762,4.547492221174252,1.472538944251053,806.1352062336274,57.77432437112033,48.11617175442637,94.6333697253653,4.858115725203746,56.74313452866259,2203,56.00819063107619,91.82542942789321,674,79.7228280511893,701.8781000183502,60.798588122064636,57.16135738522731,15.495586630876028,65.07492065816426,Poor
Ni-plated-Cu,Al,Cleaned,Resistance-Spot,3938.4659951239355,0.0,1140.5173589861452,325.18116988955626,0.0,0.0,200,40,421.80202682549304,56.060792606488,223.3562267188826,4.066597038343505,1.7454068250026051,696.6390721982896,40.776628655087684,27.876442728411863,87.12415177447527,5.3605809050481446,59.51254982702008,2687,63.627050626927435,100.0,620,84.89294392840321,713.1562922273466,60.55979285498799,48.430624601006,2.1624863176231823,65.71748143021715,Poor
Cu,Al-Alloy-6061,As-Received,Laser,4876.859681898556,0.0,89.00053418175663,17.561762685725256,43.802465737594964,27.85656856976511,400,60,51.47025685286197,95.83766875261713,212.31532990301227,1.4462796961291224,0.46008865038911134,212.12231379480684,43.38514620107628,0.0,69.49075017427657,6.061008901107779,56.06263612318966,1316,75.02688175760055,99.97427372852995,395,80.214028316084,220.6731784069624,58.53885586825166,59.41674817287477,8.149911823110372,41.34967640506042,Poor
Ni-plated-Cu,Al-Alloy-1050,Oxide-Removed,Laser,3749.582933129559,0.0,3.050024993904943,2.830061248711506,84.03405045936924,78.43622186813995,200,100,5.876994605432403,82.46718726482015,296.0565093628942,2.8220477753415976,3.070413060959205,575.5840744897918,41.31753049025718,0.0,93.5762629845467,4.481646040515137,47.64026082084333,2043,60.84199036737725,99.88301921127052,627,72.49321719686205,560.8237028894135,55.79862470453104,63.964316408495094,0.5282821400470521,52.97622727508066,Poor
Cu,Al-Alloy-6061,Zn-Coated,Ultrasonic,1871.7954848411857,43.680923000479254,549.8840611907715,675.89546707935,20000.0,0.0,500,80,253.02761670075034,67.80339398832197,229.36243011608312,2.016674272277602,1.699522722514927,432.9605503712202,42.03211619844757,23.606118824960944,104.40963420079105,4.231458192354748,55.63748115159953,2426,54.52745832104666,100.0,661,78.20175758470928,427.96999305412135,65.42348678541713,40.55100577088581,17.027468347390872,59.44951322602622,Poor
Cu,Al-Alloy-1050,Zn-Coated,Laser,2276.260601176853,0.0,79.51861947687037,14.270780311841637,49.507427863507246,24.90671245503053,250,40,11.175868667362904,73.42464899090137,195.31747135476496,1.889344244623636,0.39694883868457514,378.60267377072006,42.20719352781577,6.323779674867964,99.42148786661491,4.3153810653926765,58.52205024422106,1386,41.47727461465883,89.76899479752882,486,80.3654684765289,354.07111304839,67.08556021025076,60.25735460312664,20.27174214314757,49.61991416675002,Poor
Ni-plated-Cu,Al-Alloy-3003,As-Received,Ultrasonic,674.5807865253308,46.60854910505922,996.234013515988,435.70230282036454,20000.0,0.0,50,100,587.8328042549188,86.16561753245719,302.5061715604571,3.188271385603691,3.642183111427962,449.8380936952882,46.323794037891346,19.656073708993134,99.69557507798831,5.949049277754649,49.278657443674255,1382,77.85292145442241,100.0,416,77.98963095436476,449.43803726353684,51.600437727731666,37.4192787808648,14.783144413831703,49.564555279692485,Poor
Cu,Al,Oxide-Removed,Resistance-Spot,5599.779299501168,0.0,1589.1822466947276,378.5176924528183,0.0,0.0,150,80,304.4435850644515,46.41515962791653,261.9380553604664,4.193050659979362,1.9695856233465232,734.354610253693,49.02037368727152,16.25999497663971,98.30501950792737,4.176834638871209,47.123399464194904,2732,46.16320041270656,98.99566786439789,877,85.90140679452385,726.8390685256577,69.39390161939298,47.90256001275236,16.092915698110094,70.12958843894327,Poor
Ni-plated-Cu,Al,As-Received,Ultrasonic,848.2179215207486,11.84010568087011,273.31184417414624,1297.6448176154101,20000.0,0.0,200,40,550.3427950349571,85.05512031767338,210.22779895937626,2.2190611778916733,0.7792498458803367,407.4035507998618,50.137634618470706,10.203481979995084,95.25313594760739,4.58610985956232,41.53081418158083,1600,48.841994025523974,88.44343428198114,622,71.31323770138158,346.5305574354919,58.44658406528602,35.89345630776492,0.0,48.31336866491603,Poor
Cu-Alloy,Al-Alloy-6061,Oxide-Removed,Resistance-Spot,3424.1302476258056,0.0,1661.6845323490286,342.39815718924353,0.0,0.0,100,40,121.56920786520212,59.62634560831742,235.13815171307192,3.247738982126138,1.5291749035000302,519.5790527907213,49.41715838249612,18.456507990118798,85.56892878410332,6.691375373934008,49.41818698123142,2608,64.42364182620533,93.51071244801948,750,83.29658392195527,454.55789952784335,60.242093918691104,37.53370653821805,0.0,61.062943518455384,Poor
Cu-Alloy,Al-Alloy-6061,Cleaned,Laser,5633.8996944371565,0.0,50.103988391525924,27.429494971603063,71.55673924583269,127.01172123408362,500,40,272.895906115353,71.7177256655059,198.5888421300662,2.234675711497803,1.032494983887518,411.58599638870515,46.652226300200134,8.610775707483375,94.6851270674105,7.246279794593883,53.660402512228735,1996,73.81990089222002,88.57892395594112,553,81.71642753493276,338.44493830185456,52.0097917892508,57.92183304154144,15.04367720800472,54.9874652922564,Poor
Ni-plated-Cu,Al-Alloy-6061,Zn-Coated,Laser,3653.518729195633,0.0,12.850035323391019,40.749004660064145,83.85755281695599,128.92853731929884,50,25,69.93771662964723,67.3691598055871,182.43597481510898,1.7407857398316389,0.1,258.0657151909756,38.780336283663644,12.665047800959027,86.29331017129041,9.16222915138911,53.99246528286803,844,83.16505678598101,82.2609061723428,316,79.20865194460706,220.5318018960921,57.440867597403034,52.286885872086614,12.10941694014715,36.3075150235339,Poor
Ni-plated-Cu,Al-Alloy-6061,Oxide-Removed,Ultrasonic,1143.7673591251223,25.090363329119036,270.1336381584205,965.55543807305,20000.0,0.0,100,100,1104.370793493713,70.75489321593827,321.1058692223544,3.5816780736491673,3.881499088209554,485.7824781527792,37.044064334520854,17.90165412010927,118.41063132730108,5.405951097048854,53.20267984894885,1120,84.00420692833522,95.19847628185389,330,77.88462840263301,465.1551888573878,56.54301432523641,36.48665375456961,11.967514320537394,43.974223356513335,Poor
Cu-Alloy,Al-Alloy-1050,Cleaned,Laser,4979.576654239147,0.0,28.185477477339994,6.790076553461157,72.70634488277355,129.49914088817798,250,80,21.886511087216924,78.95083505823601,270.1116523009149,1.417146600007306,2.4714649163412665,236.47050791530597,35.54230078520898,11.170663528434668,107.24558360734424,4.409570932702975,47.908309165349415,2705,47.69864838367843,100.0,714,80.02116548279028,202.84571341987686,62.253021017289,50.82271393271703,14.631039300000582,55.94289215238701,Poor
Cu,Al,Zn-Coated,Laser,2829.090182694652,0.0,56.85202837499583,29.220304187646146,75.84829797696761,34.26104859026846,50,100,75.39212729624914,55.94126831804071,293.52879731615474,1.5438591505085304,3.0966419011245465,319.61019951385765,48.72134453986835,0.0,104.61995833008523,5.64140290336783,46.75112376392509,1683,63.65288600625399,100.0,454,84.38640019237629,332.12970812067044,68.57451301591317,62.366099819479125,11.61652079674982,51.49424489005569,Poor
Ni-plated-Cu,Al,As-Received,Resistance-Spot,1721.8670818515284,0.0,2756.3822666989167,277.3635676015357,0.0,0.0,500,25,91.13579270100769,83.22758214784758,163.49414499154693,4.834460945293712,0.1,741.8313205276352,59.05304053000339,53.51448720452098,90.14491694199849,4.3143634593375095,58.50789974359976,987,36.38700174106894,93.6720050506793,337,83.89702744157096,669.1778007711357,61.464210064787736,48.71562921822677,14.662348720314483,42.709501957265786,Poor
Ni-plated-Cu,Al-Alloy-3003,As-Received,Ultrasonic,3216.145929257791,13.651467071445342,774.7645476627467,1430.0867538711268,20000.0,0.0,150,40,3066.2451279654088,85.56528552672872,301.31597000524846,7.28835118119859,3.0416625617250057,1203.7273573939951,46.23785417467233,19.126934988594538,124.96490515890957,1.4128013211701345,70.85509258528452,2341,25.725240601587977,100.0,746,88.78982094436009,1202.1657653491031,56.08831771879783,63.14317846234345,86.26634196969994,74.85061036783313,Good
Ni-plated-Cu,Al-Alloy-6061,Oxide-Removed,Ultrasonic,1379.6323150941935,23.14658181479664,1410.533220938669,1153.324341212752,20000.0,0.0,50,100,3182.327061843669,36.84783457252539,367.1465887869745,6.682929569531593,5.541165336252892,922.4306185449828,50.39281679190138,42.12457658492711,148.84322595901745,4.961971029400865,76.46416073016157,727,119.00813214268416,97.10888060109772,239,88.21131937059818,881.8199515556553,54.695994989247346,59.698317654774,80.80393839998699,54.46724347361814,Poor
Cu,Al-Alloy-1050,Cleaned,Resistance-Spot,7971.518694212304,0.0,639.6778866933751,381.666000555954,0.0,0.0,250,60,383.14147783773933,45.534138813305695,230.02855752302315,3.664521586821599,1.9054429668761679,610.7554739921695,41.73380365119451,13.802060513265074,110.5522795646594,4.014696248008487,56.82245493744872,2782,48.09040949562904,100.0,856,88.63178807860423,574.7594456463494,69.15409097478819,49.97944795837623,0.0,72.74146976497019,Poor
Ni-plated-Cu,Al-Alloy-6061,As-Received,Laser,5103.301308305556,0.0,86.68687053108414,42.085557424435265,48.3482327542247,52.2895193384958,50,40,78.67969165898498,92.3086544805315,227.62692777584087,2.495473195844715,1.5241148557690958,488.97420724505275,40.52969688447111,0.0,89.867852790111,5.195719095168583,52.16623641706146,2680,55.079437392287694,100.0,738,73.56653722511406,459.0680095341802,44.19991493815992,56.14396748597113,24.03101322236019,60.899417442032366,Poor
Cu-Alloy,Al,Oxide-Removed,Ultrasonic,1199.6842172735833,33.25221668907129,1753.649339580207,1332.5039560937835,20000.0,0.0,400,25,399.64599139508096,55.391092926652,190.8672464755008,3.5798664123946757,0.5114574759065199,599.2846133732324,53.57912117251054,28.058255032458163,81.351237910777,4.090152442700351,62.15570720091673,1206,48.170471360406964,87.78036207457848,324,89.91523329867572,528.6513863174828,69.49212189628828,38.03583275547714,0.0,50.41407164528801,Poor
Cu,Al-Alloy-6061,Zn-Coated,Laser,4394.996575707599,0.0,48.16669879641153,19.52139191599047,73.4575927866994,57.25758934175471,150,60,75.64454198530183,62.8943588760295,265.1780457198297,2.7153372687278696,2.2920570096449766,498.0580680377019,45.236830315345635,4.727786224704217,99.83296440290735,4.378016354040197,57.727222150945806,2645,35.88333979656983,100.0,811,79.94874283380764,500.4184921643808,75.33982883091012,70.77775628487501,8.687042484308751,70.49378113681306,Poor
Cu-Alloy,Al-Alloy-6061,Cleaned,Ultrasonic,2968.3710556300794,39.76846627773192,1425.8709687744363,432.5090598094579,20000.0,0.0,200,25,641.9236872180868,63.50779472025341,191.79444258872059,4.106498397620446,0.5426949902013056,745.1159237548125,40.939087623123754,21.34399947531596,79.96698201325073,4.655296034964566,71.92341221587354,1565,53.32592975128165,98.9399511018193,502,86.62582690718645,697.8167667732295,60.78821118224187,44.84678219111354,20.849394003330303,60.48096824551433,Poor
Cu,Al-Alloy-6061,As-Received,Laser,2899.847073836058,0.0,80.21092490267341,48.91713276895927,60.04045347783261,71.3104137727409,500,100,47.56291376978095,104.11973017471527,254.7879362455791,2.9376127130362604,2.3447568094613653,597.1173067307639,34.470015556351534,0.0,83.55185799322552,4.172366527380316,60.68648440877029,2489,49.29951893721982,100.0,787,69.73093124696825,611.2156873769724,59.95170229919264,60.538940830728336,6.943573179111418,60.10315667170422,Poor
Cu,Al-Alloy-6061,Ni-Plated,Resistance-Spot,7785.117749333693,0.0,1807.744610425372,333.22938716086816,0.0,0.0,300,25,350.90799475479554,47.28380339036731,184.32489541941712,6.297822974038828,0.1,1089.3257221175315,40.048577196064294,39.88428485802436,69.13092388500422,4.052784243829732,73.78715525996931,1197,55.01470678383897,90.14425498493992,366,91.3222045053166,998.5937476969464,60.19360111737963,53.49236164116125,13.018098142848999,63.446157625160176,Poor
Cu-Alloy,Al-Alloy-3003,As-Received,Resistance-Spot,2966.7423271456123,0.0,2876.028710191397,450.61870275091235,0.0,0.0,200,80,249.89989298404362,72.80382965448408,266.3544337552237,5.207456362105432,2.9102533234169994,863.6531318760547,46.07892015105452,46.01822691242772,111.54760782467552,4.658962247700753,50.12052282656067,1976,51.62746571179664,100.0,555,80.63857730587182,840.0769756795266,61.48951075422105,47.39706579886545,18.636316557992544,60.0420439097115,Poor
Cu-Alloy,Al-Alloy-6061,Zn-Coated,Laser,2635.476111944297,0.0,22.939474570494966,14.03095832324771,42.43105856847414,59.39047394230991,150,25,30.83040284311052,66.59909207879468,218.70733804525003,3.024855149945343,1.7341544116293246,651.7940771896958,33.35734881562222,12.054894106675864,89.4282097787683,5.075772612801982,46.803993061982425,2460,64.93275111030357,100.0,702,82.33173856110268,645.1427327634223,62.71834431770443,54.28152605784835,14.177075314068887,60.311368739244536,Poor
Cu,Al-Alloy-6061,Oxide-Removed,Ultrasonic,899.5553756712491,13.048015183966527,1892.95728884369,683.2946808338709,20000.0,0.0,50,40,1229.3228066233578,53.07777578529832,233.7925481419642,6.1591775514063105,1.530041386708217,943.9551174011577,53.91254092857221,43.47884161786831,86.3634441905886,6.465936516768578,60.28806520119288,2258,60.54436116606128,100.0,723,85.66816846322196,940.4306830478138,57.119934482932685,51.156517892914756,15.100648578330404,67.35730245514294,Poor
