ParticipantID,Age,Gender,Education,Prior_Fraud_Experience,Tech_Savviness,T1_T2_TimeLag_Days,T1_ATT1,T1_ATT2,T1_ATT3,T1_ATT4,T1_ATT5,T1_ATT_Mean,T1_ATT_Z,T1_SN1,T1_SN2,T1_SN3,T1_SN4,T1_SN_Mean,T1_SN_Z,T1_PBC1,T1_PBC2,T1_PBC3,T1_PBC4,T1_PBC5,T1_PBC_Mean,T1_PBC_Z,T1_INT1,T1_INT2,T1_INT3,T1_INT4,T1_INT_Mean,T1_INT_Z,T2_SRB1_CheckStatements,T2_SRB2_StrongPasswords,T2_SRB3_TwoFactorAuth,T2_SRB4_LogOut,T2_SRB5_VerifyAlerts,T2_SRB_Mean,T2_SRB_Z,T2_SRB_Consistency,T2_Scenario1_PhishingSMS,T2_Scenario2_EmailAttachment,T2_Scenario3_PublicWiFi,T2_Scenario4_PasswordSharing,T2_Scenario5_Enable2FA,T2_Objective_Score,T2_Objective_Z,T2_Intention_Behavior_Gap,T2_Gap_Magnitude,T2_Gap_Direction
P0013,43,1,1,0,7,31,6,6,6,5,6,5.8,0.31975860991039934,4,3,4,2,3.25,-1.8304058706297672,5,6,5,5,5,5.2,0.001145610665712712,5,5,5,5,5.0,-0.3740720713072172,6,6,6,6,6,6.0,-0.07779427793430362,0.0,1,1,2,1,1,6,0.11674168108355583,0.1003602700953099,0.1003602700953099,0
P0014,18,1,4,1,1,28,7,6,6,5,7,6.2,0.8238825444538207,5,4,5,6,5.0,0.04752310049373789,2,2,2,2,1,1.8,-3.4070461198277107,4,4,5,5,4.5,-1.1604097587398055,3,4,4,4,4,3.8,-2.8255738196504936,0.39999999999999997,0,0,0,0,0,0,-2.947727447359784,-1.7577412642388728,1.7577412642388728,-1
P0015,18,1,4,0,3,28,7,7,6,6,7,6.6,1.328006478997241,3,4,4,4,3.75,-1.2938547360230515,7,7,6,7,7,6.8,1.6050005426626173,6,6,6,6,6.0,1.1986033035579593,7,7,7,7,7,7.0,1.1711964228457827,0.0,2,2,1,2,1,8,1.138231390564669,0.41656333876367313,0.41656333876367313,1
P0016,31,0,3,1,1,31,6,6,6,5,6,5.8,0.31975860991039934,2,3,4,3,3.0,-2.098681437933125,4,5,6,5,5,5.0,-0.1993362558339006,6,6,6,6,6.0,1.1986033035579593,7,7,7,7,7,7.0,1.1711964228457827,0.0,1,2,1,1,2,7,0.6274865358241124,0.41656333876367313,0.41656333876367313,1
P0017,24,0,3,1,5,33,4,4,6,5,6,5.0,-0.6884892591764423,6,6,6,5,5.75,0.8523498024038115,6,4,5,6,5,5.2,0.001145610665712712,4,4,4,4,4.0,-1.9467474461723937,5,5,5,5,5,5.0,-1.32678497871439,0.0,1,2,1,0,1,5,-0.39400317365700077,-0.21584279857305333,0.21584279857305333,0
P0018,44,1,2,0,6,30,4,5,5,5,4,4.6,-1.1926131937198636,5,6,7,5,5.75,0.8523498024038115,3,3,3,3,3,3.0,-2.2041549208300317,4,4,4,4,4.0,-1.9467474461723937,5,5,5,5,5,5.0,-1.32678497871439,0.0,2,0,1,1,1,5,-0.39400317365700077,-0.21584279857305333,0.21584279857305333,0
P0019,26,0,1,0,3,30,6,6,5,6,6,5.8,0.31975860991039934,4,4,4,5,4.25,-0.7573036014163357,6,4,5,5,7,5.4,0.20162747716532603,6,5,5,6,5.5,0.41226561612537105,6,6,6,6,6,6.0,-0.07779427793430362,0.0,1,2,1,1,0,5,-0.39400317365700077,-0.24153819557050848,0.24153819557050848,0
P0020,18,1,2,0,7,35,6,4,6,6,5,5.4,-0.1843653246330209,6,6,6,6,6.0,1.1206253697071693,6,7,5,5,6,5.8,0.6025912101645517,6,6,6,6,6.0,1.1986033035579593,7,7,7,7,7,7.0,1.1711964228457827,0.0,2,2,2,1,1,8,1.138231390564669,0.41656333876367313,0.41656333876367313,1
P0021,61,0,4,0,2,30,6,6,6,7,6,6.2,0.8238825444538207,5,6,5,5,5.25,0.31579866779709576,4,5,5,3,5,4.4,-0.8007818553327396,4,4,4,4,4.0,-1.9467474461723937,4,4,4,4,4,4.0,-2.5757756794944764,0.0,1,0,0,1,0,2,-1.9262377378786706,-1.2158427985730533,1.2158427985730533,-1
P0022,36,1,1,1,7,37,5,5,5,5,5,5.0,-0.6884892591764423,5,6,6,6,5.75,0.8523498024038115,7,6,6,5,5,5.8,0.6025912101645517,4,4,4,4,4.0,-1.9467474461723937,5,5,5,5,5,5.0,-1.32678497871439,0.0,1,2,1,1,2,7,0.6274865358241124,-0.21584279857305333,0.21584279857305333,0
P0023,41,0,2,0,4,31,6,6,6,6,6,6.0,0.57182057718211,7,6,5,7,6.25,1.3889009370105272,6,4,6,5,6,5.4,0.20162747716532603,5,5,5,6,5.25,0.019096772409076933,6,6,6,6,6,6.0,-0.07779427793430362,0.0,1,1,0,1,1,4,-0.9047480283975574,-0.07058896273759885,0.07058896273759885,0
P0024,18,1,2,0,2,24,5,4,4,4,4,4.2,-1.696737128263284,3,3,3,4,3.25,-1.8304058706297672,5,6,5,5,5,5.2,0.001145610665712712,3,4,4,4,3.75,-2.339916289888688,5,5,5,5,5,5.0,-1.32678497871439,0.0,1,0,1,0,0,2,-1.9262377378786706,-0.04489356574014458,0.04489356574014458,0
P0025,31,1,3,0,5,32,4,5,4,5,4,4.4,-1.4446751609915731,6,6,7,7,6.5,1.657176504313885,5,5,4,6,4,4.8,-0.3998181223335139,5,5,5,5,5.0,-0.3740720713072172,7,6,7,6,7,6.6,0.6716001425337478,0.48989794855663565,0,0,1,1,1,3,-1.415492883138114,0.7003602700953095,0.7003602700953095,1
P0026,41,2,4,0,4,31,7,5,7,7,7,6.6,1.328006478997241,5,6,5,5,5.25,0.31579866779709576,5,6,5,5,5,5.2,0.001145610665712712,5,6,5,5,5.25,0.019096772409076933,7,6,6,7,6,6.4,0.42180200237773136,0.48989794855663565,1,1,0,1,1,4,-0.9047480283975574,0.3294110372624015,0.3294110372624015,1
P0027,22,0,2,1,4,33,5,6,5,5,4,5.0,-0.6884892591764423,5,6,5,5,5.25,0.31579866779709576,5,5,6,6,6,5.6,0.40210934366493845,6,6,6,6,6.0,1.1986033035579593,6,6,6,6,7,6.2,0.17200386222171388,0.39999999999999997,1,1,1,2,2,7,0.6274865358241124,-0.3834366612363267,0.3834366612363267,-1
P0028,45,1,2,0,4,32,6,6,7,5,6,6.0,0.57182057718211,6,5,5,6,5.5,0.5840742351004536,4,3,3,4,4,3.6,-1.6027093213311925,6,6,6,6,6.0,1.1986033035579593,6,7,7,7,7,6.8,0.9213982826897652,0.39999999999999997,0,1,1,0,2,4,-0.9047480283975574,0.21656333876367295,0.21656333876367295,0
P0029,30,1,3,1,6,29,5,7,6,7,7,6.4,1.0759445117255313,5,6,6,6,5.75,0.8523498024038115,4,4,5,5,5,4.6,-0.6002999888331272,6,5,6,5,5.5,0.41226561612537105,6,7,6,6,6,6.2,0.17200386222171388,0.39999999999999997,0,1,0,1,1,3,-1.415492883138114,-0.04153819557050831,0.04153819557050831,0
P0030,35,1,3,0,5,26,5,6,5,5,7,5.6,0.06769664263868864,4,4,4,4,4.0,-1.0255791687196936,5,4,3,4,5,4.2,-1.001263721832353,5,5,5,5,5.0,-0.3740720713072172,4,4,5,4,4,4.2,-2.3259775393384587,0.39999999999999997,1,0,0,1,2,4,-0.9047480283975574,-1.69963972990469,1.69963972990469,-1
P0031,30,1,2,1,4,29,5,6,6,5,7,5.8,0.31975860991039934,4,5,5,5,4.75,-0.22075246680962,4,5,6,5,6,5.2,0.001145610665712712,6,6,6,6,6.0,1.1986033035579593,7,7,7,7,7,7.0,1.1711964228457827,0.0,2,0,2,2,1,7,0.6274865358241124,0.41656333876367313,0.41656333876367313,1
P0032,67,1,3,0,5,27,5,5,5,5,5,5.0,-0.6884892591764423,3,5,5,6,4.75,-0.22075246680962,5,5,4,5,4,4.6,-0.6002999888331272,5,5,5,5,5.0,-0.3740720713072172,4,4,4,4,5,4.2,-2.3259775393384587,0.39999999999999997,1,2,1,0,2,6,0.11674168108355583,-1.69963972990469,1.69963972990469,-1
P0033,39,0,1,0,6,28,5,5,5,5,6,5.2,-0.4364272919047316,5,5,6,6,5.5,0.5840742351004536,7,7,6,6,6,6.4,1.2040368096633915,5,4,5,5,4.75,-0.7672409150235113,7,7,7,7,7,7.0,1.1711964228457827,0.0,1,2,2,2,2,9,1.6489762453052257,1.2713095029282186,1.2713095029282186,1
P0034,24,1,2,1,4,31,6,6,6,4,6,5.6,0.06769664263868864,3,4,4,4,3.75,-1.2938547360230515,6,6,7,6,7,6.4,1.2040368096633915,5,6,6,5,5.5,0.41226561612537105,6,7,6,7,6,6.4,0.42180200237773136,0.48989794855663565,2,2,2,1,1,8,1.138231390564669,0.15846180442949187,0.15846180442949187,0
P0035,52,1,3,0,4,35,6,6,6,7,6,6.2,0.8238825444538207,5,6,5,5,5.25,0.31579866779709576,5,5,5,5,5,5.0,-0.1993362558339006,5,5,5,5,5.0,-0.3740720713072172,6,7,7,7,6,6.6,0.6716001425337478,0.4898979485566356,1,0,1,1,1,4,-0.9047480283975574,0.7003602700953095,0.7003602700953095,1
P0036,21,1,3,1,2,31,3,3,3,2,3,2.8,-3.4611708991652574,6,6,6,6,6.0,1.1206253697071693,4,6,5,6,6,5.4,0.20162747716532603,5,5,5,5,5.0,-0.3740720713072172,7,7,6,7,7,6.8,0.9213982826897652,0.39999999999999997,1,0,2,2,2,7,0.6274865358241124,0.9003602700953097,0.9003602700953097,1
P0037,43,0,4,0,3,26,5,5,5,5,5,5.0,-0.6884892591764423,5,5,6,5,5.25,0.31579866779709576,4,5,5,6,6,5.2,0.001145610665712712,5,5,5,5,5.0,-0.3740720713072172,5,5,5,5,5,5.0,-1.32678497871439,0.0,1,0,1,1,1,4,-0.9047480283975574,-0.8996397299046901,0.8996397299046901,-1
P0038,18,0,2,0,5,31,5,6,5,7,6,5.8,0.31975860991039934,5,7,6,6,6.0,1.1206253697071693,6,5,5,6,7,5.8,0.6025912101645517,6,5,6,6,5.75,0.8054344598416652,6,6,7,7,7,6.6,0.6716001425337478,0.48989794855663565,2,2,0,2,2,8,1.138231390564669,0.18751257159658152,0.18751257159658152,0
P0039,20,1,3,0,3,33,5,5,5,4,5,4.8,-0.9405512264481529,4,4,6,4,4.5,-0.48902803411297785,6,5,5,5,6,5.4,0.20162747716532603,5,6,5,5,5.25,0.019096772409076933,6,6,6,6,6,6.0,-0.07779427793430362,0.0,0,1,1,0,2,4,-0.9047480283975574,-0.07058896273759885,0.07058896273759885,0
P0040,42,1,3,0,5,28,4,5,5,5,5,4.8,-0.9405512264481529,3,4,4,4,3.75,-1.2938547360230515,5,6,5,5,5,5.2,0.001145610665712712,5,5,5,6,5.25,0.019096772409076933,7,7,7,7,7,7.0,1.1711964228457827,0.0,1,1,1,1,1,5,-0.39400317365700077,0.9294110372624012,0.9294110372624012,1
P0041,51,0,1,0,6,29,6,6,6,6,7,6.2,0.8238825444538207,4,4,4,3,3.75,-1.2938547360230515,5,5,5,5,4,4.8,-0.3998181223335139,5,5,5,5,5.0,-0.3740720713072172,5,6,5,6,6,5.6,-0.5773905582463386,0.48989794855663565,1,2,1,1,1,6,0.11674168108355583,-0.29963972990469045,0.29963972990469045,0
P0042,42,1,3,0,2,30,5,4,5,5,5,4.8,-0.9405512264481529,6,6,6,5,5.75,0.8523498024038115,4,4,4,5,4,4.2,-1.001263721832353,4,4,4,4,4.0,-1.9467474461723937,5,5,4,5,5,4.8,-1.5765831188704074,0.39999999999999997,1,0,0,0,0,1,-2.436982592619227,-0.4158427985730535,0.4158427985730535,-1
P0043,38,0,2,0,5,27,5,4,4,5,5,4.6,-1.1926131937198636,5,4,3,4,4.0,-1.0255791687196936,4,4,4,4,5,4.2,-1.001263721832353,5,5,5,5,5.0,-0.3740720713072172,6,6,6,5,6,5.8,-0.32759241809032114,0.39999999999999997,0,1,0,2,2,5,-0.39400317365700077,-0.09963972990469028,0.09963972990469028,0
P0044,35,0,4,0,4,31,6,6,7,6,6,6.2,0.8238825444538207,5,6,5,5,5.25,0.31579866779709576,6,5,7,4,5,5.4,0.20162747716532603,6,7,6,6,6.25,1.5917721472742534,6,6,6,6,6,6.0,-0.07779427793430362,0.0,2,1,1,1,2,7,0.6274865358241124,-0.7543858940692356,0.7543858940692356,-1
P0045,18,0,1,0,7,29,7,6,7,6,5,6.2,0.8238825444538207,5,4,4,5,4.5,-0.48902803411297785,4,5,5,5,4,4.6,-0.6002999888331272,5,5,6,5,5.25,0.019096772409076933,6,6,6,6,5,5.8,-0.32759241809032114,0.39999999999999997,2,1,2,1,1,7,0.6274865358241124,-0.270588962737599,0.270588962737599,0
P0046,29,0,3,1,5,31,6,7,6,6,7,6.4,1.0759445117255313,4,4,6,5,4.75,-0.22075246680962,2,1,3,3,1,2.0,-3.2065642533280974,5,5,5,5,5.0,-0.3740720713072172,3,4,4,4,4,3.8,-2.8255738196504936,0.39999999999999997,0,2,0,0,2,4,-0.9047480283975574,-2.0996397299046903,2.0996397299046903,-1
P0047,33,1,1,1,6,27,6,6,6,6,7,6.2,0.8238825444538207,3,2,1,1,1.75,-3.4400592744499146,5,5,6,5,6,5.4,0.20162747716532603,5,5,5,5,5.0,-0.3740720713072172,7,7,7,7,7,7.0,1.1711964228457827,0.0,2,2,1,1,1,7,0.6274865358241124,1.10036027009531,1.10036027009531,1
P0048,55,0,4,1,5,28,7,7,7,7,7,7.0,1.8321304135406622,6,4,3,4,4.25,-0.7573036014163357,5,5,6,6,5,5.4,0.20162747716532603,5,6,6,6,5.75,0.8054344598416652,6,6,6,6,6,6.0,-0.07779427793430362,0.0,2,1,2,2,1,8,1.138231390564669,-0.4124874284034181,0.4124874284034181,-1
P0049,45,1,3,1,1,32,5,4,6,4,3,4.4,-1.4446751609915731,5,6,6,5,5.5,0.5840742351004536,5,5,7,5,6,5.6,0.40210934366493845,6,6,6,6,6.0,1.1986033035579593,7,7,7,7,7,7.0,1.1711964228457827,0.0,1,1,2,2,2,8,1.138231390564669,0.41656333876367313,0.41656333876367313,1
P0050,18,2,3,0,5,28,5,5,4,5,4,4.6,-1.1926131937198636,5,5,7,7,6.0,1.1206253697071693,7,7,7,7,7,7.0,1.8054824091622308,5,5,5,5,5.0,-0.3740720713072172,6,6,6,6,6,6.0,-0.07779427793430362,0.0,1,2,2,2,1,8,1.138231390564669,0.1003602700953099,0.1003602700953099,0
P0051,44,1,1,1,7,35,6,4,4,6,6,5.2,-0.4364272919047316,7,7,7,7,7.0,2.193727638920601,6,5,4,5,6,5.2,0.001145610665712712,6,6,5,6,5.75,0.8054344598416652,7,7,7,7,7,7.0,1.1711964228457827,0.0,2,2,2,1,2,9,1.6489762453052257,0.5875125715965819,0.5875125715965819,1
P0052,34,1,3,0,5,28,6,6,6,6,5,5.8,0.31975860991039934,6,5,5,6,5.5,0.5840742351004536,5,4,5,5,6,5.0,-0.1993362558339006,5,5,5,5,5.0,-0.3740720713072172,5,5,5,5,5,5.0,-1.32678497871439,0.0,1,1,1,1,1,5,-0.39400317365700077,-0.8996397299046901,0.8996397299046901,-1
P0053,29,0,2,0,6,30,7,6,6,6,5,6.0,0.57182057718211,6,6,6,5,5.75,0.8523498024038115,4,5,4,6,4,4.6,-0.6002999888331272,6,5,5,6,5.5,0.41226561612537105,7,7,7,6,7,6.8,0.9213982826897652,0.39999999999999997,2,0,0,0,1,3,-1.415492883138114,0.5584618044294913,0.5584618044294913,1
P0054,49,1,4,0,6,32,5,5,5,6,5,5.2,-0.4364272919047316,6,6,5,7,6.0,1.1206253697071693,6,5,5,6,6,5.6,0.40210934366493845,5,5,5,6,5.25,0.019096772409076933,6,7,7,7,6,6.6,0.6716001425337478,0.4898979485566356,1,1,2,1,2,7,0.6274865358241124,0.5294110372624008,0.5294110372624008,1
P0055,55,1,2,0,3,25,6,6,7,6,5,6.0,0.57182057718211,3,3,4,5,3.75,-1.2938547360230515,5,5,5,3,6,4.8,-0.3998181223335139,6,6,6,6,6.0,1.1986033035579593,7,7,7,6,7,6.8,0.9213982826897652,0.39999999999999997,1,1,2,2,2,8,1.138231390564669,0.21656333876367295,0.21656333876367295,0
P0056,53,0,2,1,3,24,5,5,4,5,5,4.8,-0.9405512264481529,4,3,4,4,3.75,-1.2938547360230515,6,5,6,6,6,5.8,0.6025912101645517,5,5,5,4,4.75,-0.7672409150235113,5,6,6,6,5,5.6,-0.5773905582463386,0.4898979485566356,2,1,1,1,2,7,0.6274865358241124,-0.1286904970717817,0.1286904970717817,0
P0057,27,1,1,0,5,25,4,6,5,6,5,5.2,-0.4364272919047316,6,5,5,4,5.0,0.04752310049373789,5,6,6,5,5,5.4,0.20162747716532603,6,7,6,6,6.25,1.5917721472742534,7,7,7,7,7,7.0,1.1711964228457827,0.0,2,2,2,1,1,8,1.138231390564669,0.24561410593076438,0.24561410593076438,0
P0058,35,1,3,0,4,33,6,5,5,5,6,5.4,-0.1843653246330209,5,5,4,5,4.75,-0.22075246680962,5,6,7,6,5,5.8,0.6025912101645517,4,5,4,4,4.25,-1.5535786024560996,5,5,5,5,5,5.0,-1.32678497871439,0.0,0,1,0,2,0,3,-1.415492883138114,-0.38679203140596297,0.38679203140596297,-1
P0059,44,1,3,0,6,28,6,5,6,5,5,5.4,-0.1843653246330209,5,5,4,5,4.75,-0.22075246680962,6,4,5,5,7,5.4,0.20162747716532603,5,5,5,5,5.0,-0.3740720713072172,7,7,7,7,7,7.0,1.1711964228457827,0.0,1,1,1,0,2,5,-0.39400317365700077,1.10036027009531,1.10036027009531,1
P0060,54,1,1,1,7,37,5,4,5,4,4,4.4,-1.4446751609915731,4,4,5,4,4.25,-0.7573036014163357,5,5,6,4,5,5.0,-0.1993362558339006,5,5,4,5,4.75,-0.7672409150235113,6,6,6,5,6,5.8,-0.32759241809032114,0.39999999999999997,1,2,1,1,1,6,0.11674168108355583,0.07130950292821847,0.07130950292821847,0
P0061,32,1,3,0,4,28,6,6,7,7,6,6.4,1.0759445117255313,6,6,5,7,6.0,1.1206253697071693,6,6,7,6,6,6.2,1.0035549431637782,5,5,5,5,5.0,-0.3740720713072172,6,6,7,6,7,6.4,0.42180200237773136,0.4898979485566356,1,1,0,1,2,5,-0.39400317365700077,0.5003602700953103,0.5003602700953103,1
P0062,37,0,3,0,3,30,5,5,5,6,6,5.4,-0.1843653246330209,7,6,6,7,6.5,1.657176504313885,4,4,4,4,4,4.0,-1.2017455883319663,5,5,5,5,5.0,-0.3740720713072172,4,5,4,4,4,4.2,-2.3259775393384587,0.39999999999999997,1,0,1,1,0,3,-1.415492883138114,-1.69963972990469,1.69963972990469,-1
P0063,23,1,3,0,6,34,4,4,5,5,6,4.8,-0.9405512264481529,6,5,5,6,5.5,0.5840742351004536,5,4,4,4,5,4.4,-0.8007818553327396,5,5,5,5,5.0,-0.3740720713072172,6,5,5,6,6,5.6,-0.5773905582463386,0.48989794855663565,1,1,1,0,1,4,-0.9047480283975574,-0.29963972990469045,0.29963972990469045,0
P0064,22,1,3,1,4,36,6,6,6,7,7,6.4,1.0759445117255313,5,4,5,5,4.75,-0.22075246680962,7,7,6,7,7,6.8,1.6050005426626173,5,5,5,5,5.0,-0.3740720713072172,7,7,7,7,7,7.0,1.1711964228457827,0.0,1,1,1,2,2,7,0.6274865358241124,1.10036027009531,1.10036027009531,1
P0065,52,0,3,0,6,36,7,6,5,7,5,6.0,0.57182057718211,5,5,5,4,4.75,-0.22075246680962,5,5,5,7,6,5.6,0.40210934366493845,5,5,4,5,4.75,-0.7672409150235113,6,6,6,6,6,6.0,-0.07779427793430362,0.0,1,2,1,2,2,8,1.138231390564669,0.27130950292821865,0.27130950292821865,0
P0066,60,0,3,0,4,33,5,5,5,5,5,5.0,-0.6884892591764423,5,5,5,5,5.0,0.04752310049373789,6,5,7,6,7,6.2,1.0035549431637782,6,6,6,6,6.0,1.1986033035579593,7,7,7,7,7,7.0,1.1711964228457827,0.0,2,1,1,1,1,6,0.11674168108355583,0.41656333876367313,0.41656333876367313,1
P0067,38,0,2,0,5,33,5,5,6,6,6,5.6,0.06769664263868864,6,5,5,5,5.25,0.31579866779709576,5,5,4,4,6,4.8,-0.3998181223335139,5,5,5,5,5.0,-0.3740720713072172,4,5,5,4,5,4.6,-1.826381259026425,0.48989794855663565,0,2,1,0,1,4,-0.9047480283975574,-1.2996397299046905,1.2996397299046905,-1
P0068,55,1,2,0,2,31,6,5,7,7,6,6.2,0.8238825444538207,6,6,6,7,6.25,1.3889009370105272,4,6,6,6,7,5.8,0.6025912101645517,6,6,6,6,6.0,1.1986033035579593,7,7,7,7,7,7.0,1.1711964228457827,0.0,1,1,0,2,1,5,-0.39400317365700077,0.41656333876367313,0.41656333876367313,1
P0069,45,2,4,0,5,32,5,6,5,6,5,5.4,-0.1843653246330209,7,5,6,6,6.0,1.1206253697071693,7,6,7,6,6,6.4,1.2040368096633915,5,6,6,6,5.75,0.8054344598416652,7,7,7,7,7,7.0,1.1711964228457827,0.0,0,1,1,1,2,5,-0.39400317365700077,0.5875125715965819,0.5875125715965819,1
P0070,30,0,4,0,5,28,5,5,4,4,5,4.6,-1.1926131937198636,5,5,4,4,4.5,-0.48902803411297785,6,7,6,7,7,6.6,1.404518676163004,5,5,5,5,5.0,-0.3740720713072172,6,6,7,7,7,6.6,0.6716001425337478,0.48989794855663565,1,1,1,1,2,6,0.11674168108355583,0.7003602700953095,0.7003602700953095,1
P0071,45,1,2,1,5,27,5,5,5,5,5,5.0,-0.6884892591764423,7,5,5,6,5.75,0.8523498024038115,5,4,4,3,5,4.2,-1.001263721832353,5,5,5,5,5.0,-0.3740720713072172,7,7,6,6,7,6.6,0.6716001425337478,0.48989794855663565,2,0,1,1,1,5,-0.39400317365700077,0.7003602700953095,0.7003602700953095,1
P0072,63,0,2,0,3,29,4,4,5,5,3,4.2,-1.696737128263284,6,5,5,6,5.5,0.5840742351004536,3,4,5,3,4,3.8,-1.4022274548315796,5,5,5,5,5.0,-0.3740720713072172,5,5,5,5,4,4.8,-1.5765831188704074,0.39999999999999997,1,0,0,2,0,3,-1.415492883138114,-1.0996397299046903,1.0996397299046903,-1
P0073,39,1,3,0,6,29,6,5,5,6,5,5.4,-0.1843653246330209,5,6,5,5,5.25,0.31579866779709576,7,6,7,7,7,6.8,1.6050005426626173,4,4,4,5,4.25,-1.5535786024560996,6,5,6,5,5,5.4,-0.827188698402355,0.48989794855663565,1,2,2,2,1,8,1.138231390564669,0.01320796859403739,0.01320796859403739,0
