participant_id,age,gender,education,income,tech_comfort,fraud_experience,ATT1,ATT2,ATT3,SN1,SN2,PBC1,PBC2,PBC3,INT1,INT2,perceived_severity,perceived_vulnerability,self_efficacy,response_efficacy,past_behavior,T2_security_steps_followed,T2_frequency_last_month,T2_consistency_score,T2_behavior_binary,T2_missing,response_time_seconds,straight_line_respondent,attitude_composite,subjective_norm_composite,pbc_composite,intention_composite,threat_appraisal_composite,coping_appraisal_composite
32,18,Female,High School,33672.0,3.685937646933887,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1.0,0,34.026039078325134,0,1.2438306492378628,1.1798866396726582,1.1798866396726582,1.1798866396726582,1.5672735393938815,1.0963082910668884
33,18,Female,High School,38422.0,3.634912256343706,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1.0,0,18.311694282755308,0,1.3110763300268207,1.3110763300268207,1.3110763300268207,1.3110763300268207,1.0433767674992394,1.172120797395486
34,38,Female,Bachelor's Degree,54341.0,5.492833686578679,0,3,4,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1.0,0,24.898140728293814,0,2.7211486350684844,1.214857962361942,1.3793571204516244,1.3672242288441143,1.0,1.0
35,50,Male,High School,39882.0,6.01816882345756,0,,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0.0,0,11.591946984544377,0,1.284410597225906,1.284410597225906,1.5828522126364861,1.284410597225906,1.0,1.6407065358147663
36,47,Male,Some College,35895.0,4.811210189200929,0,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0.0,0,10.417582953842912,0,1.2886729135638657,1.0883821438680419,1.0883821438680419,1.3916193295494694,1.0,1.0
37,18,Female,Bachelor's Degree,49258.0,6.083081965977055,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1.0,0,31.310391516158013,0,1.109699572406964,1.109699572406964,1.182838604331623,1.109699572406964,1.9719891033458248,1.210575659293982
38,19,Male,Bachelor's Degree,62655.0,4.276822411111404,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1.0,0,51.600536636203536,0,1.180075293371718,1.23779740087061,1.180075293371718,1.180075293371718,1.7868592393763236,1.0
39,18,Male,High School,34557.0,2.450898321204144,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0.0,0,16.701060002657435,0,1.403360201511111,1.0454690613472593,1.0454690613472593,1.0454690613472593,1.5744655003764079,1.225948527020679
40,21,Male,Some College,39852.0,4.648928605967625,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,86.19443355000789,0,1.158870338524331,1.0860450887860806,1.0860450887860806,1.0860450887860806,1.0,1.0
41,44,Female,Bachelor's Degree,64175.0,5.282201790467032,0,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0.0,0,21.143424347787466,0,1.3974430485516962,1.3055667517844216,1.3901065197906366,1.3055667517844216,1.0,1.0
42,61,Male,Bachelor's Degree,52945.0,4.841408052134606,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.0,0,30.816875265153666,0,1.0521487397811682,1.0521487397811682,1.0521487397811682,1.0521487397811682,1.0,1.0
43,32,Male,Master's Degree,82664.0,3.6938157572426693,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,70.55436483886558,0,1.107637553942738,1.107637553942738,1.107637553942738,1.107637553942738,1.1686093298030384,1.0
44,18,Male,High School,41996.0,2.8396563313575376,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0.0,0,25.778419917928538,0,1.1776240475387676,1.1776240475387676,1.1776240475387676,1.1776240475387676,1.380418243781814,1.0
45,24,Female,Master's Degree,102956.0,4.531684554321733,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,,,,,1,54.710982839123155,0,1.20399527387231,1.20399527387231,1.3141007066769743,1.4614391592906564,1.2111615852689144,1.0
46,69,Female,Bachelor's Degree,69292.0,6.366952503144667,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,3,2,1.0,0,52.35930059964952,0,1.5029828410715016,1.0521688757062426,1.3222240324746617,1.8603922982229593,1.091337351272617,1.0
47,26,Male,Bachelor's Degree,55384.0,6.833056671237787,0,2,3,2,1,1,1,1,1,2,2,1,1,1,3,1,1,2,1,1.0,0,19.31449748415823,0,2.4303815055229663,1.1448897961860527,1.1448897961860527,1.946197999333216,1.0,2.1613381068145143
48,19,Female,Bachelor's Degree,66730.0,6.744027399379991,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,2,1.0,0,19.734284326838605,0,1.2639059958058778,1.2020080369156012,1.2020080369156012,1.22805875631787,1.0,1.7042202339767447
49,20,Female,Some College,36964.0,4.139317604306881,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0.0,0,88.04944127649382,0,1.2497317763452163,1.2497317763452163,1.2497317763452163,1.2497317763452163,1.0,1.0
50,32,Female,High School,30465.0,3.700181779280527,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1.0,0,95.19794322052499,0,1.0971802711754437,1.0971802711754437,1.0971802711754437,1.0971802711754437,1.6142481519266738,1.0
51,18,Male,Bachelor's Degree,39871.0,5.8456249994738645,1,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1.0,0,54.62162816562751,0,3.08903768151435,1.064558017619102,1.0911316205270485,1.064558017619102,1.0,1.6445126324076895
52,18,Male,Bachelor's Degree,70046.0,6.0256300150773034,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1.0,0,16.54051861296036,0,1.450780388955584,1.0799857857454813,1.0799857857454813,1.0799857857454813,1.0435557174599883,1.2936494078551521
53,47,Female,Bachelor's Degree,51020.0,5.720220486760647,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1.0,0,66.3392513527685,0,1.1874085855515857,1.1874085855515857,1.1874085855515857,1.1874085855515857,1.0,1.0
54,31,Male,Some College,41761.0,2.5817177434909078,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,,,,,1,26.51047613245837,0,1.1491975440924558,1.1491975440924558,1.1491975440924558,1.1491975440924558,1.8244122651298915,1.0
55,26,Female,Master's Degree,74379.0,4.073050039651493,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,12.001903182475822,0,1.1887528223411472,1.1887528223411472,1.1887528223411472,1.1887528223411472,1.0,1.0270727206391204
56,48,Male,Bachelor's Degree,62713.0,5.1614045726282285,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1.0,0,19.898482644247483,0,1.1771736227011784,1.1771736227011784,1.1771736227011784,1.1771736227011784,1.091632546407324,1.4805508510356458
57,18,Male,High School,33121.0,5.833383653019555,1,4,,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0.0,0,27.688539683197195,1,4.168801184649558,4.168801184649558,4.168801184649558,4.168801184649558,1.0,1.246843066302829
58,19,Male,Some College,34888.0,6.197499571383233,1,2,3,3,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,1.0,0,78.98354277660692,0,2.6395721036918,1.1748235554212638,1.4433478975552638,1.1748235554212638,1.0,1.5526327787324121
59,31,Male,Bachelor's Degree,60812.0,5.387529578966652,1,1,1,1,1,1,1,1,,1,1,1,1,2,2,1,1,1,1,0.0,0,17.426285348684473,0,1.2362339313548092,1.2362339313548092,1.2362339313548092,1.2362339313548092,1.2076248987798017,1.603888661309782
60,30,Female,Bachelor's Degree,46747.0,5.630018948499707,0,3,3,2,1,1,2,1,2,2,2,1,2,1,1,2,1,1,1,0.0,0,15.293069385506445,0,2.6266506817399002,1.376842374984719,1.9447569901919983,1.7706217584745552,1.428697534621179,1.062641855537681
61,18,Male,Bachelor's Degree,51219.0,5.310325095869436,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0.0,0,22.50631675144377,0,1.3906024188662987,1.2138068008279852,1.2138068008279852,1.2138068008279852,1.0,1.377930782952483
62,18,Female,Master's Degree,60419.0,6.091305186484028,0,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1.0,0,30.038710705233942,0,1.2768188142675674,1.2490442960366552,2.000758223869972,1.2490442960366552,1.0,1.395595237086789
63,22,Male,Some College,34193.0,5.606725346938185,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.0,0,56.73662724004314,0,1.1951917890734127,1.0892722402454944,1.178715963353421,1.0892722402454944,1.0,1.1070371979889468
64,33,Male,Some College,43541.0,5.285458958061474,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,0.0,0,52.265637696328945,0,1.3407684608714876,1.3407684608714876,1.3407684608714876,1.3407684608714876,1.1575762571651431,1.4169795661207611
65,30,Male,Master's Degree,62080.0,4.851120561121405,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,3,1,1,2,1.0,0,5.475705091239874,1,4.251515932119393,4.251515932119393,4.251515932119393,4.251515932119393,1.1363469846877174,1.0064285619010467
66,23,Female,Master's Degree,67719.0,5.305678852555226,1,1,1,1,1,1,,1,1,1,1,1,1,2,1,3,1,1,2,1.0,0,24.91194940993309,0,1.3537781858285787,1.353778185828579,1.353778185828579,1.353778185828579,1.173600145154086,1.340631966852749
67,18,Male,Bachelor's Degree,57482.0,5.829968792491058,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0.0,0,36.566200845872814,0,1.1750732165918798,1.1750732165918798,1.1750732165918798,1.1750732165918798,1.17070426103792,1.3557057368281848
68,24,Female,Master's Degree,78657.0,5.5477180055674795,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,1,16.505319943249148,0,1.1753287196850417,1.1753287196850417,1.4906066353794438,1.1753287196850417,1.0618882313139453,1.1360464939810413
69,26,Female,High School,44960.0,5.69507434384883,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1.0,0,17.736833228740068,0,1.1133223330388615,1.0668354824941313,1.0668354824941313,1.0668354824941313,1.0529709984762832,1.0
70,80,Male,Master's Degree,106395.0,6.9455384197565415,0,5,5,4,1,1,2,2,3,2,1,1,1,1,1,1,3,3,3,1.0,0,54.5798662050122,0,4.33154883126594,1.2838153290149126,2.70912584074763,1.4937166218910711,1.134142993887731,1.2892596555800062
71,21,Female,Some College,37437.0,5.544713099570564,0,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1.0,0,57.19928641202429,0,1.4375943359399368,1.0634271501637684,1.0634271501637684,1.0634271501637684,1.583876213587095,1.104481179617571
72,31,Male,High School,37785.0,4.356301923384895,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0,28.738414235170033,0,1.2195162314906391,1.2195162314906391,1.2195162314906391,1.2195162314906391,1.0,1.0
73,54,Female,High School,38746.0,6.34868882179242,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1.0,0,45.674917031330146,0,1.3064913606271702,1.3064913606271702,1.3064913606271702,1.3788751722136894,1.0,1.777818295662294
74,42,Female,Some College,39014.0,3.423942161030407,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1.0,0,47.96875530748909,0,1.176291250231847,1.176291250231847,1.176291250231847,1.176291250231847,1.312350237946939,1.0
75,63,Male,Some College,33776.0,3.7941626050389266,0,2,3,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0.0,0,13.770716479902786,0,3.329890605960991,1.1869962179967608,1.1869962179967608,1.1869962179967608,1.0695539190000356,1.7575235141779757
76,18,Female,Some College,42428.0,5.63660144413609,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,,,,1,13.918999807753915,0,1.3957341192505008,1.3957341192505008,1.4543838639884041,1.3957341192505008,1.0,1.1730935850422228
77,18,Female,High School,34135.0,5.871315668122553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1.0,0,24.176972844557334,0,1.0,1.0,1.0,1.0,1.0348078986788436,1.1265213941475392
78,18,Male,Some College,39958.0,3.5814334094448066,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0.0,0,19.02221242267726,0,1.1816141078995295,1.1816141078995295,1.1816141078995295,1.1816141078995295,1.1693864499436044,1.4514002359769025
79,18,Female,Bachelor's Degree,60817.0,4.702337274717225,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,20.54591215348591,0,1.0913215721303393,1.0913215721303393,1.09176079861746,1.0913215721303393,1.0254201475277687,1.0
80,26,Male,Some College,38120.0,4.4120910181144435,0,1,1,,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1.0,0,30.688768013196228,0,1.2530868930980996,1.3932998815408508,1.2530868930980996,1.2530868930980996,1.0478351801916652,1.0
81,18,Female,Some College,35780.0,4.567320780253924,0,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.0,0,30.773812595293894,0,1.5883362915126575,1.3260667615482502,1.3260667615482502,1.3260667615482502,1.4684450047657902,1.0
82,68,Male,Bachelor's Degree,58318.0,6.42667710915483,0,3,2,2,1,1,1,1,1,1,1,2,1,1,1,2,,,,,1,4.270085202649657,0,2.2691601930807366,1.0857454951728545,1.1641134516912386,1.0857454951728545,1.432468217566199,1.2085414968588386
83,18,Male,Master's Degree,89502.0,6.118457102611429,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,35.747532795809,0,1.2590435003927802,1.2590435003927802,1.2590435003927802,1.2590435003927802,1.0,1.0
84,19,Male,Bachelor's Degree,48675.0,5.175141166190181,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0.0,0,27.070619185555994,0,1.252046836522798,1.233956182132511,1.233956182132511,1.233956182132511,1.2448270417037088,1.3303839895944694
85,44,Female,Some College,47913.0,4.490249494750594,1,1,2,2,1,1,1,2,2,,1,2,1,1,1,1,1,1,1,0.0,0,39.66609543256352,0,1.8039066587890682,1.2812468048917427,1.6191731379156298,1.2812468048917427,1.292908008295683,1.0
86,18,Male,Bachelor's Degree,44221.0,3.4454554287138173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,19.83110466979015,0,1.1550717625268725,1.1550717625268725,1.1550717625268725,1.1550717625268725,1.2367918698857516,1.0
87,18,Male,High School,32109.0,7.0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0.0,0,19.918816077155533,0,1.3129998418279234,1.3129998418279234,1.3964297660331468,1.3771762194318553,1.0,1.5042247800304331
88,28,Male,High School,33709.0,5.969748070370394,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,24.229425208101002,0,1.2730263150608585,1.2730263150608585,1.2730263150608585,1.2730263150608585,1.0,1.0
89,30,Female,Some College,38788.0,4.281330164704918,1,3,3,3,1,1,2,3,1,1,1,1,2,1,1,1,2,3,2,1.0,0,77.85558495147231,0,2.8912976651614515,1.1997794755319175,1.8815987191037262,1.1997794755319175,1.6892982214534094,1.1333239290196526
90,43,Male,Master's Degree,78407.0,6.135479346912359,0,4,4,4,4,4,4,4,4,,4,1,1,1,1,1,2,1,1,1.0,0,23.725787682988578,1,4.182262748353684,4.182262748353684,4.182262748353684,4.182262748353684,1.0,1.0149415281976757
91,36,Male,High School,44355.0,5.1087092932529865,0,1,1,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0.0,0,80.53283982642677,0,1.2722839018649434,1.2722839018649434,1.2722839018649434,1.2775977291337548,1.5406294099772353,1.206357119245185
92,31,Female,High School,30745.0,4.826757643678954,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0.0,0,72.36201875466257,0,1.2524050428090994,1.2524050428090994,1.4957599731131,1.2524050428090994,1.2384281897072027,1.4462321368605455
93,18,Female,High School,47206.0,5.765774986776483,0,,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,0.0,0,25.261922205131807,0,1.5173757638925636,1.4651490071447617,1.6222454940781017,1.4805067794813935,1.168705195682039,1.006987473338073
94,29,Male,Master's Degree,90099.0,4.236052275113458,1,1,1,1,1,1,2,1,1,,1,1,1,1,1,1,1,1,1,0.0,0,22.002734695623857,0,1.0104788146970778,1.0104788146970778,1.257181407423545,1.0104788146970778,1.0,1.0
95,31,Female,Bachelor's Degree,58190.0,4.753116524636857,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,22.624947261104218,0,1.014012613328116,1.014012613328116,1.014012613328116,1.014012613328116,1.1745465519917593,1.0
96,18,Male,Some College,45278.0,5.35789938345941,0,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,0.0,0,29.510512696465394,0,1.9828016604040182,1.3168894776339872,1.3168894776339872,1.3168894776339872,1.260692912872238,1.311558951041024
97,80,Male,Bachelor's Degree,76474.0,4.550713449249223,0,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0,21.17716063015909,0,2.333928203235018,1.8645961957990915,1.1245995860363385,1.1245995860363385,1.0,1.0
98,35,Male,Bachelor's Degree,50048.0,6.069810773347782,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.0,0,59.654579813754886,0,1.0893647923364311,1.18024942622173,1.0893647923364311,1.0893647923364311,1.0,1.0
99,18,Female,Bachelor's Degree,49096.0,7.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0.0,0,19.75552221202184,0,1.1910406882634517,1.1910406882634517,1.2618948151108245,1.1910406882634517,1.245728814298308,1.0
100,43,Female,High School,31225.0,4.219412427610715,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,1.0,0,66.0511001964267,0,1.223044486545964,1.223044486545964,1.223044486545964,1.223044486545964,1.0417700469537707,1.6288514961137806
101,48,Male,Master's Degree,85375.0,3.0353371148047423,1,1,1,,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0.0,0,15.705393692053823,0,1.126356196148478,1.467557001774566,1.126356196148478,1.126356196148478,1.5201673043707769,1.0
102,33,Female,Some College,32433.0,2.59773778228086,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,2,1.0,0,8.724061437996372,0,1.0,1.0,1.0,1.0845681333907544,1.3856632838336793,1.1404474714207953
103,20,Male,Bachelor's Degree,57667.0,5.0043914160565235,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1.0,0,7.863891593864826,0,1.163949231092364,1.163949231092364,1.163949231092364,1.163949231092364,1.0,1.0
104,18,Female,High School,43467.0,4.3378860328359625,1,2,1,3,1,1,1,1,1,1,,1,1,1,1,1,,,,,1,21.49289745905075,0,1.9631197069373207,1.0895233400754367,1.0895233400754367,1.0895233400754367,1.0,1.1310024410974626
105,23,Female,Some College,43383.0,5.470218651387205,0,1,1,1,,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0.0,0,17.356024588651398,0,1.0706614834148271,1.0706614834148271,1.2345984519027202,1.0706614834148271,1.4032015126806887,1.0
106,32,Female,Some College,40792.0,5.372376973633932,0,,1,1,1,1,2,,1,1,2,1,1,1,1,1,,,,,1,16.740042960723287,0,1.2787246111579302,1.2787246111579302,1.5737983267993454,1.3978818701310218,1.0,1.0919517527154343
