Location,State,Climate_Zone,Average_Temperature_C,Humidity_%,Dust_Level_mg_m3,Altitude_m,Grid_Frequency_Hz,Grid_Voltage_V,Grid_Stability_Rating,Power_Outage_Hours_per_Month,Fuel_Availability,Infrastructure_Quality,Maintenance_Access,Corrosion_Risk,Ambient_Air_Quality,Cooling_Requirements,SOFC_Suitability_Score,Recommended_SOFC_Type,Special_Requirements
Abeokuta,Ogun,Forest_Savanna,27.1,76,0.11,158,50,240,Fair,82,Medium,Good,Good,High,Fair,Medium,7.1,Planar_Anode_Supported,Forest_Edge_Protection
Uyo,Akwa_Ibom,Tropical_Coastal,27.4,87,0.12,38,50,240,Poor,115,High,Good,Good,Very_High,Poor,High,6.5,Micro_Tubular,Coastal_High_Humidity_Design
Gombe,Gombe,Sudan_Savanna,28.6,45,0.26,425,50,240,Poor,135,Medium,Fair,Fair,Low,Fair,High,5.6,Tubular_Cathode_Supported,Dust_Heat_Resistant
Lafia,Nasarawa,Guinea_Savanna,26.2,62,0.16,181,50,240,Fair,92,Medium,Fair,Good,Medium,Fair,Medium,6.7,Planar_Anode_Supported,Central_Nigeria_Standard
Makurdi,Benue,Guinea_Savanna,26.9,70,0.15,104,50,240,Fair,98,Medium,Fair,Good,Medium,Fair,Medium,6.6,Planar_Anode_Supported,River_Valley_Adaptation
Minna,Niger,Guinea_Savanna,27.2,58,0.19,218,50,240,Fair,110,Medium,Fair,Fair,Low,Fair,Medium,6.4,Planar_Anode_Supported,Middle_Belt_Protection
Lokoja,Kogi,Guinea_Savanna,27.5,72,0.13,151,50,240,Fair,88,Medium,Fair,Good,Medium,Fair,Medium,6.8,Planar_Anode_Supported,Confluence_Area_Design
Jalingo,Taraba,Guinea_Savanna,25.8,65,0.17,366,50,240,Poor,125,Low,Poor,Fair,Medium,Fair,Medium,6.2,Planar_Anode_Supported,Highland_Savanna_Protection
Dutse,Jigawa,Sudan_Savanna,28.9,42,0.32,427,50,240,Poor,155,Low,Poor,Poor,Low,Poor,High,5.0,Tubular_Cathode_Supported,Sahel_Edge_Protection
Birnin_Kebbi,Kebbi,Sudan_Savanna,29.1,38,0.38,259,50,240,Poor,165,Low,Poor,Poor,Low,Poor,Very_High,4.6,Tubular_Cathode_Supported,River_Sahel_Adaptation
Damaturu,Yobe,Sahel_Savanna,30.5,32,0.48,299,50,240,Very_Poor,190,Very_Low,Very_Poor,Poor,Low,Very_Poor,Very_High,3.8,Tubular_Cathode_Supported,Extreme_Sahel_Conditions
Gashua,Yobe,Sahel_Savanna,31.2,28,0.52,287,50,240,Very_Poor,200,Very_Low,Very_Poor,Very_Poor,Low,Very_Poor,Very_High,3.2,Tubular_Cathode_Supported,Desert_Edge_Extreme_Protection
Potiskum,Yobe,Sahel_Savanna,30.8,30,0.50,342,50,240,Very_Poor,195,Very_Low,Very_Poor,Poor,Low,Very_Poor,Very_High,3.5,Tubular_Cathode_Supported,Sahel_Dust_Storm_Protection
