Participant_ID,Data_Collection_Date,Country,Country_Name,Age,Gender,Gender_Label,Education,Education_Label,Income_Level,Income_Label,Income_Band_NGN,Income_Band_GHS,Bank_Type,Bank_Type_Label,Years_with_Account,Frequency_of_Use,Frequency_Label,Past_Victim,Past_Victim_Label
P0011,2025-01-15 01:00:00,1,Nigeria,28,1,Male,4,Vocational/Diploma,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",2,Digital-Only Bank,0.5,3,Weekly,0,No
P0012,2025-01-15 01:06:00,1,Nigeria,43,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.5,5,Less than monthly,0,No
P0013,2025-01-15 01:12:00,1,Nigeria,64,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,5.3,2,Several times a week,0,No
P0014,2025-01-15 01:18:00,1,Nigeria,36,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,0.6,1,Daily,0,No
P0015,2025-01-15 01:24:00,1,Nigeria,32,1,Male,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,5.3,4,Monthly,0,No
P0016,2025-01-15 01:30:00,1,Nigeria,40,2,Female,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,6.9,2,Several times a week,0,No
P0017,2025-01-15 01:36:00,1,Nigeria,32,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,1.3,1,Daily,0,No
P0018,2025-01-15 01:42:00,1,Nigeria,35,1,Male,6,Postgraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,3.5,2,Several times a week,1,Yes
P0019,2025-01-15 01:48:00,1,Nigeria,39,1,Male,3,Secondary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,1.6,2,Several times a week,0,No
P0020,2025-01-15 01:54:00,1,Nigeria,28,2,Female,3,Secondary,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,2.7,3,Weekly,0,No
P0021,2025-01-15 02:00:00,1,Nigeria,51,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,1.9,2,Several times a week,1,Yes
P0022,2025-01-15 02:06:00,1,Nigeria,27,1,Male,4,Vocational/Diploma,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",2,Digital-Only Bank,1.0,1,Daily,0,No
P0023,2025-01-15 02:12:00,1,Nigeria,26,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,4.6,5,Less than monthly,0,No
P0024,2025-01-15 02:18:00,1,Nigeria,42,1,Male,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,3.8,3,Weekly,0,No
P0025,2025-01-15 02:24:00,1,Nigeria,50,1,Male,1,No formal education,1,Very Low,"< ₦50,000/month",< GH₵500/month,3,Microfinance Bank,10.4,3,Weekly,0,No
P0026,2025-01-15 02:30:00,1,Nigeria,41,1,Male,5,Undergraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",1,Traditional Commercial Bank,8.8,1,Daily,0,No
P0027,2025-01-15 02:36:00,1,Nigeria,37,1,Male,3,Secondary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,3.0,3,Weekly,0,No
P0028,2025-01-15 02:42:00,1,Nigeria,35,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,8.3,1,Daily,1,Yes
P0029,2025-01-15 02:48:00,1,Nigeria,33,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,2.1,1,Daily,1,Yes
P0030,2025-01-15 02:54:00,1,Nigeria,56,2,Female,3,Secondary,1,Very Low,"< ₦50,000/month",< GH₵500/month,2,Digital-Only Bank,6.9,2,Several times a week,1,Yes
P0031,2025-01-15 03:00:00,1,Nigeria,43,2,Female,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,11.2,1,Daily,1,Yes
P0032,2025-01-15 03:06:00,1,Nigeria,34,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,5.1,3,Weekly,0,No
P0033,2025-01-15 03:12:00,1,Nigeria,31,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,8.8,1,Daily,1,Yes
P0034,2025-01-15 03:18:00,1,Nigeria,48,2,Female,3,Secondary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,6.0,3,Weekly,1,Yes
P0035,2025-01-15 03:24:00,1,Nigeria,55,1,Male,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",2,Digital-Only Bank,1.9,1,Daily,0,No
P0036,2025-01-15 03:30:00,1,Nigeria,53,1,Male,3,Secondary,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,0.5,1,Daily,1,Yes
P0037,2025-01-15 03:36:00,1,Nigeria,30,2,Female,3,Secondary,1,Very Low,"< ₦50,000/month",< GH₵500/month,1,Traditional Commercial Bank,2.1,1,Daily,0,No
P0038,2025-01-15 03:42:00,1,Nigeria,35,1,Male,4,Vocational/Diploma,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,7.9,4,Monthly,0,No
P0039,2025-01-15 03:48:00,1,Nigeria,33,1,Male,5,Undergraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",2,Digital-Only Bank,1.1,3,Weekly,0,No
P0040,2025-01-15 03:54:00,1,Nigeria,36,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",3,Microfinance Bank,4.4,2,Several times a week,1,Yes
P0041,2025-01-15 04:00:00,1,Nigeria,51,2,Female,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",3,Microfinance Bank,3.2,4,Monthly,0,No
P0042,2025-01-15 04:06:00,1,Nigeria,62,1,Male,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,0.7,2,Several times a week,0,No
P0043,2025-01-15 04:12:00,1,Nigeria,44,2,Female,1,No formal education,1,Very Low,"< ₦50,000/month",< GH₵500/month,1,Traditional Commercial Bank,5.0,5,Less than monthly,0,No
P0044,2025-01-15 04:18:00,1,Nigeria,31,3,Other/Prefer not to say,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,3.8,2,Several times a week,0,No
P0045,2025-01-15 04:24:00,1,Nigeria,38,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,2.2,3,Weekly,0,No
P0046,2025-01-15 04:30:00,1,Nigeria,66,1,Male,4,Vocational/Diploma,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,2.9,1,Daily,0,No
P0047,2025-01-15 04:36:00,1,Nigeria,40,1,Male,1,No formal education,1,Very Low,"< ₦50,000/month",< GH₵500/month,2,Digital-Only Bank,1.3,1,Daily,0,No
P0048,2025-01-15 04:42:00,1,Nigeria,35,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.5,4,Monthly,0,No
P0049,2025-01-15 04:48:00,1,Nigeria,36,1,Male,5,Undergraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",2,Digital-Only Bank,0.5,2,Several times a week,0,No
P0050,2025-01-15 04:54:00,1,Nigeria,44,2,Female,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,3.3,1,Daily,0,No
P0051,2025-01-15 05:00:00,1,Nigeria,30,2,Female,3,Secondary,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,7.8,1,Daily,0,No
P0052,2025-01-15 05:06:00,1,Nigeria,33,2,Female,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,4.9,2,Several times a week,0,No
P0053,2025-01-15 05:12:00,1,Nigeria,53,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,6.9,3,Weekly,1,Yes
P0054,2025-01-15 05:18:00,1,Nigeria,43,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,9.0,2,Several times a week,0,No
P0055,2025-01-15 05:24:00,1,Nigeria,40,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,3.7,4,Monthly,0,No
P0056,2025-01-15 05:30:00,1,Nigeria,54,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,5.2,1,Daily,0,No
P0057,2025-01-15 05:36:00,1,Nigeria,31,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,3.7,1,Daily,0,No
P0058,2025-01-15 05:42:00,1,Nigeria,35,2,Female,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,12.9,4,Monthly,0,No
P0059,2025-01-15 05:48:00,1,Nigeria,43,1,Male,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,7.9,1,Daily,0,No
P0060,2025-01-15 05:54:00,1,Nigeria,42,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.5,1,Daily,0,No
P0061,2025-01-15 06:00:00,1,Nigeria,25,1,Male,5,Undergraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",1,Traditional Commercial Bank,2.8,2,Several times a week,0,No
P0062,2025-01-15 06:06:00,1,Nigeria,34,2,Female,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",2,Digital-Only Bank,0.5,3,Weekly,0,No
P0063,2025-01-15 06:12:00,1,Nigeria,37,2,Female,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,2.9,1,Daily,0,No
P0064,2025-01-15 06:18:00,1,Nigeria,45,1,Male,6,Postgraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,3.5,4,Monthly,0,No
P0065,2025-01-15 06:24:00,1,Nigeria,42,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,1.6,3,Weekly,0,No
P0066,2025-01-15 06:30:00,1,Nigeria,38,1,Male,6,Postgraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",2,Digital-Only Bank,4.6,1,Daily,0,No
P0067,2025-01-15 06:36:00,1,Nigeria,22,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",3,Microfinance Bank,4.0,4,Monthly,1,Yes
P0068,2025-01-15 06:42:00,1,Nigeria,38,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,10.3,2,Several times a week,0,No
P0069,2025-01-15 06:48:00,1,Nigeria,40,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.5,1,Daily,0,No
P0070,2025-01-15 06:54:00,1,Nigeria,75,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,8.8,3,Weekly,0,No
P0071,2025-01-15 07:00:00,1,Nigeria,36,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",3,Microfinance Bank,2.2,5,Less than monthly,1,Yes
P0072,2025-01-15 07:06:00,1,Nigeria,43,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,1.7,1,Daily,0,No
P0073,2025-01-15 07:12:00,1,Nigeria,58,1,Male,2,Primary,1,Very Low,"< ₦50,000/month",< GH₵500/month,3,Microfinance Bank,0.7,3,Weekly,1,Yes
P0074,2025-01-15 07:18:00,1,Nigeria,50,2,Female,3,Secondary,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,4.8,2,Several times a week,0,No
P0075,2025-01-15 07:24:00,1,Nigeria,63,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,1.0,2,Several times a week,1,Yes
P0076,2025-01-15 07:30:00,1,Nigeria,25,2,Female,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,1.4,1,Daily,1,Yes
P0077,2025-01-15 07:36:00,1,Nigeria,28,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,4.3,1,Daily,1,Yes
P0078,2025-01-15 07:42:00,1,Nigeria,32,2,Female,4,Vocational/Diploma,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,1.5,2,Several times a week,0,No
P0079,2025-01-15 07:48:00,1,Nigeria,24,1,Male,3,Secondary,1,Very Low,"< ₦50,000/month",< GH₵500/month,2,Digital-Only Bank,1.8,2,Several times a week,0,No
P0080,2025-01-15 07:54:00,1,Nigeria,40,2,Female,3,Secondary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,0.5,1,Daily,0,No
P0081,2025-01-15 08:00:00,1,Nigeria,29,2,Female,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,2.9,3,Weekly,0,No
P0082,2025-01-15 08:06:00,1,Nigeria,66,2,Female,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,1.8,4,Monthly,1,Yes
P0083,2025-01-15 08:12:00,1,Nigeria,30,2,Female,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,3.3,2,Several times a week,0,No
P0084,2025-01-15 08:18:00,1,Nigeria,35,2,Female,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,4.4,2,Several times a week,0,No
P0085,2025-01-15 08:24:00,1,Nigeria,51,1,Male,1,No formal education,1,Very Low,"< ₦50,000/month",< GH₵500/month,2,Digital-Only Bank,0.5,2,Several times a week,0,No
P0086,2025-01-15 08:30:00,1,Nigeria,26,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,2.1,1,Daily,0,No
P0087,2025-01-15 08:36:00,1,Nigeria,24,1,Male,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,3.1,2,Several times a week,0,No
P0088,2025-01-15 08:42:00,1,Nigeria,41,2,Female,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,12.4,3,Weekly,1,Yes
P0089,2025-01-15 08:48:00,1,Nigeria,42,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,2.0,1,Daily,0,No
P0090,2025-01-15 08:54:00,1,Nigeria,51,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,13.8,1,Daily,0,No
P0091,2025-01-15 09:00:00,1,Nigeria,46,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,1.0,1,Daily,0,No
P0092,2025-01-15 09:06:00,1,Nigeria,43,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,7.0,1,Daily,0,No
P0093,2025-01-15 09:12:00,1,Nigeria,31,1,Male,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",3,Microfinance Bank,1.6,1,Daily,0,No
P0094,2025-01-15 09:18:00,1,Nigeria,42,2,Female,6,Postgraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,1.7,5,Less than monthly,0,No
P0095,2025-01-15 09:24:00,1,Nigeria,43,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,4.3,1,Daily,0,No
P0096,2025-01-15 09:30:00,1,Nigeria,31,1,Male,4,Vocational/Diploma,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,5.9,1,Daily,1,Yes
P0097,2025-01-15 09:36:00,1,Nigeria,74,2,Female,3,Secondary,1,Very Low,"< ₦50,000/month",< GH₵500/month,3,Microfinance Bank,4.7,2,Several times a week,1,Yes
P0098,2025-01-15 09:42:00,1,Nigeria,46,1,Male,3,Secondary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,0.5,4,Monthly,0,No
P0099,2025-01-15 09:48:00,1,Nigeria,28,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,2.2,2,Several times a week,1,Yes
P0100,2025-01-15 09:54:00,1,Nigeria,51,2,Female,2,Primary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,2.5,2,Several times a week,1,Yes
P0101,2025-01-15 10:00:00,1,Nigeria,54,2,Female,4,Vocational/Diploma,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",1,Traditional Commercial Bank,1.0,4,Monthly,1,Yes
P0102,2025-01-15 10:06:00,1,Nigeria,45,2,Female,3,Secondary,1,Very Low,"< ₦50,000/month",< GH₵500/month,3,Microfinance Bank,5.5,3,Weekly,0,No
P0103,2025-01-15 10:12:00,1,Nigeria,36,1,Male,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,1.2,1,Daily,1,Yes
P0104,2025-01-15 10:18:00,1,Nigeria,30,2,Female,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",2,Digital-Only Bank,0.7,1,Daily,1,Yes
P0105,2025-01-15 10:24:00,1,Nigeria,38,1,Male,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,10.1,2,Several times a week,1,Yes
P0106,2025-01-15 10:30:00,1,Nigeria,44,1,Male,5,Undergraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.6,1,Daily,0,No
P0107,2025-01-15 10:36:00,1,Nigeria,39,2,Female,3,Secondary,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,3.8,3,Weekly,0,No
P0108,2025-01-15 10:42:00,1,Nigeria,64,1,Male,2,Primary,1,Very Low,"< ₦50,000/month",< GH₵500/month,3,Microfinance Bank,1.0,2,Several times a week,1,Yes
P0109,2025-01-15 10:48:00,1,Nigeria,48,2,Female,5,Undergraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",1,Traditional Commercial Bank,5.6,3,Weekly,0,No
P0110,2025-01-15 10:54:00,1,Nigeria,29,2,Female,4,Vocational/Diploma,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",2,Digital-Only Bank,1.8,1,Daily,0,No
P0111,2025-01-15 11:00:00,1,Nigeria,28,2,Female,5,Undergraduate,3,Lower-Middle,"₦100,001 - ₦200,000/month","GH₵1,001 - GH₵2,000/month",1,Traditional Commercial Bank,8.6,1,Daily,1,Yes
P0112,2025-01-15 11:06:00,1,Nigeria,46,2,Female,2,Primary,1,Very Low,"< ₦50,000/month",< GH₵500/month,2,Digital-Only Bank,3.3,1,Daily,0,No
P0113,2025-01-15 11:12:00,1,Nigeria,36,1,Male,3,Secondary,1,Very Low,"< ₦50,000/month",< GH₵500/month,1,Traditional Commercial Bank,2.0,4,Monthly,0,No
P0114,2025-01-15 11:18:00,1,Nigeria,50,1,Male,1,No formal education,1,Very Low,"< ₦50,000/month",< GH₵500/month,3,Microfinance Bank,2.7,3,Weekly,0,No
P0115,2025-01-15 11:24:00,1,Nigeria,46,2,Female,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,5.5,2,Several times a week,1,Yes
P0116,2025-01-15 11:30:00,1,Nigeria,38,1,Male,3,Secondary,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",1,Traditional Commercial Bank,5.2,2,Several times a week,0,No
P0117,2025-01-15 11:36:00,1,Nigeria,30,2,Female,5,Undergraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,6.5,1,Daily,0,No
P0118,2025-01-15 11:42:00,1,Nigeria,25,2,Female,3,Secondary,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,7.0,1,Daily,1,Yes
P0119,2025-01-15 11:48:00,1,Nigeria,42,2,Female,5,Undergraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",2,Digital-Only Bank,0.5,1,Daily,1,Yes
P0120,2025-01-15 11:54:00,1,Nigeria,26,1,Male,4,Vocational/Diploma,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",2,Digital-Only Bank,2.6,1,Daily,0,No
P0121,2025-01-15 12:00:00,1,Nigeria,29,1,Male,6,Postgraduate,5,Upper-Middle,"₦400,001 - ₦800,000/month","GH₵4,001 - GH₵8,000/month",2,Digital-Only Bank,0.5,1,Daily,1,Yes
P0122,2025-01-15 12:06:00,1,Nigeria,41,1,Male,6,Postgraduate,4,Middle,"₦200,001 - ₦400,000/month","GH₵2,001 - GH₵4,000/month",1,Traditional Commercial Bank,5.1,3,Weekly,1,Yes
P0123,2025-01-15 12:12:00,1,Nigeria,40,1,Male,4,Vocational/Diploma,2,Low,"₦50,000 - ₦100,000/month","GH₵500 - GH₵1,000/month",2,Digital-Only Bank,0.5,1,Daily,0,No
P0124,2025-01-15 12:18:00,1,Nigeria,27,2,Female,6,Postgraduate,6,High,"> ₦800,000/month","> GH₵8,000/month",2,Digital-Only Bank,1.0,2,Several times a week,0,No
