participant_id,age,gender,education,income_level,employment_status,banking_experience_years,previous_fraud_experience,technology_comfort,financial_literacy,risk_tolerance,trust_in_banks,privacy_concerns,ATT1,ATT2,ATT3,ATT4,ATT5,SN1,SN2,SN3,SN4,PBC1,PBC2,PBC3,PBC4,PBC5,INT1,INT2,INT3,INT4,Perceived_Severity,Perceived_Vulnerability,Threat_Probability,Threat_Consequences,Self_Efficacy,Response_Efficacy,Response_Cost,Coping_Confidence,Past_Behavior,Behavior_Frequency,Behavior_Consistency
62,42,Male,Some College,$50k-$75k,Unemployed,17,0,5.686008478036092,3.0314640458594715,5.2961869721884645,3.5523369283873265,5.638958540397987,5,4,5,4,5,3,4,2,2,6,6,5,5,6,5,4,5,6,4,6,4,5,4,4,4,4,4,5,4
63,28,Female,Some College,$100k-$150k,Full-time,16,0,5.680914439684371,1.0,3.278754305001322,4.010307499972525,6.156066962171675,5,4,3,5,5,5,3,2,4,6,5,5,5,6,4,4,4,4,6,7,6,5,3,4,4,3,5,3,5
64,27,Male,High School,$100k-$150k,Retired,18,0,5.189363232466598,3.5199644010501547,5.9916365239427565,6.215776714667236,5.429775788730223,5,6,6,6,6,2,3,2,2,7,4,5,6,5,6,6,6,6,6,5,5,5,4,5,5,5,7,6,7
65,57,Male,Bachelor's Degree,$25k-$50k,Student,15,0,7.0,3.0734582792468546,4.568429921728467,6.471690336740756,7.0,7,5,5,5,7,7,6,5,7,7,5,7,6,6,5,4,6,5,6,7,7,7,4,4,4,5,6,6,6
66,65,Female,High School,Under $25k,Full-time,27,0,4.565862452815735,4.653715949216504,3.248273329427192,3.223521280337107,4.740580951064799,4,3,3,4,3,4,5,5,4,7,5,6,7,5,4,4,4,5,5,5,4,4,5,5,4,6,6,5,5
67,43,Male,Some College,$25k-$50k,Full-time,16,0,5.365893550801379,7.0,5.424067800468972,4.899683281436574,4.810829279661085,5,5,7,5,5,6,6,7,5,4,4,4,4,3,4,5,4,3,5,6,5,4,5,6,4,5,4,4,4
68,60,Male,Some College,$75k-$100k,Retired,0,0,2.3236306071089814,5.103715822903733,4.423555480959999,4.0828674394177265,5.354546986405157,4,6,4,5,6,4,4,3,3,4,4,3,2,3,5,6,4,5,5,5,5,5,4,5,4,5,5,6,5
69,50,Male,Master's Degree,$25k-$50k,Retired,31,0,3.2625589701131386,7.0,2.4944168561746123,3.7635622367621657,5.611457810056707,3,5,5,4,4,4,4,3,4,5,5,5,5,6,5,5,4,4,5,4,6,6,7,7,7,6,4,3,5
70,35,Male,Master's Degree,$50k-$75k,Full-time,18,1,2.6987715002474393,4.939400603941284,6.402323689812721,4.94180763442654,5.35074198826887,4,5,3,4,4,7,7,6,7,4,4,3,2,3,5,4,5,5,5,4,4,4,4,4,4,3,5,5,4
71,50,Female,Some College,$50k-$75k,Full-time,9,1,6.411095375274224,3.3811478911554707,4.163270352321067,5.969155518838489,3.6871434703493993,6,6,5,5,6,5,4,4,4,7,7,7,6,7,7,6,6,7,5,4,5,4,6,5,4,5,7,7,7
72,68,Male,Master's Degree,$75k-$100k,Full-time,2,0,1.0,4.652290901557149,3.8263146687796885,5.141994967941033,5.443766682815117,6,7,6,5,5,7,7,6,7,4,3,4,3,4,7,6,6,7,5,5,7,6,5,6,5,6,7,5,6
73,44,Female,Master's Degree,$25k-$50k,Student,18,1,3.896534965870916,6.51483017932102,2.6022542621321376,4.216585060097158,4.688409056716218,5,4,5,4,5,4,4,3,3,4,4,4,4,4,4,4,3,4,5,5,6,4,5,6,5,5,4,3,4
74,68,Female,Master's Degree,$50k-$75k,Full-time,13,0,1.0,6.578431375217612,5.451353574650833,5.2178334159221915,4.46092528451789,5,4,6,5,4,5,4,4,4,3,4,3,4,4,5,4,4,5,5,4,5,4,6,6,7,6,5,3,5
75,18,Male,High School,$50k-$75k,Full-time,30,1,3.253068156777165,3.4520614215439975,4.524185598305829,4.168028591702918,5.135730260228567,5,5,5,4,5,6,5,5,6,5,5,4,5,4,2,3,4,2,4,5,4,4,4,4,4,5,3,2,3
76,57,Female,Bachelor's Degree,$50k-$75k,Self-employed,11,0,3.7635765754022006,4.529138804409089,4.680933452413337,5.094537160876722,4.042325043937864,5,5,4,4,4,5,6,5,5,4,3,3,4,4,5,4,5,4,6,4,5,4,4,3,3,5,3,4,2
77,46,Male,Master's Degree,$100k-$150k,Full-time,6,0,6.5773066406910665,2.3419530564275113,3.0894561190639243,6.27575884054688,3.8510695437394453,7,6,6,5,5,5,6,5,5,5,5,5,6,5,2,3,2,3,2,3,2,4,3,4,4,3,1,1,3
78,40,Other,Bachelor's Degree,$25k-$50k,Part-time,23,0,5.094941908832186,5.272069212098859,4.967740800674095,2.1074084088390066,2.222984143995765,3,3,2,3,4,7,7,7,7,5,6,5,5,4,6,5,6,5,3,3,3,4,6,5,6,5,6,6,5
79,46,Male,Some College,$100k-$150k,Full-time,24,0,3.2502877150065506,6.219361108772663,5.076539030999122,5.55670275824804,7.0,5,4,6,4,5,6,6,5,6,3,5,4,4,4,3,2,3,4,5,7,6,6,5,5,6,4,3,3,3
80,18,Female,Bachelor's Degree,$75k-$100k,Unemployed,16,0,6.098945579597739,4.251739290350821,2.8637104657064283,2.7531340941154374,5.711304451013302,3,4,4,3,4,4,3,4,3,6,7,5,7,6,5,4,4,4,5,5,5,5,4,5,5,5,4,4,4
81,41,Female,Bachelor's Degree,$75k-$100k,Full-time,21,1,4.526748381794636,3.3324007293318334,1.8162138044466125,6.073993252653353,4.971559466563064,6,5,5,5,6,5,4,5,3,5,5,5,4,5,4,4,3,4,3,4,5,3,4,4,6,4,4,3,3
82,50,Male,Bachelor's Degree,$75k-$100k,Part-time,14,0,4.556350288060878,4.668170236660831,4.613922283074493,3.835569268152567,4.366054439424687,5,4,5,4,5,5,5,5,5,4,3,3,3,4,6,5,5,6,5,5,4,5,4,4,4,3,7,6,5
83,67,Female,High School,$50k-$75k,Part-time,17,0,2.695992738342012,4.742696740772116,1.5973142705519643,3.138794346872219,1.9363644897489407,5,5,5,5,4,5,7,7,7,4,3,3,3,2,5,5,5,6,3,4,4,3,5,3,4,5,7,6,7
84,37,Female,Some College,$25k-$50k,Full-time,26,1,3.014979429145291,4.305486981404506,4.012822088972891,5.434323072506497,4.298618236156367,5,6,6,5,6,6,4,3,4,4,3,4,4,6,6,6,6,6,4,5,4,4,5,5,5,5,6,6,7
85,32,Male,Master's Degree,$75k-$100k,Full-time,21,0,3.262354050081713,4.432329661636739,3.17385685329777,5.037004075770892,5.887452970880483,6,5,6,5,6,6,5,4,7,2,1,2,2,2,2,3,3,4,5,6,5,4,3,4,2,3,3,2,2
86,37,Male,Master's Degree,$50k-$75k,Full-time,13,0,4.569691909731285,3.974040694389818,5.506131295104489,3.40097571644601,6.136391733953255,5,6,5,5,6,4,5,5,5,4,4,4,4,4,4,4,5,4,7,7,7,6,4,3,3,2,5,5,4
87,58,Female,High School,$75k-$100k,Full-time,28,0,4.6168285904710125,5.494741406694327,3.25001855292591,3.096400291397927,5.806521192963632,4,4,3,3,4,7,6,6,6,5,4,4,5,4,4,4,4,3,4,5,5,4,4,5,4,5,4,4,3
88,49,Female,Doctorate,$50k-$75k,Self-employed,0,0,6.816138995286067,5.157095678714665,5.350182160805326,4.3750222150104605,5.274231151327715,4,5,6,5,4,6,6,4,5,6,6,7,6,6,5,4,5,6,4,6,5,6,6,5,5,6,6,4,6
89,37,Other,Some College,Over $150k,Self-employed,35,0,5.077582751906752,2.921965908712606,3.0801067778917632,3.155095659794564,6.5342615605245165,4,5,5,4,5,7,5,6,6,5,5,5,3,4,5,6,6,5,6,7,7,6,4,3,4,4,6,6,6
90,52,Female,Bachelor's Degree,$75k-$100k,Full-time,0,0,1.0,2.886232215893827,5.199987407083455,3.3262324324916466,4.7386090557026055,4,4,4,4,4,6,5,5,7,3,4,3,4,5,3,5,3,3,5,3,4,4,5,4,4,5,4,5,4
91,46,Female,Master's Degree,Under $25k,Part-time,8,0,4.893962981807536,3.8693132578654694,6.684478161371564,4.73874494850572,6.293707807747797,5,4,4,5,4,3,5,4,5,4,4,4,5,4,4,5,4,5,7,6,7,6,6,3,4,4,4,5,4
92,59,Female,Master's Degree,$50k-$75k,Part-time,14,0,2.3249754657487007,5.157888261336733,2.304734006287263,3.4409540388938837,4.6769593119077655,4,4,5,4,3,4,4,4,4,2,2,3,3,4,4,3,5,4,5,5,5,3,5,4,5,4,3,3,4
93,34,Male,Master's Degree,$100k-$150k,Self-employed,13,1,3.0510436130826952,4.392474638058059,4.208850010423271,5.111847148031851,4.1307445602344615,5,5,6,6,5,6,6,6,5,3,3,3,3,2,5,6,5,6,3,3,5,3,4,4,4,4,6,5,7
94,40,Male,Some College,$100k-$150k,Full-time,25,0,3.281745792410505,3.3639044668405482,7.0,6.388172315060172,3.993715721535226,7,6,6,6,6,7,6,6,7,5,6,5,4,5,5,4,4,4,4,5,4,4,5,4,4,5,4,4,4
95,39,Female,Master's Degree,$50k-$75k,Full-time,4,0,3.5049925147315473,4.53997417574358,3.8932243576640904,4.4217335021193005,3.9290539367097512,5,5,6,6,5,2,2,2,2,2,4,4,3,2,3,3,4,3,3,5,4,4,4,3,3,4,2,3,3
96,23,Female,High School,$100k-$150k,Full-time,17,0,2.4372759119395453,3.7699463246210465,3.8865035783215074,4.756181274382701,5.8249748316827334,5,5,5,4,4,3,2,3,2,3,4,4,2,4,5,5,4,5,5,5,5,5,3,3,4,5,4,4,5
97,49,Male,Bachelor's Degree,$25k-$50k,Full-time,9,0,4.805223005178432,5.344632398291371,4.903898526291427,7.0,4.282979871793213,6,6,6,4,4,5,5,5,4,5,6,6,5,6,6,6,5,6,4,3,4,3,5,6,7,6,7,6,6
98,48,Male,Bachelor's Degree,$50k-$75k,Full-time,17,0,2.3837965723635612,4.632975965587162,3.8575132097326557,3.1748786591471836,3.9636682704615613,4,5,4,4,4,6,7,7,5,3,2,2,2,3,2,3,2,3,5,5,4,5,4,4,5,5,2,1,2
99,45,Female,Bachelor's Degree,$100k-$150k,Full-time,14,0,5.03500141087477,3.7901383563122133,1.4098836076012264,6.02948223421689,5.885108741627496,5,6,4,6,4,6,5,6,6,3,4,4,3,4,4,7,6,6,4,5,6,5,4,3,4,4,6,5,6
100,41,Female,Some College,$100k-$150k,Full-time,15,0,7.0,4.5009744036604005,5.3852023247745135,5.8850291174949785,5.460767429519456,5,5,5,6,6,3,4,2,4,4,4,4,4,4,4,3,3,4,5,6,4,6,3,4,3,4,4,4,4
101,23,Male,Master's Degree,$75k-$100k,Part-time,9,0,2.5059614115989044,5.909562477381463,1.0,5.625180807008539,6.158851181130382,6,6,6,5,6,5,4,4,5,4,5,3,4,4,6,7,5,5,6,6,6,6,6,6,5,6,4,6,6
102,38,Male,Some College,$100k-$150k,Full-time,9,0,4.073234543491167,3.4594809004897096,3.2164916884063213,6.150097420879157,5.663859462400078,6,5,5,5,5,2,2,4,2,4,5,5,4,4,4,3,4,5,4,4,6,4,4,6,6,5,4,4,3
103,39,Male,High School,Under $25k,Full-time,17,0,1.0,4.7234540761413095,5.490396048819307,4.936689959150343,4.271577261782957,4,4,5,6,4,6,6,6,6,2,4,2,3,4,3,4,3,3,4,3,5,5,5,5,4,3,3,3,3
104,32,Male,Bachelor's Degree,$100k-$150k,Full-time,24,0,4.0485970605448,4.108401557394205,3.3008405999001,3.900484605280879,5.183712658115446,3,5,5,5,5,4,4,5,4,2,3,2,3,3,5,3,4,4,5,5,4,5,3,3,4,3,4,4,3
