sample_id,operating_temperature_C,fuel_utilization,current_density_A_per_cm2_max,anode_porosity,vi_curve_path,T_stack_C,eta_elec
37,710.487,0.85849,0.60658,0.40068,/workspace/data/lf/curves/vi_curve_00037.csv,710.613,0.64791
38,784.152,0.70760,1.17840,0.30291,/workspace/data/lf/curves/vi_curve_00038.csv,786.100,0.65326
39,736.135,0.89317,0.18742,0.32442,/workspace/data/lf/curves/vi_curve_00039.csv,732.646,0.65150
40,800.095,0.84881,0.34483,0.36771,/workspace/data/lf/curves/vi_curve_00040.csv,797.568,0.66943
41,724.465,0.67962,1.24772,0.29667,/workspace/data/lf/curves/vi_curve_00041.csv,729.685,0.63231
42,888.844,0.61548,0.64379,0.23224,/workspace/data/lf/curves/vi_curve_00042.csv,885.547,0.63006
43,764.939,0.79405,0.47228,0.33177,/workspace/data/lf/curves/vi_curve_00043.csv,763.483,0.69463
44,814.304,0.67452,1.06666,0.35030,/workspace/data/lf/curves/vi_curve_00044.csv,817.538,0.64012
45,890.971,0.65466,0.12788,0.39806,/workspace/data/lf/curves/vi_curve_00045.csv,890.401,0.68020
46,846.753,0.74320,0.15986,0.49944,/workspace/data/lf/curves/vi_curve_00046.csv,849.625,0.73332
47,878.307,0.66626,1.30951,0.33902,/workspace/data/lf/curves/vi_curve_00047.csv,883.725,0.62058
48,879.917,0.86626,1.18402,0.28661,/workspace/data/lf/curves/vi_curve_00048.csv,876.774,0.60860
49,764.125,0.71595,1.06319,0.21879,/workspace/data/lf/curves/vi_curve_00049.csv,762.982,0.66518
50,750.672,0.65041,0.68248,0.32749,/workspace/data/lf/curves/vi_curve_00050.csv,750.234,0.64869
51,732.954,0.61399,0.83468,0.42916,/workspace/data/lf/curves/vi_curve_00051.csv,733.364,0.61771
52,885.379,0.85189,0.52385,0.45970,/workspace/data/lf/curves/vi_curve_00052.csv,884.789,0.65683
53,718.432,0.73281,0.86295,0.28379,/workspace/data/lf/curves/vi_curve_00053.csv,720.172,0.68731
54,739.060,0.88227,0.19488,0.48182,/workspace/data/lf/curves/vi_curve_00054.csv,736.371,0.65804
55,722.190,0.77100,1.16637,0.33080,/workspace/data/lf/curves/vi_curve_00055.csv,725.901,0.66682
56,771.293,0.74797,0.37224,0.26349,/workspace/data/lf/curves/vi_curve_00056.csv,771.925,0.72584
57,882.005,0.62203,1.39799,0.20329,/workspace/data/lf/curves/vi_curve_00057.csv,884.750,0.58874
58,831.243,0.76408,0.15858,0.48244,/workspace/data/lf/curves/vi_curve_00058.csv,831.069,0.72895
59,787.133,0.68741,0.36030,0.23382,/workspace/data/lf/curves/vi_curve_00059.csv,783.641,0.69023
60,834.190,0.84654,0.39682,0.20779,/workspace/data/lf/curves/vi_curve_00060.csv,834.047,0.66767
61,744.987,0.66661,1.02739,0.33038,/workspace/data/lf/curves/vi_curve_00061.csv,747.616,0.63773
62,812.097,0.71703,1.47714,0.34908,/workspace/data/lf/curves/vi_curve_00062.csv,815.515,0.64099
63,846.244,0.87379,0.27637,0.33803,/workspace/data/lf/curves/vi_curve_00063.csv,846.902,0.65854
64,872.430,0.76554,0.12439,0.35626,/workspace/data/lf/curves/vi_curve_00064.csv,872.394,0.72808
65,887.324,0.63172,1.26158,0.42590,/workspace/data/lf/curves/vi_curve_00065.csv,891.178,0.60274
66,818.565,0.69746,0.21588,0.40062,/workspace/data/lf/curves/vi_curve_00066.csv,820.152,0.70492
67,725.229,0.74255,1.29190,0.20159,/workspace/data/lf/curves/vi_curve_00067.csv,726.679,0.66742
68,857.767,0.62589,0.14521,0.24392,/workspace/data/lf/curves/vi_curve_00068.csv,853.535,0.66294
69,832.261,0.61789,0.31238,0.33840,/workspace/data/lf/curves/vi_curve_00069.csv,834.139,0.65139
70,718.057,0.80050,0.60251,0.48682,/workspace/data/lf/curves/vi_curve_00070.csv,720.841,0.68295
71,747.027,0.72939,1.04022,0.22682,/workspace/data/lf/curves/vi_curve_00071.csv,745.225,0.67462
72,701.908,0.69821,0.66100,0.43607,/workspace/data/lf/curves/vi_curve_00072.csv,703.611,0.67867
73,712.921,0.87743,0.50330,0.23753,/workspace/data/lf/curves/vi_curve_00073.csv,713.084,0.64274
74,858.525,0.83550,0.94657,0.43023,/workspace/data/lf/curves/vi_curve_00074.csv,862.756,0.64131
75,752.653,0.72626,1.47822,0.31032,/workspace/data/lf/curves/vi_curve_00075.csv,751.842,0.64646
76,825.218,0.85395,1.32753,0.38080,/workspace/data/lf/curves/vi_curve_00076.csv,825.458,0.60738
77,700.657,0.70516,1.16239,0.39398,/workspace/data/lf/curves/vi_curve_00077.csv,705.041,0.65275
78,715.977,0.81589,0.95401,0.33342,/workspace/data/lf/curves/vi_curve_00078.csv,719.579,0.65263
79,849.115,0.65962,0.98887,0.22118,/workspace/data/lf/curves/vi_curve_00079.csv,852.416,0.63584
80,741.069,0.70748,1.18923,0.28499,/workspace/data/lf/curves/vi_curve_00080.csv,747.273,0.65253
81,732.671,0.60801,1.12021,0.42931,/workspace/data/lf/curves/vi_curve_00081.csv,731.204,0.59700
82,880.184,0.80174,1.19214,0.30966,/workspace/data/lf/curves/vi_curve_00082.csv,889.059,0.64683
83,820.939,0.68114,1.34987,0.22208,/workspace/data/lf/curves/vi_curve_00083.csv,828.082,0.62709
84,711.356,0.67646,0.28213,0.32322,/workspace/data/lf/curves/vi_curve_00084.csv,710.101,0.68835
85,810.743,0.63581,0.84891,0.49255,/workspace/data/lf/curves/vi_curve_00085.csv,811.164,0.62995
86,765.958,0.83977,0.99318,0.42862,/workspace/data/lf/curves/vi_curve_00086.csv,766.440,0.63594
87,746.995,0.62807,0.25854,0.23028,/workspace/data/lf/curves/vi_curve_00087.csv,745.594,0.66073
88,853.470,0.85119,1.24466,0.46544,/workspace/data/lf/curves/vi_curve_00088.csv,853.669,0.61400
89,864.056,0.63969,0.10049,0.26290,/workspace/data/lf/curves/vi_curve_00089.csv,866.687,0.67121
90,883.153,0.84230,0.28150,0.45415,/workspace/data/lf/curves/vi_curve_00090.csv,884.309,0.67713
91,733.630,0.86518,1.25929,0.21948,/workspace/data/lf/curves/vi_curve_00091.csv,736.698,0.60473
92,704.765,0.83737,0.65116,0.37053,/workspace/data/lf/curves/vi_curve_00092.csv,704.308,0.65791
93,737.599,0.69310,0.93642,0.43529,/workspace/data/lf/curves/vi_curve_00093.csv,737.508,0.65907
94,767.644,0.60680,0.30337,0.28547,/workspace/data/lf/curves/vi_curve_00094.csv,770.254,0.64528
95,799.499,0.72682,1.31254,0.44019,/workspace/data/lf/curves/vi_curve_00095.csv,801.262,0.65674
96,730.791,0.79982,0.86983,0.46925,/workspace/data/lf/curves/vi_curve_00096.csv,734.840,0.66732
97,737.964,0.77080,1.24404,0.33021,/workspace/data/lf/curves/vi_curve_00097.csv,740.826,0.66228
98,806.960,0.70954,1.42277,0.45872,/workspace/data/lf/curves/vi_curve_00098.csv,809.969,0.63976
99,806.987,0.69344,0.14373,0.40256,/workspace/data/lf/curves/vi_curve_00099.csv,807.626,0.70346
100,731.237,0.79315,0.23806,0.41418,/workspace/data/lf/curves/vi_curve_00100.csv,733.479,0.70923
101,876.590,0.78458,0.56726,0.25473,/workspace/data/lf/curves/vi_curve_00101.csv,874.576,0.69462
102,831.571,0.89228,1.02131,0.23118,/workspace/data/lf/curves/vi_curve_00102.csv,834.165,0.60275
103,860.579,0.64078,1.08830,0.37512,/workspace/data/lf/curves/vi_curve_00103.csv,862.998,0.61857
104,772.958,0.72624,0.46847,0.32329,/workspace/data/lf/curves/vi_curve_00104.csv,774.822,0.70704
105,832.164,0.76492,1.48786,0.47751,/workspace/data/lf/curves/vi_curve_00105.csv,836.977,0.65117
106,878.056,0.78117,0.30164,0.42767,/workspace/data/lf/curves/vi_curve_00106.csv,881.125,0.71260
107,790.809,0.79657,0.97769,0.44830,/workspace/data/lf/curves/vi_curve_00107.csv,791.634,0.66279
108,795.880,0.71150,1.23120,0.33962,/workspace/data/lf/curves/vi_curve_00108.csv,796.896,0.65243
109,807.701,0.76880,0.92110,0.43583,/workspace/data/lf/curves/vi_curve_00109.csv,808.154,0.68285
110,767.725,0.65075,0.62485,0.37578,/workspace/data/lf/curves/vi_curve_00110.csv,767.166,0.65236
111,784.275,0.65316,0.24661,0.39719,/workspace/data/lf/curves/vi_curve_00111.csv,784.857,0.67650
112,714.567,0.77215,1.46542,0.35194,/workspace/data/lf/curves/vi_curve_00112.csv,715.942,0.64819
113,797.622,0.75770,0.42442,0.38814,/workspace/data/lf/curves/vi_curve_00113.csv,795.119,0.71931
114,805.043,0.70057,1.41289,0.38949,/workspace/data/lf/curves/vi_curve_00114.csv,803.667,0.63497
115,852.686,0.89103,0.57298,0.34427,/workspace/data/lf/curves/vi_curve_00115.csv,855.873,0.63041
116,747.056,0.81864,1.27688,0.40726,/workspace/data/lf/curves/vi_curve_00116.csv,748.739,0.63160
117,886.659,0.64209,1.23013,0.25017,/workspace/data/lf/curves/vi_curve_00117.csv,887.620,0.61085
118,837.178,0.82331,0.35036,0.36745,/workspace/data/lf/curves/vi_curve_00118.csv,837.773,0.68440
119,736.529,0.89489,0.80019,0.20157,/workspace/data/lf/curves/vi_curve_00119.csv,742.639,0.61446
120,731.153,0.70505,1.04738,0.39154,/workspace/data/lf/curves/vi_curve_00120.csv,733.298,0.65959
121,869.731,0.74171,0.54601,0.39136,/workspace/data/lf/curves/vi_curve_00121.csv,872.942,0.71167
122,872.958,0.80916,1.47242,0.33302,/workspace/data/lf/curves/vi_curve_00122.csv,875.798,0.62556
123,894.364,0.70954,1.18964,0.49119,/workspace/data/lf/curves/vi_curve_00123.csv,896.841,0.65375
124,809.649,0.80201,0.88691,0.41885,/workspace/data/lf/curves/vi_curve_00124.csv,812.650,0.66498
125,833.115,0.60980,0.27734,0.33464,/workspace/data/lf/curves/vi_curve_00125.csv,830.903,0.64864
126,863.139,0.85094,0.69999,0.45138,/workspace/data/lf/curves/vi_curve_00126.csv,862.861,0.64684
127,725.007,0.88634,0.59904,0.29323,/workspace/data/lf/curves/vi_curve_00127.csv,728.364,0.63165
128,714.299,0.66175,0.16567,0.36752,/workspace/data/lf/curves/vi_curve_00128.csv,714.904,0.68445
129,797.214,0.72613,1.08598,0.21923,/workspace/data/lf/curves/vi_curve_00129.csv,798.800,0.66992
130,737.687,0.70473,0.56073,0.32441,/workspace/data/lf/curves/vi_curve_00130.csv,736.774,0.68859
131,771.815,0.88147,0.24352,0.27715,/workspace/data/lf/curves/vi_curve_00131.csv,772.251,0.65591
132,838.483,0.71046,0.36603,0.45966,/workspace/data/lf/curves/vi_curve_00132.csv,836.733,0.70371
133,884.291,0.87873,0.71148,0.33421,/workspace/data/lf/curves/vi_curve_00133.csv,886.957,0.62947
134,708.075,0.61546,1.41065,0.48401,/workspace/data/lf/curves/vi_curve_00134.csv,707.764,0.58404
135,846.318,0.71033,0.18835,0.38171,/workspace/data/lf/curves/vi_curve_00135.csv,849.003,0.71360
136,724.219,0.73332,0.80012,0.20989,/workspace/data/lf/curves/vi_curve_00136.csv,725.950,0.69138
137,840.586,0.64551,0.94696,0.30821,/workspace/data/lf/curves/vi_curve_00137.csv,843.943,0.62989
138,806.879,0.85970,0.96189,0.45151,/workspace/data/lf/curves/vi_curve_00138.csv,808.950,0.62587
139,795.173,0.66649,0.53702,0.43297,/workspace/data/lf/curves/vi_curve_00139.csv,797.849,0.66707
140,739.377,0.74469,0.56315,0.38793,/workspace/data/lf/curves/vi_curve_00140.csv,736.223,0.71243
141,787.272,0.87405,0.21105,0.31810,/workspace/data/lf/curves/vi_curve_00141.csv,788.518,0.66231
142,793.198,0.62956,1.32016,0.45330,/workspace/data/lf/curves/vi_curve_00142.csv,793.800,0.59793
143,806.078,0.66994,0.18031,0.40885,/workspace/data/lf/curves/vi_curve_00143.csv,808.136,0.68937
144,857.989,0.73324,0.95332,0.38222,/workspace/data/lf/curves/vi_curve_00144.csv,860.020,0.68215
145,804.054,0.87241,0.68414,0.42095,/workspace/data/lf/curves/vi_curve_00145.csv,804.113,0.63490
146,716.579,0.71567,0.18845,0.33974,/workspace/data/lf/curves/vi_curve_00146.csv,716.167,0.71680
147,733.647,0.80988,0.27970,0.48940,/workspace/data/lf/curves/vi_curve_00147.csv,733.335,0.69669
148,859.676,0.72479,0.32443,0.28047,/workspace/data/lf/curves/vi_curve_00148.csv,860.617,0.71481
149,759.341,0.77642,0.16886,0.46019,/workspace/data/lf/curves/vi_curve_00149.csv,763.317,0.72155
150,885.892,0.83037,0.95556,0.20772,/workspace/data/lf/curves/vi_curve_00150.csv,888.382,0.64385
151,833.162,0.64838,0.15532,0.27301,/workspace/data/lf/curves/vi_curve_00151.csv,834.982,0.67643
152,769.486,0.62507,1.37790,0.33054,/workspace/data/lf/curves/vi_curve_00152.csv,773.858,0.59177
153,710.145,0.79712,1.01625,0.32434,/workspace/data/lf/curves/vi_curve_00153.csv,713.105,0.66015
154,731.155,0.80157,0.33916,0.42945,/workspace/data/lf/curves/vi_curve_00154.csv,728.889,0.69811
155,891.417,0.78465,0.53528,0.32956,/workspace/data/lf/curves/vi_curve_00155.csv,890.821,0.69650
156,820.203,0.87433,0.30119,0.26865,/workspace/data/lf/curves/vi_curve_00156.csv,820.471,0.65673
157,801.154,0.89681,0.92256,0.48311,/workspace/data/lf/curves/vi_curve_00157.csv,799.252,0.60596
158,739.468,0.75883,0.42535,0.46885,/workspace/data/lf/curves/vi_curve_00158.csv,741.579,0.71858
159,735.443,0.60489,1.10662,0.38811,/workspace/data/lf/curves/vi_curve_00159.csv,738.644,0.59594
160,833.693,0.66939,0.99279,0.26952,/workspace/data/lf/curves/vi_curve_00160.csv,832.136,0.64147
161,899.027,0.62340,0.47555,0.36850,/workspace/data/lf/curves/vi_curve_00161.csv,897.023,0.64491
162,753.203,0.88961,0.96427,0.49455,/workspace/data/lf/curves/vi_curve_00162.csv,757.987,0.60778
163,718.105,0.75388,1.46797,0.22130,/workspace/data/lf/curves/vi_curve_00163.csv,720.294,0.65899
164,792.983,0.75143,0.71049,0.29304,/workspace/data/lf/curves/vi_curve_00164.csv,794.492,0.70591
165,728.285,0.70024,0.71747,0.42454,/workspace/data/lf/curves/vi_curve_00165.csv,726.969,0.67650
166,793.554,0.69072,1.07520,0.34395,/workspace/data/lf/curves/vi_curve_00166.csv,793.092,0.64932
167,746.157,0.70752,1.39601,0.27635,/workspace/data/lf/curves/vi_curve_00167.csv,751.361,0.64015
168,814.833,0.62768,0.11287,0.41410,/workspace/data/lf/curves/vi_curve_00168.csv,813.626,0.66401
169,777.480,0.65352,0.35121,0.40256,/workspace/data/lf/curves/vi_curve_00169.csv,779.801,0.67044
170,741.397,0.73593,0.30110,0.43341,/workspace/data/lf/curves/vi_curve_00170.csv,738.859,0.72290
171,785.662,0.71328,0.46172,0.37191,/workspace/data/lf/curves/vi_curve_00171.csv,785.602,0.69966
172,867.181,0.89168,0.65370,0.41074,/workspace/data/lf/curves/vi_curve_00172.csv,868.331,0.62517
173,884.218,0.89513,0.41564,0.37934,/workspace/data/lf/curves/vi_curve_00173.csv,884.696,0.63739
174,730.953,0.77972,0.72273,0.41398,/workspace/data/lf/curves/vi_curve_00174.csv,731.006,0.68820
175,830.518,0.70103,1.47541,0.21625,/workspace/data/lf/curves/vi_curve_00175.csv,835.553,0.63149
176,704.571,0.63998,0.47921,0.34746,/workspace/data/lf/curves/vi_curve_00176.csv,704.164,0.65464
177,731.838,0.75921,0.34231,0.28295,/workspace/data/lf/curves/vi_curve_00177.csv,729.829,0.72334
178,780.262,0.74232,0.63435,0.32581,/workspace/data/lf/curves/vi_curve_00178.csv,784.518,0.70673
179,765.010,0.64054,0.42506,0.43070,/workspace/data/lf/curves/vi_curve_00179.csv,765.505,0.65822
180,899.930,0.69065,0.22919,0.30993,/workspace/data/lf/curves/vi_curve_00180.csv,901.877,0.70004
181,853.134,0.76304,0.77388,0.21208,/workspace/data/lf/curves/vi_curve_00181.csv,854.136,0.69514
182,747.834,0.73929,0.69923,0.23088,/workspace/data/lf/curves/vi_curve_00182.csv,744.665,0.70102
183,824.235,0.78655,1.19932,0.49304,/workspace/data/lf/curves/vi_curve_00183.csv,826.547,0.65551
184,726.253,0.65791,0.12782,0.48783,/workspace/data/lf/curves/vi_curve_00184.csv,728.818,0.68214
185,796.056,0.78797,0.50749,0.47974,/workspace/data/lf/curves/vi_curve_00185.csv,798.186,0.69617
186,764.858,0.71768,0.97890,0.25964,/workspace/data/lf/curves/vi_curve_00186.csv,763.711,0.67128
187,706.982,0.80329,1.33439,0.38790,/workspace/data/lf/curves/vi_curve_00187.csv,706.361,0.63736
188,759.863,0.85825,0.50171,0.36166,/workspace/data/lf/curves/vi_curve_00188.csv,759.925,0.65435
189,730.526,0.88494,0.98742,0.48711,/workspace/data/lf/curves/vi_curve_00189.csv,732.810,0.60919
190,721.271,0.73141,0.17864,0.42541,/workspace/data/lf/curves/vi_curve_00190.csv,719.287,0.72624
191,812.916,0.79444,0.64703,0.41771,/workspace/data/lf/curves/vi_curve_00191.csv,816.671,0.68392
192,849.870,0.79672,0.33979,0.25877,/workspace/data/lf/curves/vi_curve_00192.csv,850.836,0.70098
193,760.628,0.72358,0.71993,0.38771,/workspace/data/lf/curves/vi_curve_00193.csv,758.153,0.69035
194,740.535,0.69917,1.39156,0.37505,/workspace/data/lf/curves/vi_curve_00194.csv,742.904,0.63541
195,825.223,0.71073,0.91815,0.24746,/workspace/data/lf/curves/vi_curve_00195.csv,825.248,0.67075
196,799.414,0.61948,0.28602,0.39193,/workspace/data/lf/curves/vi_curve_00196.csv,799.844,0.65393
197,778.675,0.74791,0.39533,0.29856,/workspace/data/lf/curves/vi_curve_00197.csv,776.392,0.72442
198,741.903,0.66848,1.32154,0.23809,/workspace/data/lf/curves/vi_curve_00198.csv,743.851,0.62120
199,816.454,0.71475,1.14814,0.47638,/workspace/data/lf/curves/vi_curve_00199.csv,819.737,0.65936
200,712.769,0.89116,0.92958,0.41179,/workspace/data/lf/curves/vi_curve_00200.csv,718.242,0.60893
201,833.627,0.67406,1.30800,0.30239,/workspace/data/lf/curves/vi_curve_00201.csv,832.779,0.62536
202,740.755,0.71749,0.88731,0.47276,/workspace/data/lf/curves/vi_curve_00202.csv,740.887,0.67666
203,854.906,0.89364,1.07026,0.45190,/workspace/data/lf/curves/vi_curve_00203.csv,856.314,0.59900
204,784.681,0.69819,0.60088,0.41727,/workspace/data/lf/curves/vi_curve_00204.csv,785.520,0.68226
205,851.778,0.79176,1.18826,0.49493,/workspace/data/lf/curves/vi_curve_00205.csv,853.680,0.65305
206,843.073,0.60553,0.12580,0.48031,/workspace/data/lf/curves/vi_curve_00206.csv,844.084,0.65072
207,843.162,0.62862,0.57014,0.25712,/workspace/data/lf/curves/vi_curve_00207.csv,844.553,0.64237
208,751.102,0.65692,0.44482,0.20690,/workspace/data/lf/curves/vi_curve_00208.csv,753.137,0.66686
209,765.916,0.64137,0.33069,0.48608,/workspace/data/lf/curves/vi_curve_00209.csv,767.307,0.66438
210,848.377,0.77427,1.03840,0.27136,/workspace/data/lf/curves/vi_curve_00210.csv,848.076,0.67254
211,832.022,0.70531,1.31812,0.46270,/workspace/data/lf/curves/vi_curve_00211.csv,835.481,0.64350
212,728.534,0.73533,0.84675,0.44629,/workspace/data/lf/curves/vi_curve_00212.csv,731.112,0.68979
213,732.814,0.86124,0.47207,0.38721,/workspace/data/lf/curves/vi_curve_00213.csv,734.716,0.65433
214,718.995,0.67050,1.05391,0.31180,/workspace/data/lf/curves/vi_curve_00214.csv,718.029,0.63846
215,747.812,0.87509,0.11975,0.21904,/workspace/data/lf/curves/vi_curve_00215.csv,751.134,0.66235
216,847.682,0.68389,1.18094,0.40752,/workspace/data/lf/curves/vi_curve_00216.csv,848.468,0.63888
217,749.047,0.85531,1.37999,0.45806,/workspace/data/lf/curves/vi_curve_00217.csv,749.192,0.60342
218,741.869,0.73106,0.15420,0.43471,/workspace/data/lf/curves/vi_curve_00218.csv,743.090,0.72604
219,880.046,0.71723,0.83270,0.40982,/workspace/data/lf/curves/vi_curve_00219.csv,882.167,0.67977
220,843.470,0.60315,0.86918,0.39903,/workspace/data/lf/curves/vi_curve_00220.csv,848.595,0.60914
221,730.532,0.88607,1.30003,0.37012,/workspace/data/lf/curves/vi_curve_00221.csv,731.615,0.58976
222,824.609,0.77373,1.07454,0.45651,/workspace/data/lf/curves/vi_curve_00222.csv,830.933,0.67069
223,789.377,0.85959,0.48428,0.35041,/workspace/data/lf/curves/vi_curve_00223.csv,792.027,0.65459
224,752.367,0.79972,1.22119,0.33894,/workspace/data/lf/curves/vi_curve_00224.csv,755.793,0.64630
225,727.575,0.89710,0.97001,0.36113,/workspace/data/lf/curves/vi_curve_00225.csv,730.582,0.60294
226,818.966,0.69281,1.13668,0.47066,/workspace/data/lf/curves/vi_curve_00226.csv,823.298,0.64688
227,873.954,0.77257,0.50438,0.25954,/workspace/data/lf/curves/vi_curve_00227.csv,872.970,0.70560
228,744.845,0.79440,0.54044,0.22807,/workspace/data/lf/curves/vi_curve_00228.csv,746.827,0.69033
229,779.025,0.80981,0.53327,0.36093,/workspace/data/lf/curves/vi_curve_00229.csv,778.938,0.68152
230,882.657,0.81152,0.49353,0.46333,/workspace/data/lf/curves/vi_curve_00230.csv,880.906,0.68287
231,845.091,0.63226,1.05618,0.24164,/workspace/data/lf/curves/vi_curve_00231.csv,845.102,0.61539
232,877.211,0.64163,1.03958,0.33832,/workspace/data/lf/curves/vi_curve_00232.csv,883.035,0.62200
233,754.833,0.84055,0.21920,0.38369,/workspace/data/lf/curves/vi_curve_00233.csv,754.065,0.68192
234,867.719,0.87981,0.57301,0.29476,/workspace/data/lf/curves/vi_curve_00234.csv,868.077,0.63714
235,749.395,0.89344,0.89366,0.21620,/workspace/data/lf/curves/vi_curve_00235.csv,749.122,0.60972
236,804.888,0.71129,1.18120,0.38929,/workspace/data/lf/curves/vi_curve_00236.csv,806.641,0.65530
237,758.791,0.80104,0.40145,0.22139,/workspace/data/lf/curves/vi_curve_00237.csv,763.259,0.69469
238,743.577,0.80373,0.81714,0.40535,/workspace/data/lf/curves/vi_curve_00238.csv,745.930,0.66813
239,716.185,0.70695,0.42955,0.48531,/workspace/data/lf/curves/vi_curve_00239.csv,718.095,0.69780
240,862.866,0.82568,0.11090,0.35113,/workspace/data/lf/curves/vi_curve_00240.csv,866.292,0.69199
241,787.612,0.65131,0.51466,0.28982,/workspace/data/lf/curves/vi_curve_00241.csv,788.782,0.65931
242,890.891,0.61677,1.35243,0.49354,/workspace/data/lf/curves/vi_curve_00242.csv,894.833,0.58832
243,871.036,0.70928,1.27898,0.24272,/workspace/data/lf/curves/vi_curve_00243.csv,872.077,0.64823
244,897.198,0.86793,1.14383,0.44910,/workspace/data/lf/curves/vi_curve_00244.csv,898.019,0.61001
245,791.944,0.65050,1.23810,0.24433,/workspace/data/lf/curves/vi_curve_00245.csv,793.263,0.61542
246,729.053,0.88879,0.87501,0.36436,/workspace/data/lf/curves/vi_curve_00246.csv,728.063,0.61363
247,711.842,0.62700,0.75083,0.34374,/workspace/data/lf/curves/vi_curve_00247.csv,712.858,0.63055
248,864.112,0.89054,1.27296,0.35354,/workspace/data/lf/curves/vi_curve_00248.csv,866.922,0.58870
249,797.352,0.60743,1.07042,0.49667,/workspace/data/lf/curves/vi_curve_00249.csv,801.666,0.59963
250,751.552,0.86756,0.63719,0.38942,/workspace/data/lf/curves/vi_curve_00250.csv,752.593,0.64063
251,807.170,0.65200,1.36484,0.43581,/workspace/data/lf/curves/vi_curve_00251.csv,807.042,0.60871
