year,state,species,headcount,manure_tonnes_per_day,biogas_potential_nm3_per_day,provenance,sources
2023,Abia,cattle,567301,14182.5,329367.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Anambra,pigs,851167,3830.3,106160.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Anambra,poultry,865490,147.1,6490.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Bauchi,cattle,392653,9816.3,182937.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Bauchi,goats,536234,1072.5,20164.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Bauchi,sheep,684570,1711.4,33794.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Bauchi,pigs,985309,4433.9,152623.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Bauchi,poultry,848622,144.3,5782.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Bayelsa,cattle,284569,7114.2,136539.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Bayelsa,goats,958613,1917.2,34598.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Bayelsa,sheep,378710,946.8,18320.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Bayelsa,pigs,151757,682.9,24389.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Bayelsa,poultry,192693,32.8,1326.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Benue,cattle,347157,8678.9,182613.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Benue,goats,274577,549.2,9971.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Benue,sheep,863369,2158.4,36585.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Benue,pigs,188843,849.8,24821.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Benue,poultry,956958,162.7,7561.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Borno,cattle,671548,16788.7,388209.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Borno,goats,1274616,2549.2,47719.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Borno,sheep,891207,2228.0,42869.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Borno,pigs,144210,648.9,19054.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Borno,poultry,344912,58.6,2604.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Cross River,cattle,83115,2077.9,46741.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Cross River,goats,51521,103.0,2082.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Cross River,sheep,896150,2240.4,41430.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Cross River,pigs,828382,3727.7,121128.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Cross River,poultry,497600,84.6,3539.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Delta,cattle,473165,11829.1,233617.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Delta,goats,902674,1805.3,32087.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Delta,sheep,136357,340.9,7079.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Delta,pigs,445231,2003.5,70706.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Delta,poultry,339441,57.7,2586.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ebonyi,cattle,1049029,26225.7,554949.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ebonyi,goats,464446,928.9,18902.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ebonyi,sheep,723276,1808.2,31226.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ebonyi,pigs,383490,1725.7,52602.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ebonyi,poultry,495708,84.3,4282.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Edo,cattle,1029356,25733.9,486545.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Edo,goats,995092,1990.2,41277.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Edo,sheep,507196,1268.0,26925.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Edo,pigs,393356,1770.1,59300.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Edo,poultry,1034553,175.9,8616.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ekiti,cattle,1046005,26150.1,559368.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ekiti,goats,953896,1907.8,39136.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ekiti,sheep,369287,923.2,19574.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ekiti,pigs,103209,464.4,13068.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ekiti,poultry,186045,31.6,1399.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Enugu,cattle,915661,22891.5,548110.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Enugu,goats,126521,253.0,4537.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Enugu,sheep,260913,652.3,12997.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Enugu,pigs,663235,2984.6,98131.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Enugu,poultry,162526,27.6,1213.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Gombe,cattle,490484,12262.1,263174.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Gombe,goats,1020274,2040.5,43656.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Gombe,sheep,1206485,3016.2,61273.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Gombe,pigs,54644,245.9,8217.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Gombe,poultry,967562,164.5,7338.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Imo,cattle,442640,11066.0,215450.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Imo,goats,268408,536.8,10383.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Imo,sheep,824791,2062.0,35554.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Imo,pigs,305927,1376.7,38776.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Imo,poultry,306610,52.1,2377.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Jigawa,cattle,435939,10898.5,239054.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Jigawa,goats,396676,793.4,14485.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Jigawa,sheep,553456,1383.6,26283.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Jigawa,pigs,662096,2979.4,82194.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Jigawa,poultry,128786,21.9,1012.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kaduna,cattle,791849,19796.2,414984.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kaduna,goats,1318924,2637.8,45003.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kaduna,sheep,219082,547.7,9695.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kaduna,pigs,955024,4297.6,126853.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kaduna,poultry,326318,55.5,2690.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kano,cattle,83475,2086.9,46703.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kano,goats,1263945,2527.9,44394.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kano,sheep,1091053,2727.6,57395.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kano,pigs,1012498,4556.2,158265.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kano,poultry,623098,105.9,5248.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Katsina,cattle,1325065,33126.6,753863.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Katsina,goats,154113,308.2,5443.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Katsina,sheep,357954,894.9,19648.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Katsina,pigs,219588,988.1,31501.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Katsina,poultry,965130,164.1,8528.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kebbi,cattle,1216275,30406.9,553502.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kebbi,goats,837593,1675.2,33016.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kebbi,sheep,868671,2171.7,46818.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kebbi,pigs,680525,3062.4,101716.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kebbi,poultry,778465,132.3,6660.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kogi,cattle,303444,7586.1,157206.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kogi,goats,706413,1412.8,24689.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kogi,sheep,813211,2033.0,43315.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kogi,pigs,358029,1611.1,56397.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kogi,poultry,81136,13.8,661.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kwara,cattle,508015,12700.4,297828.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kwara,goats,629774,1259.5,21857.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kwara,sheep,799144,1997.9,33608.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kwara,pigs,811169,3650.3,102208.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Kwara,poultry,960361,163.3,8154.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Lagos,cattle,752988,18824.7,360526.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Lagos,goats,544009,1088.0,23487.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Lagos,sheep,358459,896.1,18690.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Lagos,pigs,778229,3502.0,103120.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Lagos,poultry,221118,37.6,1507.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Nasarawa,cattle,1012313,25307.8,589218.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Nasarawa,goats,796275,1592.5,34692.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Nasarawa,sheep,459627,1149.1,23940.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Nasarawa,pigs,999244,4496.6,125107.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Nasarawa,poultry,596289,101.4,4445.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Niger,cattle,675463,16886.6,398773.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Niger,goats,1337653,2675.3,57656.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Niger,sheep,1318072,3295.2,73137.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Niger,pigs,608304,2737.4,95718.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Niger,poultry,822586,139.8,6573.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ogun,cattle,261143,6528.6,138164.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ogun,goats,625724,1251.4,24123.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ogun,sheep,742997,1857.5,38527.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ogun,pigs,371114,1670.0,54500.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ogun,poultry,761571,129.5,6680.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ondo,cattle,755498,18887.5,347493.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ondo,goats,345679,691.4,13656.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ondo,sheep,519508,1298.8,25705.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ondo,pigs,1030539,4637.4,152026.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Ondo,poultry,814044,138.4,5715.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Osun,cattle,391548,9788.7,212348.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Osun,goats,137585,275.2,5043.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Osun,sheep,865252,2163.1,47399.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Osun,pigs,989237,4451.6,131945.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Osun,poultry,193142,32.8,1692.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Oyo,cattle,177604,4440.1,99787.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Oyo,goats,975739,1951.5,41825.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Oyo,sheep,955236,2388.1,52475.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Oyo,pigs,653641,2941.4,85664.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Oyo,poultry,824598,140.2,7180.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Plateau,cattle,744027,18600.7,383507.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Plateau,goats,556364,1112.7,20904.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Plateau,sheep,1382397,3456.0,69310.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Plateau,pigs,245845,1106.3,37230.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Plateau,poultry,942771,160.3,7179.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Rivers,cattle,307660,7691.5,167012.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Rivers,goats,947878,1895.8,35829.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Rivers,sheep,252165,630.4,13893.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Rivers,pigs,343285,1544.8,50069.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Rivers,poultry,881566,149.9,6266.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Sokoto,cattle,680619,17015.5,356344.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Sokoto,goats,1180591,2361.2,40129.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Sokoto,sheep,784411,1961.0,37758.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Sokoto,pigs,375582,1690.1,51582.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Sokoto,poultry,912685,155.2,7113.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Taraba,cattle,1159980,28999.5,670611.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Taraba,goats,215595,431.2,8425.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Taraba,sheep,161728,404.3,8266.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Taraba,pigs,198733,894.3,24307.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Taraba,poultry,1023310,174.0,7024.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Yobe,cattle,785651,19641.3,364446.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Yobe,goats,1258788,2517.6,42468.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Yobe,sheep,1389818,3474.5,66127.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Yobe,pigs,150568,677.6,22404.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Yobe,poultry,131413,22.3,991.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Zamfara,cattle,419583,10489.6,235597.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Zamfara,goats,648505,1297.0,27534.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Zamfara,sheep,827606,2069.0,45330.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Zamfara,pigs,793841,3572.3,106471.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,Zamfara,poultry,411567,70.0,3597.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,FCT Abuja,cattle,568407,14210.2,312474.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,FCT Abuja,goats,314356,628.7,13311.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,FCT Abuja,sheep,514657,1286.6,28580.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,FCT Abuja,pigs,566495,2549.2,69111.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
2023,FCT Abuja,poultry,213992,36.4,1469.0,synthetic_estimate,FAO; NBS; FMARD; literature on biogas yields
