respondent_id,ATT1,ATT2,ATT3,SN1,SN2,PBC1,PBC2,PBC3,INT1,INT2,SEV1,SEV2,VULN1,VULN2,SE1,SE2,SE3,RE1,RE2,RE3,PB1,PB2
62,7,6,7,7,6,4,4,5,7,7,6,6,1,3,5,6,5,5,5,4,7,4
63,5,3,5,3,1,5,2,1,1,2,7,3,3,4,5,7,1,2,5,7,6,4
64,3,4,4,6,7,1,3,5,4,6,5,6,1,2,7,6,7,4,4,3,3,5
65,5,4,6,3,4,3,5,1,4,4,6,7,7,6,4,2,6,7,7,3,5,3
66,7,6,6,7,7,7,6,6,6,5,2,2,7,7,7,7,7,6,6,6,3,7
67,3,5,6,2,5,4,6,2,6,4,5,3,7,6,6,4,6,1,1,1,7,7
68,5,7,6,4,4,3,4,3,1,4,3,6,4,5,6,5,4,2,7,6,5,7
69,3,5,2,4,5,6,6,4,3,6,5,3,6,7,6,7,6,4,2,2,5,1
70,2,1,2,5,6,4,4,2,7,4,2,5,1,4,4,7,2,4,1,3,7,7
71,5,4,1,1,5,2,2,2,4,6,7,5,2,4,1,2,4,5,4,7,6,2
72,6,7,4,7,7,7,6,5,4,7,4,1,6,7,6,7,7,7,7,7,3,3
73,5,7,3,7,7,3,3,3,6,7,7,2,7,5,3,4,3,2,4,3,6,7
74,6,5,7,5,3,6,3,4,3,1,6,7,1,5,4,4,5,1,3,2,2,3
75,2,1,1,6,1,4,7,4,1,4,2,5,4,1,1,1,1,1,5,3,1,1
76,4,5,6,3,2,2,5,1,4,4,3,6,6,4,6,3,6,3,5,7,2,3
77,1,2,3,6,5,4,4,6,2,2,6,6,2,4,5,4,1,1,6,1,6,6
78,1,1,1,7,7,3,3,4,2,4,6,2,7,3,6,7,6,4,3,4,1,2
79,2,4,1,2,1,5,7,7,5,7,4,3,3,5,2,5,4,5,7,7,5,4
80,1,2,1,3,3,4,2,6,3,3,4,3,3,1,6,4,3,4,5,2,4,7
81,2,5,1,1,4,2,1,2,1,1,3,1,6,2,6,5,3,1,2,2,4,5
82,1,5,3,1,5,6,6,3,3,2,7,1,3,5,1,1,2,5,2,5,2,1
83,3,3,2,4,2,7,7,5,5,2,1,2,1,1,3,5,6,4,4,2,3,5
84,7,6,5,6,5,3,4,5,4,6,1,5,4,4,6,3,4,6,3,1,2,3
85,1,2,1,2,2,3,2,6,3,4,3,6,6,7,4,4,2,2,3,2,7,4
86,6,4,6,3,4,6,5,6,4,3,6,2,2,2,6,4,2,2,3,1,7,3
87,6,5,6,4,3,7,4,1,6,3,1,7,3,3,7,4,5,4,5,2,7,7
88,7,7,7,7,5,5,6,7,4,7,7,7,6,7,2,7,7,7,7,7,5,5
89,4,1,4,3,6,7,6,1,6,5,7,3,1,4,5,7,4,5,6,4,4,1
90,6,5,3,5,5,6,7,3,6,6,7,2,2,4,7,7,6,6,5,3,5,6
91,3,4,3,3,5,3,4,2,5,6,2,2,3,1,7,7,6,2,1,3,1,1
92,5,3,2,6,2,6,5,3,3,5,2,3,2,4,2,6,7,6,7,6,5,1
93,6,2,4,5,5,6,5,3,3,2,2,1,5,6,4,3,2,2,2,2,1,4
94,2,1,3,4,7,4,5,5,7,4,4,3,7,6,6,5,4,6,6,4,2,6
95,7,5,5,3,1,4,4,6,5,6,5,7,6,7,1,5,5,3,1,1,1,1
96,3,1,3,1,2,3,6,2,1,1,5,5,1,2,2,5,5,2,2,2,1,1
97,3,3,3,2,4,5,5,7,2,2,2,2,2,1,4,4,3,3,1,3,6,4
98,5,5,4,4,7,3,3,3,5,5,4,5,3,1,3,5,2,2,5,4,5,7
99,4,1,5,1,1,1,1,1,1,4,6,2,5,3,3,2,2,3,4,4,3,6
100,6,7,6,1,2,5,5,1,6,7,6,3,5,7,6,7,6,7,7,6,5,6
101,2,3,3,7,2,6,5,3,3,5,7,6,5,4,2,1,2,6,4,3,4,7
102,5,1,4,3,1,5,7,2,4,6,5,4,2,4,4,5,4,2,5,6,5,5
103,2,4,3,3,6,3,7,5,4,4,4,6,6,6,4,3,4,5,6,7,3,4
104,7,4,3,4,3,7,7,2,6,6,5,5,5,2,4,7,7,2,4,4,4,2
105,2,3,1,7,7,3,4,2,1,4,1,1,2,1,1,2,5,2,3,1,5,6
106,4,7,7,6,3,2,3,1,5,5,2,5,2,5,4,3,2,2,1,3,6,4
107,6,4,4,5,1,4,7,5,5,4,7,4,1,3,3,3,4,6,7,3,7,5
108,2,2,3,3,5,5,1,3,4,5,5,5,2,7,1,1,1,6,7,6,1,1
109,5,4,2,5,7,6,5,7,4,5,5,5,6,6,1,4,4,3,7,7,4,2
110,2,3,2,4,7,5,1,1,1,2,6,6,2,3,6,2,5,5,4,5,1,1
111,4,3,4,3,1,3,4,2,4,2,4,1,5,5,2,7,5,4,5,4,4,1
112,3,6,2,1,1,4,4,1,1,1,1,2,3,3,2,3,1,6,6,7,2,2
113,1,1,3,7,4,1,2,2,1,1,5,3,4,5,4,1,1,1,1,1,4,3
114,6,2,5,4,3,2,2,1,1,1,4,4,6,6,3,5,2,1,2,3,2,2
115,6,6,6,3,2,1,2,3,3,5,5,3,2,1,5,2,5,6,4,6,7,6
116,3,1,1,3,1,4,2,3,1,1,3,6,3,7,1,3,2,4,4,2,1,1
117,1,1,1,7,7,1,4,6,2,1,2,7,6,4,5,1,5,3,3,3,5,7
118,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,1,1,1,1,1,2,2
119,1,4,4,6,6,1,1,1,3,3,1,3,1,3,3,5,2,1,1,1,7,6
120,5,4,4,6,6,5,3,6,6,7,7,5,6,6,6,6,7,6,5,7,5,5
121,5,3,7,4,1,1,1,2,1,4,5,6,4,4,1,5,2,4,2,1,4,4
122,1,1,1,4,5,1,1,1,1,4,4,6,7,7,1,3,6,2,6,5,7,3
123,5,3,3,4,3,6,5,6,4,7,7,2,3,7,5,7,6,7,6,6,5,4
124,2,1,1,4,4,3,3,2,1,1,3,5,1,2,2,1,1,3,1,4,2,1
125,1,3,4,7,2,6,4,7,5,6,1,1,4,4,2,6,1,2,1,4,2,5
126,1,3,3,6,4,4,1,1,2,1,7,5,4,5,1,1,5,3,4,1,1,2
127,6,1,1,3,5,3,3,5,5,5,4,3,1,4,4,2,6,3,1,4,6,2
128,7,7,7,5,2,3,6,5,7,6,7,6,7,5,6,3,3,7,7,3,7,7
129,6,3,3,3,2,7,6,3,7,4,1,1,1,2,6,5,4,6,4,2,2,1
130,2,2,1,6,7,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,2,1
131,2,3,1,1,2,4,3,3,4,2,1,2,3,4,3,4,3,3,3,3,4,1
132,6,2,4,5,6,5,6,6,2,3,4,2,4,5,1,3,5,2,3,3,3,2
133,7,6,7,2,2,7,7,4,6,5,4,6,3,5,7,7,7,7,7,7,6,5
134,6,7,7,6,6,2,1,1,5,5,2,1,3,2,3,6,2,5,6,4,6,3
135,5,3,2,7,4,2,5,4,6,6,6,2,1,1,7,7,7,5,5,4,3,6
136,7,7,7,1,1,2,2,2,6,7,1,1,1,4,1,1,1,2,4,3,7,7
137,7,5,5,6,4,4,4,3,7,6,6,1,3,5,6,6,1,6,5,4,6,5
138,2,2,3,4,6,5,6,6,3,3,2,2,4,6,3,2,4,4,6,4,5,6
139,2,5,1,2,2,1,5,5,3,5,3,2,3,7,6,1,2,4,3,3,7,3
140,2,7,4,5,1,4,5,5,2,4,6,6,4,2,2,6,4,2,2,3,3,6
141,4,1,3,3,3,3,5,5,7,7,4,3,1,2,7,2,6,3,6,4,6,1
142,6,2,4,5,7,3,4,6,5,4,2,2,1,2,2,2,3,2,2,1,2,3
143,5,1,2,3,1,1,1,6,1,1,5,3,5,3,1,2,1,4,3,2,1,1
144,2,3,3,6,4,3,4,1,1,2,5,4,4,7,6,6,6,2,4,3,2,6
145,3,3,7,1,3,4,6,1,6,7,7,4,1,3,6,6,6,6,7,7,5,6
146,1,2,1,1,2,5,2,1,1,1,1,2,5,4,2,3,2,6,4,6,1,1
147,5,2,3,2,2,6,5,7,7,7,4,5,2,3,5,7,7,4,4,1,7,6
148,3,3,6,3,4,7,7,6,5,4,2,4,3,3,5,4,6,4,2,1,2,5
149,5,5,5,2,1,6,5,3,3,3,3,5,4,6,4,5,4,4,2,5,6,5
150,2,1,2,5,7,5,5,2,4,2,4,7,4,4,2,1,3,3,3,2,4,3
151,4,3,3,3,1,2,2,2,5,5,2,4,5,1,4,5,1,7,2,4,2,5
152,6,6,6,4,3,5,3,4,2,5,1,4,2,3,3,6,4,1,1,1,6,5
153,6,6,3,6,3,3,1,2,3,4,2,2,3,5,1,7,2,3,4,6,2,4
154,6,7,7,7,6,3,1,4,7,6,3,4,6,2,3,6,2,3,4,4,2,7
155,3,4,3,2,1,2,2,2,5,2,4,7,3,5,1,2,1,4,7,6,1,2
156,2,4,2,6,2,6,6,7,6,6,2,2,1,1,6,2,6,5,7,5,3,1
157,5,7,7,5,3,5,3,3,5,4,3,1,4,2,3,1,3,5,5,3,5,7
158,4,3,6,6,2,3,2,2,3,2,4,1,5,3,5,2,5,4,4,7,2,4
159,6,4,7,4,1,4,4,1,5,4,2,1,2,2,3,6,4,4,2,3,5,4
160,7,7,7,7,4,7,6,4,7,4,1,3,6,4,7,3,7,6,4,7,2,6
161,4,3,3,4,6,2,1,1,2,1,3,6,5,4,6,5,1,4,5,4,1,1
162,1,2,1,1,3,1,3,1,1,1,5,4,1,2,3,4,6,3,2,2,1,1
163,3,5,3,6,5,5,3,5,2,4,2,6,6,7,5,1,1,5,4,6,7,5
164,2,5,4,2,2,4,3,3,4,5,1,1,4,2,7,5,4,2,4,2,2,1
165,1,3,4,4,4,3,2,1,1,4,2,1,5,4,2,2,2,1,3,1,7,4
166,3,6,6,5,7,1,3,3,1,2,4,4,7,7,1,2,1,1,1,1,2,3
167,3,3,3,5,5,6,6,3,2,3,1,2,5,2,6,5,4,7,2,3,1,1
168,7,7,5,4,4,6,5,4,6,4,7,6,3,6,5,3,6,3,1,3,5,6
169,1,1,1,2,1,3,1,1,1,1,5,1,6,1,5,1,1,3,2,2,1,7
170,3,5,5,3,3,1,3,4,6,6,5,5,2,4,5,6,7,3,5,4,1,2
171,6,4,4,2,3,5,2,4,3,2,5,3,2,6,2,1,1,6,6,6,2,4
172,3,6,3,2,1,1,1,2,4,3,5,2,2,4,7,1,3,4,4,5,6,6
173,3,1,5,6,1,1,6,4,6,6,7,5,5,6,4,5,6,6,6,4,6,3
174,3,4,6,5,4,1,2,1,3,2,5,1,5,2,4,2,3,1,1,1,3,6
175,1,3,2,1,1,1,1,2,2,2,4,1,6,4,5,6,2,3,1,3,3,4
176,6,5,6,5,5,7,6,7,6,7,4,7,2,3,6,2,3,7,7,7,1,1
177,6,3,5,7,5,6,6,5,5,2,2,5,5,5,7,6,6,7,4,6,7,5
178,7,5,5,5,5,4,5,1,4,7,5,6,3,2,2,4,2,4,2,4,5,4
179,2,2,2,2,4,3,1,7,2,2,6,2,7,6,4,1,4,2,4,1,2,1
180,5,6,5,5,3,7,7,4,6,3,6,5,3,6,7,6,5,7,6,6,6,7
181,7,7,6,7,6,2,6,4,3,5,2,2,7,7,4,4,3,4,6,6,2,1
182,1,4,2,1,2,4,5,6,3,2,1,2,2,4,1,2,5,2,1,1,6,4
183,2,5,5,7,6,4,4,5,6,6,1,7,2,2,5,3,5,6,5,7,2,3
184,2,3,5,5,3,1,1,3,4,2,4,6,7,6,4,5,5,2,5,4,7,3
185,7,7,7,7,4,7,7,6,7,6,4,6,7,5,7,6,5,5,7,6,5,7
186,7,7,7,7,7,7,7,7,7,6,2,2,2,2,6,7,5,7,7,7,5,6
187,3,7,5,4,7,3,2,3,5,6,6,4,6,6,4,7,6,5,6,6,6,7
188,1,4,2,1,2,3,1,4,3,2,3,1,3,6,4,6,4,2,1,1,7,5
189,3,3,1,5,5,4,1,6,2,2,5,5,2,3,4,6,3,6,3,3,4,4
190,2,4,4,3,6,3,4,4,1,1,1,1,2,2,6,7,5,7,6,1,3,1
191,1,2,2,7,2,3,1,6,1,2,1,1,5,6,1,1,1,4,3,1,6,2
192,7,7,7,6,5,4,7,7,4,6,6,6,7,6,6,5,6,7,7,5,6,6
193,6,4,6,4,4,1,3,7,5,5,3,1,4,1,2,7,4,3,2,4,4,5
194,6,6,6,7,7,3,3,4,3,4,4,4,7,6,1,2,2,4,3,3,5,2
195,2,5,4,5,7,3,4,4,2,3,1,2,2,2,5,7,5,6,6,6,4,7
196,1,1,1,3,1,3,4,3,2,1,4,2,6,5,4,4,6,1,1,5,7,5
197,1,1,5,3,3,4,3,3,3,2,3,5,7,7,3,2,3,2,6,7,6,4
198,2,1,2,3,1,1,5,3,1,1,1,1,1,1,5,3,2,2,2,3,3,1
199,2,1,1,6,6,2,2,3,3,2,5,6,1,4,6,2,1,2,3,3,2,2
200,5,1,3,6,7,5,7,7,4,6,3,4,4,7,7,7,7,7,7,7,4,7
201,5,4,3,6,4,7,5,5,6,7,2,6,2,6,3,3,5,5,7,4,7,2
202,1,1,2,3,2,3,3,2,4,2,3,1,1,3,3,7,3,5,3,4,5,4
203,5,3,2,6,3,1,1,3,6,6,7,6,6,7,7,5,6,7,7,7,7,2
204,5,6,3,7,5,7,6,7,7,7,1,7,2,1,2,5,4,1,3,5,6,7
205,2,3,3,2,4,2,2,2,1,2,4,7,7,4,3,1,5,2,3,2,4,6
206,4,4,1,2,1,3,5,4,2,4,2,2,2,1,2,3,1,6,6,4,3,3
207,7,7,4,1,1,4,1,2,4,3,6,5,3,2,1,1,2,2,4,4,4,5
208,3,6,3,1,1,5,5,4,1,1,3,1,1,3,4,6,2,2,2,3,3,5
209,2,1,1,1,1,1,1,3,1,1,2,3,4,1,4,1,1,1,1,1,2,3
210,2,1,3,3,3,3,3,1,1,2,3,1,2,5,2,1,4,1,2,1,6,3
211,7,7,7,6,7,5,5,6,6,7,3,6,3,4,6,6,4,6,7,7,1,2
212,6,6,6,2,4,5,4,2,3,5,3,3,1,2,1,4,3,1,4,6,7,7
213,5,3,7,6,6,7,6,6,5,7,5,4,3,4,6,7,7,4,6,5,6,7
214,6,5,6,2,4,7,7,7,5,4,7,5,7,7,5,6,7,7,7,7,5,5
215,4,3,1,4,2,1,2,4,4,3,1,2,3,2,1,1,2,1,1,1,2,2
216,5,3,3,2,1,7,6,5,2,2,2,4,1,3,2,2,3,4,7,4,5,6
217,3,2,1,2,6,4,3,3,1,4,6,3,6,4,3,3,5,4,2,3,3,1
218,6,7,7,4,2,7,4,5,7,6,2,1,3,1,6,6,7,7,6,7,6,7
219,5,4,3,3,4,1,2,4,1,2,4,4,7,4,2,3,5,2,3,1,5,2
220,6,3,4,7,6,5,6,6,6,4,3,3,5,4,4,7,3,3,3,5,1,6
221,1,3,1,2,3,7,6,6,3,2,5,6,4,4,1,2,4,2,1,1,2,2
222,5,3,4,1,3,4,3,3,7,7,1,1,3,3,3,7,5,3,3,7,5,5
223,1,2,1,5,1,6,5,4,3,3,5,2,2,5,7,7,6,7,3,5,5,6
224,3,7,5,2,4,4,4,2,4,2,6,6,3,2,5,4,6,5,2,5,3,4
225,2,1,1,2,1,1,3,3,2,1,4,3,7,6,2,1,1,5,1,2,1,1
226,7,2,7,3,3,3,4,1,7,5,7,4,4,4,7,6,7,6,2,6,7,5
227,6,3,5,3,4,7,6,6,3,6,3,3,7,7,2,4,7,6,7,6,7,3
228,6,5,7,1,2,4,7,4,6,5,5,2,2,2,3,4,4,6,4,6,7,7
229,7,7,7,7,7,6,7,3,7,7,1,1,2,2,6,2,5,7,6,6,6,7
230,7,2,6,6,7,6,6,2,7,7,1,2,4,4,5,2,2,6,7,7,7,6
231,3,1,1,1,1,1,1,1,1,1,4,5,7,7,2,1,2,2,2,2,3,6
232,6,5,6,6,4,6,4,4,7,4,3,6,3,1,4,4,6,6,6,2,3,3
233,6,7,7,5,4,7,3,6,6,5,3,1,7,7,6,3,1,6,5,4,1,1
234,6,7,3,6,7,6,7,6,5,6,2,6,5,5,2,6,4,4,7,4,1,2
235,6,5,4,5,4,1,1,1,3,1,1,4,7,3,4,1,3,5,6,6,5,6
236,5,6,6,7,7,6,1,3,4,7,1,4,2,5,3,4,3,4,6,6,3,1
237,6,6,7,3,4,6,3,6,4,3,2,4,2,3,7,5,6,5,3,4,3,6
238,7,3,6,4,5,5,7,7,7,7,6,5,7,3,5,5,6,5,6,2,7,7
239,6,5,7,5,4,7,7,7,7,7,3,4,2,1,7,7,7,7,7,5,7,4
240,4,5,6,5,7,3,2,2,6,6,2,3,4,2,1,2,4,2,3,5,6,6
241,2,4,5,4,5,2,1,4,5,3,2,4,7,5,7,4,7,2,2,5,3,4
242,7,7,7,5,6,7,7,7,6,7,5,5,7,7,5,7,1,5,4,3,6,5
243,4,3,1,1,3,4,2,1,4,5,1,5,1,1,2,6,3,6,6,5,5,1
244,2,6,3,1,1,2,5,7,4,3,1,2,3,1,3,3,2,1,2,1,3,2
245,7,7,7,2,6,2,2,3,5,6,7,7,7,5,1,1,2,1,1,1,2,4
246,6,6,7,2,4,5,3,3,6,7,2,1,2,3,2,2,3,6,6,7,3,2
247,5,5,3,4,4,1,3,1,2,2,7,5,5,7,3,1,4,1,1,3,4,1
248,1,3,3,4,2,6,7,3,3,4,2,1,4,2,2,3,2,6,2,3,7,6
249,7,7,6,6,7,7,4,7,7,5,1,2,2,3,2,4,3,6,6,6,7,7
250,3,3,4,6,2,6,4,5,6,3,2,6,1,1,2,6,5,2,2,4,7,3
251,6,4,3,1,3,4,4,4,3,3,6,6,2,1,2,2,5,5,3,3,1,6
252,6,7,4,1,5,4,2,7,6,4,6,5,2,1,2,6,3,4,4,5,7,3
253,3,2,1,1,1,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,2,1
254,1,4,4,3,1,2,3,2,2,3,1,2,1,2,1,2,1,5,1,2,2,1
255,2,2,1,1,6,4,3,2,3,4,6,4,2,3,3,5,5,5,6,2,6,7
256,7,7,6,6,7,7,7,5,7,7,5,4,6,5,7,7,7,6,7,7,7,7
257,7,6,6,1,1,7,7,5,3,4,5,7,3,3,7,5,5,5,5,5,5,7
258,1,2,1,2,5,1,1,1,1,1,7,7,7,7,2,1,4,1,1,1,2,5
259,7,7,7,3,4,4,6,5,6,6,4,2,1,1,7,7,7,4,6,6,2,5
260,1,1,1,5,6,3,4,6,2,2,4,6,5,7,4,4,3,1,1,1,5,1
261,4,4,3,1,1,3,1,2,2,4,7,4,4,1,6,7,6,4,3,3,1,3
262,4,2,1,3,5,1,3,1,3,6,7,6,2,1,5,4,4,6,3,2,5,7
263,6,7,6,6,6,7,5,7,7,7,7,3,1,2,5,3,6,7,5,6,3,7
264,4,3,2,7,2,2,4,5,4,5,5,4,4,3,7,6,1,4,5,2,5,6
265,6,6,7,3,3,5,3,4,4,4,1,5,6,5,5,4,7,7,6,4,1,1
266,3,6,5,3,7,6,7,3,3,4,5,1,7,7,1,1,4,3,4,4,1,5
267,6,6,6,3,5,7,6,7,6,7,6,5,7,3,7,7,6,5,5,7,5,7
268,1,2,1,5,2,1,1,1,2,1,7,7,3,6,6,2,6,3,6,5,6,4
269,6,3,3,2,3,6,5,2,3,7,6,5,5,5,4,3,5,6,7,5,3,7
270,5,6,6,4,3,2,1,2,1,1,5,7,7,7,1,3,3,2,3,6,1,1
271,3,2,2,3,2,1,3,1,1,3,2,2,4,2,5,3,4,4,6,5,5,2
272,3,4,3,2,2,7,3,3,4,3,3,1,1,1,1,2,3,5,4,3,2,4
273,1,3,2,7,7,6,3,4,5,6,7,4,5,1,7,6,7,4,2,7,7,7
274,5,5,5,7,5,7,6,7,3,5,6,6,7,7,5,3,7,1,1,1,4,5
275,2,6,4,7,3,2,2,5,2,3,5,7,5,5,4,3,5,1,1,2,3,2
276,5,6,7,1,2,2,5,5,4,7,2,5,2,3,1,1,1,5,3,3,3,3
277,2,2,1,1,4,4,3,4,4,1,2,7,4,5,2,2,1,4,6,3,1,2
278,3,3,2,7,7,3,2,3,7,4,4,3,3,3,3,6,5,5,7,6,1,1
279,4,7,4,4,1,4,6,6,7,4,5,6,6,6,7,6,3,7,7,7,4,5
280,3,4,5,4,3,1,1,1,2,1,5,6,1,2,3,3,3,4,5,6,2,2
281,3,2,1,3,6,4,5,4,4,6,4,4,3,3,7,4,6,7,7,5,3,3
282,2,4,6,4,2,2,3,4,2,1,1,1,2,2,2,3,5,4,4,4,7,6
283,6,3,5,3,5,1,3,2,5,4,7,7,4,5,3,4,5,4,4,2,4,2
284,7,7,7,7,6,6,4,6,4,3,5,5,6,4,6,5,7,1,3,2,3,1
285,4,6,3,4,4,1,1,2,6,7,4,3,2,6,2,7,5,7,3,4,2,7
286,3,6,6,6,5,3,5,4,5,6,2,4,3,7,7,3,6,6,6,7,4,5
287,3,5,3,3,6,1,2,5,5,4,1,6,2,4,5,5,5,2,1,1,2,3
288,5,3,4,7,2,6,6,6,4,2,3,2,1,1,2,5,7,4,5,3,4,5
289,2,2,3,2,4,7,7,7,6,7,5,1,2,4,6,7,7,7,7,3,6,6
290,4,3,4,6,5,2,1,1,2,4,4,1,7,6,2,5,3,4,4,3,4,1
291,6,6,5,2,4,6,4,5,4,6,6,6,3,2,1,5,1,6,4,3,3,2
292,4,4,7,1,2,1,2,5,4,5,6,2,2,6,3,7,5,3,1,2,4,2
293,1,1,1,5,4,4,3,4,1,4,2,4,6,6,2,4,2,2,2,1,5,1
294,1,1,2,1,2,1,1,1,1,1,5,6,4,2,1,3,1,1,1,1,1,1
295,7,6,3,7,6,1,1,1,3,2,6,7,7,5,2,5,1,6,3,5,3,3
296,6,4,2,1,4,6,5,7,3,7,2,5,6,3,5,6,7,3,1,6,2,5
297,3,3,3,1,5,1,2,1,1,1,4,6,7,6,5,6,3,2,2,2,2,1
298,1,1,3,6,4,2,1,2,1,1,1,1,5,3,1,1,1,2,1,2,3,2
299,4,5,3,5,6,6,4,6,7,6,4,5,6,6,2,2,1,2,1,5,6,3
