firm_id,state,geo_zone,location_type,sector,isic_section,isic_2digit,firm_age_years,employees_full_time,annual_turnover_naira,legal_structure,owner_age,owner_gender,owner_education,owner_field_of_study,owner_prior_entre_experience,owner_digital_literacy_0_100,B1_digital_tools_computers,B1_digital_tools_accounting_software,B1_digital_tools_crm,B1_digital_tools_ecommerce,B1_digital_tools_cloud,B1_digital_tools_social_media,B2_advanced_ai_ml,B2_advanced_iot,B2_advanced_blockchain,B2_advanced_robotics,B3_process_new_methods,B3_process_supply_chain_software,B3_process_support_techniques,B4_product_new_or_improved,B4_product_launch_frequency,B5_bmi_revenue_model_changes,B5_bmi_value_prop_changes,B5_bmi_customer_engagement_changes,B6_drivers_competitive_pressure,B6_drivers_customer_demand,B6_drivers_top_mgmt_attitude,B_comp_digital_tools_mean_1_5,B_comp_advanced_tech_mean_1_5,B_comp_process_innovation_mean_1_5,B_comp_product_innovation_mean_1_5,B_comp_bmi_mean_1_5,B_comp_level_digitization_1_5,B_comp_level_digitization_score_0_100,C1_financial_access_to_credit,C1_financial_cost_of_innovation,C1_financial_internal_capital_sufficiency,C2_human_skill_shortage,C2_human_training_cost,C2_human_mgmt_capability_for_change,C3_infra_power_reliability,C3_infra_internet_quality_cost,C3_infra_logistics_access,C4_regulatory_burden_taxes,C4_regulatory_corruption_informal_charges,C4_regulatory_govt_program_effectiveness,C5_market_competition_intensity,C5_market_demand_uncertainty,C5_market_international_access,D1_subj_profitability_growth,D1_subj_sales_growth,D1_subj_market_share_growth,D1_subj_roi,D1_subj_overall_perf_satisfaction,D_comp_subjective_performance_mean_1_5,D2_obj_annual_turnover_naira,D2_obj_profit_naira,D2_obj_turnover_band,D2_obj_profit_band,D2_obj_employee_growth_rate_pct,D2_obj_num_new_branches_clients,D3_nonfin_increase_product_lines,D3_nonfin_quality_improved,D3_nonfin_customer_satisfaction_retention
F2025000010,Kaduna,North West,Urban,Agriculture,A,01,8,4,1712888.4212189037,Sole Proprietorship,46,Male,Secondary,Arts/Social Sciences,1,52.21429005310339,2,2,1,4,4,3,2,2,1,1,4,4,2,5,5,5,4,3,3,4,4,2.6666666666666665,1.5,3.3333333333333335,5.0,4.0,4.0,75.0,4,1,3,5,4,2,1,1,3,5,2,4,3,3,1,4,5,5,5,5,4.8,1712888.4212189037,369151.10394848353,₦1m–₦5m,Loss/Break-even,3.3777088995389053,0,5,5,3
F2025000011,Imo,South East,Rural,Retail & Wholesale,G,47,6,2,4038433.133097736,Sole Proprietorship,28,Female,Tertiary,Business/Management,1,60.568399593769456,2,2,4,1,2,1,5,5,5,5,2,4,2,4,5,2,4,4,4,4,4,2.0,5.0,2.6666666666666665,4.5,3.3333333333333335,3.0,50.0,1,4,3,1,1,2,1,2,2,4,4,3,4,3,1,4,5,5,5,5,4.8,4038433.133097736,988497.007759629,₦1m–₦5m,₦0.5m–₦2m,5.2557108710011375,0,5,3,5
F2025000012,Lagos,South West,Rural,Manufacturing,C,10,0,27,10900103.21615788,Sole Proprietorship,44,Male,Secondary,Arts/Social Sciences,1,46.569622968408915,5,3,5,3,3,5,1,1,1,1,2,2,1,4,5,3,2,2,1,4,1,4.0,1.0,1.6666666666666667,4.5,2.3333333333333335,2.0,25.0,1,3,1,3,1,3,5,5,5,5,3,3,5,5,5,5,5,3,5,4,4.4,10900103.21615788,2602227.5481655938,₦5m–₦20m,₦2m–₦10m,-2.9375542722486334,0,5,1,5
F2025000013,Ebonyi,South East,Rural,Manufacturing,C,10,0,9,5980866.715257484,Sole Proprietorship,38,Male,Primary,Sciences,0,30.738615084910148,4,5,3,1,4,5,4,4,4,3,4,5,4,3,5,5,5,5,1,1,5,3.6666666666666665,3.75,4.333333333333333,4.0,5.0,4.0,75.0,5,2,2,1,1,1,2,1,1,1,1,4,3,2,2,5,5,5,5,5,5.0,5980866.715257484,1982648.980526687,₦5m–₦20m,₦0.5m–₦2m,20.115198694569624,1,3,5,5
F2025000014,Lagos,South West,Urban,Construction,F,41,0,10,53236872.68099809,Sole Proprietorship,58,Male,Tertiary,Engineering/Technology,1,66.39673096912995,5,5,4,4,5,5,1,2,1,1,1,5,3,1,1,5,2,2,1,1,2,4.666666666666667,1.25,3.0,1.0,3.0,3.0,50.0,2,3,2,5,3,3,1,1,3,4,2,1,3,5,5,5,5,3,5,5,4.6,53236872.68099809,7960215.096670231,₦20m–₦100m,₦2m–₦10m,-5.956951023118326,1,3,3,1
F2025000015,Ekiti,South West,Urban,Agriculture,A,01,6,21,7336101.948520856,Limited Liability,35,Male,Secondary,Business/Management,0,44.16191602150837,3,3,3,1,3,3,4,4,3,3,1,1,1,5,2,1,1,1,2,1,3,2.6666666666666665,3.5,1.0,3.5,1.0,3.0,50.0,2,2,1,1,3,4,2,1,3,1,1,3,4,5,4,4,4,3,4,5,4.0,,,₦5m–₦20m,₦0.5m–₦2m,5.991711280275477,0,4,1,1
F2025000016,Zamfara,North West,Rural,Manufacturing,C,10,10,4,8539975.946025742,Limited Liability,41,Male,Tertiary,Arts/Social Sciences,1,51.837077955788715,4,4,4,2,3,5,2,2,2,2,1,2,2,4,1,4,4,3,2,3,2,3.6666666666666665,2.0,1.6666666666666667,2.5,3.6666666666666665,4.0,75.0,2,1,1,4,5,4,1,3,3,3,5,5,4,3,4,5,5,3,5,5,4.6,8539975.946025742,2567368.2933215355,₦5m–₦20m,₦2m–₦10m,10.056464492974962,2,3,5,2
F2025000017,Delta,South South,Rural,Other Services,S,96,6,13,7689205.451060581,Limited Liability,46,Male,Tertiary,Business/Management,1,68.34424560644037,1,3,3,3,3,4,2,2,2,2,2,4,4,4,3,2,2,2,2,4,2,2.8333333333333335,2.0,3.3333333333333335,3.5,2.0,4.0,75.0,1,1,1,5,5,3,5,4,1,3,1,1,2,3,4,4,3,5,5,5,4.4,7689205.451060581,1848106.629377281,₦5m–₦20m,₦0.5m–₦2m,4.709036616170241,1,5,2,4
F2025000018,Abuja FCT,North Central,Urban,Retail & Wholesale,G,47,25,7,9318441.313977394,Sole Proprietorship,31,Male,Tertiary,Business/Management,0,77.62156749582768,2,4,3,4,1,1,3,4,3,3,1,2,2,3,4,2,3,4,5,4,2,2.5,3.25,1.6666666666666667,3.5,3.0,5.0,100.0,4,3,3,4,2,5,3,3,2,2,2,3,5,5,4,5,5,5,4,3,4.4,9318441.313977394,2216290.9886981705,₦5m–₦20m,₦2m–₦10m,-0.5054709012314696,2,1,2,4
F2025000019,Oyo,South West,Urban,Manufacturing,C,10,1,6,2777473.733975751,Partnership,25,Male,Tertiary,Engineering/Technology,1,75.58306910936906,5,4,4,5,4,4,4,4,3,3,4,3,5,3,1,1,1,1,1,1,2,4.333333333333333,3.5,4.0,2.0,1.0,4.0,75.0,1,2,4,1,2,1,2,4,2,3,4,5,2,2,2,5,5,3,5,4,4.4,2777473.733975751,731299.9439466065,₦1m–₦5m,₦0.5m–₦2m,7.629815075571613,0,3,3,1
F2025000020,Taraba,North East,Rural,Agriculture,A,01,12,6,11158895.012871388,Partnership,51,Female,Tertiary,Engineering/Technology,1,60.21852337672048,5,5,5,5,4,5,3,3,2,2,2,5,3,2,2,3,1,4,2,2,4,4.833333333333333,2.5,3.3333333333333335,2.0,2.6666666666666665,2.0,25.0,1,1,1,2,1,2,5,4,4,2,4,3,4,5,2,5,4,4,5,5,4.6,11158895.012871388,2764805.7390667954,₦5m–₦20m,₦2m–₦10m,8.972433206470269,1,2,4,4
F2025000021,Benué,North Central,Rural,Hospitality & Food Services,I,56,18,6,11320438.104664544,Limited Liability,44,Male,Primary,Business/Management,1,41.0701051332142,4,4,2,4,4,4,1,1,1,1,2,3,2,3,3,3,3,3,2,3,4,3.6666666666666665,1.0,2.3333333333333335,3.0,3.0,2.0,25.0,1,3,3,3,5,2,3,3,4,2,5,4,5,4,1,5,5,5,5,5,5.0,,,₦5m–₦20m,₦2m–₦10m,4.260905446828703,1,4,4,3
F2025000022,Kano,North West,Rural,Manufacturing,C,10,0,6,16728672.14071085,Sole Proprietorship,41,Male,Postgraduate,Business/Management,0,77.45012143609604,5,4,5,4,4,4,5,5,5,5,5,5,5,3,1,2,1,1,4,1,4,4.333333333333333,5.0,5.0,2.0,1.3333333333333333,5.0,100.0,4,1,3,5,4,4,5,5,4,1,1,3,4,1,3,5,5,5,5,5,5.0,,,₦5m–₦20m,₦2m–₦10m,14.078150137501835,0,3,5,2
F2025000023,Lagos,South West,Urban,Retail & Wholesale,G,47,4,10,12392090.885873692,Sole Proprietorship,41,Female,Tertiary,Agric/Environment,1,64.65807993105429,3,2,4,2,3,2,5,5,4,4,5,4,4,4,3,5,5,5,4,1,5,2.6666666666666665,4.5,4.333333333333333,3.5,5.0,4.0,75.0,2,1,2,4,2,3,3,4,4,3,3,4,2,3,3,5,5,5,5,5,5.0,12392090.885873692,3370208.185247963,₦5m–₦20m,₦2m–₦10m,8.367682229682076,2,4,3,2
F2025000024,Delta,South South,Rural,Retail & Wholesale,G,47,15,6,10580736.665876316,Limited Liability,39,Female,Secondary,Other,0,46.51917804939989,1,1,2,2,2,1,2,2,2,1,2,1,2,3,3,3,3,4,2,4,3,1.5,1.75,1.6666666666666667,3.0,3.3333333333333335,3.0,50.0,1,2,1,1,2,2,4,4,2,3,4,2,5,5,5,5,5,4,5,4,4.6,10580736.665876316,2331471.502527718,₦5m–₦20m,₦2m–₦10m,16.37671983738873,0,2,2,2
F2025000025,Edo,South South,Rural,Retail & Wholesale,G,47,16,4,4083828.98832796,Cooperative/Other,26,Female,Primary,Agric/Environment,1,35.72200657732118,2,3,4,5,5,1,5,5,4,4,1,3,2,2,3,3,2,2,3,2,2,3.3333333333333335,4.5,2.0,2.5,2.3333333333333335,4.0,75.0,4,4,4,3,2,3,2,3,3,2,5,3,1,1,3,5,5,4,3,5,4.4,4083828.98832796,552466.4518193639,₦1m–₦5m,₦0.5m–₦2m,15.34870371664655,0,4,3,4
F2025000026,Ondo,South West,Rural,Agriculture,A,01,0,8,5930670.814167152,Sole Proprietorship,50,Male,Tertiary,Engineering/Technology,1,52.2354130924039,2,1,2,2,2,1,1,1,1,1,4,1,1,5,4,2,2,2,3,4,3,1.6666666666666667,1.0,2.0,4.5,2.0,5.0,100.0,4,1,3,2,3,3,1,1,1,4,3,3,5,1,4,5,5,4,5,5,4.8,5930670.814167152,1876502.7675654113,₦5m–₦20m,₦0.5m–₦2m,4.903094845319905,1,5,4,2
F2025000027,Kano,North West,Urban,Education & Health,P/Q,86,11,5,2004177.8508436074,Sole Proprietorship,34,Male,Tertiary,Engineering/Technology,1,75.01179084995091,1,1,3,3,2,4,4,4,4,4,5,2,2,5,5,3,3,4,4,3,2,2.3333333333333335,4.0,3.0,5.0,3.3333333333333335,3.0,50.0,4,4,4,3,2,1,3,2,4,3,1,2,2,4,2,5,5,2,5,3,4.0,2004177.8508436074,232954.49926778284,₦1m–₦5m,Loss/Break-even,-0.2849766181030737,0,5,1,5
F2025000028,Lagos,South West,Rural,Other Services,S,96,9,6,9135463.320454763,Sole Proprietorship,55,Male,Postgraduate,Sciences,1,59.13760272408209,5,5,4,5,1,4,1,1,1,1,2,2,1,4,3,2,1,2,2,2,2,4.0,1.0,1.6666666666666667,3.5,1.6666666666666667,2.0,25.0,4,3,4,1,1,2,1,4,3,4,4,5,1,4,3,5,5,5,2,4,4.2,9135463.320454763,1366915.148500778,₦5m–₦20m,₦0.5m–₦2m,19.695967047318856,0,3,3,4
F2025000029,Lagos,South West,Urban,Construction,F,41,15,6,4889696.16191898,Sole Proprietorship,25,Female,Postgraduate,Other,1,89.48707350925442,3,2,3,5,1,2,2,3,2,2,2,4,2,5,5,5,5,3,4,5,5,2.6666666666666665,2.25,2.6666666666666665,5.0,4.333333333333333,4.0,75.0,4,4,5,5,5,5,2,1,2,4,4,4,3,3,3,5,5,5,5,5,5.0,4889696.16191898,896123.1775382312,₦1m–₦5m,₦0.5m–₦2m,10.734820495540383,1,5,4,5
F2025000030,Abuja FCT,North Central,Rural,Other Services,S,96,10,5,6624221.756505085,Sole Proprietorship,46,Male,Tertiary,Business/Management,0,75.38730584747005,5,5,3,4,4,4,4,4,4,3,4,3,4,3,5,4,5,5,3,2,4,4.166666666666667,3.75,3.6666666666666665,4.0,4.666666666666667,4.0,75.0,3,2,4,3,1,2,4,4,2,1,3,4,4,4,4,4,5,5,5,2,4.2,6624221.756505085,973433.6532208676,₦5m–₦20m,₦0.5m–₦2m,11.55308990227434,0,5,4,5
F2025000031,Benué,North Central,Urban,Hospitality & Food Services,I,56,15,5,7538911.313512961,Partnership,45,Female,Tertiary,Business/Management,1,80.31433143792718,5,4,4,3,3,5,5,5,4,4,2,3,2,3,4,3,1,3,3,3,3,4.0,4.5,2.3333333333333335,3.5,2.3333333333333335,4.0,75.0,2,2,4,2,4,2,4,3,3,3,4,1,3,5,4,5,5,5,5,4,4.8,7538911.313512961,1569143.9717470435,₦5m–₦20m,₦0.5m–₦2m,11.608550200150228,0,2,4,3
F2025000032,Kano,North West,Rural,Education & Health,P/Q,86,9,3,2956518.341660027,Limited Liability,36,Female,Tertiary,Other,0,63.05404476523351,5,5,5,4,5,5,5,5,5,5,4,4,5,4,5,5,5,5,1,3,2,4.833333333333333,5.0,4.333333333333333,4.5,5.0,5.0,100.0,5,5,4,5,4,4,5,5,1,4,4,2,5,5,5,5,5,4,4,4,4.4,2956518.341660027,360033.8063864946,₦1m–₦5m,Loss/Break-even,18.20716767615757,0,5,5,4
F2025000033,Bayelsa,South South,Rural,Retail & Wholesale,G,47,9,5,4176613.49764616,Limited Liability,18,Male,Tertiary,Engineering/Technology,1,81.707752080701,5,5,5,5,4,4,2,2,2,1,2,3,4,2,3,2,1,4,4,1,5,4.666666666666667,1.75,3.0,2.5,2.3333333333333335,5.0,100.0,4,3,3,2,4,3,2,2,2,2,2,1,4,2,3,5,5,5,5,5,5.0,4176613.49764616,1139312.1840775632,₦1m–₦5m,₦0.5m–₦2m,13.087840041590088,0,1,4,1
F2025000034,Lagos,South West,Rural,Hospitality & Food Services,I,56,7,7,5288908.549790731,Sole Proprietorship,46,Male,Tertiary,Engineering/Technology,1,70.71784005556839,4,3,5,2,2,3,1,1,1,1,4,3,4,5,4,4,5,5,2,3,4,3.1666666666666665,1.0,3.6666666666666665,4.5,4.666666666666667,2.0,25.0,3,3,3,3,2,1,2,1,1,5,4,5,3,2,3,4,5,1,5,4,3.8,5288908.549790731,1086389.167605111,₦5m–₦20m,₦0.5m–₦2m,-0.7900001525987785,0,2,4,3
F2025000035,Ekiti,South West,Urban,Manufacturing,C,10,4,5,14763113.112813767,Sole Proprietorship,36,Female,Tertiary,Sciences,1,73.6414102553119,5,3,4,2,1,4,2,3,2,2,1,1,3,4,4,1,2,3,2,2,3,3.1666666666666665,2.25,1.6666666666666667,4.0,2.0,5.0,100.0,2,5,2,3,3,2,1,1,2,1,2,2,5,4,5,5,5,5,5,5,5.0,14763113.112813767,4215648.66652001,₦5m–₦20m,₦2m–₦10m,15.808380426872196,3,4,2,3
F2025000036,Kano,North West,Rural,IT & Professional Services,J,62,2,30,41144479.60118917,Cooperative/Other,38,Male,Postgraduate,Sciences,1,76.90335318976828,4,5,2,5,4,4,3,3,2,2,5,4,5,2,1,1,1,4,3,1,4,4.0,2.5,4.666666666666667,1.5,2.0,4.0,75.0,1,2,1,1,2,1,4,1,1,4,4,4,4,3,3,5,5,5,5,5,5.0,41144479.60118917,17030757.040532194,₦20m–₦100m,₦10m–₦50m,6.588478996217292,0,1,4,1
F2025000037,Enugu,South East,Rural,Hospitality & Food Services,I,56,0,2,2961262.2501091366,Sole Proprietorship,33,Male,Postgraduate,Business/Management,0,84.42014634138403,1,2,2,4,4,5,3,3,3,2,2,4,4,1,1,4,5,2,5,1,2,3.0,2.75,3.3333333333333335,1.0,3.6666666666666665,4.0,75.0,5,5,5,1,4,1,5,4,2,4,2,4,2,4,3,5,5,4,2,4,4.0,,,₦1m–₦5m,Loss/Break-even,-7.376731963084773,1,1,2,4
F2025000038,Delta,South South,Rural,Other Services,S,96,4,3,2938516.1009731344,Sole Proprietorship,35,Male,Secondary,Other,1,43.73880859985678,2,5,1,3,3,1,3,3,3,2,4,3,2,1,1,2,1,3,1,1,5,2.5,2.75,3.0,1.0,2.0,5.0,100.0,1,1,1,5,4,5,5,4,4,4,4,4,1,2,2,3,5,4,5,5,4.4,2938516.1009731344,488223.89503617934,₦1m–₦5m,Loss/Break-even,13.46332764348977,0,1,1,4
F2025000039,Benue,North Central,Urban,Manufacturing,C,10,10,8,34744739.758614965,Limited Liability,42,Male,Postgraduate,Business/Management,0,96.47280347828297,2,5,4,5,4,5,5,5,5,5,5,5,3,4,1,4,1,3,2,3,3,4.166666666666667,5.0,4.333333333333333,2.5,2.6666666666666665,5.0,100.0,1,1,4,1,2,1,2,3,2,1,1,2,1,2,1,5,5,5,5,5,5.0,34744739.758614965,11659749.384301923,₦20m–₦100m,₦10m–₦50m,18.485889089243376,0,2,4,2
F2025000040,Cross River,South South,Rural,Retail & Wholesale,G,47,12,5,12319503.785490947,Sole Proprietorship,42,Male,Tertiary,Business/Management,1,65.43598278724731,4,3,4,1,4,1,4,4,4,3,4,3,3,5,5,3,5,3,2,4,1,2.8333333333333335,3.75,3.3333333333333335,5.0,3.6666666666666665,5.0,100.0,3,3,3,1,1,2,2,2,1,3,2,2,4,5,5,5,5,5,5,2,4.4,12319503.785490947,3824883.9842918273,₦5m–₦20m,₦2m–₦10m,4.979417080721035,1,5,4,5
F2025000041,Kano,North West,Urban,Manufacturing,C,10,16,4,36803319.14122977,Sole Proprietorship,47,Female,Secondary,Arts/Social Sciences,0,55.53605764834023,5,2,5,3,3,5,3,4,3,3,2,5,3,2,4,3,4,2,1,3,3,3.8333333333333335,3.25,3.3333333333333335,3.0,3.0,4.0,75.0,5,4,5,2,1,1,4,3,2,1,1,1,2,1,1,5,5,5,4,5,4.8,36803319.14122977,9032382.17491422,₦20m–₦100m,₦2m–₦10m,5.411471598218282,3,5,3,3
F2025000042,Imo,South East,Rural,Manufacturing,C,10,10,10,7647503.430758593,Limited Liability,34,Female,Postgraduate,Engineering/Technology,0,76.63975084045617,4,3,4,4,3,3,1,1,1,1,4,2,1,1,3,5,5,5,2,5,2,3.5,1.0,2.3333333333333335,2.0,5.0,5.0,100.0,4,1,2,2,4,1,5,5,5,2,1,2,4,4,3,5,5,5,5,5,5.0,7647503.430758593,1570023.6850272256,₦5m–₦20m,₦0.5m–₦2m,3.013167746392658,1,3,2,5
F2025000043,Akwa Ibom,South South,Rural,Other Services,S,96,10,4,4280814.736439509,Partnership,34,Female,Postgraduate,Business/Management,0,77.56875179236893,4,1,2,2,3,4,1,1,1,1,5,2,3,1,1,2,1,2,4,2,1,2.6666666666666665,1.0,3.3333333333333335,1.0,1.6666666666666667,3.0,50.0,1,1,1,3,2,1,2,2,3,1,3,5,4,4,4,5,5,5,5,4,4.8,4280814.736439509,1037159.725008178,₦1m–₦5m,₦0.5m–₦2m,1.2481197925403364,0,2,4,1
F2025000044,Kano,North West,Urban,Retail & Wholesale,G,47,2,5,10875499.547690604,Sole Proprietorship,39,Male,Secondary,Agric/Environment,1,43.237208878249966,2,3,2,2,3,1,2,3,2,2,3,5,5,1,1,1,3,5,1,1,5,2.1666666666666665,2.25,4.333333333333333,1.0,3.0,5.0,100.0,2,2,2,1,1,1,4,4,1,4,5,4,2,2,2,5,5,5,5,5,5.0,10875499.547690604,3278521.428226927,₦5m–₦20m,₦2m–₦10m,-15.3182840820737,0,1,1,3
F2025000045,Rivers,South South,Urban,Other Services,S,96,5,5,4240746.960672475,Partnership,34,Female,Tertiary,Business/Management,1,69.42986484550146,3,5,2,3,5,4,2,2,1,1,2,1,4,1,2,2,2,1,2,2,3,3.6666666666666665,1.5,2.3333333333333335,1.5,1.6666666666666667,4.0,75.0,2,1,2,2,2,2,1,2,1,4,5,4,2,2,1,5,5,4,5,5,4.8,4240746.960672475,1213585.8233979126,₦1m–₦5m,₦0.5m–₦2m,14.961981505169017,1,2,4,2
F2025000046,Ondo,South West,Rural,Retail & Wholesale,G,47,18,31,29231215.827925954,Limited Liability,55,Female,Tertiary,Other,0,76.65546393572241,5,4,5,5,3,5,3,4,3,3,5,4,3,4,3,2,3,3,5,4,2,4.5,3.25,4.0,3.5,2.6666666666666665,5.0,100.0,1,1,2,1,1,1,1,2,1,5,5,4,2,1,3,5,5,5,5,5,5.0,29231215.827925954,10866336.031978041,₦20m–₦100m,₦10m–₦50m,26.42630008411154,0,5,4,3
