Country,Age,Gender,Education,Income_Level,Bank_Type,Years_with_Account,Frequency_of_Use,Past_Victim,Country_Label,Gender_Label,Education_Label,Bank_Type_Label,Frequency_of_Use_Label,Income_Band_Label
2,43.0,1,3,5,1,7,4,0,Ghana,Male,Secondary,Traditional Commercial,Monthly,GH₵7k–GH₵12k
2,34.7,2,3,3,2,17,2,0,Ghana,Female,Secondary,Digital-Only Bank,Several times a week,GH₵2k–GH₵4k
2,34.9,1,6,4,2,0,5,0,Ghana,Male,Postgraduate,Digital-Only Bank,Less than monthly,GH₵4k–GH₵7k
1,33.6,2,4,4,1,14,4,0,Nigeria,Female,Vocational/Technical,Traditional Commercial,Monthly,₦200k–₦400k
1,18.0,1,3,6,3,3,3,0,Nigeria,Male,Secondary,Microfinance,Weekly,₦800k–₦1.5m
1,18.0,2,5,5,1,2,3,1,Nigeria,Female,Undergraduate,Traditional Commercial,Weekly,₦400k–₦800k
1,29.1,1,4,4,3,1,5,0,Nigeria,Male,Vocational/Technical,Microfinance,Less than monthly,₦200k–₦400k
1,24.6,2,3,2,3,4,2,0,Nigeria,Female,Secondary,Microfinance,Several times a week,₦50k–₦100k
1,30.7,1,3,2,3,2,1,0,Nigeria,Male,Secondary,Microfinance,Daily,₦50k–₦100k
1,47.0,1,6,4,3,9,4,1,Nigeria,Male,Postgraduate,Microfinance,Monthly,₦200k–₦400k
2,34.3,2,3,1,1,3,3,0,Ghana,Female,Secondary,Traditional Commercial,Weekly,< GH₵1k
1,19.8,1,3,3,3,3,1,0,Nigeria,Male,Secondary,Microfinance,Daily,₦100k–₦200k
2,27.1,1,4,7,2,0,2,0,Ghana,Male,Vocational/Technical,Digital-Only Bank,Several times a week,> GH₵20k
2,52.1,2,4,3,1,11,3,0,Ghana,Female,Vocational/Technical,Traditional Commercial,Weekly,GH₵2k–GH₵4k
1,48.3,1,4,6,1,3,1,1,Nigeria,Male,Vocational/Technical,Traditional Commercial,Daily,₦800k–₦1.5m
2,41.0,1,6,5,1,12,2,1,Ghana,Male,Postgraduate,Traditional Commercial,Several times a week,GH₵7k–GH₵12k
2,19.4,1,3,3,1,3,3,1,Ghana,Male,Secondary,Traditional Commercial,Weekly,GH₵2k–GH₵4k
1,36.1,2,2,3,1,6,3,0,Nigeria,Female,Primary,Traditional Commercial,Weekly,₦100k–₦200k
1,36.8,1,6,2,1,3,4,0,Nigeria,Male,Postgraduate,Traditional Commercial,Monthly,₦50k–₦100k
2,35.3,2,3,2,3,4,2,0,Ghana,Female,Secondary,Microfinance,Several times a week,GH₵1k–GH₵2k
1,27.3,2,6,6,2,6,3,1,Nigeria,Female,Postgraduate,Digital-Only Bank,Weekly,₦800k–₦1.5m
1,29.4,1,5,7,1,14,3,1,Nigeria,Male,Undergraduate,Traditional Commercial,Weekly,> ₦1.5m
1,26.6,2,5,7,2,3,3,0,Nigeria,Female,Undergraduate,Digital-Only Bank,Weekly,> ₦1.5m
2,23.5,2,3,4,2,0,2,0,Ghana,Female,Secondary,Digital-Only Bank,Several times a week,GH₵4k–GH₵7k
2,48.7,2,2,2,1,2,3,0,Ghana,Female,Primary,Traditional Commercial,Weekly,GH₵1k–GH₵2k
2,43.8,1,3,5,1,3,5,0,Ghana,Male,Secondary,Traditional Commercial,Less than monthly,GH₵7k–GH₵12k
2,32.2,2,4,3,1,10,5,0,Ghana,Female,Vocational/Technical,Traditional Commercial,Less than monthly,GH₵2k–GH₵4k
1,36.5,1,5,3,1,21,3,0,Nigeria,Male,Undergraduate,Traditional Commercial,Weekly,₦100k–₦200k
1,36.9,1,3,4,1,5,1,0,Nigeria,Male,Secondary,Traditional Commercial,Daily,₦200k–₦400k
1,56.4,1,1,2,1,5,2,0,Nigeria,Male,No formal education,Traditional Commercial,Several times a week,₦50k–₦100k
1,41.7,2,2,1,3,2,5,0,Nigeria,Female,Primary,Microfinance,Less than monthly,< ₦50k
2,43.3,1,4,4,1,3,3,0,Ghana,Male,Vocational/Technical,Traditional Commercial,Weekly,GH₵4k–GH₵7k
1,33.4,2,2,5,2,7,3,0,Nigeria,Female,Primary,Digital-Only Bank,Weekly,₦400k–₦800k
1,28.7,1,5,5,3,3,1,0,Nigeria,Male,Undergraduate,Microfinance,Daily,₦400k–₦800k
2,48.8,1,3,2,2,1,2,0,Ghana,Male,Secondary,Digital-Only Bank,Several times a week,GH₵1k–GH₵2k
2,41.5,1,4,2,1,5,5,0,Ghana,Male,Vocational/Technical,Traditional Commercial,Less than monthly,GH₵1k–GH₵2k
1,24.7,1,5,3,3,8,2,1,Nigeria,Male,Undergraduate,Microfinance,Several times a week,₦100k–₦200k
1,37.5,2,4,4,1,6,2,1,Nigeria,Female,Vocational/Technical,Traditional Commercial,Several times a week,₦200k–₦400k
1,41.4,2,6,5,1,16,4,0,Nigeria,Female,Postgraduate,Traditional Commercial,Monthly,₦400k–₦800k
1,18.0,1,5,1,3,2,1,0,Nigeria,Male,Undergraduate,Microfinance,Daily,< ₦50k
1,23.8,1,3,3,2,1,5,0,Nigeria,Male,Secondary,Digital-Only Bank,Less than monthly,₦100k–₦200k
1,36.6,1,1,5,3,4,3,0,Nigeria,Male,No formal education,Microfinance,Weekly,₦400k–₦800k
1,18.0,2,6,4,2,0,3,1,Nigeria,Female,Postgraduate,Digital-Only Bank,Weekly,₦200k–₦400k
2,18.0,1,5,4,2,0,2,0,Ghana,Male,Undergraduate,Digital-Only Bank,Several times a week,GH₵4k–GH₵7k
1,30.3,2,6,3,1,6,3,0,Nigeria,Female,Postgraduate,Traditional Commercial,Weekly,₦100k–₦200k
1,37.9,1,2,3,3,5,3,0,Nigeria,Male,Primary,Microfinance,Weekly,₦100k–₦200k
1,38.4,1,6,4,1,6,2,0,Nigeria,Male,Postgraduate,Traditional Commercial,Several times a week,₦200k–₦400k
1,48.8,2,6,7,1,7,3,0,Nigeria,Female,Postgraduate,Traditional Commercial,Weekly,> ₦1.5m
2,35.8,2,3,4,1,4,2,0,Ghana,Female,Secondary,Traditional Commercial,Several times a week,GH₵4k–GH₵7k
1,29.3,1,2,3,1,7,4,0,Nigeria,Male,Primary,Traditional Commercial,Monthly,₦100k–₦200k
2,21.9,1,3,5,1,4,3,0,Ghana,Male,Secondary,Traditional Commercial,Weekly,GH₵7k–GH₵12k
2,31.2,1,4,7,1,5,2,0,Ghana,Male,Vocational/Technical,Traditional Commercial,Several times a week,> GH₵20k
1,40.1,1,3,2,3,5,3,0,Nigeria,Male,Secondary,Microfinance,Weekly,₦50k–₦100k
2,42.5,2,2,4,1,5,5,1,Ghana,Female,Primary,Traditional Commercial,Less than monthly,GH₵4k–GH₵7k
1,35.6,2,6,4,2,10,3,0,Nigeria,Female,Postgraduate,Digital-Only Bank,Weekly,₦200k–₦400k
1,38.5,1,3,5,3,4,3,0,Nigeria,Male,Secondary,Microfinance,Weekly,₦400k–₦800k
1,45.8,1,6,3,1,1,3,0,Nigeria,Male,Postgraduate,Traditional Commercial,Weekly,₦100k–₦200k
2,35.8,2,3,3,1,12,4,0,Ghana,Female,Secondary,Traditional Commercial,Monthly,GH₵2k–GH₵4k
1,46.7,2,6,4,3,6,1,1,Nigeria,Female,Postgraduate,Microfinance,Daily,₦200k–₦400k
1,25.7,2,3,4,3,3,2,1,Nigeria,Female,Secondary,Microfinance,Several times a week,₦200k–₦400k
1,32.3,2,2,5,3,3,2,0,Nigeria,Female,Primary,Microfinance,Several times a week,₦400k–₦800k
1,28.2,1,5,5,1,13,2,0,Nigeria,Male,Undergraduate,Traditional Commercial,Several times a week,₦400k–₦800k
2,42.9,2,3,6,1,5,1,0,Ghana,Female,Secondary,Traditional Commercial,Daily,GH₵12k–GH₵20k
1,22.9,1,3,5,1,7,3,0,Nigeria,Male,Secondary,Traditional Commercial,Weekly,₦400k–₦800k
1,29.8,2,3,7,1,9,3,0,Nigeria,Female,Secondary,Traditional Commercial,Weekly,> ₦1.5m
1,18.0,1,4,5,2,1,3,0,Nigeria,Male,Vocational/Technical,Digital-Only Bank,Weekly,₦400k–₦800k
2,40.9,2,5,5,3,2,3,0,Ghana,Female,Undergraduate,Microfinance,Weekly,GH₵7k–GH₵12k
1,45.5,1,2,6,3,7,1,0,Nigeria,Male,Primary,Microfinance,Daily,₦800k–₦1.5m
1,42.1,1,6,4,1,3,1,0,Nigeria,Male,Postgraduate,Traditional Commercial,Daily,₦200k–₦400k
1,41.1,1,2,3,3,2,3,0,Nigeria,Male,Primary,Microfinance,Weekly,₦100k–₦200k
2,43.4,2,5,6,3,3,1,0,Ghana,Female,Undergraduate,Microfinance,Daily,GH₵12k–GH₵20k
2,42.0,2,5,3,3,12,2,1,Ghana,Female,Undergraduate,Microfinance,Several times a week,GH₵2k–GH₵4k
2,41.1,1,3,4,3,1,4,0,Ghana,Male,Secondary,Microfinance,Monthly,GH₵4k–GH₵7k
1,39.8,1,4,5,1,11,3,0,Nigeria,Male,Vocational/Technical,Traditional Commercial,Weekly,₦400k–₦800k
2,28.4,1,4,3,2,0,3,0,Ghana,Male,Vocational/Technical,Digital-Only Bank,Weekly,GH₵2k–GH₵4k
2,33.0,2,5,3,3,5,5,0,Ghana,Female,Undergraduate,Microfinance,Less than monthly,GH₵2k–GH₵4k
2,35.7,2,5,6,2,0,3,0,Ghana,Female,Undergraduate,Digital-Only Bank,Weekly,GH₵12k–GH₵20k
1,29.6,2,4,4,1,10,1,0,Nigeria,Female,Vocational/Technical,Traditional Commercial,Daily,₦200k–₦400k
1,18.0,2,5,4,2,1,4,0,Nigeria,Female,Undergraduate,Digital-Only Bank,Monthly,₦200k–₦400k
1,20.6,2,3,3,3,5,3,0,Nigeria,Female,Secondary,Microfinance,Weekly,₦100k–₦200k
2,37.3,1,5,4,1,8,2,1,Ghana,Male,Undergraduate,Traditional Commercial,Several times a week,GH₵4k–GH₵7k
1,42.1,2,4,5,2,1,3,0,Nigeria,Female,Vocational/Technical,Digital-Only Bank,Weekly,₦400k–₦800k
1,33.1,1,6,6,1,3,1,0,Nigeria,Male,Postgraduate,Traditional Commercial,Daily,₦800k–₦1.5m
1,60.6,2,6,4,3,8,5,0,Nigeria,Female,Postgraduate,Microfinance,Less than monthly,₦200k–₦400k
1,23.8,2,1,4,1,4,1,0,Nigeria,Female,No formal education,Traditional Commercial,Daily,₦200k–₦400k
1,37.4,2,5,5,1,14,1,1,Nigeria,Female,Undergraduate,Traditional Commercial,Daily,₦400k–₦800k
2,47.9,1,5,4,1,2,4,0,Ghana,Male,Undergraduate,Traditional Commercial,Monthly,GH₵4k–GH₵7k
2,45.7,2,5,5,2,0,1,0,Ghana,Female,Undergraduate,Digital-Only Bank,Daily,GH₵7k–GH₵12k
2,41.6,2,3,7,1,10,3,0,Ghana,Female,Secondary,Traditional Commercial,Weekly,> GH₵20k
1,43.7,3,5,3,1,17,2,0,Nigeria,Other/Prefer not to say,Undergraduate,Traditional Commercial,Several times a week,₦100k–₦200k
2,35.6,1,3,4,3,0,2,0,Ghana,Male,Secondary,Microfinance,Several times a week,GH₵4k–GH₵7k
1,49.6,2,6,3,1,2,3,1,Nigeria,Female,Postgraduate,Traditional Commercial,Weekly,₦100k–₦200k
2,47.8,1,4,3,1,4,4,0,Ghana,Male,Vocational/Technical,Traditional Commercial,Monthly,GH₵2k–GH₵4k
1,24.5,2,3,4,2,6,2,1,Nigeria,Female,Secondary,Digital-Only Bank,Several times a week,₦200k–₦400k
1,36.2,2,5,3,3,10,2,1,Nigeria,Female,Undergraduate,Microfinance,Several times a week,₦100k–₦200k
1,18.0,2,3,3,3,3,4,0,Nigeria,Female,Secondary,Microfinance,Monthly,₦100k–₦200k
1,48.2,1,3,4,1,24,4,1,Nigeria,Male,Secondary,Traditional Commercial,Monthly,₦200k–₦400k
1,35.2,2,5,5,1,7,4,0,Nigeria,Female,Undergraduate,Traditional Commercial,Monthly,₦400k–₦800k
1,46.5,2,3,3,1,5,3,0,Nigeria,Female,Secondary,Traditional Commercial,Weekly,₦100k–₦200k
1,31.9,1,3,4,2,2,3,1,Nigeria,Male,Secondary,Digital-Only Bank,Weekly,₦200k–₦400k
1,18.0,2,4,6,2,1,3,0,Nigeria,Female,Vocational/Technical,Digital-Only Bank,Weekly,₦800k–₦1.5m
1,59.4,2,3,2,1,4,5,0,Nigeria,Female,Secondary,Traditional Commercial,Less than monthly,₦50k–₦100k
2,36.3,1,2,3,1,7,4,0,Ghana,Male,Primary,Traditional Commercial,Monthly,GH₵2k–GH₵4k
1,23.0,2,3,4,2,2,3,0,Nigeria,Female,Secondary,Digital-Only Bank,Weekly,₦200k–₦400k
1,44.5,1,4,3,1,8,2,1,Nigeria,Male,Vocational/Technical,Traditional Commercial,Several times a week,₦100k–₦200k
1,53.4,2,4,7,1,1,3,0,Nigeria,Female,Vocational/Technical,Traditional Commercial,Weekly,> ₦1.5m
1,31.0,1,4,2,1,10,3,0,Nigeria,Male,Vocational/Technical,Traditional Commercial,Weekly,₦50k–₦100k
2,34.0,2,6,4,2,6,4,0,Ghana,Female,Postgraduate,Digital-Only Bank,Monthly,GH₵4k–GH₵7k
1,35.4,1,3,1,3,6,3,0,Nigeria,Male,Secondary,Microfinance,Weekly,< ₦50k
2,23.9,2,6,1,2,0,2,0,Ghana,Female,Postgraduate,Digital-Only Bank,Several times a week,< GH₵1k
1,26.1,2,4,2,1,4,2,1,Nigeria,Female,Vocational/Technical,Traditional Commercial,Several times a week,₦50k–₦100k
1,50.8,2,5,4,1,6,3,0,Nigeria,Female,Undergraduate,Traditional Commercial,Weekly,₦200k–₦400k
1,31.7,1,4,4,3,1,2,0,Nigeria,Male,Vocational/Technical,Microfinance,Several times a week,₦200k–₦400k
2,26.6,2,3,4,1,4,4,0,Ghana,Female,Secondary,Traditional Commercial,Monthly,GH₵4k–GH₵7k
1,28.5,2,4,4,1,13,1,1,Nigeria,Female,Vocational/Technical,Traditional Commercial,Daily,₦200k–₦400k
1,43.7,1,5,2,1,4,4,0,Nigeria,Male,Undergraduate,Traditional Commercial,Monthly,₦50k–₦100k
1,18.0,1,3,4,2,1,2,1,Nigeria,Male,Secondary,Digital-Only Bank,Several times a week,₦200k–₦400k
1,35.5,1,3,4,3,4,4,0,Nigeria,Male,Secondary,Microfinance,Monthly,₦200k–₦400k
1,57.6,2,5,4,3,11,3,0,Nigeria,Female,Undergraduate,Microfinance,Weekly,₦200k–₦400k
1,53.3,1,5,6,1,2,4,0,Nigeria,Male,Undergraduate,Traditional Commercial,Monthly,₦800k–₦1.5m
1,38.7,2,4,6,1,3,4,0,Nigeria,Female,Vocational/Technical,Traditional Commercial,Monthly,₦800k–₦1.5m
2,48.2,2,5,6,1,7,3,0,Ghana,Female,Undergraduate,Traditional Commercial,Weekly,GH₵12k–GH₵20k
2,48.1,1,5,4,1,5,3,0,Ghana,Male,Undergraduate,Traditional Commercial,Weekly,GH₵4k–GH₵7k
1,31.7,1,4,3,1,8,5,0,Nigeria,Male,Vocational/Technical,Traditional Commercial,Less than monthly,₦100k–₦200k
1,42.2,1,5,4,1,2,1,1,Nigeria,Male,Undergraduate,Traditional Commercial,Daily,₦200k–₦400k
1,50.9,1,1,6,1,20,3,0,Nigeria,Male,No formal education,Traditional Commercial,Weekly,₦800k–₦1.5m
2,22.4,1,2,5,3,5,3,1,Ghana,Male,Primary,Microfinance,Weekly,GH₵7k–GH₵12k
1,38.8,2,4,4,1,5,4,0,Nigeria,Female,Vocational/Technical,Traditional Commercial,Monthly,₦200k–₦400k
2,38.6,2,5,5,1,12,2,0,Ghana,Female,Undergraduate,Traditional Commercial,Several times a week,GH₵7k–GH₵12k
2,36.0,1,3,3,2,1,2,1,Ghana,Male,Secondary,Digital-Only Bank,Several times a week,GH₵2k–GH₵4k
2,35.1,1,5,2,3,5,5,0,Ghana,Male,Undergraduate,Microfinance,Less than monthly,GH₵1k–GH₵2k
1,35.3,2,2,6,1,10,2,1,Nigeria,Female,Primary,Traditional Commercial,Several times a week,₦800k–₦1.5m
2,38.2,2,5,7,1,6,2,0,Ghana,Female,Undergraduate,Traditional Commercial,Several times a week,> GH₵20k
1,44.2,2,3,5,2,3,4,0,Nigeria,Female,Secondary,Digital-Only Bank,Monthly,₦400k–₦800k
1,37.8,2,4,4,1,12,2,1,Nigeria,Female,Vocational/Technical,Traditional Commercial,Several times a week,₦200k–₦400k
1,31.2,1,6,3,2,8,3,0,Nigeria,Male,Postgraduate,Digital-Only Bank,Weekly,₦100k–₦200k
1,24.6,3,4,2,1,9,2,1,Nigeria,Other/Prefer not to say,Vocational/Technical,Traditional Commercial,Several times a week,₦50k–₦100k
2,30.3,1,4,1,1,3,3,0,Ghana,Male,Vocational/Technical,Traditional Commercial,Weekly,< GH₵1k
2,37.6,1,3,3,1,8,3,0,Ghana,Male,Secondary,Traditional Commercial,Weekly,GH₵2k–GH₵4k
1,25.9,2,2,3,1,2,3,0,Nigeria,Female,Primary,Traditional Commercial,Weekly,₦100k–₦200k
2,44.5,2,6,4,2,0,4,1,Ghana,Female,Postgraduate,Digital-Only Bank,Monthly,GH₵4k–GH₵7k
1,37.3,2,6,6,2,3,1,1,Nigeria,Female,Postgraduate,Digital-Only Bank,Daily,₦800k–₦1.5m
1,44.4,2,5,3,2,0,2,1,Nigeria,Female,Undergraduate,Digital-Only Bank,Several times a week,₦100k–₦200k
1,26.6,2,6,3,1,8,3,0,Nigeria,Female,Postgraduate,Traditional Commercial,Weekly,₦100k–₦200k
2,26.7,1,3,4,1,2,5,0,Ghana,Male,Secondary,Traditional Commercial,Less than monthly,GH₵4k–GH₵7k
1,44.4,1,5,5,3,11,1,0,Nigeria,Male,Undergraduate,Microfinance,Daily,₦400k–₦800k
1,34.3,2,2,4,3,9,3,0,Nigeria,Female,Primary,Microfinance,Weekly,₦200k–₦400k
1,31.0,2,5,5,3,3,3,0,Nigeria,Female,Undergraduate,Microfinance,Weekly,₦400k–₦800k
2,42.0,1,5,5,1,3,1,0,Ghana,Male,Undergraduate,Traditional Commercial,Daily,GH₵7k–GH₵12k
2,41.6,1,5,3,3,8,4,0,Ghana,Male,Undergraduate,Microfinance,Monthly,GH₵2k–GH₵4k
2,22.4,2,3,5,2,0,1,0,Ghana,Female,Secondary,Digital-Only Bank,Daily,GH₵7k–GH₵12k
2,48.8,2,6,3,1,4,4,0,Ghana,Female,Postgraduate,Traditional Commercial,Monthly,GH₵2k–GH₵4k
2,30.9,2,4,5,3,9,2,0,Ghana,Female,Vocational/Technical,Microfinance,Several times a week,GH₵7k–GH₵12k
1,50.0,2,6,7,1,7,3,1,Nigeria,Female,Postgraduate,Traditional Commercial,Weekly,> ₦1.5m
1,19.7,2,4,3,2,2,2,1,Nigeria,Female,Vocational/Technical,Digital-Only Bank,Several times a week,₦100k–₦200k
2,38.2,1,3,3,2,1,3,0,Ghana,Male,Secondary,Digital-Only Bank,Weekly,GH₵2k–GH₵4k
2,33.1,2,6,7,2,9,1,0,Ghana,Female,Postgraduate,Digital-Only Bank,Daily,> GH₵20k
1,18.0,2,5,7,1,3,2,1,Nigeria,Female,Undergraduate,Traditional Commercial,Several times a week,> ₦1.5m
1,39.6,2,2,4,1,9,2,0,Nigeria,Female,Primary,Traditional Commercial,Several times a week,₦200k–₦400k
2,18.0,1,4,3,1,1,2,0,Ghana,Male,Vocational/Technical,Traditional Commercial,Several times a week,GH₵2k–GH₵4k
1,30.1,2,2,5,1,10,3,0,Nigeria,Female,Primary,Traditional Commercial,Weekly,₦400k–₦800k
2,46.0,2,6,4,1,6,3,0,Ghana,Female,Postgraduate,Traditional Commercial,Weekly,GH₵4k–GH₵7k
1,27.7,1,4,4,1,4,4,0,Nigeria,Male,Vocational/Technical,Traditional Commercial,Monthly,₦200k–₦400k
1,24.0,2,3,5,2,7,3,0,Nigeria,Female,Secondary,Digital-Only Bank,Weekly,₦400k–₦800k
2,43.0,1,2,3,1,9,4,0,Ghana,Male,Primary,Traditional Commercial,Monthly,GH₵2k–GH₵4k
1,30.5,2,3,5,1,1,3,0,Nigeria,Female,Secondary,Traditional Commercial,Weekly,₦400k–₦800k
1,28.9,1,3,5,2,7,1,0,Nigeria,Male,Secondary,Digital-Only Bank,Daily,₦400k–₦800k
1,45.7,2,6,3,2,7,2,0,Nigeria,Female,Postgraduate,Digital-Only Bank,Several times a week,₦100k–₦200k
2,23.3,2,6,4,2,6,2,0,Ghana,Female,Postgraduate,Digital-Only Bank,Several times a week,GH₵4k–GH₵7k
1,28.4,2,4,4,1,1,5,0,Nigeria,Female,Vocational/Technical,Traditional Commercial,Less than monthly,₦200k–₦400k
1,41.7,1,6,4,3,1,2,0,Nigeria,Male,Postgraduate,Microfinance,Several times a week,₦200k–₦400k
2,22.7,2,5,4,2,0,4,0,Ghana,Female,Undergraduate,Digital-Only Bank,Monthly,GH₵4k–GH₵7k
2,52.8,2,5,6,3,3,3,0,Ghana,Female,Undergraduate,Microfinance,Weekly,GH₵12k–GH₵20k
1,30.8,2,3,4,1,6,5,0,Nigeria,Female,Secondary,Traditional Commercial,Less than monthly,₦200k–₦400k
1,41.7,1,5,3,1,4,2,0,Nigeria,Male,Undergraduate,Traditional Commercial,Several times a week,₦100k–₦200k
1,41.7,3,6,5,2,6,2,0,Nigeria,Other/Prefer not to say,Postgraduate,Digital-Only Bank,Several times a week,₦400k–₦800k
1,31.5,2,5,4,2,0,2,0,Nigeria,Female,Undergraduate,Digital-Only Bank,Several times a week,₦200k–₦400k
1,28.2,2,4,3,1,6,3,0,Nigeria,Female,Vocational/Technical,Traditional Commercial,Weekly,₦100k–₦200k
2,34.6,1,1,7,1,3,5,0,Ghana,Male,No formal education,Traditional Commercial,Less than monthly,> GH₵20k
1,40.1,2,3,5,1,20,1,0,Nigeria,Female,Secondary,Traditional Commercial,Daily,₦400k–₦800k
1,23.1,1,5,4,2,2,3,0,Nigeria,Male,Undergraduate,Digital-Only Bank,Weekly,₦200k–₦400k
2,23.0,2,3,3,1,3,4,0,Ghana,Female,Secondary,Traditional Commercial,Monthly,GH₵2k–GH₵4k
1,47.8,2,3,4,1,7,3,0,Nigeria,Female,Secondary,Traditional Commercial,Weekly,₦200k–₦400k
1,25.7,1,5,5,1,10,2,1,Nigeria,Male,Undergraduate,Traditional Commercial,Several times a week,₦400k–₦800k
2,38.5,1,6,5,1,3,3,0,Ghana,Male,Postgraduate,Traditional Commercial,Weekly,GH₵7k–GH₵12k
2,33.0,2,5,4,2,0,2,0,Ghana,Female,Undergraduate,Digital-Only Bank,Several times a week,GH₵4k–GH₵7k
2,33.4,1,5,6,1,3,5,0,Ghana,Male,Undergraduate,Traditional Commercial,Less than monthly,GH₵12k–GH₵20k
1,47.3,2,3,4,3,12,2,0,Nigeria,Female,Secondary,Microfinance,Several times a week,₦200k–₦400k
1,32.1,1,5,6,1,3,3,0,Nigeria,Male,Undergraduate,Traditional Commercial,Weekly,₦800k–₦1.5m
2,31.4,1,5,6,3,3,3,0,Ghana,Male,Undergraduate,Microfinance,Weekly,GH₵12k–GH₵20k
1,30.3,2,4,4,1,2,1,0,Nigeria,Female,Vocational/Technical,Traditional Commercial,Daily,₦200k–₦400k
1,28.0,3,6,3,3,13,3,1,Nigeria,Other/Prefer not to say,Postgraduate,Microfinance,Weekly,₦100k–₦200k
1,26.3,2,3,5,2,0,2,0,Nigeria,Female,Secondary,Digital-Only Bank,Several times a week,₦400k–₦800k
2,30.0,1,5,6,2,11,2,0,Ghana,Male,Undergraduate,Digital-Only Bank,Several times a week,GH₵12k–GH₵20k
2,51.6,3,5,4,1,10,2,1,Ghana,Other/Prefer not to say,Undergraduate,Traditional Commercial,Several times a week,GH₵4k–GH₵7k
1,40.1,2,6,5,1,10,3,0,Nigeria,Female,Postgraduate,Traditional Commercial,Weekly,₦400k–₦800k
2,31.5,2,4,4,2,12,5,0,Ghana,Female,Vocational/Technical,Digital-Only Bank,Less than monthly,GH₵4k–GH₵7k
1,42.8,2,4,1,1,3,3,0,Nigeria,Female,Vocational/Technical,Traditional Commercial,Weekly,< ₦50k
