respondent_id,Country,Country_label,Age,Gender,Gender_label,Education,Education_label,Income_Level,Income_Level_label,Bank_Type,Bank_Type_label,Years_with_Account,Frequency_of_Use,Frequency_of_Use_label,Past_Victim,Past_Victim_label
28,1,Nigeria,43,2,Female,3,Secondary,2,"₦50,000–₦100,000",2,Digital-Only Bank,4,1,Daily,1,Yes
29,1,Nigeria,37,2,Female,3,Secondary,2,"₦50,000–₦100,000",1,Traditional Commercial,11,3,Weekly,0,No
30,2,Ghana,33,2,Female,3,Secondary,2,"₵500–₵1,000",1,Traditional Commercial,8,2,Several times a week,0,No
31,1,Nigeria,63,1,Male,6,Postgraduate,3,"₦100,001–₦250,000",2,Digital-Only Bank,6,2,Several times a week,0,No
32,1,Nigeria,35,1,Male,3,Secondary,2,"₦50,000–₦100,000",1,Traditional Commercial,2,4,Monthly,1,Yes
33,2,Ghana,21,2,Female,3,Secondary,1,<₵500,3,Microfinance,6,4,Monthly,0,No
34,1,Nigeria,30,1,Male,5,Undergraduate,4,"₦250,001–₦500,000",1,Traditional Commercial,2,2,Several times a week,0,No
35,1,Nigeria,31,2,Female,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,19,2,Several times a week,1,Yes
36,1,Nigeria,49,2,Female,3,Secondary,3,"₦100,001–₦250,000",2,Digital-Only Bank,15,1,Daily,0,No
37,1,Nigeria,31,2,Female,2,Primary,4,"₦250,001–₦500,000",2,Digital-Only Bank,9,1,Daily,1,Yes
38,2,Ghana,65,1,Male,3,Secondary,3,"₵1,001–₵2,500",2,Digital-Only Bank,1,3,Weekly,1,Yes
39,1,Nigeria,29,1,Male,6,Postgraduate,4,"₦250,001–₦500,000",1,Traditional Commercial,3,2,Several times a week,1,Yes
40,2,Ghana,34,2,Female,5,Undergraduate,4,"₵2,501–₵5,000",1,Traditional Commercial,8,3,Weekly,1,Yes
41,1,Nigeria,34,1,Male,5,Undergraduate,4,"₦250,001–₦500,000",1,Traditional Commercial,3,4,Monthly,0,No
42,1,Nigeria,52,2,Female,5,Undergraduate,4,"₦250,001–₦500,000",2,Digital-Only Bank,27,1,Daily,0,No
43,2,Ghana,35,2,Female,5,Undergraduate,5,">₵5,000",2,Digital-Only Bank,7,3,Weekly,1,Yes
44,1,Nigeria,51,2,Female,2,Primary,3,"₦100,001–₦250,000",1,Traditional Commercial,13,1,Daily,0,No
45,2,Ghana,30,2,Female,2,Primary,2,"₵500–₵1,000",1,Traditional Commercial,12,2,Several times a week,0,No
46,2,Ghana,29,1,Male,5,Undergraduate,4,"₵2,501–₵5,000",3,Microfinance,9,4,Monthly,0,No
47,1,Nigeria,75,2,Female,3,Secondary,4,"₦250,001–₦500,000",1,Traditional Commercial,5,2,Several times a week,1,Yes
48,1,Nigeria,45,2,Female,4,Vocational/Technical,1,"<₦50,000",1,Traditional Commercial,30,2,Several times a week,0,No
49,2,Ghana,50,2,Female,4,Vocational/Technical,2,"₵500–₵1,000",1,Traditional Commercial,6,1,Daily,0,No
50,2,Ghana,53,2,Female,3,Secondary,3,"₵1,001–₵2,500",2,Digital-Only Bank,6,1,Daily,0,No
51,2,Ghana,53,1,Male,6,Postgraduate,2,"₵500–₵1,000",1,Traditional Commercial,7,4,Monthly,0,No
52,1,Nigeria,22,2,Female,3,Secondary,3,"₦100,001–₦250,000",2,Digital-Only Bank,5,1,Daily,0,No
53,1,Nigeria,52,1,Male,2,Primary,1,"<₦50,000",1,Traditional Commercial,34,2,Several times a week,0,No
54,1,Nigeria,57,2,Female,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,33,1,Daily,0,No
55,1,Nigeria,43,2,Female,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,26,4,Monthly,1,Yes
56,1,Nigeria,41,1,Male,2,Primary,3,"₦100,001–₦250,000",1,Traditional Commercial,15,1,Daily,0,No
57,2,Ghana,52,2,Female,5,Undergraduate,3,"₵1,001–₵2,500",1,Traditional Commercial,20,5,Less than monthly,0,No
58,1,Nigeria,24,1,Male,5,Undergraduate,2,"₦50,000–₦100,000",2,Digital-Only Bank,6,1,Daily,0,No
59,1,Nigeria,37,1,Male,4,Vocational/Technical,4,"₦250,001–₦500,000",1,Traditional Commercial,25,4,Monthly,0,No
60,2,Ghana,28,2,Female,6,Postgraduate,4,"₵2,501–₵5,000",1,Traditional Commercial,9,3,Weekly,0,No
61,1,Nigeria,36,2,Female,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,11,2,Several times a week,0,No
62,2,Ghana,34,1,Male,3,Secondary,3,"₵1,001–₵2,500",1,Traditional Commercial,8,2,Several times a week,0,No
63,1,Nigeria,46,1,Male,5,Undergraduate,5,">₦500,000",1,Traditional Commercial,19,3,Weekly,0,No
64,1,Nigeria,32,2,Female,4,Vocational/Technical,2,"₦50,000–₦100,000",3,Microfinance,10,2,Several times a week,0,No
65,2,Ghana,66,1,Male,4,Vocational/Technical,2,"₵500–₵1,000",2,Digital-Only Bank,35,3,Weekly,0,No
66,1,Nigeria,62,1,Male,6,Postgraduate,2,"₦50,000–₦100,000",1,Traditional Commercial,28,1,Daily,0,No
67,1,Nigeria,64,1,Male,6,Postgraduate,3,"₦100,001–₦250,000",1,Traditional Commercial,8,2,Several times a week,0,No
68,2,Ghana,30,1,Male,5,Undergraduate,3,"₵1,001–₵2,500",1,Traditional Commercial,10,4,Monthly,0,No
69,2,Ghana,37,1,Male,2,Primary,5,">₵5,000",1,Traditional Commercial,16,5,Less than monthly,0,No
70,2,Ghana,41,2,Female,5,Undergraduate,4,"₵2,501–₵5,000",2,Digital-Only Bank,3,1,Daily,0,No
71,2,Ghana,55,1,Male,6,Postgraduate,3,"₵1,001–₵2,500",1,Traditional Commercial,6,5,Less than monthly,0,No
72,1,Nigeria,26,1,Male,2,Primary,3,"₦100,001–₦250,000",3,Microfinance,1,3,Weekly,0,No
73,2,Ghana,25,1,Male,3,Secondary,2,"₵500–₵1,000",1,Traditional Commercial,5,2,Several times a week,0,No
74,2,Ghana,26,1,Male,5,Undergraduate,3,"₵1,001–₵2,500",1,Traditional Commercial,11,2,Several times a week,0,No
75,2,Ghana,62,1,Male,4,Vocational/Technical,1,<₵500,1,Traditional Commercial,40,5,Less than monthly,0,No
76,2,Ghana,49,1,Male,2,Primary,3,"₵1,001–₵2,500",1,Traditional Commercial,13,2,Several times a week,1,Yes
77,1,Nigeria,33,2,Female,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,9,4,Monthly,0,No
78,2,Ghana,30,1,Male,3,Secondary,2,"₵500–₵1,000",1,Traditional Commercial,12,1,Daily,0,No
79,1,Nigeria,45,1,Male,6,Postgraduate,3,"₦100,001–₦250,000",3,Microfinance,4,2,Several times a week,0,No
80,1,Nigeria,57,2,Female,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,9,1,Daily,0,No
81,2,Ghana,37,2,Female,4,Vocational/Technical,4,"₵2,501–₵5,000",1,Traditional Commercial,11,4,Monthly,0,No
82,2,Ghana,26,1,Male,2,Primary,3,"₵1,001–₵2,500",2,Digital-Only Bank,3,1,Daily,0,No
83,1,Nigeria,66,2,Female,4,Vocational/Technical,2,"₦50,000–₦100,000",1,Traditional Commercial,10,4,Monthly,0,No
84,1,Nigeria,24,2,Female,6,Postgraduate,4,"₦250,001–₦500,000",2,Digital-Only Bank,1,1,Daily,0,No
85,2,Ghana,29,1,Male,3,Secondary,2,"₵500–₵1,000",1,Traditional Commercial,14,2,Several times a week,1,Yes
86,1,Nigeria,24,2,Female,5,Undergraduate,3,"₦100,001–₦250,000",1,Traditional Commercial,7,1,Daily,0,No
87,1,Nigeria,50,2,Female,5,Undergraduate,3,"₦100,001–₦250,000",1,Traditional Commercial,17,4,Monthly,0,No
88,1,Nigeria,50,2,Female,5,Undergraduate,5,">₦500,000",1,Traditional Commercial,31,1,Daily,0,No
89,1,Nigeria,59,1,Male,3,Secondary,2,"₦50,000–₦100,000",1,Traditional Commercial,25,3,Weekly,0,No
90,1,Nigeria,45,1,Male,5,Undergraduate,5,">₦500,000",3,Microfinance,4,2,Several times a week,0,No
91,1,Nigeria,66,2,Female,6,Postgraduate,1,"<₦50,000",1,Traditional Commercial,6,2,Several times a week,0,No
92,1,Nigeria,39,2,Female,3,Secondary,2,"₦50,000–₦100,000",2,Digital-Only Bank,14,1,Daily,0,No
93,1,Nigeria,50,1,Male,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,11,4,Monthly,0,No
94,1,Nigeria,62,1,Male,5,Undergraduate,2,"₦50,000–₦100,000",1,Traditional Commercial,26,2,Several times a week,0,No
95,1,Nigeria,30,1,Male,5,Undergraduate,2,"₦50,000–₦100,000",1,Traditional Commercial,4,3,Weekly,0,No
96,2,Ghana,37,1,Male,3,Secondary,3,"₵1,001–₵2,500",2,Digital-Only Bank,23,2,Several times a week,0,No
97,2,Ghana,20,2,Female,6,Postgraduate,2,"₵500–₵1,000",2,Digital-Only Bank,2,2,Several times a week,0,No
98,2,Ghana,33,2,Female,5,Undergraduate,3,"₵1,001–₵2,500",3,Microfinance,2,1,Daily,1,Yes
99,1,Nigeria,40,2,Female,5,Undergraduate,2,"₦50,000–₦100,000",1,Traditional Commercial,6,1,Daily,0,No
100,1,Nigeria,36,1,Male,6,Postgraduate,4,"₦250,001–₦500,000",1,Traditional Commercial,5,1,Daily,0,No
101,2,Ghana,33,1,Male,3,Secondary,5,">₵5,000",1,Traditional Commercial,13,2,Several times a week,0,No
102,1,Nigeria,32,1,Male,3,Secondary,1,"<₦50,000",1,Traditional Commercial,16,3,Weekly,0,No
103,2,Ghana,67,1,Male,3,Secondary,1,<₵500,3,Microfinance,5,3,Weekly,0,No
104,2,Ghana,32,2,Female,3,Secondary,2,"₵500–₵1,000",2,Digital-Only Bank,5,2,Several times a week,0,No
105,1,Nigeria,47,2,Female,5,Undergraduate,2,"₦50,000–₦100,000",2,Digital-Only Bank,9,2,Several times a week,0,No
106,1,Nigeria,29,2,Female,5,Undergraduate,5,">₦500,000",1,Traditional Commercial,6,1,Daily,0,No
107,1,Nigeria,51,2,Female,5,Undergraduate,3,"₦100,001–₦250,000",2,Digital-Only Bank,22,3,Weekly,0,No
108,1,Nigeria,51,2,Female,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,18,1,Daily,0,No
109,2,Ghana,42,2,Female,3,Secondary,3,"₵1,001–₵2,500",1,Traditional Commercial,14,1,Daily,0,No
110,1,Nigeria,28,2,Female,5,Undergraduate,4,"₦250,001–₦500,000",1,Traditional Commercial,7,1,Daily,0,No
111,1,Nigeria,31,2,Female,2,Primary,2,"₦50,000–₦100,000",1,Traditional Commercial,9,2,Several times a week,0,No
112,2,Ghana,25,2,Female,4,Vocational/Technical,4,"₵2,501–₵5,000",3,Microfinance,12,3,Weekly,0,No
113,2,Ghana,34,1,Male,3,Secondary,3,"₵1,001–₵2,500",3,Microfinance,10,2,Several times a week,0,No
114,2,Ghana,47,2,Female,4,Vocational/Technical,2,"₵500–₵1,000",1,Traditional Commercial,20,3,Weekly,1,Yes
115,2,Ghana,45,2,Female,6,Postgraduate,4,"₵2,501–₵5,000",1,Traditional Commercial,2,5,Less than monthly,1,Yes
116,1,Nigeria,49,1,Male,3,Secondary,2,"₦50,000–₦100,000",1,Traditional Commercial,7,1,Daily,1,Yes
117,1,Nigeria,31,1,Male,3,Secondary,2,"₦50,000–₦100,000",3,Microfinance,12,3,Weekly,0,No
118,1,Nigeria,37,1,Male,5,Undergraduate,3,"₦100,001–₦250,000",3,Microfinance,19,1,Daily,0,No
119,1,Nigeria,54,1,Male,3,Secondary,2,"₦50,000–₦100,000",3,Microfinance,9,3,Weekly,1,Yes
120,1,Nigeria,47,1,Male,3,Secondary,4,"₦250,001–₦500,000",1,Traditional Commercial,27,1,Daily,1,Yes
121,2,Ghana,32,2,Female,5,Undergraduate,4,"₵2,501–₵5,000",1,Traditional Commercial,5,4,Monthly,0,No
122,2,Ghana,30,1,Male,2,Primary,4,"₵2,501–₵5,000",1,Traditional Commercial,3,4,Monthly,0,No
123,1,Nigeria,48,2,Female,1,No formal,3,"₦100,001–₦250,000",2,Digital-Only Bank,31,3,Weekly,1,Yes
124,2,Ghana,56,2,Female,5,Undergraduate,3,"₵1,001–₵2,500",2,Digital-Only Bank,30,1,Daily,0,No
125,1,Nigeria,57,1,Male,5,Undergraduate,2,"₦50,000–₦100,000",1,Traditional Commercial,28,2,Several times a week,1,Yes
126,1,Nigeria,28,3,Other/Prefer not to say,5,Undergraduate,3,"₦100,001–₦250,000",2,Digital-Only Bank,5,3,Weekly,0,No
127,2,Ghana,44,2,Female,4,Vocational/Technical,2,"₵500–₵1,000",1,Traditional Commercial,7,3,Weekly,0,No
128,1,Nigeria,58,1,Male,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,18,4,Monthly,0,No
129,1,Nigeria,58,2,Female,5,Undergraduate,4,"₦250,001–₦500,000",1,Traditional Commercial,23,1,Daily,0,No
130,1,Nigeria,47,1,Male,6,Postgraduate,5,">₦500,000",1,Traditional Commercial,22,1,Daily,0,No
131,2,Ghana,62,1,Male,3,Secondary,3,"₵1,001–₵2,500",1,Traditional Commercial,10,5,Less than monthly,0,No
132,1,Nigeria,41,1,Male,5,Undergraduate,4,"₦250,001–₦500,000",1,Traditional Commercial,20,2,Several times a week,0,No
133,1,Nigeria,26,1,Male,5,Undergraduate,3,"₦100,001–₦250,000",2,Digital-Only Bank,3,1,Daily,1,Yes
134,1,Nigeria,32,2,Female,5,Undergraduate,4,"₦250,001–₦500,000",1,Traditional Commercial,8,1,Daily,0,No
135,1,Nigeria,30,1,Male,3,Secondary,5,">₦500,000",1,Traditional Commercial,14,5,Less than monthly,0,No
136,1,Nigeria,56,1,Male,6,Postgraduate,2,"₦50,000–₦100,000",3,Microfinance,32,4,Monthly,0,No
137,1,Nigeria,30,1,Male,3,Secondary,4,"₦250,001–₦500,000",1,Traditional Commercial,4,5,Less than monthly,0,No
138,1,Nigeria,41,2,Female,2,Primary,1,"<₦50,000",1,Traditional Commercial,11,4,Monthly,0,No
139,2,Ghana,40,1,Male,3,Secondary,3,"₵1,001–₵2,500",1,Traditional Commercial,15,5,Less than monthly,0,No
140,2,Ghana,35,2,Female,5,Undergraduate,3,"₵1,001–₵2,500",1,Traditional Commercial,5,4,Monthly,0,No
141,1,Nigeria,37,1,Male,4,Vocational/Technical,4,"₦250,001–₦500,000",3,Microfinance,10,2,Several times a week,0,No
142,1,Nigeria,31,2,Female,5,Undergraduate,5,">₦500,000",3,Microfinance,6,4,Monthly,0,No
143,1,Nigeria,66,1,Male,5,Undergraduate,4,"₦250,001–₦500,000",2,Digital-Only Bank,23,3,Weekly,0,No
144,1,Nigeria,31,1,Male,4,Vocational/Technical,3,"₦100,001–₦250,000",1,Traditional Commercial,10,1,Daily,0,No
145,2,Ghana,45,2,Female,4,Vocational/Technical,4,"₵2,501–₵5,000",1,Traditional Commercial,11,3,Weekly,0,No
146,1,Nigeria,27,1,Male,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,8,2,Several times a week,0,No
147,2,Ghana,56,2,Female,6,Postgraduate,5,">₵5,000",3,Microfinance,13,5,Less than monthly,0,No
148,2,Ghana,60,2,Female,3,Secondary,5,">₵5,000",1,Traditional Commercial,32,1,Daily,0,No
149,1,Nigeria,46,2,Female,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,8,1,Daily,0,No
150,1,Nigeria,73,2,Female,3,Secondary,2,"₦50,000–₦100,000",1,Traditional Commercial,5,1,Daily,0,No
151,2,Ghana,60,2,Female,2,Primary,5,">₵5,000",3,Microfinance,17,3,Weekly,0,No
152,1,Nigeria,33,1,Male,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,16,1,Daily,0,No
153,2,Ghana,31,1,Male,3,Secondary,3,"₵1,001–₵2,500",1,Traditional Commercial,6,2,Several times a week,1,Yes
154,1,Nigeria,59,1,Male,3,Secondary,2,"₦50,000–₦100,000",1,Traditional Commercial,13,3,Weekly,0,No
155,1,Nigeria,47,2,Female,3,Secondary,5,">₦500,000",1,Traditional Commercial,14,2,Several times a week,0,No
156,2,Ghana,38,2,Female,5,Undergraduate,3,"₵1,001–₵2,500",1,Traditional Commercial,19,2,Several times a week,0,No
157,2,Ghana,56,1,Male,3,Secondary,3,"₵1,001–₵2,500",2,Digital-Only Bank,19,3,Weekly,0,No
158,1,Nigeria,41,1,Male,6,Postgraduate,3,"₦100,001–₦250,000",1,Traditional Commercial,5,1,Daily,0,No
159,1,Nigeria,47,1,Male,2,Primary,4,"₦250,001–₦500,000",2,Digital-Only Bank,10,2,Several times a week,0,No
160,2,Ghana,37,2,Female,6,Postgraduate,2,"₵500–₵1,000",3,Microfinance,6,5,Less than monthly,0,No
161,1,Nigeria,46,1,Male,6,Postgraduate,5,">₦500,000",2,Digital-Only Bank,8,1,Daily,0,No
162,2,Ghana,38,1,Male,3,Secondary,1,<₵500,1,Traditional Commercial,7,2,Several times a week,0,No
163,2,Ghana,25,2,Female,4,Vocational/Technical,1,<₵500,2,Digital-Only Bank,2,1,Daily,0,No
164,2,Ghana,53,1,Male,2,Primary,2,"₵500–₵1,000",1,Traditional Commercial,2,2,Several times a week,0,No
165,1,Nigeria,41,2,Female,2,Primary,2,"₦50,000–₦100,000",1,Traditional Commercial,11,2,Several times a week,0,No
166,1,Nigeria,27,1,Male,5,Undergraduate,2,"₦50,000–₦100,000",2,Digital-Only Bank,6,2,Several times a week,0,No
167,1,Nigeria,35,2,Female,5,Undergraduate,4,"₦250,001–₦500,000",1,Traditional Commercial,4,2,Several times a week,0,No
168,1,Nigeria,40,2,Female,2,Primary,2,"₦50,000–₦100,000",1,Traditional Commercial,10,3,Weekly,0,No
169,1,Nigeria,33,2,Female,3,Secondary,4,"₦250,001–₦500,000",1,Traditional Commercial,5,2,Several times a week,0,No
170,1,Nigeria,34,1,Male,2,Primary,2,"₦50,000–₦100,000",1,Traditional Commercial,10,4,Monthly,0,No
171,2,Ghana,48,1,Male,3,Secondary,5,">₵5,000",1,Traditional Commercial,13,2,Several times a week,0,No
172,1,Nigeria,30,1,Male,6,Postgraduate,4,"₦250,001–₦500,000",1,Traditional Commercial,14,4,Monthly,1,Yes
173,2,Ghana,34,2,Female,4,Vocational/Technical,3,"₵1,001–₵2,500",3,Microfinance,7,2,Several times a week,1,Yes
174,2,Ghana,28,2,Female,3,Secondary,4,"₵2,501–₵5,000",3,Microfinance,2,1,Daily,0,No
175,2,Ghana,24,2,Female,2,Primary,3,"₵1,001–₵2,500",2,Digital-Only Bank,2,3,Weekly,0,No
176,1,Nigeria,21,2,Female,2,Primary,2,"₦50,000–₦100,000",3,Microfinance,3,2,Several times a week,0,No
177,1,Nigeria,39,2,Female,1,No formal,2,"₦50,000–₦100,000",1,Traditional Commercial,14,1,Daily,1,Yes
178,1,Nigeria,28,1,Male,5,Undergraduate,2,"₦50,000–₦100,000",3,Microfinance,6,3,Weekly,0,No
179,1,Nigeria,55,2,Female,3,Secondary,4,"₦250,001–₦500,000",2,Digital-Only Bank,23,1,Daily,0,No
180,2,Ghana,46,1,Male,6,Postgraduate,1,<₵500,2,Digital-Only Bank,4,1,Daily,0,No
181,1,Nigeria,27,2,Female,3,Secondary,4,"₦250,001–₦500,000",1,Traditional Commercial,8,2,Several times a week,1,Yes
182,2,Ghana,36,2,Female,4,Vocational/Technical,3,"₵1,001–₵2,500",2,Digital-Only Bank,19,2,Several times a week,0,No
183,2,Ghana,31,2,Female,5,Undergraduate,4,"₵2,501–₵5,000",2,Digital-Only Bank,6,2,Several times a week,1,Yes
184,1,Nigeria,58,2,Female,5,Undergraduate,5,">₦500,000",1,Traditional Commercial,3,2,Several times a week,0,No
185,1,Nigeria,47,2,Female,3,Secondary,2,"₦50,000–₦100,000",1,Traditional Commercial,10,1,Daily,0,No
186,1,Nigeria,30,2,Female,1,No formal,3,"₦100,001–₦250,000",1,Traditional Commercial,8,4,Monthly,0,No
187,2,Ghana,36,2,Female,3,Secondary,3,"₵1,001–₵2,500",2,Digital-Only Bank,10,2,Several times a week,0,No
188,2,Ghana,32,2,Female,3,Secondary,2,"₵500–₵1,000",1,Traditional Commercial,13,2,Several times a week,0,No
189,1,Nigeria,43,1,Male,6,Postgraduate,5,">₦500,000",2,Digital-Only Bank,20,3,Weekly,0,No
190,2,Ghana,73,2,Female,3,Secondary,4,"₵2,501–₵5,000",1,Traditional Commercial,26,4,Monthly,0,No
191,1,Nigeria,35,1,Male,6,Postgraduate,3,"₦100,001–₦250,000",3,Microfinance,5,2,Several times a week,1,Yes
192,1,Nigeria,59,1,Male,2,Primary,3,"₦100,001–₦250,000",3,Microfinance,7,2,Several times a week,0,No
193,1,Nigeria,26,1,Male,1,No formal,1,"<₦50,000",2,Digital-Only Bank,6,1,Daily,0,No
194,1,Nigeria,34,1,Male,2,Primary,5,">₦500,000",1,Traditional Commercial,8,5,Less than monthly,0,No
195,2,Ghana,26,2,Female,3,Secondary,3,"₵1,001–₵2,500",3,Microfinance,4,2,Several times a week,0,No
196,2,Ghana,63,1,Male,2,Primary,2,"₵500–₵1,000",1,Traditional Commercial,24,3,Weekly,0,No
197,1,Nigeria,26,1,Male,4,Vocational/Technical,2,"₦50,000–₦100,000",1,Traditional Commercial,4,3,Weekly,0,No
198,1,Nigeria,58,1,Male,3,Secondary,4,"₦250,001–₦500,000",2,Digital-Only Bank,13,2,Several times a week,0,No
199,1,Nigeria,31,2,Female,5,Undergraduate,3,"₦100,001–₦250,000",1,Traditional Commercial,15,2,Several times a week,0,No
200,1,Nigeria,53,2,Female,3,Secondary,1,"<₦50,000",1,Traditional Commercial,3,1,Daily,0,No
201,1,Nigeria,31,2,Female,3,Secondary,5,">₦500,000",1,Traditional Commercial,12,3,Weekly,0,No
202,2,Ghana,38,2,Female,5,Undergraduate,5,">₵5,000",1,Traditional Commercial,6,1,Daily,0,No
203,1,Nigeria,35,1,Male,1,No formal,4,"₦250,001–₦500,000",1,Traditional Commercial,7,2,Several times a week,0,No
204,1,Nigeria,31,2,Female,5,Undergraduate,3,"₦100,001–₦250,000",1,Traditional Commercial,19,1,Daily,1,Yes
205,1,Nigeria,32,1,Male,2,Primary,3,"₦100,001–₦250,000",1,Traditional Commercial,7,3,Weekly,0,No
206,2,Ghana,37,1,Male,4,Vocational/Technical,3,"₵1,001–₵2,500",2,Digital-Only Bank,5,3,Weekly,0,No
207,1,Nigeria,35,1,Male,3,Secondary,4,"₦250,001–₦500,000",1,Traditional Commercial,6,4,Monthly,0,No
208,1,Nigeria,28,1,Male,2,Primary,3,"₦100,001–₦250,000",1,Traditional Commercial,5,1,Daily,0,No
209,1,Nigeria,31,2,Female,5,Undergraduate,3,"₦100,001–₦250,000",2,Digital-Only Bank,12,3,Weekly,0,No
210,2,Ghana,27,2,Female,3,Secondary,3,"₵1,001–₵2,500",1,Traditional Commercial,10,5,Less than monthly,0,No
211,1,Nigeria,49,2,Female,1,No formal,4,"₦250,001–₦500,000",1,Traditional Commercial,20,2,Several times a week,1,Yes
212,2,Ghana,41,1,Male,3,Secondary,2,"₵500–₵1,000",2,Digital-Only Bank,10,2,Several times a week,0,No
213,1,Nigeria,43,1,Male,5,Undergraduate,2,"₦50,000–₦100,000",1,Traditional Commercial,5,2,Several times a week,0,No
214,1,Nigeria,50,1,Male,5,Undergraduate,3,"₦100,001–₦250,000",1,Traditional Commercial,28,2,Several times a week,0,No
215,1,Nigeria,46,2,Female,6,Postgraduate,4,"₦250,001–₦500,000",1,Traditional Commercial,15,2,Several times a week,1,Yes
216,1,Nigeria,46,1,Male,5,Undergraduate,5,">₦500,000",1,Traditional Commercial,9,3,Weekly,0,No
217,2,Ghana,46,1,Male,6,Postgraduate,3,"₵1,001–₵2,500",3,Microfinance,27,4,Monthly,0,No
218,2,Ghana,24,1,Male,3,Secondary,1,<₵500,1,Traditional Commercial,2,1,Daily,0,No
219,2,Ghana,54,1,Male,5,Undergraduate,5,">₵5,000",1,Traditional Commercial,11,2,Several times a week,0,No
