participant_id,Intention_T1,SRB1,SRB2,SRB3,SRB4,SRB5,SRB_Mean,Objective_Q1_Choice,Objective_Q1_Score,Objective_Q2_Choice,Objective_Q2_Score,Objective_Q3_Choice,Objective_Q3_Score,Objective_Q4_Choice,Objective_Q4_Score,Objective_Q5_Choice,Objective_Q5_Score,Objective_Score_Total,Objective_Score_Percent,Intention_Behavior_Gap
21,2.85,4,3,4,4,4,3.8,c,1,b,2,b,2,c,1,a,0,6,60.0,0.2501
22,4.02,5,5,3,4,7,4.8,b,2,b,2,b,2,b,2,c,1,9,90.0,0.7953
23,3.79,4,4,4,4,5,4.2,c,1,a,0,b,2,a,0,a,0,3,30.0,0.2847
24,2.26,2,1,2,2,3,2.0,b,2,a,0,b,2,a,0,a,0,4,40.0,-1.3213
25,4.59,5,4,6,6,5,5.2,a,0,c,1,b,2,c,1,a,0,4,40.0,0.9719
26,3.26,3,4,4,4,5,4.0,b,2,c,1,b,2,c,1,b,2,8,80.0,0.2912
27,1.99,3,3,5,4,5,4.0,a,0,a,0,a,0,a,0,a,0,0,0.0,0.7861
28,4.66,4,4,4,5,4,4.2,a,0,c,1,b,2,a,0,c,1,4,40.0,-0.0573
29,3.55,5,5,5,5,5,5.0,c,1,b,2,a,0,a,0,b,2,5,50.0,1.1779
30,3.0,2,4,2,4,4,3.2,a,0,b,2,b,2,c,1,a,0,5,50.0,-0.4084
31,2.02,4,4,4,4,4,4.0,b,2,a,0,b,2,a,0,c,1,5,50.0,0.7739
32,2.79,2,3,4,3,2,2.8,b,2,a,0,a,0,c,1,c,1,4,40.0,-0.7271
33,3.34,3,2,3,4,4,3.2,b,2,a,0,a,0,b,2,a,0,4,40.0,-0.5397
34,4.5,3,2,3,3,3,2.8,c,1,a,0,b,2,a,0,a,0,3,30.0,-1.3924
35,4.56,3,3,2,3,3,2.8,b,2,a,0,a,0,c,1,b,2,5,50.0,-1.4192
36,3.8,4,5,6,5,5,5.0,c,1,c,1,b,2,b,2,a,0,6,60.0,1.0805
37,3.1,2,2,3,2,3,2.4,a,0,a,0,a,0,a,0,b,2,2,20.0,-1.2483
38,4.73,5,4,2,3,4,3.6,c,1,b,2,b,2,b,2,b,2,9,90.0,-0.6831
39,3.29,4,4,3,5,3,3.8,b,2,b,2,b,2,b,2,c,1,9,90.0,0.0802
40,3.92,2,2,2,3,4,2.6,a,0,b,2,c,1,c,1,a,0,4,40.0,-1.3659
41,2.81,2,3,3,2,3,2.6,b,2,a,0,a,0,b,2,a,0,4,40.0,-0.9336
42,6.28,1,1,2,4,2,2.0,b,2,b,2,b,2,b,2,b,2,10,100.0,-2.8896
43,2.36,2,3,3,4,3,3.0,b,2,c,1,b,2,b,2,b,2,9,90.0,-0.3569
44,2.59,3,4,4,4,4,3.8,a,0,b,2,b,2,b,2,b,2,8,80.0,0.35
45,2.78,2,4,3,3,3,3.0,b,2,b,2,a,0,a,0,b,2,6,60.0,-0.5226
46,3.42,3,3,3,3,4,3.2,a,0,c,1,c,1,a,0,b,2,4,40.0,-0.5716
47,2.49,4,3,3,3,4,3.4,a,0,a,0,a,0,a,0,a,0,0,0.0,-0.0075
48,5.46,4,5,6,6,6,5.4,b,2,b,2,b,2,b,2,b,2,10,100.0,0.8321
49,5.54,4,6,5,6,5,5.2,c,1,a,0,b,2,b,2,b,2,7,70.0,0.6016
50,2.21,2,3,2,1,3,2.2,b,2,b,2,b,2,b,2,b,2,10,100.0,-1.1
51,2.04,4,3,3,5,3,3.6,b,2,b,2,b,2,b,2,a,0,8,80.0,0.3666
52,5.65,4,5,4,4,5,4.4,b,2,a,0,c,1,c,1,b,2,6,60.0,-0.2433
53,3.63,3,3,4,4,4,3.6,a,0,b,2,c,1,c,1,b,2,6,60.0,-0.256
54,3.42,4,4,4,3,5,4.0,a,0,c,1,a,0,b,2,b,2,5,50.0,0.2268
55,4.82,4,4,4,4,6,4.4,a,0,c,1,a,0,b,2,a,0,3,30.0,0.0825
56,3.22,2,3,3,3,3,2.8,b,2,c,1,a,0,b,2,c,1,6,60.0,-0.8958
57,4.38,5,6,5,5,4,5.0,b,2,b,2,c,1,b,2,b,2,9,90.0,0.8535
58,3.06,4,4,3,4,4,3.8,a,0,a,0,a,0,b,2,a,0,2,20.0,0.169
59,2.22,1,2,2,2,3,2.0,b,2,b,2,c,1,a,0,c,1,6,60.0,-1.3053
60,1.61,2,4,2,2,3,2.6,b,2,c,1,a,0,b,2,b,2,7,70.0,-0.465
61,3.81,4,5,4,5,5,4.6,b,2,b,2,b,2,b,2,b,2,10,100.0,0.675
62,6.36,4,5,4,5,5,4.6,a,0,c,1,a,0,a,0,a,0,1,10.0,-0.3219
63,1.44,3,4,3,3,5,3.6,c,1,c,1,b,2,b,2,b,2,8,80.0,0.5999
64,4.29,3,4,4,5,3,3.8,b,2,a,0,a,0,b,2,c,1,5,50.0,-0.3123
65,3.43,5,7,5,6,7,6.0,b,2,b,2,b,2,c,1,c,1,8,80.0,2.2237
66,3.18,2,1,3,3,3,2.4,a,0,b,2,c,1,a,0,a,0,3,30.0,-1.2793
67,2.47,3,3,2,3,4,3.0,a,0,a,0,b,2,a,0,a,0,2,20.0,-0.4002
68,4.71,5,4,5,5,5,4.8,b,2,b,2,c,1,b,2,b,2,9,90.0,0.5245
69,1.92,2,5,3,3,5,3.6,b,2,a,0,b,2,a,0,c,1,5,50.0,0.4128
70,4.67,4,5,6,4,5,4.8,a,0,c,1,c,1,a,0,a,0,2,20.0,0.5414
71,3.13,5,5,6,5,5,5.2,b,2,b,2,c,1,b,2,b,2,9,90.0,1.5424
72,2.7,5,3,5,4,3,4.0,a,0,a,0,c,1,c,1,b,2,4,40.0,0.5069
73,3.02,6,4,5,5,5,5.0,a,0,b,2,b,2,b,2,a,0,6,60.0,1.3822
74,3.04,3,4,3,3,3,3.2,a,0,b,2,c,1,b,2,b,2,7,70.0,-0.4226
75,3.83,2,3,2,3,2,2.4,a,0,a,0,a,0,a,0,a,0,0,0.0,-1.533
76,5.21,6,5,5,4,5,5.0,b,2,b,2,b,2,b,2,b,2,10,100.0,0.53
77,4.18,2,5,4,4,4,3.8,c,1,b,2,b,2,a,0,b,2,7,70.0,-0.2703
78,2.95,4,4,3,3,4,3.6,c,1,c,1,c,1,a,0,a,0,3,30.0,0.0127
79,4.11,3,3,4,3,4,3.4,a,0,c,1,a,0,c,1,b,2,4,40.0,-0.6418
80,4.34,3,5,4,5,4,4.2,c,1,a,0,b,2,b,2,b,2,7,70.0,0.0688
81,5.36,6,5,6,5,4,5.2,b,2,c,1,b,2,b,2,b,2,9,90.0,0.6722
82,3.43,4,5,4,4,5,4.4,c,1,c,1,a,0,a,0,c,1,3,30.0,0.6242
83,4.45,3,3,3,3,4,3.2,a,0,a,0,a,0,a,0,b,2,2,20.0,-0.9747
84,4.24,3,5,3,3,3,3.4,b,2,b,2,b,2,b,2,b,2,10,100.0,-0.6941
85,4.7,4,4,4,4,4,4.0,a,0,c,1,b,2,b,2,b,2,7,70.0,-0.2707
86,2.68,4,3,4,5,4,4.0,c,1,c,1,b,2,c,1,a,0,5,50.0,0.515
87,5.27,4,4,4,5,4,4.2,b,2,c,1,b,2,b,2,c,1,8,80.0,-0.2944
88,3.41,2,2,2,3,2,2.2,a,0,b,2,b,2,b,2,b,2,8,80.0,-1.5703
89,2.81,4,4,3,4,5,4.0,b,2,b,2,b,2,a,0,b,2,8,80.0,0.4655
90,4.27,6,5,5,5,6,5.4,c,1,a,0,a,0,a,0,c,1,2,20.0,1.2955
91,5.49,3,5,5,5,5,4.6,b,2,b,2,c,1,b,2,b,2,9,90.0,0.0207
92,3.01,3,3,2,3,4,3.0,b,2,c,1,b,2,b,2,b,2,9,90.0,-0.6134
93,1.12,3,3,5,3,4,3.6,c,1,b,2,a,0,b,2,b,2,7,70.0,0.7257
94,5.53,3,3,3,4,4,3.4,b,2,a,0,c,1,a,0,c,1,4,40.0,-1.1972
95,5.33,3,6,5,4,6,4.8,c,1,b,2,c,1,a,0,b,2,6,60.0,0.2827
96,5.96,3,3,4,4,5,3.8,b,2,b,2,b,2,b,2,b,2,10,100.0,-0.9636
97,4.69,1,3,1,1,2,1.6,a,0,b,2,a,0,b,2,a,0,4,40.0,-2.668
98,4.32,5,5,5,5,6,5.2,a,0,c,1,b,2,c,1,b,2,6,60.0,1.0771
99,2.74,2,2,3,3,4,2.8,b,2,b,2,a,0,b,2,c,1,7,70.0,-0.7056
100,5.51,4,4,5,5,5,4.6,b,2,c,1,b,2,b,2,b,2,9,90.0,0.0133
101,2.6,3,4,3,3,4,3.4,b,2,b,2,c,1,b,2,b,2,9,90.0,-0.0537
102,2.51,2,3,4,4,3,3.2,c,1,b,2,b,2,a,0,b,2,7,70.0,-0.2153
103,3.23,5,6,6,5,5,5.4,b,2,b,2,b,2,b,2,b,2,10,100.0,1.702
104,5.43,6,5,5,5,3,4.8,c,1,b,2,b,2,c,1,b,2,8,80.0,0.2432
105,3.09,3,3,4,3,4,3.4,a,0,b,2,b,2,a,0,c,1,5,50.0,-0.2427
106,3.82,3,4,5,4,5,4.2,b,2,a,0,a,0,a,0,b,2,4,40.0,0.2733
107,5.08,4,4,6,4,4,4.4,b,2,b,2,b,2,c,1,c,1,8,80.0,-0.0222
108,5.38,5,5,6,6,4,5.2,c,1,b,2,b,2,c,1,b,2,8,80.0,0.664
109,3.97,4,4,4,5,4,4.2,a,0,c,1,a,0,b,2,c,1,4,40.0,0.2141
110,3.11,1,3,2,3,3,2.4,b,2,b,2,b,2,b,2,c,1,9,90.0,-1.2523
111,4.03,5,4,4,4,5,4.4,b,2,a,0,b,2,b,2,b,2,8,80.0,0.3877
112,6.31,4,3,5,5,5,4.4,a,0,a,0,b,2,c,1,b,2,5,50.0,-0.5024
113,1.29,3,3,2,4,3,3.0,a,0,c,1,a,0,b,2,b,2,5,50.0,0.0582
114,3.36,5,3,5,3,4,4.0,b,2,a,0,b,2,b,2,b,2,8,80.0,0.2504
115,5.32,5,4,4,5,6,4.8,b,2,c,1,b,2,b,2,c,1,8,80.0,0.2844
116,4.49,3,3,3,4,4,3.4,b,2,a,0,b,2,b,2,b,2,8,80.0,-0.7885
117,2.98,3,4,3,3,4,3.4,c,1,b,2,c,1,b,2,b,2,8,80.0,-0.201
118,3.12,2,4,4,5,3,3.6,c,1,b,2,a,0,b,2,a,0,5,50.0,-0.0553
119,6.06,4,4,5,3,4,4.0,b,2,b,2,b,2,b,2,b,2,10,100.0,-0.8029
120,4.34,5,5,5,5,5,5.0,a,0,b,2,b,2,b,2,b,2,8,80.0,0.87
121,5.06,3,4,3,4,4,3.6,c,1,a,0,c,1,a,0,a,0,2,20.0,-0.8126
122,3.23,4,4,5,4,3,4.0,c,1,a,0,c,1,b,2,b,2,6,60.0,0.3033
123,5.45,4,6,5,5,6,5.2,c,1,b,2,b,2,b,2,b,2,9,90.0,0.6371
124,3.76,3,4,3,4,4,3.6,a,0,a,0,a,0,a,0,b,2,2,20.0,-0.3061
125,4.71,4,2,4,3,4,3.4,c,1,c,1,a,0,b,2,b,2,6,60.0,-0.8741
126,1.93,3,4,3,3,1,2.8,c,1,c,1,b,2,a,0,b,2,6,60.0,-0.3897
127,3.8,4,4,4,4,4,4.0,b,2,b,2,b,2,c,1,b,2,9,90.0,0.0812
128,5.12,6,6,5,6,6,5.8,c,1,b,2,c,1,c,1,a,0,5,50.0,1.3631
129,2.4,4,4,4,3,3,3.6,c,1,b,2,c,1,c,1,a,0,5,50.0,0.2274
130,3.92,5,5,5,5,5,5.0,b,2,b,2,b,2,c,1,b,2,9,90.0,1.0328
131,3.25,4,5,4,6,5,4.8,b,2,a,0,b,2,b,2,a,0,6,60.0,1.0926
132,4.03,3,4,4,4,3,3.6,a,0,c,1,a,0,a,0,a,0,1,10.0,-0.4092
133,3.83,4,4,5,4,6,4.6,b,2,b,2,b,2,b,2,b,2,10,100.0,0.6679
134,2.89,3,4,4,5,4,4.0,c,1,b,2,c,1,c,1,c,1,6,60.0,0.4332
135,4.5,3,4,3,3,4,3.4,a,0,a,0,c,1,a,0,a,0,1,10.0,-0.7942
136,4.71,4,5,4,4,5,4.4,b,2,b,2,b,2,a,0,a,0,6,60.0,0.1249
137,3.54,5,5,5,4,5,4.8,b,2,b,2,b,2,c,1,a,0,7,70.0,0.9827
138,4.38,3,5,4,5,5,4.4,b,2,b,2,c,1,b,2,b,2,9,90.0,0.2545
139,1.93,4,4,4,3,5,4.0,b,2,b,2,b,2,b,2,b,2,10,100.0,0.8087
140,5.12,5,6,4,6,5,5.2,b,2,b,2,b,2,c,1,a,0,7,70.0,0.7627
141,3.53,4,4,3,4,4,3.8,a,0,b,2,b,2,c,1,b,2,7,70.0,-0.0156
142,4.85,4,3,3,4,5,3.8,a,0,c,1,b,2,b,2,b,2,7,70.0,-0.529
143,3.81,6,6,5,6,6,5.8,c,1,b,2,a,0,a,0,b,2,5,50.0,1.8736
144,2.51,5,5,5,6,5,5.2,b,2,b,2,c,1,b,2,b,2,9,90.0,1.7849
145,4.89,4,4,3,4,6,4.2,b,2,c,1,a,0,a,0,a,0,3,30.0,-0.1479
146,5.23,3,5,4,3,4,3.8,b,2,b,2,b,2,a,0,a,0,6,60.0,-0.6773
147,3.16,2,3,3,4,3,3.0,b,2,c,1,b,2,a,0,b,2,7,70.0,-0.6724
148,3.46,4,4,3,4,4,3.8,a,0,a,0,a,0,b,2,b,2,4,40.0,0.011
149,4.16,5,4,4,5,4,4.4,b,2,b,2,b,2,b,2,a,0,8,80.0,0.3385
150,3.59,2,2,3,4,3,2.8,a,0,a,0,a,0,c,1,c,1,2,20.0,-1.0395
151,5.53,4,4,4,4,3,3.8,b,2,b,2,b,2,c,1,b,2,9,90.0,-0.7962
152,2.79,3,5,6,5,6,5.0,a,0,b,2,b,2,c,1,a,0,5,50.0,1.4749
153,4.34,3,5,4,4,5,4.2,a,0,b,2,b,2,b,2,b,2,8,80.0,0.0676
154,4.52,3,4,4,4,4,3.8,a,0,a,0,c,1,b,2,c,1,4,40.0,-0.4025
155,1.26,2,2,2,2,2,2.0,a,0,a,0,a,0,a,0,b,2,2,20.0,-0.9307
156,3.24,5,5,6,5,5,5.2,a,0,c,1,c,1,a,0,b,2,4,40.0,1.4967
157,4.57,3,3,4,2,3,3.0,b,2,b,2,b,2,b,2,b,2,10,100.0,-1.2216
158,3.28,5,4,4,4,4,4.2,b,2,a,0,a,0,a,0,c,1,3,30.0,0.4842
159,5.33,5,6,5,6,6,5.6,b,2,a,0,c,1,b,2,b,2,7,70.0,1.0808
160,2.57,4,4,4,4,4,4.0,c,1,c,1,a,0,c,1,b,2,5,50.0,0.5583
161,3.25,2,2,2,3,3,2.4,b,2,b,2,b,2,b,2,b,2,10,100.0,-1.3052
162,3.78,7,6,6,6,6,6.2,b,2,b,2,c,1,b,2,b,2,9,90.0,2.2853
163,2.61,3,4,5,3,4,3.8,b,2,b,2,b,2,c,1,b,2,9,90.0,0.3455
164,2.5,2,3,2,4,3,2.8,a,0,b,2,b,2,b,2,c,1,7,70.0,-0.612
165,3.18,6,5,4,4,5,4.8,b,2,b,2,b,2,b,2,b,2,10,100.0,1.1225
166,4.63,3,5,5,5,5,4.6,b,2,b,2,c,1,a,0,b,2,7,70.0,0.3566
167,4.41,5,5,6,5,5,5.2,c,1,c,1,b,2,c,1,b,2,7,70.0,1.0393
168,6.4,5,6,5,5,5,5.2,c,1,b,2,b,2,c,1,b,2,8,80.0,0.2651
169,6.76,6,6,5,3,7,5.4,b,2,c,1,b,2,b,2,c,1,8,80.0,0.3236
170,2.03,2,4,3,3,3,3.0,a,0,b,2,b,2,b,2,a,0,6,60.0,-0.2313
171,2.77,4,3,3,3,3,3.2,c,1,c,1,a,0,a,0,a,0,2,20.0,-0.3197
172,2.61,4,4,3,4,4,3.8,a,0,a,0,b,2,b,2,b,2,6,60.0,0.3453
173,4.25,3,4,4,3,2,3.2,a,0,b,2,b,2,c,1,b,2,7,70.0,-0.8967
174,2.98,3,5,2,3,3,3.2,a,0,a,0,a,0,a,0,b,2,2,20.0,-0.3997
175,3.12,3,3,3,3,3,3.0,b,2,b,2,b,2,a,0,c,1,7,70.0,-0.6555
176,3.11,3,3,2,2,3,2.6,c,1,a,0,c,1,b,2,b,2,6,60.0,-1.0515
177,3.03,4,4,5,3,4,4.0,c,1,b,2,b,2,a,0,b,2,7,70.0,0.3793
178,2.09,3,3,4,5,4,3.8,b,2,c,1,c,1,a,0,c,1,5,50.0,0.5454
179,4.5,3,3,3,3,4,3.2,a,0,a,0,a,0,c,1,c,1,2,20.0,-0.9938
180,1.56,4,4,4,4,5,4.2,a,0,b,2,b,2,c,1,b,2,7,70.0,1.1537
181,2.73,3,4,4,3,4,3.6,a,0,c,1,b,2,b,2,b,2,7,70.0,0.0982
182,3.11,4,5,4,4,4,4.2,a,0,b,2,b,2,a,0,c,1,5,50.0,0.5484
183,2.74,3,3,4,3,3,3.2,b,2,a,0,a,0,a,0,c,1,3,30.0,-0.3068
184,3.67,3,5,5,4,5,4.4,a,0,c,1,c,1,b,2,c,1,5,50.0,0.5289
185,5.13,6,6,6,6,7,6.2,b,2,b,2,b,2,b,2,b,2,10,100.0,1.7593
186,3.03,5,5,6,6,6,5.6,b,2,a,0,a,0,c,1,b,2,5,50.0,1.9782
187,3.84,3,3,2,5,3,3.2,b,2,c,1,b,2,b,2,c,1,8,80.0,-0.7346
188,3.25,3,3,3,3,4,3.2,c,1,c,1,c,1,b,2,b,2,7,70.0,-0.505
189,3.31,3,6,5,5,5,4.8,c,1,b,2,b,2,c,1,a,0,6,60.0,1.0726
190,5.79,5,5,6,7,5,5.6,b,2,c,1,b,2,b,2,c,1,8,80.0,0.9044
191,5.06,4,5,4,5,4,4.4,b,2,b,2,b,2,b,2,c,1,9,90.0,-0.0122
192,4.12,2,3,2,2,4,2.6,b,2,c,1,b,2,c,1,b,2,8,80.0,-1.445
193,3.64,4,3,4,5,5,4.2,a,0,b,2,c,1,b,2,b,2,7,70.0,0.3433
194,3.7,3,3,3,2,3,2.8,b,2,a,0,b,2,a,0,c,1,5,50.0,-1.0821
195,3.39,4,4,3,3,3,3.4,a,0,b,2,b,2,c,1,b,2,7,70.0,-0.3625
196,3.91,3,3,4,4,6,4.0,a,0,b,2,b,2,b,2,b,2,8,80.0,0.0351
197,2.35,2,3,3,2,2,2.4,a,0,b,2,b,2,a,0,a,0,4,40.0,-0.9537
198,3.21,3,4,4,5,6,4.4,c,1,b,2,b,2,c,1,b,2,8,80.0,0.7082
199,3.94,2,4,4,3,4,3.4,b,2,b,2,b,2,b,2,c,1,9,90.0,-0.5759
200,3.0,1,3,3,3,3,2.6,b,2,b,2,b,2,a,0,b,2,8,80.0,-1.0077
201,4.12,4,5,5,5,4,4.6,c,1,b,2,a,0,a,0,b,2,5,50.0,0.5527
202,4.35,4,4,3,5,5,4.2,b,2,b,2,b,2,b,2,c,1,9,90.0,0.0641
203,3.74,3,4,4,4,4,3.8,a,0,c,1,b,2,a,0,b,2,5,50.0,-0.0991
204,5.83,5,5,5,5,6,5.2,b,2,c,1,b,2,c,1,b,2,8,80.0,0.4877
205,3.64,5,5,4,4,6,4.8,c,1,b,2,b,2,b,2,b,2,9,90.0,0.9408
206,5.35,4,5,6,5,5,5.0,b,2,b,2,c,1,b,2,b,2,9,90.0,0.4759
207,4.09,3,3,3,4,4,3.4,b,2,a,0,b,2,c,1,b,2,7,70.0,-0.6345
208,4.29,4,5,3,4,5,4.2,a,0,a,0,a,0,a,0,b,2,2,20.0,0.0871
209,4.78,3,4,5,5,5,4.4,b,2,b,2,b,2,b,2,b,2,10,100.0,0.0959
210,3.45,4,4,6,5,6,5.0,b,2,b,2,b,2,b,2,a,0,8,80.0,1.217
211,3.59,3,4,4,3,4,3.6,b,2,b,2,c,1,a,0,b,2,7,70.0,-0.2384
212,3.91,4,3,4,4,4,3.8,a,0,a,0,a,0,a,0,a,0,0,0.0,-0.1654
213,4.12,4,3,5,6,6,4.8,c,1,b,2,a,0,b,2,b,2,7,70.0,0.7543
214,3.94,4,5,5,5,4,4.6,b,2,b,2,b,2,b,2,b,2,10,100.0,0.6253
215,6.15,5,6,5,5,6,5.4,c,1,b,2,b,2,b,2,b,2,9,90.0,0.5623
216,3.66,3,5,3,3,4,3.6,c,1,c,1,c,1,a,0,a,0,3,30.0,-0.2642
217,3.59,4,4,5,5,5,4.6,a,0,b,2,b,2,c,1,a,0,5,50.0,0.7614
218,4.1,3,4,3,4,5,3.8,b,2,a,0,c,1,b,2,a,0,5,50.0,-0.2391
219,3.95,5,5,5,5,5,5.0,a,0,a,0,a,0,a,0,a,0,0,0.0,1.0195
220,3.8,3,2,3,3,3,2.8,a,0,b,2,a,0,b,2,a,0,4,40.0,-1.1218
221,3.47,3,4,3,3,3,3.2,b,2,b,2,b,2,c,1,c,1,8,80.0,-0.5904
222,3.57,2,3,4,3,3,3.0,b,2,c,1,a,0,b,2,b,2,7,70.0,-0.8308
223,2.86,4,4,3,4,3,3.6,a,0,b,2,a,0,a,0,c,1,3,30.0,0.0445
224,4.38,5,4,5,5,6,5.0,b,2,b,2,b,2,a,0,a,0,6,60.0,0.8531
225,4.06,3,3,3,3,4,3.2,a,0,c,1,a,0,a,0,b,2,3,30.0,-0.8225
226,5.71,5,5,6,5,6,5.4,c,1,b,2,c,1,b,2,c,1,7,70.0,0.7338
227,6.57,6,6,6,6,7,6.2,b,2,c,1,b,2,b,2,b,2,9,90.0,1.1979
228,2.85,5,4,4,5,5,4.6,a,0,a,0,c,1,a,0,b,2,3,30.0,1.0517
229,4.1,4,4,5,4,3,4.0,a,0,a,0,b,2,a,0,b,2,4,40.0,-0.0377
230,4.76,3,5,4,3,4,3.8,a,0,c,1,a,0,b,2,a,0,3,30.0,-0.4957
231,2.65,4,5,5,6,6,5.2,b,2,a,0,b,2,a,0,a,0,4,40.0,1.7278
232,1.34,1,2,2,3,3,2.2,a,0,b,2,a,0,c,1,a,0,3,30.0,-0.7609
233,4.25,3,3,5,5,6,4.4,a,0,b,2,a,0,a,0,c,1,3,30.0,0.3027
234,2.98,4,3,4,4,5,4.0,c,1,b,2,a,0,b,2,a,0,5,50.0,0.4001
235,4.44,2,2,2,4,3,2.6,b,2,c,1,b,2,c,1,b,2,8,80.0,-1.5719
236,4.97,2,2,2,3,4,2.6,a,0,b,2,a,0,a,0,a,0,2,20.0,-1.7766
237,4.94,4,4,3,5,5,4.2,a,0,a,0,b,2,b,2,a,0,4,40.0,-0.1664
238,2.07,2,2,4,2,3,2.6,c,1,c,1,a,0,c,1,a,0,3,30.0,-0.6471
239,2.32,1,2,2,2,2,1.8,b,2,a,0,a,0,c,1,b,2,5,50.0,-1.541
240,3.15,4,4,5,5,5,4.6,b,2,a,0,b,2,b,2,a,0,6,60.0,0.9333
241,4.88,5,6,5,6,6,5.6,b,2,b,2,b,2,b,2,b,2,10,100.0,1.2576
242,4.72,7,7,6,7,5,6.4,b,2,a,0,b,2,b,2,b,2,8,80.0,2.1186
243,2.26,4,3,3,3,5,3.6,c,1,b,2,b,2,a,0,b,2,7,70.0,0.2817
244,3.12,4,3,3,3,4,3.4,a,0,c,1,a,0,b,2,c,1,4,40.0,-0.2556
245,4.36,2,3,5,2,4,3.2,b,2,a,0,b,2,c,1,b,2,7,70.0,-0.939
246,5.24,5,5,6,5,6,5.4,b,2,b,2,b,2,b,2,b,2,10,100.0,0.9184
247,4.9,4,5,5,5,5,4.8,b,2,b,2,b,2,a,0,a,0,6,60.0,0.4492
248,3.75,4,4,3,4,4,3.8,a,0,a,0,a,0,a,0,a,0,0,0.0,-0.1007
249,4.03,5,5,5,5,5,5.0,b,2,c,1,c,1,b,2,b,2,8,80.0,0.9914
250,3.81,3,4,4,4,4,3.8,b,2,a,0,b,2,a,0,b,2,6,60.0,-0.1264
251,4.49,5,5,4,5,3,4.4,a,0,c,1,a,0,b,2,a,0,3,30.0,0.2081
252,5.56,6,6,6,6,5,5.8,a,0,a,0,c,1,a,0,a,0,1,10.0,1.192
253,3.25,5,5,6,5,6,5.4,b,2,b,2,b,2,b,2,b,2,10,100.0,1.6924
254,4.23,3,5,4,4,4,4.0,b,2,b,2,a,0,b,2,b,2,8,80.0,-0.0876
255,4.32,2,4,4,5,5,4.0,c,1,c,1,a,0,b,2,c,1,5,50.0,-0.1233
256,4.47,3,4,3,4,3,3.4,a,0,c,1,c,1,a,0,a,0,2,20.0,-0.784
257,5.03,3,3,3,4,4,3.4,a,0,b,2,a,0,c,1,c,1,4,40.0,-1.0001
258,4.0,3,4,4,5,4,4.0,a,0,a,0,b,2,b,2,a,0,4,40.0,0.0025
259,4.56,5,4,5,4,5,4.6,b,2,a,0,a,0,c,1,b,2,5,50.0,0.3812
260,3.68,3,4,2,4,3,3.2,b,2,a,0,a,0,b,2,c,1,5,50.0,-0.6727
261,5.8,5,3,4,4,6,4.4,b,2,a,0,a,0,a,0,a,0,2,20.0,-0.3021
262,3.96,3,2,2,2,2,2.2,c,1,b,2,b,2,b,2,b,2,9,90.0,-1.7816
263,7.0,5,3,4,4,5,4.2,b,2,b,2,b,2,b,2,b,2,10,100.0,-0.9699
264,4.03,2,3,3,3,2,2.6,b,2,b,2,c,1,b,2,b,2,9,90.0,-1.4113
265,1.12,4,4,5,4,4,4.2,c,1,b,2,b,2,b,2,b,2,9,90.0,1.3275
