date,site_name,flared_mscf
2024-11-29,Utorogu,13444
2024-11-29,Agbada,97424
2024-11-29,Nembe,116363
2024-11-29,Obite,56176
2024-11-29,Soku,71692
2024-11-29,Bonga Offshore,50400
2024-11-29,Akpo Offshore,5930
2024-11-29,Egina Offshore,51022
2024-11-30,Escravos,80815
2024-11-30,Forcados,7423
2024-11-30,Bonny,115452
2024-11-30,Brass,107468
2024-11-30,Ebocha,48289
2024-11-30,Ughelli,34814
2024-11-30,Ogbogu,52274
2024-11-30,Utorogu,14580
2024-11-30,Agbada,77184
2024-11-30,Nembe,105795
2024-11-30,Obite,66431
2024-11-30,Soku,65841
2024-11-30,Bonga Offshore,44142
2024-11-30,Akpo Offshore,5806
2024-11-30,Egina Offshore,41386
2024-12-01,Escravos,74172
2024-12-01,Forcados,6831
2024-12-01,Bonny,125255
2024-12-01,Brass,107749
2024-12-01,Ebocha,40518
2024-12-01,Ughelli,45700
2024-12-01,Ogbogu,40511
2024-12-01,Utorogu,13284
2024-12-01,Agbada,75227
2024-12-01,Nembe,118113
2024-12-01,Obite,79279
2024-12-01,Soku,74155
2024-12-01,Bonga Offshore,54571
2024-12-01,Akpo Offshore,5921
2024-12-01,Egina Offshore,43687
2024-12-02,Escravos,68439
2024-12-02,Forcados,8447
2024-12-02,Bonny,121651
2024-12-02,Brass,107783
2024-12-02,Ebocha,40340
2024-12-02,Ughelli,44927
2024-12-02,Ogbogu,58333
2024-12-02,Utorogu,14862
2024-12-02,Agbada,74155
2024-12-02,Nembe,100822
2024-12-02,Obite,73017
2024-12-02,Soku,66915
2024-12-02,Bonga Offshore,35509
2024-12-02,Akpo Offshore,5265
2024-12-02,Egina Offshore,48241
2024-12-03,Escravos,81410
2024-12-03,Forcados,9340
2024-12-03,Bonny,111684
2024-12-03,Brass,86799
2024-12-03,Ebocha,36634
2024-12-03,Ughelli,44014
2024-12-03,Ogbogu,63917
2024-12-03,Utorogu,15507
2024-12-03,Agbada,62490
2024-12-03,Nembe,110860
2024-12-03,Obite,75491
2024-12-03,Soku,76437
2024-12-03,Bonga Offshore,48594
2024-12-03,Akpo Offshore,5352
2024-12-03,Egina Offshore,45080
2024-12-04,Escravos,92977
2024-12-04,Forcados,8595
2024-12-04,Bonny,130813
2024-12-04,Brass,95498
2024-12-04,Ebocha,41599
2024-12-04,Ughelli,44251
2024-12-04,Ogbogu,58840
2024-12-04,Utorogu,14424
2024-12-04,Agbada,77337
2024-12-04,Nembe,106446
2024-12-04,Obite,70083
2024-12-04,Soku,63960
2024-12-04,Bonga Offshore,47516
2024-12-04,Akpo Offshore,4721
2024-12-04,Egina Offshore,43359
2024-12-05,Escravos,73100
2024-12-05,Forcados,6772
2024-12-05,Bonny,99726
2024-12-05,Brass,105046
2024-12-05,Ebocha,36480
2024-12-05,Ughelli,44074
2024-12-05,Ogbogu,53852
2024-12-05,Utorogu,12299
2024-12-05,Agbada,81258
2024-12-05,Nembe,108246
2024-12-05,Obite,62873
2024-12-05,Soku,69129
2024-12-05,Bonga Offshore,50414
2024-12-05,Akpo Offshore,5712
2024-12-05,Egina Offshore,46932
2024-12-06,Escravos,75544
2024-12-06,Forcados,8711
2024-12-06,Bonny,117411
2024-12-06,Brass,83046
2024-12-06,Ebocha,36584
2024-12-06,Ughelli,40206
2024-12-06,Ogbogu,50766
2024-12-06,Utorogu,13362
2024-12-06,Agbada,69237
2024-12-06,Nembe,102264
2024-12-06,Obite,62982
2024-12-06,Soku,73036
2024-12-06,Bonga Offshore,48709
2024-12-06,Akpo Offshore,5053
2024-12-06,Egina Offshore,37301
2024-12-07,Escravos,63565
2024-12-07,Forcados,9976
2024-12-07,Bonny,88603
2024-12-07,Brass,108801
2024-12-07,Ebocha,37591
2024-12-07,Ughelli,33098
2024-12-07,Ogbogu,50268
2024-12-07,Utorogu,15028
2024-12-07,Agbada,64746
2024-12-07,Nembe,121420
2024-12-07,Obite,67105
2024-12-07,Soku,59293
2024-12-07,Bonga Offshore,43299
2024-12-07,Akpo Offshore,4597
2024-12-07,Egina Offshore,52748
2024-12-08,Escravos,83562
2024-12-08,Forcados,8387
2024-12-08,Bonny,123048
2024-12-08,Brass,112500
2024-12-08,Ebocha,31337
2024-12-08,Ughelli,39176
2024-12-08,Ogbogu,53572
2024-12-08,Utorogu,13178
2024-12-08,Agbada,76827
2024-12-08,Nembe,83060
2024-12-08,Obite,75638
2024-12-08,Soku,68870
2024-12-08,Bonga Offshore,32143
2024-12-08,Akpo Offshore,5792
2024-12-08,Egina Offshore,52160
2024-12-09,Escravos,69441
2024-12-09,Forcados,8659
2024-12-09,Bonny,123882
2024-12-09,Brass,110215
2024-12-09,Ebocha,43805
2024-12-09,Ughelli,44396
2024-12-09,Ogbogu,52869
2024-12-09,Utorogu,15106
2024-12-09,Agbada,71155
2024-12-09,Nembe,100325
2024-12-09,Obite,74700
2024-12-09,Soku,83624
2024-12-09,Bonga Offshore,41105
2024-12-09,Akpo Offshore,7016
2024-12-09,Egina Offshore,52929
2024-12-10,Escravos,84243
2024-12-10,Forcados,9614
2024-12-10,Bonny,108901
2024-12-10,Brass,103568
2024-12-10,Ebocha,41883
2024-12-10,Ughelli,32090
2024-12-10,Ogbogu,51471
2024-12-10,Utorogu,14032
2024-12-10,Agbada,83984
2024-12-10,Nembe,100568
2024-12-10,Obite,56322
2024-12-10,Soku,80032
2024-12-10,Bonga Offshore,43841
2024-12-10,Akpo Offshore,3661
2024-12-10,Egina Offshore,56272
2024-12-11,Escravos,78140
2024-12-11,Forcados,9673
2024-12-11,Bonny,86899
2024-12-11,Brass,116805
2024-12-11,Ebocha,31211
2024-12-11,Ughelli,40476
2024-12-11,Ogbogu,46040
2024-12-11,Utorogu,14576
2024-12-11,Agbada,76921
2024-12-11,Nembe,86511
2024-12-11,Obite,74545
2024-12-11,Soku,80280
2024-12-11,Bonga Offshore,38602
2024-12-11,Akpo Offshore,5687
2024-12-11,Egina Offshore,52702
2024-12-12,Escravos,62245
2024-12-12,Forcados,9132
2024-12-12,Bonny,95042
2024-12-12,Brass,104831
2024-12-12,Ebocha,47632
2024-12-12,Ughelli,50540
2024-12-12,Ogbogu,48512
2024-12-12,Utorogu,11782
2024-12-12,Agbada,67786
2024-12-12,Nembe,115578
2024-12-12,Obite,77185
2024-12-12,Soku,74486
2024-12-12,Bonga Offshore,36498
2024-12-12,Akpo Offshore,4214
2024-12-12,Egina Offshore,48041
2024-12-13,Escravos,71072
2024-12-13,Forcados,8140
2024-12-13,Bonny,105936
2024-12-13,Brass,117296
2024-12-13,Ebocha,42183
2024-12-13,Ughelli,40558
2024-12-13,Ogbogu,39971
2024-12-13,Utorogu,14959
2024-12-13,Agbada,75907
2024-12-13,Nembe,92194
2024-12-13,Obite,69512
2024-12-13,Soku,66180
2024-12-13,Bonga Offshore,60075
2024-12-13,Akpo Offshore,3986
2024-12-13,Egina Offshore,51036
2024-12-14,Escravos,90129
2024-12-14,Forcados,9219
2024-12-14,Bonny,121153
2024-12-14,Brass,96998
2024-12-14,Ebocha,42314
2024-12-14,Ughelli,35312
2024-12-14,Ogbogu,54940
2024-12-14,Utorogu,13074
2024-12-14,Agbada,86375
2024-12-14,Nembe,126964
2024-12-14,Obite,84165
2024-12-14,Soku,89903
2024-12-14,Bonga Offshore,48934
2024-12-14,Akpo Offshore,5816
2024-12-14,Egina Offshore,61283
2024-12-15,Escravos,82211
2024-12-15,Forcados,10443
2024-12-15,Bonny,119667
2024-12-15,Brass,100433
2024-12-15,Ebocha,40869
2024-12-15,Ughelli,47142
2024-12-15,Ogbogu,59975
2024-12-15,Utorogu,15485
2024-12-15,Agbada,66965
2024-12-15,Nembe,103994
2024-12-15,Obite,67134
2024-12-15,Soku,67401
2024-12-15,Bonga Offshore,45940
2024-12-15,Akpo Offshore,4310
2024-12-15,Egina Offshore,44967
2024-12-16,Escravos,83231
2024-12-16,Forcados,10455
2024-12-16,Bonny,112125
2024-12-16,Brass,104843
2024-12-16,Ebocha,41701
2024-12-16,Ughelli,42977
2024-12-16,Ogbogu,57007
2024-12-16,Utorogu,13335
2024-12-16,Agbada,83904
2024-12-16,Nembe,93747
2024-12-16,Obite,76088
2024-12-16,Soku,70050
2024-12-16,Bonga Offshore,30836
2024-12-16,Akpo Offshore,5423
2024-12-16,Egina Offshore,46526
2024-12-17,Escravos,67759
2024-12-17,Forcados,9188
2024-12-17,Bonny,118088
2024-12-17,Brass,99833
2024-12-17,Ebocha,42321
2024-12-17,Ughelli,48124
2024-12-17,Ogbogu,65676
2024-12-17,Utorogu,17155
2024-12-17,Agbada,100391
2024-12-17,Nembe,92677
2024-12-17,Obite,71820
2024-12-17,Soku,72085
2024-12-17,Bonga Offshore,47674
2024-12-17,Akpo Offshore,4750
2024-12-17,Egina Offshore,48165
2024-12-18,Escravos,72707
2024-12-18,Forcados,9734
2024-12-18,Bonny,109360
2024-12-18,Brass,127872
2024-12-18,Ebocha,40026
2024-12-18,Ughelli,38998
2024-12-18,Ogbogu,52074
2024-12-18,Utorogu,15390
2024-12-18,Agbada,84335
2024-12-18,Nembe,97946
2024-12-18,Obite,65081
