month,state,petrol_retail_price_ngn_per_l,diesel_retail_price_ngn_per_l,currency
2023-02-01,Kano,192.9,675.8,NGN
2023-02-01,Katsina,174.1,782.9,NGN
2023-02-01,Kebbi,194.3,769.9,NGN
2023-02-01,Kogi,174.9,706.1,NGN
2023-02-01,Kwara,173.8,651.6,NGN
2023-02-01,Lagos,202.0,656.2,NGN
2023-02-01,Nasarawa,194.9,744.5,NGN
2023-02-01,Niger,194.1,775.0,NGN
2023-02-01,Ogun,194.7,658.1,NGN
2023-02-01,Ondo,185.0,761.0,NGN
2023-02-01,Osun,202.0,713.9,NGN
2023-02-01,Oyo,185.1,681.9,NGN
2023-02-01,Plateau,196.6,672.0,NGN
2023-02-01,Rivers,174.0,738.5,NGN
2023-02-01,Sokoto,183.8,744.9,NGN
2023-02-01,Taraba,196.2,693.1,NGN
2023-02-01,Yobe,173.0,655.4,NGN
2023-02-01,Zamfara,185.0,766.1,NGN
2023-03-01,Abia,206.5,664.8,NGN
2023-03-01,Adamawa,190.9,722.3,NGN
2023-03-01,Akwa Ibom,223.6,651.9,NGN
2023-03-01,Anambra,190.4,770.7,NGN
2023-03-01,Bauchi,213.0,656.2,NGN
2023-03-01,Bayelsa,188.9,691.3,NGN
2023-03-01,Benue,196.5,777.6,NGN
2023-03-01,Borno,221.5,708.9,NGN
2023-03-01,Cross River,212.9,710.6,NGN
2023-03-01,Delta,194.9,778.2,NGN
2023-03-01,Ebonyi,210.5,666.0,NGN
2023-03-01,Edo,197.7,686.4,NGN
2023-03-01,Ekiti,217.3,788.7,NGN
2023-03-01,Enugu,202.1,792.1,NGN
2023-03-01,FCT Abuja,201.8,768.9,NGN
2023-03-01,Gombe,203.6,689.7,NGN
2023-03-01,Imo,202.7,746.4,NGN
2023-03-01,Jigawa,222.6,750.3,NGN
2023-03-01,Kaduna,220.2,722.1,NGN
2023-03-01,Kano,221.3,724.6,NGN
2023-03-01,Katsina,208.7,748.8,NGN
2023-03-01,Kebbi,216.3,668.3,NGN
2023-03-01,Kogi,221.0,756.4,NGN
2023-03-01,Kwara,204.2,782.4,NGN
2023-03-01,Lagos,216.4,715.0,NGN
2023-03-01,Nasarawa,209.4,705.2,NGN
2023-03-01,Niger,211.1,698.6,NGN
2023-03-01,Ogun,222.0,787.2,NGN
2023-03-01,Ondo,202.0,735.5,NGN
2023-03-01,Osun,190.6,691.4,NGN
2023-03-01,Oyo,208.8,765.9,NGN
2023-03-01,Plateau,192.0,737.1,NGN
2023-03-01,Rivers,203.7,688.5,NGN
2023-03-01,Sokoto,194.5,771.5,NGN
2023-03-01,Taraba,223.1,741.2,NGN
2023-03-01,Yobe,198.2,671.9,NGN
2023-03-01,Zamfara,190.4,706.3,NGN
2023-04-01,Abia,176.0,805.5,NGN
2023-04-01,Adamawa,172.6,800.7,NGN
2023-04-01,Akwa Ibom,198.4,837.9,NGN
2023-04-01,Anambra,188.4,768.5,NGN
2023-04-01,Bauchi,174.9,858.6,NGN
2023-04-01,Bayelsa,181.3,901.9,NGN
2023-04-01,Benue,190.7,818.3,NGN
2023-04-01,Borno,172.7,814.2,NGN
2023-04-01,Cross River,174.9,874.6,NGN
2023-04-01,Delta,198.8,802.8,NGN
2023-04-01,Ebonyi,172.3,911.1,NGN
2023-04-01,Edo,169.1,746.4,NGN
2023-04-01,Ekiti,171.2,823.9,NGN
2023-04-01,Enugu,196.1,733.7,NGN
2023-04-01,FCT Abuja,190.8,901.2,NGN
2023-04-01,Gombe,188.3,863.1,NGN
2023-04-01,Imo,180.9,828.9,NGN
2023-04-01,Jigawa,190.1,895.8,NGN
2023-04-01,Kaduna,197.5,774.6,NGN
2023-04-01,Kano,199.6,832.0,NGN
2023-04-01,Katsina,175.7,846.0,NGN
2023-04-01,Kebbi,174.8,872.2,NGN
2023-04-01,Kogi,168.5,894.9,NGN
2023-04-01,Kwara,181.8,768.3,NGN
2023-04-01,Lagos,199.0,863.6,NGN
2023-04-01,Nasarawa,185.3,779.5,NGN
2023-04-01,Niger,185.5,733.1,NGN
2023-04-01,Ogun,179.3,787.2,NGN
2023-04-01,Ondo,198.0,794.1,NGN
2023-04-01,Osun,176.0,785.9,NGN
2023-04-01,Oyo,176.3,850.0,NGN
2023-04-01,Plateau,186.9,808.5,NGN
2023-04-01,Rivers,170.1,741.2,NGN
2023-04-01,Sokoto,180.9,797.3,NGN
2023-04-01,Taraba,174.0,829.9,NGN
2023-04-01,Yobe,171.4,847.2,NGN
2023-04-01,Zamfara,177.4,841.8,NGN
2023-05-01,Abia,198.5,754.3,NGN
2023-05-01,Adamawa,195.8,731.8,NGN
2023-05-01,Akwa Ibom,211.9,843.4,NGN
2023-05-01,Anambra,196.9,877.8,NGN
2023-05-01,Bauchi,197.8,871.8,NGN
2023-05-01,Bayelsa,208.2,847.2,NGN
2023-05-01,Benue,192.0,840.0,NGN
2023-05-01,Borno,197.0,726.7,NGN
2023-05-01,Cross River,202.2,871.3,NGN
2023-05-01,Delta,206.2,753.0,NGN
2023-05-01,Ebonyi,196.5,770.6,NGN
2023-05-01,Edo,184.0,877.4,NGN
2023-05-01,Ekiti,186.1,862.8,NGN
2023-05-01,Enugu,207.7,852.9,NGN
2023-05-01,FCT Abuja,201.3,765.4,NGN
2023-05-01,Gombe,203.1,839.8,NGN
2023-05-01,Imo,180.5,793.1,NGN
2023-05-01,Jigawa,183.2,809.9,NGN
2023-05-01,Kaduna,196.1,745.2,NGN
2023-05-01,Kano,208.3,884.0,NGN
2023-05-01,Katsina,205.2,874.8,NGN
2023-05-01,Kebbi,195.1,812.5,NGN
2023-05-01,Kogi,205.2,763.0,NGN
2023-05-01,Kwara,179.5,804.0,NGN
2023-05-01,Lagos,184.4,746.2,NGN
2023-05-01,Nasarawa,191.3,747.2,NGN
2023-05-01,Niger,185.0,830.3,NGN
2023-05-01,Ogun,207.9,811.5,NGN
2023-05-01,Ondo,180.2,893.2,NGN
2023-05-01,Osun,209.0,865.1,NGN
2023-05-01,Oyo,190.0,819.2,NGN
2023-05-01,Plateau,193.1,737.7,NGN
2023-05-01,Rivers,180.0,729.3,NGN
2023-05-01,Sokoto,199.2,779.4,NGN
2023-05-01,Taraba,192.2,851.9,NGN
2023-05-01,Yobe,198.0,796.4,NGN
2023-05-01,Zamfara,185.4,899.3,NGN
2023-06-01,Abia,211.1,798.6,NGN
2023-06-01,Adamawa,208.5,741.9,NGN
2023-06-01,Akwa Ibom,181.3,724.2,NGN
2023-06-01,Anambra,191.4,734.1,NGN
2023-06-01,Bauchi,192.3,733.5,NGN
2023-06-01,Bayelsa,190.2,790.4,NGN
2023-06-01,Benue,203.6,726.4,NGN
2023-06-01,Borno,180.6,715.6,NGN
2023-06-01,Cross River,190.5,765.6,NGN
2023-06-01,Delta,202.1,862.9,NGN
2023-06-01,Ebonyi,214.0,777.5,NGN
2023-06-01,Edo,190.8,805.3,NGN
2023-06-01,Ekiti,204.7,786.1,NGN
2023-06-01,Enugu,185.7,736.3,NGN
2023-06-01,FCT Abuja,195.1,747.6,NGN
2023-06-01,Gombe,185.5,832.6,NGN
2023-06-01,Imo,188.2,739.5,NGN
2023-06-01,Jigawa,194.2,742.1,NGN
2023-06-01,Kaduna,214.4,825.7,NGN
2023-06-01,Kano,193.1,774.2,NGN
2023-06-01,Katsina,200.8,735.6,NGN
2023-06-01,Kebbi,211.2,744.2,NGN
2023-06-01,Kogi,197.0,762.1,NGN
2023-06-01,Kwara,193.4,819.4,NGN
2023-06-01,Lagos,190.0,720.5,NGN
2023-06-01,Nasarawa,184.4,735.4,NGN
2023-06-01,Niger,199.8,828.0,NGN
2023-06-01,Ogun,202.1,724.4,NGN
2023-06-01,Ondo,189.6,841.6,NGN
2023-06-01,Osun,212.1,776.6,NGN
2023-06-01,Oyo,211.4,750.6,NGN
2023-06-01,Plateau,201.6,825.0,NGN
2023-06-01,Rivers,210.1,836.2,NGN
2023-06-01,Sokoto,212.8,862.1,NGN
2023-06-01,Taraba,205.8,869.7,NGN
2023-06-01,Yobe,207.4,880.4,NGN
2023-06-01,Zamfara,181.4,836.7,NGN
2023-07-01,Abia,238.0,783.8,NGN
2023-07-01,Adamawa,228.4,883.8,NGN
2023-07-01,Akwa Ibom,256.5,842.9,NGN
2023-07-01,Anambra,260.8,773.3,NGN
2023-07-01,Bauchi,255.8,893.1,NGN
2023-07-01,Bayelsa,252.3,796.8,NGN
2023-07-01,Benue,232.5,768.7,NGN
2023-07-01,Borno,247.7,789.9,NGN
2023-07-01,Cross River,225.1,951.7,NGN
2023-07-01,Delta,232.2,816.7,NGN
2023-07-01,Ebonyi,252.8,815.9,NGN
2023-07-01,Edo,255.2,878.8,NGN
2023-07-01,Ekiti,224.1,869.8,NGN
2023-07-01,Enugu,229.1,935.8,NGN
2023-07-01,FCT Abuja,254.1,925.1,NGN
2023-07-01,Gombe,223.1,856.6,NGN
2023-07-01,Imo,251.1,831.6,NGN
2023-07-01,Jigawa,259.6,808.2,NGN
2023-07-01,Kaduna,234.6,805.9,NGN
2023-07-01,Kano,232.5,929.7,NGN
2023-07-01,Katsina,256.5,771.9,NGN
2023-07-01,Kebbi,256.0,892.1,NGN
2023-07-01,Kogi,236.1,798.0,NGN
2023-07-01,Kwara,251.7,872.4,NGN
2023-07-01,Lagos,220.9,799.9,NGN
2023-07-01,Nasarawa,244.8,893.7,NGN
2023-07-01,Niger,238.7,859.6,NGN
2023-07-01,Ogun,236.4,792.9,NGN
2023-07-01,Ondo,226.5,817.4,NGN
2023-07-01,Osun,249.7,944.3,NGN
2023-07-01,Oyo,238.6,933.8,NGN
2023-07-01,Plateau,258.7,809.4,NGN
2023-07-01,Rivers,227.6,927.8,NGN
2023-07-01,Sokoto,234.2,782.5,NGN
2023-07-01,Taraba,235.8,891.7,NGN
2023-07-01,Yobe,229.7,898.9,NGN
2023-07-01,Zamfara,238.3,769.3,NGN
2023-08-01,Abia,275.1,880.0,NGN
2023-08-01,Adamawa,291.9,889.5,NGN
2023-08-01,Akwa Ibom,257.6,943.0,NGN
2023-08-01,Anambra,266.8,787.9,NGN
2023-08-01,Bauchi,276.0,889.6,NGN
2023-08-01,Bayelsa,274.0,825.4,NGN
2023-08-01,Benue,270.3,913.2,NGN
2023-08-01,Borno,256.3,886.4,NGN
2023-08-01,Cross River,270.7,922.6,NGN
2023-08-01,Delta,271.1,901.4,NGN
2023-08-01,Ebonyi,301.2,942.1,NGN
2023-08-01,Edo,275.4,914.7,NGN
2023-08-01,Ekiti,304.9,828.2,NGN
2023-08-01,Enugu,302.5,843.0,NGN
2023-08-01,FCT Abuja,262.4,876.3,NGN
2023-08-01,Gombe,257.7,812.7,NGN
2023-08-01,Imo,302.8,960.6,NGN
2023-08-01,Jigawa,275.8,853.3,NGN
2023-08-01,Kaduna,256.9,920.0,NGN
2023-08-01,Kano,272.3,942.6,NGN
2023-08-01,Katsina,273.9,816.9,NGN
2023-08-01,Kebbi,260.5,793.5,NGN
2023-08-01,Kogi,283.2,911.1,NGN
2023-08-01,Kwara,268.6,913.0,NGN
2023-08-01,Lagos,302.8,879.3,NGN
2023-08-01,Nasarawa,282.5,790.4,NGN
2023-08-01,Niger,270.0,855.4,NGN
2023-08-01,Ogun,257.7,908.6,NGN
2023-08-01,Ondo,272.5,881.7,NGN
2023-08-01,Osun,283.4,798.3,NGN
2023-08-01,Oyo,273.6,843.9,NGN
2023-08-01,Plateau,260.3,820.5,NGN
2023-08-01,Rivers,279.9,955.3,NGN
2023-08-01,Sokoto,287.7,879.0,NGN
2023-08-01,Taraba,289.6,774.5,NGN
2023-08-01,Yobe,270.5,933.8,NGN
2023-08-01,Zamfara,267.1,943.0,NGN
2023-09-01,Abia,309.7,995.8,NGN
2023-09-01,Adamawa,305.5,985.2,NGN
2023-09-01,Akwa Ibom,291.2,1000.1,NGN
2023-09-01,Anambra,300.2,890.6,NGN
2023-09-01,Bauchi,302.6,975.8,NGN
2023-09-01,Bayelsa,291.9,885.0,NGN
2023-09-01,Benue,306.9,883.8,NGN
2023-09-01,Borno,320.6,949.2,NGN
2023-09-01,Cross River,301.2,833.0,NGN
2023-09-01,Delta,323.0,876.4,NGN
2023-09-01,Ebonyi,300.1,878.7,NGN
2023-09-01,Edo,295.2,911.3,NGN
2023-09-01,Ekiti,317.6,840.9,NGN
2023-09-01,Enugu,318.1,912.9,NGN
2023-09-01,FCT Abuja,284.2,889.9,NGN
2023-09-01,Gombe,278.2,843.9,NGN
2023-09-01,Imo,287.7,988.0,NGN
2023-09-01,Jigawa,279.1,925.0,NGN
2023-09-01,Kaduna,296.9,825.9,NGN
2023-09-01,Kano,307.3,889.6,NGN
2023-09-01,Katsina,319.0,898.6,NGN
2023-09-01,Kebbi,322.4,865.7,NGN
2023-09-01,Kogi,294.5,889.9,NGN
2023-09-01,Kwara,280.4,836.8,NGN
2023-09-01,Lagos,311.7,962.5,NGN
2023-09-01,Nasarawa,276.7,905.7,NGN
2023-09-01,Niger,312.2,850.4,NGN
2023-09-01,Ogun,280.9,916.2,NGN
2023-09-01,Ondo,294.9,1006.1,NGN
2023-09-01,Osun,285.2,922.2,NGN
2023-09-01,Oyo,308.5,960.6,NGN
2023-09-01,Plateau,306.0,977.9,NGN
2023-09-01,Rivers,295.2,933.2,NGN
2023-09-01,Sokoto,311.5,879.9,NGN
2023-09-01,Taraba,298.5,835.4,NGN
2023-09-01,Yobe,311.4,871.6,NGN
2023-09-01,Zamfara,324.3,880.0,NGN
2023-10-01,Abia,348.3,968.5,NGN
2023-10-01,Adamawa,322.5,1024.3,NGN
2023-10-01,Akwa Ibom,380.9,972.4,NGN
2023-10-01,Anambra,355.5,868.8,NGN
2023-10-01,Bauchi,371.1,1040.1,NGN
2023-10-01,Bayelsa,355.7,1005.9,NGN
2023-10-01,Benue,341.8,885.3,NGN
2023-10-01,Borno,348.4,1007.3,NGN
2023-10-01,Cross River,354.4,1010.3,NGN
2023-10-01,Delta,382.5,891.0,NGN
2023-10-01,Ebonyi,335.8,921.3,NGN
2023-10-01,Edo,355.4,1037.7,NGN
2023-10-01,Ekiti,332.4,989.8,NGN
2023-10-01,Enugu,377.8,1036.6,NGN
2023-10-01,FCT Abuja,353.9,1048.2,NGN
2023-10-01,Gombe,342.1,855.1,NGN
2023-10-01,Imo,324.5,894.6,NGN
2023-10-01,Jigawa,340.6,881.5,NGN
2023-10-01,Kaduna,379.9,1029.5,NGN
2023-10-01,Kano,330.5,961.4,NGN
2023-10-01,Katsina,355.8,979.0,NGN
2023-10-01,Kebbi,343.4,969.4,NGN
2023-10-01,Kogi,339.6,1043.4,NGN
2023-10-01,Kwara,357.8,853.3,NGN
2023-10-01,Lagos,367.1,982.6,NGN
2023-10-01,Nasarawa,359.3,847.5,NGN
2023-10-01,Niger,336.6,847.5,NGN
2023-10-01,Ogun,376.4,1016.8,NGN
2023-10-01,Ondo,381.2,997.4,NGN
2023-10-01,Osun,331.5,896.9,NGN
2023-10-01,Oyo,377.3,868.3,NGN
2023-10-01,Plateau,342.7,866.0,NGN
2023-10-01,Rivers,352.1,940.5,NGN
2023-10-01,Sokoto,369.9,926.4,NGN
2023-10-01,Taraba,363.3,897.0,NGN
2023-10-01,Yobe,339.4,997.2,NGN
2023-10-01,Zamfara,328.9,864.8,NGN
2023-11-01,Abia,399.8,946.9,NGN
2023-11-01,Adamawa,419.7,884.6,NGN
2023-11-01,Akwa Ibom,389.3,1004.5,NGN
2023-11-01,Anambra,441.9,955.9,NGN
2023-11-01,Bauchi,378.9,938.9,NGN
2023-11-01,Bayelsa,411.9,948.3,NGN
2023-11-01,Benue,399.1,1031.3,NGN
2023-11-01,Borno,394.2,925.4,NGN
2023-11-01,Cross River,425.1,914.6,NGN
2023-11-01,Delta,412.7,1034.8,NGN
2023-11-01,Ebonyi,416.8,882.9,NGN
2023-11-01,Edo,443.5,983.3,NGN
2023-11-01,Ekiti,414.0,1068.0,NGN
2023-11-01,Enugu,432.7,1001.7,NGN
2023-11-01,FCT Abuja,415.8,992.8,NGN
2023-11-01,Gombe,379.3,938.0,NGN
2023-11-01,Imo,392.8,977.9,NGN
2023-11-01,Jigawa,412.5,1031.4,NGN
2023-11-01,Kaduna,390.5,884.6,NGN
2023-11-01,Kano,405.9,974.0,NGN
2023-11-01,Katsina,399.3,1032.5,NGN
2023-11-01,Kebbi,438.5,924.1,NGN
2023-11-01,Kogi,418.2,917.0,NGN
2023-11-01,Kwara,390.2,1064.4,NGN
2023-11-01,Lagos,402.2,903.0,NGN
2023-11-01,Nasarawa,426.0,1060.0,NGN
2023-11-01,Niger,378.8,915.1,NGN
2023-11-01,Ogun,377.0,1013.0,NGN
2023-11-01,Ondo,427.5,918.8,NGN
2023-11-01,Osun,412.7,1088.1,NGN
2023-11-01,Oyo,424.0,962.8,NGN
2023-11-01,Plateau,425.9,1020.9,NGN
2023-11-01,Rivers,400.6,970.9,NGN
2023-11-01,Sokoto,408.3,890.2,NGN
2023-11-01,Taraba,378.0,1006.4,NGN
2023-11-01,Yobe,431.8,921.9,NGN
2023-11-01,Zamfara,388.0,908.5,NGN
2023-12-01,Abia,428.3,1053.1,NGN
2023-12-01,Adamawa,467.0,932.9,NGN
2023-12-01,Akwa Ibom,474.4,1107.7,NGN
2023-12-01,Anambra,406.8,1041.5,NGN
2023-12-01,Bauchi,420.3,915.1,NGN
2023-12-01,Bayelsa,435.9,1022.5,NGN
2023-12-01,Benue,445.7,1029.5,NGN
2023-12-01,Borno,406.4,982.5,NGN
2023-12-01,Cross River,464.4,968.7,NGN
2023-12-01,Delta,450.1,1084.8,NGN
2023-12-01,Ebonyi,445.1,1102.8,NGN
2023-12-01,Edo,427.1,1092.9,NGN
2023-12-01,Ekiti,459.5,965.9,NGN
2023-12-01,Enugu,465.8,1041.8,NGN
2023-12-01,FCT Abuja,407.9,1061.4,NGN
2023-12-01,Gombe,450.8,917.6,NGN
2023-12-01,Imo,432.1,1066.8,NGN
2023-12-01,Jigawa,423.6,930.6,NGN
2023-12-01,Kaduna,424.9,928.6,NGN
2023-12-01,Kano,476.8,900.8,NGN
2023-12-01,Katsina,474.0,1084.6,NGN
2023-12-01,Kebbi,475.0,968.4,NGN
2023-12-01,Kogi,408.0,992.4,NGN
2023-12-01,Kwara,461.2,963.4,NGN
2023-12-01,Lagos,425.5,1100.6,NGN
2023-12-01,Nasarawa,436.5,1101.3,NGN
2023-12-01,Niger,454.1,1021.0,NGN
2023-12-01,Ogun,477.0,1032.3,NGN
2023-12-01,Ondo,405.0,927.7,NGN
2023-12-01,Osun,416.7,957.0,NGN
2023-12-01,Oyo,439.5,986.7,NGN
2023-12-01,Plateau,414.8,944.1,NGN
2023-12-01,Rivers,418.5,907.4,NGN
2023-12-01,Sokoto,407.3,915.6,NGN
2023-12-01,Taraba,459.3,901.2,NGN
2023-12-01,Yobe,446.4,1023.7,NGN
2023-12-01,Zamfara,456.7,960.5,NGN
2024-01-01,Abia,453.9,1027.7,NGN
2024-01-01,Adamawa,473.6,902.9,NGN
2024-01-01,Akwa Ibom,507.7,901.2,NGN
2024-01-01,Anambra,501.8,891.8,NGN
2024-01-01,Bauchi,443.5,1079.0,NGN
2024-01-01,Bayelsa,446.7,986.1,NGN
2024-01-01,Benue,474.9,1003.0,NGN
2024-01-01,Borno,464.3,1095.5,NGN
2024-01-01,Cross River,519.2,967.9,NGN
2024-01-01,Delta,473.9,1006.1,NGN
2024-01-01,Ebonyi,467.3,1029.2,NGN
2024-01-01,Edo,505.9,927.8,NGN
2024-01-01,Ekiti,518.7,1038.3,NGN
2024-01-01,Enugu,452.4,929.3,NGN
2024-01-01,FCT Abuja,445.6,984.3,NGN
2024-01-01,Gombe,496.4,1012.8,NGN
2024-01-01,Imo,449.4,1083.7,NGN
2024-01-01,Jigawa,518.3,1005.7,NGN
2024-01-01,Kaduna,480.2,995.1,NGN
2024-01-01,Kano,453.3,1015.1,NGN
2024-01-01,Katsina,452.9,918.9,NGN
2024-01-01,Kebbi,489.3,942.5,NGN
2024-01-01,Kogi,516.1,1057.8,NGN
2024-01-01,Kwara,475.3,1047.2,NGN
2024-01-01,Lagos,520.8,1080.5,NGN
2024-01-01,Nasarawa,457.0,926.3,NGN
2024-01-01,Niger,452.0,963.8,NGN
2024-01-01,Ogun,484.1,1085.6,NGN
2024-01-01,Ondo,494.2,926.0,NGN
2024-01-01,Osun,476.0,1015.4,NGN
2024-01-01,Oyo,460.6,1048.9,NGN
2024-01-01,Plateau,488.0,931.7,NGN
2024-01-01,Rivers,480.3,883.0,NGN
2024-01-01,Sokoto,457.4,905.4,NGN
2024-01-01,Taraba,494.0,1049.7,NGN
2024-01-01,Yobe,486.8,1039.3,NGN
2024-01-01,Zamfara,485.8,957.5,NGN
2024-02-01,Abia,513.6,1168.4,NGN
2024-02-01,Adamawa,488.9,1044.8,NGN
2024-02-01,Akwa Ibom,515.0,978.4,NGN
2024-02-01,Anambra,535.1,1003.3,NGN
2024-02-01,Bauchi,568.9,1086.4,NGN
2024-02-01,Bayelsa,478.4,1112.3,NGN
2024-02-01,Benue,571.0,1059.7,NGN
2024-02-01,Borno,481.0,1130.3,NGN
2024-02-01,Cross River,521.2,1080.0,NGN
2024-02-01,Delta,563.5,1124.9,NGN
2024-02-01,Ebonyi,537.4,1147.0,NGN
2024-02-01,Edo,497.6,987.1,NGN
2024-02-01,Ekiti,556.5,1112.8,NGN
2024-02-01,Enugu,521.3,1177.9,NGN
2024-02-01,FCT Abuja,505.9,1142.1,NGN
2024-02-01,Gombe,495.5,1003.3,NGN
2024-02-01,Imo,553.7,1171.1,NGN
2024-02-01,Jigawa,536.4,1139.5,NGN
2024-02-01,Kaduna,570.4,1144.0,NGN
2024-02-01,Kano,540.5,1165.5,NGN
2024-02-01,Katsina,496.0,1040.0,NGN
2024-02-01,Kebbi,557.1,1163.0,NGN
2024-02-01,Kogi,570.5,981.9,NGN
2024-02-01,Kwara,489.5,1032.8,NGN
2024-02-01,Lagos,522.9,1170.5,NGN
2024-02-01,Nasarawa,490.0,1041.7,NGN
2024-02-01,Niger,555.2,1166.4,NGN
2024-02-01,Ogun,568.6,1017.3,NGN
2024-02-01,Ondo,530.5,1179.5,NGN
2024-02-01,Osun,511.5,1148.4,NGN
2024-02-01,Oyo,495.9,1105.5,NGN
2024-02-01,Plateau,527.8,1176.6,NGN
2024-02-01,Rivers,528.5,958.1,NGN
2024-02-01,Sokoto,503.2,999.2,NGN
2024-02-01,Taraba,516.4,1167.4,NGN
2024-02-01,Yobe,557.2,1026.0,NGN
2024-02-01,Zamfara,529.3,1070.9,NGN
2024-03-01,Abia,551.1,1053.2,NGN
2024-03-01,Adamawa,518.2,1194.0,NGN
2024-03-01,Akwa Ibom,508.7,1049.5,NGN
2024-03-01,Anambra,516.0,1122.3,NGN
2024-03-01,Bauchi,595.8,1183.5,NGN
2024-03-01,Bayelsa,567.0,1038.9,NGN
2024-03-01,Benue,593.3,1083.8,NGN
2024-03-01,Borno,549.3,1139.9,NGN
2024-03-01,Cross River,581.4,1057.6,NGN
2024-03-01,Delta,555.7,1138.2,NGN
2024-03-01,Ebonyi,591.0,1019.1,NGN
2024-03-01,Edo,510.7,1058.3,NGN
2024-03-01,Ekiti,552.9,1008.8,NGN
2024-03-01,Enugu,526.7,1123.9,NGN
2024-03-01,FCT Abuja,592.9,1185.8,NGN
2024-03-01,Gombe,596.7,1083.3,NGN
2024-03-01,Imo,583.9,1034.7,NGN
2024-03-01,Jigawa,593.2,1146.8,NGN
2024-03-01,Kaduna,587.3,1199.6,NGN
2024-03-01,Kano,569.4,1162.3,NGN
2024-03-01,Katsina,548.2,1016.3,NGN
2024-03-01,Kebbi,511.0,1048.7,NGN
2024-03-01,Kogi,509.3,1088.9,NGN
2024-03-01,Kwara,533.1,1003.6,NGN
2024-03-01,Lagos,514.5,1041.7,NGN
2024-03-01,Nasarawa,545.7,1061.9,NGN
2024-03-01,Niger,596.7,992.4,NGN
2024-03-01,Ogun,564.4,1027.9,NGN
2024-03-01,Ondo,551.1,1160.7,NGN
2024-03-01,Osun,566.7,1040.8,NGN
2024-03-01,Oyo,591.2,1198.5,NGN
2024-03-01,Plateau,596.5,1095.1,NGN
2024-03-01,Rivers,569.0,983.5,NGN
2024-03-01,Sokoto,578.0,1028.4,NGN
2024-03-01,Taraba,558.6,1025.3,NGN
2024-03-01,Yobe,591.8,966.7,NGN
2024-03-01,Zamfara,558.2,1171.3,NGN
2024-04-01,Abia,616.0,1010.8,NGN
2024-04-01,Adamawa,547.7,1109.9,NGN
2024-04-01,Akwa Ibom,638.4,1060.3,NGN
2024-04-01,Anambra,641.2,1047.8,NGN
2024-04-01,Bauchi,549.1,1129.0,NGN
2024-04-01,Bayelsa,634.7,1222.0,NGN
2024-04-01,Benue,607.2,1170.6,NGN
2024-04-01,Borno,622.1,1093.9,NGN
2024-04-01,Cross River,605.5,1171.6,NGN
2024-04-01,Delta,641.5,1015.1,NGN
2024-04-01,Ebonyi,580.1,1227.0,NGN
