state,sector,registered_smes,year,source
Abia,Agriculture,6212,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bayelsa,Transportation,11950,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bayelsa,Hospitality,7531,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Benue,Agriculture,8535,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Benue,Manufacturing,8580,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Benue,Construction,2316,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Benue,Trade,6453,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Benue,ICT,6060,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Benue,Finance,2929,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Benue,Transportation,5889,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Benue,Hospitality,5674,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Borno,Agriculture,3524,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Borno,Manufacturing,3378,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Borno,Construction,3374,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Borno,Trade,1955,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Borno,ICT,1366,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Borno,Finance,3247,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Borno,Transportation,2885,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Borno,Hospitality,2629,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Cross River,Agriculture,17370,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Cross River,Manufacturing,6002,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Cross River,Construction,20240,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Cross River,Trade,11131,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Cross River,ICT,17536,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Cross River,Finance,22383,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Cross River,Transportation,8227,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Cross River,Hospitality,7895,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Delta,Agriculture,3175,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Delta,Manufacturing,1442,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Delta,Construction,1815,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Delta,Trade,1605,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Delta,ICT,1996,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Delta,Finance,3013,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Delta,Transportation,3502,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Delta,Hospitality,2476,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ebonyi,Agriculture,7091,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ebonyi,Manufacturing,6752,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ebonyi,Construction,2436,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ebonyi,Trade,4333,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ebonyi,ICT,3492,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ebonyi,Finance,1928,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ebonyi,Transportation,6323,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ebonyi,Hospitality,5555,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Edo,Agriculture,3025,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Edo,Manufacturing,4739,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Edo,Construction,6352,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Edo,Trade,5467,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Edo,ICT,2721,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Edo,Finance,7815,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Edo,Transportation,6262,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Edo,Hospitality,2949,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ekiti,Agriculture,1571,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ekiti,Manufacturing,1232,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ekiti,Construction,647,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ekiti,Trade,620,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ekiti,ICT,863,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ekiti,Finance,1658,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ekiti,Transportation,1520,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ekiti,Hospitality,1607,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Enugu,Agriculture,4642,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Enugu,Manufacturing,4979,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Enugu,Construction,3725,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Enugu,Trade,9512,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Enugu,ICT,10400,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Enugu,Finance,6319,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Enugu,Transportation,8149,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Enugu,Hospitality,4168,2024,Synthetic; indicative; calibrate with CAC/NASME when available
FCT,Agriculture,5248,2024,Synthetic; indicative; calibrate with CAC/NASME when available
FCT,Manufacturing,5737,2024,Synthetic; indicative; calibrate with CAC/NASME when available
FCT,Construction,5012,2024,Synthetic; indicative; calibrate with CAC/NASME when available
FCT,Trade,5321,2024,Synthetic; indicative; calibrate with CAC/NASME when available
FCT,ICT,1568,2024,Synthetic; indicative; calibrate with CAC/NASME when available
FCT,Finance,4687,2024,Synthetic; indicative; calibrate with CAC/NASME when available
FCT,Transportation,2915,2024,Synthetic; indicative; calibrate with CAC/NASME when available
FCT,Hospitality,5538,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Gombe,Agriculture,18198,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Gombe,Manufacturing,19380,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Gombe,Construction,10548,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Gombe,Trade,8934,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Gombe,ICT,18767,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Gombe,Finance,12985,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Gombe,Transportation,6749,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Gombe,Hospitality,14584,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Imo,Agriculture,6159,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Imo,Manufacturing,4251,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Imo,Construction,3420,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Imo,Trade,6045,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Imo,ICT,3004,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Imo,Finance,1912,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Imo,Transportation,2820,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Imo,Hospitality,3543,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Jigawa,Agriculture,7620,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Jigawa,Manufacturing,20939,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Jigawa,Construction,12951,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Jigawa,Trade,15945,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Jigawa,ICT,19164,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Jigawa,Finance,22269,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Jigawa,Transportation,12572,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Jigawa,Hospitality,6829,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kaduna,Agriculture,23592,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kaduna,Manufacturing,9263,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kaduna,Construction,23449,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kaduna,Trade,10835,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kaduna,ICT,7993,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kaduna,Finance,13895,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kaduna,Transportation,19215,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kaduna,Hospitality,11708,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kano,Agriculture,16700,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kano,Manufacturing,5691,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kano,Construction,15626,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kano,Trade,6634,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kano,ICT,4787,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kano,Finance,9752,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kano,Transportation,10815,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kano,Hospitality,14448,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Katsina,Agriculture,15293,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Katsina,Manufacturing,15621,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Katsina,Construction,14584,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Katsina,Trade,10133,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Katsina,ICT,5859,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Katsina,Finance,14492,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Katsina,Transportation,9639,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Katsina,Hospitality,9402,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kebbi,Agriculture,8016,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kebbi,Manufacturing,21591,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kebbi,Construction,14712,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kebbi,Trade,17509,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kebbi,ICT,11545,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kebbi,Finance,18040,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kebbi,Transportation,15540,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kebbi,Hospitality,9193,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kogi,Agriculture,16915,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kogi,Manufacturing,13422,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kogi,Construction,16416,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kogi,Trade,12601,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kogi,ICT,8423,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kogi,Finance,11703,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kogi,Transportation,4432,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kogi,Hospitality,8237,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kwara,Agriculture,8842,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kwara,Manufacturing,7427,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kwara,Construction,5180,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kwara,Trade,6124,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kwara,ICT,7972,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kwara,Finance,6673,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kwara,Transportation,8905,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Kwara,Hospitality,10218,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Lagos,Agriculture,7678,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Lagos,Manufacturing,6382,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Lagos,Construction,12956,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Lagos,Trade,14749,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Lagos,ICT,10204,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Lagos,Finance,17580,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Lagos,Transportation,16553,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Lagos,Hospitality,15357,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Nasarawa,Agriculture,5325,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Nasarawa,Manufacturing,2245,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Nasarawa,Construction,1773,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Nasarawa,Trade,6154,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Nasarawa,ICT,4413,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Nasarawa,Finance,5147,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Nasarawa,Transportation,3685,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Nasarawa,Hospitality,5697,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Niger,Agriculture,6554,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Niger,Manufacturing,12787,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Niger,Construction,10279,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Niger,Trade,7169,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Niger,ICT,12287,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Niger,Finance,4208,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Niger,Transportation,13465,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Niger,Hospitality,13702,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ogun,Agriculture,2919,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ogun,Manufacturing,1449,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ogun,Construction,2986,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ogun,Trade,2702,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ogun,ICT,2095,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ogun,Finance,2338,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ogun,Transportation,3284,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ogun,Hospitality,1193,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ondo,Agriculture,2868,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ondo,Manufacturing,2529,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ondo,Construction,3339,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ondo,Trade,2347,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ondo,ICT,3243,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ondo,Finance,3095,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ondo,Transportation,2391,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Ondo,Hospitality,2660,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Osun,Agriculture,7203,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Osun,Manufacturing,11753,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Osun,Construction,7385,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Osun,Trade,4667,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Osun,ICT,11323,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Osun,Finance,7424,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Osun,Transportation,10284,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Osun,Hospitality,11118,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Oyo,Agriculture,7822,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Oyo,Manufacturing,6082,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Oyo,Construction,6832,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Oyo,Trade,4326,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Oyo,ICT,2923,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Oyo,Finance,4405,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Oyo,Transportation,4306,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Oyo,Hospitality,4647,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Plateau,Agriculture,6456,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Plateau,Manufacturing,7551,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Plateau,Construction,11173,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Plateau,Trade,7582,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Plateau,ICT,8536,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Plateau,Finance,11670,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Plateau,Transportation,10360,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Plateau,Hospitality,12466,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Rivers,Agriculture,950,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Rivers,Manufacturing,1325,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Rivers,Construction,2178,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Rivers,Trade,1614,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Rivers,ICT,1810,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Rivers,Finance,2093,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Rivers,Transportation,1933,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Rivers,Hospitality,1255,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Sokoto,Agriculture,909,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Sokoto,Manufacturing,450,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Sokoto,Construction,515,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Sokoto,Trade,873,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Sokoto,ICT,833,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Sokoto,Finance,621,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Sokoto,Transportation,761,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Sokoto,Hospitality,807,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Taraba,Agriculture,3798,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Taraba,Manufacturing,2802,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Taraba,Construction,3786,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Taraba,Trade,3338,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Taraba,ICT,4633,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Taraba,Finance,5230,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Taraba,Transportation,4889,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Taraba,Hospitality,5426,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Yobe,Agriculture,3697,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Yobe,Manufacturing,2440,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Yobe,Construction,3489,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Yobe,Trade,2603,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Yobe,ICT,2803,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Yobe,Finance,1174,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Yobe,Transportation,2143,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Yobe,Hospitality,3376,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Zamfara,Agriculture,1738,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Zamfara,Manufacturing,3228,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Zamfara,Construction,2469,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Zamfara,Trade,2992,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Zamfara,ICT,4960,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Zamfara,Finance,3228,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Zamfara,Transportation,4918,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Zamfara,Hospitality,5281,2024,Synthetic; indicative; calibrate with CAC/NASME when available
