temperature_c,current_density_a_cm2,cell_voltage_v,power_density_w_cm2,efficiency_percent,fuel_utilization_percent,ohmic_loss_v,activation_loss_v,concentration_loss_v,nernst_voltage_v
725,0.1,0.838,0.08,67.0,62.0,0.016,0.0,0.0,0.854
725,0.2,0.787,0.16,63.0,64.0,0.031,0.035,0.001,0.854
725,0.3,0.751,0.23,60.0,66.0,0.047,0.055,0.002,0.854
725,0.4,0.719,0.29,57.5,68.0,0.062,0.069,0.003,0.854
725,0.5,0.691,0.35,55.3,70.0,0.078,0.08,0.005,0.854
725,0.6,0.664,0.4,53.1,72.0,0.093,0.09,0.007,0.854
725,0.7,0.638,0.45,51.1,74.0,0.109,0.097,0.01,0.854
725,0.8,0.613,0.49,49.0,76.0,0.124,0.104,0.013,0.854
725,0.9,0.588,0.53,47.1,78.0,0.14,0.11,0.016,0.854
725,1.0,0.564,0.56,45.1,80.0,0.155,0.115,0.02,0.854
725,1.1,0.539,0.59,43.1,82.0,0.17,0.12,0.024,0.854
725,1.2,0.515,0.62,41.2,84.0,0.186,0.124,0.029,0.854
725,1.3,0.49,0.64,39.2,85.0,0.202,0.128,0.034,0.854
725,1.4,0.466,0.65,37.2,85.0,0.217,0.132,0.039,0.854
725,1.5,0.441,0.66,35.3,85.0,0.233,0.135,0.045,0.854
750,0.1,0.827,0.08,66.2,62.0,0.015,0.0,0.0,0.842
750,0.2,0.777,0.16,62.2,64.0,0.03,0.035,0.001,0.842
750,0.3,0.741,0.22,59.3,66.0,0.045,0.055,0.002,0.842
750,0.4,0.71,0.28,56.8,68.0,0.06,0.069,0.003,0.842
750,0.5,0.682,0.34,54.6,70.0,0.075,0.08,0.005,0.842
750,0.6,0.656,0.39,52.5,72.0,0.09,0.09,0.007,0.842
750,0.7,0.63,0.44,50.4,74.0,0.105,0.097,0.01,0.842
750,0.8,0.606,0.48,48.5,76.0,0.12,0.104,0.013,0.842
750,0.9,0.581,0.52,46.5,78.0,0.135,0.11,0.016,0.842
750,1.0,0.557,0.56,44.6,80.0,0.15,0.115,0.02,0.842
750,1.1,0.533,0.59,42.7,82.0,0.165,0.12,0.024,0.842
750,1.2,0.509,0.61,40.8,84.0,0.18,0.124,0.029,0.842
750,1.3,0.485,0.63,38.8,85.0,0.195,0.128,0.034,0.842
750,1.4,0.461,0.65,36.9,85.0,0.21,0.132,0.039,0.842
750,1.5,0.437,0.66,35.0,85.0,0.225,0.135,0.045,0.842
775,0.1,0.817,0.08,65.3,62.0,0.015,0.0,0.0,0.831
775,0.2,0.767,0.15,61.3,64.0,0.029,0.035,0.001,0.831
775,0.3,0.731,0.22,58.5,66.0,0.044,0.055,0.002,0.831
775,0.4,0.701,0.28,56.1,68.0,0.058,0.069,0.003,0.831
775,0.5,0.673,0.34,53.9,70.0,0.073,0.08,0.005,0.831
775,0.6,0.647,0.39,51.8,72.0,0.087,0.09,0.007,0.831
775,0.7,0.623,0.44,49.8,74.0,0.102,0.097,0.01,0.831
775,0.8,0.598,0.48,47.9,76.0,0.116,0.104,0.013,0.831
775,0.9,0.575,0.52,46.0,78.0,0.131,0.11,0.016,0.831
775,1.0,0.551,0.55,44.1,80.0,0.145,0.115,0.02,0.831
775,1.1,0.528,0.58,42.2,82.0,0.16,0.12,0.024,0.831
775,1.2,0.504,0.61,40.3,84.0,0.174,0.124,0.029,0.831
775,1.3,0.481,0.62,38.5,85.0,0.189,0.128,0.034,0.831
775,1.4,0.457,0.64,36.6,85.0,0.203,0.132,0.039,0.831
775,1.5,0.433,0.65,34.7,85.0,0.218,0.135,0.045,0.831
800,0.1,0.806,0.08,64.5,62.0,0.014,0.0,0.0,0.82
800,0.2,0.757,0.15,60.5,64.0,0.028,0.035,0.001,0.82
800,0.3,0.721,0.22,57.7,66.0,0.042,0.055,0.002,0.82
800,0.4,0.691,0.28,55.3,68.0,0.056,0.069,0.003,0.82
800,0.5,0.665,0.33,53.2,70.0,0.07,0.08,0.005,0.82
800,0.6,0.639,0.38,51.1,72.0,0.084,0.09,0.007,0.82
800,0.7,0.615,0.43,49.2,74.0,0.098,0.097,0.01,0.82
800,0.8,0.591,0.47,47.3,76.0,0.112,0.104,0.013,0.82
800,0.9,0.568,0.51,45.4,78.0,0.126,0.11,0.016,0.82
800,1.0,0.545,0.54,43.6,80.0,0.14,0.115,0.02,0.82
800,1.1,0.522,0.57,41.8,82.0,0.154,0.12,0.024,0.82
800,1.2,0.499,0.6,39.9,84.0,0.168,0.124,0.029,0.82
800,1.3,0.476,0.62,38.1,85.0,0.182,0.128,0.034,0.82
800,1.4,0.453,0.63,36.2,85.0,0.196,0.132,0.039,0.82
800,1.5,0.43,0.64,34.4,85.0,0.21,0.135,0.045,0.82
825,0.1,0.795,0.08,63.6,62.0,0.014,0.0,0.0,0.809
825,0.2,0.746,0.15,59.7,64.0,0.027,0.035,0.001,0.809
825,0.3,0.712,0.21,56.9,66.0,0.041,0.055,0.002,0.809
825,0.4,0.682,0.27,54.6,68.0,0.054,0.069,0.003,0.809
825,0.5,0.656,0.33,52.5,70.0,0.068,0.08,0.005,0.809
825,0.6,0.631,0.38,50.5,72.0,0.081,0.09,0.007,0.809
825,0.7,0.607,0.43,48.6,74.0,0.095,0.097,0.01,0.809
825,0.8,0.584,0.47,46.7,76.0,0.108,0.104,0.013,0.809
825,0.9,0.561,0.51,44.9,78.0,0.122,0.11,0.016,0.809
825,1.0,0.539,0.54,43.1,80.0,0.135,0.115,0.02,0.809
825,1.1,0.516,0.57,41.3,82.0,0.149,0.12,0.024,0.809
825,1.2,0.494,0.59,39.5,84.0,0.162,0.124,0.029,0.809
825,1.3,0.471,0.61,37.7,85.0,0.176,0.128,0.034,0.809
825,1.4,0.449,0.63,35.9,85.0,0.189,0.132,0.039,0.809
825,1.5,0.426,0.64,34.1,85.0,0.203,0.135,0.045,0.809
850,0.1,0.784,0.08,62.7,62.0,0.013,0.0,0.0,0.797
850,0.2,0.736,0.15,58.9,64.0,0.026,0.035,0.001,0.797
850,0.3,0.702,0.21,56.1,66.0,0.039,0.055,0.002,0.797
850,0.4,0.673,0.27,53.8,68.0,0.052,0.069,0.003,0.797
850,0.5,0.647,0.32,51.8,70.0,0.065,0.08,0.005,0.797
850,0.6,0.623,0.37,49.8,72.0,0.078,0.09,0.007,0.797
850,0.7,0.599,0.42,48.0,74.0,0.091,0.097,0.01,0.797
850,0.8,0.577,0.46,46.1,76.0,0.104,0.104,0.013,0.797
850,0.9,0.554,0.5,44.4,78.0,0.117,0.11,0.016,0.797
850,1.0,0.532,0.53,42.6,80.0,0.13,0.115,0.02,0.797
850,1.1,0.51,0.56,40.8,82.0,0.143,0.12,0.024,0.797
850,1.2,0.488,0.59,39.1,84.0,0.156,0.124,0.029,0.797
850,1.3,0.466,0.61,37.3,85.0,0.169,0.128,0.034,0.797
850,1.4,0.444,0.62,35.5,85.0,0.182,0.132,0.039,0.797
850,1.5,0.422,0.63,33.8,85.0,0.195,0.135,0.045,0.797
875,0.1,0.774,0.08,61.9,62.0,0.012,0.0,0.0,0.786
875,0.2,0.726,0.15,58.1,64.0,0.025,0.035,0.001,0.786
875,0.3,0.692,0.21,55.4,66.0,0.038,0.055,0.002,0.786
875,0.4,0.664,0.27,53.1,68.0,0.05,0.069,0.003,0.786
875,0.5,0.638,0.32,51.1,70.0,0.062,0.08,0.005,0.786
875,0.6,0.614,0.37,49.2,72.0,0.075,0.09,0.007,0.786
875,0.7,0.592,0.41,47.3,74.0,0.088,0.097,0.01,0.786
875,0.8,0.569,0.46,45.6,76.0,0.1,0.104,0.013,0.786
875,0.9,0.548,0.49,43.8,78.0,0.112,0.11,0.016,0.786
875,1.0,0.526,0.53,42.1,80.0,0.125,0.115,0.02,0.786
875,1.1,0.505,0.56,40.4,82.0,0.138,0.12,0.024,0.786
875,1.2,0.483,0.58,38.7,84.0,0.15,0.124,0.029,0.786
875,1.3,0.462,0.6,36.9,85.0,0.163,0.128,0.034,0.786
875,1.4,0.44,0.62,35.2,85.0,0.175,0.132,0.039,0.786
875,1.5,0.418,0.63,33.5,85.0,0.188,0.135,0.045,0.786
900,0.1,0.763,0.08,61.0,62.0,0.012,0.0,0.0,0.775
900,0.2,0.716,0.14,57.2,64.0,0.024,0.035,0.001,0.775
900,0.3,0.682,0.2,54.6,66.0,0.036,0.055,0.002,0.775
900,0.4,0.654,0.26,52.4,68.0,0.048,0.069,0.003,0.775
900,0.5,0.63,0.31,50.4,70.0,0.06,0.08,0.005,0.775
900,0.6,0.606,0.36,48.5,72.0,0.072,0.09,0.007,0.775
900,0.7,0.584,0.41,46.7,74.0,0.084,0.097,0.01,0.775
900,0.8,0.562,0.45,45.0,76.0,0.096,0.104,0.013,0.775
900,0.9,0.541,0.49,43.3,78.0,0.108,0.11,0.016,0.775
900,1.0,0.52,0.52,41.6,80.0,0.12,0.115,0.02,0.775
900,1.1,0.499,0.55,39.9,82.0,0.132,0.12,0.024,0.775
900,1.2,0.478,0.57,38.2,84.0,0.144,0.124,0.029,0.775
900,1.3,0.457,0.59,36.6,85.0,0.156,0.128,0.034,0.775
900,1.4,0.436,0.61,34.9,85.0,0.168,0.132,0.039,0.775
900,1.5,0.415,0.62,33.2,85.0,0.18,0.135,0.045,0.775
925,0.1,0.752,0.08,60.2,62.0,0.012,0.0,0.0,0.764
925,0.2,0.705,0.14,56.4,64.0,0.023,0.035,0.001,0.764
925,0.3,0.673,0.2,53.8,66.0,0.035,0.055,0.002,0.764
925,0.4,0.645,0.26,51.6,68.0,0.046,0.069,0.003,0.764
925,0.5,0.621,0.31,49.7,70.0,0.058,0.08,0.005,0.764
925,0.6,0.598,0.36,47.8,72.0,0.069,0.09,0.007,0.764
925,0.7,0.576,0.4,46.1,74.0,0.081,0.097,0.01,0.764
925,0.8,0.555,0.44,44.4,76.0,0.092,0.104,0.013,0.764
925,0.9,0.534,0.48,42.7,78.0,0.104,0.11,0.016,0.764
925,1.0,0.514,0.51,41.1,80.0,0.115,0.115,0.02,0.764
925,1.1,0.493,0.54,39.5,82.0,0.127,0.12,0.024,0.764
925,1.2,0.473,0.57,37.8,84.0,0.138,0.124,0.029,0.764
925,1.3,0.452,0.59,36.2,85.0,0.15,0.128,0.034,0.764
925,1.4,0.432,0.6,34.5,85.0,0.161,0.132,0.039,0.764
925,1.5,0.411,0.62,32.9,85.0,0.173,0.135,0.045,0.764
950,0.1,0.741,0.07,59.3,62.0,0.011,0.0,0.0,0.752
950,0.2,0.695,0.14,55.6,64.0,0.022,0.035,0.001,0.752
950,0.3,0.663,0.2,53.0,66.0,0.033,0.055,0.002,0.752
950,0.4,0.636,0.25,50.9,68.0,0.044,0.069,0.003,0.752
950,0.5,0.612,0.31,49.0,70.0,0.055,0.08,0.005,0.752
950,0.6,0.59,0.35,47.2,72.0,0.066,0.09,0.007,0.752
950,0.7,0.568,0.4,45.5,74.0,0.077,0.097,0.01,0.752
950,0.8,0.548,0.44,43.8,76.0,0.088,0.104,0.013,0.752
950,0.9,0.527,0.47,42.2,78.0,0.099,0.11,0.016,0.752
950,1.0,0.507,0.51,40.6,80.0,0.11,0.115,0.02,0.752
950,1.1,0.487,0.54,39.0,82.0,0.121,0.12,0.024,0.752
950,1.2,0.467,0.56,37.4,84.0,0.132,0.124,0.029,0.752
950,1.3,0.447,0.58,35.8,85.0,0.143,0.128,0.034,0.752
950,1.4,0.427,0.6,34.2,85.0,0.154,0.132,0.039,0.752
950,1.5,0.407,0.61,32.6,85.0,0.165,0.135,0.045,0.752
975,0.1,0.731,0.07,58.4,62.0,0.011,0.0,0.0,0.741
975,0.2,0.685,0.14,54.8,64.0,0.021,0.035,0.001,0.741
975,0.3,0.653,0.2,52.2,66.0,0.032,0.055,0.002,0.741
975,0.4,0.627,0.25,50.1,68.0,0.042,0.069,0.003,0.741
975,0.5,0.603,0.3,48.3,70.0,0.053,0.08,0.005,0.741
975,0.6,0.581,0.35,46.5,72.0,0.063,0.09,0.007,0.741
975,0.7,0.561,0.39,44.9,74.0,0.074,0.097,0.01,0.741
975,0.8,0.54,0.43,43.2,76.0,0.084,0.104,0.013,0.741
975,0.9,0.521,0.47,41.7,78.0,0.095,0.11,0.016,0.741
975,1.0,0.501,0.5,40.1,80.0,0.105,0.115,0.02,0.741
975,1.1,0.482,0.53,38.5,82.0,0.116,0.12,0.024,0.741
975,1.2,0.462,0.55,37.0,84.0,0.126,0.124,0.029,0.741
975,1.3,0.443,0.58,35.4,85.0,0.137,0.128,0.034,0.741
975,1.4,0.423,0.59,33.8,85.0,0.147,0.132,0.039,0.741
975,1.5,0.403,0.61,32.3,85.0,0.158,0.135,0.045,0.741
1000,0.1,0.72,0.07,57.6,62.0,0.01,0.0,0.0,0.73
1000,0.2,0.675,0.13,54.0,64.0,0.02,0.035,0.001,0.73
1000,0.3,0.643,0.19,51.5,66.0,0.03,0.055,0.002,0.73
1000,0.4,0.617,0.25,49.4,68.0,0.04,0.069,0.003,0.73
1000,0.5,0.595,0.3,47.6,70.0,0.05,0.08,0.005,0.73
1000,0.6,0.573,0.34,45.9,72.0,0.06,0.09,0.007,0.73
1000,0.7,0.553,0.39,44.2,74.0,0.07,0.097,0.01,0.73
1000,0.8,0.533,0.43,42.7,76.0,0.08,0.104,0.013,0.73
1000,0.9,0.514,0.46,41.1,78.0,0.09,0.11,0.016,0.73
1000,1.0,0.495,0.49,39.6,80.0,0.1,0.115,0.02,0.73
1000,1.1,0.476,0.52,38.1,82.0,0.11,0.12,0.024,0.73
1000,1.2,0.457,0.55,36.6,84.0,0.12,0.124,0.029,0.73
1000,1.3,0.438,0.57,35.0,85.0,0.13,0.128,0.034,0.73
1000,1.4,0.419,0.59,33.5,85.0,0.14,0.132,0.039,0.73
1000,1.5,0.4,0.6,32.0,85.0,0.15,0.135,0.045,0.73
