respondent_id,role,state,awareness_sofc,acceptance_sofc,perceived_cost_barrier,perceived_reliability_benefit,environmental_concern,policy_support_expectation,willingness_to_pilot,year,source
R0189,Investor,FCT,3,3,4,4,4,4,5,2024,Synthetic survey; use for scenario analysis only
R0190,Investor,Plateau,2,4,4,3,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0191,DisCo Official,Adamawa,2,3,2,4,4,5,2,2024,Synthetic survey; use for scenario analysis only
R0192,Academic/Researcher,Sokoto,3,3,4,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0193,Community Leader,FCT,2,4,5,5,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0194,Policymaker,Anambra,3,2,3,5,4,3,2,2024,Synthetic survey; use for scenario analysis only
R0195,Industrial Manager,Sokoto,4,3,5,3,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0196,DisCo Official,Taraba,2,3,4,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0197,Investor,Nasarawa,4,3,3,3,4,2,2,2024,Synthetic survey; use for scenario analysis only
R0198,Investor,Cross River,3,4,2,5,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0199,Community Leader,Bauchi,2,4,4,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0200,Policymaker,FCT,5,1,5,2,4,3,2,2024,Synthetic survey; use for scenario analysis only
R0201,Academic/Researcher,Kaduna,3,1,4,4,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0202,Industrial Manager,Bayelsa,2,4,4,3,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0203,Policymaker,Yobe,2,2,4,4,4,4,2,2024,Synthetic survey; use for scenario analysis only
R0204,DisCo Official,Niger,4,3,4,5,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0205,Community Leader,Lagos,3,3,4,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0206,DisCo Official,Imo,4,4,3,2,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0207,Industrial Manager,Nasarawa,2,4,4,3,2,5,5,2024,Synthetic survey; use for scenario analysis only
R0208,Community Leader,Kano,1,2,5,4,4,5,2,2024,Synthetic survey; use for scenario analysis only
R0209,DisCo Official,Plateau,5,2,3,4,3,2,4,2024,Synthetic survey; use for scenario analysis only
R0210,Academic/Researcher,Edo,3,2,3,4,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0211,DisCo Official,Bauchi,4,1,3,4,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0212,Policymaker,Bauchi,2,2,4,2,3,5,2,2024,Synthetic survey; use for scenario analysis only
R0213,Policymaker,Taraba,5,3,3,2,1,2,3,2024,Synthetic survey; use for scenario analysis only
R0214,Investor,Kogi,3,4,5,2,3,2,1,2024,Synthetic survey; use for scenario analysis only
R0215,DisCo Official,Ogun,3,3,4,5,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0216,Policymaker,Rivers,4,5,5,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0217,Investor,Delta,3,4,4,2,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0218,Industrial Manager,Kano,2,5,4,4,3,5,4,2024,Synthetic survey; use for scenario analysis only
R0219,Investor,Gombe,2,3,3,4,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0220,Investor,Ogun,3,2,4,4,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0221,Community Leader,Enugu,3,4,4,2,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0222,Industrial Manager,Imo,3,3,3,4,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0223,Industrial Manager,Kogi,2,4,4,5,4,1,2,2024,Synthetic survey; use for scenario analysis only
R0224,DisCo Official,Borno,2,3,4,3,3,2,4,2024,Synthetic survey; use for scenario analysis only
R0225,Academic/Researcher,Lagos,2,3,2,3,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0226,Community Leader,Katsina,4,3,3,5,1,3,3,2024,Synthetic survey; use for scenario analysis only
R0227,Policymaker,Yobe,2,3,3,3,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0228,Community Leader,Kaduna,3,3,4,3,5,2,2,2024,Synthetic survey; use for scenario analysis only
R0229,Policymaker,Yobe,2,3,3,5,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0230,Policymaker,Taraba,1,3,5,3,2,3,5,2024,Synthetic survey; use for scenario analysis only
R0231,Industrial Manager,Ondo,3,5,5,4,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0232,Investor,Kogi,4,4,3,2,4,4,1,2024,Synthetic survey; use for scenario analysis only
R0233,Industrial Manager,Zamfara,3,4,3,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0234,Investor,Benue,5,4,5,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0235,Investor,Cross River,3,5,4,2,3,2,2,2024,Synthetic survey; use for scenario analysis only
R0236,Policymaker,Lagos,3,2,4,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0237,DisCo Official,Osun,4,3,5,3,3,2,2,2024,Synthetic survey; use for scenario analysis only
R0238,DisCo Official,Bauchi,3,3,3,5,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0239,DisCo Official,Kebbi,3,3,5,2,4,2,4,2024,Synthetic survey; use for scenario analysis only
R0240,Policymaker,Adamawa,3,4,5,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0241,Investor,Cross River,4,3,5,2,4,4,4,2024,Synthetic survey; use for scenario analysis only
R0242,Investor,Ebonyi,4,4,4,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0243,Industrial Manager,Abia,3,4,3,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0244,Policymaker,Cross River,3,2,4,5,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0245,DisCo Official,Cross River,2,4,5,2,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0246,Community Leader,Ondo,3,2,4,3,1,3,2,2024,Synthetic survey; use for scenario analysis only
R0247,Community Leader,Bayelsa,3,3,5,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0248,Investor,Bayelsa,2,3,5,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0249,Investor,Kano,3,4,4,4,2,2,3,2024,Synthetic survey; use for scenario analysis only
R0250,Policymaker,Borno,2,3,5,5,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0251,DisCo Official,Cross River,2,4,3,4,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0252,Academic/Researcher,Bauchi,3,3,4,5,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0253,Investor,Rivers,3,2,3,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0254,Community Leader,Delta,3,2,3,2,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0255,Investor,Ogun,3,1,4,4,2,4,2,2024,Synthetic survey; use for scenario analysis only
R0256,Investor,Edo,3,4,5,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0257,Investor,Imo,3,4,4,3,4,2,5,2024,Synthetic survey; use for scenario analysis only
R0258,DisCo Official,Sokoto,3,4,4,3,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0259,Policymaker,Zamfara,3,3,4,2,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0260,Industrial Manager,Gombe,3,4,4,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0261,Investor,Niger,3,4,4,3,4,2,4,2024,Synthetic survey; use for scenario analysis only
R0262,Industrial Manager,Edo,4,3,5,4,3,5,2,2024,Synthetic survey; use for scenario analysis only
R0263,DisCo Official,Katsina,4,3,3,4,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0264,Policymaker,Ekiti,4,3,2,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0265,Academic/Researcher,Kogi,2,2,4,3,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0266,Community Leader,Sokoto,2,4,4,5,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0267,Industrial Manager,FCT,4,3,3,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0268,Policymaker,Bauchi,3,3,3,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0269,Policymaker,Katsina,3,3,4,4,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0270,Policymaker,Katsina,3,2,4,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0271,Industrial Manager,Bayelsa,4,4,4,2,5,4,3,2024,Synthetic survey; use for scenario analysis only
R0272,Community Leader,Kogi,3,3,4,3,5,4,5,2024,Synthetic survey; use for scenario analysis only
