date,state,petrol_price_naira_per_liter,diesel_price_naira_per_liter,kerosene_price_naira_per_liter,lpg_price_naira_per_kg,fuel_scarcity_factor,black_market_premium_percent,supply_disruption_days,nearest_depot_distance_km,local_consumption_million_liters
2020-04-01,Anambra,133.69,213.0,181.05,127.8,1.23,7.8,0,45,9.940061625997163
2020-04-01,Bauchi,154.57,246.26,209.32,147.76,1.21,15.6,2,180,31.887338886177155
2020-04-01,Bayelsa,142.46,226.96,192.92,136.18,1.19,19.5,6,90,30.960222098273487
2020-04-01,Benue,152.9,243.6,207.06,146.16,1.19,15.6,0,110,43.92994493387266
2020-04-01,Borno,187.22,298.28,253.54,178.97,1.34,52.0,7,300,33.43108449248738
2020-04-01,Cross River,147.38,234.8,199.58,140.88,1.16,13.0,0,120,11.125601118912524
2020-04-01,Delta,125.93,200.63,170.53,120.38,1.19,7.8,1,15,14.69738563441977
2020-04-01,Ebonyi,150.99,240.56,204.48,144.34,1.19,15.6,3,100,45.631788252470024
2020-04-01,Edo,144.52,230.24,195.71,138.15,1.22,10.4,0,40,35.72700602518907
2020-04-01,Ekiti,140.74,224.22,190.59,134.53,1.23,15.6,3,85,32.58126022053605
2020-04-01,Enugu,143.84,229.17,194.8,137.5,1.22,9.1,0,65,38.35883272091782
2020-04-01,FCT,127.22,202.69,172.29,121.61,1.16,6.5,0,25,6.82468250170638
2020-04-01,Gombe,153.14,243.98,207.38,146.39,1.21,18.2,2,200,8.87066347225946
2020-04-01,Imo,142.88,227.64,193.49,136.58,1.2,10.4,1,55,20.331182666106045
2020-04-01,Jigawa,148.76,237.0,201.45,142.2,1.14,19.5,1,150,44.52866714385466
2020-04-01,Kaduna,131.22,209.06,177.7,125.43,1.23,9.1,2,20,41.58008615972745
2020-04-01,Kano,142.66,227.29,193.2,136.37,1.12,10.4,1,30,45.402058472971696
2020-04-01,Katsina,147.08,234.32,199.17,140.59,1.14,15.6,1,140,9.461995398301163
2020-04-01,Kebbi,153.16,244.02,207.42,146.41,1.2,23.4,3,200,36.464155980713926
2020-04-01,Kogi,141.61,225.61,191.77,135.36,1.18,13.0,5,100,16.172539695229524
2020-04-01,Kwara,145.31,231.51,196.78,138.9,1.17,10.4,0,95,15.81439955308309
2020-04-01,Lagos,122.71,195.51,166.18,117.31,1.14,3.9,0,5,20.420603084862645
2020-04-01,Nasarawa,141.82,225.95,192.06,135.57,1.14,10.4,1,90,33.23061715639639
2020-04-01,Niger,151.77,241.8,205.53,145.08,1.2,19.5,0,120,24.607030425107126
2020-04-01,Ogun,136.52,217.51,184.88,130.51,1.23,6.5,0,35,34.554597656138014
2020-04-01,Ondo,142.55,227.11,193.05,136.27,1.21,13.0,1,70,37.46618739829509
2020-04-01,Osun,150.28,239.42,203.51,143.65,1.17,10.4,2,75,22.700174202167165
2020-04-01,Oyo,151.93,242.05,205.74,145.23,1.22,7.8,2,50,7.818641737837071
2020-04-01,Plateau,145.02,231.05,196.39,138.63,1.23,13.0,2,130,38.17491125146254
2020-04-01,Rivers,124.85,198.91,169.07,119.34,1.15,5.2,1,10,43.491693873406604
2020-04-01,Sokoto,158.11,251.9,214.11,151.14,1.16,26.0,1,180,28.507444348845276
2020-04-01,Taraba,150.27,239.42,203.51,143.65,1.22,36.4,6,220,11.638787952571583
2020-04-01,Yobe,178.01,283.61,241.07,170.17,1.34,45.5,2,280,40.70885050178158
2020-04-01,Zamfara,171.58,273.36,232.36,164.02,1.27,39.0,4,160,7.292166588498888
2020-05-01,Abia,192.5,204.03,173.43,122.42,1.07,9.0,1,60,32.12090553685268
2020-05-01,Adamawa,199.37,211.32,179.62,126.79,1.08,25.0,6,250,17.215719858583242
2020-05-01,Akwa Ibom,181.83,192.72,163.82,115.63,1.06,8.0,1,80,33.44069851305734
2020-05-01,Anambra,177.54,188.18,159.95,112.91,1.08,6.0,0,45,47.90917187653504
2020-05-01,Bauchi,192.19,203.71,173.15,122.23,1.05,12.0,1,180,45.92801831811612
2020-05-01,Bayelsa,183.21,194.19,165.06,116.51,1.03,15.0,2,90,36.999421392549046
2020-05-01,Benue,185.92,197.07,167.51,118.24,1.09,12.0,7,110,19.7214532867864
2020-05-01,Borno,225.31,238.81,202.99,143.29,1.27,40.0,6,300,49.154362910846125
2020-05-01,Cross River,178.71,189.42,161.01,113.65,1.13,10.0,3,120,38.80094269386638
2020-05-01,Delta,167.51,177.55,150.92,106.53,1.11,6.0,1,15,23.788018005733456
2020-05-01,Ebonyi,180.56,191.38,162.67,114.83,1.06,12.0,3,100,37.37888954281165
2020-05-01,Edo,186.88,198.08,168.37,118.85,1.11,8.0,2,40,27.746093180220313
2020-05-01,Ekiti,181.03,191.87,163.09,115.12,1.05,12.0,1,85,9.871493983612401
2020-05-01,Enugu,193.82,205.44,174.62,123.26,1.07,7.0,1,65,38.57664818948516
2020-05-01,FCT,167.51,177.55,150.92,106.53,0.97,5.0,0,25,28.5100400901151
2020-05-01,Gombe,193.45,205.05,174.29,123.03,1.13,14.0,7,200,17.55828658336833
2020-05-01,Imo,178.45,189.15,160.78,113.49,1.05,8.0,0,55,8.851717568526087
2020-05-01,Jigawa,183.26,194.24,165.1,116.54,1.08,15.0,1,150,49.140495606938174
2020-05-01,Kaduna,163.86,173.68,147.63,104.21,1.03,7.0,1,20,27.709454399968834
2020-05-01,Kano,188.03,199.3,169.4,119.58,1.05,8.0,2,30,39.04636836297019
2020-05-01,Katsina,182.05,192.96,164.01,115.77,1.04,12.0,2,140,28.90146525030683
2020-05-01,Kebbi,193.2,204.78,174.06,122.87,1.03,18.0,4,200,46.41904492925905
2020-05-01,Kogi,188.5,199.79,169.82,119.88,1.08,10.0,1,100,17.74372532265705
2020-05-01,Kwara,188.3,199.59,169.65,119.75,1.11,8.0,0,95,28.517711609431437
2020-05-01,Lagos,153.82,163.04,138.58,97.82,0.99,3.0,0,5,41.16444105880058
2020-05-01,Nasarawa,183.12,194.1,164.98,116.46,1.06,8.0,1,90,42.85724195879248
2020-05-01,Niger,186.45,197.63,167.98,118.58,1.12,15.0,0,120,41.381591447575204
2020-05-01,Ogun,168.29,178.38,151.62,107.03,1.12,5.0,0,35,47.823377081817675
2020-05-01,Ondo,194.55,206.21,175.28,123.73,1.12,10.0,2,70,10.040454772634815
2020-05-01,Osun,183.11,194.09,164.98,116.45,1.09,8.0,0,75,44.52920263865351
2020-05-01,Oyo,182.83,193.78,164.72,116.27,1.12,6.0,0,50,11.233929937036317
2020-05-01,Plateau,191.86,203.36,172.86,122.02,1.03,10.0,4,130,19.55123690219768
2020-05-01,Rivers,167.65,177.7,151.05,106.62,0.99,4.0,2,10,28.685709773650395
2020-05-01,Sokoto,200.18,212.17,180.35,127.3,1.11,20.0,1,180,6.577453725947922
2020-05-01,Taraba,197.0,208.8,177.48,125.28,1.15,28.0,7,220,42.47813861805916
2020-05-01,Yobe,221.31,234.57,199.38,140.74,1.18,35.0,5,280,17.27661262633901
2020-05-01,Zamfara,206.62,219.0,186.15,131.4,1.19,30.0,7,160,14.863941768335383
2020-06-01,Abia,186.98,232.09,197.28,139.25,1.04,9.0,0,60,30.236434370753997
2020-06-01,Adamawa,186.87,231.95,197.16,139.17,1.12,25.0,4,250,47.33121499247614
2020-06-01,Akwa Ibom,179.34,222.61,189.22,133.56,1.13,8.0,0,80,49.027235463569234
2020-06-01,Anambra,173.21,215.0,182.75,129.0,1.11,6.0,1,45,48.10991830088251
2020-06-01,Bauchi,194.22,241.07,204.91,144.64,1.09,12.0,4,180,47.578018479867474
2020-06-01,Bayelsa,181.02,224.7,190.99,134.82,1.11,15.0,5,90,14.533308017074015
2020-06-01,Benue,185.59,230.37,195.81,138.22,1.07,12.0,0,110,46.54273888403079
2020-06-01,Borno,236.83,293.96,249.87,176.38,1.3,40.0,6,300,9.475549319989156
2020-06-01,Cross River,184.0,228.39,194.13,137.03,1.11,10.0,3,120,18.53029832277219
2020-06-01,Delta,154.54,191.82,163.05,115.09,1.1,6.0,0,15,39.113756671474434
2020-06-01,Ebonyi,188.18,233.58,198.55,140.15,1.13,12.0,0,100,15.928261304111627
2020-06-01,Edo,176.55,219.14,186.27,131.49,1.13,8.0,2,40,19.849082188007415
2020-06-01,Ekiti,186.8,231.87,197.09,139.12,1.06,12.0,3,85,14.398201100677818
2020-06-01,Enugu,189.74,235.51,200.19,141.31,1.11,7.0,1,65,43.44107481185186
2020-06-01,FCT,165.73,205.72,174.86,123.43,1.0,5.0,0,25,18.474623398898387
2020-06-01,Gombe,186.45,231.44,196.72,138.86,1.03,14.0,3,200,16.824992399264328
2020-06-01,Imo,181.71,225.55,191.72,135.33,1.13,8.0,3,55,22.998059029902596
2020-06-01,Jigawa,187.29,232.48,197.61,139.49,1.04,15.0,0,150,22.004560826306886
2020-06-01,Kaduna,165.7,205.68,174.82,123.41,1.1,7.0,1,20,9.51334716416413
2020-06-01,Kano,175.68,218.07,185.36,130.84,1.09,8.0,0,30,34.5871455680876
2020-06-01,Katsina,185.24,229.93,195.44,137.96,1.03,12.0,0,140,17.919352737989627
2020-06-01,Kebbi,188.71,234.23,199.1,140.54,1.07,18.0,5,200,35.32280850654355
2020-06-01,Kogi,179.96,223.38,189.87,134.03,1.09,10.0,1,100,33.26032719133511
2020-06-01,Kwara,177.81,220.71,187.6,132.43,1.08,8.0,0,95,13.120728222810822
2020-06-01,Lagos,162.65,201.89,171.61,121.13,1.06,3.0,0,5,24.85653886157314
2020-06-01,Nasarawa,188.97,234.56,199.37,140.73,1.09,8.0,4,90,18.012618714169555
2020-06-01,Niger,185.84,230.68,196.08,138.41,1.11,15.0,0,120,19.441977519202233
2020-06-01,Ogun,170.68,211.85,180.08,127.11,1.12,5.0,0,35,38.5252974254129
2020-06-01,Ondo,187.02,232.14,197.32,139.29,1.05,10.0,1,70,14.329576371082117
2020-06-01,Osun,189.81,235.6,200.26,141.36,1.1,8.0,2,75,17.60586240887394
2020-06-01,Oyo,190.48,236.44,200.97,141.86,1.06,6.0,2,50,8.588471882572012
2020-06-01,Plateau,183.83,228.18,193.95,136.91,1.07,10.0,1,130,32.13584353406392
2020-06-01,Rivers,159.02,197.39,167.78,118.43,1.06,4.0,2,10,14.199680638734621
2020-06-01,Sokoto,206.31,256.09,217.67,153.65,1.11,20.0,2,180,34.58307154931509
2020-06-01,Taraba,190.99,237.07,201.51,142.24,1.17,28.0,7,220,9.201043427281085
2020-06-01,Yobe,231.0,286.73,243.72,172.04,1.23,35.0,7,280,13.427812917441063
2020-06-01,Zamfara,214.35,266.07,226.16,159.64,1.18,30.0,5,160,16.86211414008563
2020-07-01,Abia,170.1,205.54,174.71,123.33,1.05,9.0,3,60,29.902986394444547
2020-07-01,Adamawa,181.75,219.63,186.68,131.78,1.08,25.0,4,250,17.87185921899073
2020-07-01,Akwa Ibom,172.04,207.9,176.71,124.74,1.03,8.0,0,80,27.722269545703213
2020-07-01,Anambra,166.95,201.74,171.48,121.04,1.05,6.0,1,45,5.416844603570745
2020-07-01,Bauchi,171.86,207.68,176.53,124.61,1.08,12.0,4,180,31.121448105701432
2020-07-01,Bayelsa,168.55,203.68,173.12,122.21,1.12,15.0,2,90,43.59908004385016
2020-07-01,Benue,160.03,193.38,164.37,116.03,1.06,12.0,4,110,46.844983741931216
2020-07-01,Borno,216.6,261.74,222.48,157.05,1.31,40.0,5,300,44.33208845484326
2020-07-01,Cross River,171.49,207.23,176.15,124.34,1.06,10.0,1,120,42.58309428824897
2020-07-01,Delta,147.45,178.17,151.45,106.9,1.08,6.0,3,15,6.451144164259973
2020-07-01,Ebonyi,160.79,194.29,165.15,116.58,1.13,12.0,3,100,10.115641202100587
2020-07-01,Edo,165.33,199.78,169.81,119.87,1.13,8.0,0,40,27.586334728324832
2020-07-01,Ekiti,169.87,205.27,174.48,123.16,1.03,12.0,2,85,34.52769600893985
2020-07-01,Enugu,169.52,204.85,174.12,122.91,1.1,7.0,0,65,5.294658116725723
2020-07-01,FCT,156.21,188.76,160.45,113.26,1.01,5.0,0,25,30.433424546651715
2020-07-01,Gombe,175.59,212.18,180.35,127.31,1.09,14.0,3,200,20.829169400059115
2020-07-01,Imo,171.2,206.87,175.84,124.12,1.08,8.0,2,55,44.96447340256435
2020-07-01,Jigawa,165.1,199.5,169.58,119.7,1.06,15.0,0,150,26.199238199291678
2020-07-01,Kaduna,147.69,178.46,151.69,107.08,1.05,7.0,0,20,11.291441158048972
2020-07-01,Kano,153.82,185.87,157.99,111.52,1.02,8.0,0,30,8.68739941256594
2020-07-01,Katsina,173.3,209.41,178.0,125.65,1.07,12.0,4,140,26.061024706846332
2020-07-01,Kebbi,169.93,205.34,174.54,123.2,1.07,18.0,4,200,38.44225909097287
2020-07-01,Kogi,159.4,192.62,163.72,115.57,1.12,10.0,2,100,26.78347138410089
2020-07-01,Kwara,165.45,199.93,169.94,119.96,1.11,8.0,1,95,34.265279447981726
2020-07-01,Lagos,136.12,164.48,139.81,98.69,1.01,3.0,0,5,43.21925697964908
2020-07-01,Nasarawa,166.6,201.32,171.12,120.79,1.12,8.0,3,90,38.4679984270126
2020-07-01,Niger,166.66,201.4,171.19,120.84,1.12,15.0,1,120,38.72661226375906
2020-07-01,Ogun,159.83,193.13,164.16,115.88,1.04,5.0,0,35,16.246352445309753
2020-07-01,Ondo,161.35,194.97,165.73,116.98,1.09,10.0,1,70,24.752678405426767
2020-07-01,Osun,157.7,190.56,161.98,114.34,1.04,8.0,0,75,27.22244978043726
2020-07-01,Oyo,158.32,191.32,162.62,114.79,1.13,6.0,2,50,47.71892494917885
2020-07-01,Plateau,170.12,205.57,174.74,123.34,1.06,10.0,0,130,25.69164779588294
2020-07-01,Rivers,144.9,175.09,148.83,105.05,1.03,4.0,2,10,37.055289493313246
2020-07-01,Sokoto,178.58,215.79,183.42,129.48,1.11,20.0,2,180,18.024345119667288
2020-07-01,Taraba,172.44,208.37,177.12,125.02,1.17,28.0,6,220,38.18042804621821
2020-07-01,Yobe,202.66,244.89,208.16,146.94,1.17,35.0,7,280,43.35291499404607
2020-07-01,Zamfara,197.14,238.22,202.49,142.93,1.16,30.0,13,160,38.758779224925384
2020-08-01,Abia,198.56,205.22,174.44,123.13,1.19,11.7,1,60,19.25087091202996
2020-08-01,Adamawa,200.21,206.92,175.89,124.15,1.28,32.5,5,250,25.091049699055173
2020-08-01,Akwa Ibom,184.97,191.17,162.5,114.7,1.21,10.4,1,80,30.195122976903694
2020-08-01,Anambra,184.34,190.52,161.95,114.31,1.17,7.8,0,45,44.36806208278605
2020-08-01,Bauchi,184.09,190.26,161.72,114.16,1.24,15.6,1,180,22.597945237893356
2020-08-01,Bayelsa,194.44,200.96,170.82,120.58,1.23,19.5,4,90,29.39083992607258
2020-08-01,Benue,195.82,202.38,172.03,121.43,1.2,15.6,2,110,30.140149866006848
2020-08-01,Borno,242.15,250.27,212.73,150.16,1.38,52.0,10,300,14.19783896145679
2020-08-01,Cross River,193.92,200.42,170.36,120.25,1.17,13.0,0,120,38.531828066859774
2020-08-01,Delta,162.05,167.49,142.36,100.49,1.15,7.8,2,15,15.064893995510245
2020-08-01,Ebonyi,191.27,197.68,168.03,118.61,1.2,15.6,5,100,43.30341122473692
2020-08-01,Edo,190.14,196.51,167.03,117.91,1.2,10.4,0,40,22.187605996416295
2020-08-01,Ekiti,180.5,186.55,158.56,111.93,1.21,15.6,2,85,5.988091054749408
2020-08-01,Enugu,187.35,193.63,164.58,116.18,1.24,9.1,2,65,26.61750000202198
2020-08-01,FCT,182.07,188.17,159.95,112.9,1.14,6.5,0,25,35.06338244500622
2020-08-01,Gombe,201.62,208.38,177.13,125.03,1.21,18.2,2,200,30.5132952748168
2020-08-01,Imo,198.48,205.13,174.36,123.08,1.19,10.4,1,55,15.15070653422418
2020-08-01,Jigawa,187.52,193.81,164.74,116.28,1.21,19.5,4,150,16.572030954797825
2020-08-01,Kaduna,171.61,177.36,150.76,106.42,1.17,9.1,0,20,36.08731778948763
2020-08-01,Kano,180.43,186.48,158.51,111.89,1.1,10.4,0,30,46.94315336777203
2020-08-01,Katsina,192.72,199.18,169.31,119.51,1.19,15.6,2,140,18.881519214108373
2020-08-01,Kebbi,203.73,210.56,178.97,126.34,1.21,23.4,3,200,27.916367240482177
2020-08-01,Kogi,199.11,205.79,174.92,123.47,1.17,13.0,0,100,26.917600099498717
2020-08-01,Kwara,183.63,189.79,161.32,113.87,1.2,10.4,1,95,36.59422727274095
2020-08-01,Lagos,158.34,163.65,139.1,98.19,1.17,3.9,0,5,29.63301782351298
2020-08-01,Nasarawa,183.62,189.77,161.31,113.86,1.14,10.4,1,90,38.29930841477231
