date,pipeline_name,operator,length_km,diameter_inches,max_capacity_mmscf_per_day,actual_flow_mmscf_per_day,utilization_percent,start_latitude,start_longitude,end_latitude,end_longitude,operating_pressure_psi,compressor_stations,maintenance_cost_usd_per_km,throughput_revenue_usd,status
2020-09-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,763.33,76.33,5.2,5.1,6.5,3.4,904.4908709648436,11,2570.1668570056895,2590.44,operational
2020-09-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1782.31,81.01,5.0,6.5,5.2,6.8,1126.1279305261187,1,4172.444909938293,4045.54,operational
2020-09-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,527.71,65.96,5.6,5.8,5.5,5.8,993.7423327139693,2,4874.896511144288,1980.5,operational
2020-10-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,776.3,77.63,5.2,5.1,6.5,3.4,1160.5167833721766,11,1080.5556275003769,2736.24,operational
2020-10-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1863.4,84.7,5.0,6.5,5.2,6.8,1093.5160487606827,1,3588.946422169233,4975.09,operational
2020-10-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,593.23,74.15,5.6,5.8,5.5,5.8,1137.4892287141145,2,2465.4343192341094,1325.73,operational
2020-11-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,802.05,80.2,5.2,5.1,6.5,3.4,857.5954674759205,11,3246.690906755726,2664.97,operational
2020-11-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1849.74,84.08,5.0,6.5,5.2,6.8,851.1770427006259,1,1570.3640353200888,5093.65,operational
2020-11-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,564.66,70.58,5.6,5.8,5.5,5.8,1094.8648879691027,2,2305.7100937772134,2185.27,operational
2020-12-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,878.21,87.82,5.2,5.1,6.5,3.4,1042.713487063256,11,2843.31236736102,3098.32,operational
2020-12-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1728.29,78.56,5.0,6.5,5.2,6.8,885.2166895265063,1,1823.298843361296,5147.2,operational
2020-12-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,581.61,72.7,5.6,5.8,5.5,5.8,841.2698347535185,2,2042.0979594464482,1322.13,operational
2021-01-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,637.35,63.73,5.2,5.1,6.5,3.4,1007.9270198793237,11,4023.003090746424,1780.73,operational
2021-01-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1585.36,72.06,5.0,6.5,5.2,6.8,931.9745243601827,1,1178.67837239576,6095.82,operational
2021-01-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,435.83,54.48,5.6,5.8,5.5,5.8,920.1681815822894,2,4107.14163237526,1297.79,operational
2021-02-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,739.64,73.96,5.2,5.1,6.5,3.4,816.0658646819683,11,4835.207874691893,2292.16,operational
2021-02-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1763.46,80.16,5.0,6.5,5.2,6.8,974.3323976486679,1,1673.452263484282,4796.76,operational
2021-02-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,514.97,64.37,5.6,5.8,5.5,5.8,931.3824546201133,2,2598.0691228164806,1168.14,operational
2021-03-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,794.98,79.5,5.2,5.1,6.5,3.4,1029.8017387669238,11,1582.0840044184865,2669.96,operational
2021-03-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1849.93,84.09,5.0,6.5,5.2,6.8,913.4683797934966,1,4479.083318789155,5341.38,operational
2021-03-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,499.82,62.48,5.6,5.8,5.5,5.8,813.0544915352403,2,4432.114952277361,1065.0,operational
2021-04-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,759.73,75.97,5.2,5.1,6.5,3.4,988.2219771745413,11,4829.82035250706,1736.19,operational
2021-04-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1758.63,79.94,5.0,6.5,5.2,6.8,1175.3898473136715,1,2124.6515678213946,5652.31,operational
2021-04-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,583.25,72.91,5.6,5.8,5.5,5.8,1052.4644440347538,2,4838.48901315141,1550.11,operational
2021-05-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,834.64,83.46,5.2,5.1,6.5,3.4,863.2748976808864,11,3912.45144038053,2958.13,operational
2021-05-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1972.81,89.67,5.0,6.5,5.2,6.8,866.8120575595094,1,2343.8069991409984,4166.03,operational
2021-05-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,594.76,74.34,5.6,5.8,5.5,5.8,1005.9465687129566,2,4914.726603591675,1569.93,operational
2021-06-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,783.86,78.39,5.2,5.1,6.5,3.4,1182.0256066828324,11,2155.2442813749813,2831.67,operational
2021-06-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1819.04,82.68,5.0,6.5,5.2,6.8,1186.363058091158,1,2244.9842900088024,6477.74,operational
2021-06-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,579.15,72.39,5.6,5.8,5.5,5.8,1039.4181171632492,2,3280.9326346186485,1718.2,operational
2021-07-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,735.54,73.55,5.2,5.1,6.5,3.4,1070.945258019343,11,3823.894924884997,2609.48,operational
2021-07-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1823.95,82.91,5.0,6.5,5.2,6.8,1156.193085241893,1,1943.4593320021363,5625.69,operational
2021-07-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,532.04,66.5,5.6,5.8,5.5,5.8,820.5682509941296,2,2374.465384349862,2097.65,operational
2021-08-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,749.49,74.95,5.2,5.1,6.5,3.4,1069.8617945988867,11,1807.2060965120077,1586.54,operational
2021-08-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1894.67,86.12,5.0,6.5,5.2,6.8,1190.8765214046036,1,3859.041029824715,4882.89,operational
2021-08-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,617.8,77.22,5.6,5.8,5.5,5.8,926.4220061801875,2,2162.1289585889062,1856.39,operational
2021-09-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,819.56,81.96,5.2,5.1,6.5,3.4,887.0117411147701,11,1218.691583804417,2526.74,operational
2021-09-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,2025.84,92.08,5.0,6.5,5.2,6.8,1017.4700634466047,1,1625.250037549847,5296.64,operational
2021-09-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,515.72,64.47,5.6,5.8,5.5,5.8,991.1822665256932,2,3647.9675411921285,2012.76,operational
2021-10-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,773.65,77.36,5.2,5.1,6.5,3.4,1162.8935074231522,11,4519.743755207728,2177.98,operational
2021-10-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1884.22,85.65,5.0,6.5,5.2,6.8,976.1371268996996,1,2319.0786893131935,7487.26,operational
2021-10-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,567.39,70.92,5.6,5.8,5.5,5.8,1045.69219813692,2,1341.7194183974832,1980.58,operational
2021-11-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,818.08,81.81,5.2,5.1,6.5,3.4,830.3794672035384,11,3329.387720387024,1725.96,operational
2021-11-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1937.75,88.08,5.0,6.5,5.2,6.8,1148.3503968038094,1,2515.7694400032915,4844.99,operational
2021-11-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,619.17,77.4,5.6,5.8,5.5,5.8,826.4101934759292,2,4453.145588742866,2387.54,operational
2021-12-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,854.79,85.48,5.2,5.1,6.5,3.4,978.912953140038,11,1228.8860664971817,2643.66,operational
2021-12-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1934.42,87.93,5.0,6.5,5.2,6.8,855.6138139231633,1,2758.4391356535657,4279.87,operational
2021-12-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,583.86,72.98,5.6,5.8,5.5,5.8,1065.6508195865615,2,1211.5633776304217,2158.12,operational
2022-01-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,751.48,75.15,5.2,5.1,6.5,3.4,1113.2319527175139,11,2933.4920180742884,2301.23,operational
2022-01-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1712.77,77.85,5.0,6.5,5.2,6.8,1183.341348755283,1,3618.553683698512,3945.17,operational
2022-01-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,499.25,62.41,5.6,5.8,5.5,5.8,980.3458950715092,2,3698.163857775273,1069.11,operational
2022-02-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,714.73,71.47,5.2,5.1,6.5,3.4,815.2674346020896,11,3407.46107127465,1811.51,operational
2022-02-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1898.27,86.29,5.0,6.5,5.2,6.8,1167.734111944886,1,1375.457243471104,7573.04,operational
2022-02-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,507.96,63.49,5.6,5.8,5.5,5.8,950.3874022753681,2,4820.41110548697,1016.97,operational
2022-03-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,805.76,80.58,5.2,5.1,6.5,3.4,1077.5468475075086,11,3826.1737447223504,2686.81,operational
2022-03-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1889.2,85.87,5.0,6.5,5.2,6.8,998.7741779449594,1,1991.0581637862078,6714.2,operational
2022-03-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,449.65,56.21,5.6,5.8,5.5,5.8,1105.2473392120658,2,2475.336859171315,1090.1,operational
2022-04-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,865.42,86.54,5.2,5.1,6.5,3.4,842.1967179298975,11,2659.794924768652,1771.95,operational
2022-04-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1769.06,80.41,5.0,6.5,5.2,6.8,956.2047610758455,1,4610.972729703059,5602.15,operational
2022-04-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,546.7,68.34,5.6,5.8,5.5,5.8,845.8753352232698,2,2417.5705950763795,1829.4,operational
2022-05-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,741.0,74.1,5.2,5.1,6.5,3.4,1190.3319972116433,11,2163.124626579556,2407.38,operational
2022-05-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1762.95,80.13,5.0,6.5,5.2,6.8,1026.360726316665,1,1801.21487415296,3842.8,operational
2022-05-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,592.92,74.12,5.6,5.8,5.5,5.8,1187.6221122055833,2,2980.2097282737104,2238.26,operational
2022-06-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,819.22,81.92,5.2,5.1,6.5,3.4,858.1452609661775,11,2240.4194557849623,2273.41,operational
2022-06-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1919.64,87.26,5.0,6.5,5.2,6.8,1058.0817974102686,1,3173.0196813420243,4715.82,operational
2022-06-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,558.84,69.85,5.6,5.8,5.5,5.8,1065.4920221901239,2,1565.8636798515606,1387.75,operational
2022-07-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,801.33,80.13,5.2,5.1,6.5,3.4,1102.9994599043162,11,4377.378738041913,2792.4,operational
2022-07-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1830.19,83.19,5.0,6.5,5.2,6.8,1153.9227501878734,1,1210.2574538521017,5637.88,operational
2022-07-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,567.0,70.88,5.6,5.8,5.5,5.8,818.9160548970691,2,3563.6049862989976,1172.2,operational
2022-08-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,825.11,82.51,5.2,5.1,6.5,3.4,921.1032632103128,11,4536.496383190208,1812.16,operational
2022-08-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,2008.68,91.3,5.0,6.5,5.2,6.8,965.2577315301103,1,2311.1265476241106,7898.05,operational
2022-08-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,585.54,73.19,5.6,5.8,5.5,5.8,1167.9760376732274,2,1043.0901995744666,1837.84,operational
2022-09-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,806.7,80.67,5.2,5.1,6.5,3.4,1069.1741467982126,11,4225.665372138405,2122.56,operational
2022-09-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1746.88,79.4,5.0,6.5,5.2,6.8,1182.0084596497593,1,1131.73874501688,5138.35,operational
2022-09-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,539.79,67.47,5.6,5.8,5.5,5.8,996.02114553267,2,2178.937807999238,1945.99,operational
2022-10-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,812.93,81.29,5.2,5.1,6.5,3.4,973.7975915684041,11,1303.586381439245,2206.52,operational
2022-10-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1857.75,84.44,5.0,6.5,5.2,6.8,981.1619991899883,1,1368.7241573839012,4321.47,operational
2022-10-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,557.8,69.73,5.6,5.8,5.5,5.8,856.9640700669075,2,3594.6337333265296,1246.85,operational
2022-11-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,801.17,80.12,5.2,5.1,6.5,3.4,833.1049652692172,11,1241.8144429785425,1739.75,operational
2022-11-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1807.52,82.16,5.0,6.5,5.2,6.8,1135.6142187924893,1,4106.356339134256,6656.04,operational
2022-11-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,543.02,67.88,5.6,5.8,5.5,5.8,1108.3622483936426,2,3261.860466044257,1703.28,operational
2022-12-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,768.58,76.86,5.2,5.1,6.5,3.4,916.58693667446,11,4973.976336311696,2879.83,operational
2022-12-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,2008.52,91.3,5.0,6.5,5.2,6.8,827.8581302640396,1,2395.3212068975404,6247.3,operational
2022-12-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,600.86,75.11,5.6,5.8,5.5,5.8,1094.6652371627001,2,3752.103161999213,2372.61,operational
2023-01-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,681.41,68.14,5.2,5.1,6.5,3.4,1046.7009984228675,11,4035.7438603461246,2614.01,operational
2023-01-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1543.64,70.17,5.0,6.5,5.2,6.8,850.719661417645,1,4631.7543015261,6021.94,operational
2023-01-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,501.61,62.7,5.6,5.8,5.5,5.8,989.3312139906988,2,3417.4780212288456,1053.72,operational
2023-01-01,Ajaokuta-Kaduna-Kano (AKK) Pipeline,NNPC,614,40,2200,1210.39,55.02,7.6,6.7,12.0,8.5,1109.0494894570072,6,3066.2739814311026,4494.85,operational
2023-02-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,721.21,72.12,5.2,5.1,6.5,3.4,999.438427823015,11,4162.30513158087,1829.29,operational
2023-02-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1829.2,83.15,5.0,6.5,5.2,6.8,803.3229703924183,1,4466.931047525267,5563.87,operational
2023-02-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,508.05,63.51,5.6,5.8,5.5,5.8,1144.7082102986155,2,4080.504629364149,1687.8,operational
2023-02-01,Ajaokuta-Kaduna-Kano (AKK) Pipeline,NNPC,614,40,2200,1162.55,52.84,7.6,6.7,12.0,8.5,1135.5620863628362,6,4975.742311032084,3399.65,operational
2023-03-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,697.49,69.75,5.2,5.1,6.5,3.4,956.7785986152877,11,1677.1633872671443,1409.54,operational
2023-03-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1701.54,77.34,5.0,6.5,5.2,6.8,1148.019094498748,1,2965.1523770134636,6139.65,operational
2023-03-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,531.04,66.38,5.6,5.8,5.5,5.8,1142.3884736175728,2,2867.3478336600806,2053.02,operational
2023-03-01,Ajaokuta-Kaduna-Kano (AKK) Pipeline,NNPC,614,40,2200,1065.52,48.43,7.6,6.7,12.0,8.5,990.65578340953,6,3992.51640141885,2980.67,operational
2023-04-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,730.24,73.02,5.2,5.1,6.5,3.4,1149.0960209259017,11,3559.726284978156,1708.8,operational
2023-04-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1986.75,90.31,5.0,6.5,5.2,6.8,1106.1081822406704,1,2797.937985795859,6965.7,operational
2023-04-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,594.17,74.27,5.6,5.8,5.5,5.8,935.3481748976856,2,3140.0819682599667,1230.6,operational
2023-04-01,Ajaokuta-Kaduna-Kano (AKK) Pipeline,NNPC,614,40,2200,1300.71,59.12,7.6,6.7,12.0,8.5,1062.420493700673,6,4312.074002755613,4061.01,operational
2023-05-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,844.26,84.43,5.2,5.1,6.5,3.4,818.8631763120237,11,3746.6213401755986,2717.58,operational
2023-05-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1790.95,81.41,5.0,6.5,5.2,6.8,1007.3753939078586,1,1129.9316816659696,4685.24,operational
2023-05-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,536.66,67.08,5.6,5.8,5.5,5.8,1190.9926322918816,2,2814.5168764753903,2092.47,operational
2023-05-01,Ajaokuta-Kaduna-Kano (AKK) Pipeline,NNPC,614,40,2200,1227.78,55.81,7.6,6.7,12.0,8.5,1174.6954321357734,6,2200.3627705127865,3303.44,operational
2023-06-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,792.78,79.28,5.2,5.1,6.5,3.4,829.4585774531377,11,4265.322188492014,1715.45,operational
2023-06-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1755.64,79.8,5.0,6.5,5.2,6.8,1061.9122876651013,1,2800.8324659506534,3515.26,operational
2023-06-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,556.44,69.56,5.6,5.8,5.5,5.8,1165.652908540677,2,3395.9181089287054,2033.46,operational
2023-06-01,Ajaokuta-Kaduna-Kano (AKK) Pipeline,NNPC,614,40,2200,1161.14,52.78,7.6,6.7,12.0,8.5,873.1599247004964,6,4774.628544997251,2553.16,operational
2023-07-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,754.72,75.47,5.2,5.1,6.5,3.4,1103.5053885587017,11,2539.3578133416277,2432.85,operational
2023-07-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1821.49,82.79,5.0,6.5,5.2,6.8,853.5140308539992,1,2297.988067294359,4331.01,operational
2023-07-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,604.34,75.54,5.6,5.8,5.5,5.8,958.9225682662191,2,4614.521203595376,2145.35,operational
2023-07-01,Ajaokuta-Kaduna-Kano (AKK) Pipeline,NNPC,614,40,2200,1325.67,60.26,7.6,6.7,12.0,8.5,1084.271028806188,6,1813.103653590467,4874.08,operational
2023-08-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,774.38,77.44,5.2,5.1,6.5,3.4,1133.2324158373383,11,3468.9663744680615,1940.68,operational
2023-08-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1931.13,87.78,5.0,6.5,5.2,6.8,809.5681256094562,1,3107.2335852955885,7551.0,operational
2023-08-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,543.33,67.92,5.6,5.8,5.5,5.8,891.395282566569,2,1881.2509121019327,1170.61,operational
2023-08-01,Ajaokuta-Kaduna-Kano (AKK) Pipeline,NNPC,614,40,2200,1314.03,59.73,7.6,6.7,12.0,8.5,896.0238741073222,6,3844.5745349819135,4134.09,operational
2023-09-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,804.64,80.46,5.2,5.1,6.5,3.4,1009.0278482457913,11,1903.2970384038888,1636.53,operational
2023-09-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1822.29,82.83,5.0,6.5,5.2,6.8,913.1305293393591,1,3794.583795089065,6230.24,operational
2023-09-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,540.48,67.56,5.6,5.8,5.5,5.8,1164.1410541270143,2,3697.046244556288,1793.85,operational
2023-09-01,Ajaokuta-Kaduna-Kano (AKK) Pipeline,NNPC,614,40,2200,1202.92,54.68,7.6,6.7,12.0,8.5,1121.2854718343206,6,3373.399603247667,2794.9,operational
2023-10-01,Escravos-Lagos Pipeline System (ELPS),Nigerian Gas Company,1100,24,1000,801.44,80.14,5.2,5.1,6.5,3.4,901.0725145445074,11,3309.173075663226,2367.43,operational
2023-10-01,Obiafu-Obrikom-Oben (OB3) Pipeline,Shell,150,48,2200,1914.87,87.04,5.0,6.5,5.2,6.8,924.7648112019011,1,2968.040400878331,4935.62,operational
2023-10-01,Eastern Gas Gathering System (EGGS),Shell,200,36,800,546.73,68.34,5.6,5.8,5.5,5.8,992.3309549600847,2,1642.6548568998785,1402.65,operational
