year,month,headline_inflation,food_inflation,core_inflation,imported_inflation,energy_inflation,transport_inflation,health_inflation,education_inflation,communication_inflation,housing_utilities,clothing_footwear
2018,Jan,15.13,18.92,10.39,13.2,11.5,12.2,11.2,10.8,6.8,11.0,10.8
2018,Feb,14.33,17.59,10.18,12.8,11.0,11.8,10.8,10.5,6.5,10.6,10.5
2018,Mar,13.34,16.08,9.78,12.5,10.5,11.3,10.3,10.2,6.2,10.2,10.2
2018,Apr,12.48,14.80,9.58,12.0,10.0,10.8,9.8,9.8,5.8,9.8,9.8
2018,May,11.61,13.45,9.33,11.5,9.5,10.3,9.3,9.5,5.5,9.4,9.5
2018,Jun,11.23,12.93,9.28,11.0,9.0,9.8,8.8,9.2,5.2,9.0,9.2
2018,Jul,11.14,12.85,9.37,10.8,8.8,9.5,8.5,9.0,5.0,8.8,9.0
2018,Aug,11.23,13.16,9.30,10.5,8.5,9.3,8.3,8.8,4.8,8.6,8.8
2018,Sep,11.28,13.31,9.23,10.3,8.3,9.0,8.0,8.6,4.6,8.4,8.6
2018,Oct,11.26,13.28,9.10,10.0,8.0,8.8,7.8,8.4,4.4,8.2,8.4
2018,Nov,11.28,13.30,8.98,9.8,7.8,8.5,7.5,8.2,4.2,8.0,8.2
2018,Dec,11.44,13.56,8.72,9.5,7.5,8.3,7.3,8.0,4.0,7.8,8.0
2019,Jan,11.37,13.51,8.94,9.3,7.3,8.1,7.1,7.9,3.9,7.6,7.9
2019,Feb,11.31,13.47,9.07,9.1,7.1,7.9,6.9,7.8,3.8,7.5,7.8
2019,Mar,11.25,13.45,9.31,9.0,7.0,7.8,6.8,7.7,3.7,7.4,7.7
2019,Apr,11.37,13.70,9.28,9.2,7.2,8.0,7.0,7.9,3.9,7.6,7.9
2019,May,11.40,13.79,9.10,9.4,7.4,8.2,7.2,8.1,4.1,7.8,8.1
2019,Jun,11.22,13.56,8.98,9.5,7.5,8.3,7.3,8.2,4.2,7.9,8.2
2019,Jul,11.08,13.39,8.87,9.6,7.6,8.4,7.4,8.3,4.3,8.0,8.3
2019,Aug,11.02,13.17,8.68,9.7,7.7,8.5,7.5,8.4,4.4,8.1,8.4
2019,Sep,11.24,13.51,8.52,9.8,7.8,8.6,7.6,8.5,4.5,8.2,8.5
2019,Oct,11.61,14.09,8.67,10.0,8.0,8.8,7.8,8.7,4.7,8.4,8.7
2019,Nov,11.85,14.48,8.83,10.2,8.2,9.0,8.0,8.9,4.9,8.6,8.9
2019,Dec,11.98,14.67,8.96,10.4,8.4,9.2,8.2,9.1,5.1,8.8,9.1
2020,Jan,12.13,14.85,9.20,10.6,8.6,9.4,8.4,9.3,5.3,9.0,9.3
2020,Feb,12.20,14.90,9.33,10.8,8.8,9.6,8.6,9.5,5.5,9.2,9.5
2020,Mar,12.26,14.98,9.37,11.0,9.0,9.8,8.8,9.7,5.7,9.4,9.7
2020,Apr,12.34,15.03,9.74,11.2,9.2,10.0,9.0,9.9,5.9,9.6,9.9
2020,May,12.40,15.04,9.75,11.4,9.4,10.2,9.2,10.1,6.1,9.8,10.1
2020,Jun,12.56,15.18,9.78,11.6,9.6,10.4,9.4,10.3,6.3,10.0,10.3
2020,Jul,12.82,15.48,9.93,11.8,9.8,10.6,9.6,10.5,6.5,10.2,10.5
2020,Aug,13.22,16.00,10.07,12.0,10.0,10.8,9.8,10.7,6.7,10.4,10.7
2020,Sep,13.71,16.66,10.13,12.2,10.2,11.0,10.0,10.9,6.9,10.6,10.9
2020,Oct,14.23,17.38,10.24,12.4,10.4,11.2,10.2,11.1,7.1,10.8,11.1
2020,Nov,14.89,18.30,10.35,12.6,10.6,11.4,10.4,11.3,7.3,11.0,11.3
2020,Dec,15.75,19.56,10.58,12.8,10.8,11.6,10.6,11.5,7.5,11.2,11.5
2021,Jan,16.47,20.57,11.37,13.0,11.0,11.8,10.8,11.7,7.7,11.4,11.7
2021,Feb,17.33,21.79,12.09,13.2,11.2,12.0,11.0,11.9,7.9,11.6,11.9
2021,Mar,18.17,22.95,12.67,13.4,11.4,12.2,11.2,12.1,8.1,11.8,12.1
2021,Apr,18.12,22.72,12.74,13.6,11.6,12.4,11.4,12.3,8.3,12.0,12.3
2021,May,17.93,22.28,13.02,13.8,11.8,12.6,11.6,12.5,8.5,12.2,12.5
2021,Jun,17.75,21.83,13.08,14.0,12.0,12.8,11.8,12.7,8.7,12.4,12.7
2021,Jul,17.38,21.03,13.09,14.2,12.2,13.0,12.0,12.9,8.9,12.6,12.9
2021,Aug,17.01,20.30,13.41,14.4,12.4,13.2,12.2,13.1,9.1,12.8,13.1
2021,Sep,16.63,19.57,13.74,14.6,12.6,13.4,12.4,13.3,9.3,13.0,13.3
2021,Oct,15.99,18.34,13.24,14.8,12.8,13.6,12.6,13.5,9.5,13.2,13.5
2021,Nov,15.40,17.21,13.85,15.0,13.0,13.8,12.8,13.7,9.7,13.4,13.7
2021,Dec,15.63,17.37,13.87,15.2,13.2,14.0,13.0,13.9,9.9,13.6,13.9
2022,Jan,15.60,17.13,13.92,15.4,13.4,14.2,13.2,14.1,10.1,13.8,14.1
2022,Feb,15.70,17.11,14.01,15.6,13.6,14.4,13.4,14.3,10.3,14.0,14.3
2022,Mar,15.92,17.20,14.18,15.8,13.8,14.6,13.6,14.5,10.5,14.2,14.5
2022,Apr,16.82,18.37,14.96,16.0,14.0,14.8,13.8,14.7,10.7,14.4,14.7
2022,May,17.71,19.50,15.66,16.2,14.2,15.0,14.0,14.9,10.9,14.6,14.9
2022,Jun,18.60,20.60,16.18,16.4,14.4,15.2,14.2,15.1,11.1,14.8,15.1
2022,Jul,19.64,21.95,17.08,16.6,14.6,15.4,14.4,15.3,11.3,15.0,15.3
2022,Aug,20.52,23.12,17.71,16.8,14.8,15.6,14.6,15.5,11.5,15.2,15.5
2022,Sep,20.77,23.34,17.94,17.0,15.0,15.8,14.8,15.7,11.7,15.4,15.7
2022,Oct,21.09,23.72,18.24,17.2,15.2,16.0,15.0,15.9,11.9,15.6,15.9
2022,Nov,21.47,24.13,18.49,17.4,15.4,16.2,15.2,16.1,12.1,15.8,16.1
2022,Dec,21.34,23.75,18.59,17.6,15.6,16.4,15.4,16.3,12.3,16.0,16.3
2023,Jan,21.82,24.32,18.84,17.8,15.8,16.6,15.6,16.5,12.5,16.2,16.5
2023,Feb,21.91,24.35,18.92,18.0,16.0,16.8,15.8,16.7,12.7,16.4,16.7
2023,Mar,22.04,24.45,19.16,18.2,16.2,17.0,16.0,16.9,12.9,16.6,16.9
2023,Apr,22.22,24.61,19.33,18.4,16.4,17.2,16.2,17.1,13.1,16.8,17.1
2023,May,22.41,24.82,19.50,18.6,16.6,17.4,16.4,17.3,13.3,17.0,17.3
2023,Jun,22.79,25.25,19.83,18.8,16.8,17.6,16.6,17.5,13.5,17.2,17.5
2023,Jul,24.08,26.98,20.47,19.0,17.0,17.8,16.8,17.7,13.7,17.4,17.7
2023,Aug,25.80,29.34,21.15,19.2,17.2,18.0,17.0,17.9,13.9,17.6,17.9
2023,Sep,26.72,30.64,21.84,19.4,17.4,18.2,17.2,18.1,14.1,17.8,18.1
2023,Oct,27.33,31.52,22.58,19.6,17.6,18.4,17.4,18.3,14.3,18.0,18.3
2023,Nov,28.20,32.84,23.06,19.8,17.8,18.6,17.6,18.5,14.5,18.2,18.5
2023,Dec,28.92,33.93,23.78,20.0,18.0,18.8,17.8,18.7,14.7,18.4,18.7
2024,Jan,29.90,35.41,24.73,20.2,18.2,19.0,18.0,18.9,14.9,18.6,18.9
2024,Feb,31.70,37.92,25.13,20.4,18.4,19.2,18.2,19.1,15.1,18.8,19.1
2024,Mar,33.20,40.01,26.60,20.6,18.6,19.4,18.4,19.3,15.3,19.0,19.3
2024,Apr,33.69,40.53,27.62,20.8,18.8,19.6,18.6,19.5,15.5,19.2,19.5
2024,May,34.00,40.66,28.26,21.0,19.0,19.8,18.8,19.7,15.7,19.4,19.7
2024,Jun,34.19,40.87,28.78,21.2,19.2,20.0,19.0,19.9,15.9,19.6,19.9
2024,Jul,33.40,39.53,28.54,21.4,19.4,20.2,19.2,20.1,16.1,19.8,20.1
2024,Aug,32.15,37.52,27.83,21.6,19.6,20.4,19.4,20.3,16.3,20.0,20.3
2024,Sep,32.70,38.67,27.36,21.8,19.8,20.6,19.6,20.5,16.5,20.2,20.5
