year,month,monetary_policy_rate,prime_lending_rate,maximum_lending_rate,interbank_call_rate,treasury_bill_91_day,treasury_bill_182_day,treasury_bill_364_day,savings_deposit_rate,one_month_deposit_rate,three_month_deposit_rate,six_month_deposit_rate,twelve_month_deposit_rate,sme_lending_rate_average
2016,Apr,12.00,16.90,27.31,5.13,7.24,7.62,7.77,3.86,5.81,6.10,6.34,8.91,29.3
2016,May,12.00,16.94,27.23,6.46,8.81,8.90,9.00,3.88,6.50,6.72,6.80,9.24,29.2
2016,Jun,12.00,16.87,27.26,6.58,9.30,9.48,9.57,3.87,6.79,7.14,7.23,9.49,29.3
2016,Jul,14.00,16.82,27.43,11.63,11.95,12.29,12.39,3.89,8.09,8.51,8.66,10.68,29.5
2016,Aug,14.00,17.15,27.58,10.22,15.25,15.49,15.63,3.99,9.57,10.07,10.40,11.83,29.7
2016,Sep,14.00,17.39,27.76,12.20,15.38,15.85,16.12,4.00,10.15,10.70,10.80,12.28,29.9
2016,Oct,14.00,17.55,27.76,16.66,15.69,16.16,16.44,4.01,10.40,10.91,11.14,12.50,29.9
2016,Nov,14.00,17.67,28.12,14.17,17.14,17.51,17.78,4.06,11.05,11.63,11.82,12.99,30.2
2016,Dec,14.00,17.69,28.37,21.76,17.30,17.84,18.15,4.05,11.20,11.77,11.97,13.07,30.5
2017,Jan,14.00,17.76,28.55,4.48,17.73,18.12,18.37,4.05,11.31,11.96,12.10,13.28,30.7
2017,Feb,14.00,17.78,28.92,6.31,17.73,18.17,18.45,4.07,11.39,11.96,12.13,13.29,31.1
2017,Mar,14.00,17.84,29.68,9.92,17.24,17.68,17.90,4.07,11.12,11.69,11.87,13.00,31.8
2017,Apr,14.00,17.91,30.05,4.79,17.07,17.35,17.47,4.10,11.05,11.67,11.81,12.74,32.2
2017,May,14.00,17.94,30.25,8.75,16.60,16.98,17.07,4.11,10.92,11.53,11.61,12.58,32.4
2017,Jun,14.00,18.01,30.44,11.86,17.35,17.62,17.74,4.13,11.10,11.72,11.86,12.79,32.6
2017,Jul,14.00,18.10,30.67,5.50,18.46,18.64,18.72,4.14,11.66,12.25,12.36,13.23,32.8
2017,Aug,14.00,18.15,30.70,8.67,18.30,18.55,18.67,4.14,11.67,12.29,12.40,13.24,32.9
2017,Sep,14.00,17.98,30.69,5.73,17.51,17.87,18.05,4.14,11.36,11.96,12.10,12.89,32.8
2017,Oct,14.00,17.59,30.72,5.51,16.50,16.91,17.12,4.14,10.97,11.55,11.69,12.46,32.9
2017,Nov,14.00,17.52,30.74,8.62,15.95,16.29,16.45,4.14,10.74,11.33,11.43,12.18,32.9
2017,Dec,14.00,17.58,30.77,5.56,12.76,13.31,13.59,4.12,9.78,10.31,10.39,11.37,33.0
2018,Jan,14.00,17.52,30.83,2.50,12.31,12.84,13.13,4.11,9.69,10.22,10.30,11.29,33.0
2018,Feb,14.00,17.40,30.77,5.67,11.66,12.14,12.39,4.11,9.42,9.97,10.01,11.02,33.0
2018,Mar,14.00,17.28,30.72,6.73,11.18,11.60,11.82,4.09,9.27,9.77,9.82,10.79,32.9
2018,Apr,14.00,16.92,30.63,12.33,11.75,12.05,12.20,4.08,9.42,9.91,9.98,10.91,32.8
2018,May,14.00,16.81,30.58,11.50,12.11,12.39,12.52,4.07,9.58,10.07,10.13,11.04,32.7
2018,Jun,14.00,16.74,30.54,5.50,11.74,12.14,12.31,4.07,9.45,9.95,10.00,10.92,32.7
2018,Jul,14.00,16.74,30.52,9.67,11.31,11.70,11.86,4.06,9.28,9.77,9.83,10.74,32.6
2018,Aug,14.00,16.72,30.50,6.45,11.60,11.93,12.07,4.06,9.40,9.89,9.94,10.84,32.6
2018,Sep,14.00,16.73,30.53,6.30,11.70,12.02,12.16,4.06,9.45,9.93,9.99,10.88,32.6
2018,Oct,14.00,16.69,30.48,6.84,11.21,11.62,11.80,4.05,9.28,9.77,9.82,10.73,32.6
2018,Nov,14.00,16.60,30.47,8.62,11.35,11.72,11.88,4.05,9.33,9.82,9.87,10.77,32.6
2018,Dec,14.00,16.52,30.48,10.67,11.47,11.80,11.94,4.04,9.37,9.86,9.91,10.80,32.6
2019,Jan,14.00,16.49,30.44,18.73,11.00,11.39,11.55,4.03,9.21,9.70,9.74,10.65,32.5
2019,Feb,14.00,16.47,30.45,7.33,10.98,11.36,11.51,4.03,9.21,9.69,9.73,10.64,32.5
2019,Mar,13.50,16.36,30.44,9.51,10.84,11.20,11.34,4.02,9.15,9.63,9.67,10.57,32.5
2019,Apr,13.50,16.17,30.30,14.00,10.66,10.99,11.12,4.00,9.08,9.56,9.59,10.49,32.4
2019,May,13.50,16.13,30.29,5.23,10.89,11.18,11.30,4.00,9.17,9.64,9.68,10.56,32.4
2019,Jun,13.50,16.11,30.28,5.48,10.73,11.05,11.17,3.99,9.11,9.59,9.62,10.51,32.3
2019,Jul,13.50,16.11,30.29,5.42,10.45,10.81,10.95,3.99,9.01,9.48,9.51,10.41,32.3
2019,Aug,13.50,16.09,30.29,6.67,10.41,10.76,10.90,3.99,8.99,9.46,9.49,10.39,32.3
2019,Sep,13.50,16.08,30.30,8.33,10.10,10.52,10.69,3.99,8.88,9.36,9.39,10.30,32.3
2019,Oct,13.50,16.05,30.28,7.58,10.01,10.42,10.58,3.98,8.85,9.32,9.35,10.26,32.3
2019,Nov,13.50,15.96,30.27,3.50,9.18,9.77,10.01,3.98,8.58,9.06,9.08,10.02,32.3
2019,Dec,13.50,15.84,30.27,6.63,6.37,7.23,7.60,3.97,7.56,8.04,8.03,9.15,32.3
2020,Jan,13.50,15.73,30.18,12.92,3.86,4.94,5.42,3.95,6.51,6.99,6.94,8.24,32.2
2020,Feb,13.50,15.68,30.15,16.25,3.36,4.47,4.97,3.95,6.30,6.78,6.73,8.05,32.2
2020,Mar,13.50,15.64,30.12,13.64,3.17,4.27,4.76,3.94,6.20,6.68,6.63,7.96,32.1
2020,Apr,13.50,15.48,30.04,12.92,2.73,3.87,4.38,3.92,5.99,6.47,6.41,7.77,32.0
2020,May,12.50,15.18,29.98,13.50,2.29,3.49,4.03,3.86,5.75,6.23,6.17,7.55,31.9
2020,Jun,12.50,15.09,29.91,6.25,1.97,3.19,3.75,3.83,5.61,6.09,6.02,7.42,31.8
2020,Jul,12.50,15.03,29.87,6.51,1.78,3.01,3.58,3.81,5.52,6.00,5.93,7.34,31.8
2020,Aug,12.50,15.01,29.83,7.00,1.68,2.91,3.48,3.81,5.48,5.95,5.88,7.30,31.7
2020,Sep,12.50,14.99,29.81,7.58,1.44,2.70,3.29,3.80,5.39,5.87,5.80,7.22,31.7
2020,Oct,11.50,14.73,29.72,6.00,1.14,2.43,3.03,3.76,5.24,5.72,5.64,7.09,31.6
2020,Nov,11.50,14.62,29.67,7.06,0.91,2.22,2.83,3.74,5.15,5.63,5.55,7.01,31.6
2020,Dec,11.50,14.56,29.65,8.00,0.34,1.75,2.41,3.72,4.98,5.46,5.38,6.86,31.5
2021,Jan,11.50,14.52,29.61,11.35,0.35,1.74,2.39,3.71,4.96,5.43,5.35,6.83,31.5
2021,Feb,11.50,14.50,29.59,12.20,0.48,1.83,2.47,3.70,4.99,5.47,5.38,6.86,31.5
2021,Mar,11.50,14.49,29.58,9.43,0.73,2.02,2.64,3.70,5.06,5.53,5.45,6.92,31.5
2021,Apr,11.50,14.46,29.56,9.00,1.31,2.47,3.03,3.69,5.20,5.68,5.59,7.05,31.5
2021,May,11.50,14.43,29.54,11.29,1.99,3.00,3.50,3.69,5.37,5.85,5.76,7.20,31.4
2021,Jun,11.50,14.40,29.52,8.50,2.49,3.39,3.85,3.68,5.49,5.97,5.88,7.31,31.4
2021,Jul,11.50,14.37,29.50,8.91,2.59,3.47,3.92,3.68,5.52,6.00,5.90,7.34,31.4
2021,Aug,11.50,14.34,29.47,8.88,2.67,3.54,3.98,3.68,5.54,6.02,5.92,7.35,31.4
2021,Sep,11.50,14.13,29.31,9.17,3.10,3.88,4.28,3.67,5.65,6.13,6.03,7.45,31.3
2021,Oct,11.50,13.97,29.28,10.08,3.72,4.39,4.73,3.66,5.81,6.29,6.19,7.59,31.3
2021,Nov,11.50,13.93,29.25,8.64,4.62,5.13,5.40,3.65,6.04,6.52,6.41,7.79,31.2
2021,Dec,11.50,13.90,29.23,5.38,4.93,5.38,5.62,3.65,6.12,6.60,6.49,7.86,31.2
2022,Jan,11.50,13.88,29.22,6.63,3.45,4.15,4.49,3.64,5.66,6.14,6.04,7.45,31.2
2022,Feb,11.50,13.86,29.20,5.69,2.80,3.62,4.01,3.64,5.44,5.92,5.82,7.25,31.2
2022,Mar,11.50,13.83,29.18,6.73,2.65,3.49,3.89,3.63,5.39,5.86,5.76,7.20,31.2
2022,Apr,11.50,13.79,29.15,6.62,3.14,3.89,4.25,3.63,5.52,6.00,5.90,7.32,31.2
2022,May,13.00,13.85,28.97,9.80,3.80,4.44,4.77,3.70,5.80,6.28,6.17,7.57,31.0
2022,Jun,13.00,14.03,29.11,8.58,4.67,5.16,5.43,3.72,6.04,6.52,6.41,7.79,31.1
2022,Jul,14.00,14.21,29.26,13.42,6.24,6.53,6.74,3.78,6.46,6.94,6.83,8.17,31.3
2022,Aug,14.00,14.49,29.39,13.25,7.14,7.36,7.53,3.81,6.76,7.24,7.12,8.44,31.4
2022,Sep,15.50,14.76,29.52,16.00,7.89,8.05,8.19,3.87,7.10,7.58,7.46,8.75,31.5
2022,Oct,15.50,15.10,29.64,15.21,8.24,8.37,8.49,3.90,7.27,7.75,7.63,8.91,31.6
2022,Nov,16.50,15.44,29.77,14.67,8.64,8.73,8.83,3.96,7.52,8.00,7.87,9.13,31.8
2022,Dec,16.50,15.77,29.89,11.23,9.00,9.06,9.14,3.99,7.68,8.16,8.03,9.28,31.9
2023,Jan,17.50,16.11,30.02,17.88,9.65,9.67,9.72,4.05,7.99,8.47,8.34,9.56,32.1
2023,Feb,17.50,16.45,30.14,13.38,8.91,8.99,9.07,4.08,7.89,8.37,8.23,9.47,32.2
2023,Mar,18.00,16.78,30.26,17.08,6.65,6.88,7.05,4.11,7.18,7.66,7.52,8.81,32.4
2023,Apr,18.00,17.12,30.39,14.67,5.53,5.87,6.11,4.14,6.87,7.35,7.21,8.52,32.5
2023,May,18.00,17.46,30.51,11.83,4.21,4.69,4.99,4.17,6.49,6.97,6.83,8.17,32.7
2023,Jun,18.50,17.79,30.64,12.42,3.02,3.63,3.99,4.20,6.17,6.65,6.50,7.87,32.8
2023,Jul,18.75,18.13,30.76,9.25,2.93,3.55,3.92,4.23,6.14,6.62,6.47,7.84,33.0
2023,Aug,18.75,18.47,30.89,14.00,3.36,3.93,4.27,4.26,6.29,6.77,6.62,7.98,33.1
2023,Sep,18.75,18.75,31.01,19.25,5.00,5.42,5.71,4.29,6.75,7.23,7.07,8.40,33.3
2023,Oct,18.75,18.80,31.14,11.67,5.99,6.33,6.58,4.32,7.05,7.53,7.37,8.68,33.4
2023,Nov,18.75,18.86,31.26,14.71,8.50,8.68,8.85,4.35,7.72,8.20,8.04,9.29,33.6
2023,Dec,18.75,18.91,31.39,16.63,11.54,11.56,11.62,4.38,8.47,8.95,8.78,9.98,33.7
2024,Jan,22.75,19.96,31.51,15.50,15.00,14.84,14.77,4.51,9.60,10.08,9.91,11.04,33.9
2024,Feb,22.75,20.31,31.64,18.75,16.24,15.99,15.87,4.54,9.96,10.44,10.27,11.37,34.0
2024,Mar,24.75,20.64,31.76,21.92,17.07,16.75,16.60,4.60,10.35,10.83,10.65,11.73,34.2
2024,Apr,24.75,20.98,31.89,19.58,18.49,18.07,17.85,4.63,10.80,11.28,11.10,12.15,34.3
2024,May,26.25,21.32,32.01,25.13,19.89,19.36,19.09,4.69,11.23,11.71,11.53,12.55,34.5
2024,Jun,26.25,21.66,32.14,23.50,19.66,19.16,18.91,4.72,11.19,11.67,11.48,12.51,34.6
2024,Jul,26.75,21.99,32.26,22.17,20.61,20.03,19.73,4.78,11.50,11.98,11.79,12.79,34.8
2024,Aug,26.75,22.33,32.39,18.92,21.12,20.50,20.18,4.81,11.68,12.16,11.97,12.95,34.9
2024,Sep,27.25,22.67,32.51,24.08,20.83,20.25,19.95,4.87,11.63,12.11,11.92,12.91,35.1
