# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Cycle,Ramp_Rate_C_per_min,Peak_Power_W_per_cm2,OCV_V,Voltage_at_0p5Acm2_V,ASR_Ohm_cm2,Degradation_pct_per_cycle,Observation
22,10,0.6222,1.0824,0.7005,0.354,0.3,
23,10,0.6194,1.0816,0.6982,0.357,0.3,
24,10,0.6167,1.0808,0.696,0.361,0.3,
25,10,0.614,1.08,0.6938,0.364,0.3,Moderate degradation visible
26,10,0.6113,1.0792,0.6915,0.367,0.3,
27,10,0.6086,1.0784,0.6892,0.371,0.3,
28,10,0.6059,1.0776,0.687,0.374,0.3,
29,10,0.6032,1.0768,0.6848,0.377,0.3,
30,10,0.6005,1.076,0.6825,0.381,0.3,
31,10,0.5978,1.0752,0.6802,0.384,0.3,
32,10,0.595,1.0744,0.678,0.388,0.3,
33,10,0.5923,1.0736,0.6758,0.391,0.3,
34,10,0.5896,1.0728,0.6735,0.394,0.3,
35,10,0.5869,1.072,0.6712,0.398,0.3,
36,10,0.5842,1.0712,0.669,0.401,0.3,
37,10,0.5815,1.0704,0.6667,0.404,0.3,
38,10,0.5788,1.0696,0.6645,0.408,0.3,
39,10,0.5761,1.0688,0.6622,0.411,0.3,
40,10,0.5734,1.068,0.66,0.414,0.3,
41,10,0.5707,1.0672,0.6578,0.418,0.3,
42,10,0.568,1.0664,0.6555,0.421,0.3,
43,10,0.5653,1.0656,0.6532,0.424,0.3,
44,10,0.5626,1.0648,0.651,0.428,0.3,
45,10,0.5599,1.064,0.6487,0.431,0.3,
46,10,0.5572,1.0632,0.6465,0.435,0.3,
47,10,0.5545,1.0624,0.6442,0.438,0.3,
48,10,0.5518,1.0616,0.642,0.441,0.3,
49,10,0.5491,1.0608,0.6398,0.445,0.3,
50,10,0.5464,1.06,0.6375,0.448,0.3,Stable degradation rate
51,10,0.5437,1.0592,0.6352,0.451,0.3,
52,10,0.541,1.0584,0.633,0.455,0.3,
53,10,0.5384,1.0576,0.6307,0.458,0.3,
54,10,0.5357,1.0568,0.6285,0.461,0.3,
55,10,0.533,1.056,0.6262,0.465,0.3,
56,10,0.5303,1.0552,0.624,0.468,0.3,
57,10,0.5277,1.0544,0.6218,0.472,0.3,
58,10,0.525,1.0536,0.6195,0.475,0.3,
59,10,0.5223,1.0528,0.6172,0.478,0.3,
60,10,0.5197,1.052,0.615,0.482,0.3,
61,10,0.517,1.0512,0.6127,0.485,0.3,
62,10,0.5143,1.0504,0.6105,0.488,0.3,
63,10,0.5117,1.0496,0.6083,0.492,0.3,
64,10,0.509,1.0488,0.606,0.495,0.3,
65,10,0.5064,1.048,0.6038,0.498,0.3,
66,10,0.5038,1.0472,0.6015,0.502,0.3,
67,10,0.5011,1.0464,0.5993,0.505,0.3,
68,10,0.4985,1.0456,0.597,0.508,0.3,
69,10,0.4959,1.0448,0.5948,0.512,0.3,
70,10,0.4932,1.044,0.5925,0.515,0.3,
71,10,0.4906,1.0432,0.5903,0.519,0.3,
72,10,0.488,1.0424,0.588,0.522,0.3,
73,10,0.4854,1.0416,0.5858,0.525,0.3,
74,10,0.4827,1.0408,0.5835,0.529,0.3,
75,10,0.4801,1.04,0.5812,0.532,0.3,
76,10,0.4775,1.0392,0.579,0.535,0.3,
77,10,0.4749,1.0384,0.5768,0.539,0.3,
78,10,0.4723,1.0376,0.5745,0.542,0.3,
79,10,0.4697,1.0368,0.5722,0.545,0.3,
80,10,0.4671,1.036,0.57,0.549,0.3,
81,10,0.4646,1.0352,0.5678,0.552,0.3,
82,10,0.462,1.0344,0.5655,0.556,0.3,
83,10,0.4594,1.0336,0.5632,0.559,0.3,
84,10,0.4568,1.0328,0.561,0.562,0.3,
85,10,0.4542,1.032,0.5588,0.566,0.3,
86,10,0.4517,1.0312,0.5565,0.569,0.3,
87,10,0.4491,1.0304,0.5543,0.572,0.3,
88,10,0.4466,1.0296,0.552,0.576,0.3,
89,10,0.444,1.0288,0.5498,0.579,0.3,
90,10,0.4415,1.028,0.5475,0.582,0.3,
91,10,0.4389,1.0272,0.5452,0.586,0.3,
92,10,0.4364,1.0264,0.543,0.589,0.3,
93,10,0.4338,1.0256,0.5408,0.592,0.3,
94,10,0.4313,1.0248,0.5385,0.596,0.3,
95,10,0.4288,1.024,0.5363,0.599,0.3,
96,10,0.4263,1.0232,0.534,0.603,0.3,
97,10,0.4237,1.0224,0.5318,0.606,0.3,
98,10,0.4212,1.0216,0.5295,0.609,0.3,
99,10,0.4187,1.0208,0.5272,0.613,0.3,
100,10,0.4162,1.02,0.525,0.616,0.3,End of test - 38% power loss
0,20,0.68,1.1,0.75,0.28,0.6,Initial reference
1,20,0.6756,1.0992,0.7455,0.283,0.6,
2,20,0.6711,1.0984,0.741,0.287,0.6,
3,20,0.6665,1.0976,0.7365,0.29,0.6,
4,20,0.6619,1.0968,0.732,0.293,0.6,
5,20,0.6573,1.096,0.7275,0.297,0.6,
6,20,0.6527,1.0952,0.723,0.3,0.6,
7,20,0.6481,1.0944,0.7185,0.304,0.6,
8,20,0.6434,1.0936,0.714,0.307,0.6,
9,20,0.6388,1.0928,0.7095,0.31,0.6,
10,20,0.6341,1.092,0.705,0.314,0.6,Minor performance drop
11,20,0.6295,1.0912,0.7005,0.317,0.6,
12,20,0.6248,1.0904,0.696,0.32,0.6,
13,20,0.6202,1.0896,0.6915,0.324,0.6,
14,20,0.6155,1.0888,0.687,0.327,0.6,
15,20,0.6108,1.088,0.6825,0.33,0.6,
16,20,0.6062,1.0872,0.678,0.334,0.6,
17,20,0.6015,1.0864,0.6735,0.337,0.6,
18,20,0.5968,1.0856,0.669,0.34,0.6,
19,20,0.5922,1.0848,0.6645,0.344,0.6,
20,20,0.5875,1.084,0.66,0.347,0.6,
21,20,0.5828,1.0832,0.6555,0.351,0.6,
22,20,0.5782,1.0824,0.651,0.354,0.6,
23,20,0.5735,1.0816,0.6465,0.357,0.6,
24,20,0.5689,1.0808,0.642,0.361,0.6,
25,20,0.5642,1.08,0.6375,0.364,0.6,Significant degradation visible
26,20,0.5596,1.0792,0.633,0.367,0.6,
27,20,0.555,1.0784,0.6285,0.371,0.6,
28,20,0.5503,1.0776,0.624,0.374,0.6,
29,20,0.5457,1.0768,0.6195,0.377,0.6,
30,20,0.5411,1.076,0.615,0.381,0.6,
31,20,0.5365,1.0752,0.6105,0.384,0.6,
32,20,0.5319,1.0744,0.606,0.388,0.6,
33,20,0.5273,1.0736,0.6015,0.391,0.6,
34,20,0.5227,1.0728,0.597,0.394,0.6,
35,20,0.5181,1.072,0.5925,0.398,0.6,
36,20,0.5135,1.0712,0.588,0.401,0.6,
37,20,0.5089,1.0704,0.5835,0.404,0.6,
38,20,0.5043,1.0696,0.579,0.408,0.6,
39,20,0.4997,1.0688,0.5745,0.411,0.6,
40,20,0.4952,1.068,0.57,0.414,0.6,
41,20,0.4906,1.0672,0.5655,0.418,0.6,
42,20,0.4861,1.0664,0.561,0.421,0.6,
43,20,0.4815,1.0656,0.5565,0.424,0.6,
44,20,0.477,1.0648,0.552,0.428,0.6,
45,20,0.4725,1.064,0.5475,0.431,0.6,
46,20,0.468,1.0632,0.543,0.435,0.6,
47,20,0.4635,1.0624,0.5385,0.438,0.6,
48,20,0.459,1.0616,0.534,0.441,0.6,
49,20,0.4545,1.0608,0.5295,0.445,0.6,
50,20,0.45,1.06,0.525,0.448,0.6,Microcracking observed
51,20,0.4455,1.0592,0.5205,0.451,0.6,
52,20,0.441,1.0584,0.516,0.455,0.6,
53,20,0.4366,1.0576,0.5115,0.458,0.6,
54,20,0.4321,1.0568,0.507,0.461,0.6,
55,20,0.4277,1.056,0.5025,0.465,0.6,
56,20,0.4232,1.0552,0.498,0.468,0.6,
57,20,0.4188,1.0544,0.4935,0.472,0.6,
58,20,0.4144,1.0536,0.489,0.475,0.6,
59,20,0.41,1.0528,0.4845,0.478,0.6,
60,20,0.4056,1.052,0.48,0.482,0.6,
61,20,0.4012,1.0512,0.4755,0.485,0.6,
62,20,0.3968,1.0504,0.471,0.488,0.6,
63,20,0.3924,1.0496,0.4665,0.492,0.6,
64,20,0.3881,1.0488,0.462,0.495,0.6,
65,20,0.3837,1.048,0.4575,0.498,0.6,
66,20,0.3794,1.0472,0.453,0.502,0.6,
67,20,0.3751,1.0464,0.4485,0.505,0.6,
68,20,0.3707,1.0456,0.444,0.508,0.6,
69,20,0.3664,1.0448,0.4395,0.512,0.6,
70,20,0.3621,1.044,0.435,0.515,0.6,
71,20,0.3578,1.0432,0.4305,0.519,0.6,
72,20,0.3535,1.0424,0.426,0.522,0.6,
73,20,0.3493,1.0416,0.4215,0.525,0.6,
74,20,0.345,1.0408,0.417,0.529,0.6,
75,20,0.3407,1.04,0.4125,0.532,0.6,Accelerated degradation phase
76,20,0.3365,1.0392,0.408,0.535,0.6,
77,20,0.3323,1.0384,0.4035,0.539,0.6,
78,20,0.328,1.0376,0.399,0.542,0.6,
79,20,0.3238,1.0368,0.3945,0.545,0.6,
80,20,0.3196,1.036,0.39,0.549,0.6,
81,20,0.3154,1.0352,0.3855,0.552,0.6,
82,20,0.3112,1.0344,0.381,0.556,0.6,
83,20,0.3071,1.0336,0.3765,0.559,0.6,
84,20,0.3029,1.0328,0.372,0.562,0.6,
85,20,0.2988,1.032,0.3675,0.566,0.6,
86,20,0.2946,1.0312,0.363,0.569,0.6,
87,20,0.2905,1.0304,0.3585,0.572,0.6,
88,20,0.2864,1.0296,0.354,0.576,0.6,
89,20,0.2823,1.0288,0.3495,0.579,0.6,
90,20,0.2782,1.028,0.345,0.582,0.6,
91,20,0.2741,1.0272,0.3405,0.586,0.6,
92,20,0.27,1.0264,0.336,0.589,0.6,
93,20,0.266,1.0256,0.3315,0.592,0.6,
94,20,0.2619,1.0248,0.327,0.596,0.6,
95,20,0.2579,1.024,0.3225,0.599,0.6,
96,20,0.2538,1.0232,0.318,0.603,0.6,
97,20,0.2498,1.0224,0.3135,0.606,0.6,
98,20,0.2458,1.0216,0.309,0.609,0.6,
99,20,0.2418,1.0208,0.3045,0.613,0.6,
100,20,0.2378,1.02,0.3,0.616,0.6,End of test - 65% power loss
