# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Position_x_mm,Position_y_mm,T_SteadyState_K,T_Startup_5Cmin_K,T_LoadChange_K,dTdx_K_per_mm
6,45,1080.4,885.0,1073.04,1.219
6,50,1080.5,885.0,1073.04,1.234
6,55,1080.4,885.0,1073.04,1.219
6,60,1080.13,885.0,1073.03,1.174
6,65,1079.68,885.0,1073.02,1.1
6,70,1079.06,885.0,1073.02,0.999
6,75,1078.3,885.0,1073.01,0.873
6,80,1077.41,885.0,1073.0,0.726
6,85,1076.4,885.0,1073.0,0.56
6,90,1075.32,885.0,1073.0,0.381
6,95,1074.17,885.0,1073.0,0.193
6,100,1073.0,885.0,1073.0,0.0
8,0,1073.0,889.0,1073.0,0.0
8,5,1074.56,889.0,1073.0,0.19
8,10,1076.07,889.0,1073.0,0.376
8,15,1077.52,889.0,1073.0,0.553
8,20,1078.85,889.0,1073.01,0.715
8,25,1080.03,889.0,1073.01,0.861
8,30,1081.05,889.0,1073.03,0.985
8,35,1081.86,889.0,1073.04,1.084
8,40,1082.46,889.0,1073.05,1.158
8,45,1082.83,889.0,1073.07,1.202
8,50,1082.95,889.0,1073.07,1.217
8,55,1082.83,889.0,1073.07,1.202
8,60,1082.46,889.0,1073.05,1.158
8,65,1081.86,889.0,1073.04,1.084
8,70,1081.05,889.0,1073.03,0.985
8,75,1080.03,889.0,1073.01,0.861
8,80,1078.85,889.0,1073.01,0.715
8,85,1077.52,889.0,1073.0,0.553
8,90,1076.07,889.0,1073.0,0.376
8,95,1074.56,889.0,1073.0,0.19
8,100,1073.0,889.0,1073.0,0.0
10,0,1073.0,893.0,1073.0,0.0
10,5,1074.93,893.0,1073.0,0.187
10,10,1076.82,893.0,1073.0,0.369
10,15,1078.61,893.0,1073.01,0.543
10,20,1080.27,893.0,1073.01,0.702
10,25,1081.74,893.0,1073.02,0.845
10,30,1083.0,893.0,1073.04,0.967
10,35,1084.01,893.0,1073.07,1.065
10,40,1084.76,893.0,1073.09,1.137
10,45,1085.21,893.0,1073.11,1.18
10,50,1085.36,893.0,1073.12,1.195
10,55,1085.21,893.0,1073.11,1.18
10,60,1084.76,893.0,1073.09,1.137
10,65,1084.01,893.0,1073.07,1.065
10,70,1083.0,893.0,1073.04,0.967
10,75,1081.74,893.0,1073.02,0.845
10,80,1080.27,893.0,1073.01,0.702
10,85,1078.61,893.0,1073.01,0.543
10,90,1076.82,893.0,1073.0,0.369
10,95,1074.93,893.0,1073.0,0.187
10,100,1073.0,893.0,1073.0,0.0
12,0,1073.0,897.0,1073.0,0.0
12,5,1075.3,897.0,1073.0,0.183
12,10,1077.55,897.0,1073.0,0.361
12,15,1079.69,897.0,1073.01,0.53
12,20,1081.66,897.0,1073.02,0.687
12,25,1083.41,897.0,1073.04,0.826
12,30,1084.91,897.0,1073.07,0.945
12,35,1086.12,897.0,1073.11,1.041
12,40,1087.0,897.0,1073.15,1.111
12,45,1087.54,897.0,1073.18,1.154
12,50,1087.72,897.0,1073.19,1.168
12,55,1087.54,897.0,1073.18,1.154
12,60,1087.0,897.0,1073.15,1.111
12,65,1086.12,897.0,1073.11,1.041
12,70,1084.91,897.0,1073.07,0.945
12,75,1083.41,897.0,1073.04,0.826
12,80,1081.66,897.0,1073.02,0.687
12,85,1079.69,897.0,1073.01,0.53
12,90,1077.55,897.0,1073.0,0.361
12,95,1075.3,897.0,1073.0,0.183
12,100,1073.0,897.0,1073.0,0.0
14,0,1073.0,901.0,1073.0,0.0
14,5,1075.66,901.0,1073.0,0.178
14,10,1078.26,901.0,1073.01,0.351
14,15,1080.73,901.0,1073.01,0.516
14,20,1083.01,901.0,1073.03,0.668
14,25,1085.04,901.0,1073.06,0.804
14,30,1086.78,901.0,1073.11,0.92
14,35,1088.17,901.0,1073.17,1.013
14,40,1089.2,901.0,1073.24,1.081
14,45,1089.82,901.0,1073.28,1.123
14,50,1090.03,901.0,1073.3,1.137
14,55,1089.82,901.0,1073.28,1.123
14,60,1089.2,901.0,1073.24,1.081
14,65,1088.17,901.0,1073.17,1.013
14,70,1086.78,901.0,1073.11,0.92
14,75,1085.04,901.0,1073.06,0.804
14,80,1083.01,901.0,1073.03,0.668
14,85,1080.73,901.0,1073.01,0.516
14,90,1078.26,901.0,1073.01,0.351
14,95,1075.66,901.0,1073.0,0.178
14,100,1073.0,901.0,1073.0,0.0
16,0,1073.0,905.0,1073.0,0.0
16,5,1076.01,905.0,1073.0,0.172
16,10,1078.95,905.0,1073.01,0.34
16,15,1081.75,905.0,1073.02,0.5
16,20,1084.33,905.0,1073.05,0.647
16,25,1086.63,905.0,1073.1,0.779
16,30,1088.59,905.0,1073.17,0.891
16,35,1090.17,905.0,1073.27,0.981
16,40,1091.33,905.0,1073.37,1.047
16,45,1092.03,905.0,1073.45,1.088
16,50,1092.27,905.0,1073.47,1.101
16,55,1092.03,905.0,1073.45,1.088
16,60,1091.33,905.0,1073.37,1.047
16,65,1090.17,905.0,1073.27,0.981
16,70,1088.59,905.0,1073.17,0.891
16,75,1086.63,905.0,1073.1,0.779
16,80,1084.33,905.0,1073.05,0.647
16,85,1081.75,905.0,1073.02,0.5
16,90,1078.95,905.0,1073.01,0.34
16,95,1076.01,905.0,1073.0,0.172
16,100,1073.0,905.0,1073.0,0.0
18,0,1073.0,909.0,1073.0,0.0
18,5,1076.35,909.0,1073.0,0.166
18,10,1079.62,909.0,1073.01,0.328
18,15,1082.73,909.0,1073.03,0.482
18,20,1085.6,909.0,1073.08,0.624
18,25,1088.16,909.0,1073.15,0.75
18,30,1090.34,909.0,1073.27,0.858
18,35,1092.1,909.0,1073.42,0.945
18,40,1093.38,909.0,1073.57,1.009
18,45,1094.17,909.0,1073.69,1.048
18,50,1094.43,909.0,1073.73,1.061
18,55,1094.17,909.0,1073.69,1.048
18,60,1093.38,909.0,1073.57,1.009
18,65,1092.1,909.0,1073.42,0.945
18,70,1090.34,909.0,1073.27,0.858
18,75,1088.16,909.0,1073.15,0.75
18,80,1085.6,909.0,1073.08,0.624
18,85,1082.73,909.0,1073.03,0.482
18,90,1079.62,909.0,1073.01,0.328
18,95,1076.35,909.0,1073.0,0.166
18,100,1073.0,909.0,1073.0,0.0
20,0,1073.0,913.0,1073.0,0.0
20,5,1076.68,913.0,1073.01,0.159
20,10,1080.27,913.0,1073.02,0.314
20,15,1083.67,913.0,1073.05,0.462
20,20,1086.82,913.0,1073.12,0.598
20,25,1089.63,913.0,1073.23,0.719
20,30,1092.02,913.0,1073.4,0.822
20,35,1093.95,913.0,1073.63,0.906
20,40,1095.36,913.0,1073.86,0.967
20,45,1096.22,913.0,1074.03,1.004
20,50,1096.51,913.0,1074.1,1.017
20,55,1096.22,913.0,1074.03,1.004
20,60,1095.36,913.0,1073.86,0.967
20,65,1093.95,913.0,1073.63,0.906
20,70,1092.02,913.0,1073.4,0.822
20,75,1089.63,913.0,1073.23,0.719
20,80,1086.82,913.0,1073.12,0.598
20,85,1083.67,913.0,1073.05,0.462
20,90,1080.27,913.0,1073.02,0.314
20,95,1076.68,913.0,1073.01,0.159
20,100,1073.0,913.0,1073.0,0.0
22,0,1073.0,917.0,1073.0,0.0
22,5,1076.99,917.0,1073.01,0.151
22,10,1080.88,917.0,1073.03,0.299
22,15,1084.58,917.0,1073.08,0.44
22,20,1087.99,917.0,1073.17,0.569
22,25,1091.03,917.0,1073.34,0.685
22,30,1093.63,917.0,1073.6,0.783
22,35,1095.72,917.0,1073.92,0.863
22,40,1097.25,917.0,1074.26,0.921
22,45,1098.18,917.0,1074.52,0.956
22,50,1098.5,917.0,1074.62,0.968
22,55,1098.18,917.0,1074.52,0.956
22,60,1097.25,917.0,1074.26,0.921
22,65,1095.72,917.0,1073.92,0.863
22,70,1093.63,917.0,1073.6,0.783
22,75,1091.03,917.0,1073.34,0.685
22,80,1087.99,917.0,1073.17,0.569
22,85,1084.58,917.0,1073.08,0.44
22,90,1080.88,917.0,1073.03,0.299
22,95,1076.99,917.0,1073.01,0.151
22,100,1073.0,917.0,1073.0,0.0
24,0,1073.0,921.0,1073.0,0.0
24,5,1077.28,921.0,1073.01,0.143
24,10,1081.46,921.0,1073.04,0.283
24,15,1085.43,921.0,1073.11,0.416
24,20,1089.09,921.0,1073.25,0.538
24,25,1092.36,921.0,1073.49,0.648
24,30,1095.15,921.0,1073.86,0.741
24,35,1097.4,921.0,1074.34,0.816
24,40,1099.04,921.0,1074.83,0.871
24,45,1100.04,921.0,1075.21,0.905
24,50,1100.38,921.0,1075.35,0.916
24,55,1100.04,921.0,1075.21,0.905
24,60,1099.04,921.0,1074.83,0.871
24,65,1097.4,921.0,1074.34,0.816
24,70,1095.15,921.0,1073.86,0.741
24,75,1092.36,921.0,1073.49,0.648
24,80,1089.09,921.0,1073.25,0.538
24,85,1085.43,921.0,1073.11,0.416
24,90,1081.46,921.0,1073.04,0.283
24,95,1077.28,921.0,1073.01,0.143
24,100,1073.0,921.0,1073.0,0.0
26,0,1073.0,925.0,1073.01,0.0
26,5,1077.56,925.0,1073.02,0.135
26,10,1082.01,925.0,1073.06,0.266
26,15,1086.24,925.0,1073.16,0.391
26,20,1090.14,925.0,1073.35,0.506
26,25,1093.62,925.0,1073.7,0.608
26,30,1096.59,925.0,1074.23,0.696
26,35,1098.98,925.0,1074.9,0.766
26,40,1100.73,925.0,1075.6,0.818
26,45,1101.8,925.0,1076.13,0.85
26,50,1102.16,925.0,1076.33,0.86
26,55,1101.8,925.0,1076.13,0.85
26,60,1100.73,925.0,1075.6,0.818
26,65,1098.98,925.0,1074.9,0.766
26,70,1096.59,925.0,1074.23,0.696
26,75,1093.62,925.0,1073.7,0.608
26,80,1090.14,925.0,1073.35,0.506
26,85,1086.24,925.0,1073.16,0.391
26,90,1082.01,925.0,1073.06,0.266
26,95,1077.56,925.0,1073.02,0.135
26,100,1073.0,925.0,1073.01,0.0
28,0,1073.0,929.0,1073.01,0.0
28,5,1077.82,929.0,1073.03,0.125
28,10,1082.52,929.0,1073.08,0.248
28,15,1086.99,929.0,1073.22,0.364
28,20,1091.12,929.0,1073.49,0.471
28,25,1094.79,929.0,1073.97,0.566
28,30,1097.93,929.0,1074.71,0.648
28,35,1100.46,929.0,1075.64,0.714
28,40,1102.31,929.0,1076.61,0.762
28,45,1103.44,929.0,1077.36,0.791
28,50,1103.82,929.0,1077.64,0.801
28,55,1103.44,929.0,1077.36,0.791
28,60,1102.31,929.0,1076.61,0.762
28,65,1100.46,929.0,1075.64,0.714
28,70,1097.93,929.0,1074.71,0.648
28,75,1094.79,929.0,1073.97,0.566
28,80,1091.12,929.0,1073.49,0.471
28,85,1086.99,929.0,1073.22,0.364
28,90,1082.52,929.0,1073.08,0.248
28,95,1077.82,929.0,1073.03,0.125
28,100,1073.0,929.0,1073.01,0.0
30,0,1073.0,933.0,1073.01,0.0
30,5,1078.06,933.0,1073.04,0.116
30,10,1083.0,933.0,1073.12,0.228
30,15,1087.69,933.0,1073.3,0.335
30,20,1092.02,933.0,1073.67,0.434
30,25,1095.88,933.0,1074.33,0.522
30,30,1099.18,933.0,1075.33,0.598
30,35,1101.83,933.0,1076.6,0.658
30,40,1103.78,933.0,1077.93,0.702
30,45,1104.96,933.0,1078.94,0.73
30,50,1105.36,933.0,1079.32,0.739
30,55,1104.96,933.0,1078.94,0.73
30,60,1103.78,933.0,1077.93,0.702
30,65,1101.83,933.0,1076.6,0.658
30,70,1099.18,933.0,1075.33,0.598
30,75,1095.88,933.0,1074.33,0.522
30,80,1092.02,933.0,1073.67,0.434
30,85,1087.69,933.0,1073.3,0.335
30,90,1083.0,933.0,1073.12,0.228
30,95,1078.06,933.0,1073.04,0.116
30,100,1073.0,933.0,1073.01,0.0
32,0,1073.0,937.0,1073.02,0.0
32,5,1078.28,937.0,1073.05,0.105
32,10,1083.44,937.0,1073.15,0.208
32,15,1088.33,937.0,1073.4,0.306
32,20,1092.85,937.0,1073.89,0.396
32,25,1096.88,937.0,1074.77,0.476
32,30,1100.32,937.0,1076.11,0.545
32,35,1103.09,937.0,1077.82,0.6
32,40,1105.12,937.0,1079.58,0.64
32,45,1106.36,937.0,1080.94,0.665
32,50,1106.77,937.0,1081.45,0.673
32,55,1106.36,937.0,1080.94,0.665
32,60,1105.12,937.0,1079.58,0.64
32,65,1103.09,937.0,1077.82,0.6
32,70,1100.32,937.0,1076.11,0.545
32,75,1096.88,937.0,1074.77,0.476
32,80,1092.85,937.0,1073.89,0.396
32,85,1088.33,937.0,1073.4,0.306
32,90,1083.44,937.0,1073.15,0.208
32,95,1078.28,937.0,1073.05,0.105
32,100,1073.0,937.0,1073.02,0.0
34,0,1073.0,941.0,1073.02,0.0
34,5,1078.48,941.0,1073.07,0.095
34,10,1083.83,941.0,1073.2,0.187
34,15,1088.91,941.0,1073.52,0.275
34,20,1093.6,941.0,1074.17,0.356
34,25,1097.79,941.0,1075.32,0.428
34,30,1101.36,941.0,1077.07,0.49
34,35,1104.23,941.0,1079.31,0.539
34,40,1106.34,941.0,1081.62,0.576
34,45,1107.62,941.0,1083.4,0.598
34,50,1108.05,941.0,1084.07,0.605
34,55,1107.62,941.0,1083.4,0.598
34,60,1106.34,941.0,1081.62,0.576
34,65,1104.23,941.0,1079.31,0.539
34,70,1101.36,941.0,1077.07,0.49
34,75,1097.79,941.0,1075.32,0.428
34,80,1093.6,941.0,1074.17,0.356
34,85,1088.91,941.0,1073.52,0.275
34,90,1083.83,941.0,1073.2,0.187
34,95,1078.48,941.0,1073.07,0.095
34,100,1073.0,941.0,1073.02,0.0
36,0,1073.0,945.0,1073.03,0.0
36,5,1078.66,945.0,1073.09,0.084
36,10,1084.18,945.0,1073.26,0.165
36,15,1089.43,945.0,1073.66,0.243
36,20,1094.27,945.0,1074.5,0.314
36,25,1098.59,945.0,1075.98,0.378
36,30,1102.28,945.0,1078.23,0.433
36,35,1105.25,945.0,1081.1,0.477
36,40,1107.42,945.0,1084.07,0.509
36,45,1108.75,945.0,1086.35,0.528
36,50,1109.19,945.0,1087.22,0.535
36,55,1108.75,945.0,1086.35,0.528
36,60,1107.42,945.0,1084.07,0.509
36,65,1105.25,945.0,1081.1,0.477
36,70,1102.28,945.0,1078.23,0.433
36,75,1098.59,945.0,1075.98,0.378
36,80,1094.27,945.0,1074.5,0.314
36,85,1089.43,945.0,1073.66,0.243
36,90,1084.18,945.0,1073.26,0.165
36,95,1078.66,945.0,1073.09,0.084
36,100,1073.0,945.0,1073.03,0.0
38,0,1073.0,949.0,1073.03,0.0
38,5,1078.82,949.0,1073.11,0.072
38,10,1084.49,949.0,1073.33,0.143
38,15,1089.88,949.0,1073.84,0.21
38,20,1094.86,949.0,1074.89,0.272
38,25,1099.3,949.0,1076.75,0.327
38,30,1103.09,949.0,1079.58,0.374
38,35,1106.14,949.0,1083.19,0.412
38,40,1108.37,949.0,1086.93,0.44
38,45,1109.73,949.0,1089.81,0.457
38,50,1110.19,949.0,1090.89,0.463
38,55,1109.73,949.0,1089.81,0.457
38,60,1108.37,949.0,1086.93,0.44
38,65,1106.14,949.0,1083.19,0.412
38,70,1103.09,949.0,1079.58,0.374
38,75,1099.3,949.0,1076.75,0.327
38,80,1094.86,949.0,1074.89,0.272
38,85,1089.88,949.0,1073.84,0.21
38,90,1084.49,949.0,1073.33,0.143
38,95,1078.82,949.0,1073.11,0.072
38,100,1073.0,949.0,1073.03,0.0
40,0,1073.0,953.0,1073.04,0.0
40,5,1078.95,953.0,1073.14,0.061
40,10,1084.76,953.0,1073.4,0.12
40,15,1090.27,953.0,1074.03,0.176
40,20,1095.36,953.0,1075.33,0.228
40,25,1099.9,953.0,1077.63,0.275
40,30,1103.78,953.0,1081.12,0.314
40,35,1106.9,953.0,1085.58,0.346
40,40,1109.18,953.0,1090.19,0.369
40,45,1110.57,953.0,1093.74,0.384
40,50,1111.04,953.0,1095.07,0.388
40,55,1110.57,953.0,1093.74,0.384
40,60,1109.18,953.0,1090.19,0.369
40,65,1106.9,953.0,1085.58,0.346
40,70,1103.78,953.0,1081.12,0.314
40,75,1099.9,953.0,1077.63,0.275
40,80,1095.36,953.0,1075.33,0.228
40,85,1090.27,953.0,1074.03,0.176
40,90,1084.76,953.0,1073.4,0.12
40,95,1078.95,953.0,1073.14,0.061
40,100,1073.0,953.0,1073.04,0.0
42,0,1073.0,957.0,1073.05,0.0
42,5,1079.06,957.0,1073.17,0.049
42,10,1084.97,957.0,1073.49,0.097
42,15,1090.59,957.0,1074.25,0.142
42,20,1095.77,957.0,1075.81,0.184
42,25,1100.4,957.0,1078.59,0.221
42,30,1104.34,957.0,1082.82,0.253
42,35,1107.52,957.0,1088.21,0.278
42,40,1109.85,957.0,1093.79,0.297
42,45,1111.27,957.0,1098.07,0.309
42,50,1111.74,957.0,1099.69,0.313
42,55,1111.27,957.0,1098.07,0.309
42,60,1109.85,957.0,1093.79,0.297
42,65,1107.52,957.0,1088.21,0.278
42,70,1104.34,957.0,1082.82,0.253
42,75,1100.4,957.0,1078.59,0.221
42,80,1095.77,957.0,1075.81,0.184
42,85,1090.59,957.0,1074.25,0.142
42,90,1084.97,957.0,1073.49,0.097
42,95,1079.06,957.0,1073.17,0.049
42,100,1073.0,957.0,1073.05,0.0
44,0,1073.0,961.0,1073.06,0.0
44,5,1079.15,961.0,1073.2,0.037
44,10,1085.14,961.0,1073.58,0.073
44,15,1090.84,961.0,1074.48,0.107
44,20,1096.09,961.0,1076.33,0.138
44,25,1100.78,961.0,1079.63,0.167
44,30,1104.79,961.0,1084.64,0.19
44,35,1108.01,961.0,1091.03,0.21
44,40,1110.37,961.0,1097.64,0.224
44,45,1111.81,961.0,1102.72,0.233
44,50,1112.29,961.0,1104.64,0.235
44,55,1111.81,961.0,1102.72,0.233
44,60,1110.37,961.0,1097.64,0.224
44,65,1108.01,961.0,1091.03,0.21
44,70,1104.79,961.0,1084.64,0.19
44,75,1100.78,961.0,1079.63,0.167
44,80,1096.09,961.0,1076.33,0.138
44,85,1090.84,961.0,1074.48,0.107
44,90,1085.14,961.0,1073.58,0.073
44,95,1079.15,961.0,1073.2,0.037
44,100,1073.0,961.0,1073.06,0.0
46,0,1073.0,965.0,1073.07,0.0
46,5,1079.21,965.0,1073.23,0.025
46,10,1085.26,965.0,1073.67,0.049
46,15,1091.02,965.0,1074.72,0.072
46,20,1096.33,965.0,1076.87,0.093
46,25,1101.06,965.0,1080.7,0.111
46,30,1105.11,965.0,1086.52,0.127
46,35,1108.36,965.0,1093.94,0.14
46,40,1110.74,965.0,1101.63,0.15
46,45,1112.2,965.0,1107.53,0.156
46,50,1112.68,965.0,1109.76,0.157
46,55,1112.2,965.0,1107.53,0.156
46,60,1110.74,965.0,1101.63,0.15
46,65,1108.36,965.0,1093.94,0.14
46,70,1105.11,965.0,1086.52,0.127
46,75,1101.06,965.0,1080.7,0.111
46,80,1096.33,965.0,1076.87,0.093
46,85,1091.02,965.0,1074.72,0.072
46,90,1085.26,965.0,1073.67,0.049
46,95,1079.21,965.0,1073.23,0.025
46,100,1073.0,965.0,1073.07,0.0
48,0,1073.0,969.0,1073.08,0.0
48,5,1079.25,969.0,1073.26,0.012
48,10,1085.34,969.0,1073.77,0.024
48,15,1091.12,969.0,1074.96,0.036
48,20,1096.47,969.0,1077.41,0.046
48,25,1101.23,969.0,1081.77,0.056
48,30,1105.3,969.0,1088.4,0.064
48,35,1108.57,969.0,1096.85,0.07
48,40,1110.97,969.0,1105.6,0.075
48,45,1112.43,969.0,1112.32,0.078
48,50,1112.92,969.0,1114.86,0.079
48,55,1112.43,969.0,1112.32,0.078
48,60,1110.97,969.0,1105.6,0.075
48,65,1108.57,969.0,1096.85,0.07
48,70,1105.3,969.0,1088.4,0.064
48,75,1101.23,969.0,1081.77,0.056
48,80,1096.47,969.0,1077.41,0.046
48,85,1091.12,969.0,1074.96,0.036
48,90,1085.34,969.0,1073.77,0.024
48,95,1079.25,969.0,1073.26,0.012
48,100,1073.0,969.0,1073.08,0.0
50,0,1073.0,973.0,1073.09,0.0
50,5,1079.26,973.0,1073.3,0.0
50,10,1085.36,973.0,1073.86,0.0
50,15,1091.16,973.0,1075.19,0.0
50,20,1096.51,973.0,1077.93,0.0
50,25,1101.28,973.0,1082.79,0.0
50,30,1105.36,973.0,1090.19,0.0
50,35,1108.64,973.0,1099.62,0.0
50,40,1111.04,973.0,1109.39,0.0
50,45,1112.51,973.0,1116.9,0.0
50,50,1113.0,973.0,1119.73,0.0
50,55,1112.51,973.0,1116.9,0.0
50,60,1111.04,973.0,1109.39,0.0
50,65,1108.64,973.0,1099.62,0.0
50,70,1105.36,973.0,1090.19,0.0
50,75,1101.28,973.0,1082.79,0.0
50,80,1096.51,973.0,1077.93,0.0
50,85,1091.16,973.0,1075.19,0.0
50,90,1085.36,973.0,1073.86,0.0
50,95,1079.26,973.0,1073.3,0.0
50,100,1073.0,973.0,1073.09,0.0
52,0,1073.0,977.0,1073.1,-0.0
52,5,1079.25,977.0,1073.32,-0.012
52,10,1085.34,977.0,1073.94,-0.024
52,15,1091.12,977.0,1075.39,-0.036
52,20,1096.47,977.0,1078.39,-0.046
52,25,1101.23,977.0,1083.72,-0.056
52,30,1105.3,977.0,1091.81,-0.064
52,35,1108.57,977.0,1102.13,-0.07
52,40,1110.97,977.0,1112.82,-0.075
52,45,1112.43,977.0,1121.03,-0.078
52,50,1112.92,977.0,1124.13,-0.079
52,55,1112.43,977.0,1121.03,-0.078
52,60,1110.97,977.0,1112.82,-0.075
52,65,1108.57,977.0,1102.13,-0.07
52,70,1105.3,977.0,1091.81,-0.064
52,75,1101.23,977.0,1083.72,-0.056
52,80,1096.47,977.0,1078.39,-0.046
52,85,1091.12,977.0,1075.39,-0.036
52,90,1085.34,977.0,1073.94,-0.024
52,95,1079.25,977.0,1073.32,-0.012
52,100,1073.0,977.0,1073.1,-0.0
54,0,1073.0,981.0,1073.11,-0.0
54,5,1079.21,981.0,1073.35,-0.025
54,10,1085.26,981.0,1074.0,-0.049
54,15,1091.02,981.0,1075.56,-0.072
54,20,1096.33,981.0,1078.78,-0.093
54,25,1101.06,981.0,1084.49,-0.111
54,30,1105.11,981.0,1093.17,-0.127
54,35,1108.36,981.0,1104.24,-0.14
54,40,1110.74,981.0,1115.71,-0.15
54,45,1112.2,981.0,1124.51,-0.156
54,50,1112.68,981.0,1127.84,-0.157
54,55,1112.2,981.0,1124.51,-0.156
54,60,1110.74,981.0,1115.71,-0.15
54,65,1108.36,981.0,1104.24,-0.14
54,70,1105.11,981.0,1093.17,-0.127
54,75,1101.06,981.0,1084.49,-0.111
54,80,1096.33,981.0,1078.78,-0.093
54,85,1091.02,981.0,1075.56,-0.072
54,90,1085.26,981.0,1074.0,-0.049
54,95,1079.21,981.0,1073.35,-0.025
54,100,1073.0,981.0,1073.11,-0.0
56,0,1073.0,985.0,1073.11,-0.0
56,5,1079.15,985.0,1073.36,-0.037
56,10,1085.14,985.0,1074.06,-0.073
56,15,1090.84,985.0,1075.7,-0.107
56,20,1096.09,985.0,1079.08,-0.138
56,25,1100.78,985.0,1085.08,-0.167
56,30,1104.79,985.0,1094.21,-0.19
56,35,1108.01,985.0,1105.85,-0.21
56,40,1110.37,985.0,1117.9,-0.224
56,45,1111.81,985.0,1127.15,-0.233
56,50,1112.29,985.0,1130.65,-0.235
56,55,1111.81,985.0,1127.15,-0.233
56,60,1110.37,985.0,1117.9,-0.224
56,65,1108.01,985.0,1105.85,-0.21
56,70,1104.79,985.0,1094.21,-0.19
56,75,1100.78,985.0,1085.08,-0.167
56,80,1096.09,985.0,1079.08,-0.138
56,85,1090.84,985.0,1075.7,-0.107
56,90,1085.14,985.0,1074.06,-0.073
56,95,1079.15,985.0,1073.36,-0.037
56,100,1073.0,985.0,1073.11,-0.0
58,0,1073.0,989.0,1073.11,-0.0
58,5,1079.06,989.0,1073.38,-0.049
58,10,1084.97,989.0,1074.09,-0.097
58,15,1090.59,989.0,1075.78,-0.142
58,20,1095.77,989.0,1079.26,-0.184
58,25,1100.4,989.0,1085.45,-0.221
58,30,1104.34,989.0,1094.85,-0.253
58,35,1107.52,989.0,1106.85,-0.278
58,40,1109.85,989.0,1119.26,-0.297
58,45,1111.27,989.0,1128.8,-0.309
58,50,1111.74,989.0,1132.4,-0.313
