# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Time_s,Temperature_C,Phase,VonMises_Anode_MPa,VonMises_Electrolyte_MPa,VonMises_Cathode_MPa,VonMises_Interconnect_MPa,Max_Principal_Electrolyte_MPa,Interface_Shear_MPa,Anode_Creep_Strain_pct
3283,800.0,Dwell,44.8,33.3,39.0,26.9,39.9,10.0,0.0347
3329,800.0,Dwell,44.1,32.7,38.3,26.4,39.2,9.8,0.0364
3374,800.0,Dwell,43.4,32.2,37.7,26.0,38.6,9.6,0.0381
3420,800.0,Dwell,42.7,31.6,37.1,25.6,38.0,9.5,0.0396
3465,800.0,Dwell,42.0,31.1,36.6,25.2,37.3,9.3,0.0411
3511,800.0,Dwell,41.4,30.6,36.0,24.8,36.8,9.2,0.0426
3556,800.0,Dwell,40.8,30.2,35.5,24.5,36.2,9.0,0.044
3602,800.0,Dwell,40.2,29.7,35.0,24.1,35.7,8.9,0.0453
3648,800.0,Dwell,39.6,29.3,34.5,23.8,35.1,8.8,0.0466
3693,800.0,Dwell,39.1,28.9,34.1,23.4,34.6,8.7,0.0478
3739,800.0,Dwell,38.5,28.4,33.6,23.1,34.1,8.5,0.049
3784,800.0,Dwell,38.0,28.1,33.2,22.8,33.7,8.4,0.0502
3830,800.0,Dwell,37.6,27.7,32.8,22.5,33.2,8.3,0.0513
3875,800.0,Dwell,37.1,27.3,32.4,22.3,32.8,8.2,0.0524
3921,800.0,Dwell,36.6,27.0,32.0,22.0,32.4,8.1,0.0534
3967,800.0,Dwell,36.2,26.6,31.6,21.7,32.0,8.0,0.0544
4012,800.0,Dwell,35.8,26.3,31.2,21.5,31.6,7.9,0.0553
4058,800.0,Dwell,35.4,26.0,30.9,21.2,31.2,7.8,0.0563
4103,800.0,Dwell,35.0,25.7,30.6,21.0,30.9,7.7,0.0572
4149,800.0,Dwell,34.6,25.4,30.2,20.8,30.5,7.6,0.058
4194,800.0,Dwell,34.3,25.1,29.9,20.6,30.2,7.5,0.0588
4240,800.0,Dwell,33.9,24.9,29.6,20.4,29.9,7.5,0.0596
4286,800.0,Dwell,33.6,24.6,29.4,20.2,29.5,7.4,0.0604
4331,800.0,Dwell,33.3,24.4,29.1,20.0,29.3,7.3,0.0611
4377,800.0,Dwell,33.0,24.1,28.8,19.8,29.0,7.2,0.0618
4422,800.0,Dwell,32.7,23.9,28.6,19.6,28.7,7.2,0.0625
4468,800.0,Dwell,32.4,23.7,28.3,19.4,28.4,7.1,0.0631
4513,800.0,Dwell,32.1,23.5,28.1,19.3,28.2,7.0,0.0638
4559,800.0,Dwell,31.8,23.3,27.9,19.1,27.9,7.0,0.0644
4605,800.0,Dwell,31.6,23.1,27.6,18.9,27.7,6.9,0.065
4650,800.0,Dwell,31.3,22.9,27.4,18.8,27.5,6.9,0.0655
4696,800.0,Dwell,31.1,22.7,27.2,18.7,27.2,6.8,0.0661
4741,800.0,Dwell,30.9,22.5,27.0,18.5,27.0,6.8,0.0666
4787,800.0,Dwell,30.7,22.4,26.8,18.4,26.8,6.7,0.0671
4832,800.0,Dwell,30.4,22.2,26.7,18.3,26.6,6.7,0.0676
4878,800.0,Dwell,30.2,22.0,26.5,18.1,26.5,6.6,0.068
4924,800.0,Dwell,30.0,21.9,26.3,18.0,26.3,6.6,0.0685
4969,800.0,Dwell,29.9,21.7,26.2,17.9,26.1,6.5,0.0689
5015,800.0,Dwell,29.7,21.6,26.0,17.8,25.9,6.5,0.0693
5060,800.0,Dwell,29.5,21.5,25.9,17.7,25.8,6.4,0.0697
5106,800.0,Dwell,29.3,21.3,25.7,17.6,25.6,6.4,0.0701
5151,800.0,Dwell,29.2,21.2,25.6,17.5,25.5,6.4,0.0705
5197,800.0,Dwell,29.0,21.1,25.4,17.4,25.3,6.3,0.0708
5243,800.0,Dwell,28.9,21.0,25.3,17.3,25.2,6.3,0.0712
5288,800.0,Dwell,28.7,20.9,25.2,17.2,25.0,6.3,0.0715
5334,800.0,Dwell,28.6,20.8,25.1,17.2,24.9,6.2,0.0718
5379,800.0,Dwell,28.5,20.7,25.0,17.1,24.8,6.2,0.0721
5425,800.0,Dwell,28.3,20.6,24.8,17.0,24.7,6.2,0.0724
5470,800.0,Dwell,28.2,20.5,24.7,16.9,24.6,6.1,0.0727
5516,800.0,Dwell,28.1,20.4,24.6,16.8,24.5,6.1,0.073
5562,800.0,Dwell,28.0,20.3,24.5,16.8,24.3,6.1,0.0732
5607,800.0,Dwell,27.9,20.2,24.4,16.7,24.2,6.1,0.0735
5653,800.0,Dwell,27.7,20.1,24.4,16.6,24.1,6.0,0.0737
5698,800.0,Dwell,27.6,20.0,24.3,16.6,24.0,6.0,0.074
5744,800.0,Dwell,27.5,20.0,24.2,16.5,24.0,6.0,0.0742
5789,800.0,Dwell,27.5,19.9,24.1,16.5,23.9,6.0,0.0744
5835,800.0,Dwell,27.4,19.8,24.0,16.4,23.8,5.9,0.0746
5881,800.0,Dwell,27.3,19.8,23.9,16.4,23.7,5.9,0.0748
5926,800.0,Dwell,27.2,19.7,23.9,16.3,23.6,5.9,0.075
5972,800.0,Dwell,27.1,19.6,23.8,16.3,23.6,5.9,0.0752
6017,800.0,Dwell,27.0,19.6,23.7,16.2,23.5,5.9,0.0754
6063,800.0,Dwell,27.0,19.5,23.7,16.2,23.4,5.9,0.0755
6108,800.0,Dwell,26.9,19.5,23.6,16.1,23.3,5.8,0.0757
6154,800.0,Dwell,26.8,19.4,23.6,16.1,23.3,5.8,0.0759
6200,800.0,Dwell,26.7,19.3,23.5,16.0,23.2,5.8,0.076
6200,800.0,Cooling,25.0,18.0,22.0,15.0,23.4,6.3,0.08
6252,784.5,Cooling,26.7,19.4,23.6,16.0,25.2,6.8,0.08
6304,769.0,Cooling,28.4,20.8,25.1,17.0,27.0,7.3,0.08
6356,753.5,Cooling,30.1,22.2,26.7,18.0,28.9,7.8,0.08
6408,738.0,Cooling,31.8,23.6,28.2,19.0,30.7,8.3,0.08
6460,722.5,Cooling,33.5,25.0,29.8,20.0,32.5,8.8,0.08
6512,707.0,Cooling,35.2,26.4,31.4,21.0,34.3,9.2,0.08
6564,691.5,Cooling,36.9,27.8,32.9,22.0,36.1,9.7,0.08
6616,676.0,Cooling,38.6,29.2,34.5,23.0,38.0,10.2,0.08
6668,660.5,Cooling,40.3,30.6,36.0,24.0,39.8,10.7,0.08
6720,645.0,Cooling,42.0,32.0,37.6,25.0,41.6,11.2,0.08
6772,629.5,Cooling,43.7,33.4,39.2,26.0,43.4,11.7,0.08
6824,614.0,Cooling,45.4,34.8,40.7,27.0,45.2,12.2,0.08
6876,598.5,Cooling,47.1,36.2,42.3,28.0,47.1,12.7,0.08
6928,583.0,Cooling,48.8,37.6,43.8,29.0,48.9,13.2,0.08
6980,567.5,Cooling,50.5,39.0,45.4,30.0,50.7,13.6,0.08
7032,552.0,Cooling,52.2,40.4,47.0,31.0,52.5,14.1,0.08
7084,536.5,Cooling,53.9,41.8,48.5,32.0,54.3,14.6,0.08
7136,521.0,Cooling,55.6,43.2,50.1,33.0,56.2,15.1,0.08
7188,505.5,Cooling,57.3,44.6,51.6,34.0,58.0,15.6,0.08
7240,490.0,Cooling,59.0,46.0,53.2,35.0,59.8,16.1,0.08
7292,474.5,Cooling,60.7,47.4,54.8,36.0,61.6,16.6,0.08
7344,459.0,Cooling,62.4,48.8,56.3,37.0,63.4,17.1,0.08
7396,443.5,Cooling,64.1,50.2,57.9,38.0,65.3,17.6,0.08
7448,428.0,Cooling,65.8,51.6,59.4,39.0,67.1,18.1,0.08
7500,412.5,Cooling,67.5,53.0,61.0,40.0,68.9,18.5,0.08
7552,397.0,Cooling,69.2,54.4,62.6,41.0,70.7,19.0,0.08
7604,381.5,Cooling,70.9,55.8,64.1,42.0,72.5,19.5,0.08
7656,366.0,Cooling,72.6,57.2,65.7,43.0,74.4,20.0,0.08
7708,350.5,Cooling,74.3,58.6,67.2,44.0,76.2,20.5,0.08
7760,335.0,Cooling,76.0,60.0,68.8,45.0,78.0,21.0,0.08
7812,319.5,Cooling,77.7,61.4,70.4,46.0,79.8,21.5,0.08
7864,304.0,Cooling,79.4,62.8,71.9,47.0,81.6,22.0,0.08
7916,288.5,Cooling,81.1,64.2,73.5,48.0,83.5,22.5,0.08
7968,273.0,Cooling,82.8,65.6,75.0,49.0,85.3,23.0,0.08
8020,257.5,Cooling,84.5,67.0,76.6,50.0,87.1,23.4,0.08
8072,242.0,Cooling,86.2,68.4,78.2,51.0,88.9,23.9,0.08
8124,226.5,Cooling,87.9,69.8,79.7,52.0,90.7,24.4,0.08
8176,211.0,Cooling,89.6,71.2,81.3,53.0,92.6,24.9,0.08
8228,195.5,Cooling,91.3,72.6,82.8,54.0,94.4,25.4,0.08
8280,180.0,Cooling,93.0,74.0,84.4,55.0,96.2,25.9,0.08
8332,164.5,Cooling,94.7,75.4,86.0,56.0,98.0,26.4,0.08
8384,149.0,Cooling,96.4,76.8,87.5,57.0,99.8,26.9,0.08
8436,133.5,Cooling,98.1,78.2,89.1,58.0,101.7,27.4,0.08
8488,118.0,Cooling,99.8,79.6,90.6,59.0,103.5,27.9,0.08
8540,102.5,Cooling,101.5,81.0,92.2,60.0,105.3,28.4,0.08
8592,87.0,Cooling,103.2,82.4,93.8,61.0,107.1,28.8,0.08
8644,71.5,Cooling,104.9,83.8,95.3,62.0,108.9,29.3,0.08
8696,56.0,Cooling,106.6,85.2,96.9,63.0,110.8,29.8,0.08
8748,40.5,Cooling,108.3,86.6,98.4,64.0,112.6,30.3,0.08
8800,25.0,Cooling,110.0,88.0,100.0,65.0,114.4,30.8,0.08
