# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Current_Density_A_per_cm2,Voltage_750C_V,Power_750C_W_per_cm2,Voltage_800C_V,Power_800C_W_per_cm2,Voltage_850C_V,Power_850C_W_per_cm2
0.33,0.7516,0.248,0.9085,0.2998,1.0054,0.3318
0.34,0.7425,0.2525,0.902,0.3067,1.0008,0.3403
0.35,0.7335,0.2567,0.8956,0.3135,0.9962,0.3487
0.36,0.7246,0.2608,0.8893,0.3202,0.9917,0.357
0.37,0.7157,0.2648,0.8831,0.3267,0.9873,0.3653
0.38,0.707,0.2686,0.8769,0.3332,0.9829,0.3735
0.39,0.6983,0.2723,0.8708,0.3396,0.9786,0.3817
0.4,0.6896,0.2759,0.8648,0.3459,0.9743,0.3897
0.41,0.6811,0.2792,0.8588,0.3521,0.9701,0.3978
0.42,0.6726,0.2825,0.8529,0.3582,0.9659,0.4057
0.43,0.6642,0.2856,0.847,0.3642,0.9618,0.4136
0.44,0.6558,0.2885,0.8412,0.3701,0.9577,0.4214
0.45,0.6474,0.2913,0.8354,0.3759,0.9537,0.4292
0.46,0.6391,0.294,0.8296,0.3816,0.9497,0.4368
0.47,0.6309,0.2965,0.8239,0.3872,0.9457,0.4445
0.48,0.6227,0.2989,0.8183,0.3928,0.9417,0.452
0.49,0.6146,0.3011,0.8126,0.3982,0.9378,0.4595
0.5,0.6064,0.3032,0.8071,0.4035,0.9339,0.467
0.51,0.5984,0.3052,0.8015,0.4088,0.9301,0.4743
0.52,0.5903,0.307,0.796,0.4139,0.9262,0.4816
0.53,0.5823,0.3086,0.7905,0.419,0.9224,0.4889
0.54,0.5743,0.3101,0.785,0.4239,0.9187,0.4961
0.55,0.5663,0.3115,0.7796,0.4288,0.9149,0.5032
0.56,0.5584,0.3127,0.7742,0.4336,0.9112,0.5103
0.57,0.5505,0.3138,0.7688,0.4382,0.9075,0.5173
0.58,0.5426,0.3147,0.7635,0.4428,0.9038,0.5242
0.59,0.5348,0.3155,0.7581,0.4473,0.9001,0.5311
0.6,0.5269,0.3161,0.7528,0.4517,0.8965,0.5379
0.61,0.5191,0.3166,0.7475,0.456,0.8929,0.5446
0.62,0.5113,0.317,0.7423,0.4602,0.8893,0.5513
0.63,0.5035,0.3172,0.737,0.4643,0.8857,0.558
0.64,0.4957,0.3173,0.7318,0.4683,0.8821,0.5645
0.65,0.4879,0.3172,0.7266,0.4723,0.8785,0.5711
0.66,0.4802,0.3169,0.7214,0.4761,0.875,0.5775
0.67,0.4725,0.3165,0.7162,0.4798,0.8715,0.5839
0.68,0.4647,0.316,0.711,0.4835,0.868,0.5902
0.69,0.457,0.3153,0.7059,0.487,0.8645,0.5965
0.7,0.4493,0.3145,0.7007,0.4905,0.861,0.6027
0.71,0.4416,0.3135,0.6956,0.4939,0.8575,0.6088
0.72,0.4339,0.3124,0.6905,0.4971,0.8541,0.6149
0.73,0.4262,0.3111,0.6853,0.5003,0.8506,0.621
0.74,0.4185,0.3097,0.6802,0.5034,0.8472,0.6269
0.75,0.4108,0.3081,0.6752,0.5064,0.8438,0.6328
0.76,0.4031,0.3063,0.6701,0.5093,0.8403,0.6387
0.77,0.3954,0.3044,0.665,0.5121,0.8369,0.6444
0.78,0.3877,0.3024,0.6599,0.5147,0.8335,0.6502
0.79,0.3799,0.3002,0.6549,0.5174,0.8302,0.6558
0.8,0.3722,0.2978,0.6498,0.5199,0.8268,0.6614
0.81,0.3645,0.2953,0.6448,0.5223,0.8234,0.667
0.82,0.3568,0.2926,0.6397,0.5246,0.8201,0.6725
0.83,0.3491,0.2897,0.6347,0.5268,0.8167,0.6779
0.84,0.3413,0.2867,0.6297,0.5289,0.8134,0.6832
0.85,0.3336,0.2835,0.6246,0.5309,0.81,0.6885
0.86,0.3258,0.2802,0.6196,0.5329,0.8067,0.6938
0.87,0.318,0.2767,0.6146,0.5347,0.8034,0.6989
0.88,0.3102,0.273,0.6096,0.5364,0.8001,0.7041
0.89,0.3024,0.2692,0.6045,0.538,0.7967,0.7091
0.9,0.2946,0.2651,0.5995,0.5396,0.7934,0.7141
0.91,0.2868,0.2609,0.5945,0.541,0.7901,0.719
0.92,0.2789,0.2566,0.5895,0.5423,0.7868,0.7239
0.93,0.271,0.252,0.5844,0.5435,0.7835,0.7287
0.94,0.2631,0.2473,0.5794,0.5446,0.7803,0.7334
0.95,0.2552,0.2424,0.5744,0.5457,0.777,0.7381
0.96,0.2472,0.2373,0.5694,0.5466,0.7737,0.7427
0.97,0.2392,0.232,0.5643,0.5474,0.7704,0.7473
0.98,0.2312,0.2266,0.5593,0.5481,0.7671,0.7518
0.99,0.2232,0.2209,0.5542,0.5487,0.7639,0.7562
1.0,0.2151,0.2151,0.5492,0.5492,0.7606,0.7606
1.01,0.207,0.209,0.5441,0.5496,0.7573,0.7649
1.02,0.1988,0.2028,0.5391,0.5499,0.7541,0.7692
1.03,0.1906,0.1963,0.534,0.55,0.7508,0.7733
1.04,0.1824,0.1897,0.5289,0.5501,0.7476,0.7775
1.05,0.1741,0.1828,0.5239,0.5501,0.7443,0.7815
1.06,0.1657,0.1757,0.5188,0.5499,0.741,0.7855
1.07,0.1574,0.1684,0.5137,0.5496,0.7378,0.7894
1.08,0.1489,0.1608,0.5086,0.5492,0.7345,0.7933
1.09,0.1404,0.1531,0.5034,0.5488,0.7313,0.7971
1.1,0.1319,0.1451,0.4983,0.5481,0.728,0.8008
1.11,0.1232,0.1368,0.4932,0.5474,0.7248,0.8045
1.12,0.1145,0.1283,0.488,0.5466,0.7215,0.8081
1.13,0.1058,0.1195,0.4828,0.5456,0.7183,0.8116
1.14,0.0969,0.1105,0.4777,0.5445,0.715,0.8151
1.15,0.088,0.1012,0.4725,0.5433,0.7117,0.8185
1.16,0.079,0.0916,0.4672,0.542,0.7085,0.8218
1.17,0.0699,0.0818,0.462,0.5405,0.7052,0.8251
1.18,0.0607,0.0716,0.4568,0.539,0.702,0.8283
1.19,0.0513,0.0611,0.4515,0.5373,0.6987,0.8315
1.2,0.0419,0.0503,0.4462,0.5354,0.6954,0.8345
1.21,0.0323,0.0391,0.4409,0.5335,0.6922,0.8375
1.22,0.0226,0.0276,0.4356,0.5314,0.6889,0.8405
1.23,0.0128,0.0157,0.4302,0.5291,0.6856,0.8433
1.24,0.0028,0.0035,0.4248,0.5268,0.6823,0.8461
