# SYNTHETIC/ILLUSTRATIVE DATA - NOT ACTUAL MEASUREMENTS
# Based on published literature ranges for educational purposes only
# DO NOT use directly in publications - cite original sources
Material,Temperature_C,Thermal_Conductivity_W_per_mK,Specific_Heat_J_per_kgK,CTE_1e-6_per_K,Density_kg_per_m3
GDC,675,3.5,503.3,12.67,7220
GDC,700,3.42,507.7,12.7,7220
GDC,725,3.35,512.1,12.73,7220
GDC,750,3.27,516.4,12.77,7220
GDC,775,3.19,520.8,12.8,7220
GDC,800,3.12,525.1,12.83,7220
GDC,825,3.04,529.5,12.87,7220
GDC,850,2.96,533.8,12.9,7220
GDC,875,2.88,538.2,12.93,7220
GDC,900,2.81,542.6,12.97,7220
GDC,925,2.73,546.9,13.0,7220
GDC,950,2.65,551.3,13.03,7220
GDC,975,2.58,555.6,13.07,7220
GDC,1000,2.5,560.0,13.1,7220
Ni-YSZ,25,11.0,450.0,12.5,4460
Ni-YSZ,50,10.82,452.6,12.56,4460
Ni-YSZ,75,10.64,455.1,12.62,4460
Ni-YSZ,100,10.46,457.7,12.68,4460
Ni-YSZ,125,10.28,460.3,12.74,4460
Ni-YSZ,150,10.1,462.8,12.79,4460
Ni-YSZ,175,9.92,465.4,12.85,4460
Ni-YSZ,200,9.74,467.9,12.91,4460
Ni-YSZ,225,9.56,470.5,12.97,4460
Ni-YSZ,250,9.38,473.1,13.03,4460
Ni-YSZ,275,9.21,475.6,13.09,4460
Ni-YSZ,300,9.03,478.2,13.15,4460
Ni-YSZ,325,8.85,480.8,13.21,4460
Ni-YSZ,350,8.67,483.3,13.27,4460
Ni-YSZ,375,8.49,485.9,13.33,4460
Ni-YSZ,400,8.31,488.5,13.38,4460
Ni-YSZ,425,8.13,491.0,13.44,4460
Ni-YSZ,450,7.95,493.6,13.5,4460
Ni-YSZ,475,7.77,496.2,13.56,4460
Ni-YSZ,500,7.59,498.7,13.62,4460
Ni-YSZ,525,7.41,501.3,13.68,4460
Ni-YSZ,550,7.23,503.8,13.74,4460
Ni-YSZ,575,7.05,506.4,13.8,4460
Ni-YSZ,600,6.87,509.0,13.86,4460
Ni-YSZ,625,6.69,511.5,13.92,4460
Ni-YSZ,650,6.51,514.1,13.97,4460
Ni-YSZ,675,6.33,516.7,14.03,4460
Ni-YSZ,700,6.15,519.2,14.09,4460
Ni-YSZ,725,5.97,521.8,14.15,4460
Ni-YSZ,750,5.79,524.4,14.21,4460
Ni-YSZ,775,5.62,526.9,14.27,4460
Ni-YSZ,800,5.44,529.5,14.33,4460
Ni-YSZ,825,5.26,532.1,14.39,4460
Ni-YSZ,850,5.08,534.6,14.45,4460
Ni-YSZ,875,4.9,537.2,14.51,4460
Ni-YSZ,900,4.72,539.7,14.56,4460
Ni-YSZ,925,4.54,542.3,14.62,4460
Ni-YSZ,950,4.36,544.9,14.68,4460
Ni-YSZ,975,4.18,547.4,14.74,4460
Ni-YSZ,1000,4.0,550.0,14.8,4460
LSCF,25,3.5,450.0,14.0,6300
LSCF,50,3.47,453.1,14.07,6300
LSCF,75,3.45,456.2,14.14,6300
LSCF,100,3.42,459.2,14.22,6300
LSCF,125,3.4,462.3,14.29,6300
LSCF,150,3.37,465.4,14.36,6300
LSCF,175,3.35,468.5,14.43,6300
LSCF,200,3.32,471.5,14.5,6300
LSCF,225,3.29,474.6,14.57,6300
LSCF,250,3.27,477.7,14.65,6300
LSCF,275,3.24,480.8,14.72,6300
LSCF,300,3.22,483.8,14.79,6300
LSCF,325,3.19,486.9,14.86,6300
LSCF,350,3.17,490.0,14.93,6300
LSCF,375,3.14,493.1,15.01,6300
LSCF,400,3.12,496.2,15.08,6300
LSCF,425,3.09,499.2,15.15,6300
LSCF,450,3.06,502.3,15.22,6300
LSCF,475,3.04,505.4,15.29,6300
LSCF,500,3.01,508.5,15.36,6300
LSCF,525,2.99,511.5,15.44,6300
LSCF,550,2.96,514.6,15.51,6300
LSCF,575,2.94,517.7,15.58,6300
LSCF,600,2.91,520.8,15.65,6300
LSCF,625,2.88,523.8,15.72,6300
LSCF,650,2.86,526.9,15.79,6300
LSCF,675,2.83,530.0,15.87,6300
LSCF,700,2.81,533.1,15.94,6300
LSCF,725,2.78,536.2,16.01,6300
LSCF,750,2.76,539.2,16.08,6300
LSCF,775,2.73,542.3,16.15,6300
LSCF,800,2.71,545.4,16.23,6300
LSCF,825,2.68,548.5,16.3,6300
LSCF,850,2.65,551.5,16.37,6300
LSCF,875,2.63,554.6,16.44,6300
LSCF,900,2.6,557.7,16.51,6300
LSCF,925,2.58,560.8,16.58,6300
LSCF,950,2.55,563.8,16.66,6300
LSCF,975,2.53,566.9,16.73,6300
LSCF,1000,2.5,570.0,16.8,6300
LSM,25,3.0,470.0,11.2,6500
LSM,50,2.99,471.8,11.23,6500
LSM,75,2.97,473.6,11.25,6500
LSM,100,2.96,475.4,11.28,6500
LSM,125,2.95,477.2,11.3,6500
LSM,150,2.94,479.0,11.33,6500
LSM,175,2.92,480.8,11.35,6500
LSM,200,2.91,482.6,11.38,6500
LSM,225,2.9,484.4,11.41,6500
LSM,250,2.88,486.2,11.43,6500
LSM,275,2.87,487.9,11.46,6500
LSM,300,2.86,489.7,11.48,6500
LSM,325,2.85,491.5,11.51,6500
LSM,350,2.83,493.3,11.53,6500
LSM,375,2.82,495.1,11.56,6500
LSM,400,2.81,496.9,11.58,6500
LSM,425,2.79,498.7,11.61,6500
LSM,450,2.78,500.5,11.64,6500
LSM,475,2.77,502.3,11.66,6500
LSM,500,2.76,504.1,11.69,6500
LSM,525,2.74,505.9,11.71,6500
LSM,550,2.73,507.7,11.74,6500
LSM,575,2.72,509.5,11.76,6500
LSM,600,2.71,511.3,11.79,6500
LSM,625,2.69,513.1,11.82,6500
LSM,650,2.68,514.9,11.84,6500
LSM,675,2.67,516.7,11.87,6500
LSM,700,2.65,518.5,11.89,6500
LSM,725,2.64,520.3,11.92,6500
LSM,750,2.63,522.1,11.94,6500
LSM,775,2.62,523.8,11.97,6500
LSM,800,2.6,525.6,11.99,6500
LSM,825,2.59,527.4,12.02,6500
LSM,850,2.58,529.2,12.05,6500
LSM,875,2.56,531.0,12.07,6500
LSM,900,2.55,532.8,12.1,6500
LSM,925,2.54,534.6,12.12,6500
LSM,950,2.53,536.4,12.15,6500
LSM,975,2.51,538.2,12.17,6500
LSM,1000,2.5,540.0,12.2,6500
Crofer22APU,25,22.0,460.0,10.0,7700
Crofer22APU,50,22.15,465.1,10.06,7700
Crofer22APU,75,22.31,470.3,10.13,7700
Crofer22APU,100,22.46,475.4,10.19,7700
Crofer22APU,125,22.62,480.5,10.26,7700
Crofer22APU,150,22.77,485.6,10.32,7700
Crofer22APU,175,22.92,490.8,10.38,7700
Crofer22APU,200,23.08,495.9,10.45,7700
Crofer22APU,225,23.23,501.0,10.51,7700
Crofer22APU,250,23.38,506.2,10.58,7700
Crofer22APU,275,23.54,511.3,10.64,7700
Crofer22APU,300,23.69,516.4,10.71,7700
Crofer22APU,325,23.85,521.5,10.77,7700
Crofer22APU,350,24.0,526.7,10.83,7700
Crofer22APU,375,24.15,531.8,10.9,7700
Crofer22APU,400,24.31,536.9,10.96,7700
Crofer22APU,425,24.46,542.1,11.03,7700
Crofer22APU,450,24.62,547.2,11.09,7700
Crofer22APU,475,24.77,552.3,11.15,7700
Crofer22APU,500,24.92,557.4,11.22,7700
Crofer22APU,525,25.08,562.6,11.28,7700
Crofer22APU,550,25.23,567.7,11.35,7700
Crofer22APU,575,25.38,572.8,11.41,7700
Crofer22APU,600,25.54,577.9,11.47,7700
Crofer22APU,625,25.69,583.1,11.54,7700
Crofer22APU,650,25.85,588.2,11.6,7700
Crofer22APU,675,26.0,593.3,11.67,7700
Crofer22APU,700,26.15,598.5,11.73,7700
Crofer22APU,725,26.31,603.6,11.79,7700
Crofer22APU,750,26.46,608.7,11.86,7700
Crofer22APU,775,26.62,613.8,11.92,7700
Crofer22APU,800,26.77,619.0,11.99,7700
Crofer22APU,825,26.92,624.1,12.05,7700
Crofer22APU,850,27.08,629.2,12.12,7700
Crofer22APU,875,27.23,634.4,12.18,7700
Crofer22APU,900,27.38,639.5,12.24,7700
Crofer22APU,925,27.54,644.6,12.31,7700
Crofer22APU,950,27.69,649.7,12.37,7700
Crofer22APU,975,27.85,654.9,12.44,7700
Crofer22APU,1000,28.0,660.0,12.5,7700
