technique,anode_material,anode_symbol,cathode_material,cathode_symbol,tab_thickness_um,surface_coating,power_W,pulse_energy_J,amplitude_um,force_N,weld_time_ms,speed_mm_s,pulse_frequency_Hz,preheat_temp_C,ambient_humidity_pct,clamp_area_mm2,linear_energy_density_J_per_mm,total_energy_input_J
USW,Copper,Cu,Copper,Cu,199.9,Oxide,842.11,,59.27,971.77,273.6,,,71.5,17.1,16.61,,183.392
USW,Copper,Cu,Aluminum,Al,216.9,Oxide,2521.58,,43.6,1020.14,453.7,,,55.8,33.9,6.22,,810.923
USW,Nickel,Ni,Copper,Cu,207.8,Nickel-plated,1471.15,,47.9,431.82,525.9,,,115.5,28.9,14.15,,566.87
USW,Copper,Cu,Aluminum,Al,132.2,Nickel-plated,657.4,,53.29,340.93,206.1,,,104.6,27.1,11.96,,103.323
USW,Copper,Cu,Aluminum,Al,90.8,Bare,771.23,,47.4,663.01,479.1,,,104.4,59.1,23.91,,269.728
USW,Copper,Cu,Copper,Cu,50.5,Bare,1212.41,,41.17,646.92,365.5,,,53.8,65.5,18.53,,308.119
USW,Nickel,Ni,Copper,Cu,89.6,Bare,985.17,,20.38,712.66,481.1,,,33.0,59.2,6.53,,274.844
USW,Copper,Cu,Aluminum,Al,244.9,Nickel-plated,801.05,,23.74,388.86,189.7,,,52.9,60.7,9.94,,90.962
USW,Aluminum,Al,Aluminum,Al,151.7,Tin-plated,2336.92,,37.09,1066.36,387.0,,,25.7,78.2,6.65,,608.451
USW,Aluminum,Al,Aluminum,Al,237.0,Nickel-plated,1401.41,,18.33,810.92,126.8,,,14.0,13.6,21.26,,101.029
USW,Aluminum,Al,Aluminum,Al,56.1,Oxide,2181.48,,25.16,698.7,325.3,,,29.5,79.6,16.73,,430.282
USW,Nickel,Ni,Aluminum,Al,166.6,Nickel-plated,2495.18,,24.35,371.58,430.2,,,118.7,31.4,19.54,,646.167
USW,Copper,Cu,Aluminum,Al,129.1,Nickel-plated,1062.95,,46.81,888.14,327.0,,,-0.2,10.2,10.12,,252.616
USW,Nickel,Ni,Aluminum,Al,175.5,Carbon-coated,1689.12,,44.14,1103.83,513.3,,,92.4,53.8,12.93,,617.263
USW,Copper,Cu,Aluminum,Al,155.2,Bare,1977.36,,46.49,1139.81,350.2,,,30.0,62.4,6.61,,502.046
USW,Copper,Cu,Aluminum,Al,100.9,Bare,2523.82,,52.62,753.96,575.4,,,-4.8,40.2,5.92,,1102.197
USW,Copper,Cu,Copper,Cu,196.4,Nickel-plated,2432.15,,23.17,764.6,417.4,,,25.0,12.8,17.68,,604.398
USW,Copper,Cu,Aluminum,Al,177.4,Oxide,1987.35,,27.97,1142.45,506.8,,,35.2,33.3,10.93,,626.505
USW,Aluminum,Al,Aluminum,Al,243.4,Nickel-plated,2576.24,,44.59,719.72,306.6,,,30.9,32.6,14.81,,564.342
USW,Copper,Cu,Aluminum,Al,197.2,Bare,2455.35,,34.72,883.16,160.7,,,88.3,53.8,15.53,,260.254
USW,Copper,Cu,Copper,Cu,151.2,Nickel-plated,2584.51,,56.08,634.52,158.7,,,21.1,21.1,5.96,,319.268
USW,Aluminum,Al,Aluminum,Al,90.2,Oxide,1087.46,,39.81,552.77,560.9,,,83.2,45.6,24.59,,419.564
USW,Nickel,Ni,Aluminum,Al,203.8,Nickel-plated,1615.48,,51.92,446.98,249.3,,,102.3,29.3,23.62,,304.096
USW,StainlessSteel,SS304,Nickel,Ni,148.5,Bare,1686.86,,35.49,487.87,194.3,,,53.7,20.4,15.59,,217.606
USW,Aluminum,Al,Aluminum,Al,39.6,Tin-plated,2222.82,,32.37,846.87,510.4,,,20.4,64.3,18.81,,733.456
USW,Aluminum,Al,Aluminum,Al,159.8,Oxide,1480.61,,38.67,629.77,461.2,,,-5.2,45.2,22.36,,465.382
USW,Copper,Cu,Copper,Cu,243.2,Bare,1899.67,,53.33,1044.96,529.7,,,10.1,42.9,18.55,,767.673
USW,Copper,Cu,Aluminum,Al,221.9,Bare,1862.32,,56.44,1197.3,473.4,,,83.4,63.2,5.44,,687.846
USW,Copper,Cu,Aluminum,Al,127.6,Tin-plated,691.98,,50.83,458.04,287.4,,,72.4,71.1,22.97,,148.976
USW,Aluminum,Al,Aluminum,Al,67.4,Bare,1839.42,,25.84,1108.47,171.6,,,63.6,65.5,22.29,,192.563
USW,Copper,Cu,Aluminum,Al,207.0,Carbon-coated,915.95,,34.88,512.84,393.8,,,23.2,10.7,18.23,,238.21
USW,Aluminum,Al,Aluminum,Al,73.8,Bare,1074.41,,40.74,753.55,596.3,,,22.5,69.2,14.15,,444.007
USW,StainlessSteel,SS304,Nickel,Ni,154.5,Tin-plated,698.09,,42.29,671.56,552.1,,,75.6,29.2,19.64,,270.397
USW,Nickel,Ni,Copper,Cu,170.1,Tin-plated,2041.86,,44.66,1030.25,414.1,,,68.9,34.7,18.23,,604.418
USW,Copper,Cu,Copper,Cu,157.5,Tin-plated,1190.22,,48.64,334.42,166.1,,,30.2,40.9,5.89,,145.658
USW,StainlessSteel,SS304,Nickel,Ni,212.7,Bare,1563.7,,51.29,933.89,269.4,,,59.0,73.9,21.32,,316.578
USW,StainlessSteel,SS304,Nickel,Ni,219.2,Tin-plated,2534.54,,51.21,534.06,495.3,,,8.3,77.7,24.58,,943.036
USW,Aluminum,Al,Aluminum,Al,177.9,Nickel-plated,2480.58,,19.88,395.51,112.5,,,49.1,57.1,21.27,,161.063
USW,Aluminum,Al,Aluminum,Al,43.9,Oxide,1204.38,,33.37,296.77,573.1,,,109.0,25.5,23.1,,450.105
USW,Aluminum,Al,Aluminum,Al,59.8,Nickel-plated,2086.28,,57.57,590.08,471.1,,,2.6,72.1,18.08,,773.059
USW,Aluminum,Al,Aluminum,Al,119.8,Anodized,1341.06,,34.95,1148.08,527.7,,,2.9,44.3,4.69,,467.688
USW,Copper,Cu,Copper,Cu,108.9,Bare,844.32,,53.16,627.45,431.4,,,60.8,78.4,7.99,,277.543
USW,Aluminum,Al,Aluminum,Al,83.6,Bare,737.22,,49.43,367.52,208.0,,,-7.2,65.1,15.86,,113.657
USW,Copper,Cu,Aluminum,Al,30.6,Oxide,859.98,,26.28,333.22,430.5,,,9.2,73.0,7.04,,226.837
USW,Copper,Cu,Aluminum,Al,101.2,Bare,2083.44,,38.67,932.95,338.1,,,92.7,26.7,5.1,,480.103
USW,Aluminum,Al,Aluminum,Al,238.0,Bare,2333.96,,38.47,630.94,582.0,,,4.2,45.3,20.45,,924.202
USW,Aluminum,Al,Aluminum,Al,137.9,Carbon-coated,761.58,,42.37,218.97,237.5,,,42.2,58.0,5.54,,126.992
USW,Aluminum,Al,Aluminum,Al,146.7,Nickel-plated,798.36,,46.58,1045.43,425.5,,,32.3,79.6,16.71,,246.41
USW,Nickel,Ni,Copper,Cu,80.3,Bare,1431.98,,19.28,598.1,432.6,,,18.0,41.6,13.52,,355.399
USW,Copper,Cu,Aluminum,Al,213.0,Bare,2077.59,,51.53,734.19,393.2,,,110.0,14.7,6.03,,615.136
USW,Copper,Cu,Aluminum,Al,176.4,Tin-plated,2042.12,,58.58,780.43,275.8,,,5.9,34.8,22.23,,446.161
USW,Copper,Cu,Aluminum,Al,53.8,Oxide,2125.21,,40.83,997.58,522.6,,,75.4,25.7,11.72,,770.22
USW,Nickel,Ni,Copper,Cu,35.8,Carbon-coated,1134.9,,23.12,887.83,254.5,,,69.8,55.0,21.42,,171.879
USW,Copper,Cu,Aluminum,Al,118.2,Bare,661.31,,48.58,375.89,309.9,,,103.1,49.6,17.3,,150.953
USW,Copper,Cu,Aluminum,Al,154.9,Bare,914.82,,42.8,857.67,236.1,,,83.8,64.4,5.1,,152.124
USW,Aluminum,Al,Aluminum,Al,196.1,Bare,1166.49,,45.53,660.96,433.6,,,47.5,29.1,13.03,,363.95
USW,Copper,Cu,Aluminum,Al,96.3,Bare,1111.04,,29.77,158.12,473.5,,,67.9,10.5,6.88,,332.502
USW,Copper,Cu,Aluminum,Al,213.3,Oxide,2323.53,,16.9,169.68,560.6,,,81.5,45.0,5.51,,730.165
USW,Aluminum,Al,Aluminum,Al,121.9,Bare,1249.54,,51.06,799.03,516.0,,,64.5,59.7,4.44,,483.796
USW,Copper,Cu,Aluminum,Al,159.6,Nickel-plated,1220.55,,30.28,499.72,184.1,,,99.8,27.0,12.31,,142.633
USW,Copper,Cu,Aluminum,Al,106.9,Tin-plated,2230.07,,25.63,303.77,198.6,,,56.3,73.4,21.2,,269.8
USW,Nickel,Ni,Copper,Cu,200.0,Nickel-plated,2119.75,,35.2,1120.36,382.2,,,75.2,22.4,19.84,,536.58
USW,Copper,Cu,Copper,Cu,63.2,Bare,1205.64,,27.36,208.98,353.7,,,102.4,53.9,13.29,,263.798
USW,Aluminum,Al,Aluminum,Al,46.9,Oxide,1830.02,,37.82,635.85,377.2,,,-2.6,68.2,21.96,,467.108
USW,Nickel,Ni,Aluminum,Al,173.4,Bare,901.72,,17.78,258.68,549.6,,,48.5,66.7,13.99,,280.22
USW,Nickel,Ni,Copper,Cu,84.5,Nickel-plated,1645.5,,22.14,541.49,241.4,,,55.6,22.1,13.23,,234.282
USW,Copper,Cu,Aluminum,Al,172.4,Bare,1956.76,,27.79,909.92,428.3,,,67.7,65.2,5.98,,520.456
USW,Nickel,Ni,Aluminum,Al,61.1,Bare,1996.96,,32.64,774.79,569.0,,,33.3,50.8,24.32,,736.293
USW,Copper,Cu,Aluminum,Al,177.4,Oxide,1970.83,,38.69,828.33,311.7,,,92.9,66.9,19.51,,418.715
USW,Copper,Cu,Aluminum,Al,238.5,Nickel-plated,875.13,,18.47,1036.65,150.6,,,13.4,25.0,8.76,,75.015
USW,Nickel,Ni,Copper,Cu,104.1,Oxide,1353.44,,22.3,1022.91,485.5,,,104.9,12.6,6.75,,388.094
USW,Copper,Cu,Aluminum,Al,178.8,Bare,1169.86,,48.68,621.37,367.0,,,46.9,38.8,13.33,,316.484
USW,Nickel,Ni,Copper,Cu,110.9,Carbon-coated,1523.36,,27.68,550.97,363.7,,,51.0,68.5,24.67,,343.782
USW,Nickel,Ni,Copper,Cu,85.0,Tin-plated,1709.08,,19.62,1038.19,525.6,,,94.2,19.7,22.36,,517.083
USW,Nickel,Ni,Copper,Cu,62.4,Nickel-plated,1044.08,,35.3,517.06,113.3,,,25.5,73.4,23.87,,78.427
USW,Aluminum,Al,Aluminum,Al,112.5,Bare,2278.35,,44.25,980.95,168.8,,,20.7,79.6,23.55,,274.013
USW,Nickel,Ni,Copper,Cu,185.2,Nickel-plated,758.45,,26.52,1026.71,374.4,,,80.5,19.7,4.11,,174.35
USW,Aluminum,Al,Aluminum,Al,96.3,Bare,2187.8,,35.57,266.4,552.6,,,4.5,30.2,12.82,,803.059
USW,Copper,Cu,Aluminum,Al,61.6,Nickel-plated,1081.13,,33.75,847.59,142.8,,,57.0,26.9,16.91,,100.995
USW,Copper,Cu,Aluminum,Al,247.4,Nickel-plated,1540.27,,43.61,1180.09,226.8,,,58.4,45.5,12.2,,247.676
USW,Nickel,Ni,Copper,Cu,168.2,Oxide,1265.04,,17.0,723.31,506.8,,,34.8,61.3,19.44,,359.69
USW,Nickel,Ni,Copper,Cu,169.0,Oxide,2152.38,,35.6,458.11,121.9,,,50.4,58.7,5.33,,174.332
USW,Copper,Cu,Aluminum,Al,247.6,Nickel-plated,2106.58,,23.6,524.82,490.4,,,111.3,46.1,9.32,,617.569
USW,Copper,Cu,Aluminum,Al,225.7,Tin-plated,1373.29,,58.82,671.01,348.8,,,6.2,35.8,22.79,,380.014
USW,Aluminum,Al,Aluminum,Al,47.4,Nickel-plated,1690.95,,29.45,234.07,430.5,,,94.1,60.9,21.27,,458.788
USW,Copper,Cu,Copper,Cu,107.3,Bare,1305.12,,59.92,438.28,590.0,,,45.4,58.3,22.27,,615.674
USW,Copper,Cu,Aluminum,Al,206.2,Tin-plated,885.56,,42.34,970.38,117.4,,,72.9,35.4,24.01,,72.972
USW,Nickel,Ni,Copper,Cu,154.8,Nickel-plated,2497.65,,31.74,951.24,387.0,,,37.6,36.8,18.26,,621.457
USW,Copper,Cu,Aluminum,Al,55.0,Tin-plated,1373.97,,40.28,424.87,230.1,,,74.4,27.5,14.48,,218.319
USW,StainlessSteel,SS304,Nickel,Ni,138.1,Bare,1504.09,,55.44,617.37,143.9,,,27.1,74.2,21.91,,167.662
USW,Nickel,Ni,Copper,Cu,44.3,Nickel-plated,2302.72,,47.03,1123.69,418.9,,,31.5,34.3,22.72,,702.107
USW,Aluminum,Al,Aluminum,Al,60.6,Oxide,1708.04,,31.6,993.84,375.8,,,5.8,24.1,4.55,,412.261
USW,Copper,Cu,Aluminum,Al,188.2,Nickel-plated,2246.68,,18.32,1171.0,421.2,,,30.2,80.0,20.15,,537.874
USW,Copper,Cu,Copper,Cu,201.7,Tin-plated,2532.53,,34.47,1106.25,127.7,,,34.8,71.5,7.82,,212.861
USW,Copper,Cu,Aluminum,Al,186.1,Bare,2389.85,,53.07,413.14,417.5,,,11.4,32.6,23.76,,759.832
USW,Copper,Cu,Aluminum,Al,140.6,Bare,908.39,,44.64,906.66,402.6,,,29.4,47.3,23.77,,261.352
USW,Aluminum,Al,Aluminum,Al,40.0,Tin-plated,1902.26,,49.51,587.42,419.5,,,97.3,12.0,16.11,,591.901
USW,Copper,Cu,Copper,Cu,136.2,Oxide,1194.87,,18.28,212.91,319.8,,,27.7,77.0,18.38,,217.138
USW,Copper,Cu,Aluminum,Al,188.0,Tin-plated,2550.75,,20.88,539.07,380.8,,,68.9,31.9,22.08,,566.021
USW,Aluminum,Al,Aluminum,Al,51.3,Bare,1830.75,,26.17,1058.57,179.8,,,24.8,27.4,12.07,,201.53
USW,Aluminum,Al,Aluminum,Al,139.6,Nickel-plated,1217.08,,16.04,1142.49,352.7,,,30.7,63.4,14.47,,238.598
USW,Copper,Cu,Aluminum,Al,138.9,Carbon-coated,1541.17,,39.15,1039.53,315.5,,,35.9,13.5,17.74,,332.634
USW,Nickel,Ni,Copper,Cu,118.1,Nickel-plated,1706.45,,18.31,679.47,482.2,,,89.3,35.6,8.09,,467.695
USW,StainlessSteel,SS304,Nickel,Ni,244.5,Bare,1278.17,,57.25,942.71,199.5,,,78.5,18.3,20.69,,200.133
USW,Aluminum,Al,Aluminum,Al,103.3,Nickel-plated,1812.52,,38.2,494.36,406.5,,,-4.1,19.6,13.6,,500.231
USW,StainlessSteel,SS304,Nickel,Ni,104.0,Oxide,2017.48,,28.49,1006.54,284.2,,,86.1,30.9,15.18,,358.298
USW,StainlessSteel,SS304,Nickel,Ni,189.6,Tin-plated,1549.18,,58.52,972.05,488.1,,,65.9,65.8,4.56,,598.676
USW,Nickel,Ni,Copper,Cu,168.4,Nickel-plated,895.55,,45.63,183.15,574.1,,,65.9,21.9,21.66,,370.273
USW,Copper,Cu,Aluminum,Al,181.9,Nickel-plated,2441.04,,54.28,922.63,131.1,,,30.8,20.6,20.27,,245.917
USW,Copper,Cu,Aluminum,Al,145.6,Bare,2424.25,,30.4,522.0,486.0,,,32.3,56.4,7.64,,748.825
USW,Copper,Cu,Copper,Cu,72.3,Bare,1049.73,,58.78,462.5,244.5,,,80.1,52.7,15.72,,203.592
USW,Nickel,Ni,Copper,Cu,235.4,Oxide,843.75,,45.45,548.68,590.1,,,31.2,34.4,9.74,,358.053
USW,StainlessSteel,SS304,Nickel,Ni,93.3,Tin-plated,1484.75,,26.54,653.03,201.0,,,94.6,30.3,11.27,,183.303
USW,Nickel,Ni,Aluminum,Al,165.4,Nickel-plated,1939.67,,38.9,819.84,126.2,,,80.5,19.6,9.09,,167.191
USW,Nickel,Ni,Copper,Cu,31.1,Nickel-plated,1413.81,,57.08,1072.32,338.7,,,3.1,64.0,23.51,,375.337
USW,StainlessSteel,SS304,Nickel,Ni,229.7,Bare,1670.3,,47.54,1133.5,556.6,,,31.8,55.2,16.06,,679.418
USW,Nickel,Ni,Aluminum,Al,249.4,Bare,2473.22,,58.3,1122.34,538.4,,,12.9,74.4,14.4,,1052.602
USW,Aluminum,Al,Aluminum,Al,92.6,Anodized,1587.82,,57.24,1043.61,334.0,,,3.9,78.8,15.41,,416.134
USW,Copper,Cu,Aluminum,Al,86.6,Bare,2181.54,,40.55,945.15,187.7,,,11.1,42.1,19.47,,283.405
USW,Nickel,Ni,Aluminum,Al,49.1,Tin-plated,881.22,,29.56,410.45,230.4,,,97.5,46.1,7.88,,128.09
USW,Nickel,Ni,Copper,Cu,189.0,Bare,1985.54,,17.8,274.14,253.4,,,114.0,31.1,17.73,,284.542
USW,Aluminum,Al,Aluminum,Al,98.4,Bare,1190.08,,42.66,380.09,166.8,,,106.4,59.2,23.24,,139.666
USW,Nickel,Ni,Copper,Cu,150.8,Nickel-plated,1928.19,,24.83,409.84,477.4,,,68.7,39.1,15.29,,556.512
USW,Copper,Cu,Aluminum,Al,47.2,Nickel-plated,1695.3,,37.75,751.34,174.9,,,48.1,59.3,5.3,,200.579
USW,Aluminum,Al,Aluminum,Al,158.3,Bare,2217.38,,35.4,688.91,328.4,,,5.1,24.4,14.72,,483.049
USW,Aluminum,Al,Aluminum,Al,117.1,Oxide,1756.62,,17.04,511.76,131.9,,,94.9,60.6,19.66,,130.038
USW,Nickel,Ni,Aluminum,Al,37.0,Nickel-plated,2131.66,,59.02,828.17,310.2,,,-1.0,75.4,20.15,,525.378
USW,Copper,Cu,Aluminum,Al,112.6,Tin-plated,1678.6,,44.41,515.16,189.2,,,103.1,73.5,17.9,,226.608
USW,Aluminum,Al,Aluminum,Al,30.8,Bare,1947.0,,39.5,708.53,511.7,,,84.6,25.6,10.27,,683.532
USW,Copper,Cu,Aluminum,Al,189.5,Bare,1438.48,,49.47,1077.94,107.8,,,25.8,75.6,21.0,,115.01
USW,Copper,Cu,Aluminum,Al,184.7,Bare,1404.53,,25.55,378.13,531.9,,,-5.6,51.8,19.55,,454.626
USW,Aluminum,Al,Aluminum,Al,190.9,Bare,1945.06,,29.43,466.85,171.6,,,27.6,67.1,16.56,,210.369
USW,Copper,Cu,Aluminum,Al,238.7,Oxide,1851.99,,34.22,670.4,586.1,,,29.1,14.3,23.14,,712.978
USW,Copper,Cu,Copper,Cu,121.6,Bare,2108.83,,36.31,1041.81,250.4,,,92.2,32.3,11.91,,352.894
USW,Nickel,Ni,Copper,Cu,242.9,Nickel-plated,1085.72,,24.15,829.04,561.1,,,108.9,49.4,6.82,,366.034
USW,Copper,Cu,Aluminum,Al,89.1,Tin-plated,2347.24,,23.47,949.78,462.2,,,84.2,23.3,16.66,,647.66
USW,Aluminum,Al,Aluminum,Al,240.5,Bare,2524.16,,20.28,1199.55,339.5,,,103.0,33.3,23.68,,496.399
USW,Copper,Cu,Copper,Cu,151.5,Oxide,1667.3,,31.17,424.64,356.4,,,16.6,74.1,11.99,,380.203
USW,Copper,Cu,Aluminum,Al,214.7,Carbon-coated,1427.86,,40.31,382.34,173.0,,,117.6,42.9,11.78,,170.561
USW,Nickel,Ni,Aluminum,Al,63.5,Bare,2266.73,,37.47,837.34,442.4,,,65.3,39.2,11.98,,676.75
USW,Nickel,Ni,Copper,Cu,137.9,Bare,938.53,,47.41,662.73,558.4,,,115.6,54.9,20.69,,382.651
USW,Copper,Cu,Copper,Cu,216.3,Carbon-coated,2128.68,,33.56,1034.67,215.7,,,-2.4,12.4,18.03,,299.897
USW,Copper,Cu,Aluminum,Al,165.9,Tin-plated,1566.41,,36.95,156.94,375.8,,,55.7,36.1,16.95,,395.578
USW,Aluminum,Al,Aluminum,Al,33.8,Oxide,2212.34,,55.94,262.37,148.2,,,25.7,78.4,18.15,,254.825
USW,Copper,Cu,Aluminum,Al,88.8,Bare,1412.05,,40.43,1189.74,212.9,,,58.4,67.1,11.83,,207.836
USW,Nickel,Ni,Copper,Cu,197.1,Bare,1705.4,,17.53,159.92,185.7,,,75.0,70.1,11.96,,178.616
USW,Aluminum,Al,Aluminum,Al,218.8,Bare,685.1,,24.51,1061.52,543.8,,,92.0,49.6,15.09,,224.59
USW,Copper,Cu,Aluminum,Al,227.8,Nickel-plated,2457.53,,29.15,1159.54,393.5,,,-0.3,74.8,4.69,,607.929
USW,Nickel,Ni,Copper,Cu,65.7,Bare,1378.31,,55.34,498.32,477.8,,,41.8,15.4,21.53,,509.815
USW,StainlessSteel,SS304,Nickel,Ni,244.4,Bare,2277.35,,30.33,957.46,577.4,,,84.1,45.1,13.18,,835.225
USW,Nickel,Ni,Copper,Cu,248.4,Nickel-plated,2482.29,,34.43,863.68,430.3,,,-6.1,29.1,11.47,,702.846
USW,Copper,Cu,Copper,Cu,48.0,Bare,1867.8,,48.28,482.51,153.3,,,93.7,59.9,18.95,,210.397
USW,Copper,Cu,Aluminum,Al,59.2,Bare,1709.48,,33.36,177.57,277.0,,,36.8,28.9,13.43,,308.696
