sample_id,anode_material,cathode_material,tab_thickness_um,surface_coating,welding_technique,tab_width_mm,overlap_length_mm,preheat_celsius,usw_power_w,usw_amplitude_um,usw_force_n,usw_time_ms,laser_power_w,laser_speed_mm_s,laser_pulse_frequency_hz,laser_energy_per_pulse_j,laser_spot_diameter_mm,rsw_current_ka,rsw_voltage_v,rsw_weld_time_ms,rsw_squeeze_time_ms,rsw_hold_time_ms,rsw_force_n,effective_energy_j,energy_density_j_mm2,peak_temperature_c,fused_area_mm2,nugget_diameter_mm,porosity_pct,spatter_mass_mg,intermetallic_thickness_um,hardness_hv,bond_integrity_score,immediate_shear_strength_n,joint_resistance_mohm,cycles_to_failure,resistance_growth_pct_1000,retained_strength_pct_1000,delamination_probability,failure_mode
22,Copper,Aluminum,72.038,bare,USW,2.976,6.095,28.934,1835.982491,24.110348,481.773759,313.918283,,,,,,,,,,,,283.895838,15.651965,51860.387,17.157919,4.673986,35.0,25.0,9.335676,350.0,0.0,518.295625,4.4037,85,21.09678,40.988343,0.906673,interfacial_delamination
23,Copper,Copper,100.633,silver_plated,USW,10.107,7.397,39.738,1698.318927,30.710344,732.145218,299.138882,,,,,,,,,,,,331.176658,4.430105,8976.146,69.166233,9.384305,8.65444,0.687661,0.262125,261.873664,0.715871,2926.964383,1.345218,2671,9.327736,80.98486,0.106655,pullout
24,Copper,Copper,119.433,brushed,Laser,8.205,6.349,43.332,,,,,799.238203,41.735195,254.619299,0.371553,0.170785,,,,,,,2783.40703,53.431749,90859.453,52.092755,8.144112,35.0,25.0,12.0,350.0,0.0,1457.63393,3.481276,135,16.046376,36.093308,0.993676,interfacial_delamination
25,Aluminum,StainlessSteel,118.459,bare,Laser,5.418,6.872,61.558,,,,,349.552136,46.172361,297.147504,0.981362,0.141547,,,,,,,1232.475231,33.105466,65574.289,37.228754,6.884847,35.0,25.0,12.0,350.0,0.0,1043.59856,12.904466,293,18.619489,37.622772,1.0,interfacial_delamination
26,Copper,Copper,206.267,bare,RSW,8.692,7.52,57.959,,,,,,,,,,14.885112,2.242362,286.138469,77.119957,77.271584,1576.352152,7344.912127,112.369781,110645.747,62.842726,8.945046,35.0,25.0,12.0,350.0,0.0,1750.521047,3.172743,50,16.18183,27.932072,0.95347,interfacial_delamination
27,Aluminum,Nickel,115.924,tin_plated,USW,4.017,4.717,33.419,1447.173518,16.618481,472.264467,169.629888,,,,,,,,,,,,99.103521,5.229602,10369.312,17.053971,4.659806,10.9049,0.376572,3.526173,329.031943,0.609435,829.459706,3.722603,2289,11.158889,68.837223,0.26989,mixed
28,Copper,Aluminum,34.916,nickel_plated,USW,2.16,5.323,56.259,1595.440632,20.347819,568.756074,200.291735,,,,,,,,,,,,151.804934,13.201724,90254.236,11.120329,3.762824,35.0,25.0,8.108879,350.0,0.0,367.680708,4.752878,294,13.187665,33.065566,0.889322,interfacial_delamination
29,Copper,Copper,131.138,graphite_coated,Laser,7.429,2.0,20.0,,,,,671.250808,26.97816,141.231365,0.637507,0.321138,,,,,,,533.996905,35.941808,55656.213,13.821682,4.195034,35.0,25.0,8.851057,350.0,0.0,436.625302,4.296675,128,12.783918,35.612842,0.958044,interfacial_delamination
30,Copper,Copper,110.716,nickel_plated,USW,8.629,9.552,30.769,974.163504,14.411915,997.762812,298.334477,,,,,,,,,,,,126.059262,1.529498,2835.086,48.945188,7.894235,9.656463,0.0,0.518156,142.304202,0.457461,2229.468583,1.612383,2007,12.948623,82.226479,0.13426,mixed
31,Copper,StainlessSteel,91.771,nickel_plated,RSW,7.276,7.126,20.0,,,,,,,,,,11.045312,1.0,92.379991,135.274744,144.715819,1748.367891,26893.846777,518.661009,1079711.537,51.15284,8.070305,35.0,25.0,12.0,350.0,0.0,1408.79455,9.545485,357,16.451792,39.384743,0.918096,interfacial_delamination
32,Aluminum,Aluminum,108.47,tin_plated,USW,4.59,6.495,57.077,1122.073297,27.915043,890.754417,268.755714,,,,,,,,,,,,206.122366,6.914462,18591.994,29.810326,6.160819,35.0,4.797579,0.905252,350.0,0.475403,1475.367319,3.424605,1605,11.568645,62.049866,0.463542,porosity_cracking
33,Copper,Copper,106.934,bare,USW,8.237,8.531,45.599,1678.79567,19.379996,823.985431,387.838775,,,,,,,,,,,,327.444959,4.659599,8891.074,67.190718,9.249318,10.669208,0.63784,0.439158,262.179399,0.695534,2987.250632,1.158897,2648,7.264471,79.168966,0.141691,tearing
34,Copper,StainlessSteel,147.705,brushed,Laser,3.159,6.987,23.292,,,,,577.864631,56.303423,54.620304,1.025191,0.329453,,,,,,,295.441859,13.386748,17337.556,20.361458,5.091661,35.0,25.0,10.168007,350.0,0.0,588.915946,17.532316,281,21.901646,41.102704,0.923035,interfacial_delamination
35,Copper,Nickel,161.354,graphite_coated,USW,5.456,6.429,64.445,1064.83091,37.186842,550.708269,209.473904,,,,,,,,,,,,113.200535,3.227174,3896.127,27.71107,5.939935,5.290098,1.289276,1.093279,169.752981,0.623029,1424.477196,2.253546,2519,15.118571,69.482567,0.123094,tearing
36,Copper,StainlessSteel,125.194,nickel_plated,Laser,5.223,2.0,45.827,,,,,427.723902,28.466223,0.0,0.0,0.226957,,,,,,,246.817868,23.629882,36103.698,10.445159,3.646805,35.0,25.0,12.0,350.0,0.0,331.674181,25.0,185,16.24237,29.755968,0.963819,interfacial_delamination
37,Aluminum,StainlessSteel,72.651,nickel_plated,RSW,5.212,5.809,20.0,,,,,,,,,,9.599592,4.320356,161.021213,73.002067,84.599675,3033.083699,118037.277253,3898.495999,12579094.388,30.277645,6.208921,35.0,25.0,12.0,350.0,0.0,863.209466,13.874033,175,21.127917,34.287957,0.926514,interfacial_delamination
38,Copper,Nickel,124.619,silver_plated,RSW,3.928,4.398,65.208,,,,,,,,,,8.865899,1.724223,173.653353,138.098899,141.104418,2513.34425,13441.987021,777.98069,1196061.11,17.278047,4.690319,35.0,25.0,12.0,350.0,0.0,536.528214,5.164555,135,15.155371,33.256116,0.983108,interfacial_delamination
39,Copper,Aluminum,90.459,brushed,USW,4.747,7.698,70.639,1179.227991,32.577304,1262.286854,192.624515,,,,,,,,,,,,183.933016,5.033539,13344.775,36.54149,6.821002,11.987899,0.762156,3.627921,350.0,0.621455,1630.692178,1.971452,2313,10.707964,76.58009,0.285003,mixed
40,Copper,Titanium,152.87,nickel_plated,Laser,4.419,6.991,55.844,,,,,927.127786,73.113712,203.424672,0.958988,0.145478,,,,,,,1423.104539,46.06667,74062.404,30.892282,6.271625,35.0,25.0,12.0,350.0,0.0,876.995302,9.143751,72,18.485353,44.183438,0.929248,interfacial_delamination
41,Copper,StainlessSteel,168.4,tin_plated,USW,7.601,10.601,30.591,1590.177263,34.701482,774.614659,529.919633,,,,,,,,,,,,504.630225,6.262565,7135.084,80.147106,10.101805,27.928428,3.161243,2.67325,254.16885,0.467531,4187.386408,6.470537,1606,18.51897,64.605133,0.46082,porosity_cracking
42,Copper,Aluminum,106.315,bare,Laser,3.375,6.997,25.096,,,,,1015.704531,67.983827,269.96913,0.472172,0.372156,,,,,,,470.73114,19.935048,44756.238,20.935358,5.162918,35.0,25.0,12.0,350.0,0.0,600.00449,3.974624,50,17.09589,42.718422,0.998863,interfacial_delamination
43,Aluminum,Aluminum,105.604,nickel_plated,RSW,5.802,7.81,42.943,,,,,,,,,,2.326265,2.795343,148.705127,100.921571,90.308557,981.956015,175.888745,3.881742,10730.731,35.111296,6.686187,4.001013,0.0,0.674713,301.852319,0.653226,1658.280032,1.446895,2645,8.993866,75.522841,0.119897,mixed
44,Aluminum,Nickel,121.589,silver_plated,Laser,6.34,5.862,48.358,,,,,514.528091,66.545134,0.0,0.0,0.281258,,,,,,,386.045342,10.388078,19623.144,35.917697,6.762531,35.0,15.426043,9.074596,350.0,0.0,1012.827468,3.964011,231,18.979345,41.758283,0.903562,interfacial_delamination
45,Copper,Copper,155.882,silver_plated,Laser,5.459,6.558,20.0,,,,,520.061801,45.293139,339.974544,0.43319,0.226031,,,,,,,884.665587,24.714309,32203.943,35.795683,6.751035,35.0,25.0,6.287081,350.0,0.0,1049.304905,2.930908,278,14.066064,27.294972,0.929688,interfacial_delamination
46,Copper,Copper,164.014,graphite_coated,Laser,4.887,8.757,20.0,,,,,760.753673,43.962039,226.917079,0.977893,0.157052,,,,,,,2568.691031,60.021249,74306.639,42.796361,7.381735,35.0,25.0,12.0,350.0,0.0,1216.313303,3.462844,50,15.841171,33.039919,0.924121,interfacial_delamination
47,Aluminum,StainlessSteel,191.56,gold_plated,USW,3.651,8.328,39.449,1154.175386,21.388771,556.836237,303.333344,,,,,,,,,,,,153.418434,5.045585,6213.926,27.766839,5.945909,13.66724,0.0,3.319092,243.318663,0.611414,1316.954187,10.443289,2161,13.879704,78.975069,0.304923,tearing
48,Copper,Aluminum,99.871,nickel_plated,Laser,9.04,9.308,71.302,,,,,499.510314,60.594102,0.0,0.0,0.188483,,,,,,,1377.817067,16.373828,39182.107,84.147521,10.350843,35.0,25.0,12.0,350.0,0.0,2338.459546,3.460392,174,20.022227,46.96344,0.992989,interfacial_delamination
49,Aluminum,Titanium,111.883,brushed,Laser,4.557,6.355,53.982,,,,,923.373474,54.323054,0.0,0.0,0.263565,,,,,,,814.988287,28.143484,79248.169,28.482812,6.02208,35.0,25.0,12.0,350.0,0.0,784.29786,10.025268,206,16.910001,34.794657,0.968869,interfacial_delamination
50,Copper,StainlessSteel,113.27,oxide_heavy,RSW,5.582,4.185,47.11,,,,,,,,,,8.69323,1.616997,138.639067,88.71865,87.617754,926.986346,112181.140193,4802.853182,8100444.462,20.375984,5.093477,35.0,25.0,12.0,350.0,0.0,587.235461,25.0,50,15.72577,39.549196,0.931321,interfacial_delamination
51,Copper,Aluminum,100.458,bare,RSW,6.893,5.71,42.077,,,,,,,,,,11.609731,3.020787,171.497935,79.973307,77.93426,1068.089008,5404.358393,137.30356,326091.329,34.990146,6.674641,35.0,25.0,12.0,350.0,0.0,1001.304672,3.884637,148,13.849559,35.678524,0.979974,interfacial_delamination
52,Copper,Copper,160.968,tin_plated,USW,6.247,5.604,24.934,1311.124573,14.808599,1053.237476,316.133938,,,,,,,,,,,,177.619829,5.073407,6422.984,35.009968,6.676532,14.655234,1.479427,1.738598,228.82419,0.639695,1948.269651,1.517163,2223,9.535821,81.35423,0.193466,pullout
53,Copper,Nickel,164.087,nickel_plated,RSW,6.614,6.68,65.674,,,,,,,,,,4.832466,2.930555,123.032961,63.03393,100.635156,2301.648429,1518.45437,34.3663,40189.685,44.184401,7.500488,35.0,25.0,12.0,350.0,0.0,1214.805565,3.957961,232,11.574855,39.665946,0.976566,interfacial_delamination
54,Aluminum,Aluminum,132.686,bare,USW,8.096,5.697,35.211,1429.930446,39.611194,728.516198,244.653284,,,,,,,,,,,,195.515922,4.238822,9324.03,42.110995,7.322389,7.610147,0.587103,0.752823,274.810263,0.736935,1992.632006,1.441038,3016,8.980797,81.509241,0.111463,tearing
55,Copper,Nickel,89.835,nickel_plated,USW,5.595,8.997,20.0,1657.94368,22.961315,1211.979542,310.881428,,,,,,,,,,,,336.039084,6.675341,14255.561,50.340363,8.005957,35.0,2.180435,3.078804,350.0,0.396767,2495.293957,3.439296,1372,12.232586,60.478601,0.63065,porosity_cracking
56,Copper,Aluminum,159.008,nickel_plated,USW,5.013,5.1,38.768,1147.887756,36.589755,100.0,248.662464,,,,,,,,,,,,112.270476,4.391412,6627.049,20.611039,5.122772,7.558865,0.69555,2.8623,246.113222,0.596239,1075.094942,1.599085,2426,15.189978,74.25292,0.217161,tearing
57,Copper,Aluminum,101.683,tin_plated,Laser,8.092,5.357,33.405,,,,,689.929266,28.621454,203.831629,0.720792,0.243072,,,,,,,2148.18894,49.557101,116297.039,43.347752,7.429137,35.0,25.0,12.0,350.0,0.0,1237.383708,3.434573,183,16.802961,41.136144,0.96203,interfacial_delamination
58,Copper,Copper,171.822,brushed,RSW,2.719,3.996,20.176,,,,,,,,,,12.766864,1.970417,266.498115,50.0,106.249371,2132.047485,29748.372214,2738.440432,3235308.141,10.863253,3.719076,35.0,25.0,12.0,350.0,0.0,351.898569,4.612405,102,18.314312,40.488862,0.91102,interfacial_delamination
59,Copper,Titanium,73.29,oxide_heavy,USW,8.547,6.642,24.322,1591.774241,32.176952,1172.347434,324.233779,,,,,,,,,,,,417.776602,7.359156,24684.068,56.769632,8.501843,35.0,5.561211,3.041322,350.0,0.443697,2814.071875,10.210179,1447,11.578516,69.853185,0.607849,porosity_cracking
60,Copper,Aluminum,154.208,silver_plated,Laser,7.087,5.337,58.721,,,,,329.247872,24.35377,77.543624,1.597636,0.243595,,,,,,,960.685901,25.396657,39346.323,37.827258,6.939968,35.0,25.0,12.0,350.0,0.0,1068.438567,3.291192,50,18.084699,40.79304,0.97425,interfacial_delamination
61,Aluminum,StainlessSteel,100.465,nickel_plated,RSW,8.195,8.059,35.534,,,,,,,,,,11.859006,3.591026,256.926966,101.75208,83.455656,1787.960517,101466.887406,1536.533839,3585297.708,65.510472,9.132936,35.0,25.0,12.0,350.0,0.0,1811.335008,7.984345,274,17.388669,47.197769,0.982611,interfacial_delamination
62,Aluminum,Titanium,120.043,brushed,USW,6.781,5.34,20.0,943.450193,23.267797,805.334657,275.633051,,,,,,,,,,,,148.076387,4.089194,10744.522,33.258173,6.507351,6.57919,0.0,2.219532,321.124825,0.715207,1827.905521,6.654708,2915,11.018697,85.449739,0.114347,mixed
63,Aluminum,StainlessSteel,148.255,brushed,RSW,7.003,11.185,20.0,,,,,,,,,,11.539696,3.078252,170.380516,111.099194,58.216102,1314.048859,42929.545853,548.10583,866682.576,72.247474,9.591055,35.0,25.0,12.0,350.0,0.0,2023.946633,7.111202,304,20.494657,35.705147,0.96924,interfacial_delamination
64,Copper,Aluminum,102.764,brushed,USW,7.075,5.348,56.054,1170.33471,20.9687,695.218131,263.436297,,,,,,,,,,,,155.924754,4.121341,9623.235,33.97859,6.577453,7.736808,0.328835,2.890214,306.02619,0.651749,1753.43057,1.535286,2610,15.207281,85.831381,0.202832,mixed
65,Copper,Nickel,197.296,gold_plated,USW,5.391,2.0,20.0,1584.669057,31.997902,575.5657,230.360449,,,,,,,,,,,,184.435309,17.105436,16629.743,10.446825,3.647096,35.0,25.0,6.344749,350.0,0.0,328.819982,5.649301,188,11.218223,40.328929,0.822518,interfacial_delamination
66,Copper,Aluminum,83.553,brushed,Laser,5.495,4.523,49.04,,,,,1111.322664,15.2764,0.0,0.0,0.194406,,,,,,,4133.29852,166.316158,474899.402,24.852056,5.625177,35.0,25.0,12.0,350.0,0.0,727.055302,3.911636,298,18.915509,36.199176,0.947927,interfacial_delamination
67,Copper,Nickel,62.832,bare,Laser,4.564,8.639,36.413,,,,,171.032908,72.562681,127.271172,1.507292,0.163305,,,,,,,360.128447,9.134197,27887.032,39.426392,7.085142,35.0,9.749282,6.114511,350.0,0.038916,1132.451554,3.867446,407,15.086728,41.745541,0.847805,interfacial_delamination
68,Copper,Nickel,105.771,bare,USW,4.103,3.953,44.83,1512.056348,43.404347,735.594118,393.229952,,,,,,,,,,,,302.035362,18.622093,33774.218,16.219195,4.544328,35.0,25.0,6.909161,350.0,0.0,466.49566,5.821268,307,15.870037,38.98394,0.925258,interfacial_delamination
69,Copper,Aluminum,142.468,bare,USW,4.047,6.045,26.979,1418.770714,27.398641,1059.827345,340.089618,,,,,,,,,,,,330.477732,13.508137,22645.46,24.465086,5.581211,35.0,25.0,7.778858,350.0,0.0,709.361675,3.906499,257,17.869577,38.621121,0.904932,interfacial_delamination
70,Copper,Copper,185.527,tin_plated,Laser,2.0,5.97,20.0,,,,,705.457276,68.789926,0.0,0.0,0.263057,,,,,,,192.844402,16.152262,17693.124,11.748345,3.867617,35.0,25.0,4.385585,350.0,0.288043,465.213905,4.263005,993,8.58384,46.394638,0.726061,interfacial_delamination
71,Copper,Aluminum,146.993,silver_plated,USW,8.373,2.201,30.631,994.097258,26.480522,855.582253,241.368162,,,,,,,,,,,,148.277418,8.046097,13088.591,18.428489,4.843953,35.0,7.130182,5.022382,350.0,0.11179,624.720111,3.756454,576,16.238758,58.820676,0.809145,interfacial_delamination
72,Aluminum,Titanium,116.199,graphite_coated,USW,7.106,10.802,59.851,1335.286283,32.667824,310.606432,274.546108,,,,,,,,,,,,169.169209,2.203883,6031.115,47.474155,7.774701,7.702595,0.638614,0.964767,211.002468,0.564252,2363.999053,4.350247,2356,10.488631,92.606086,0.181727,mixed
73,Copper,Aluminum,176.944,brushed,RSW,7.053,2.0,65.501,,,,,,,,,,10.244393,2.465033,269.216815,78.159705,71.712471,1758.356523,19969.727831,1415.659981,1908639.155,13.935809,4.212318,35.0,25.0,12.0,350.0,0.0,436.557578,4.331414,226,16.769906,32.814315,0.94948,interfacial_delamination
74,Aluminum,Nickel,172.502,bare,Laser,4.769,7.851,33.963,,,,,498.075706,54.994026,0.0,0.0,0.223366,,,,,,,567.82364,15.166323,20177.751,37.43977,6.904332,35.0,25.0,12.0,350.0,0.0,1070.851886,4.263165,165,17.756237,49.582259,1.0,interfacial_delamination
75,Copper,Copper,205.03,brushed,USW,5.779,6.27,24.795,1211.857679,39.754077,1066.911986,148.780612,,,,,,,,,,,,98.848119,2.728208,2725.94,29.322614,6.110214,4.086013,0.0,0.05,134.622906,0.644248,1254.610611,1.245666,2599,10.189174,85.686516,0.117289,tearing
76,Aluminum,Aluminum,91.354,brushed,USW,3.93,9.522,37.844,1280.620182,24.867351,434.155477,232.84451,,,,,,,,,,,,143.064852,3.823621,12207.837,30.693618,6.251426,6.267132,0.0,1.09279,336.513346,0.681952,1585.82156,1.351606,2848,7.419745,86.459179,0.178225,tearing
77,Copper,Aluminum,138.306,graphite_coated,RSW,8.615,8.579,49.74,,,,,,,,,,17.578007,3.386638,114.029971,92.640175,126.247857,1702.435605,6950.201702,94.039789,162251.248,72.425731,9.60288,35.0,25.0,12.0,350.0,0.0,2018.449688,3.191098,50,15.421261,41.492428,0.994232,interfacial_delamination
78,Copper,Nickel,110.519,silver_plated,USW,5.909,6.648,62.951,1382.860285,26.837415,1065.963092,537.274873,,,,,,,,,,,,526.67848,13.40598,23301.427,39.286833,7.072591,35.0,25.0,5.236574,350.0,0.16133,1248.542057,3.607356,728,11.102776,54.776551,0.819606,interfacial_delamination
79,Copper,Aluminum,55.827,brushed,RSW,5.767,7.434,24.588,,,,,,,,,,20.024809,1.832875,256.607914,81.832772,144.999937,1828.998175,21916.505075,511.165572,2184295.047,42.774494,7.379849,35.0,25.0,12.0,350.0,0.0,1184.430438,3.602504,239,17.450921,41.68711,0.981318,interfacial_delamination
80,Copper,Copper,82.596,graphite_coated,Laser,5.964,4.91,30.074,,,,,100.0,50.041496,142.230141,1.283958,0.363768,,,,,,,130.22313,4.44781,10961.398,24.046357,5.533243,11.009057,0.0,1.305068,314.287282,0.607417,1292.417558,1.759997,2346,9.507655,76.694108,0.146,pullout
81,Copper,Nickel,106.654,graphite_coated,RSW,4.88,8.27,31.114,,,,,,,,,,7.87024,2.706684,175.79998,77.585719,112.121885,1844.044113,7338.59747,181.839076,326661.974,40.344026,7.16712,35.0,25.0,12.0,350.0,0.0,1168.565346,4.213826,50,19.085069,32.341335,0.991892,interfacial_delamination
82,Copper,Aluminum,125.021,graphite_coated,USW,6.204,6.461,20.0,1474.546722,11.769793,765.156868,368.551545,,,,,,,,,,,,211.333963,5.272265,10080.031,38.847299,7.032917,16.184867,0.0,3.213882,319.767208,0.64011,1883.408503,2.203888,2283,18.661218,75.851834,0.305565,pullout
83,Copper,Copper,112.573,tin_plated,USW,5.564,4.934,49.745,1976.547361,34.319039,771.087715,321.859323,,,,,,,,,,,,416.686242,15.179858,27422.649,27.449943,5.911882,35.0,25.0,1.851787,350.0,0.467553,1528.843874,3.278526,1526,14.344014,60.672232,0.510409,porosity_cracking
84,Aluminum,Aluminum,107.868,bare,Laser,5.05,3.451,59.349,,,,,496.484827,71.201066,244.661952,0.153143,0.163873,,,,,,,297.973445,17.09979,46152.784,17.425561,4.710299,35.0,25.0,4.328782,350.0,0.216879,687.005188,4.346544,583,13.901655,52.870805,0.753057,interfacial_delamination
85,Aluminum,Aluminum,94.355,bare,USW,5.489,7.288,54.267,1382.74792,20.589679,468.249938,350.96107,,,,,,,,,,,,215.858993,5.395667,16681.64,36.163102,6.785594,17.002232,2.126448,0.497969,350.0,0.588798,1658.891475,2.033196,2457,7.011,76.735136,0.214989,tearing
