nugget_diameter_mm,bond_area_mm2,porosity_pct,imc_thickness_um,peak_temp_C,haz_width_mm,contact_resistance_mOhm,tensile_shear_strength_N,peel_strength_N,visual_defect_score,microhardness_HV,forward_pass_fail,pressure_MPa,effective_energy_J
5.385,22.776,8.198,3.346,238.0,0.349,0.2799,4283.7,2801.8,82.1,102.2,True,18.924,138.676
5.984,28.127,5.451,2.958,222.9,0.506,0.2957,6500.0,4223.4,90.8,120.5,True,31.293,167.315
6.0,28.274,6.549,6.691,263.0,1.011,0.3619,3286.9,2172.5,82.1,84.9,True,45.023,555.793
6.0,28.274,6.466,2.441,145.9,0.453,0.5565,5893.8,3846.7,85.5,82.8,True,28.168,222.477
6.0,28.274,5.098,3.306,148.3,0.39,0.21,6500.0,4211.4,83.2,102.7,True,56.342,241.245
6.0,28.274,5.553,5.863,232.9,0.454,0.1842,3910.8,2559.9,88.7,101.4,True,220.219,256.993
4.373,15.022,12.063,2.648,177.1,0.172,0.4133,2618.4,1710.4,71.9,91.0,False,19.939,63.379
5.434,23.19,9.482,2.361,189.5,0.299,0.357,4440.6,2894.4,78.9,84.0,True,49.735,130.751
4.9,18.854,7.701,2.455,133.4,0.207,0.4358,3783.9,2477.2,83.4,86.3,True,28.132,87.385
6.0,28.274,4.758,3.671,193.4,0.573,0.3431,5384.6,3510.9,86.6,92.4,True,53.264,294.403
6.0,28.274,6.526,3.541,264.5,0.612,0.304,6021.2,3923.3,84.0,113.2,True,34.197,209.076
6.0,28.274,4.37,4.383,237.6,0.562,0.2272,5270.9,3433.7,90.8,118.0,True,56.505,291.931
4.053,12.902,10.845,1.485,131.5,0.153,0.2986,2751.7,1748.7,76.6,104.0,True,56.751,56.749
6.0,28.274,6.598,3.174,249.2,0.619,0.3447,6324.2,4106.9,84.4,124.0,True,43.806,211.572
6.0,28.274,7.329,7.004,362.0,1.498,0.4301,3768.2,2426.5,86.2,121.0,True,21.729,557.088
4.279,14.378,13.42,1.819,157.7,0.193,0.365,2462.6,1624.5,61.5,88.5,False,18.594,67.615
6.0,28.274,6.617,4.643,275.3,0.546,0.6273,4576.9,2958.1,79.5,77.6,True,12.849,277.965
6.0,28.274,7.115,6.353,238.3,0.969,0.1632,3529.8,2266.6,74.9,96.9,True,32.637,530.347
6.0,28.274,8.558,3.547,165.8,0.525,0.284,4912.2,3187.3,71.8,87.7,True,244.948,265.539
5.091,20.355,7.739,2.748,175.8,0.241,0.2747,4791.6,3125.5,76.8,103.5,True,78.569,125.143
4.178,13.706,12.221,1.384,100.9,0.191,0.6005,2298.6,1485.5,69.9,88.2,False,23.178,66.151
6.0,28.274,8.909,3.055,135.1,0.306,0.5471,5194.5,3370.5,82.7,91.6,True,47.343,155.051
6.0,28.274,5.354,6.085,240.8,0.446,0.1466,3782.2,2455.5,90.3,107.1,True,182.917,251.247
6.0,28.274,7.622,4.542,196.0,0.702,0.4161,4523.8,2932.9,80.1,86.7,True,30.856,370.906
4.265,14.289,8.677,1.692,151.0,0.194,0.5313,2667.2,1741.2,83.2,79.5,True,39.501,68.245
5.4,22.903,9.889,1.898,157.7,0.296,0.2539,4281.4,2780.7,71.7,82.7,True,62.548,129.035
6.0,28.274,5.245,3.673,169.0,0.454,0.3613,5569.8,3614.2,87.4,111.3,True,44.227,226.648
6.0,28.274,2.839,5.702,254.3,0.422,0.2118,4336.5,2818.6,96.3,96.3,True,121.799,234.799
6.0,28.274,6.897,3.674,139.1,0.352,0.2514,5090.4,3290.8,82.9,95.3,True,35.107,186.869
6.0,28.274,6.615,8.937,276.1,0.776,0.3371,3287.4,2124.6,76.8,99.0,True,85.127,478.382
5.268,21.795,8.039,2.402,194.9,0.295,0.4593,4641.5,3041.3,79.0,118.2,True,41.451,130.297
4.23,14.053,10.952,3.515,208.6,0.178,0.5355,2343.0,1541.9,66.7,81.2,True,21.732,67.157
4.296,14.493,12.44,2.972,189.4,0.178,0.0865,2406.5,1572.1,63.0,94.8,False,168.012,67.576
5.918,27.503,6.01,2.539,183.3,0.36,0.2926,5691.2,3695.8,91.8,80.0,True,50.733,166.833
5.764,26.096,8.542,4.383,195.1,0.314,0.359,4181.1,2705.6,81.6,96.5,True,22.976,160.531
6.0,28.274,10.161,6.209,233.8,0.472,0.6019,3278.4,2104.0,70.3,102.3,True,30.775,269.42
6.0,28.274,4.258,3.839,229.5,0.537,0.2458,5296.4,3437.6,94.7,91.1,True,180.044,272.886
4.132,13.412,12.247,3.5,204.3,0.171,0.3127,2157.8,1395.3,66.0,88.6,False,40.591,62.535
5.231,21.488,10.675,3.507,173.3,0.25,0.3974,3553.3,2315.3,72.3,102.5,True,14.33,116.563
6.0,28.274,5.248,3.828,229.8,0.476,0.1785,5480.3,3587.0,87.0,113.7,True,56.46,239.748
5.337,22.37,9.274,3.391,216.1,0.233,0.5257,4717.1,3041.6,76.0,98.6,True,15.729,118.903
6.0,28.274,9.585,4.051,177.3,0.629,0.6673,4522.8,2924.1,78.6,88.4,True,28.953,327.548
5.782,26.257,7.694,2.522,183.9,0.347,0.5211,5475.0,3523.5,74.7,109.0,True,18.493,137.667
5.966,27.955,9.695,2.98,185.2,0.323,0.2833,5326.9,3478.1,73.6,106.9,True,40.936,147.184
6.0,28.274,7.721,4.845,208.7,0.401,0.1849,4265.4,2735.2,80.4,95.1,True,152.043,220.309
6.0,28.274,4.876,6.845,314.0,1.201,0.3718,3653.4,2412.4,92.3,107.1,True,31.856,578.195
5.979,28.075,6.92,5.088,223.4,0.334,0.5711,4165.6,2650.2,82.6,104.0,True,42.447,174.885
3.018,7.153,12.355,1.562,109.7,0.119,0.1915,1210.1,769.0,65.8,92.3,False,118.374,26.968
6.0,28.274,5.113,3.701,256.3,0.456,0.3105,5585.2,3624.8,87.5,114.6,True,151.497,228.112
5.227,21.461,8.393,3.319,167.4,0.272,0.2774,3895.9,2517.7,75.8,95.7,True,46.621,131.706
6.0,28.274,5.983,2.745,189.0,0.374,0.4985,6027.7,3859.5,86.8,115.9,True,22.331,178.363
6.0,28.274,4.319,5.548,271.5,0.615,0.2186,4413.3,2859.0,85.4,113.9,True,46.438,324.283
3.831,11.529,12.445,1.089,128.4,0.159,0.5624,1962.9,1260.9,67.2,115.4,False,21.657,47.935
5.999,28.263,7.011,2.672,154.4,0.347,0.392,5677.9,3700.3,79.1,83.6,True,41.659,159.213
4.822,18.262,7.371,2.328,192.3,0.213,0.1645,3944.5,2573.0,77.3,112.2,True,249.791,80.896
6.0,28.274,5.095,5.334,214.8,0.815,0.4249,4262.9,2774.3,92.5,85.5,True,20.786,438.356
4.245,14.151,9.979,2.199,161.1,0.169,0.2359,2772.9,1813.3,74.1,92.0,True,50.121,60.862
4.873,18.647,11.217,2.777,168.6,0.207,0.2096,3296.2,2124.4,73.3,88.3,True,96.733,87.261
6.0,28.274,8.428,2.886,171.9,0.368,0.5466,5614.4,3688.1,74.9,108.0,True,37.21,174.596
4.753,17.746,15.092,1.85,163.1,0.219,0.5186,3069.3,1992.4,58.4,115.7,False,86.029,84.446
6.0,28.274,5.407,6.18,251.7,0.396,0.1988,3732.5,2420.9,89.1,98.7,True,56.314,217.497
5.753,25.998,7.147,2.827,127.4,0.276,0.3116,5087.8,3323.1,75.7,89.4,True,29.447,134.715
6.0,28.274,7.161,4.426,259.6,0.54,0.3589,4625.4,3016.5,82.9,93.3,True,11.005,274.593
6.0,28.274,5.159,3.852,184.6,0.396,0.529,6316.8,4138.7,90.1,104.5,True,19.68,246.139
3.047,7.291,12.478,2.292,169.4,0.121,0.4676,1288.4,841.4,65.8,86.9,False,40.418,28.316
6.0,28.274,2.679,4.423,212.0,0.597,0.2256,5345.1,3468.1,90.3,114.8,True,52.093,313.073
5.422,23.089,6.315,3.787,194.3,0.268,0.2752,4180.9,2718.0,91.8,94.3,True,29.342,129.11
5.474,23.536,6.511,2.281,178.5,0.41,0.4295,5749.3,3769.3,87.3,116.6,True,28.178,129.611
6.0,28.274,5.002,6.293,259.9,0.928,0.1918,3882.2,2532.3,82.5,122.9,True,49.463,513.705
6.0,28.274,5.635,3.85,174.7,0.561,0.1568,5130.2,3334.0,85.1,87.8,True,218.333,287.281
6.0,28.274,4.5,4.556,170.8,0.398,0.2608,4804.3,3158.3,84.0,100.3,True,58.107,218.446
4.397,15.187,11.11,1.761,139.5,0.175,0.235,3255.6,2142.2,65.6,107.6,True,141.442,73.815
6.0,28.274,6.021,5.298,163.5,0.47,0.4954,4181.2,2713.6,78.2,92.2,True,17.389,268.234
5.3,22.064,7.186,2.901,147.4,0.256,0.3676,4287.1,2797.5,82.1,92.4,True,38.137,120.973
6.0,28.274,3.997,6.784,310.2,0.83,0.2493,3547.3,2313.1,88.0,92.9,True,36.458,447.78
4.691,17.286,17.108,1.576,132.4,0.175,0.8488,3053.2,1968.8,54.7,101.6,False,11.581,73.743
6.0,28.274,3.459,4.382,207.8,0.387,0.3022,5088.6,3346.8,86.4,98.1,True,24.418,211.227
5.712,25.626,8.441,2.226,154.8,0.324,0.2635,5159.3,3358.9,77.5,89.7,True,87.724,145.606
5.099,20.422,10.53,1.861,155.7,0.294,0.1841,3756.0,2468.9,65.1,102.0,True,78.935,127.557
5.871,27.068,6.923,3.474,161.7,0.305,0.3021,4964.1,3222.8,87.2,97.9,True,58.6,154.736
6.0,28.274,6.334,4.262,250.1,0.514,0.1976,5014.5,3231.8,81.7,116.8,True,84.012,262.767
5.376,22.695,8.537,2.956,227.2,0.396,0.3934,4923.6,3207.4,82.9,117.7,True,45.557,124.178
6.0,28.274,4.13,3.421,168.1,0.582,0.2494,5588.5,3616.2,92.3,93.3,True,36.359,299.484
6.0,28.274,6.35,4.592,330.0,0.908,0.4802,5278.2,3432.0,85.2,128.8,True,66.311,325.075
6.0,28.274,4.778,6.077,356.5,1.159,0.08,4458.4,2908.0,92.1,137.8,True,213.188,423.858
5.541,24.118,5.969,2.824,194.4,0.316,0.291,5161.1,3354.7,85.0,109.3,True,8.454,142.966
4.717,17.477,7.017,2.406,144.3,0.228,0.2959,3600.2,2344.0,85.9,93.6,True,45.507,101.506
6.0,28.274,7.461,6.484,201.3,0.577,0.3463,3390.8,2205.8,81.2,94.0,True,68.353,341.559
4.885,18.744,10.373,2.162,190.1,0.208,0.3335,4325.7,2787.3,72.0,101.9,True,29.421,99.672
5.491,23.683,11.305,2.291,160.8,0.322,0.5447,4591.2,2953.2,75.0,112.9,True,56.317,146.979
5.881,27.161,6.826,3.458,266.2,0.519,0.2704,5781.1,3754.5,83.1,113.8,True,57.926,172.387
4.79,18.019,12.027,2.686,202.2,0.266,0.1823,3300.6,2145.8,72.1,96.1,False,90.176,96.133
6.0,28.274,6.367,3.704,171.2,0.559,0.2236,5396.6,3538.7,79.1,105.5,True,45.609,290.239
6.0,28.274,2.903,5.291,328.2,1.19,0.2874,5190.3,3370.2,99.4,124.3,True,70.593,436.054
6.0,28.274,6.524,5.736,265.1,1.035,0.3065,4102.3,2689.3,90.0,103.1,True,77.924,492.197
6.0,28.274,8.762,3.478,164.9,0.513,0.6589,5010.1,3224.4,78.8,98.2,True,67.726,258.216
5.458,23.399,9.122,2.885,137.2,0.307,0.3348,4318.6,2818.9,70.8,97.3,True,48.546,155.883
5.04,19.953,7.926,2.998,223.1,0.29,0.3762,3957.1,2586.5,75.0,97.4,True,52.085,108.059
4.903,18.88,9.16,3.378,233.9,0.263,0.4594,3466.5,2258.6,75.4,110.2,True,15.464,111.083
4.308,14.576,9.891,2.951,216.4,0.202,0.6242,2605.9,1656.5,79.3,82.2,True,16.356,72.79
6.0,28.274,3.551,4.077,230.3,0.518,0.311,5520.5,3600.0,99.0,104.7,True,26.808,265.655
5.509,23.838,8.299,3.672,167.7,0.266,0.08,4127.8,2658.0,80.7,99.1,True,141.844,127.919
6.0,28.274,3.081,3.463,162.3,0.49,0.377,5645.7,3676.1,90.3,87.5,True,46.808,244.784
4.092,13.154,16.519,2.124,203.9,0.196,0.8594,2096.9,1328.4,56.0,91.5,False,26.028,69.316
6.0,28.274,7.841,6.159,242.5,0.984,0.3191,3697.3,2387.1,76.8,110.4,True,41.104,465.847
4.901,18.863,9.23,4.217,218.2,0.238,0.4816,3077.1,2012.2,76.2,97.1,True,28.784,108.796
6.0,28.274,5.344,7.62,322.3,0.981,0.2397,3384.4,2177.9,85.2,95.7,True,69.02,537.8
3.6,10.177,13.768,1.787,126.6,0.148,0.4443,1696.7,1072.5,64.2,98.1,False,51.333,46.546
6.0,28.274,7.383,3.486,122.3,0.318,0.4154,5058.1,3309.7,79.6,90.7,True,19.34,163.843
4.545,16.226,12.122,1.723,143.0,0.235,0.4712,2829.6,1803.7,71.3,80.7,False,28.198,92.591
6.0,28.274,3.718,4.409,175.6,0.436,0.6351,5002.9,3241.0,91.3,98.5,True,28.968,244.323
5.786,26.293,5.229,3.049,212.7,0.277,0.2677,6386.3,4151.8,83.9,102.1,True,87.505,152.843
5.448,23.314,6.382,3.463,238.7,0.324,0.0857,4544.2,2933.7,84.9,111.3,True,121.633,147.711
6.0,28.274,2.717,7.73,255.9,0.594,0.2746,3583.0,2345.3,95.9,91.6,True,57.005,353.201
6.0,28.274,2.876,4.283,249.2,0.423,0.375,5181.5,3367.1,86.7,90.0,True,50.656,204.584
5.563,24.304,11.057,2.214,136.7,0.274,0.6849,5526.5,3589.6,75.7,101.0,True,35.405,150.678
4.042,12.831,10.973,3.836,222.3,0.172,0.4994,2003.9,1288.7,68.9,89.7,True,32.443,63.554
6.0,28.274,5.734,7.258,333.2,1.127,0.2842,3568.7,2329.3,78.2,113.3,True,69.914,539.615
6.0,28.274,8.939,3.939,258.9,0.406,0.3254,4919.0,3211.8,76.7,118.9,True,32.025,197.755
4.783,17.965,7.169,1.919,107.7,0.209,0.3303,4417.2,2871.7,74.4,102.6,True,57.378,100.346
5.466,23.465,6.997,3.788,177.4,0.279,0.4129,4161.6,2724.4,81.2,91.7,True,9.261,136.674
5.74,25.88,10.954,2.581,161.5,0.359,0.8488,4698.0,3051.2,73.9,87.3,True,14.452,166.633
5.186,21.127,8.908,3.52,174.7,0.245,0.2968,3677.6,2402.6,86.0,88.8,True,100.535,113.441
4.157,13.571,13.025,2.317,183.0,0.191,0.5366,2515.7,1621.0,62.4,108.8,False,13.366,67.015
4.995,19.598,12.588,2.279,208.7,0.243,0.2243,3563.2,2323.9,65.1,88.6,False,70.34,97.379
6.0,28.274,4.308,4.353,141.5,0.406,0.08,4961.9,3205.3,91.8,100.0,True,247.188,223.99
6.0,28.274,2.84,4.646,215.7,0.594,0.4301,5223.9,3430.7,94.4,115.1,True,23.148,311.637
6.0,28.274,3.901,7.174,419.6,1.4,0.342,4062.0,2639.5,88.1,130.1,True,72.651,518.433
6.0,28.274,5.712,3.523,159.3,0.542,0.1242,5579.1,3622.8,83.3,101.7,True,75.286,280.178
5.062,20.121,10.206,3.003,205.6,0.221,0.4297,4325.8,2820.9,80.3,106.3,True,25.469,109.482
6.0,28.274,7.494,3.384,163.0,0.307,0.4159,5177.0,3374.3,82.1,96.5,True,13.226,156.327
6.0,28.274,7.653,5.54,244.2,0.824,0.104,3869.1,2493.1,77.7,88.7,True,203.694,444.218
4.739,17.639,10.682,2.033,118.5,0.208,0.5222,3270.7,2143.8,74.0,96.9,True,17.578,88.153
5.194,21.187,8.575,2.351,183.1,0.247,0.3852,5111.3,3308.4,80.9,104.3,True,41.558,129.675
6.0,28.274,5.369,4.704,259.9,0.497,0.3506,4867.0,3178.2,87.9,114.0,True,48.667,252.978
5.757,26.027,6.975,2.716,175.1,0.281,0.4043,6320.3,4129.9,77.3,106.4,True,35.091,156.111
6.0,28.274,8.271,3.152,187.3,0.31,0.2402,6283.3,4115.4,76.0,111.1,True,76.465,178.876
4.723,17.523,8.224,2.272,185.6,0.222,0.4282,3524.6,2269.8,85.4,95.6,True,31.754,84.629
6.0,28.274,7.689,4.236,250.0,0.551,0.4364,4949.5,3206.6,79.4,106.0,True,10.49,242.872
4.161,13.599,5.596,2.751,178.4,0.17,0.3038,2758.7,1800.9,85.2,102.6,True,48.578,61.945
6.0,28.274,4.075,3.086,204.4,0.428,0.2563,5828.0,3772.1,93.4,84.3,True,55.305,207.461
5.97,27.988,6.765,3.689,173.7,0.329,0.3814,4984.1,3229.9,81.9,93.9,True,52.645,171.128
5.971,28.004,6.154,3.323,220.8,0.386,0.2897,5307.3,3423.8,82.8,88.0,True,134.179,182.827
5.091,20.359,13.077,2.22,130.1,0.253,0.5347,3621.4,2357.6,78.1,96.3,False,92.739,118.588
4.992,19.575,8.669,1.65,125.3,0.206,0.3334,4555.6,2954.7,85.7,106.7,True,25.92,98.067
6.0,28.274,6.983,5.004,187.9,0.492,0.51,4324.5,2835.9,82.3,101.2,True,52.505,283.152
3.575,10.038,11.957,2.25,172.4,0.154,0.6979,1998.0,1295.5,71.3,102.1,True,16.195,45.015
6.0,28.274,4.074,5.715,233.3,0.639,0.1997,5028.8,3246.6,90.7,112.2,True,104.739,434.434
5.097,20.401,8.816,1.601,130.1,0.275,0.3025,3854.5,2499.3,74.6,81.8,True,87.174,116.071
3.697,10.733,10.877,1.743,183.0,0.165,0.188,1920.2,1254.0,72.1,74.1,True,79.618,50.911
4.171,13.664,13.219,2.321,155.4,0.181,0.1772,2393.9,1513.4,70.0,95.0,False,159.068,69.083
5.752,25.982,7.155,4.274,208.2,0.299,0.297,4316.3,2775.2,85.1,92.8,True,55.959,150.173
6.0,28.274,6.928,3.416,193.7,0.427,0.4778,5493.2,3583.9,83.1,118.3,True,42.63,210.351
5.994,28.22,5.718,3.48,145.7,0.324,0.3153,5362.9,3503.3,83.9,90.6,True,89.799,167.946
6.0,28.274,7.973,5.175,295.9,0.596,0.7186,4301.5,2792.1,81.4,98.9,True,51.728,266.25
5.675,25.296,8.928,4.584,204.9,0.284,0.2649,3900.8,2554.1,76.7,100.4,True,40.966,140.012
6.0,28.274,4.734,5.762,244.2,0.975,0.4826,4198.3,2734.3,80.5,107.4,True,12.986,461.232
4.468,15.679,11.055,1.952,162.5,0.22,0.5099,3071.9,2011.4,73.5,101.9,True,24.466,84.838
4.302,14.537,11.835,2.653,169.4,0.17,0.3774,2530.0,1646.1,71.4,87.7,True,53.077,61.84
5.892,27.268,7.229,2.179,184.6,0.358,0.4254,5932.3,3877.7,80.0,102.3,True,17.168,143.386
5.002,19.65,3.851,1.799,136.4,0.233,0.4388,5210.3,3377.4,88.7,108.6,True,32.122,119.256
6.0,28.274,0.853,5.297,202.9,0.463,0.1092,4703.0,3058.1,99.7,94.5,True,283.088,263.33
4.126,13.374,11.505,2.37,145.4,0.178,0.3449,2481.4,1606.2,72.9,99.9,True,41.813,67.576
6.0,28.274,3.68,4.64,194.6,0.367,0.1845,4851.4,3159.7,89.5,95.0,True,30.374,197.139
3.453,9.367,13.517,1.123,102.1,0.137,0.6907,1472.5,989.8,63.3,102.7,False,18.194,38.989
5.599,24.623,8.345,2.535,187.2,0.262,0.6276,5852.5,3803.0,84.0,93.3,True,38.426,141.313
6.0,28.274,7.656,8.001,274.6,0.57,0.3192,3207.0,2096.2,74.0,101.3,True,81.193,336.64
4.989,19.549,10.001,3.537,215.2,0.226,0.3791,3277.8,2124.6,70.2,96.3,True,8.369,100.643
5.649,25.065,6.741,3.29,122.8,0.3,0.3739,4715.4,3079.8,75.5,101.5,True,16.289,151.088
