sample_id,anode_material,cathode_material,tab_thickness_um,surface_coating,welding_technique,tab_width_mm,overlap_length_mm,preheat_celsius,usw_power_w,usw_amplitude_um,usw_force_n,usw_time_ms,laser_power_w,laser_speed_mm_s,laser_pulse_frequency_hz,laser_energy_per_pulse_j,laser_spot_diameter_mm,rsw_current_ka,rsw_voltage_v,rsw_weld_time_ms,rsw_squeeze_time_ms,rsw_hold_time_ms,rsw_force_n
24,Copper,Copper,119.433,brushed,Laser,8.205,6.349,43.332,,,,,799.238203,41.735195,254.619299,0.371553,0.170785,,,,,,
25,Aluminum,StainlessSteel,118.459,bare,Laser,5.418,6.872,61.558,,,,,349.552136,46.172361,297.147504,0.981362,0.141547,,,,,,
26,Copper,Copper,206.267,bare,RSW,8.692,7.52,57.959,,,,,,,,,,14.885112,2.242362,286.138469,77.119957,77.271584,1576.352152
27,Aluminum,Nickel,115.924,tin_plated,USW,4.017,4.717,33.419,1447.173518,16.618481,472.264467,169.629888,,,,,,,,,,,
28,Copper,Aluminum,34.916,nickel_plated,USW,2.16,5.323,56.259,1595.440632,20.347819,568.756074,200.291735,,,,,,,,,,,
29,Copper,Copper,131.138,graphite_coated,Laser,7.429,2.0,20.0,,,,,671.250808,26.97816,141.231365,0.637507,0.321138,,,,,,
30,Copper,Copper,110.716,nickel_plated,USW,8.629,9.552,30.769,974.163504,14.411915,997.762812,298.334477,,,,,,,,,,,
31,Copper,StainlessSteel,91.771,nickel_plated,RSW,7.276,7.126,20.0,,,,,,,,,,11.045312,1.0,92.379991,135.274744,144.715819,1748.367891
32,Aluminum,Aluminum,108.47,tin_plated,USW,4.59,6.495,57.077,1122.073297,27.915043,890.754417,268.755714,,,,,,,,,,,
33,Copper,Copper,106.934,bare,USW,8.237,8.531,45.599,1678.79567,19.379996,823.985431,387.838775,,,,,,,,,,,
34,Copper,StainlessSteel,147.705,brushed,Laser,3.159,6.987,23.292,,,,,577.864631,56.303423,54.620304,1.025191,0.329453,,,,,,
35,Copper,Nickel,161.354,graphite_coated,USW,5.456,6.429,64.445,1064.83091,37.186842,550.708269,209.473904,,,,,,,,,,,
36,Copper,StainlessSteel,125.194,nickel_plated,Laser,5.223,2.0,45.827,,,,,427.723902,28.466223,0.0,0.0,0.226957,,,,,,
37,Aluminum,StainlessSteel,72.651,nickel_plated,RSW,5.212,5.809,20.0,,,,,,,,,,9.599592,4.320356,161.021213,73.002067,84.599675,3033.083699
38,Copper,Nickel,124.619,silver_plated,RSW,3.928,4.398,65.208,,,,,,,,,,8.865899,1.724223,173.653353,138.098899,141.104418,2513.34425
39,Copper,Aluminum,90.459,brushed,USW,4.747,7.698,70.639,1179.227991,32.577304,1262.286854,192.624515,,,,,,,,,,,
40,Copper,Titanium,152.87,nickel_plated,Laser,4.419,6.991,55.844,,,,,927.127786,73.113712,203.424672,0.958988,0.145478,,,,,,
41,Copper,StainlessSteel,168.4,tin_plated,USW,7.601,10.601,30.591,1590.177263,34.701482,774.614659,529.919633,,,,,,,,,,,
42,Copper,Aluminum,106.315,bare,Laser,3.375,6.997,25.096,,,,,1015.704531,67.983827,269.96913,0.472172,0.372156,,,,,,
43,Aluminum,Aluminum,105.604,nickel_plated,RSW,5.802,7.81,42.943,,,,,,,,,,2.326265,2.795343,148.705127,100.921571,90.308557,981.956015
44,Aluminum,Nickel,121.589,silver_plated,Laser,6.34,5.862,48.358,,,,,514.528091,66.545134,0.0,0.0,0.281258,,,,,,
45,Copper,Copper,155.882,silver_plated,Laser,5.459,6.558,20.0,,,,,520.061801,45.293139,339.974544,0.43319,0.226031,,,,,,
46,Copper,Copper,164.014,graphite_coated,Laser,4.887,8.757,20.0,,,,,760.753673,43.962039,226.917079,0.977893,0.157052,,,,,,
47,Aluminum,StainlessSteel,191.56,gold_plated,USW,3.651,8.328,39.449,1154.175386,21.388771,556.836237,303.333344,,,,,,,,,,,
48,Copper,Aluminum,99.871,nickel_plated,Laser,9.04,9.308,71.302,,,,,499.510314,60.594102,0.0,0.0,0.188483,,,,,,
49,Aluminum,Titanium,111.883,brushed,Laser,4.557,6.355,53.982,,,,,923.373474,54.323054,0.0,0.0,0.263565,,,,,,
50,Copper,StainlessSteel,113.27,oxide_heavy,RSW,5.582,4.185,47.11,,,,,,,,,,8.69323,1.616997,138.639067,88.71865,87.617754,926.986346
51,Copper,Aluminum,100.458,bare,RSW,6.893,5.71,42.077,,,,,,,,,,11.609731,3.020787,171.497935,79.973307,77.93426,1068.089008
52,Copper,Copper,160.968,tin_plated,USW,6.247,5.604,24.934,1311.124573,14.808599,1053.237476,316.133938,,,,,,,,,,,
53,Copper,Nickel,164.087,nickel_plated,RSW,6.614,6.68,65.674,,,,,,,,,,4.832466,2.930555,123.032961,63.03393,100.635156,2301.648429
54,Aluminum,Aluminum,132.686,bare,USW,8.096,5.697,35.211,1429.930446,39.611194,728.516198,244.653284,,,,,,,,,,,
55,Copper,Nickel,89.835,nickel_plated,USW,5.595,8.997,20.0,1657.94368,22.961315,1211.979542,310.881428,,,,,,,,,,,
56,Copper,Aluminum,159.008,nickel_plated,USW,5.013,5.1,38.768,1147.887756,36.589755,100.0,248.662464,,,,,,,,,,,
57,Copper,Aluminum,101.683,tin_plated,Laser,8.092,5.357,33.405,,,,,689.929266,28.621454,203.831629,0.720792,0.243072,,,,,,
58,Copper,Copper,171.822,brushed,RSW,2.719,3.996,20.176,,,,,,,,,,12.766864,1.970417,266.498115,50.0,106.249371,2132.047485
59,Copper,Titanium,73.29,oxide_heavy,USW,8.547,6.642,24.322,1591.774241,32.176952,1172.347434,324.233779,,,,,,,,,,,
60,Copper,Aluminum,154.208,silver_plated,Laser,7.087,5.337,58.721,,,,,329.247872,24.35377,77.543624,1.597636,0.243595,,,,,,
61,Aluminum,StainlessSteel,100.465,nickel_plated,RSW,8.195,8.059,35.534,,,,,,,,,,11.859006,3.591026,256.926966,101.75208,83.455656,1787.960517
62,Aluminum,Titanium,120.043,brushed,USW,6.781,5.34,20.0,943.450193,23.267797,805.334657,275.633051,,,,,,,,,,,
63,Aluminum,StainlessSteel,148.255,brushed,RSW,7.003,11.185,20.0,,,,,,,,,,11.539696,3.078252,170.380516,111.099194,58.216102,1314.048859
64,Copper,Aluminum,102.764,brushed,USW,7.075,5.348,56.054,1170.33471,20.9687,695.218131,263.436297,,,,,,,,,,,
65,Copper,Nickel,197.296,gold_plated,USW,5.391,2.0,20.0,1584.669057,31.997902,575.5657,230.360449,,,,,,,,,,,
66,Copper,Aluminum,83.553,brushed,Laser,5.495,4.523,49.04,,,,,1111.322664,15.2764,0.0,0.0,0.194406,,,,,,
67,Copper,Nickel,62.832,bare,Laser,4.564,8.639,36.413,,,,,171.032908,72.562681,127.271172,1.507292,0.163305,,,,,,
68,Copper,Nickel,105.771,bare,USW,4.103,3.953,44.83,1512.056348,43.404347,735.594118,393.229952,,,,,,,,,,,
69,Copper,Aluminum,142.468,bare,USW,4.047,6.045,26.979,1418.770714,27.398641,1059.827345,340.089618,,,,,,,,,,,
70,Copper,Copper,185.527,tin_plated,Laser,2.0,5.97,20.0,,,,,705.457276,68.789926,0.0,0.0,0.263057,,,,,,
71,Copper,Aluminum,146.993,silver_plated,USW,8.373,2.201,30.631,994.097258,26.480522,855.582253,241.368162,,,,,,,,,,,
72,Aluminum,Titanium,116.199,graphite_coated,USW,7.106,10.802,59.851,1335.286283,32.667824,310.606432,274.546108,,,,,,,,,,,
73,Copper,Aluminum,176.944,brushed,RSW,7.053,2.0,65.501,,,,,,,,,,10.244393,2.465033,269.216815,78.159705,71.712471,1758.356523
74,Aluminum,Nickel,172.502,bare,Laser,4.769,7.851,33.963,,,,,498.075706,54.994026,0.0,0.0,0.223366,,,,,,
75,Copper,Copper,205.03,brushed,USW,5.779,6.27,24.795,1211.857679,39.754077,1066.911986,148.780612,,,,,,,,,,,
76,Aluminum,Aluminum,91.354,brushed,USW,3.93,9.522,37.844,1280.620182,24.867351,434.155477,232.84451,,,,,,,,,,,
77,Copper,Aluminum,138.306,graphite_coated,RSW,8.615,8.579,49.74,,,,,,,,,,17.578007,3.386638,114.029971,92.640175,126.247857,1702.435605
78,Copper,Nickel,110.519,silver_plated,USW,5.909,6.648,62.951,1382.860285,26.837415,1065.963092,537.274873,,,,,,,,,,,
79,Copper,Aluminum,55.827,brushed,RSW,5.767,7.434,24.588,,,,,,,,,,20.024809,1.832875,256.607914,81.832772,144.999937,1828.998175
80,Copper,Copper,82.596,graphite_coated,Laser,5.964,4.91,30.074,,,,,100.0,50.041496,142.230141,1.283958,0.363768,,,,,,
81,Copper,Nickel,106.654,graphite_coated,RSW,4.88,8.27,31.114,,,,,,,,,,7.87024,2.706684,175.79998,77.585719,112.121885,1844.044113
82,Copper,Aluminum,125.021,graphite_coated,USW,6.204,6.461,20.0,1474.546722,11.769793,765.156868,368.551545,,,,,,,,,,,
83,Copper,Copper,112.573,tin_plated,USW,5.564,4.934,49.745,1976.547361,34.319039,771.087715,321.859323,,,,,,,,,,,
84,Aluminum,Aluminum,107.868,bare,Laser,5.05,3.451,59.349,,,,,496.484827,71.201066,244.661952,0.153143,0.163873,,,,,,
85,Aluminum,Aluminum,94.355,bare,USW,5.489,7.288,54.267,1382.74792,20.589679,468.249938,350.96107,,,,,,,,,,,
86,Copper,StainlessSteel,117.122,silver_plated,RSW,5.048,7.822,63.603,,,,,,,,,,15.668736,2.47507,172.42425,149.903385,84.486142,1618.011594
87,Copper,Nickel,35.324,nickel_plated,RSW,7.796,5.048,39.882,,,,,,,,,,2.670317,1.0,189.631034,94.664026,86.620674,1468.427371
88,Aluminum,Aluminum,118.559,brushed,Laser,8.621,6.243,44.531,,,,,616.536779,6.826925,0.0,0.0,0.311372,,,,,,
89,Aluminum,Aluminum,66.509,silver_plated,Laser,5.198,6.852,55.221,,,,,759.620412,31.423656,0.0,0.0,0.215511,,,,,,
90,Aluminum,Aluminum,172.518,bare,USW,5.49,7.382,50.572,1702.034867,16.210254,357.762677,246.729617,,,,,,,,,,,
91,Aluminum,StainlessSteel,91.296,gold_plated,Laser,6.329,5.852,24.728,,,,,810.926731,23.456477,259.255779,0.786926,0.173901,,,,,,
92,Copper,Aluminum,121.164,nickel_plated,USW,8.251,7.237,20.0,1919.701579,24.275823,670.214267,456.261022,,,,,,,,,,,
93,Copper,StainlessSteel,37.266,brushed,USW,7.661,5.136,39.862,751.205522,40.132524,865.513311,184.507121,,,,,,,,,,,
94,Copper,Copper,134.504,brushed,USW,6.443,5.681,34.322,1691.285629,27.444669,773.594629,339.154108,,,,,,,,,,,
95,Aluminum,Titanium,76.779,tin_plated,Laser,7.079,7.99,26.379,,,,,506.765744,56.040827,135.659371,0.996985,0.226451,,,,,,
96,Copper,Aluminum,144.856,gold_plated,Laser,5.227,4.867,43.359,,,,,557.150141,30.824228,0.0,0.0,0.093331,,,,,,
97,Copper,Titanium,113.838,bare,Laser,4.331,6.591,63.937,,,,,721.609287,54.833474,0.0,0.0,0.190163,,,,,,
98,Copper,Nickel,58.345,nickel_plated,USW,5.326,4.718,21.106,1091.538625,23.677157,991.629037,381.373038,,,,,,,,,,,
99,Copper,Nickel,142.916,brushed,Laser,7.535,7.846,58.807,,,,,100.0,36.505311,0.0,0.0,0.230878,,,,,,
100,Copper,Nickel,147.796,gold_plated,Laser,2.031,8.162,62.71,,,,,725.033185,44.065389,365.279218,0.659641,0.131102,,,,,,
101,Aluminum,Nickel,137.804,gold_plated,USW,3.153,3.203,35.443,2245.949867,51.774975,1138.697414,442.377758,,,,,,,,,,,
102,Copper,Copper,187.651,bare,USW,9.845,5.148,20.0,1462.338785,45.625437,890.45211,270.763267,,,,,,,,,,,
103,Copper,StainlessSteel,77.43,graphite_coated,Laser,9.997,2.9,39.044,,,,,427.955132,33.99407,200.53087,0.397874,0.239034,,,,,,
104,Aluminum,Nickel,162.754,silver_plated,Laser,4.246,8.371,46.331,,,,,896.834801,38.416399,279.130786,0.534715,0.12239,,,,,,
105,Aluminum,Nickel,147.229,nickel_plated,RSW,2.418,8.782,42.883,,,,,,,,,,8.203615,4.897966,220.082541,50.0,101.654406,1873.24284
106,Copper,Aluminum,134.147,tin_plated,Laser,4.664,5.797,32.905,,,,,332.531531,59.462654,0.0,0.0,0.129967,,,,,,
107,Copper,Titanium,180.382,gold_plated,USW,9.394,8.162,42.558,1430.289018,21.307751,655.061689,257.262715,,,,,,,,,,,
108,Copper,Nickel,178.253,graphite_coated,Laser,3.385,9.849,41.186,,,,,485.735784,31.475922,181.626127,0.886722,0.220593,,,,,,
109,Copper,Aluminum,72.019,bare,USW,4.315,7.74,44.912,1481.009836,14.89264,1353.711925,371.349574,,,,,,,,,,,
110,Aluminum,Titanium,113.383,oxide_heavy,RSW,3.81,3.283,45.18,,,,,,,,,,10.953643,2.269177,57.81593,70.181191,63.54647,2012.299026
111,Copper,Aluminum,100.487,tin_plated,USW,4.673,8.262,55.615,1410.608443,42.899994,505.821454,167.589324,,,,,,,,,,,
112,Copper,StainlessSteel,65.549,silver_plated,Laser,3.759,5.128,54.501,,,,,859.947969,48.229067,0.0,0.0,0.075344,,,,,,
113,Copper,Copper,183.001,gold_plated,RSW,4.469,6.655,33.29,,,,,,,,,,13.669332,3.008807,205.118585,80.363101,59.022187,1168.723219
114,Copper,StainlessSteel,109.417,graphite_coated,USW,5.597,5.694,62.933,1307.44545,38.55806,1002.228156,283.205458,,,,,,,,,,,
115,Copper,Nickel,112.53,graphite_coated,Laser,7.85,6.629,51.9,,,,,823.190444,41.539926,0.0,0.0,0.270306,,,,,,
116,Copper,Aluminum,127.005,nickel_plated,USW,8.672,3.85,46.143,1464.589269,42.059134,620.911555,340.311482,,,,,,,,,,,
117,Copper,Titanium,145.096,graphite_coated,RSW,7.309,8.501,20.0,,,,,,,,,,4.941705,1.364808,210.035829,125.2318,83.888777,2721.187084
118,Copper,Nickel,164.732,bare,Laser,6.091,4.869,55.07,,,,,382.614618,41.677992,0.0,0.0,0.231193,,,,,,
119,Copper,Copper,43.144,tin_plated,USW,6.868,5.147,55.014,1536.765863,44.346336,657.20537,423.045523,,,,,,,,,,,
120,Copper,Copper,98.31,oxide_heavy,Laser,3.565,5.526,56.79,,,,,793.513595,75.521604,0.0,0.0,0.174755,,,,,,
121,Copper,Nickel,76.395,brushed,Laser,7.189,5.819,37.466,,,,,331.216267,58.290469,163.503412,0.561164,0.130363,,,,,,
122,Aluminum,StainlessSteel,181.644,brushed,Laser,4.352,4.303,26.344,,,,,541.940409,43.182482,0.0,0.0,0.159764,,,,,,
123,Copper,Nickel,47.194,tin_plated,USW,2.792,4.17,51.815,1053.731207,42.485224,818.177342,463.747059,,,,,,,,,,,
124,Copper,Aluminum,75.271,silver_plated,USW,4.702,5.465,59.197,1318.736809,32.947817,393.898541,120.285529,,,,,,,,,,,
125,Copper,StainlessSteel,119.044,oxide_heavy,Laser,4.558,6.234,20.0,,,,,291.14866,42.813059,242.593008,0.320967,0.318939,,,,,,
126,Copper,Copper,60.301,nickel_plated,Laser,8.717,5.498,37.235,,,,,945.139885,32.913052,0.0,0.0,0.093115,,,,,,
127,Copper,Aluminum,88.95,nickel_plated,RSW,8.89,5.477,47.729,,,,,,,,,,11.918471,3.146962,194.178848,87.752577,104.807232,1923.983873
128,Copper,Aluminum,106.816,nickel_plated,Laser,4.376,4.578,41.899,,,,,743.222969,40.72588,256.334494,1.077469,0.134064,,,,,,
129,Copper,Nickel,40.637,nickel_plated,Laser,4.52,3.903,41.342,,,,,123.520034,52.093992,0.0,0.0,0.290099,,,,,,
130,Aluminum,Nickel,136.06,bare,RSW,7.902,8.319,22.669,,,,,,,,,,13.402368,2.644163,234.366402,143.359346,138.491235,2741.914946
131,Aluminum,Nickel,169.188,tin_plated,USW,6.668,5.931,76.075,1293.50713,21.147872,730.210511,202.492146,,,,,,,,,,,
132,Copper,Copper,108.838,tin_plated,RSW,7.437,5.722,20.0,,,,,,,,,,12.119133,2.504679,158.336074,70.743131,124.396904,2669.509488
133,Aluminum,Aluminum,119.64,bare,USW,5.689,5.823,56.971,1331.898048,35.097911,715.166387,81.339017,,,,,,,,,,,
134,Copper,StainlessSteel,104.676,brushed,Laser,7.495,7.051,32.624,,,,,813.868869,56.891704,0.0,0.0,0.26393,,,,,,
135,Copper,Aluminum,105.531,bare,USW,9.587,10.047,49.384,1417.568896,34.846309,795.334828,389.040474,,,,,,,,,,,
136,Copper,Aluminum,64.013,bare,RSW,7.454,3.986,55.514,,,,,,,,,,11.711065,5.341453,188.149926,50.0,127.703233,813.936535
137,Copper,Aluminum,154.321,graphite_coated,Laser,7.592,5.632,20.0,,,,,565.822695,16.036566,131.17503,0.617282,0.324484,,,,,,
138,Copper,Nickel,111.629,gold_plated,USW,8.376,5.35,20.01,716.665557,31.539821,286.831415,366.246135,,,,,,,,,,,
139,Copper,Aluminum,61.503,nickel_plated,USW,7.024,4.636,67.957,2396.49185,29.158625,646.300392,326.930016,,,,,,,,,,,
140,Aluminum,StainlessSteel,85.283,graphite_coated,Laser,9.348,8.473,49.9,,,,,758.664415,47.566075,198.772158,1.103102,0.269788,,,,,,
141,Copper,Nickel,65.897,bare,USW,3.398,6.859,36.465,2078.882014,28.375563,188.165013,310.286478,,,,,,,,,,,
142,Copper,Copper,133.634,graphite_coated,RSW,8.541,5.973,20.0,,,,,,,,,,13.999819,3.694099,241.650697,92.101552,108.036033,2059.022701
143,Copper,Copper,84.737,brushed,Laser,4.584,4.998,32.54,,,,,528.716867,5.0,64.856498,0.695794,0.211112,,,,,,
144,Copper,Nickel,85.922,brushed,RSW,5.379,6.313,67.257,,,,,,,,,,5.169806,4.792034,249.344015,137.545945,116.550855,2186.076178
145,Aluminum,Aluminum,135.024,tin_plated,RSW,3.612,7.782,31.625,,,,,,,,,,11.12042,1.134991,230.036802,120.589886,110.768937,3242.160662
146,Copper,Nickel,138.407,silver_plated,USW,7.501,6.552,54.058,1948.023778,39.400517,863.592055,58.683644,,,,,,,,,,,
147,Copper,Aluminum,107.863,brushed,USW,8.864,6.884,25.028,1516.138006,34.322147,645.563508,335.88633,,,,,,,,,,,
148,Aluminum,StainlessSteel,116.975,nickel_plated,Laser,6.885,4.801,27.656,,,,,342.588643,53.554646,0.0,0.0,0.264535,,,,,,
149,Copper,Aluminum,131.554,nickel_plated,Laser,3.983,7.567,41.778,,,,,725.953956,27.842504,0.0,0.0,0.193712,,,,,,
150,Aluminum,Nickel,132.457,brushed,USW,10.007,4.948,20.0,1437.430632,30.925402,686.586695,471.080761,,,,,,,,,,,
151,Copper,Aluminum,132.741,bare,Laser,7.758,5.906,20.0,,,,,821.610795,29.327825,278.472679,0.510779,0.255804,,,,,,
152,Copper,Nickel,109.011,tin_plated,USW,2.0,3.336,33.969,1535.536909,40.674853,902.488797,318.30994,,,,,,,,,,,
153,Copper,Copper,122.935,nickel_plated,Laser,6.081,7.249,25.631,,,,,679.713152,53.921343,36.331519,1.440584,0.185783,,,,,,
154,Copper,StainlessSteel,41.509,graphite_coated,RSW,4.944,8.287,43.35,,,,,,,,,,13.017026,2.503585,187.248319,68.190255,68.378522,1318.213259
155,Copper,Aluminum,172.553,oxide_heavy,USW,7.176,8.011,61.644,1176.458468,21.888393,100.0,165.627511,,,,,,,,,,,
156,Aluminum,Aluminum,168.749,oxide_heavy,Laser,3.747,7.469,46.105,,,,,501.966455,50.325967,227.40504,0.418221,0.207429,,,,,,
157,Aluminum,Nickel,149.215,nickel_plated,USW,7.347,7.189,39.243,1165.048663,35.955671,895.40477,161.703791,,,,,,,,,,,
158,Aluminum,StainlessSteel,122.05,nickel_plated,RSW,3.883,3.889,43.278,,,,,,,,,,7.462013,1.224173,163.303896,98.543976,99.251974,2043.74537
159,Copper,Aluminum,203.757,gold_plated,Laser,5.967,4.224,53.843,,,,,387.845069,8.231897,220.331468,0.747967,0.201064,,,,,,
160,Copper,Aluminum,99.641,nickel_plated,Laser,6.128,6.762,23.877,,,,,862.376877,12.630193,169.752316,0.627794,0.082582,,,,,,
161,Copper,Aluminum,141.554,tin_plated,USW,4.415,9.766,20.0,500.0,35.163137,546.140022,360.187363,,,,,,,,,,,
162,Copper,Aluminum,106.762,bare,USW,5.576,5.939,80.446,1556.423161,33.509458,786.586181,298.656268,,,,,,,,,,,
163,Aluminum,StainlessSteel,116.784,brushed,Laser,5.222,5.873,63.81,,,,,979.492425,48.537752,0.0,0.0,0.219129,,,,,,
164,Copper,Aluminum,103.492,tin_plated,USW,8.043,3.954,63.448,1371.249521,33.859023,607.545595,161.933444,,,,,,,,,,,
165,Copper,Copper,84.837,brushed,Laser,5.858,6.442,66.89,,,,,261.425066,23.751964,0.0,0.0,0.159345,,,,,,
166,Aluminum,Titanium,149.789,silver_plated,Laser,4.638,2.0,54.334,,,,,985.815445,34.574274,105.256705,1.179085,0.119352,,,,,,
167,Copper,Copper,182.203,graphite_coated,RSW,5.978,4.373,20.0,,,,,,,,,,5.440569,1.96911,178.015023,92.179202,85.666339,2502.431
168,Aluminum,StainlessSteel,167.751,gold_plated,USW,6.117,7.496,26.232,1991.319364,21.053097,439.265009,394.977957,,,,,,,,,,,
169,Copper,Aluminum,68.669,gold_plated,Laser,5.181,6.489,23.945,,,,,578.956749,16.22628,0.0,0.0,0.158689,,,,,,
170,Aluminum,StainlessSteel,164.461,tin_plated,RSW,2.812,8.399,41.69,,,,,,,,,,9.292277,3.283061,155.278224,160.633546,103.020671,2005.99491
171,Copper,Aluminum,184.406,graphite_coated,Laser,5.44,5.623,25.905,,,,,606.874163,25.202894,0.0,0.0,0.074384,,,,,,
172,Aluminum,Titanium,140.296,graphite_coated,Laser,7.987,7.182,33.705,,,,,769.855553,32.948551,133.381348,0.661311,0.135832,,,,,,
173,Copper,Copper,67.539,brushed,USW,6.86,2.72,41.684,1368.07229,38.445645,732.081664,219.900654,,,,,,,,,,,
174,Copper,Aluminum,181.884,nickel_plated,USW,4.553,6.389,30.967,1880.153608,36.537166,528.716131,71.522237,,,,,,,,,,,
175,Aluminum,Aluminum,159.209,brushed,USW,6.725,7.474,57.203,1898.630775,20.521855,916.151299,216.722513,,,,,,,,,,,
176,Copper,Aluminum,82.467,silver_plated,Laser,7.614,5.415,54.369,,,,,601.000824,63.297499,0.0,0.0,0.276473,,,,,,
177,Copper,Aluminum,114.569,brushed,USW,10.618,5.155,65.32,2117.865666,42.292522,809.003501,133.679908,,,,,,,,,,,
178,Copper,Nickel,141.819,brushed,USW,9.206,5.472,59.329,1418.23057,33.663765,1222.615916,298.920422,,,,,,,,,,,
179,Aluminum,Nickel,86.246,graphite_coated,Laser,6.738,5.726,45.659,,,,,522.015393,105.934797,171.393769,0.426035,0.312126,,,,,,
180,Aluminum,Nickel,133.911,bare,RSW,9.447,6.502,33.226,,,,,,,,,,15.999299,2.885125,158.4866,116.915834,96.18349,1573.284898
181,Aluminum,StainlessSteel,158.706,nickel_plated,RSW,3.708,8.211,55.47,,,,,,,,,,10.383587,1.819608,244.749402,119.571403,80.806471,2152.813525
182,Copper,Aluminum,127.871,nickel_plated,USW,8.152,6.349,55.246,760.057125,38.316835,1268.62,244.215081,,,,,,,,,,,
183,Copper,Aluminum,84.919,tin_plated,USW,8.38,9.474,20.0,1268.123439,21.974135,218.215087,269.219289,,,,,,,,,,,
184,Copper,Nickel,132.249,nickel_plated,USW,6.961,7.129,20.0,1434.560785,28.778026,753.745564,520.268434,,,,,,,,,,,
185,Copper,Aluminum,141.201,silver_plated,USW,5.754,7.233,56.972,1586.087453,32.898879,1059.524162,313.267776,,,,,,,,,,,
186,Aluminum,Aluminum,120.382,silver_plated,USW,4.13,3.7,20.0,1426.855054,28.909103,997.392198,421.185733,,,,,,,,,,,
187,Copper,StainlessSteel,127.537,nickel_plated,USW,4.815,8.456,25.679,1748.675584,45.525109,896.177271,196.642787,,,,,,,,,,,
188,Aluminum,StainlessSteel,127.216,oxide_heavy,Laser,4.047,6.969,65.181,,,,,469.555909,33.986708,244.317107,1.357515,0.191749,,,,,,
