sample_id,cycles_to_failure,resistance_growth_pct_1000,retained_strength_pct_1000,delamination_probability,failure_mode
241,249,14.406308,33.676701,0.872318,interfacial_delamination
242,2876,9.407923,80.891228,0.150995,mixed
243,1466,8.60363,57.340516,0.6324,porosity_cracking
244,265,16.136301,35.612084,1.0,interfacial_delamination
245,341,18.100281,37.086959,0.965896,interfacial_delamination
246,115,14.168218,41.18544,0.984604,interfacial_delamination
247,230,18.850165,44.676485,0.961412,interfacial_delamination
248,2777,9.699128,81.002405,0.210234,mixed
249,1049,12.772514,60.415352,0.635646,porosity_cracking
250,113,17.814755,34.55949,0.901865,interfacial_delamination
251,2175,12.902287,80.886846,0.307075,porosity_cracking
252,1375,12.241972,63.157627,0.584994,porosity_cracking
253,309,21.184066,34.854723,0.91534,interfacial_delamination
254,177,18.230819,36.309543,0.910188,interfacial_delamination
255,1495,11.302668,70.653237,0.591577,porosity_cracking
256,393,17.874347,34.616116,0.947056,interfacial_delamination
257,1707,7.495948,71.729774,0.396301,porosity_cracking
258,268,17.552444,48.417024,0.920178,interfacial_delamination
259,121,17.386133,31.7657,0.973518,interfacial_delamination
260,50,13.815992,24.891786,1.0,interfacial_delamination
261,62,16.58477,47.339146,0.90692,interfacial_delamination
262,51,21.082179,40.453634,0.959556,interfacial_delamination
263,2277,8.682916,78.057957,0.075646,mixed
264,2102,11.13309,65.780865,0.298126,mixed
265,2211,15.557787,77.360535,0.193856,mixed
266,1253,15.648668,64.46193,0.656695,porosity_cracking
267,51,14.938336,37.187694,0.979048,interfacial_delamination
268,268,17.876758,40.178742,0.989092,interfacial_delamination
269,171,17.904648,33.339151,0.999844,interfacial_delamination
270,1269,15.867645,65.447723,0.479663,porosity_cracking
271,234,16.773304,41.758974,0.978798,interfacial_delamination
272,331,18.096243,39.524213,0.962104,interfacial_delamination
273,1456,10.427699,72.060283,0.508196,porosity_cracking
274,2312,13.028557,70.380258,0.256421,porosity_cracking
275,1097,13.807855,59.13481,0.826173,interfacial_delamination
276,3148,8.304077,82.979524,0.162797,tearing
277,74,13.887631,37.822909,0.959085,interfacial_delamination
278,1718,14.515442,65.526427,0.497924,porosity_cracking
279,409,12.931136,36.456451,0.930944,interfacial_delamination
280,187,19.685771,33.385589,0.96084,interfacial_delamination
281,1477,9.843607,61.271021,0.663547,porosity_cracking
282,2679,10.364967,80.83189,0.129433,tearing
283,1156,12.814309,57.5416,0.647805,interfacial_delamination
284,509,14.823746,44.794937,0.877493,interfacial_delamination
285,121,12.478682,35.817011,0.879296,interfacial_delamination
286,1862,12.050236,64.39691,0.135725,tearing
287,242,13.960917,29.871988,0.891681,interfacial_delamination
288,643,14.817716,46.740217,0.699749,interfacial_delamination
289,737,16.364471,55.185991,0.760247,interfacial_delamination
290,2794,15.228248,76.535365,0.137562,mixed
291,181,17.911798,37.438546,0.86561,interfacial_delamination
292,158,22.42473,41.753828,0.973905,interfacial_delamination
293,260,15.176616,38.931869,0.899625,interfacial_delamination
294,1480,14.102361,59.976921,0.242892,mixed
295,209,18.322175,37.826399,0.959562,interfacial_delamination
296,50,18.886266,39.397653,0.955242,interfacial_delamination
297,50,14.150005,35.345445,1.0,interfacial_delamination
298,475,18.417179,48.675586,0.795264,interfacial_delamination
299,1234,14.267249,50.923349,0.675518,interfacial_delamination
300,847,18.592787,49.276647,0.692504,interfacial_delamination
301,2193,15.187397,75.687043,0.190521,tearing
302,332,18.064634,43.078994,0.861073,interfacial_delamination
303,287,17.833777,28.34011,1.0,interfacial_delamination
304,2823,13.65263,74.956079,0.161443,tearing
305,1418,12.099401,69.175483,0.620182,porosity_cracking
306,50,20.977278,33.346543,0.976327,interfacial_delamination
307,237,14.538151,32.346794,0.964011,interfacial_delamination
308,2588,13.141263,86.356096,0.141279,pullout
309,245,18.953634,43.070557,0.934125,interfacial_delamination
310,50,15.369751,32.914951,0.905245,interfacial_delamination
311,51,14.921318,36.85496,0.966279,interfacial_delamination
312,361,12.012748,35.157416,0.992027,interfacial_delamination
313,323,14.53146,41.776667,0.963702,interfacial_delamination
314,220,18.613909,33.668439,0.981309,interfacial_delamination
315,90,16.445767,31.791344,0.986852,interfacial_delamination
316,364,18.224637,37.070185,0.946528,interfacial_delamination
317,166,19.781988,30.169502,0.980352,interfacial_delamination
318,55,15.131485,34.005302,0.908667,interfacial_delamination
319,2740,9.245248,86.606355,0.10964,tearing
320,349,16.036393,38.715622,0.949692,interfacial_delamination
321,1650,15.337864,61.938755,0.52274,porosity_cracking
322,169,12.036719,45.78846,0.963821,interfacial_delamination
323,2721,8.722388,77.712426,0.107247,tearing
324,50,16.212142,33.955389,0.937181,interfacial_delamination
325,1504,12.323953,61.972121,0.535607,porosity_cracking
326,154,16.645915,35.56058,1.0,interfacial_delamination
327,157,15.522647,43.194422,0.960508,interfacial_delamination
328,357,13.741722,35.637661,0.914257,interfacial_delamination
329,151,20.624874,31.884447,0.977449,interfacial_delamination
330,173,19.960617,34.670278,0.954036,interfacial_delamination
331,3120,8.736015,76.396617,0.124857,pullout
332,1459,16.573795,66.632048,0.193843,tearing
333,266,16.89803,35.074699,0.940029,interfacial_delamination
334,116,13.346071,38.858249,0.971895,interfacial_delamination
335,206,19.730587,29.010857,0.974708,interfacial_delamination
336,1067,16.014716,56.940005,0.725018,interfacial_delamination
337,716,13.086934,52.107884,0.736065,interfacial_delamination
338,409,16.441508,41.585553,1.0,interfacial_delamination
339,158,16.625746,42.129617,1.0,interfacial_delamination
340,70,14.59637,31.916322,0.947822,interfacial_delamination
341,1471,16.493507,62.738501,0.419632,mixed
342,2057,16.820123,65.051222,0.200653,pullout
343,2470,11.680838,78.528147,0.196945,pullout
344,183,17.801971,42.402809,0.938841,interfacial_delamination
345,1033,12.921056,62.241008,0.435365,tearing
346,1131,8.931529,65.767669,0.564215,pullout
347,1304,13.662919,62.431584,0.598017,porosity_cracking
348,2578,11.801155,73.961752,0.349548,mixed
349,286,15.841376,30.444492,1.0,interfacial_delamination
350,1073,15.243022,57.211531,0.647392,interfacial_delamination
351,2453,13.642577,78.451168,0.322747,mixed
352,216,16.749972,36.76771,0.934566,interfacial_delamination
353,228,17.592414,37.90512,0.991877,interfacial_delamination
354,339,16.350492,39.77475,0.832025,interfacial_delamination
355,151,20.979884,43.305403,1.0,interfacial_delamination
356,300,18.259142,41.303815,0.896833,interfacial_delamination
357,108,14.716425,33.359365,0.909145,interfacial_delamination
358,2396,6.854649,67.379583,0.195054,pullout
359,2790,7.336933,72.130459,0.129369,tearing
360,904,15.613113,56.692026,0.690041,interfacial_delamination
361,1492,16.369055,59.812954,0.510136,porosity_cracking
362,256,16.775056,51.368362,0.991221,interfacial_delamination
363,2727,12.028033,83.870502,0.188848,tearing
364,1030,12.851846,53.050549,0.780995,interfacial_delamination
365,213,18.560378,41.798991,0.964332,interfacial_delamination
366,2885,9.09204,82.368051,0.05599,mixed
367,155,19.189582,40.33961,0.888736,interfacial_delamination
368,50,17.543075,32.171347,1.0,interfacial_delamination
369,498,11.733574,52.447865,0.807076,interfacial_delamination
370,297,17.142428,39.599794,0.893302,interfacial_delamination
371,50,17.168389,39.632781,0.956912,interfacial_delamination
372,1854,6.335753,64.488119,0.291202,pullout
373,233,17.98877,31.838108,0.933581,interfacial_delamination
374,133,20.309848,29.73448,0.972741,interfacial_delamination
375,769,13.845908,60.155168,0.724196,interfacial_delamination
376,141,15.441172,35.872877,0.912736,interfacial_delamination
377,1856,15.833728,73.332972,0.409668,porosity_cracking
378,322,18.352792,37.896682,0.950853,interfacial_delamination
379,136,15.13995,35.732425,0.938685,interfacial_delamination
380,50,13.695046,38.957903,0.956723,interfacial_delamination
381,50,17.773971,38.600019,1.0,interfacial_delamination
382,319,14.378132,38.07073,0.996646,interfacial_delamination
383,83,12.449324,39.367968,0.96358,interfacial_delamination
384,50,14.978701,33.406388,0.952897,interfacial_delamination
385,175,17.759498,37.589243,0.978877,interfacial_delamination
386,759,16.837295,38.129557,0.794766,interfacial_delamination
387,1384,12.484396,60.767661,0.60146,interfacial_delamination
388,72,13.960206,40.900167,0.956286,interfacial_delamination
389,259,16.338251,30.088159,0.992306,interfacial_delamination
390,90,14.314756,38.61506,0.988856,interfacial_delamination
391,2559,16.548751,74.951627,0.092114,mixed
392,50,15.18936,37.933355,0.949846,interfacial_delamination
393,2981,15.885595,82.59519,0.125734,pullout
394,1094,13.14553,64.535561,0.699728,porosity_cracking
395,247,12.518631,45.364563,0.965258,interfacial_delamination
396,1348,11.52687,64.520801,0.524376,porosity_cracking
397,50,17.344068,37.978498,0.95535,interfacial_delamination
398,50,15.285488,24.28477,0.968941,interfacial_delamination
399,2690,11.973634,80.060786,0.246792,pullout
400,1770,11.588377,72.243282,0.574255,porosity_cracking
401,1792,13.58483,63.499569,0.346957,porosity_cracking
402,2585,11.609116,80.68815,0.074519,mixed
403,193,16.328717,32.081259,0.996271,interfacial_delamination
404,2091,13.338099,77.675326,0.336429,porosity_cracking
405,149,20.313562,34.584239,0.931522,interfacial_delamination
406,2008,11.840261,71.300348,0.260977,pullout
407,266,14.727823,41.346386,1.0,interfacial_delamination
408,2478,7.942782,74.818385,0.08565,tearing
409,211,17.345845,34.834406,0.923336,interfacial_delamination
410,2484,9.959309,79.097034,0.115297,mixed
411,149,19.197001,34.84539,0.980431,interfacial_delamination
412,1313,10.802144,69.470963,0.540557,porosity_cracking
413,2256,11.859072,80.177667,0.107188,tearing
414,1298,10.98526,68.99793,0.467202,porosity_cracking
415,268,15.997869,29.529926,0.969755,interfacial_delamination
416,1327,14.035763,55.882384,0.474488,porosity_cracking
417,408,20.033515,40.240205,0.98025,interfacial_delamination
418,107,16.782227,38.023074,0.935181,interfacial_delamination
419,112,14.939465,44.316018,0.958752,interfacial_delamination
420,148,23.153014,39.095744,0.99584,interfacial_delamination
421,2907,12.096344,79.576442,0.127958,tearing
422,1710,13.003648,58.605946,0.649842,porosity_cracking
423,2995,13.881789,76.638735,0.082614,tearing
424,1384,12.186447,61.061323,0.727035,interfacial_delamination
425,1800,10.034866,62.06255,0.507957,porosity_cracking
426,56,16.938588,38.055943,0.924294,interfacial_delamination
427,1613,18.361542,60.238906,0.489252,porosity_cracking
428,111,18.525324,45.045052,1.0,interfacial_delamination
429,3189,9.733719,86.495102,0.141146,tearing
430,636,22.290744,53.528549,0.377374,porosity_cracking
431,2628,13.005118,77.616599,0.212863,tearing
432,2777,10.757392,78.238889,0.129077,mixed
433,1580,15.34995,66.170224,0.597701,porosity_cracking
434,261,14.608357,42.065939,0.881209,interfacial_delamination
435,205,15.35979,52.077671,0.867301,interfacial_delamination
436,312,15.081884,40.034706,0.967648,interfacial_delamination
437,400,15.244319,37.943421,0.989948,interfacial_delamination
438,198,14.628516,41.535482,0.979008,interfacial_delamination
439,2769,7.430834,80.124954,0.083382,tearing
440,1583,11.406681,63.414911,0.512336,porosity_cracking
441,255,15.418866,39.898884,0.873247,interfacial_delamination
442,1939,15.758894,63.939738,0.360594,pullout
443,2106,9.724548,81.198829,0.383264,porosity_cracking
444,50,15.481534,36.612848,0.941939,interfacial_delamination
445,292,16.360335,34.731512,0.944467,interfacial_delamination
446,127,15.354882,34.227632,0.94403,interfacial_delamination
447,177,13.608909,39.246437,1.0,interfacial_delamination
448,1730,12.2826,75.432504,0.337005,porosity_cracking
449,295,15.20676,40.317511,0.996228,interfacial_delamination
450,204,19.6069,36.313049,0.905942,interfacial_delamination
451,1369,12.800547,60.514622,0.519274,porosity_cracking
452,450,11.354089,28.824892,0.909861,interfacial_delamination
453,116,12.983259,39.380983,0.983279,interfacial_delamination
454,1841,15.399548,66.358386,0.122324,tearing
455,90,18.034541,33.734169,0.998883,interfacial_delamination
456,50,17.970499,40.066017,0.971759,interfacial_delamination
457,219,15.363066,25.02669,0.966658,interfacial_delamination
458,50,20.430697,31.58226,1.0,interfacial_delamination
459,814,12.060226,48.219741,0.787958,interfacial_delamination
460,182,15.919287,37.372624,1.0,interfacial_delamination
461,165,13.029192,39.753939,0.960663,interfacial_delamination
462,124,13.892281,30.777118,1.0,interfacial_delamination
463,78,20.015302,38.376837,0.940336,interfacial_delamination
464,165,16.035802,27.488263,0.963016,interfacial_delamination
465,298,15.442831,43.660338,0.912266,interfacial_delamination
466,1411,13.681714,55.552006,0.620998,porosity_cracking
467,50,16.196429,37.967786,0.972009,interfacial_delamination
468,396,15.614471,44.767359,0.895039,interfacial_delamination
469,50,19.734838,40.531554,0.89443,interfacial_delamination
470,155,19.322047,36.859035,0.978521,interfacial_delamination
471,600,14.756369,45.646154,0.856366,interfacial_delamination
472,136,14.222675,33.207268,0.970895,interfacial_delamination
473,157,14.123709,33.138563,0.979653,interfacial_delamination
474,184,15.974212,24.841468,0.988449,interfacial_delamination
475,96,20.0922,46.128524,0.970056,interfacial_delamination
476,1091,18.767056,60.829891,0.2515,mixed
477,160,15.736681,36.150989,0.910207,interfacial_delamination
478,1288,10.12199,62.304401,0.568398,porosity_cracking
479,2404,11.774695,81.887849,0.165408,mixed
480,718,16.364202,47.734187,0.825504,interfacial_delamination
481,766,16.078623,56.47114,0.809046,interfacial_delamination
482,2215,13.316048,62.736637,0.159277,mixed
483,3122,7.645882,82.415688,0.09693,pullout
484,1666,16.090753,63.783118,0.487554,porosity_cracking
485,203,14.556591,46.412283,0.930627,interfacial_delamination
486,50,17.568348,36.687965,0.962,interfacial_delamination
487,811,19.185647,62.644847,0.727257,interfacial_delamination
488,324,18.711438,32.860027,0.99287,interfacial_delamination
489,2706,11.652327,79.07543,0.218722,pullout
490,1392,8.783343,62.101317,0.565186,porosity_cracking
491,2266,14.607067,79.590738,0.189937,tearing
492,261,17.784389,36.237359,0.962302,interfacial_delamination
493,154,15.32406,30.43627,1.0,interfacial_delamination
494,353,16.87988,29.535192,0.954425,interfacial_delamination
495,145,15.326375,34.112992,1.0,interfacial_delamination
496,513,18.072915,53.744355,0.811698,interfacial_delamination
497,2557,14.767266,75.058409,0.179257,mixed
498,189,18.967666,38.965169,0.934435,interfacial_delamination
499,268,11.209151,35.705563,0.950367,interfacial_delamination
500,156,13.685104,40.460513,0.890162,interfacial_delamination
501,50,14.862175,27.923217,0.984817,interfacial_delamination
502,1892,12.736837,58.556946,0.512727,porosity_cracking
503,154,19.45386,42.016259,0.97909,interfacial_delamination
504,189,14.608712,43.047209,1.0,interfacial_delamination
505,213,19.071775,34.045211,0.992591,interfacial_delamination
506,2376,13.536449,71.825271,0.175963,pullout
507,50,14.47103,43.043936,0.946479,interfacial_delamination
508,1874,13.127288,71.653037,0.135292,tearing
509,198,16.235367,42.639324,0.967174,interfacial_delamination
510,238,15.098476,34.51396,0.958746,interfacial_delamination
511,327,13.734513,34.189286,0.986796,interfacial_delamination
512,1358,16.452579,61.747539,0.698841,interfacial_delamination
