sample_id,effective_energy_j,energy_density_j_mm2,peak_temperature_c,fused_area_mm2,nugget_diameter_mm,porosity_pct,spatter_mass_mg,intermetallic_thickness_um,hardness_hv,bond_integrity_score,immediate_shear_strength_n,joint_resistance_mohm
57,2148.18894,49.557101,116297.039,43.347752,7.429137,35.0,25.0,12.0,350.0,0.0,1237.383708,3.434573
58,29748.372214,2738.440432,3235308.141,10.863253,3.719076,35.0,25.0,12.0,350.0,0.0,351.898569,4.612405
59,417.776602,7.359156,24684.068,56.769632,8.501843,35.0,5.561211,3.041322,350.0,0.443697,2814.071875,10.210179
60,960.685901,25.396657,39346.323,37.827258,6.939968,35.0,25.0,12.0,350.0,0.0,1068.438567,3.291192
61,101466.887406,1536.533839,3585297.708,65.510472,9.132936,35.0,25.0,12.0,350.0,0.0,1811.335008,7.984345
62,148.076387,4.089194,10744.522,33.258173,6.507351,6.57919,0.0,2.219532,321.124825,0.715207,1827.905521,6.654708
63,42929.545853,548.10583,866682.576,72.247474,9.591055,35.0,25.0,12.0,350.0,0.0,2023.946633,7.111202
64,155.924754,4.121341,9623.235,33.97859,6.577453,7.736808,0.328835,2.890214,306.02619,0.651749,1753.43057,1.535286
65,184.435309,17.105436,16629.743,10.446825,3.647096,35.0,25.0,6.344749,350.0,0.0,328.819982,5.649301
66,4133.29852,166.316158,474899.402,24.852056,5.625177,35.0,25.0,12.0,350.0,0.0,727.055302,3.911636
67,360.128447,9.134197,27887.032,39.426392,7.085142,35.0,9.749282,6.114511,350.0,0.038916,1132.451554,3.867446
68,302.035362,18.622093,33774.218,16.219195,4.544328,35.0,25.0,6.909161,350.0,0.0,466.49566,5.821268
69,330.477732,13.508137,22645.46,24.465086,5.581211,35.0,25.0,7.778858,350.0,0.0,709.361675,3.906499
70,192.844402,16.152262,17693.124,11.748345,3.867617,35.0,25.0,4.385585,350.0,0.288043,465.213905,4.263005
71,148.277418,8.046097,13088.591,18.428489,4.843953,35.0,7.130182,5.022382,350.0,0.11179,624.720111,3.756454
72,169.169209,2.203883,6031.115,47.474155,7.774701,7.702595,0.638614,0.964767,211.002468,0.564252,2363.999053,4.350247
73,19969.727831,1415.659981,1908639.155,13.935809,4.212318,35.0,25.0,12.0,350.0,0.0,436.557578,4.331414
74,567.82364,15.166323,20177.751,37.43977,6.904332,35.0,25.0,12.0,350.0,0.0,1070.851886,4.263165
75,98.848119,2.728208,2725.94,29.322614,6.110214,4.086013,0.0,0.05,134.622906,0.644248,1254.610611,1.245666
76,143.064852,3.823621,12207.837,30.693618,6.251426,6.267132,0.0,1.09279,336.513346,0.681952,1585.82156,1.351606
77,6950.201702,94.039789,162251.248,72.425731,9.60288,35.0,25.0,12.0,350.0,0.0,2018.449688,3.191098
78,526.67848,13.40598,23301.427,39.286833,7.072591,35.0,25.0,5.236574,350.0,0.16133,1248.542057,3.607356
79,21916.505075,511.165572,2184295.047,42.774494,7.379849,35.0,25.0,12.0,350.0,0.0,1184.430438,3.602504
80,130.22313,4.44781,10961.398,24.046357,5.533243,11.009057,0.0,1.305068,314.287282,0.607417,1292.417558,1.759997
81,7338.59747,181.839076,326661.974,40.344026,7.16712,35.0,25.0,12.0,350.0,0.0,1168.565346,4.213826
82,211.333963,5.272265,10080.031,38.847299,7.032917,16.184867,0.0,3.213882,319.767208,0.64011,1883.408503,2.203888
83,416.686242,15.179858,27422.649,27.449943,5.911882,35.0,25.0,1.851787,350.0,0.467553,1528.843874,3.278526
84,297.973445,17.09979,46152.784,17.425561,4.710299,35.0,25.0,4.328782,350.0,0.216879,687.005188,4.346544
85,215.858993,5.395667,16681.64,36.163102,6.785594,17.002232,2.126448,0.497969,350.0,0.588798,1658.891475,2.033196
86,145156.119049,3675.969435,5996011.048,38.209231,6.97492,35.0,25.0,12.0,350.0,0.0,1096.451668,10.267445
87,489.421157,12.435723,67485.168,37.193796,6.881614,35.0,25.0,6.874627,350.0,0.0,1043.517792,3.630096
88,6234.190292,115.841118,284143.274,50.553106,8.022856,35.0,25.0,12.0,350.0,0.0,1428.742969,3.63329
89,1684.24559,47.288313,206791.177,35.616529,6.73412,35.0,25.0,11.463947,350.0,0.0,1000.82302,3.657274
90,159.549178,3.936968,6686.014,32.997693,6.481818,7.100985,0.0,0.83682,222.75068,0.635082,1597.686431,1.640685
91,3937.604882,106.31443,273007.564,37.037351,6.867126,35.0,25.0,12.0,350.0,0.0,1040.060424,10.363466
92,477.347418,7.993693,15758.347,58.903178,8.66013,35.0,6.25302,5.214487,350.0,0.102675,1870.103834,3.079213
93,87.359289,2.220027,11420.567,27.815101,5.951074,5.729841,0.0,1.886694,330.254421,0.56465,1539.73008,9.034007
94,353.658946,9.661806,14616.113,36.603812,6.826816,35.0,11.205057,1.713612,350.0,0.436226,2032.818986,2.9968
95,1076.111019,19.02572,78040.903,56.560857,8.486196,35.0,25.0,12.0,350.0,0.0,1570.678409,6.637863
96,1908.42497,75.022808,123593.673,25.43793,5.691096,35.0,25.0,12.0,350.0,0.0,761.560719,3.676234
97,823.103466,28.832269,62264.891,28.547995,6.028966,35.0,25.0,12.0,350.0,0.0,845.349052,10.471295
98,271.18214,10.791458,35455.445,25.129333,5.656471,35.0,18.025272,4.057145,350.0,0.347407,1035.657445,4.238633
99,200.946325,3.399092,4615.292,50.135774,7.989671,4.281495,0.0,2.979492,206.883589,0.722215,2542.694195,1.455182
100,1155.857612,69.743925,90467.35,16.572879,4.593609,35.0,25.0,12.0,350.0,0.0,487.851727,4.88556
101,403.007325,39.895221,66365.983,10.101644,3.586337,35.0,25.0,12.0,350.0,0.0,337.09144,6.607549
102,179.988747,3.551121,3861.508,45.014768,7.57064,5.516783,0.432692,0.546062,163.38291,0.670052,2098.201468,1.3056
103,646.710684,22.305948,55073.428,28.992747,6.075748,35.0,25.0,12.0,350.0,0.0,838.304866,17.964437
104,3436.977431,96.694027,136166.849,35.544878,6.727343,35.0,25.0,12.0,350.0,0.0,986.596778,3.96022
105,19134.396267,900.997903,1402159.923,21.236893,5.199967,35.0,25.0,12.0,350.0,0.0,610.88262,5.031304
106,387.793464,14.341033,25535.497,27.040832,5.867662,35.0,25.0,12.0,350.0,0.0,778.231447,3.942467
107,170.586385,2.224806,3071.59,51.794191,8.12074,6.76454,0.467168,1.521178,158.83477,0.513442,2782.378704,2.908833
108,1152.619836,34.569724,37195.259,33.341887,6.515536,35.0,25.0,12.0,350.0,0.0,973.146812,4.459154
109,254.009664,7.606388,25240.033,33.394256,6.520651,35.0,4.698078,5.223106,350.0,0.14843,1067.137543,3.161499
110,126409.878292,10105.731035,28060806.495,12.508732,3.990816,35.0,25.0,12.0,350.0,0.0,382.865952,25.0
111,108.44415,2.808966,6724.028,28.281701,6.000782,2.871026,0.0,2.093243,238.487181,0.650494,1559.888468,1.216909
112,1969.995715,102.180467,297856.068,19.279572,4.954545,35.0,25.0,12.0,350.0,0.0,584.098465,17.909522
113,6895.108114,231.844406,257208.851,26.827179,5.844435,35.0,25.0,12.0,350.0,0.0,762.858222,3.739295
114,247.74926,7.773598,13635.461,31.870605,6.370158,35.0,6.036564,3.216806,350.0,0.390412,1556.582193,16.169842
115,1634.618506,31.413621,53532.416,50.865725,8.047624,35.0,25.0,12.0,350.0,0.0,1419.141664,3.864568
116,245.466923,7.351495,13854.405,32.40842,6.423681,35.0,4.297546,5.142015,350.0,0.135693,1067.000058,3.440836
117,9936.751471,159.918285,270695.105,62.136431,8.894637,35.0,25.0,12.0,350.0,0.0,1723.140502,7.323528
118,407.066472,13.72538,16017.3,29.657939,6.145052,35.0,25.0,8.080793,350.0,0.0,847.492055,4.067683
119,315.84443,8.934213,42091.02,34.866331,6.662822,35.0,9.566659,1.605487,350.0,0.387261,1922.102983,3.051421
120,503.995137,25.581299,52878.335,19.701702,5.008491,35.0,25.0,7.15917,350.0,0.0,576.760276,4.501108
121,775.278959,18.533775,46515.084,41.830602,7.297971,35.0,25.0,11.7648,350.0,0.0,1177.641396,3.691845
122,564.901476,30.169702,38961.613,18.724132,4.882654,35.0,25.0,12.0,350.0,0.0,566.278178,20.620673
123,274.619483,23.590094,95811.994,11.641305,3.849957,35.0,25.0,8.551735,350.0,0.0,337.582763,6.548738
124,79.816376,3.106063,9903.147,19.203145,4.944715,4.301204,0.0,2.140702,302.567436,0.649347,1081.128039,1.564647
125,248.37337,8.740787,14047.086,26.400139,5.797732,35.0,9.150897,7.327903,350.0,0.0,749.869755,25.0
126,6469.911086,134.987061,454457.431,47.929861,7.811926,35.0,25.0,12.0,350.0,0.0,1328.543587,3.466811
127,6489.775768,133.29521,357527.928,48.687239,7.873406,35.0,25.0,12.0,350.0,0.0,1366.261632,3.537461
128,1569.211978,78.329851,174977.122,20.033384,5.050475,35.0,25.0,12.0,350.0,0.0,587.8869,4.001808
129,41.833915,2.371308,11220.472,11.956337,3.901702,4.32453,0.317655,2.121858,329.044905,0.601453,668.988692,3.27729
130,18928.554872,287.942839,484898.485,65.737196,9.148727,35.0,25.0,12.0,350.0,0.0,1830.316063,3.909267
131,126.777664,3.205323,4416.734,32.581632,6.440825,5.541251,0.0,1.357172,183.099265,0.637846,1749.669615,1.870541
132,5097.079845,119.786023,223435.426,42.551541,7.360591,35.0,25.0,12.0,350.0,0.0,1188.430192,3.451597
133,67.236507,2.029727,4989.867,21.627336,5.24755,12.078611,0.0,0.566896,185.460685,0.460119,1013.862142,2.200059
134,1224.7988,23.175655,42329.578,51.963524,8.134004,35.0,25.0,12.0,350.0,0.0,1452.953703,9.059408
135,367.010146,3.810086,8662.136,86.221557,10.477628,8.40085,0.0,2.238109,279.112354,0.673997,4679.334642,1.401289
136,7772.398329,261.634592,975076.997,25.568372,5.705669,35.0,25.0,12.0,350.0,0.0,744.906664,3.916332
137,2068.872252,48.380661,74807.955,39.650291,7.105232,35.0,25.0,12.0,350.0,0.0,1130.032005,3.480082
138,119.393157,2.664325,4592.521,30.431992,6.224726,5.432141,0.0,1.593736,190.575052,0.598961,1657.715451,1.522432
139,485.228117,14.900698,57863.541,32.12477,6.395508,35.0,25.0,9.046215,350.0,0.0,914.30056,3.655425
140,2544.092325,32.118194,88333.771,77.467033,9.93147,35.0,25.0,12.0,350.0,0.0,2127.929303,8.665801
141,275.591277,11.824193,34411.991,20.744966,5.139388,35.0,22.971397,4.648746,350.0,0.08153,730.533764,4.696465
142,11573.402433,226.875283,344654.577,51.012178,8.059201,35.0,25.0,12.0,350.0,0.0,1439.305157,3.486339
143,4746.506812,207.187432,496373.704,22.909241,5.400829,35.0,25.0,12.0,350.0,0.0,669.321402,3.88256
144,5175.203535,152.419435,339912.254,33.953699,6.575043,35.0,25.0,12.0,350.0,0.0,980.045139,4.096411
145,12032.321557,428.114553,921945.524,28.105378,5.982046,35.0,25.0,12.0,350.0,0.0,827.617371,4.095449
146,68.227042,1.388222,1975.586,27.236421,5.888844,7.422581,0.0,0.281871,121.81302,0.473407,1221.984397,1.758739
147,307.067251,5.032646,11155.377,56.967259,8.516629,14.73257,0.0,3.676218,346.721594,0.596393,2486.151582,1.946678
148,268.3666,8.119005,16298.294,32.302651,6.41319,35.0,6.648297,7.332602,350.0,0.0,938.403523,12.672102
149,1692.379697,56.158795,101877.642,30.135613,6.19434,35.0,25.0,12.0,350.0,0.0,881.221121,3.766689
150,412.98149,8.340173,14446.306,49.108522,7.907396,35.0,7.796508,4.279912,350.0,0.249497,1814.258785,3.622761
151,2521.470783,55.030953,98918.408,45.379786,7.601272,35.0,25.0,12.0,350.0,0.0,1280.295272,3.648621
152,293.896243,44.044525,77438.697,6.672708,2.914782,35.0,25.0,12.0,350.0,0.0,205.741031,9.334169
153,1321.866692,29.989726,49546.227,44.077318,7.491394,35.0,25.0,7.322295,350.0,0.0,1238.906968,2.973704
154,142467.898798,3476.931316,16002090.017,37.82126,6.939418,35.0,25.0,12.0,350.0,0.0,1041.312565,13.37222
155,73.470249,1.278081,1828.582,26.027805,5.756703,12.998527,0.0,1.470052,132.97938,0.351689,1424.739795,2.637871
156,600.125877,21.445806,36998.469,27.983367,5.969048,35.0,25.0,5.519686,350.0,0.069997,889.844173,4.605175
157,122.023165,2.310079,3586.3,38.332153,6.98613,4.097514,1.122024,1.560246,169.664098,0.611753,2098.365597,1.601317
158,82467.861703,5461.95843,10490779.712,15.098588,4.384532,35.0,25.0,12.0,350.0,0.0,427.620951,24.749228
159,2919.599569,115.849912,135687.899,25.201569,5.664595,35.0,25.0,12.0,350.0,0.0,751.585554,3.602842
160,16629.824298,401.292337,960768.606,41.440672,7.263877,35.0,25.0,12.0,350.0,0.0,1189.493035,3.345856
161,96.132797,2.229355,3777.01,28.36022,6.009106,6.296208,0.0,1.479447,172.893556,0.563377,1540.618968,1.595548
162,311.605077,9.410367,21107.268,33.112959,6.493129,35.0,10.999894,5.613145,350.0,0.04225,1012.86398,3.563243
163,1241.431379,40.478503,81316.224,30.668906,6.248909,35.0,25.0,12.0,350.0,0.0,883.701813,13.673067
164,130.998655,4.119713,9559.565,27.935871,5.96398,7.686229,1.441598,2.864293,304.29385,0.715032,1471.436187,1.654325
165,825.513895,21.873939,52406.383,37.739609,6.931923,35.0,25.0,5.315169,350.0,0.07537,1162.722122,3.073962
166,1097.497344,118.309259,248721.228,9.276513,3.436746,35.0,25.0,12.0,350.0,0.0,289.15382,22.410189
167,2100.534725,80.352108,89541.964,26.141626,5.769277,35.0,25.0,12.0,350.0,0.0,715.753495,3.815224
168,332.999434,7.261819,10174.056,42.477578,7.354191,35.0,4.322906,4.252218,333.983078,0.19609,1658.001442,8.496754
169,2962.659045,88.133238,306193.789,33.615684,6.542233,35.0,25.0,12.0,350.0,0.0,928.75933,3.62894
170,115271.918319,4880.022457,6955935.542,23.621186,5.484107,35.0,25.0,12.0,350.0,0.0,696.350514,17.657538
171,3936.587803,128.695285,166509.894,30.588438,6.240706,35.0,25.0,12.0,350.0,0.0,863.740987,3.723385
172,4649.471706,81.063235,181944.058,57.356109,8.545646,35.0,25.0,12.0,350.0,0.0,1607.492482,7.551155
173,183.68399,9.845468,29633.21,18.656704,4.873854,35.0,13.45754,1.364833,350.0,0.444465,1029.389761,3.31027
174,65.786003,2.261891,2997.599,19.189319,4.942934,3.467257,0.0,1.803658,160.976522,0.624088,1055.427054,1.569423
175,211.020166,4.198169,7724.338,47.510036,7.777638,6.294815,0.0,0.341519,237.440918,0.764183,2089.307651,1.155649
176,561.322834,13.613776,39434.951,40.069688,7.14271,35.0,25.0,12.0,350.0,0.0,1116.46741,3.466983
177,153.639859,2.806603,5909.199,43.146929,7.411908,1.3835,0.998332,2.007677,220.969699,0.725643,2353.239008,1.060648
178,315.367523,6.260504,8516.404,50.374143,8.008642,27.718263,2.468061,2.570872,279.991967,0.498516,2715.575171,2.958809
179,263.549741,6.831103,18192.771,35.691186,6.741174,33.156829,3.633803,6.58224,350.0,0.0,1018.159256,4.256157
180,15870.78006,258.369135,442091.084,59.029468,8.669409,35.0,25.0,12.0,350.0,0.0,1657.688716,4.267072
181,136041.538345,4468.133261,6599806.068,30.447064,6.226267,35.0,25.0,12.0,350.0,0.0,875.030837,13.553094
182,129.335297,2.498955,4717.244,40.723997,7.200792,3.536141,0.150434,1.745962,194.191522,0.63558,2247.115468,1.073038
183,137.827816,1.73616,4897.18,42.554663,7.360861,7.55625,0.450329,1.894221,200.274258,0.488202,2367.124308,1.512951
184,466.612865,9.402193,13640.237,49.62809,7.949116,35.0,12.809186,3.899103,350.0,0.304735,2089.286453,3.551477
185,358.953342,8.624981,14628.548,41.61787,7.27939,35.0,7.507547,5.504576,350.0,0.038887,1249.039907,3.089067
186,430.25855,28.157012,68028.845,15.280689,4.410893,35.0,25.0,4.522205,350.0,0.268304,561.693972,4.393042
187,168.145406,4.129785,6211.755,38.163024,6.970701,8.490821,0.144585,2.530751,234.090527,0.70739,2065.567695,8.790106
188,1273.473948,45.147236,83257.416,28.20713,5.992865,35.0,25.0,12.0,350.0,0.0,791.69465,25.0
189,461.033487,9.661627,29951.406,47.717996,7.794642,35.0,11.610331,1.033248,350.0,0.462995,2413.299198,2.89385
190,226.159972,3.30488,7199.732,61.368041,8.839469,6.486104,0.0,1.704771,243.643944,0.722104,3322.50392,1.322709
191,2248.199545,63.172233,295258.339,35.588413,6.731462,35.0,25.0,12.0,350.0,0.0,1011.682949,11.262007
192,1391.88824,23.190386,77575.176,59.949283,8.736693,35.0,25.0,12.0,350.0,0.0,1687.897063,3.436741
193,292.351265,27.057134,67921.929,10.430456,3.644238,35.0,25.0,10.525638,350.0,0.0,326.036691,7.791007
194,8415.948105,184.313359,572056.507,44.774617,7.550418,35.0,25.0,12.0,350.0,0.0,1282.305676,3.869119
195,228.777914,4.162492,4143.029,48.491167,7.857536,8.898783,0.0,0.458806,166.968529,0.676148,2215.75397,1.329224
196,94.140465,7.995332,14114.332,11.774428,3.871907,35.0,5.798411,7.07493,350.0,0.0,375.485166,25.0
197,262.449826,8.243137,15393.055,31.838587,6.366957,35.0,6.823412,3.400502,350.0,0.380493,1518.433909,25.0
198,3031.30412,41.202185,97711.544,73.57144,9.678536,35.0,25.0,12.0,350.0,0.0,2028.82166,3.216483
199,159.804684,2.718106,3172.922,45.974048,7.650881,2.802581,0.962629,1.231549,157.691447,0.692981,2373.478463,1.547491
200,119.146901,5.507348,7756.907,20.929823,5.162236,18.332428,0.0,2.812407,268.48703,0.633209,1108.658643,10.560706
201,254.404243,6.121177,10220.631,41.561331,7.274444,24.560528,1.619667,3.231827,322.794541,0.510474,1993.430737,3.191555
202,7849.900869,549.492024,688770.852,13.874416,4.203029,35.0,25.0,12.0,350.0,0.0,426.101664,4.115559
203,16206.835686,606.289723,951994.2,26.731173,5.833968,35.0,25.0,12.0,350.0,0.0,781.422343,3.568954
204,235.435939,3.251138,6936.857,56.669114,8.494313,4.816884,0.0,1.85005,239.436455,0.639813,3110.455799,1.619618
205,2866.01733,59.465235,394143.628,48.196519,7.833627,35.0,25.0,12.0,350.0,0.0,1336.85151,7.666655
206,278.569603,7.733921,16515.91,31.916816,6.374775,35.0,5.343784,1.555827,350.0,0.404501,1742.746873,2.707874
207,184.20939,13.547284,30634.951,13.597515,4.160877,35.0,25.0,3.380745,350.0,0.363721,697.903,5.166812
208,557.791787,29.478737,39956.597,18.921835,4.908363,35.0,25.0,12.0,350.0,0.0,559.150595,5.052967
209,249.481511,14.877668,20334.862,14.536028,4.302075,35.0,25.0,3.723485,350.0,0.258792,678.283801,3.983224
210,75.097933,2.981819,3647.412,19.15382,4.93836,4.724749,0.057344,1.07222,165.414891,0.67391,1009.841676,2.880254
211,379.801498,21.686213,147336.651,17.513501,4.722169,35.0,25.0,10.927646,350.0,0.0,549.350254,23.76816
212,531.902641,12.890713,17464.746,39.358081,7.079002,35.0,25.0,5.921762,350.0,0.0,1167.989155,9.358418
213,663.255514,11.246943,21353.757,58.972069,8.665193,35.0,19.043016,9.050476,350.0,0.0,1616.327639,6.551915
214,431.909403,29.522198,65059.531,14.629988,4.315956,35.0,25.0,4.316109,350.0,0.268341,557.650206,3.698751
215,221.368028,15.432297,148712.385,14.344464,4.273633,35.0,25.0,4.336779,350.0,0.233576,572.535484,4.965479
216,2988.579317,77.653517,157037.435,38.486078,7.000143,35.0,25.0,12.0,350.0,0.0,1097.409056,3.527359
217,66.777163,1.028386,1852.367,32.382679,6.42113,14.283232,0.054711,1.08606,128.803356,0.28932,1671.322693,6.472086
218,380.372407,6.357957,13061.956,58.152683,8.604783,22.457399,3.826389,3.10928,350.0,0.553511,2842.292619,2.724056
219,120.913241,4.712321,5650.907,25.260675,5.671234,10.591274,0.518874,0.98337,203.771237,0.713913,1307.012565,1.750157
220,539.703968,11.316846,20446.04,45.101172,7.577902,35.0,19.554552,3.289724,350.0,0.404742,2160.196622,3.037207
221,467.666932,23.932388,52143.178,19.541173,4.988045,35.0,25.0,12.0,350.0,0.0,611.386135,3.726959
222,92.101414,1.221753,1386.003,39.743907,7.113615,9.645675,1.047196,0.05,107.76987,0.465417,1637.545701,1.471395
223,857.521616,31.780222,49389.947,26.901543,5.85253,35.0,25.0,7.333424,350.0,0.0,777.031838,3.281269
224,493.099477,18.006911,36954.434,26.227658,5.778762,35.0,25.0,12.0,350.0,0.0,785.655798,11.048962
225,697.665591,16.95995,19566.156,41.136064,7.237131,35.0,25.0,5.014964,350.0,0.190935,1367.067037,2.84866
226,139.713077,5.523642,14272.691,21.616709,5.24626,14.855154,2.155887,2.766638,350.0,0.573993,1166.360178,8.923529
227,245.469245,10.176942,29833.086,22.457579,5.347324,35.0,14.36731,1.903453,350.0,0.407689,1267.729631,3.167132
228,187.515007,6.462347,10907.038,28.168086,5.988716,27.976865,1.855563,4.484757,350.0,0.222188,1015.16671,3.071904
229,1064.888937,26.656051,58823.104,39.949238,7.131967,35.0,25.0,12.0,350.0,0.0,1127.93824,12.038544
