technique,anode_material,anode_symbol,cathode_material,cathode_symbol,tab_thickness_um,surface_coating,power_W,pulse_energy_J,amplitude_um,force_N,weld_time_ms,speed_mm_s,pulse_frequency_Hz,preheat_temp_C,ambient_humidity_pct,clamp_area_mm2,linear_energy_density_J_per_mm,total_energy_input_J,nugget_diameter_mm,bond_area_mm2,porosity_pct,imc_thickness_um,peak_temp_C,haz_width_mm,contact_resistance_mOhm,tensile_shear_strength_N,peel_strength_N,visual_defect_score,microhardness_HV,forward_pass_fail,pressure_MPa,effective_energy_J,resistance_growth_pct_1000cyc,strength_retention_pct_1000cyc,cycles_to_failure,crack_growth_mm,delamination_probability,reliability_class
Laser,Copper,Cu,Aluminum,Al,243.3,Nickel-plated,658.82,,,318.14,2250.4,12.919,,14.4,18.5,21.63,50.997,889.558,6.0,28.274,8.736,4.545,166.2,0.468,0.3463,4320.1,2822.4,76.7,97.4,True,14.708,266.946,10.84,88.65,6227,0.251,0.4503,B
Laser,StainlessSteel,SS304,Nickel,Ni,249.3,Nickel-plated,308.21,3.9836,,389.27,2579.7,75.537,276.283,25.5,53.6,5.65,4.0802,1612.763,6.0,28.274,5.919,11.863,584.2,2.601,0.2126,3899.1,2520.6,69.3,129.7,True,68.905,990.128,15.56,79.94,9620,0.325,0.7266,B
Laser,Copper,Cu,Aluminum,Al,212.5,Nickel-plated,2457.09,,,221.96,1514.7,79.35,,115.3,40.1,22.13,30.9653,2233.043,6.0,28.274,4.352,12.0,364.9,1.083,0.2713,3517.1,2317.2,78.0,98.7,True,10.028,689.5,20.2,73.03,8560,0.319,0.7227,C
RSW,Copper,Cu,Copper,Cu,72.4,Anodized,3007.2,,,1638.86,316.7,,,-9.2,78.9,19.41,,670.751,6.0,28.274,8.621,4.438,149.4,0.521,0.5739,5306.3,3479.0,76.9,101.4,True,84.421,342.983,24.21,97.42,6519,0.278,0.4196,B
RSW,Copper,Cu,Aluminum,Al,91.1,Bare,2298.71,,,1680.45,257.8,,,101.2,42.5,7.3,,343.925,6.0,28.274,8.171,5.345,234.3,0.351,0.1367,3960.8,2560.4,83.1,90.0,True,230.162,186.228,11.07,84.71,7637,0.251,0.4923,B
Laser,Aluminum,Al,Aluminum,Al,153.6,Carbon-coated,1454.61,6.9813,,464.19,2520.2,63.757,53.748,8.9,64.2,16.26,22.8149,2577.824,6.0,28.274,8.82,12.0,444.3,2.188,0.5107,3136.3,2050.7,64.4,94.3,True,28.544,1257.958,18.4,76.39,8173,0.382,0.8082,B
Laser,Copper,Cu,Copper,Cu,111.6,Anodized,2911.75,,,393.74,615.2,81.313,,110.6,66.6,7.2,35.8089,1074.804,6.0,28.274,11.448,7.11,296.7,0.698,0.7654,3421.8,2232.7,73.2,107.2,True,54.65,480.497,20.98,78.65,5440,0.316,0.7368,B
RSW,Nickel,Ni,Copper,Cu,75.7,Bare,2610.91,,,834.23,177.3,,,68.8,28.6,13.55,,327.203,6.0,28.274,7.725,3.998,216.0,0.43,0.2432,5026.0,3269.8,83.6,106.2,True,61.557,212.102,7.8,95.3,8924,0.203,0.4362,A
RSW,Nickel,Ni,Copper,Cu,175.6,Tin-plated,1493.97,,,1095.87,481.9,,,65.2,70.1,15.11,,497.578,6.0,28.274,6.258,4.004,219.0,0.471,0.2937,5217.7,3402.8,81.1,109.4,True,72.539,236.81,11.0,94.7,8096,0.185,0.3868,A
RSW,Nickel,Ni,Copper,Cu,234.7,Bare,2127.88,,,1612.68,336.0,,,2.3,69.7,5.4,,468.75,6.0,28.274,6.847,2.663,144.2,0.398,0.1631,5938.1,3864.6,82.1,110.5,True,298.852,192.722,11.11,98.66,10686,0.167,0.3355,A
RSW,Nickel,Ni,Copper,Cu,184.7,Anodized,4931.44,,,1224.55,327.6,,,85.5,32.3,24.74,,1083.088,6.0,28.274,8.244,7.114,311.0,0.91,0.7125,3337.0,2174.5,73.2,107.6,True,49.488,503.148,16.45,83.02,7317,0.28,0.6082,B
Laser,Copper,Cu,Aluminum,Al,130.5,Bare,1422.79,0.4116,,779.47,778.6,88.693,66.455,114.8,14.0,10.59,16.0418,673.23,6.0,28.274,5.544,7.361,279.1,0.547,0.2538,3406.2,2196.8,77.8,93.2,True,73.604,321.136,16.44,80.53,6967,0.209,0.5444,B
RSW,Copper,Cu,Copper,Cu,111.9,Nickel-plated,5801.85,,,403.44,373.4,,,5.2,72.0,17.67,,1516.023,6.0,28.274,6.194,7.313,218.0,0.869,0.3486,4039.7,2643.0,78.4,118.8,True,22.836,613.658,14.86,91.8,7898,0.291,0.5541,A
RSW,StainlessSteel,SS304,Nickel,Ni,83.1,Bare,7876.77,,,2078.98,318.3,,,89.8,21.0,23.7,,1592.414,6.0,28.274,11.257,12.0,914.3,3.5,0.2231,3422.2,2234.4,60.4,137.2,True,87.731,1551.698,20.43,72.96,7243,0.438,0.8502,C
Laser,Copper,Cu,Aluminum,Al,195.8,Oxide,2654.4,10.0985,,308.4,2469.8,97.578,33.775,90.5,17.3,5.48,27.2027,4270.372,6.0,28.274,20.021,12.0,574.2,2.555,0.3924,2169.9,1452.7,36.0,120.5,False,56.321,1701.016,36.14,62.22,6733,0.607,0.9221,C
USW,Nickel,Ni,Aluminum,Al,237.2,Bare,1203.53,,21.14,315.38,574.3,,,114.9,36.2,6.12,,403.764,6.0,28.274,5.236,3.817,268.8,0.456,0.2813,5432.4,3550.6,78.5,109.3,True,51.518,194.049,11.68,92.39,9575,0.168,0.3361,A
RSW,StainlessSteel,SS304,Nickel,Ni,178.8,Bare,4534.62,,,1039.49,372.3,,,7.2,15.2,14.36,,1115.588,6.0,28.274,5.909,9.521,481.7,2.148,0.2914,3880.5,2543.0,75.5,130.6,True,72.394,812.373,14.03,84.08,8143,0.265,0.6696,B
RSW,Copper,Cu,Copper,Cu,113.8,Nickel-plated,5538.45,,,1874.33,56.3,,,87.7,56.3,10.35,,199.067,4.576,16.448,10.91,2.402,195.3,0.194,0.2013,3679.5,2377.3,75.8,99.9,True,181.054,88.369,11.71,89.85,9221,0.27,0.387,B
USW,Copper,Cu,Aluminum,Al,30.6,Oxide,859.98,,26.28,333.22,430.5,,,9.2,73.0,7.04,,226.837,6.0,28.274,8.909,3.055,135.1,0.306,0.5471,5194.5,3370.5,82.7,91.6,True,47.343,155.051,18.19,94.33,7201,0.205,0.4109,B
Laser,Copper,Cu,Copper,Cu,238.2,Carbon-coated,808.33,,,244.9,2893.7,96.773,,55.0,15.4,22.86,8.3528,1403.44,6.0,28.274,5.432,4.849,217.6,0.546,0.4722,5489.6,3602.8,79.5,110.9,True,10.711,362.731,6.16,97.02,7975,0.253,0.4164,A
USW,StainlessSteel,SS304,Nickel,Ni,92.1,Oxide,1706.18,,15.36,360.7,381.9,,,-1.0,42.6,10.87,,359.676,6.0,28.274,5.59,4.072,247.5,0.932,0.6649,5809.1,3775.1,84.4,112.0,True,33.173,334.841,9.94,100.0,8044,0.196,0.3907,A
RSW,Nickel,Ni,Copper,Cu,188.0,Oxide,6483.11,,,731.2,383.9,,,108.8,67.9,4.36,,1682.73,6.0,28.274,11.671,9.931,407.6,1.359,0.276,3034.7,1949.9,65.2,116.2,True,167.672,775.185,26.46,75.23,6275,0.353,0.8347,B
USW,Copper,Cu,Copper,Cu,221.3,Tin-plated,2526.49,,33.98,819.96,532.6,,,67.9,35.4,21.57,,881.909,6.0,28.274,6.947,4.196,216.2,0.455,0.2906,5776.5,3763.6,79.2,92.7,True,38.012,291.595,10.93,95.62,7851,0.242,0.404,A
USW,Nickel,Ni,Aluminum,Al,70.2,Bare,2291.08,,25.29,616.9,450.4,,,90.4,13.1,18.34,,626.539,6.0,28.274,2.367,7.041,339.4,1.015,0.3436,3885.3,2556.4,93.7,109.6,True,33.63,482.132,9.91,83.22,10036,0.173,0.4423,B
USW,Nickel,Ni,Copper,Cu,189.7,Nickel-plated,2576.97,,21.64,1147.92,313.6,,,85.6,10.6,18.24,,474.23,6.0,28.274,2.486,3.819,234.2,0.439,0.211,5831.3,3795.5,89.5,114.9,True,62.918,217.498,5.72,96.74,10842,0.127,0.2694,A
USW,Copper,Cu,Aluminum,Al,141.3,Nickel-plated,1988.97,,48.74,550.21,473.0,,,48.6,27.7,5.54,,693.735,6.0,28.274,6.287,6.453,212.8,0.546,0.227,3442.9,2231.0,86.4,99.1,True,99.368,320.39,16.4,87.08,8108,0.256,0.5404,B
RSW,Copper,Cu,StainlessSteel,SS304,216.3,Bare,7784.26,,,1829.46,291.0,,,48.3,59.0,10.65,,1489.844,6.0,28.274,8.31,8.413,340.3,1.297,0.1374,3319.1,2159.6,67.2,112.6,True,171.724,686.818,13.01,82.56,8056,0.241,0.6811,B
Laser,Copper,Cu,Aluminum,Al,145.4,Bare,2009.02,11.6524,,541.1,1901.6,106.995,274.246,68.9,25.2,15.96,18.7767,4722.95,6.0,28.274,14.353,12.0,653.5,3.19,0.4379,2644.8,1737.7,54.5,117.7,False,33.905,2137.301,25.28,69.49,5931,0.498,0.8838,C
USW,Copper,Cu,Aluminum,Al,123.4,Tin-plated,2044.96,,33.72,646.53,281.6,,,-3.7,35.0,22.46,,376.559,6.0,28.274,6.599,3.499,126.8,0.334,0.3255,5214.6,3344.6,78.3,100.0,True,28.779,174.784,10.3,96.15,7669,0.177,0.3453,A
USW,Copper,Cu,Aluminum,Al,195.4,Bare,1919.45,,15.48,553.12,497.6,,,39.6,16.7,16.59,,527.828,6.0,28.274,5.025,4.065,177.7,0.382,0.4161,5130.6,3337.8,89.5,96.6,True,33.338,207.73,11.06,95.2,8632,0.206,0.415,A
USW,StainlessSteel,SS304,Nickel,Ni,150.3,Bare,616.55,,21.42,590.68,311.1,,,-5.1,56.8,24.58,,112.341,4.517,16.022,9.369,1.94,123.2,0.286,0.5255,3457.6,2237.7,71.0,113.0,True,24.028,80.986,10.67,96.83,10272,0.27,0.379,A
USW,Aluminum,Al,Aluminum,Al,41.1,Bare,1406.55,,25.57,632.05,500.6,,,21.3,77.9,17.51,,428.66,6.0,28.274,5.176,4.137,200.0,0.621,0.4224,5033.0,3271.6,89.5,97.2,True,36.097,322.84,12.01,97.96,8506,0.104,0.364,A
USW,Nickel,Ni,Copper,Cu,65.9,Nickel-plated,2042.24,,50.44,155.31,144.5,,,51.1,22.4,10.89,,220.378,5.402,22.918,2.453,2.2,174.6,0.285,0.2455,5657.2,3671.4,93.9,100.3,True,14.262,124.528,4.85,100.0,12000,0.121,0.1639,A
USW,Aluminum,Al,Aluminum,Al,36.5,Bare,2370.76,,47.35,506.81,377.3,,,89.5,13.1,7.66,,652.635,6.0,28.274,3.396,6.55,317.1,0.92,0.2438,3660.7,2373.9,85.8,82.3,True,66.188,500.971,8.92,88.59,8625,0.219,0.4032,B
RSW,StainlessSteel,SS304,Nickel,Ni,228.4,Bare,5293.25,,,1438.36,193.7,,,20.2,58.2,24.68,,712.862,6.0,28.274,7.173,6.172,327.4,1.249,0.3403,4125.3,2668.5,83.9,124.6,True,58.269,458.998,14.99,88.54,7628,0.228,0.5481,B
USW,Copper,Cu,Copper,Cu,99.0,Nickel-plated,614.02,,36.48,436.27,455.6,,,118.4,20.3,13.88,,187.243,4.442,15.494,7.219,3.236,225.4,0.189,0.2717,3488.3,2299.8,85.2,100.7,True,31.436,84.84,10.12,88.48,8655,0.224,0.3534,B
USW,Aluminum,Al,Aluminum,Al,86.6,Bare,936.31,,21.48,418.33,144.8,,,101.8,32.2,6.09,,79.458,3.919,12.064,9.058,2.37,205.6,0.164,0.3148,2369.5,1538.9,77.7,82.6,True,68.737,50.341,8.68,89.09,9075,0.216,0.3441,B
USW,Copper,Cu,Copper,Cu,76.2,Nickel-plated,729.6,,37.24,210.98,390.5,,,-4.8,41.7,11.41,,191.903,4.644,16.941,9.889,1.256,102.1,0.189,0.4652,3599.8,2348.6,72.7,91.1,True,18.495,84.48,8.67,94.18,8390,0.23,0.359,A
USW,Copper,Cu,Aluminum,Al,207.0,Carbon-coated,915.95,,34.88,512.84,393.8,,,23.2,10.7,18.23,,238.21,4.9,18.854,7.701,2.455,133.4,0.207,0.4358,3783.9,2477.2,83.4,86.3,True,28.132,87.385,13.13,96.45,9038,0.22,0.352,A
USW,Copper,Cu,Aluminum,Al,66.3,Bare,1708.32,,37.18,1068.07,581.1,,,84.9,76.1,19.61,,668.282,6.0,28.274,6.362,7.922,266.4,0.656,0.3086,3338.1,2165.1,86.6,100.3,True,54.461,395.56,16.59,80.65,7265,0.241,0.5632,B
RSW,Aluminum,Al,Aluminum,Al,71.0,Bare,2667.45,,,1101.16,242.8,,,55.2,60.0,22.09,,412.233,6.0,28.274,3.258,4.339,221.1,0.543,0.3499,5080.9,3266.0,89.4,85.0,True,49.846,276.172,9.16,94.25,9044,0.166,0.2722,A
USW,Copper,Cu,Aluminum,Al,42.3,Carbon-coated,1061.66,,41.18,958.06,508.0,,,26.1,35.9,7.63,,375.086,6.0,28.274,5.041,5.129,172.6,0.435,0.1574,4406.4,2827.9,85.7,97.5,True,125.501,243.998,12.48,92.9,7407,0.212,0.4011,A
Laser,Copper,Cu,StainlessSteel,SS304,193.5,Oxide,480.87,,,652.44,819.8,31.894,,31.3,27.1,8.02,15.0772,236.532,6.0,28.274,16.066,1.806,155.2,0.284,0.4892,4625.1,3017.7,58.0,113.7,False,81.386,115.365,16.16,95.86,8433,0.357,0.5398,B
RSW,StainlessSteel,SS304,Nickel,Ni,156.0,Tin-plated,6552.58,,,381.82,171.4,,,2.3,29.6,15.23,,750.795,6.0,28.274,5.013,6.537,346.6,1.448,0.2381,4088.7,2658.1,82.6,115.9,True,25.078,537.273,11.4,93.19,9677,0.21,0.4079,A
Laser,Nickel,Ni,Copper,Cu,126.1,Oxide,2697.7,,,778.2,2410.0,86.405,,55.5,59.2,23.04,31.2214,3900.828,6.0,28.274,27.713,12.0,716.0,3.5,0.6271,2224.9,1438.4,19.8,136.0,False,33.78,2118.19,37.06,66.53,6125,0.822,0.9603,C
Laser,Copper,Cu,StainlessSteel,SS304,207.1,Bare,2973.6,5.3912,,567.09,259.1,20.9,153.239,4.8,77.0,21.03,142.2791,547.808,6.0,28.274,10.119,3.05,166.0,0.509,0.4916,5263.3,3427.9,76.2,108.5,True,26.968,242.294,12.45,94.22,7749,0.282,0.4371,A
USW,Copper,Cu,Aluminum,Al,43.5,Bare,1755.76,,58.3,1091.13,107.4,,,40.8,23.1,20.02,,149.092,5.052,20.044,10.954,2.832,153.1,0.22,0.4047,3553.6,2325.1,77.5,94.2,True,54.493,96.535,12.95,93.12,7143,0.256,0.3839,A
Laser,Copper,Cu,Copper,Cu,41.7,Tin-plated,1888.18,6.8354,,637.87,456.8,65.447,265.304,3.9,52.0,6.45,28.8505,848.809,6.0,28.274,5.195,5.808,191.7,0.709,0.2122,4775.6,3064.3,84.2,105.3,True,98.925,489.075,12.69,93.63,9231,0.188,0.4412,A
RSW,StainlessSteel,SS304,Nickel,Ni,206.8,Bare,7749.56,,,500.03,169.6,,,70.6,17.1,6.0,,729.184,6.0,28.274,3.604,6.846,394.6,1.339,0.2897,4145.9,2704.1,85.5,128.8,True,83.328,494.428,11.72,87.86,8462,0.176,0.4238,B
RSW,Nickel,Ni,Copper,Cu,191.9,Bare,4950.89,,,1220.28,150.2,,,102.0,20.2,7.19,,451.447,6.0,28.274,6.652,3.903,247.5,0.42,0.1086,5235.0,3365.1,79.5,105.9,True,169.66,205.879,7.72,91.06,8803,0.2,0.3704,A
RSW,StainlessSteel,SS304,Nickel,Ni,44.5,Bare,1666.77,,,604.35,310.4,,,29.3,50.9,11.99,,359.892,6.0,28.274,4.918,5.025,311.5,1.114,0.3114,5167.5,3371.2,89.4,125.0,True,50.412,405.991,8.44,95.3,7935,0.203,0.4306,A
RSW,StainlessSteel,SS304,Nickel,Ni,119.3,Nickel-plated,6202.0,,,1355.85,186.7,,,20.1,11.9,14.9,,780.841,6.0,28.274,4.839,7.927,429.4,1.797,0.1735,3987.6,2580.0,83.9,129.4,True,91.02,674.549,14.58,91.5,8273,0.213,0.4764,A
Laser,Nickel,Ni,Copper,Cu,196.9,Anodized,857.52,7.8116,,221.27,2863.0,99.375,42.584,36.3,77.0,6.58,8.6291,1854.006,6.0,28.274,6.773,9.832,348.8,1.443,0.8787,3443.2,2264.9,73.2,125.2,True,33.611,826.024,21.89,83.73,7062,0.259,0.6571,B
RSW,Nickel,Ni,Copper,Cu,164.6,Bare,2768.67,,,1137.39,442.0,,,55.9,24.2,11.17,,834.499,6.0,28.274,5.957,5.899,256.1,0.755,0.2361,4008.1,2648.6,85.6,111.1,True,101.855,409.097,13.1,93.14,7724,0.241,0.5071,A
USW,Copper,Cu,Aluminum,Al,202.9,Oxide,914.27,,58.05,1180.21,426.7,,,10.3,63.6,16.81,,307.904,5.262,21.746,11.11,2.721,128.2,0.255,0.5092,3929.3,2564.0,64.9,88.2,True,70.198,120.478,18.54,91.27,7790,0.321,0.4697,B
Laser,Aluminum,Al,Aluminum,Al,175.6,Oxide,1645.77,,,435.12,2701.0,56.458,,119.2,51.1,17.5,29.1502,2667.101,6.0,28.274,13.864,12.0,535.6,2.072,0.708,2702.9,1783.5,51.5,102.5,False,24.863,1188.773,27.89,68.08,6452,0.446,0.877,C
RSW,Aluminum,Al,Aluminum,Al,83.1,Bare,4727.51,,,2498.51,458.5,,,13.4,47.4,18.31,,1562.382,6.0,28.274,9.379,12.0,378.5,1.759,0.1738,3096.3,2021.1,65.8,106.4,True,136.446,1002.081,17.49,76.66,8505,0.341,0.7758,B
Laser,Copper,Cu,StainlessSteel,SS304,99.3,Nickel-plated,1986.3,6.3706,,178.65,508.5,68.826,87.507,44.3,78.1,6.62,28.8598,719.406,6.0,28.274,8.835,5.62,261.6,0.847,0.314,3890.5,2516.8,86.6,126.2,True,26.97,432.815,11.07,90.63,7691,0.284,0.5596,A
Laser,Aluminum,Al,Aluminum,Al,106.3,Oxide,2505.15,3.6915,,897.47,461.6,44.83,287.931,111.5,70.0,14.27,55.8806,890.007,6.0,28.274,7.083,7.943,346.4,0.964,0.4284,3292.5,2158.0,74.1,91.5,True,62.894,527.62,18.73,81.26,8289,0.257,0.6235,B
USW,Nickel,Ni,Aluminum,Al,137.6,Anodized,2273.98,,27.56,916.52,468.1,,,1.2,70.0,16.42,,659.723,6.0,28.274,9.724,5.319,226.6,0.876,0.7614,4092.2,2639.4,68.8,104.9,True,55.806,410.593,16.63,89.2,6076,0.264,0.5205,B
RSW,Copper,Cu,StainlessSteel,SS304,155.0,Carbon-coated,6498.3,,,1031.66,484.8,,,10.8,28.4,8.3,,2021.769,6.0,28.274,8.379,12.0,422.3,2.017,0.2613,3342.8,2157.1,75.9,131.2,True,124.261,1093.144,18.7,77.54,7639,0.378,0.8264,B
USW,Copper,Cu,Aluminum,Al,237.3,Bare,1669.15,,29.19,445.88,578.3,,,83.6,33.9,6.27,,607.039,6.0,28.274,5.34,4.953,224.3,0.398,0.2367,4472.9,2893.0,85.2,102.2,True,71.133,218.825,10.28,88.33,8404,0.156,0.3738,B
RSW,StainlessSteel,SS304,Nickel,Ni,117.3,Nickel-plated,6827.38,,,1905.29,474.9,,,1.5,43.2,18.61,,2287.653,6.0,28.274,17.691,12.0,1032.8,3.5,0.1908,2783.7,1834.8,37.5,145.4,False,102.4,1988.456,21.65,71.67,6465,0.557,0.9527,C
USW,Aluminum,Al,Aluminum,Al,219.1,Nickel-plated,663.2,,34.37,1110.69,291.8,,,24.0,34.1,24.0,,127.266,3.629,10.346,11.491,1.177,129.2,0.172,0.2728,1736.4,1138.2,74.1,91.3,True,46.271,55.131,11.91,89.84,7832,0.368,0.4421,B
RSW,Aluminum,Al,Aluminum,Al,105.8,Carbon-coated,4923.05,,,1287.84,239.1,,,52.4,28.7,16.39,,818.303,6.0,28.274,3.262,6.612,275.9,0.894,0.3345,3618.8,2352.6,88.0,103.1,True,78.59,485.818,13.16,89.64,9152,0.168,0.4556,B
USW,Aluminum,Al,Aluminum,Al,193.1,Oxide,786.85,,39.54,893.61,227.2,,,116.6,36.2,7.22,,122.686,4.039,12.815,15.628,2.53,222.2,0.175,0.4576,2038.2,1346.9,68.1,84.2,False,123.771,56.67,18.77,82.61,8508,0.362,0.5316,B
USW,Copper,Cu,Aluminum,Al,152.7,Bare,1051.04,,16.91,379.95,216.3,,,21.1,55.1,21.7,,127.466,3.912,12.017,10.658,1.793,122.5,0.152,0.6407,2183.5,1434.0,72.4,98.3,True,17.509,49.307,10.26,88.2,7326,0.236,0.3808,B
USW,Aluminum,Al,Aluminum,Al,148.9,Bare,1618.63,,54.81,837.84,347.8,,,10.8,17.6,4.87,,434.136,6.0,28.274,5.615,3.288,162.9,0.459,0.1446,5499.3,3593.4,86.6,84.1,True,172.169,225.908,9.23,100.0,9318,0.205,0.2815,A
Laser,Copper,Cu,Copper,Cu,105.0,Carbon-coated,1983.88,3.1863,,883.05,1054.5,28.592,70.017,-6.5,49.7,5.18,69.3869,1349.327,6.0,28.274,3.713,7.708,206.7,0.872,0.2527,4310.0,2768.4,85.1,105.3,True,170.599,616.119,10.98,92.27,8238,0.219,0.5227,A
USW,Copper,Cu,Copper,Cu,74.9,Tin-plated,2584.09,,24.6,992.93,119.0,,,57.9,35.4,6.79,,185.546,5.07,20.191,7.841,2.017,166.7,0.201,0.2209,4888.1,3163.3,82.4,97.5,True,146.266,94.005,10.02,98.64,10560,0.236,0.2818,A
USW,Aluminum,Al,Aluminum,Al,61.6,Tin-plated,1159.6,,15.76,670.03,321.3,,,47.6,38.8,8.63,,206.516,5.675,25.294,7.65,2.699,177.0,0.32,0.2107,4969.2,3222.0,78.5,93.3,True,77.633,143.331,5.39,99.54,9316,0.188,0.3558,A
Laser,Nickel,Ni,Copper,Cu,44.6,Carbon-coated,1014.68,1.4347,,508.9,206.5,27.98,21.931,84.9,39.0,8.35,36.2637,128.348,6.0,28.274,13.854,2.667,200.2,0.235,0.3482,4908.9,3210.4,65.5,110.7,False,60.941,93.8,12.66,92.24,7521,0.338,0.5258,A
USW,Aluminum,Al,Aluminum,Al,148.2,Bare,1491.41,,28.53,184.96,165.0,,,-0.6,68.2,10.95,,153.867,4.266,14.296,14.563,1.239,108.3,0.196,0.6281,2209.9,1425.0,58.3,80.4,False,16.885,69.061,16.91,94.07,6915,0.346,0.5352,B
USW,Nickel,Ni,Aluminum,Al,215.2,Bare,1821.15,,50.2,1144.75,511.8,,,46.9,42.0,6.22,,694.896,6.0,28.274,3.137,4.575,252.9,0.762,0.1518,5197.9,3385.4,91.2,106.1,True,183.934,351.722,10.9,95.63,8526,0.148,0.3093,A
Laser,Copper,Cu,Copper,Cu,50.7,Anodized,1481.97,6.5156,,216.04,317.3,72.376,132.043,26.7,11.1,17.46,20.4759,391.374,6.0,28.274,13.954,2.727,152.6,0.311,0.9852,5643.5,3674.3,72.8,103.9,False,12.374,179.629,16.43,95.07,6711,0.373,0.5325,B
USW,Aluminum,Al,Aluminum,Al,134.9,Bare,1627.13,,22.0,282.69,289.4,,,67.3,69.5,4.2,,277.296,5.725,25.743,6.266,2.945,198.6,0.332,0.2337,5126.1,3332.9,82.3,82.5,True,67.315,150.33,9.93,98.18,10389,0.165,0.2976,A
RSW,Copper,Cu,StainlessSteel,SS304,174.3,Nickel-plated,3377.72,,,844.31,156.3,,,45.7,36.8,20.73,,345.465,5.922,27.548,10.733,2.802,187.8,0.394,0.2413,5165.9,3334.8,67.2,114.8,True,40.728,177.123,10.19,94.04,9453,0.265,0.4191,A
RSW,StainlessSteel,SS304,Nickel,Ni,115.8,Bare,7953.93,,,2122.3,290.8,,,99.1,51.2,7.15,,1616.775,6.0,28.274,13.809,12.0,857.5,3.5,0.1163,3152.6,2018.2,50.2,134.3,False,296.917,1411.964,25.79,72.85,6884,0.484,0.8897,C
RSW,Nickel,Ni,Copper,Cu,63.4,Tin-plated,5341.03,,,1001.81,275.7,,,79.8,29.5,24.36,,908.063,6.0,28.274,2.896,8.341,335.8,1.097,0.3178,3816.7,2480.7,84.2,115.3,True,41.118,616.29,12.9,85.87,9331,0.204,0.5097,B
