resistance_growth_pct_1000cyc,strength_retention_pct_1000cyc,cycles_to_failure,crack_growth_mm,delamination_probability,reliability_class
11.06,93.02,6912,0.197,0.4183,A
8.32,98.29,9674,0.128,0.3388,A
5.33,98.42,9135,0.167,0.263,A
9.55,94.99,9056,0.188,0.2761,A
6.78,99.21,9871,0.115,0.3278,A
12.03,92.52,7417,0.224,0.3467,A
8.84,96.72,10357,0.09,0.2403,A
17.14,98.79,8376,0.171,0.3302,B
23.27,87.85,6466,0.233,0.5793,B
10.56,87.65,9650,0.32,0.449,B
5.01,100.0,11914,0.154,0.249,A
16.13,81.42,7287,0.228,0.5456,B
8.94,94.49,10109,0.19,0.2599,A
10.37,90.74,8712,0.24,0.4593,A
9.56,84.21,8808,0.21,0.5091,B
12.49,87.67,7466,0.354,0.5372,B
10.27,91.23,9018,0.123,0.3685,A
10.31,92.72,8258,0.23,0.388,A
18.18,82.49,7169,0.307,0.8296,B
7.64,95.4,9245,0.221,0.3224,A
13.02,83.05,7525,0.241,0.5267,B
13.35,93.36,7275,0.26,0.4623,A
17.3,91.62,7703,0.348,0.5315,B
11.55,95.67,8721,0.265,0.3953,A
12.99,80.96,7562,0.335,0.5297,B
7.22,100.0,10311,0.129,0.2061,A
8.35,96.97,10156,0.125,0.3074,A
11.15,100.0,10138,0.237,0.2952,A
9.38,95.66,7687,0.201,0.4043,A
11.06,94.73,8298,0.189,0.4217,A
10.3,93.96,8064,0.179,0.3496,A
13.12,94.8,7927,0.255,0.4599,A
6.66,100.0,10250,0.137,0.3086,A
13.83,88.49,7494,0.193,0.4593,B
13.38,81.72,7085,0.315,0.4852,B
13.03,94.98,7782,0.26,0.4683,A
7.29,91.79,7645,0.148,0.353,A
13.83,84.76,8339,0.184,0.4541,B
9.98,99.92,10429,0.153,0.2888,A
11.1,95.61,8074,0.258,0.4492,A
12.26,97.17,9512,0.199,0.3225,A
16.47,80.94,7132,0.35,0.5228,B
14.11,93.71,7918,0.24,0.3392,A
10.11,95.07,10314,0.251,0.3213,A
16.59,90.16,6830,0.241,0.4815,B
11.78,79.31,8276,0.184,0.4507,B
9.35,89.12,8648,0.227,0.3841,B
10.38,94.07,7483,0.247,0.4168,A
11.88,93.88,8853,0.173,0.4148,A
18.42,78.23,5951,0.28,0.5751,B
13.39,84.24,7167,0.317,0.6566,B
17.08,89.04,6272,0.23,0.4314,B
15.13,87.53,8269,0.182,0.4568,B
9.67,89.35,8559,0.223,0.4239,B
21.82,85.19,6737,0.2,0.5992,B
14.57,81.71,7557,0.277,0.4036,B
8.42,91.99,6706,0.256,0.4534,A
11.2,91.49,8731,0.236,0.3788,A
11.08,92.94,8050,0.24,0.3984,A
13.57,98.43,8715,0.265,0.3359,A
16.57,84.84,6974,0.236,0.4827,B
11.35,88.63,7106,0.154,0.4252,B
9.49,92.32,8420,0.282,0.419,A
12.09,90.27,7835,0.257,0.386,A
13.77,97.38,8867,0.239,0.3073,A
11.93,98.78,10176,0.192,0.2927,A
10.36,90.3,7899,0.269,0.392,A
16.08,79.62,6137,0.359,0.5363,B
15.82,87.84,6623,0.294,0.5485,B
18.21,82.0,6285,0.3,0.5529,B
7.68,100.0,9677,0.174,0.2523,A
8.66,96.27,9539,0.119,0.3622,A
9.98,88.23,7813,0.284,0.3602,B
13.19,92.39,7977,0.243,0.4564,A
7.23,95.78,9013,0.101,0.3262,A
8.73,97.58,9787,0.179,0.3128,A
10.1,94.6,8490,0.315,0.384,A
9.0,86.25,7713,0.246,0.3846,B
16.69,81.37,7400,0.342,0.5788,B
5.85,93.98,8712,0.179,0.3815,A
16.9,86.86,7611,0.238,0.5975,B
6.11,97.21,10352,0.181,0.245,A
9.76,97.28,8717,0.159,0.3278,A
17.83,90.87,7270,0.329,0.4588,B
12.81,89.84,7049,0.248,0.3591,B
8.73,95.15,8563,0.214,0.3153,A
17.7,80.76,9231,0.288,0.5942,B
22.64,85.83,6478,0.373,0.58,B
13.41,88.37,8313,0.241,0.4142,B
12.12,98.6,10013,0.274,0.2859,A
8.79,89.63,8807,0.215,0.4243,B
9.91,93.7,9445,0.203,0.3879,A
13.66,82.72,7215,0.259,0.607,B
17.04,78.47,6801,0.284,0.5462,B
11.5,91.67,7959,0.236,0.443,A
10.73,89.06,9264,0.173,0.4211,B
10.93,84.93,8632,0.252,0.459,B
9.45,100.0,11643,0.156,0.2833,A
12.72,93.7,8593,0.227,0.4056,A
10.12,95.57,8358,0.233,0.4159,A
15.44,93.92,7706,0.239,0.4046,B
10.89,97.82,10534,0.251,0.3135,A
11.46,100.0,10987,0.221,0.3101,A
14.65,85.97,7112,0.257,0.3946,B
12.01,97.69,7826,0.221,0.3904,A
9.87,97.12,10333,0.145,0.2553,A
9.76,96.66,8758,0.241,0.4421,A
15.36,81.22,6266,0.241,0.5135,B
13.63,93.89,9594,0.19,0.3674,A
14.29,85.49,7316,0.316,0.5145,B
11.28,90.72,8448,0.261,0.5156,A
10.46,92.2,7954,0.177,0.3085,A
12.49,88.12,9069,0.245,0.4263,B
6.12,100.0,9130,0.149,0.4069,A
9.64,99.29,9892,0.168,0.2969,A
12.17,90.11,8748,0.238,0.4633,A
14.77,92.44,7988,0.222,0.5345,A
13.97,87.42,7268,0.259,0.403,B
14.78,85.21,8473,0.265,0.4192,B
15.28,90.22,6689,0.355,0.5672,B
16.77,82.82,7218,0.232,0.5146,B
11.79,91.84,6855,0.207,0.499,A
10.74,100.0,11493,0.086,0.2078,A
25.85,75.05,7752,0.276,0.7367,B
15.8,78.6,6301,0.28,0.5539,B
14.24,89.59,7698,0.219,0.3904,B
13.03,94.8,9532,0.219,0.3567,A
10.82,88.7,8333,0.165,0.4033,B
12.69,90.03,9797,0.151,0.3842,A
10.96,97.37,8913,0.276,0.3976,A
11.46,82.99,9219,0.231,0.4489,B
10.86,92.72,7715,0.306,0.3923,A
12.08,89.87,8294,0.211,0.4221,B
11.14,87.34,8534,0.226,0.3939,B
14.13,91.48,6947,0.259,0.4161,A
8.84,94.98,8575,0.206,0.3453,A
9.71,93.89,8349,0.264,0.4336,A
12.83,92.48,7305,0.236,0.4146,A
14.18,84.9,7774,0.311,0.4829,B
10.16,100.0,11885,0.127,0.2259,A
15.13,87.32,8148,0.273,0.5108,B
6.87,98.5,8690,0.135,0.337,A
6.53,91.74,10127,0.16,0.4421,A
10.04,98.43,10463,0.29,0.3332,A
8.18,92.33,9037,0.145,0.4065,A
13.7,84.18,6331,0.27,0.5143,B
11.0,83.54,7085,0.211,0.4951,B
10.21,94.52,10489,0.239,0.3592,A
12.4,89.25,8827,0.292,0.4658,B
12.22,92.43,8139,0.28,0.4002,A
11.0,100.0,11636,0.164,0.2572,A
16.63,89.2,6076,0.264,0.5205,B
10.41,88.2,7775,0.343,0.4483,B
21.72,87.73,6668,0.305,0.4378,B
11.89,93.65,8691,0.23,0.3369,A
8.28,94.33,8544,0.201,0.3233,A
10.43,94.93,7869,0.161,0.2668,A
14.64,96.64,10507,0.218,0.3345,A
12.65,80.62,7917,0.216,0.4322,B
12.11,95.02,8117,0.153,0.3277,A
10.42,100.0,9812,0.219,0.2857,A
11.01,91.56,7403,0.219,0.5036,A
6.38,97.22,11810,0.165,0.2939,A
11.56,96.59,8272,0.3,0.4674,A
21.62,87.8,7484,0.416,0.5373,B
12.25,87.42,7510,0.346,0.568,B
10.25,94.29,9033,0.179,0.3691,A
7.58,94.36,8162,0.194,0.3978,A
17.0,78.48,7828,0.241,0.5898,B
19.34,88.88,6935,0.282,0.4974,B
9.01,96.77,9493,0.249,0.3697,A
16.27,84.43,8423,0.264,0.5563,B
22.22,79.42,5813,0.352,0.6542,B
11.88,92.5,6944,0.279,0.458,A
12.61,90.57,9163,0.357,0.4831,A
9.25,99.78,11324,0.183,0.3531,A
10.06,99.94,8691,0.256,0.3616,A
13.24,89.92,7387,0.261,0.4546,B
15.46,82.42,8294,0.302,0.5024,B
4.23,92.2,9536,0.154,0.2975,A
11.51,100.0,8980,0.206,0.3454,A
8.81,98.18,8552,0.128,0.2374,A
11.06,100.0,10747,0.224,0.2914,A
10.99,84.22,6720,0.282,0.4556,B
9.28,87.68,8033,0.284,0.3779,B
19.51,91.41,6633,0.386,0.4754,B
13.01,90.53,8199,0.27,0.4425,A
13.9,94.97,8445,0.138,0.3156,A
19.21,86.67,8323,0.264,0.4279,B
12.1,89.19,7138,0.252,0.4448,B
9.85,83.58,7277,0.275,0.4611,B
16.53,83.04,5286,0.295,0.5837,B
8.31,86.64,8369,0.191,0.4281,B
11.82,95.02,8060,0.214,0.3861,A
8.16,96.12,10557,0.237,0.2491,A
10.32,91.33,7708,0.294,0.4586,A
11.91,89.84,7832,0.368,0.4421,B
15.95,88.69,6425,0.238,0.5015,B
14.27,91.8,8899,0.184,0.3635,A
18.52,91.84,8956,0.323,0.5132,B
10.22,98.2,7912,0.15,0.287,A
8.49,91.34,7921,0.138,0.442,A
18.95,90.17,7754,0.204,0.5683,B
16.4,92.91,8411,0.337,0.4724,B
9.45,100.0,9517,0.17,0.3209,A
5.81,96.21,10579,0.212,0.3828,A
16.08,85.92,8034,0.199,0.4935,B
11.4,92.78,8627,0.236,0.3492,A
9.94,93.42,8904,0.186,0.3735,A
11.36,93.74,7281,0.271,0.4665,A
22.18,83.55,6490,0.399,0.622,B
10.34,91.78,8724,0.179,0.4184,A
7.6,96.83,8583,0.125,0.3001,A
12.72,99.75,9843,0.294,0.3248,A
10.36,96.48,8283,0.236,0.373,A
12.4,98.19,9282,0.194,0.3191,A
15.38,83.16,7490,0.231,0.5217,B
16.61,83.14,7543,0.225,0.5956,B
13.88,84.39,8567,0.211,0.5226,B
16.77,95.43,8339,0.309,0.4824,B
5.91,96.39,10360,0.205,0.3518,A
9.71,97.54,9038,0.155,0.3582,A
13.09,95.02,9043,0.213,0.392,A
7.86,97.3,8900,0.113,0.3062,A
11.58,96.6,7736,0.25,0.4827,A
17.28,94.69,7939,0.313,0.4499,B
17.95,87.13,7746,0.283,0.5036,B
14.48,91.92,9383,0.201,0.4098,A
16.84,85.8,7286,0.355,0.6408,B
17.15,92.81,6669,0.361,0.6376,B
16.25,87.57,6977,0.205,0.437,B
13.33,100.0,8425,0.273,0.417,A
27.09,85.15,6980,0.402,0.5517,B
14.66,89.46,8504,0.184,0.37,B
13.19,86.48,9147,0.288,0.4612,B
18.16,90.2,9109,0.351,0.5223,B
17.85,95.3,7374,0.313,0.4273,B
16.65,86.57,7850,0.2,0.4484,B
11.13,88.68,7066,0.236,0.4836,B
17.54,86.44,6717,0.224,0.4443,B
7.6,93.88,9384,0.153,0.2514,A
9.18,95.82,9413,0.18,0.3407,A
8.3,99.78,9846,0.145,0.2263,A
15.13,93.89,7239,0.226,0.351,B
12.27,96.98,8807,0.233,0.4173,A
13.26,86.43,8086,0.281,0.5969,B
17.0,88.12,7840,0.327,0.5173,B
20.23,80.62,5578,0.357,0.562,B
11.58,93.79,8007,0.205,0.4747,A
11.72,80.35,8567,0.294,0.5335,B
9.98,92.85,8721,0.18,0.3374,A
13.69,91.72,7871,0.35,0.4705,A
10.19,95.53,8725,0.178,0.2777,A
11.03,92.1,9432,0.216,0.3384,A
10.07,96.73,8954,0.133,0.2876,A
10.19,95.76,8106,0.288,0.3954,A
13.19,98.53,9039,0.125,0.2444,A
10.9,95.63,8526,0.148,0.3093,A
20.15,83.81,7951,0.295,0.5208,B
15.01,95.98,7708,0.226,0.406,B
9.97,88.02,7704,0.245,0.3872,B
16.93,81.18,7639,0.432,0.667,B
7.49,95.88,9210,0.229,0.4527,A
12.59,100.0,10368,0.21,0.2738,A
12.84,85.34,8654,0.196,0.4909,B
11.16,91.92,9274,0.252,0.2858,A
11.18,92.07,7275,0.23,0.4416,A
