technique,anode_material,anode_symbol,cathode_material,cathode_symbol,tab_thickness_um,surface_coating,power_W,pulse_energy_J,amplitude_um,force_N,weld_time_ms,speed_mm_s,pulse_frequency_Hz,preheat_temp_C,ambient_humidity_pct,clamp_area_mm2,linear_energy_density_J_per_mm,total_energy_input_J,nugget_diameter_mm,bond_area_mm2,porosity_pct,imc_thickness_um,peak_temp_C,haz_width_mm,contact_resistance_mOhm,tensile_shear_strength_N,peel_strength_N,visual_defect_score,microhardness_HV,forward_pass_fail,pressure_MPa,effective_energy_J,resistance_growth_pct_1000cyc,strength_retention_pct_1000cyc,cycles_to_failure,crack_growth_mm,delamination_probability,reliability_class
Laser,Nickel,Ni,Copper,Cu,56.3,Nickel-plated,1673.03,3.8318,,394.99,2164.7,90.08,139.166,119.8,42.1,12.55,18.5727,2634.705,6.0,28.274,15.487,12.0,691.3,3.029,0.2657,2681.0,1730.9,51.4,129.4,False,31.475,1787.556,23.84,68.5,6972,0.492,0.9038,C
RSW,Copper,Cu,StainlessSteel,SS304,218.9,Oxide,6455.57,,,940.38,320.3,,,67.9,13.5,11.84,,1386.569,6.0,28.274,3.775,8.236,344.7,1.206,0.3428,3677.6,2400.9,88.4,115.6,True,79.41,635.317,14.09,86.18,9587,0.233,0.5541,B
RSW,Copper,Cu,Aluminum,Al,170.7,Bare,3117.35,,,809.9,413.2,,,17.7,19.9,18.21,,816.869,6.0,28.274,7.02,6.196,188.0,0.585,0.2277,3489.9,2257.1,84.8,101.7,True,44.485,347.333,11.78,86.42,6670,0.203,0.4928,B
RSW,Copper,Cu,Copper,Cu,89.0,Bare,5891.43,,,421.75,479.3,,,115.7,53.0,21.47,,1654.663,6.0,28.274,6.543,9.548,346.4,0.984,0.3637,3987.5,2614.7,83.5,98.2,True,19.645,703.293,16.22,79.54,7737,0.296,0.6838,B
Laser,Copper,Cu,StainlessSteel,SS304,143.8,Carbon-coated,2172.05,7.6972,,856.36,2523.8,85.183,258.169,62.1,22.9,8.53,25.4986,5295.245,6.0,28.274,26.808,12.0,1021.6,3.5,0.2645,2258.0,1503.3,21.9,129.8,False,100.429,2956.334,31.41,68.55,6695,0.773,0.9863,C
Laser,Copper,Cu,Aluminum,Al,114.2,Bare,1302.01,1.5653,,217.29,2222.9,56.205,99.725,98.4,46.8,7.46,23.1654,1875.374,6.0,28.274,4.679,12.0,396.4,1.387,0.3427,3486.4,2263.0,77.1,104.5,True,29.111,898.331,19.16,72.8,7481,0.358,0.7864,C
Laser,Copper,Cu,Aluminum,Al,185.4,Bare,1526.77,7.632,,947.58,1053.3,33.338,50.626,76.6,22.1,21.13,45.7961,1127.642,6.0,28.274,4.267,8.786,273.4,0.751,0.3025,3449.5,2224.9,78.7,93.4,True,44.844,461.261,12.05,81.8,7519,0.233,0.5429,B
USW,Aluminum,Al,Aluminum,Al,47.4,Nickel-plated,1690.95,,29.45,234.07,430.5,,,94.1,60.9,21.27,,458.788,6.0,28.274,7.161,4.426,259.6,0.54,0.3589,4625.4,3016.5,82.9,93.3,True,11.005,274.593,6.44,91.95,7456,0.172,0.4392,A
USW,Copper,Cu,Aluminum,Al,192.9,Carbon-coated,832.21,,31.55,1046.0,577.0,,,1.4,16.2,19.64,,308.267,5.368,22.629,5.148,2.869,120.0,0.26,0.3502,4659.0,3018.4,79.6,92.3,True,53.267,123.674,9.66,98.06,9349,0.194,0.2715,A
USW,Copper,Cu,Aluminum,Al,216.3,Bare,1813.07,,52.83,1119.73,260.6,,,69.5,18.0,20.03,,359.141,5.541,24.117,7.774,3.452,191.0,0.278,0.3215,4321.0,2791.7,87.5,93.7,True,55.901,135.996,9.25,90.73,8204,0.267,0.369,A
Laser,Copper,Cu,Aluminum,Al,108.8,Bare,2082.57,11.8275,,956.29,2417.9,29.782,124.17,-9.9,60.4,16.09,69.928,4441.582,6.0,28.274,20.46,12.0,604.8,3.379,0.3297,2121.3,1368.4,36.5,117.1,False,59.434,2267.31,27.8,70.48,6750,0.653,0.917,C
RSW,Nickel,Ni,Copper,Cu,204.3,Bare,2870.88,,,2016.57,343.8,,,102.0,14.1,11.32,,608.052,6.0,28.274,4.25,4.252,264.4,0.523,0.1273,5276.2,3425.6,91.8,109.2,True,178.148,268.781,6.73,88.08,9083,0.19,0.3061,B
RSW,Nickel,Ni,Copper,Cu,173.4,Carbon-coated,3649.94,,,1305.35,292.4,,,92.1,52.6,16.5,,626.198,6.0,28.274,5.975,4.589,262.9,0.575,0.3366,4891.7,3173.0,86.8,108.3,True,79.13,299.728,9.75,93.61,8029,0.172,0.3795,A
RSW,StainlessSteel,SS304,Nickel,Ni,90.9,Tin-plated,5795.57,,,1969.97,98.4,,,118.6,21.3,13.5,,334.654,6.0,28.274,4.588,5.517,358.9,0.888,0.0876,4843.8,3170.7,89.9,116.6,True,145.974,317.344,6.16,89.94,9847,0.178,0.4098,B
USW,Aluminum,Al,Aluminum,Al,83.8,Bare,1727.32,,22.38,783.64,316.2,,,85.0,47.9,17.49,,322.829,6.0,28.274,5.203,3.6,231.8,0.426,0.4127,5299.7,3437.6,85.0,90.5,True,44.805,206.563,9.38,95.21,8650,0.201,0.3201,A
USW,Copper,Cu,Aluminum,Al,89.4,Anodized,728.64,,38.16,666.54,250.4,,,53.2,49.1,18.19,,123.825,4.203,13.875,17.376,2.648,158.8,0.178,1.0152,2101.4,1346.4,55.6,89.5,False,36.653,67.457,27.06,84.51,7122,0.448,0.6413,B
RSW,Copper,Cu,StainlessSteel,SS304,168.7,Bare,2548.95,,,2264.32,154.2,,,18.7,48.3,19.63,,227.177,5.515,23.888,9.259,1.987,143.5,0.29,0.2158,4866.2,3170.9,79.2,108.6,True,115.353,118.265,8.8,100.0,9857,0.204,0.3262,A
Laser,Copper,Cu,Copper,Cu,46.7,Bare,2489.25,0.9719,,466.73,1649.5,85.586,128.079,0.9,79.2,15.35,29.0848,2545.798,6.0,28.274,11.653,12.0,368.2,1.863,0.476,3479.4,2271.5,53.9,118.8,True,30.407,1386.411,20.46,75.24,7237,0.485,0.8741,B
USW,Copper,Cu,Aluminum,Al,87.2,Oxide,2291.32,,22.44,345.83,192.5,,,68.3,42.3,15.92,,260.84,5.18,21.071,12.756,3.657,188.1,0.267,0.6566,3168.0,2039.7,69.1,96.7,False,21.721,128.543,18.52,87.84,6133,0.239,0.5571,B
RSW,Copper,Cu,StainlessSteel,SS304,227.7,Nickel-plated,6915.02,,,355.69,439.2,,,55.0,43.7,13.45,,2039.843,6.0,28.274,6.686,10.462,396.5,1.595,0.2772,3523.9,2309.3,70.6,123.3,True,26.446,855.193,14.3,79.89,8695,0.343,0.6793,B
USW,Nickel,Ni,Copper,Cu,87.2,Bare,2230.76,,53.16,511.08,334.6,,,47.4,35.6,4.0,,568.754,6.0,28.274,5.631,5.013,232.8,0.664,0.1649,4626.1,2995.5,88.1,118.9,True,127.708,354.009,9.38,95.66,7687,0.201,0.4043,A
Laser,Copper,Cu,Copper,Cu,151.1,Carbon-coated,332.95,2.6141,,822.22,194.4,87.968,24.14,93.4,41.8,20.95,3.7849,43.749,2.682,5.651,11.777,1.634,186.9,0.102,0.5778,1192.6,759.6,73.8,101.9,True,39.25,17.354,11.79,86.42,6995,0.261,0.3886,B
RSW,Nickel,Ni,Copper,Cu,191.3,Bare,2404.57,,,772.09,432.2,,,14.2,63.4,8.32,,633.342,6.0,28.274,3.235,3.789,182.1,0.557,0.3578,5776.5,3784.8,94.0,104.8,True,92.845,289.26,8.86,100.0,9694,0.168,0.2615,A
RSW,StainlessSteel,SS304,Nickel,Ni,244.6,Tin-plated,2713.16,,,1528.35,155.0,,,47.3,45.6,5.16,,245.757,6.0,28.274,7.919,2.511,209.5,0.468,0.1035,6500.0,4239.7,79.2,114.2,True,296.369,152.458,12.77,100.0,9593,0.215,0.3645,A
USW,Nickel,Ni,Copper,Cu,204.0,Bare,691.12,,52.12,936.86,232.1,,,43.1,59.5,11.21,,121.327,3.736,10.962,11.917,1.15,147.6,0.169,0.3509,1867.4,1207.9,63.9,113.7,True,83.601,53.674,13.34,93.35,7364,0.322,0.4341,A
RSW,Nickel,Ni,Copper,Cu,224.7,Bare,5895.79,,,2365.19,274.7,,,15.3,27.1,12.08,,949.771,6.0,28.274,2.675,5.286,212.9,0.74,0.0914,4818.8,3108.4,90.6,113.4,True,195.765,399.753,12.95,96.41,10288,0.146,0.315,A
Laser,Copper,Cu,StainlessSteel,SS304,119.0,Oxide,1708.69,9.902,,718.72,2551.7,85.497,75.926,23.9,20.1,4.39,19.9853,3383.467,6.0,28.274,22.33,12.0,712.7,3.5,0.2833,2235.0,1427.5,32.6,128.8,False,163.552,2035.89,35.11,71.87,7149,0.676,0.9374,C
RSW,Copper,Cu,Copper,Cu,107.5,Bare,2555.73,,,1020.2,98.6,,,50.0,39.5,22.19,,149.503,4.13,13.398,11.616,2.002,153.6,0.167,0.3909,2951.0,1916.5,72.5,98.5,True,45.98,67.724,15.17,95.52,8499,0.346,0.3512,B
Laser,Nickel,Ni,Copper,Cu,126.8,Bare,1360.67,11.0239,,490.67,158.4,44.545,200.784,-9.7,69.3,6.79,30.5458,269.475,6.0,28.274,11.428,2.048,120.0,0.323,0.3974,5488.3,3557.6,77.0,112.1,True,72.277,147.375,15.84,98.08,9809,0.32,0.4011,B
RSW,Copper,Cu,Copper,Cu,152.2,Nickel-plated,4761.61,,,1673.05,274.8,,,75.4,76.6,15.31,,902.72,6.0,28.274,3.514,5.715,236.8,0.539,0.261,5039.7,3260.3,89.9,111.4,True,109.265,356.952,12.82,94.65,9061,0.188,0.3957,A
Laser,Nickel,Ni,Copper,Cu,104.4,Bare,1408.62,1.1138,,429.02,1317.1,34.722,147.915,14.6,18.3,24.91,40.5686,1200.001,6.0,28.274,4.459,7.446,268.4,1.084,0.4264,3641.4,2374.6,86.3,117.7,True,17.221,608.277,13.66,92.79,8389,0.257,0.5276,A
RSW,Aluminum,Al,Aluminum,Al,133.5,Bare,5979.27,,,529.36,381.7,,,113.2,75.1,7.71,,1553.98,6.0,28.274,6.698,11.138,435.5,1.498,0.2971,3303.6,2128.8,70.6,103.9,True,68.617,845.961,19.36,76.2,8286,0.322,0.7283,B
USW,Aluminum,Al,Aluminum,Al,59.8,Nickel-plated,2086.28,,57.57,590.08,471.1,,,2.6,72.1,18.08,,773.059,6.0,28.274,7.115,6.353,238.3,0.969,0.1632,3529.8,2266.6,74.9,96.9,True,32.637,530.347,18.99,91.7,7627,0.272,0.5534,B
USW,Aluminum,Al,Aluminum,Al,156.6,Nickel-plated,2144.68,,41.49,675.49,272.5,,,57.4,50.6,12.21,,407.407,6.0,28.274,4.075,3.086,204.4,0.428,0.2563,5828.0,3772.1,93.4,84.3,True,55.305,207.461,8.78,100.0,9436,0.158,0.259,A
Laser,Nickel,Ni,Copper,Cu,96.6,Bare,1195.03,1.1146,,265.53,1084.1,46.905,22.735,27.8,68.6,20.28,25.4776,788.303,6.0,28.274,5.48,4.864,224.2,0.732,0.4702,4722.4,3072.9,87.4,106.8,True,13.096,394.963,9.47,92.95,8066,0.218,0.4315,A
Laser,Copper,Cu,Aluminum,Al,226.4,Oxide,426.02,,,231.61,1308.6,108.095,,97.5,46.6,10.47,3.9411,334.489,4.643,16.929,16.541,3.998,213.3,0.242,0.7457,2158.0,1397.4,60.7,95.1,False,22.113,111.412,23.88,79.27,5491,0.375,0.6734,B
Laser,Copper,Cu,Aluminum,Al,84.1,Bare,2513.88,8.5332,,389.23,1921.9,29.374,270.272,104.2,44.1,12.57,85.5808,4671.805,6.0,28.274,23.501,12.0,775.6,3.5,0.451,2067.6,1348.5,31.6,117.8,False,30.973,2512.312,34.33,61.09,6535,0.656,0.9729,C
Laser,Nickel,Ni,Copper,Cu,115.2,Carbon-coated,2225.33,9.6357,,924.92,839.5,68.981,166.156,40.7,43.4,12.14,32.26,1658.559,6.0,28.274,6.046,11.421,384.1,1.632,0.2785,3510.6,2270.8,75.6,120.2,True,76.171,940.609,16.18,79.67,9234,0.301,0.7709,B
Laser,Aluminum,Al,Aluminum,Al,60.0,Tin-plated,2321.87,,,957.29,1275.2,96.037,,71.9,21.7,19.67,24.1769,1776.471,6.0,28.274,8.093,12.0,502.6,2.159,0.3251,3209.2,2070.4,69.0,97.4,True,48.657,1240.718,18.88,78.72,7427,0.383,0.8616,B
Laser,Aluminum,Al,Aluminum,Al,61.8,Bare,1292.12,,,510.23,2755.1,17.234,,9.8,69.5,16.75,74.9737,2135.949,6.0,28.274,12.114,12.0,492.5,2.477,0.4268,2880.4,1872.6,60.8,105.6,False,30.47,1429.956,21.48,75.26,6922,0.458,0.9057,B
Laser,Nickel,Ni,Copper,Cu,138.7,Bare,788.52,5.5182,,266.97,435.0,97.428,186.838,116.0,50.7,5.82,8.0934,385.159,6.0,28.274,8.446,3.96,260.7,0.415,0.3655,4973.2,3235.4,73.5,98.4,True,45.911,203.23,11.8,87.39,7424,0.304,0.4465,B
USW,Copper,Cu,Aluminum,Al,117.7,Carbon-coated,2056.37,,30.29,1009.45,254.3,,,40.9,40.9,9.63,,331.985,5.883,27.179,7.46,3.142,169.0,0.32,0.259,5134.7,3320.9,78.0,85.7,True,104.773,164.723,14.53,94.81,8382,0.231,0.4104,A
USW,Aluminum,Al,Aluminum,Al,36.1,Tin-plated,757.55,,32.21,929.46,165.3,,,71.8,51.5,23.33,,80.831,4.357,14.911,11.739,1.743,178.8,0.184,0.3574,2653.2,1712.8,75.0,87.4,True,39.835,62.155,7.43,91.53,8561,0.301,0.456,A
USW,Copper,Cu,Aluminum,Al,103.6,Tin-plated,852.01,,59.64,448.12,146.4,,,29.2,12.6,19.54,,99.542,3.891,11.89,6.833,1.595,130.1,0.148,0.3099,2305.5,1517.9,85.1,95.9,True,22.932,46.89,11.16,91.92,9274,0.252,0.2858,A
RSW,Aluminum,Al,Aluminum,Al,217.3,Nickel-plated,3258.36,,,2256.9,218.0,,,116.9,26.6,14.42,,423.916,6.0,28.274,8.966,4.198,257.6,0.389,0.1073,4532.3,2965.3,69.0,90.3,True,156.515,184.439,7.44,87.77,7071,0.277,0.4622,B
Laser,Copper,Cu,Aluminum,Al,184.0,Bare,2534.42,10.6541,,924.13,1150.5,98.235,199.111,17.4,69.7,8.12,25.7995,2725.664,6.0,28.274,11.999,12.0,366.3,1.708,0.2895,2842.1,1893.4,60.7,109.8,True,113.872,1118.805,26.56,71.65,6365,0.393,0.8991,C
RSW,Copper,Cu,Copper,Cu,204.6,Tin-plated,6129.28,,,700.03,440.6,,,31.5,70.2,20.09,,1871.847,6.0,28.274,5.835,7.751,250.2,0.908,0.1968,4142.5,2724.3,77.2,105.2,True,34.839,643.664,14.17,89.9,9271,0.217,0.6362,B
Laser,Copper,Cu,Aluminum,Al,203.9,Bare,1493.27,,,192.49,2449.8,48.741,,79.8,79.4,9.28,30.6367,2194.972,6.0,28.274,4.835,12.0,346.3,1.19,0.5473,3502.2,2272.0,73.0,101.8,True,20.74,762.788,23.19,74.68,7643,0.274,0.7115,C
Laser,Copper,Cu,Copper,Cu,203.9,Carbon-coated,1687.51,7.117,,854.37,2991.8,57.087,89.428,1.5,73.6,5.88,29.5603,3790.864,6.0,28.274,11.898,12.0,353.0,1.761,0.2439,3450.8,2269.3,56.8,114.1,True,145.237,1307.392,21.2,76.05,6900,0.45,0.875,B
Laser,Aluminum,Al,Aluminum,Al,111.0,Bare,2977.41,1.7491,,975.55,2511.4,55.779,101.609,48.0,14.5,18.07,53.3785,4665.05,6.0,28.274,20.624,12.0,885.8,3.5,0.3034,2145.8,1412.6,39.8,113.8,False,54.001,2723.237,26.47,69.18,6977,0.562,0.952,C
USW,Aluminum,Al,Aluminum,Al,155.1,Bare,1079.39,,54.17,437.47,414.0,,,108.4,22.8,23.86,,343.066,6.0,28.274,8.725,3.449,240.4,0.336,0.3511,4936.7,3175.2,77.8,94.7,True,18.335,152.927,10.08,91.92,8122,0.231,0.4783,A
USW,Copper,Cu,Copper,Cu,122.7,Tin-plated,1161.22,,24.83,993.22,290.7,,,94.6,79.6,22.53,,204.118,4.734,17.602,11.348,2.423,202.2,0.193,0.3408,3898.0,2517.9,70.5,101.7,True,44.085,88.108,13.6,88.52,8937,0.269,0.4384,B
RSW,Nickel,Ni,Copper,Cu,136.4,Bare,1234.64,,,733.74,202.8,,,13.9,72.2,8.29,,165.331,4.631,16.842,11.236,1.242,127.5,0.225,0.3792,2975.9,1917.1,77.3,109.7,True,88.56,87.837,13.49,96.77,7977,0.258,0.4475,A
Laser,Aluminum,Al,Aluminum,Al,131.8,Carbon-coated,619.03,3.3129,,777.95,700.1,117.774,51.976,69.3,27.0,21.13,5.2561,308.241,5.782,26.26,8.053,3.156,205.6,0.363,0.4413,4870.8,3177.3,75.4,89.5,True,36.814,168.659,8.89,95.56,8956,0.191,0.3871,A
Laser,Copper,Cu,Copper,Cu,67.9,Bare,1171.08,,,392.35,619.7,89.62,,22.6,16.3,20.9,13.0671,435.396,6.0,28.274,7.939,2.701,152.3,0.335,0.3879,6500.0,4251.0,85.7,106.4,True,18.776,198.151,12.61,100.0,8855,0.202,0.2834,A
Laser,Aluminum,Al,Aluminum,Al,139.0,Bare,1991.46,1.7615,,887.06,272.3,29.783,133.297,20.5,46.9,4.42,66.8667,350.988,6.0,28.274,9.672,2.903,162.1,0.395,0.285,5090.6,3310.0,70.4,95.0,True,200.643,188.01,11.77,96.76,9238,0.294,0.4292,A
Laser,Copper,Cu,Aluminum,Al,36.6,Bare,1579.36,8.3653,,852.93,2071.1,46.913,153.757,96.2,40.2,23.78,33.6654,3028.156,6.0,28.274,16.308,12.0,653.0,3.015,0.3433,2456.7,1655.1,43.5,118.5,False,35.872,2017.299,29.98,64.32,6466,0.477,0.897,C
RSW,StainlessSteel,SS304,Nickel,Ni,107.8,Tin-plated,7834.72,,,1581.58,169.5,,,5.3,30.7,6.72,,903.235,6.0,28.274,5.166,9.957,478.4,2.14,0.0954,3908.0,2555.6,83.4,143.2,True,235.355,809.289,13.23,82.71,9354,0.285,0.679,B
RSW,Nickel,Ni,Copper,Cu,67.3,Nickel-plated,1248.14,,,1059.57,145.7,,,97.7,54.2,23.07,,103.315,4.293,14.476,12.48,2.3,206.3,0.194,0.3132,2714.9,1748.0,67.2,108.6,False,45.934,69.079,16.27,89.94,7790,0.259,0.4407,B
USW,Copper,Cu,Copper,Cu,233.2,Tin-plated,1434.32,,18.98,958.83,297.0,,,70.8,26.1,17.3,,243.685,4.559,16.327,7.971,2.591,176.5,0.181,0.345,3864.3,2502.3,85.1,111.4,True,55.422,78.358,6.61,92.71,9545,0.15,0.3518,A
RSW,Nickel,Ni,Copper,Cu,207.7,Oxide,6604.74,,,1847.42,213.0,,,16.4,55.9,8.11,,852.842,6.0,28.274,9.943,4.971,207.1,0.697,0.2563,4171.5,2709.9,76.5,108.3,True,227.823,373.847,12.7,91.53,7134,0.306,0.5771,A
RSW,Nickel,Ni,Copper,Cu,121.8,Bare,1812.94,,,1066.11,393.9,,,-8.1,65.4,8.78,,445.013,6.0,28.274,5.325,2.982,148.5,0.488,0.2259,5979.4,3920.5,87.0,106.9,True,121.429,247.181,10.18,100.0,10196,0.181,0.2781,A
Laser,Nickel,Ni,Copper,Cu,127.4,Carbon-coated,1259.36,8.4387,,624.32,1215.5,10.446,104.511,68.8,48.2,15.95,120.554,1347.198,6.0,28.274,6.923,9.585,356.9,1.293,0.3435,3490.6,2245.9,82.2,117.7,True,39.141,735.41,14.91,83.74,7312,0.332,0.6508,B
USW,Aluminum,Al,Aluminum,Al,138.6,Tin-plated,2148.46,,25.75,951.65,134.6,,,-5.2,52.3,24.33,,176.321,4.787,17.997,8.933,1.356,110.7,0.238,0.3178,3302.9,2149.3,83.6,90.6,True,39.122,94.55,12.96,93.14,8460,0.237,0.3602,A
USW,Copper,Cu,Aluminum,Al,136.8,Nickel-plated,1994.08,,23.54,345.96,273.8,,,7.5,72.9,10.19,,326.23,5.796,26.383,5.61,2.943,132.6,0.3,0.3571,5302.0,3447.9,89.0,98.4,True,33.954,151.479,12.26,97.17,9512,0.199,0.3225,A
Laser,Nickel,Ni,Copper,Cu,174.2,Tin-plated,2324.02,4.7956,,902.4,2219.5,59.507,297.446,33.2,54.2,16.14,39.0543,4361.169,6.0,28.274,19.833,12.0,684.3,3.5,0.3647,2342.2,1526.4,35.5,134.7,False,55.923,2082.881,28.95,67.63,7242,0.593,0.9618,C
RSW,Nickel,Ni,Copper,Cu,86.0,Oxide,3637.5,,,2276.97,110.6,,,110.2,13.8,23.09,,276.873,6.0,28.274,11.598,3.109,246.9,0.366,0.3655,5053.1,3280.1,64.7,110.3,True,98.607,173.053,12.49,90.9,7304,0.304,0.4025,A
Laser,Aluminum,Al,Aluminum,Al,75.6,Nickel-plated,2841.17,,,835.63,1891.2,46.999,,105.0,70.5,14.68,60.4513,3223.942,6.0,28.274,20.411,12.0,778.3,3.5,0.1902,2195.7,1446.6,31.5,110.9,False,56.932,2124.006,26.99,67.11,7198,0.611,0.9832,C
USW,Copper,Cu,Aluminum,Al,68.9,Nickel-plated,1363.13,,53.03,872.98,318.7,,,12.9,40.0,15.4,,330.767,6.0,28.274,6.137,4.151,147.7,0.362,0.2301,4902.9,3199.1,90.3,85.6,True,56.694,193.896,12.76,95.75,7443,0.175,0.3543,A
RSW,Nickel,Ni,Copper,Cu,198.5,Bare,3787.72,,,1200.13,348.8,,,6.0,34.2,24.16,,860.949,6.0,28.274,3.144,4.666,200.0,0.717,0.3367,5192.2,3376.6,95.1,109.7,True,49.684,386.142,7.34,98.63,8314,0.136,0.3123,A
USW,Copper,Cu,Copper,Cu,109.0,Bare,2070.65,,21.3,352.75,459.9,,,106.5,54.1,17.29,,557.04,6.0,28.274,5.221,4.28,241.1,0.367,0.3998,5964.2,3885.9,93.1,110.2,True,20.403,222.873,8.84,94.98,8575,0.206,0.3453,A
Laser,StainlessSteel,SS304,Nickel,Ni,224.0,Oxide,354.65,10.7899,,291.73,1012.5,37.93,193.565,4.1,71.3,13.61,9.3501,1061.306,6.0,28.274,6.223,7.286,386.9,1.654,0.7985,3840.7,2497.3,77.9,132.3,True,21.429,618.359,19.63,87.91,8271,0.24,0.5655,B
Laser,Copper,Cu,Copper,Cu,228.3,Bare,1157.21,4.9034,,754.64,1446.7,47.056,178.756,64.8,15.1,18.64,24.5922,1511.677,6.0,28.274,3.841,6.425,253.1,0.712,0.3653,4487.2,2922.4,88.1,114.0,True,40.476,491.562,7.13,92.07,8215,0.181,0.3905,A
Laser,Copper,Cu,Aluminum,Al,121.6,Bare,2921.76,5.3039,,488.81,316.9,84.938,167.44,51.4,46.6,22.77,34.3986,668.121,6.0,28.274,8.679,6.579,209.3,0.507,0.4549,3137.2,2042.3,72.4,94.5,True,21.47,293.38,16.0,83.93,7029,0.305,0.5265,B
Laser,Aluminum,Al,Aluminum,Al,246.7,Bare,390.46,0.5598,,913.91,2844.9,53.716,234.76,42.5,46.9,17.63,7.2689,816.035,6.0,28.274,6.526,4.327,223.6,0.636,0.3274,4717.9,3101.4,84.0,90.7,True,51.847,331.651,10.59,96.42,8763,0.236,0.3884,A
RSW,Nickel,Ni,Copper,Cu,73.8,Bare,2411.43,,,1907.29,492.0,,,67.7,37.2,23.38,,681.604,6.0,28.274,3.815,6.461,277.6,0.814,0.3014,3828.3,2507.7,94.4,116.1,True,81.562,444.984,13.69,87.72,8155,0.232,0.4549,B
