date,region,state,saidi_hours,saifi_interruptions,caidi_hours,customers_affected,major_outages,grid_availability_percent
2020-02-01,North Central,Plateau,196.41,24.55,8.0,387411,2,72.72
2020-02-01,North East,Adamawa,406.78,50.85,8.0,60324,1,43.5
2020-02-01,North East,Bauchi,304.35,38.04,8.0,211290,3,57.73
2020-02-01,North East,Borno,398.0,49.75,8.0,338703,0,44.72
2020-02-01,North East,Gombe,353.36,44.17,8.0,164083,2,50.92
2020-02-01,North East,Taraba,385.51,48.19,8.0,473573,2,46.46
2020-02-01,North East,Yobe,505.31,63.16,8.0,296208,0,29.82
2020-02-01,North West,Jigawa,229.34,28.67,8.0,108952,1,68.15
2020-02-01,North West,Kaduna,351.98,44.0,8.0,383857,2,51.11
2020-02-01,North West,Kano,267.31,33.41,8.0,186018,2,62.87
2020-02-01,North West,Katsina,198.37,24.8,8.0,20893,2,72.45
2020-02-01,North West,Kebbi,200.04,25.01,8.0,119344,0,72.22
2020-02-01,North West,Sokoto,355.37,44.42,8.0,163288,0,50.64
2020-02-01,North West,Zamfara,306.97,38.37,8.0,123899,1,57.36
2020-02-01,South East,Abia,283.89,36.13,7.86,485427,4,60.57
2020-02-01,South East,Anambra,185.61,23.62,7.86,66535,1,74.22
2020-02-01,South East,Ebonyi,186.35,23.72,7.86,330582,3,74.12
2020-02-01,South East,Enugu,227.47,28.95,7.86,443928,0,68.41
2020-02-01,South East,Imo,162.89,20.73,7.86,353852,2,77.38
2020-02-01,South South,Akwa Ibom,156.02,17.34,9.0,124853,4,78.33
2020-02-01,South South,Bayelsa,129.66,14.41,9.0,173237,2,81.99
2020-02-01,South South,Cross River,157.12,17.46,9.0,54164,1,78.18
2020-02-01,South South,Delta,139.83,15.54,9.0,356118,2,80.58
2020-02-01,South South,Edo,222.99,24.78,9.0,53087,3,69.03
2020-02-01,South South,Rivers,110.11,12.23,9.0,429558,3,84.71
2020-02-01,South West,Ekiti,144.51,18.06,8.0,217677,2,79.93
2020-02-01,South West,Lagos,81.19,10.15,8.0,83837,2,88.72
2020-02-01,South West,Ogun,100.45,12.56,8.0,432633,2,86.05
2020-02-01,South West,Ondo,117.71,14.71,8.0,440347,0,83.65
2020-02-01,South West,Osun,105.91,13.24,8.0,455827,5,85.29
2020-02-01,South West,Oyo,133.37,16.67,8.0,84898,3,81.48
2020-03-01,North Central,FCT,129.62,16.2,8.0,333596,1,82.0
2020-03-01,North Central,Benue,254.3,31.79,8.0,45471,2,64.68
2020-03-01,North Central,Kogi,208.0,26.0,8.0,418642,1,71.11
2020-03-01,North Central,Kwara,215.87,26.98,8.0,378355,3,70.02
2020-03-01,North Central,Nasarawa,168.29,21.04,8.0,481746,3,76.63
2020-03-01,North Central,Niger,222.8,27.85,8.0,290513,3,69.06
2020-03-01,North Central,Plateau,259.32,32.41,8.0,219703,2,63.98
2020-03-01,North East,Adamawa,397.17,49.65,8.0,402623,6,44.84
2020-03-01,North East,Bauchi,320.11,40.01,8.0,93076,2,55.54
2020-03-01,North East,Borno,365.14,45.64,8.0,232146,2,49.29
2020-03-01,North East,Gombe,362.39,45.3,8.0,106020,2,49.67
2020-03-01,North East,Taraba,245.46,30.68,8.0,481087,1,65.91
2020-03-01,North East,Yobe,409.93,51.24,8.0,56860,1,43.06
2020-03-01,North West,Jigawa,224.81,28.1,8.0,64599,2,68.78
2020-03-01,North West,Kaduna,293.69,36.71,8.0,30337,3,59.21
2020-03-01,North West,Kano,292.08,36.51,8.0,75022,1,59.43
2020-03-01,North West,Katsina,278.73,34.84,8.0,214443,3,61.29
2020-03-01,North West,Kebbi,289.57,36.2,8.0,398120,0,59.78
2020-03-01,North West,Sokoto,268.92,33.61,8.0,30896,1,62.65
2020-03-01,North West,Zamfara,357.38,44.67,8.0,92726,2,50.36
2020-03-01,South East,Abia,254.05,32.33,7.86,170384,1,64.71
2020-03-01,South East,Anambra,207.96,26.47,7.86,281993,3,71.12
2020-03-01,South East,Ebonyi,237.97,30.29,7.86,100464,3,66.95
2020-03-01,South East,Enugu,271.73,34.58,7.86,451362,2,62.26
2020-03-01,South East,Imo,157.94,20.1,7.86,419926,0,78.06
2020-03-01,South South,Akwa Ibom,142.72,15.86,9.0,307228,2,80.18
2020-03-01,South South,Bayelsa,134.35,14.93,9.0,22174,0,81.34
2020-03-01,South South,Cross River,227.81,25.31,9.0,56688,3,68.36
2020-03-01,South South,Delta,190.41,21.16,9.0,452502,1,73.55
2020-03-01,South South,Edo,152.88,16.99,9.0,257716,2,78.77
2020-03-01,South South,Rivers,135.43,15.05,9.0,364051,0,81.19
2020-03-01,South West,Ekiti,137.97,17.25,8.0,305425,1,80.84
2020-03-01,South West,Lagos,77.1,9.64,8.0,252119,2,89.29
2020-03-01,South West,Ogun,114.43,14.3,8.0,206448,2,84.11
2020-03-01,South West,Ondo,103.4,12.92,8.0,253912,4,85.64
2020-03-01,South West,Osun,124.57,15.57,8.0,214728,3,82.7
2020-03-01,South West,Oyo,153.63,19.2,8.0,83990,0,78.66
2020-04-01,North Central,FCT,124.34,15.54,8.0,31777,0,82.73
2020-04-01,North Central,Benue,259.01,32.38,8.0,480487,2,64.03
2020-04-01,North Central,Kogi,211.43,26.43,8.0,85662,1,70.63
2020-04-01,North Central,Kwara,213.68,26.71,8.0,49049,0,70.32
2020-04-01,North Central,Nasarawa,213.19,26.65,8.0,321697,1,70.39
2020-04-01,North Central,Niger,246.33,30.79,8.0,35944,1,65.79
2020-04-01,North Central,Plateau,216.48,27.06,8.0,335191,2,69.93
2020-04-01,North East,Adamawa,379.72,47.47,8.0,227593,5,47.26
2020-04-01,North East,Bauchi,352.6,44.08,8.0,263852,3,51.03
2020-04-01,North East,Borno,526.68,65.83,8.0,27399,0,26.85
2020-04-01,North East,Gombe,248.08,31.01,8.0,218626,3,65.54
2020-04-01,North East,Taraba,362.63,45.33,8.0,163958,0,49.64
2020-04-01,North East,Yobe,535.61,66.95,8.0,89719,1,25.61
2020-04-01,North West,Jigawa,328.44,41.06,8.0,316049,1,54.38
2020-04-01,North West,Kaduna,214.4,26.8,8.0,83410,9,70.22
2020-04-01,North West,Kano,264.73,33.09,8.0,308009,3,63.23
2020-04-01,North West,Katsina,243.97,30.5,8.0,446031,3,66.12
2020-04-01,North West,Kebbi,264.75,33.09,8.0,145364,7,63.23
2020-04-01,North West,Sokoto,301.54,37.69,8.0,216183,1,58.12
2020-04-01,North West,Zamfara,330.55,41.32,8.0,69859,1,54.09
2020-04-01,South East,Abia,214.01,27.24,7.86,164342,6,70.28
2020-04-01,South East,Anambra,187.9,23.92,7.86,450011,1,73.9
2020-04-01,South East,Ebonyi,259.53,33.03,7.86,301745,0,63.95
2020-04-01,South East,Enugu,234.71,29.87,7.86,385868,2,67.4
2020-04-01,South East,Imo,284.21,36.17,7.86,210929,0,60.53
2020-04-01,South South,Akwa Ibom,171.26,19.03,9.0,333511,5,76.21
2020-04-01,South South,Bayelsa,165.28,18.36,9.0,454359,2,77.04
2020-04-01,South South,Cross River,152.6,16.96,9.0,281912,1,78.81
2020-04-01,South South,Delta,142.61,15.85,9.0,330952,1,80.19
2020-04-01,South South,Edo,145.27,16.14,9.0,251380,4,79.82
2020-04-01,South South,Rivers,162.44,18.05,9.0,327859,2,77.44
2020-04-01,South West,Ekiti,126.74,15.84,8.0,337736,5,82.4
2020-04-01,South West,Lagos,66.07,8.26,8.0,29463,1,90.82
2020-04-01,South West,Ogun,146.47,18.31,8.0,260759,3,79.66
2020-04-01,South West,Ondo,105.69,13.21,8.0,466805,2,85.32
2020-04-01,South West,Osun,123.08,15.38,8.0,492734,3,82.91
2020-04-01,South West,Oyo,87.88,10.99,8.0,133021,3,87.79
2020-05-01,North Central,FCT,185.05,23.13,8.0,113758,2,74.3
2020-05-01,North Central,Benue,162.55,20.32,8.0,362793,3,77.42
2020-05-01,North Central,Kogi,239.62,29.95,8.0,353676,6,66.72
2020-05-01,North Central,Kwara,182.77,22.85,8.0,258701,2,74.61
2020-05-01,North Central,Nasarawa,260.32,32.54,8.0,194841,2,63.84
2020-05-01,North Central,Niger,177.7,22.21,8.0,250500,0,75.32
2020-05-01,North Central,Plateau,223.68,27.96,8.0,412150,1,68.93
2020-05-01,North East,Adamawa,350.35,43.79,8.0,427590,1,51.34
2020-05-01,North East,Bauchi,315.17,39.4,8.0,282727,1,56.23
2020-05-01,North East,Borno,570.72,71.34,8.0,109197,3,20.73
2020-05-01,North East,Gombe,394.5,49.31,8.0,44694,6,45.21
2020-05-01,North East,Taraba,252.25,31.53,8.0,198437,4,64.97
2020-05-01,North East,Yobe,361.07,45.13,8.0,284821,5,49.85
2020-05-01,North West,Jigawa,311.36,38.92,8.0,392349,2,56.76
2020-05-01,North West,Kaduna,276.94,34.62,8.0,19876,3,61.54
2020-05-01,North West,Kano,200.68,25.08,8.0,136962,6,72.13
2020-05-01,North West,Katsina,260.05,32.51,8.0,41277,0,63.88
2020-05-01,North West,Kebbi,260.19,32.52,8.0,28395,7,63.86
2020-05-01,North West,Sokoto,326.11,40.76,8.0,410083,7,54.71
2020-05-01,North West,Zamfara,365.15,45.64,8.0,222208,1,49.28
2020-05-01,South East,Abia,282.77,35.99,7.86,246480,1,60.73
2020-05-01,South East,Anambra,217.91,27.73,7.86,451291,1,69.73
2020-05-01,South East,Ebonyi,333.51,42.45,7.86,213305,3,53.68
2020-05-01,South East,Enugu,360.79,45.92,7.86,170420,4,49.89
2020-05-01,South East,Imo,291.5,37.1,7.86,163635,3,59.51
2020-05-01,South South,Akwa Ibom,197.85,21.98,9.0,129133,3,72.52
2020-05-01,South South,Bayelsa,205.57,22.84,9.0,202186,0,71.45
2020-05-01,South South,Cross River,180.49,20.05,9.0,76998,2,74.93
2020-05-01,South South,Delta,190.47,21.16,9.0,96068,1,73.55
2020-05-01,South South,Edo,191.2,21.24,9.0,492101,5,73.45
2020-05-01,South South,Rivers,203.98,22.66,9.0,464940,1,71.67
2020-05-01,South West,Ekiti,117.93,14.74,8.0,420288,3,83.62
2020-05-01,South West,Lagos,90.7,11.34,8.0,310121,3,87.4
2020-05-01,South West,Ogun,161.06,20.13,8.0,277826,3,77.63
2020-05-01,South West,Ondo,188.26,23.53,8.0,10305,1,73.85
2020-05-01,South West,Osun,142.2,17.78,8.0,322014,4,80.25
2020-05-01,South West,Oyo,112.81,14.1,8.0,371708,3,84.33
2020-06-01,North Central,FCT,176.81,22.1,8.0,359264,3,75.44
2020-06-01,North Central,Benue,235.58,29.45,8.0,310154,0,67.28
2020-06-01,North Central,Kogi,210.46,26.31,8.0,329037,3,70.77
2020-06-01,North Central,Kwara,234.36,29.29,8.0,302275,1,67.45
2020-06-01,North Central,Nasarawa,180.34,22.54,8.0,96998,1,74.95
2020-06-01,North Central,Niger,188.9,23.61,8.0,116716,1,73.76
2020-06-01,North Central,Plateau,157.18,19.65,8.0,193370,1,78.17
2020-06-01,North East,Adamawa,405.61,50.7,8.0,16059,0,43.67
2020-06-01,North East,Bauchi,300.39,37.55,8.0,445712,3,58.28
2020-06-01,North East,Borno,606.52,75.82,8.0,264219,3,15.76
2020-06-01,North East,Gombe,376.6,47.08,8.0,361304,2,47.69
2020-06-01,North East,Taraba,438.69,54.84,8.0,341460,4,39.07
2020-06-01,North East,Yobe,359.92,44.99,8.0,237369,2,50.01
2020-06-01,North West,Jigawa,323.33,40.42,8.0,183998,3,55.09
2020-06-01,North West,Kaduna,309.4,38.67,8.0,496695,2,57.03
2020-06-01,North West,Kano,253.91,31.74,8.0,442713,4,64.73
2020-06-01,North West,Katsina,295.83,36.98,8.0,353128,2,58.91
2020-06-01,North West,Kebbi,379.29,47.41,8.0,291658,0,47.32
2020-06-01,North West,Sokoto,301.32,37.66,8.0,352482,3,58.15
2020-06-01,North West,Zamfara,254.62,31.83,8.0,261216,1,64.64
2020-06-01,South East,Abia,248.23,31.59,7.86,31657,1,65.52
2020-06-01,South East,Anambra,222.69,28.34,7.86,75358,3,69.07
2020-06-01,South East,Ebonyi,288.14,36.67,7.86,302071,2,59.98
2020-06-01,South East,Enugu,363.18,46.22,7.86,440132,0,49.56
2020-06-01,South East,Imo,312.14,39.73,7.86,13453,3,56.65
2020-06-01,South South,Akwa Ibom,268.07,29.79,9.0,367434,0,62.77
2020-06-01,South South,Bayelsa,267.2,29.69,9.0,416609,0,62.89
2020-06-01,South South,Cross River,209.14,23.24,9.0,398111,5,70.95
2020-06-01,South South,Delta,217.98,24.22,9.0,221359,0,69.73
2020-06-01,South South,Edo,220.53,24.5,9.0,389675,2,69.37
2020-06-01,South South,Rivers,219.64,24.4,9.0,256287,1,69.49
2020-06-01,South West,Ekiti,188.22,23.53,8.0,222782,3,73.86
2020-06-01,South West,Lagos,66.14,8.27,8.0,309168,4,90.81
2020-06-01,South West,Ogun,160.7,20.09,8.0,343174,3,77.68
2020-06-01,South West,Ondo,190.17,23.77,8.0,465636,3,73.59
2020-06-01,South West,Osun,159.43,19.93,8.0,93491,4,77.86
2020-06-01,South West,Oyo,196.65,24.58,8.0,190447,0,72.69
2020-07-01,North Central,FCT,166.73,20.84,8.0,187697,2,76.84
2020-07-01,North Central,Benue,278.15,34.77,8.0,295659,0,61.37
2020-07-01,North Central,Kogi,157.95,19.74,8.0,451275,0,78.06
2020-07-01,North Central,Kwara,235.2,29.4,8.0,156008,2,67.33
2020-07-01,North Central,Nasarawa,250.47,31.31,8.0,162342,3,65.21
2020-07-01,North Central,Niger,252.71,31.59,8.0,463583,4,64.9
2020-07-01,North Central,Plateau,284.9,35.61,8.0,23997,2,60.43
2020-07-01,North East,Adamawa,433.04,54.13,8.0,129721,2,39.86
2020-07-01,North East,Bauchi,247.98,31.0,8.0,230717,1,65.56
2020-07-01,North East,Borno,542.61,67.83,8.0,85743,3,24.64
2020-07-01,North East,Gombe,262.21,32.78,8.0,342585,5,63.58
2020-07-01,North East,Taraba,382.94,47.87,8.0,118248,2,46.81
2020-07-01,North East,Yobe,464.52,58.06,8.0,21001,4,35.48
2020-07-01,North West,Jigawa,308.7,38.59,8.0,225044,3,57.12
2020-07-01,North West,Kaduna,224.55,28.07,8.0,459342,0,68.81
2020-07-01,North West,Kano,240.83,30.1,8.0,229329,2,66.55
2020-07-01,North West,Katsina,262.81,32.85,8.0,53129,1,63.5
2020-07-01,North West,Kebbi,371.93,46.49,8.0,59313,3,48.34
2020-07-01,North West,Sokoto,342.49,42.81,8.0,356818,2,52.43
2020-07-01,North West,Zamfara,316.1,39.51,8.0,40648,3,56.1
2020-07-01,South East,Abia,245.79,31.28,7.86,132684,3,65.86
2020-07-01,South East,Anambra,213.9,27.22,7.86,378009,5,70.29
2020-07-01,South East,Ebonyi,312.67,39.79,7.86,357726,4,56.57
2020-07-01,South East,Enugu,354.36,45.1,7.86,315136,3,50.78
2020-07-01,South East,Imo,316.72,40.31,7.86,476569,2,56.01
2020-07-01,South South,Akwa Ibom,297.26,33.03,9.0,492226,0,58.71
2020-07-01,South South,Bayelsa,227.02,25.22,9.0,278645,0,68.47
2020-07-01,South South,Cross River,190.43,21.16,9.0,273475,1,73.55
2020-07-01,South South,Delta,291.91,32.43,9.0,450318,3,59.46
2020-07-01,South South,Edo,296.84,32.98,9.0,265461,0,58.77
2020-07-01,South South,Rivers,161.82,17.98,9.0,236396,3,77.52
2020-07-01,South West,Ekiti,191.32,23.91,8.0,274118,3,73.43
2020-07-01,South West,Lagos,73.53,9.19,8.0,143304,0,89.79
2020-07-01,South West,Ogun,150.41,18.8,8.0,328177,1,79.11
2020-07-01,South West,Ondo,152.16,19.02,8.0,271376,1,78.87
2020-07-01,South West,Osun,143.29,17.91,8.0,150160,1,80.1
2020-07-01,South West,Oyo,193.5,24.19,8.0,468077,2,73.12
2020-08-01,North Central,FCT,163.38,20.42,8.0,201712,1,77.31
2020-08-01,North Central,Benue,182.69,22.84,8.0,329984,2,74.63
2020-08-01,North Central,Kogi,155.69,19.46,8.0,208893,1,78.38
2020-08-01,North Central,Kwara,185.9,23.24,8.0,335432,3,74.18
2020-08-01,North Central,Nasarawa,253.21,31.65,8.0,98821,1,64.83
2020-08-01,North Central,Niger,160.25,20.03,8.0,237472,0,77.74
2020-08-01,North Central,Plateau,194.48,24.31,8.0,176028,2,72.99
2020-08-01,North East,Adamawa,409.57,51.2,8.0,110400,4,43.12
2020-08-01,North East,Bauchi,394.66,49.33,8.0,38494,0,45.19
2020-08-01,North East,Borno,475.73,59.47,8.0,367462,0,33.93
2020-08-01,North East,Gombe,380.63,47.58,8.0,142057,2,47.14
2020-08-01,North East,Taraba,298.63,37.33,8.0,117659,1,58.52
2020-08-01,North East,Yobe,627.24,78.4,8.0,332463,3,12.88
2020-08-01,North West,Jigawa,387.06,48.38,8.0,352502,6,46.24
2020-08-01,North West,Kaduna,367.76,45.97,8.0,388273,2,48.92
2020-08-01,North West,Kano,198.76,24.84,8.0,131308,2,72.39
2020-08-01,North West,Katsina,316.34,39.54,8.0,417477,1,56.06
2020-08-01,North West,Kebbi,390.86,48.86,8.0,355294,2,45.71
2020-08-01,North West,Sokoto,370.38,46.3,8.0,145344,2,48.56
2020-08-01,North West,Zamfara,228.53,28.57,8.0,76860,2,68.26
2020-08-01,South East,Abia,331.79,42.23,7.86,214184,2,53.92
2020-08-01,South East,Anambra,319.43,40.66,7.86,16467,0,55.63
2020-08-01,South East,Ebonyi,296.28,37.71,7.86,491283,2,58.85
2020-08-01,South East,Enugu,253.66,32.28,7.86,48256,2,64.77
2020-08-01,South East,Imo,325.57,41.44,7.86,107725,1,54.78
2020-08-01,South South,Akwa Ibom,298.99,33.22,9.0,131342,2,58.47
2020-08-01,South South,Bayelsa,289.56,32.17,9.0,294208,2,59.78
2020-08-01,South South,Cross River,252.92,28.1,9.0,312069,0,64.87
2020-08-01,South South,Delta,291.66,32.41,9.0,235657,1,59.49
2020-08-01,South South,Edo,285.42,31.71,9.0,197760,4,60.36
2020-08-01,South South,Rivers,206.1,22.9,9.0,202963,1,71.37
2020-08-01,South West,Ekiti,135.94,16.99,8.0,42340,1,81.12
2020-08-01,South West,Lagos,112.98,14.12,8.0,463271,1,84.31
2020-08-01,South West,Ogun,141.18,17.65,8.0,482601,1,80.39
2020-08-01,South West,Ondo,142.23,17.78,8.0,499589,1,80.25
2020-08-01,South West,Osun,174.92,21.87,8.0,170102,1,75.7
2020-08-01,South West,Oyo,158.16,19.77,8.0,193863,6,78.03
2020-09-01,North Central,FCT,169.44,21.18,8.0,82412,2,76.47
2020-09-01,North Central,Benue,195.49,24.44,8.0,388301,3,72.85
2020-09-01,North Central,Kogi,282.15,35.27,8.0,144115,7,60.81
2020-09-01,North Central,Kwara,158.61,19.83,8.0,274983,3,77.97
2020-09-01,North Central,Nasarawa,210.25,26.28,8.0,310774,3,70.8
2020-09-01,North Central,Niger,228.81,28.6,8.0,334882,1,68.22
2020-09-01,North Central,Plateau,269.42,33.68,8.0,127879,1,62.58
2020-09-01,North East,Adamawa,386.0,48.25,8.0,448885,0,46.39
2020-09-01,North East,Bauchi,453.31,56.66,8.0,24541,0,37.04
2020-09-01,North East,Borno,641.28,80.16,8.0,357264,0,10.93
2020-09-01,North East,Gombe,444.38,55.55,8.0,339246,0,38.28
2020-09-01,North East,Taraba,428.15,53.52,8.0,245643,3,40.53
2020-09-01,North East,Yobe,610.63,76.33,8.0,432027,2,15.19
2020-09-01,North West,Jigawa,295.39,36.92,8.0,486442,3,58.97
2020-09-01,North West,Kaduna,237.15,29.64,8.0,444998,3,67.06
2020-09-01,North West,Kano,341.05,42.63,8.0,182953,0,52.63
2020-09-01,North West,Katsina,397.03,49.63,8.0,431966,1,44.86
2020-09-01,North West,Kebbi,257.68,32.21,8.0,231504,4,64.21
2020-09-01,North West,Sokoto,365.52,45.69,8.0,362722,3,49.23
2020-09-01,North West,Zamfara,253.33,31.67,8.0,495719,3,64.82
2020-09-01,South East,Abia,221.85,28.24,7.86,434621,3,69.19
2020-09-01,South East,Anambra,331.29,42.16,7.86,240527,2,53.99
2020-09-01,South East,Ebonyi,216.49,27.55,7.86,275461,1,69.93
2020-09-01,South East,Enugu,271.63,34.57,7.86,404555,3,62.27
2020-09-01,South East,Imo,327.4,41.67,7.86,84767,3,54.53
2020-09-01,South South,Akwa Ibom,210.09,23.34,9.0,275410,2,70.82
2020-09-01,South South,Bayelsa,165.75,18.42,9.0,349970,5,76.98
2020-09-01,South South,Cross River,165.53,18.39,9.0,473516,2,77.01
2020-09-01,South South,Delta,214.68,23.85,9.0,11763,2,70.18
2020-09-01,South South,Edo,240.38,26.71,9.0,101442,2,66.61
2020-09-01,South South,Rivers,228.34,25.37,9.0,394171,1,68.29
2020-09-01,South West,Ekiti,151.99,19.0,8.0,499922,5,78.89
2020-09-01,South West,Lagos,104.42,13.05,8.0,409549,0,85.5
2020-09-01,South West,Ogun,137.0,17.13,8.0,168765,6,80.97
2020-09-01,South West,Ondo,175.15,21.89,8.0,128458,0,75.67
2020-09-01,South West,Osun,135.8,16.97,8.0,251524,2,81.14
2020-09-01,South West,Oyo,202.12,25.27,8.0,142335,3,71.93
2020-10-01,North Central,FCT,172.06,21.51,8.0,424401,1,76.1
2020-10-01,North Central,Benue,259.97,32.5,8.0,277088,3,63.89
2020-10-01,North Central,Kogi,162.45,20.31,8.0,319086,1,77.44
2020-10-01,North Central,Kwara,271.72,33.96,8.0,499076,2,62.26
2020-10-01,North Central,Nasarawa,202.8,25.35,8.0,63288,0,71.83
2020-10-01,North Central,Niger,231.72,28.97,8.0,402995,2,67.82
2020-10-01,North Central,Plateau,251.2,31.4,8.0,186925,0,65.11
2020-10-01,North East,Adamawa,281.36,35.17,8.0,72949,1,60.92
2020-10-01,North East,Bauchi,416.73,52.09,8.0,454922,1,42.12
2020-10-01,North East,Borno,534.04,66.75,8.0,492650,0,25.83
2020-10-01,North East,Gombe,387.46,48.43,8.0,179424,1,46.19
2020-10-01,North East,Taraba,280.24,35.03,8.0,129346,0,61.08
2020-10-01,North East,Yobe,427.19,53.4,8.0,348271,2,40.67
2020-10-01,North West,Jigawa,238.84,29.86,8.0,423006,3,66.83
2020-10-01,North West,Kaduna,381.58,47.7,8.0,317639,4,47.0
2020-10-01,North West,Kano,322.36,40.29,8.0,333492,0,55.23
2020-10-01,North West,Katsina,269.69,33.71,8.0,470561,1,62.54
2020-10-01,North West,Kebbi,281.56,35.2,8.0,52286,1,60.89
2020-10-01,North West,Sokoto,301.22,37.65,8.0,438516,3,58.16
2020-10-01,North West,Zamfara,338.05,42.26,8.0,54408,4,53.05
2020-10-01,South East,Abia,367.88,46.82,7.86,149688,0,48.91
2020-10-01,South East,Anambra,285.26,36.31,7.86,64065,6,60.38
2020-10-01,South East,Ebonyi,359.35,45.74,7.86,459131,1,50.09
2020-10-01,South East,Enugu,275.56,35.07,7.86,432071,2,61.73
2020-10-01,South East,Imo,218.66,27.83,7.86,477794,4,69.63
2020-10-01,South South,Akwa Ibom,232.3,25.81,9.0,370277,2,67.74
2020-10-01,South South,Bayelsa,279.53,31.06,9.0,499035,3,61.18
2020-10-01,South South,Cross River,206.34,22.93,9.0,234099,1,71.34
2020-10-01,South South,Delta,219.09,24.34,9.0,282683,1,69.57
2020-10-01,South South,Edo,239.56,26.62,9.0,322526,2,66.73
2020-10-01,South South,Rivers,155.79,17.31,9.0,29856,2,78.36
2020-10-01,South West,Ekiti,113.31,14.16,8.0,72239,2,84.26
2020-10-01,South West,Lagos,71.75,8.97,8.0,470042,3,90.03
2020-10-01,South West,Ogun,171.52,21.44,8.0,152932,3,76.18
2020-10-01,South West,Ondo,141.76,17.72,8.0,391097,5,80.31
2020-10-01,South West,Osun,147.38,18.42,8.0,400275,5,79.53
2020-10-01,South West,Oyo,154.61,19.33,8.0,37680,2,78.53
2020-11-01,North Central,FCT,98.14,12.27,8.0,190949,0,86.37
2020-11-01,North Central,Benue,233.67,29.21,8.0,394038,1,67.55
2020-11-01,North Central,Kogi,143.87,17.98,8.0,452690,0,80.02
2020-11-01,North Central,Kwara,220.41,27.55,8.0,399772,2,69.39
2020-11-01,North Central,Nasarawa,250.83,31.35,8.0,157882,1,65.16
2020-11-01,North Central,Niger,162.86,20.36,8.0,346478,1,77.38
2020-11-01,North Central,Plateau,148.07,18.51,8.0,77107,1,79.43
2020-11-01,North East,Adamawa,383.99,48.0,8.0,38074,0,46.67
2020-11-01,North East,Bauchi,282.16,35.27,8.0,281133,3,60.81
2020-11-01,North East,Borno,397.49,49.69,8.0,150751,2,44.79
2020-11-01,North East,Gombe,385.04,48.13,8.0,430986,2,46.52
